BV号：BV1bRDpBrEzJ
标题：BV1bRDpBrEzJ
链接：https://www.bilibili.com/video/BV1bRDpBrEzJ
识别语言：zh
语言置信度：1
分段数：181
生成时间：2026-08-29 16:47:05

[00:00:00 - 00:00:03] 很多人用的硬币都不想想到
[00:06:25 - 00:06:26] 总结一下
[00:06:26 - 00:06:27] Project Glasswing
[00:06:27 - 00:06:29] 给我们透出的底牌是
[00:06:29 - 00:06:32] 漏洞挖掘正在从极客的手艺变成机器的工业
[00:06:32 - 00:06:34] 如果你是个程序员
[00:06:34 - 00:06:37] 现在真别操心什么AI会不会抢我饭碗了
[00:06:37 - 00:06:40] 你更开关心的是你手下敲出的每一行代码
[00:06:40 - 00:06:43] 准备好迎接AI级别的地毯式审视了吗
[00:06:43 - 00:06:45] 评论区聊聊你觉得 Glasswing
[00:06:45 - 00:06:47] 是安全行业破局的好消息
[00:06:47 - 00:06:49] 还是更大风暴的前兆
[00:06:49 - 00:06:50] 感谢看到这里
[00:06:50 - 00:06:52] 我是为什么叫QQ
[00:06:52 - 00:06:55] 如果你喜欢这种工程视角的深度拆解
[00:06:55 - 00:06:57] 记得点赞投币收藏转发
[00:06:57 - 00:06:58] 我们下期见
