BV号：BV1zodZYLEQx
标题：BV1zodZYLEQx
链接：https://www.bilibili.com/video/BV1zodZYLEQx
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-30 07:16:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:07] 4月7号由李飞飞联合领导的斯坦福大学HAI研究所
[00:03:56 - 00:03:58] AI的商业应用也在加速
[00:03:58 - 00:04:02] 2024年78%的组织报告称有在使用AI
[00:04:02 - 00:04:05] 比前年的55%增长了23%
[00:04:05 - 00:04:07] 尤其是在生成时AI方面
[00:04:07 - 00:04:12] 从2023年的33%迅速增长到了去年的71%
[00:04:12 - 00:04:14] 同时越来越多的研究证实
[00:04:14 - 00:04:15] AI提高了生产力
[00:04:15 - 00:04:17] 并且在大多数的情况下
[00:04:17 - 00:04:19] 有助于缩小保动力中的技能差距
[00:04:20 - 00:04:20] 第四点
[00:04:20 - 00:04:22] 在创造顶级AI模型方面
[00:04:22 - 00:04:24] 中国正在缩小与美国的差距
[00:04:25 - 00:04:27] 2024年美国机构总共推出了
[00:04:27 - 00:04:29] 40个引人注目的AI模型
[00:04:29 - 00:04:31] 明显超过了中国的15个和欧洲的3个
[00:04:32 - 00:04:34] 虽然美国在数量上保持领先
[00:04:34 - 00:04:37] 但是中国模型在质量上迅速缩小了差距
[00:04:37 - 00:04:41] 比如说在MMRU、MMMU、MASS和HUMMEVL
[00:04:41 - 00:04:43] 等主要基准上的性能差异
[00:04:43 - 00:04:45] 从2023年的17.5
[00:04:45 - 00:04:48] 13.5、24.3和31.6个百分点
[00:04:48 - 00:04:50] 缩小到了2024年底的
[00:04:50 - 00:04:53] 0.3、8.1、1.6和3.7个百分点
[00:04:53 - 00:04:57] 同时中国在AI出版物和专利方面继续领先
[00:04:57 - 00:05:00] 与此同时模型的开发也越来越全球化
[00:05:00 - 00:05:02] 中东、拉丁伟州和东南亚等地区
[00:05:02 - 00:05:04] 也推出了引人注目的新模型
[00:05:04 - 00:05:05] 第五点
[00:05:05 - 00:05:07] 负责任的AI生态系统在不断的发展
[00:05:07 - 00:05:09] 但是处于不均衡的状态
[00:05:09 - 00:05:12] 人工智能的相关事件极具的上升
[00:05:12 - 00:05:14] 2024年报告的AI相关事故
[00:05:14 - 00:05:15] 达到了233起
[00:05:15 - 00:05:16] 创下了历史新高
[00:05:16 - 00:05:19] 比2023年增加了56.4%
[00:05:19 - 00:05:21] 在主要工业模型的开发者中
[00:05:21 - 00:05:23] 标准化的RI评估仍然很少
[00:05:23 - 00:05:28] 不过像HALM、SIFT、Airbench和Fax等新的基准
[00:05:28 - 00:05:30] 正在为评估事实性和安全性
[00:05:30 - 00:05:31] 提供更为有效的工具
[00:05:31 - 00:05:32] 在公司中
[00:05:32 - 00:05:35] 识别RI风险和采取有意义的行动之间
[00:05:35 - 00:05:36] 仍然存在着差距
[00:05:36 - 00:05:37] 相比之下
[00:05:37 - 00:05:39] 政府表现出了更大的紧迫性
[00:05:39 - 00:05:41] 因此我们看到在2024年
[00:05:41 - 00:05:43] 全球在人工智能治理方面的合作
[00:05:43 - 00:05:44] 有所加强
[00:05:44 - 00:05:46] 包括金河组织
[00:05:46 - 00:05:49] 欧盟 联合国和非洲联盟在地的组织
[00:05:49 - 00:05:51] 都发布了关注透明度 可信度
[00:05:51 - 00:05:53] 和其他核心的负责任AI的框架
[00:05:53 - 00:05:56] 2024年主流AI学术会议中
[00:05:56 - 00:05:58] 被接受的负责任AI相关论文数量
[00:05:58 - 00:06:00] 达到了1278篇
[00:06:00 - 00:06:03] 比2023年的992篇增加了28.8%
[00:06:03 - 00:06:06] 这个趋势自从2019年以来稳步的提升
[00:06:06 - 00:06:07] 也显示了学术界
[00:06:07 - 00:06:10] 对于负责任AI议题的持续关注以重视
[00:06:10 - 00:06:11] 第6点
[00:06:11 - 00:06:13] 全球AI的乐观情绪在上升
[00:06:13 - 00:06:14] 但是不同的地区之间
[00:06:14 - 00:06:16] 仍然存在的深层次的分歧
[00:06:16 - 00:06:18] 在中国有83%
[00:06:18 - 00:06:20] 印度尼西亚80%
[00:06:20 - 00:06:22] 和泰国77%的人认为
[00:06:22 - 00:06:24] AI产品和服务是力大于弊的
[00:06:24 - 00:06:25] 而相比之下
[00:06:25 - 00:06:26] 加拿大只有40%
[00:06:26 - 00:06:29] 美国39%和荷兰36%的人
[00:06:29 - 00:06:31] 持有对AI的乐观情绪
[00:06:31 - 00:06:33] 不过这种情绪也正在转变
[00:06:33 - 00:06:35] 自从2022年以来
[00:06:35 - 00:06:37] 几个先前持怀疑态度的国家
[00:06:37 - 00:06:39] 乐观情绪明显都在增长
[00:06:39 - 00:06:41] 其中德国和法国增长了10%
[00:06:41 - 00:06:43] 加拿大增长了8%
[00:06:43 - 00:06:44] 英国增长了8%
[00:06:44 - 00:06:46] 以及美国增长了4%
[00:06:47 - 00:06:47] 第七点
[00:06:47 - 00:06:49] AI正在变得更加高效
[00:06:49 - 00:06:51] 经济实惠以及容易获取
[00:06:51 - 00:06:53] 越来越强大的小模型出现
[00:06:53 - 00:06:54] 比如说在2022年
[00:06:55 - 00:06:56] 能够在MMLU测试中
[00:06:56 - 00:06:59] 达到60%以上分数的最小模型
[00:06:59 - 00:07:01] 是拥有5400亿参数的POM
[00:07:01 - 00:07:02] 然而到了2024年
[00:07:02 - 00:07:05] 微染的Fy3 mini只需要38亿参数
[00:07:05 - 00:07:06] 就能够达到同样的表现
[00:07:07 - 00:07:09] 也就是说在短短的两年时间内
[00:07:09 - 00:07:11] 模型的参数量缩减了142倍
[00:07:11 - 00:07:14] 另外如果以GPD3.5的智能水平為標準
[00:07:14 - 00:07:19] 模型的推理成本在2022年10月到2024年10月這兩年間
[00:07:19 - 00:07:21] 更是下降了280倍
[00:07:21 - 00:07:24] 在AI硬件層面成本每年下降30%
[00:07:24 - 00:07:26] 而能效則每年提高40%
[00:07:26 - 00:07:30] 開放權重模型也在縮小與封閉模型的差距
[00:07:30 - 00:07:31] 在某些基準測試中
[00:07:31 - 00:07:36] 一年內兩者的性能差距從8%減少到了僅剩1.7%
[00:07:36 - 00:07:39] 這些趨勢共同迅速降低了高級人工智能的門檻
[00:07:39 - 00:07:43] 第八點 各國政府正在加強對AI的監管和投資
[00:07:43 - 00:07:47] 2024年 美國聯盟機構出台了59項與AI相關的法規
[00:07:47 - 00:07:49] 是2023年的兩倍多
[00:07:49 - 00:07:52] 發布法規的機構數量也是2023年的兩倍
[00:07:52 - 00:07:55] 在全球範圍內 自從2023年以來
[00:07:55 - 00:07:59] 75個國家的AI立法提及率上升了21.3%
[00:07:59 - 00:08:01] 自2016年以來增長了9倍
[00:08:01 - 00:08:03] 在日益受到關注的同時
[00:08:03 - 00:08:06] 各國政府也在進行大規模的投資
[00:08:06 - 00:08:08] 比如加拿大承諾投資24億美元
[00:08:08 - 00:08:11] 中国启动了475亿美元的半导体基金
[00:08:11 - 00:08:14] 法国承诺投资1090亿欧元
[00:08:14 - 00:08:16] 印度承诺投资12.5亿美元
[00:08:16 - 00:08:19] 沙特阿伯则发起了一项1000亿美元的倡议
[00:08:19 - 00:08:20] 第九点
[00:08:20 - 00:08:22] AI和计算机科学教育正在扩大
[00:08:22 - 00:08:24] 但是普及程度仍然不够
[00:08:24 - 00:08:26] 如今已经有2.3%的国家
[00:08:26 - 00:08:30] 提供或者计划提供K12阶段的计算机科学教育
[00:08:30 - 00:08:32] 这个数字是2019年的两倍
[00:08:32 - 00:08:35] 其中非洲和拉丁美洲取得的进展最大
[00:08:35 - 00:08:38] 在美国拥有计算机学士学位的毕业生人数
[00:08:38 - 00:08:40] 在过去10年间增加了22%
[00:08:41 - 00:08:42] 然而在许多非洲国家
[00:08:42 - 00:08:44] 由于电力等基础设施的不足
[00:08:44 - 00:08:47] 获得计算机学位的机会仍然有限
[00:08:47 - 00:08:50] 在美国81%的K12计算机科学教师表示
[00:08:50 - 00:08:53] AI应该成为计算机科学基础教育的一部分
[00:08:53 - 00:08:55] 但是只有不到一半的教师认为
[00:08:55 - 00:08:57] 自己有能力教授AI
[00:08:57 - 00:08:58] 第10点
[00:08:58 - 00:09:00] AI工业界仍然一路领先
[00:09:00 - 00:09:01] 2024年
[00:09:01 - 00:09:04] 有将近90%的著名人工智能模型
[00:09:04 - 00:09:05] 都来自于工业界
[00:09:05 - 00:09:07] 高于2023年的60%
[00:09:07 - 00:09:11] 其中谷歌和OpenI凭借着7款重要模型位居绑手
[00:09:11 - 00:09:14] 阿里凭借着6款模型位居第三
[00:09:14 - 00:09:16] 字节DeepSake、腾讯、制谱AI
[00:09:16 - 00:09:18] 分别凭借着2款模型上榜
[00:09:18 - 00:09:20] 模型的规模也在持续快速增长
[00:09:20 - 00:09:23] 训练计算每5个月翻一翻
[00:09:23 - 00:09:25] 数据级每8个月翻一翻
[00:09:25 - 00:09:26] 耗地量每1年翻一翻
[00:09:26 - 00:09:27] 不过呢
[00:09:27 - 00:09:29] 模型之间的性能差距正在缩小
[00:09:29 - 00:09:32] 比如说排名第一和第10的模型之间的得分差距
[00:09:32 - 00:09:36] 在1年内从11.9%降到了5.4%
[00:09:36 - 00:09:39] 排名前两位的差距现在仅为0.7%
[00:09:39 - 00:09:43] 一句话就是前沿模型的竞争越来越积累
[00:09:43 - 00:09:46] 不过挑战难度更高的新基准也在不断的出现
[00:09:46 - 00:09:48] 比如说在人类终极考试中
[00:09:48 - 00:09:52] 目前表现最好的AI系统得分仅为8.8%
[00:09:52 - 00:09:55] 而在专门用于复杂数学问题的Francet Hermans测试中
[00:09:55 - 00:09:57] AI成功率只有2%
[00:09:57 - 00:09:59] 在BigCodeBatch基准测试中
[00:09:59 - 00:10:02] AI生成代码的成功率目前仅为35.5%
[00:10:02 - 00:10:05] 远低于人类的97%的水平
[00:10:05 - 00:10:07] 开源AI项目的数量也在持续增长
[00:10:07 - 00:10:09] 从2011年的1549个
[00:10:09 - 00:10:12] 激增到了2024年的大约430万个
[00:10:12 - 00:10:14] 特别值得注意的是
[00:10:14 - 00:10:15] 仅仅过去一年内
[00:10:15 - 00:10:19] Gaithub AI项目的总量就实现了40.3%的斗增
[00:10:19 - 00:10:20] 截止到2024年
[00:10:20 - 00:10:23] 美国贡献了Gaithub中23.4%的AI项目
[00:10:23 - 00:10:25] 占据最大份额
[00:10:25 - 00:10:27] 印度以19.9%的占比为距第二
[00:10:28 - 00:10:29] 欧洲紧随其后
[00:10:29 - 00:10:31] 贡献了19.5%的项目
[00:10:31 - 00:10:32] 第11点
[00:10:32 - 00:10:35] AI因为对于科学的影响而展获最高荣誉
[00:10:35 - 00:10:38] 不可否认是AI的重要性与之俱增
[00:10:38 - 00:10:40] 这一点从重大科学奖项中可见一般
[00:10:40 - 00:10:43] 两项诺贝尔表彰了AI在深度学习
[00:10:43 - 00:10:44] 和蛋白质折叠中的应用
[00:10:44 - 00:10:48] 而图灵奖则表彰了AI在强化学习方面的开创性贡献
[00:10:48 - 00:10:51] AI研究论文的总量持续增长
[00:10:51 - 00:10:53] 已经主导了计算机科学领域
[00:10:53 - 00:10:55] 2013年到2023年期间
[00:10:55 - 00:10:57] AI研究论文的数量从10.2万篇
[00:10:57 - 00:10:59] 增加到了24.2万篇
[00:10:59 - 00:11:01] 在计算机科学论文中的占比
[00:11:01 - 00:11:04] 从21.6%提升到了41.8%
[00:11:04 - 00:11:06] 从地区来看
[00:11:06 - 00:11:08] 中国大陆的AI论文发表总量领先
[00:11:08 - 00:11:09] 2023年
[00:11:09 - 00:11:12] 中国大陆机构的AI论文在全球总发表量中
[00:11:12 - 00:11:14] 占比为23.2%
[00:11:14 - 00:11:16] 被营容量占比为22.6%
[00:11:16 - 00:11:19] 美国则发表了更多高影响力的研究
[00:11:19 - 00:11:21] 2021年到2023年
[00:11:21 - 00:11:23] 美国分别贡献了AI领域
[00:11:23 - 00:11:25] Top100高营用论文中的64篇
[00:11:25 - 00:11:27] 59篇与50篇
[00:11:27 - 00:11:29] 中国大陆分别贡献了33篇
[00:11:29 - 00:11:31] 34篇与34篇
[00:11:31 - 00:11:32] 第12点
[00:11:32 - 00:11:34] 复杂推理仍然是一项严峻的挑战
[00:11:34 - 00:11:37] 虽然在国际数学奥林匹克竞赛问题
[00:11:37 - 00:11:38] 等等任务中
[00:11:38 - 00:11:40] OE模型的得分高达74.4%
[00:11:40 - 00:11:43] 远高于GPT4O的9.3%
[00:11:43 - 00:11:45] 但是这种高水平的推理也带来的代价
[00:11:45 - 00:11:48] OE模型的成本是GPT4O的近6倍
[00:11:48 - 00:11:50] 运行速度则慢了30倍
[00:11:50 - 00:11:53] 而且在PlanBatch等复杂推理基准测试中
[00:11:53 - 00:11:55] AI模型仍然面临着许多挑战
[00:11:55 - 00:11:58] 即使存在着可以被证明是正确的解决方案
[00:11:58 - 00:12:01] 它们也常常无法可靠的解决逻辑任务
[00:12:01 - 00:12:03] 这就限制了AI在一些精度至关重要的
[00:12:03 - 00:12:05] 高风险环境中的有效性
[00:12:05 - 00:12:08] 好了 以上就是这篇报告的一些重点内容了
[00:12:08 - 00:12:10] 总的来说 对于人工智能
[00:12:10 - 00:12:12] 2024年应该可以说是极其美好的一年
[00:12:13 - 00:12:14] 诺贝尔物理学奖和化学奖
[00:12:14 - 00:12:18] 以及因为强化学习的电机性工作而获得的图灵奖
[00:12:18 - 00:12:22] 都体现了对AI在推动人类知识进步方面作用的认可
[00:12:22 - 00:12:24] 曾经困难重重的图灵测试
[00:12:24 - 00:12:26] 也已经不再被视为一个难以挑战的目标
[00:12:26 - 00:12:29] 顶尖模型已经可以做到以假乱真
[00:12:29 - 00:12:32] 一字同时AI的应用还正在以前所谓的速度加速发展
[00:12:32 - 00:12:37] 数以百万计的人们正在专业工作和休闲活动中使用着AI产品
[00:12:37 - 00:12:40] 相信随着高性能低成本和开放模型的普及
[00:12:40 - 00:12:43] AI的可极性和影响力必然将进一步的扩大
[00:12:43 - 00:12:46] 此外 在经历了短暂的放缓之后
[00:12:46 - 00:12:49] 企业对于AI的投资也开始出现反弹
[00:12:49 - 00:12:53] 最近获得融资的生成是AI出厂企业的数量增加了将近两倍
[00:12:53 - 00:12:56] 企业采用AI的速度在2024年也显著的加快
[00:12:56 - 00:12:58] AI已经从边缘领域
[00:12:58 - 00:13:01] 正在逐渐成为商业价值的核心驱动力
[00:13:01 - 00:13:03] 政府也在加大参与的力度
[00:13:03 - 00:13:04] 政策的制定者们
[00:13:04 - 00:13:06] 不再只是在讨论AI
[00:13:06 - 00:13:07] 而是在投资AI
[00:13:07 - 00:13:09] 一些国家启动了价值10亿美元的
[00:13:09 - 00:13:11] 国家AI基础设施计划
[00:13:11 - 00:13:12] 包括扩大能源能力
[00:13:12 - 00:13:13] 来支持AI的发展
[00:13:13 - 00:13:15] 不过人们对于AI的信任
[00:13:15 - 00:13:16] 仍然是一大挑战
[00:13:16 - 00:13:18] 越来越少的人相信
[00:13:18 - 00:13:20] AI公司会保护他们的数据
[00:13:20 - 00:13:22] 同时存在对公平性和偏见的担忧
[00:13:23 - 00:13:25] 错误的信息也在持续的构成风险
[00:13:25 - 00:13:28] 尤其是在选举和Deep FAKE泛滥的情况下
[00:13:28 - 00:13:31] 对此各国政府正在推进新的监管框架
[00:13:31 - 00:13:34] 希望能够促进透明度 问责制和公平性
[00:13:34 - 00:13:36] 公众的态度也在发生转变
[00:13:36 - 00:13:38] 虽然怀疑的态度依然是存在的
[00:13:38 - 00:13:42] 但是人们对于AI能够带来广泛社会效益的乐观态度
[00:13:42 - 00:13:43] 正在明显的上升
[00:13:43 - 00:13:46] 无论如何 如今的AI显然已经不再只是一个
[00:13:46 - 00:13:48] 关于可能性的故事了
[00:13:48 - 00:13:50] 而是一个关于正在发生的事情
[00:13:50 - 00:13:53] 以及我们如何共同塑造人类未来的故事了
[00:13:53 - 00:13:54] 感謝大家觀看本期視頻
[00:13:54 - 00:13:55] 我們下期再見
