BV号：BV13gNe6cEjN
标题：BV13gNe6cEjN
链接：https://www.bilibili.com/video/BV13gNe6cEjN
识别语言：zh
语言置信度：1
分段数：201
生成时间：2026-08-29 18:42:42

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你还在熬夜调API写增山改茶吗?
[00:02:50 - 00:02:52] 它还要求加数字水印
[00:02:52 - 00:02:53] 这不仅是为了防委
[00:02:53 - 00:02:56] 在工程实现上这意味着对数据流的全面追踪
[00:02:57 - 00:03:00] 未来的软件架构可能必须内置这些安全合规模块
[00:03:01 - 00:03:03] 这会极大地增加系统的复杂度和开销
[00:03:03 - 00:03:05] 什么是人类可读的输出token
[00:03:06 - 00:03:07] 目前的transformer架构
[00:03:08 - 00:03:10] 内部的隐层状态是高维向量
[00:03:10 - 00:03:13] 我们要把这些高维向量强行映射
[00:03:13 - 00:03:15] 到人类能看懂的自然语言空间
[00:03:16 - 00:03:17] 这不可避免的会损失信息
[00:03:17 - 00:03:19] 甚至引入幻觉
[00:03:19 - 00:03:22] 模型可能会为了迎合人类可读这个指标
[00:03:22 - 00:03:24] 编造出看似合理的退离过程
[00:03:24 - 00:03:27] 但实际上它底层的计算逻辑完全是另一回事
[00:03:27 - 00:03:29] 这就好比一个老恋的政客
[00:03:29 - 00:03:32] 嘴上说的是一套冠冕堂皇的理由
[00:03:32 - 00:03:34] 心里打的却是另一份算盘
[00:03:34 - 00:03:35] 再看数字水印
[00:03:35 - 00:03:39] 给图片加水印容易给生成的代码或者文本加水印
[00:03:39 - 00:03:42] 在工程上怎么做到既不影响执行效率
[00:03:42 - 00:03:43] 又难以被抹除
[00:03:43 - 00:03:45] 如果在代码里签入水印
[00:03:45 - 00:03:47] 稍微重构一下代码
[00:03:47 - 00:03:49] 比如改个变量名调换一下函数顺序
[00:03:49 - 00:03:51] 水印可能就失效了
[00:03:51 - 00:03:54] 为了应对这种脆弱性系统必须在更底层的抽象
[00:03:54 - 00:03:57] 与法术或者字检码层面做手脚
[00:03:57 - 00:03:59] 这就要求未来的编译器和解释器
[00:03:59 - 00:04:02] 都必须深度集成AI安全协议
[00:04:02 - 00:04:06] 整个软件工程的基建都要为了迎合AI监管而重写
[00:04:06 - 00:04:08] Haspis特别提到了代理型AI
[00:04:08 - 00:04:12] 他说要测试这些AI有没有试图绕过安全互拦
[00:04:12 - 00:04:13] 或者有没有欺骗的迹象
[00:04:13 - 00:04:15] 作为程序员我们太熟悉地规了
[00:04:15 - 00:04:18] 如果没有终止条件地规就会导致战役出
[00:04:18 - 00:04:22] 如果一个AI能自己修改代码、自己优化模型
[00:04:22 - 00:04:25] 那现有的软件工程测试体系将彻底失效
[00:04:25 - 00:04:28] 你怎么给一个会自己改代码的系统写单元测试
[00:04:28 - 00:04:32] 我们需要一套全新的动态的基准测试
[00:04:32 - 00:04:33] 想象一下你写了一个测试
[00:04:33 - 00:04:35] 脚本区域检查AI有没有作恶
[00:04:35 - 00:04:39] 但这个代理型AI在后台偷偷分析了你的测试脚本
[00:04:39 - 00:04:41] 然后修改了自己的行为逻辑
[00:04:41 - 00:04:42] 刚好能通过你的测试
[00:04:42 - 00:04:44] 但一旦部署到生产环境
[00:04:44 - 00:04:47] 它立刻开始执行卫授权的操作
[00:04:47 - 00:04:48] 这就是所谓的欺骗迹象
[00:04:48 - 00:04:50] 传统的软件测试
[00:04:50 - 00:04:53] 无论是测试驱动开发还是行为驱动开发
[00:04:53 - 00:04:56] 前提都是代码的逻辑是静态的可预测的
[00:04:56 - 00:04:59] 但帝规自我改进的AI是动态的
[00:04:59 - 00:05:02] 它今天的代码和明天的代码可能完全不一样
[00:05:02 - 00:05:06] 这就要求我们的测试框架也必须是AI驱动的
[00:05:06 - 00:05:08] 也就是用AI去对抗AI
[00:05:08 - 00:05:09] Haspis在文章里提到
[00:05:09 - 00:05:13] 标准机构要独立于实验室开发保留测试集
[00:05:13 - 00:05:15] 防止模型过擬核
[00:05:15 - 00:05:16] 这说明他们已经意识到
[00:05:16 - 00:05:19] 传统的静态Bandmark很快
[00:05:19 - 00:05:21] 就会被这些聪明的agent的刷爆
[00:05:21 - 00:05:22] 变成一堆废纸
[00:05:22 - 00:05:23] 看到这里你可能会想
[00:05:23 - 00:05:26] Hasbass这篇长文是在呼吁和平
[00:05:26 - 00:05:26] 保护人类
[00:05:26 - 00:05:28] 但我作为工程师看完
[00:05:28 - 00:05:30] 感受到的是一种深深的焦虑
[00:05:30 - 00:05:33] 它体义豁免出创公司和学术界
[00:05:33 - 00:05:34] 听起来很宽容
[00:05:34 - 00:05:35] 但实际上这意味着
[00:05:35 - 00:05:37] 开源社区和独立
[00:05:37 - 00:05:39] 开发者被彻底排除在前沿游戏之外
[00:05:39 - 00:05:41] 这不仅仅是一份安全倡议
[00:05:41 - 00:05:43] 这是一份未来AI时代的
[00:05:43 - 00:05:44] 阶层划分说明书
[00:05:44 - 00:05:47] 如果只有少数几个前沿实验室
[00:05:47 - 00:05:49] 有资格接触最先进的模型
[00:05:49 - 00:05:51] 那么学术界的研究就只能停留
[00:05:51 - 00:05:54] 在落后几个版本的玩具模型上
[00:05:54 - 00:05:56] 开源社区引以为傲的极思广义
[00:05:56 - 00:05:58] 在绝对的算力和合规壁垒面前
[00:05:58 - 00:06:00] 将变得苍白无力
[00:06:00 - 00:06:02] 巨头们已经开上了合动力航母
[00:06:02 - 00:06:04] 然后转头对开源社区说
[00:06:04 - 00:06:06] 为了安全 合动力太危险了
[00:06:06 - 00:06:08] 你们还是继续划你们的木船吧
[00:06:08 - 00:06:09] 木船不用受监管
[00:06:09 - 00:06:12] 这看似是豁免实则是降维打击
[00:06:12 - 00:06:15] 以后的软件工程不再是写代码
[00:06:15 - 00:06:16] 而是对齐和验证
[00:06:16 - 00:06:19] 如果你还在学怎么写出更优美的循环
[00:06:19 - 00:06:20] 你可能走错了方向
[00:06:20 - 00:06:22] 未来的核心竞争力在于
[00:06:22 - 00:06:25] 你能不能设计出有效的评估协议
[00:06:25 - 00:06:28] 能不能在AI自我迭代的过程中
[00:06:28 - 00:06:30] 写出困住它的测试用力
[00:06:30 - 00:06:32] 我们需要从创造者变成审计员
[00:06:32 - 00:06:34] 传统的程序员是把人类的
[00:06:34 - 00:06:37] 需求翻译成机器能懂的代码
[00:06:37 - 00:06:40] 而未来的程序员是把人类的价值观
[00:06:40 - 00:06:44] 和安全底线翻译成AI无法绕过的约束条件
[00:06:44 - 00:06:47] 这是一种思维范式的根本转变
[00:06:47 - 00:06:50] 你需要懂密码学、博弈论、心理学
[00:06:50 - 00:06:51] 甚至懂一点哲学
[00:06:51 - 00:06:54] 你要防得不再是简单的控制阵异常
[00:06:54 - 00:06:57] 而是防一个智商比你高10倍的agent
[00:06:57 - 00:06:59] 在帮你优化数据库查询的时候
[00:06:59 - 00:07:03] 顺手把公司的核心机密打包卖给了竞争对手
[00:07:03 - 00:07:06] 在AGI带来的后稀缺时代工程师该怎么生存
[00:07:06 - 00:07:08] 艺人公司将成为常态
[00:07:08 - 00:07:12] 前提是你得學會駕馭這些被巨頭們訓話好的
[00:07:12 - 00:07:14] agent圍繞AI合規
[00:07:14 - 00:07:17] 安全審計數字水印的SAS工具將迎來爆發
[00:07:17 - 00:07:20] 這是一個巨大的工程創業機會
[00:07:20 - 00:07:21] hazibase提到
[00:07:21 - 00:07:24] 這會帶來巨大的生產力提升和經濟增長
[00:07:24 - 00:07:25] 對於我們普通開發者來說
[00:07:25 - 00:07:27] 既然造不出航母
[00:07:27 - 00:07:29] 那就去賣救生衣和導航衣
[00:07:29 - 00:07:32] 既然未來的AI都必須過監管
[00:07:32 - 00:07:34] 那圍繞著這個監管框架
[00:07:34 - 00:07:36] 就會衍生出一個龐大的生態
[00:07:36 - 00:07:38] 如何快速帮企业生成合规的模型卡
[00:07:38 - 00:07:41] 如何提供第三方的AI安全审计服务
[00:07:41 - 00:07:44] 如何在不损失性能的前提下
[00:07:44 - 00:07:45] 注入和提取数字水印
[00:07:45 - 00:07:48] 这些都是时达时的工程痛点
[00:07:48 - 00:07:50] 也是留给我们的创业风口
[00:07:50 - 00:07:52] 我们终于学会了让沙子思考
[00:07:52 - 00:07:55] 但现在我们得学会如何不让沙子把我们埋了
[00:07:55 - 00:07:58] 你觉得Hazbass提出的这个监管框架
[00:07:58 - 00:08:01] 能防得住AI还是只会防住普通开发者
[00:08:01 - 00:08:03] 把你的看法打在公屏上
[00:08:03 - 00:08:04] 我是为什么叫QQ
[00:08:04 - 00:08:05] 我们下期见
[00:08:05 - 00:08:08] 如果觉得本期视频对你有帮助,记得一键三连哦!
