BV号：BV1hWZCYbEQv
标题：BV1hWZCYbEQv
链接：https://www.bilibili.com/video/BV1hWZCYbEQv
识别语言：zh
语言置信度：1
分段数：297
生成时间：2026-08-30 09:40:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近苹果公司出了一则重磅消息
[00:04:36 - 00:04:36] 另一方面
[00:04:36 - 00:04:39] 隐私与算理之间存在着矛盾
[00:04:39 - 00:04:41] 而苹果一直坚持本地处理优先
[00:04:41 - 00:04:43] 但是iPhone 16由于内存不足
[00:04:43 - 00:04:45] 难以支撑更为复杂的模型
[00:04:45 - 00:04:47] 就连iPhone15 Pro Max
[00:04:47 - 00:04:48] 虽然被列入了支持名单
[00:04:48 - 00:04:50] 也面临着要被淘汰的命运
[00:04:50 - 00:04:51] 而相比之下
[00:04:51 - 00:04:53] 谷歌的Jimmy Nino
[00:04:53 - 00:04:55] 通过云端协同取得了更好的效果
[00:04:55 - 00:04:58] 安卓厂商大多数都采用3B-7B的本地模型
[00:04:58 - 00:05:00] 再加上云端大模型的组合方式
[00:05:01 - 00:05:03] 而且苹果自然的M3 Ultra芯片布局
[00:05:03 - 00:05:05] 以及与英伟达的长期对立
[00:05:05 - 00:05:07] 都脱裂了自身AI算力的发展
[00:05:07 - 00:05:09] 罗比沃克在内部会中就还提到
[00:05:09 - 00:05:13] 当前Circubo们还有其他更重要的项目攻击要赶
[00:05:13 - 00:05:15] 由于开发任务的优先级冲突
[00:05:15 - 00:05:16] 它根本无法确定这些功能
[00:05:16 - 00:05:18] 什么时候才能够真正的落地
[00:05:18 - 00:05:19] 它还表示
[00:05:19 - 00:05:21] 在Siri的AI功能没有准备好之前
[00:05:21 - 00:05:22] 就对外宣传
[00:05:22 - 00:05:25] 这个决定让问题变得更加严重
[00:05:25 - 00:05:26] 至于苹果与OpenI的合作
[00:05:26 - 00:05:29] 和OpenI获得四余用户量不同
[00:05:29 - 00:05:31] 苹果的付费订阅并没有增加
[00:05:31 - 00:05:33] 整体的成本反而还上升了
[00:05:33 - 00:05:35] 我们再来介绍一下这次影响的高管
[00:05:35 - 00:05:38] 约翰·沾南德利亚曾经是谷歌的明星人物
[00:05:38 - 00:05:41] 也是Alphabet集团最资深的高管之一
[00:05:41 - 00:05:43] 曾经同领过搜索与AI部门
[00:05:43 - 00:05:46] 2018年他受聘加入苹果并且负责AI工作
[00:05:46 - 00:05:50] 在任期间他也曾经努力的去扭转一些不利的局面
[00:05:50 - 00:05:52] 比如说帮助苹果克服劣势
[00:05:52 - 00:05:55] 成功的招揽到部分顶尖的AI研究人员
[00:05:55 - 00:05:57] 还将公司的AI工作统一到了同一部门
[00:05:57 - 00:05:59] 实现了战略性的调整
[00:05:59 - 00:06:00] 但是外媒认为
[00:06:00 - 00:06:03] 没有能够为Siri语音助手打造出实用的底层技术
[00:06:03 - 00:06:05] 是他的一个重大失误
[00:06:05 - 00:06:06] 也有人指出
[00:06:06 - 00:06:08] 沾丹德利亚没有能够取得成功
[00:06:08 - 00:06:10] 归根结底 责任还得由地姆库克来承担
[00:06:10 - 00:06:13] 而阶梯沾丹德利亚接受Cerid 麦克·罗克威尔
[00:06:13 - 00:06:15] 虽然在硬件领域经验丰富
[00:06:15 - 00:06:18] 他打造的微人Pro被视为技术奇迹
[00:06:18 - 00:06:19] 但是在商业上并不成功
[00:06:19 - 00:06:21] 在苹果公司内部
[00:06:21 - 00:06:24] 麦克·罗克威尔就曾经多次毫无避讳的批评Cerid
[00:06:24 - 00:06:26] 多年来一直向高级副总裁们提出
[00:06:26 - 00:06:28] 改进Cerid的想法
[00:06:28 - 00:06:30] 希望Cerid能够更加具有个性化
[00:06:30 - 00:06:33] 最近几周他也还在不断的向AI团队提出建议
[00:06:33 - 00:06:37] 实际上Carrie背后反映出了苹果公司内部更大的一些问题
[00:06:37 - 00:06:41] 多年以来作为苹果AI部门的主力消费产品
[00:06:41 - 00:06:43] Carrie已经更换过了多位的负责人
[00:06:43 - 00:06:45] 早在迦南德利亚接手之前
[00:06:45 - 00:06:48] Carrie就一直保守工程和质量问题的困扰
[00:06:48 - 00:06:50] 2011年Carrie首次亮相
[00:06:50 - 00:06:53] 当时有软件主管斯科特.弗斯特尔负责
[00:06:53 - 00:06:56] 2012年她被移交给了服务主管I.D.Quai
[00:06:56 - 00:06:58] 2017年又化入现任的软件主管
[00:06:58 - 00:07:00] 克雷格.弗德里吉的回夏
[00:07:00 - 00:07:01] 一年之后
[00:07:01 - 00:07:03] 迦南德利亚接手并管理到今天
[00:07:03 - 00:07:06] 如今 隨著Siri歸到羅克維爾領導
[00:07:06 - 00:07:09] 克雷格福德里基再次贏得了地盤爭奪戰
[00:07:09 - 00:07:11] 將Siri轉移到了自己的團隊之下
[00:07:11 - 00:07:15] 目前 福德里基還在策劃對於蘋果核心軟件的大規模改造計劃
[00:07:15 - 00:07:18] 如今 蘋果正深陷AI發展的困境
[00:07:18 - 00:07:20] 技術明顯落後於行業的競爭對手
[00:07:20 - 00:07:22] 也沒有見到有效的追趕策略
[00:07:22 - 00:07:25] 儘管iPhone in TireGens仍然是iPhone 16的核心賣點
[00:07:25 - 00:07:29] 但是這個被寄予厚望的平台面臨著雙重的困境
[00:07:29 - 00:07:31] 既措施了市場先機
[00:07:31 - 00:07:33] 实际的效果也远远没有达到预期
[00:07:33 - 00:07:36] 针对于苹果如今在AI方面的落后态势
[00:07:36 - 00:07:37] 入边Ruers支付
[00:07:37 - 00:07:39] 黑的联合创始人戴维·海尼曼·汉松
[00:07:39 - 00:07:41] 就发出了尖锐的批评
[00:07:41 - 00:07:42] 他直言
[00:07:42 - 00:07:44] 苹果需要更多能够引领潮流的年轻人
[00:07:44 - 00:07:47] 而不是仅仅依靠勉强能够跟得上的老前辈
[00:07:47 - 00:07:49] 公开资料显示
[00:07:49 - 00:07:52] 苹果的董事会成员的平均年龄已经达到了68岁
[00:07:52 - 00:07:54] 近半数成员超过了70岁
[00:07:54 - 00:07:56] 最年轻的也有63岁
[00:07:56 - 00:07:59] 高管团队的情况也好不到哪去
[00:07:59 - 00:08:01] 平均的年龄徘徊在60岁左右
[00:08:01 - 00:08:02] 汉松认为
[00:08:02 - 00:08:04] 让一个老龄化的团队来统治这样一个
[00:08:04 - 00:08:07] 全球顶尖的科技公司实在荒谬
[00:08:07 - 00:08:07] 他举例说
[00:08:07 - 00:08:09] 苹果推出的J-Modji功能
[00:08:09 - 00:08:11] 可能董事会成员和领导层
[00:08:11 - 00:08:13] 也就是在快速演示的时候看到过
[00:08:13 - 00:08:15] 估计都没有人真正的用过
[00:08:15 - 00:08:17] 却还觉得这是年轻人想要的
[00:08:17 - 00:08:18] 这就很愚蠢
[00:08:18 - 00:08:21] 他强调公司人员构成需要年轻化和多元化
[00:08:21 - 00:08:23] 得有一些能够紧跟时代卖步的人
[00:08:23 - 00:08:25] 而不只是有人在试图跟上
[00:08:25 - 00:08:27] 更为令人担忧的是
[00:08:27 - 00:08:31] 几乎所有的苹果董事会成员都缺乏信息技术方面的背景和教育
[00:08:31 - 00:08:33] 导致创新法例
[00:08:33 - 00:08:35] 技术知识和远见的缺失十分明显
[00:08:35 - 00:08:39] 如今的苹果大多只是在重复和改进已有的东西
[00:08:39 - 00:08:41] 属于渐进式的发展而非革命性的创新
[00:08:41 - 00:08:44] 纯粹是依靠忠实的客户群体来存活
[00:08:44 - 00:08:46] 了想当年 2011年的时候
[00:08:46 - 00:08:49] Siri在iPhone4s发布会上压轴登场
[00:08:49 - 00:08:50] 可谓是风光无限
[00:08:50 - 00:08:52] 她不仅通过语音查天器
[00:08:52 - 00:08:53] 设定日程
[00:08:53 - 00:08:54] 不打电话这些操作演示
[00:08:54 - 00:08:56] 震撼了在场的所有人
[00:08:56 - 00:08:58] 也让全世界看到了未来科技的曙光
[00:08:58 - 00:08:59] 当时呢
[00:08:59 - 00:09:01] 史蒂夫-乔布斯对这项技术
[00:09:01 - 00:09:02] 寄予了厚望
[00:09:02 - 00:09:03] 即便自己的身体状况不佳
[00:09:03 - 00:09:04] 也依然深度参与了
[00:09:04 - 00:09:06] 收购Siri的过程
[00:09:06 - 00:09:07] 他看中的不仅是
[00:09:07 - 00:09:09] 与云助手这种交互方式的可能性
[00:09:09 - 00:09:11] 更是背后能够从用户的使用中
[00:09:11 - 00:09:13] 不断学习自我改进的
[00:09:13 - 00:09:14] 人工智能技术
[00:09:14 - 00:09:15] 然而呢
[00:09:15 - 00:09:16] 时过境迁
[00:09:16 - 00:09:18] 即使iPhone已经力精了多次的变革
[00:09:18 - 00:09:19] 可Siri呢
[00:09:19 - 00:09:20] 却好像一直停滞不前
[00:09:20 - 00:09:21] 如今呢
[00:09:21 - 00:09:22] 依然只是实现了一些
[00:09:22 - 00:09:23] 非常基础的功能
[00:09:26 - 00:09:27] 西西相關
[00:09:27 - 00:09:30] 地姆庫克更加強調科技的人文屬性
[00:09:30 - 00:09:32] 在優先級上甚至比創新還要高
[00:09:32 - 00:09:34] 去年彭博社就曾經爆料
[00:09:34 - 00:09:37] 蘋果內部對於生成式AI的態度非常的消極
[00:09:37 - 00:09:40] 導致他們在人工智能技術上逐漸落後
[00:09:40 - 00:09:42] 在大毛型技術方面也沒有太多的積累
[00:09:42 - 00:09:44] 前段時間Apple Intelligence
[00:09:44 - 00:09:46] 正式上線的通知摘要功能
[00:09:46 - 00:09:48] 也被發現存在著湖邊亂造的情況
[00:09:48 - 00:09:51] 不僅錯誤地改顯了自己應用的通知
[00:09:51 - 00:09:54] 還捏造了PTC世界非標錦標賽的冠軍
[00:09:54 - 00:09:57] 以及网球运动员拉菲尔·納达拉的兴趣象
[00:09:57 - 00:09:58] 在Serry宣布元期之后
[00:09:58 - 00:10:00] 不少人开始怀念乔布斯
[00:10:00 - 00:10:02] 如果是乔布斯领导下的苹果
[00:10:02 - 00:10:04] 这一切会不会有所不同呢?
[00:10:04 - 00:10:06] 著名的苹果分析师郭明基认为
[00:10:06 - 00:10:07] 如果是乔布斯
[00:10:07 - 00:10:09] 他会像处理天线门事件一样
[00:10:09 - 00:10:11] 亲自的出面向用户道歉
[00:10:11 - 00:10:12] 而不是像现在这样
[00:10:12 - 00:10:15] 通过第三方的渠道来宣布这个消息
[00:10:15 - 00:10:16] 不过呢 大飞我相信
[00:10:16 - 00:10:17] 如果是乔布斯
[00:10:17 - 00:10:19] 这一切大概率都不会发生
[00:10:19 - 00:10:21] 因为他绝对不会错过Serry这个
[00:10:21 - 00:10:23] 让苹果再次领先时代的机会
[00:10:23 - 00:10:26] 大家是如何看待蘋果在AI時代的落後呢
[00:10:26 - 00:10:28] 歡迎在評論區留言
[00:10:28 - 00:10:29] 感謝大家觀看
[00:10:29 - 00:10:30] 我們下期再見
