BV号：BV13qX8YyEXN
标题：BV13qX8YyEXN
链接：https://www.bilibili.com/video/BV13qX8YyEXN
识别语言：zh
语言置信度：1
分段数：290
生成时间：2026-08-30 10:17:46

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 我们经常会看到一些AI被用来诈骗的新闻
[00:04:12 - 00:04:14] 他们增加了现场面试
[00:04:14 - 00:04:15] 作为最后的中面
[00:04:15 - 00:04:17] 还进行了内部复盘
[00:04:17 - 00:04:19] 试图避免类似的事件再次发生
[00:04:19 - 00:04:20] 但是他们也意识到
[00:04:20 - 00:04:23] 对于完全远程的招聘流程来说
[00:04:23 - 00:04:26] 想要彻底杜绝假印拼者冒充他人身份的情况
[00:04:26 - 00:04:27] 依然困难重重
[00:04:27 - 00:04:28] 可是没有想到
[00:04:28 - 00:04:31] 仅仅在这件怀疑有AI伪装的假求职者事件
[00:04:31 - 00:04:33] 发生两个月之后
[00:04:33 - 00:04:35] 又有一位看似优秀的印拼者出现了
[00:04:35 - 00:04:37] 这位名叫布拉蒂斯拉夫
[00:04:37 - 00:04:39] 拉科切维齐的印拼者
[00:04:39 - 00:04:40] 来自于塞尔维亚
[00:04:40 - 00:04:42] 拥有当地大学的教育背景
[00:04:42 - 00:04:43] 他的Link的影资料
[00:04:43 - 00:04:46] 显示他是一名有着近10年经验的
[00:04:46 - 00:04:47] 资深全占开发者
[00:04:47 - 00:04:49] 在外部开发方面是专家
[00:04:49 - 00:04:51] 声称自己曾经在Halfspot和
[00:04:51 - 00:04:52] Wolston公司工作过
[00:04:53 - 00:04:55] 公司依然按照正常的招聘流程
[00:04:55 - 00:04:56] 对他进行筛选
[00:04:56 - 00:04:58] 在简历筛选阶段
[00:04:58 - 00:04:59] 虽然他的简历中
[00:04:59 - 00:05:01] 在当前的自由职业经历部分
[00:05:01 - 00:05:03] 使用了过多的行业流行词
[00:05:03 - 00:05:04] 但是好得到有些开发者
[00:05:04 - 00:05:06] 可能确实不太擅长写简历
[00:05:06 - 00:05:09] 而且他有过在知名公司工作的经历
[00:05:09 - 00:05:11] 所以还是给了他面试的机会
[00:05:11 - 00:05:13] 在初轮筛选的时候
[00:05:13 - 00:05:15] 候选人的整个交流过程有一些声音
[00:05:15 - 00:05:18] 他自成毕业于塞尔维亚克拉古叶尔茨大学
[00:05:18 - 00:05:19] 却不会说塞尔维亚语
[00:05:19 - 00:05:22] 不过公司鉴于他表现出的强烈球制动机
[00:05:22 - 00:05:24] 还是让他进入了下一轮
[00:05:24 - 00:05:26] 到了招聘经理面试的这一轮
[00:05:26 - 00:05:28] 由达维德亲自负责
[00:05:28 - 00:05:30] 达维德一看到线上视频中的硬拼者
[00:05:30 - 00:05:32] 就感觉有些不对劲
[00:05:32 - 00:05:33] 他发现硬拼者的长相
[00:05:33 - 00:05:36] 与林克的印上的头像不太一致
[00:05:36 - 00:05:37] 有了上次的经验
[00:05:37 - 00:05:38] 达维德起了一心
[00:05:38 - 00:05:39] 他开启了录制
[00:05:39 - 00:05:42] 并且要求应聘者做一个简单的动作
[00:05:42 - 00:05:44] 来检测他是否使用了AI换脸工具
[00:05:44 - 00:05:46] 他让应聘者把手放在脸前
[00:05:46 - 00:05:48] 然后把脸遮挡住一部分
[00:05:48 - 00:05:50] 结果应聘者拒绝了这个要求
[00:05:50 - 00:05:52] 达约德立刻就终止了面试
[00:05:52 - 00:05:54] 事后有观察者发现
[00:05:54 - 00:05:55] 这位应聘者的换脸对象
[00:05:55 - 00:05:58] 与波兰政治家斯拉沃尔米-门琴高度相似
[00:05:59 - 00:06:00] 结合这两起事件
[00:06:00 - 00:06:02] 公司团队怀疑这两名应聘者的背后
[00:06:02 - 00:06:03] 可能是同一个人
[00:06:03 - 00:06:06] 因为他们的声音几乎一模一样
[00:06:06 - 00:06:08] 第二个应聘者回答问题的方式
[00:06:08 - 00:06:09] 极其的自信
[00:06:09 - 00:06:11] 就好像之前被问过类似的问题一样
[00:06:11 - 00:06:13] 而且团队成员凭直觉
[00:06:13 - 00:06:15] 感觉曾经和他们交流过
[00:06:15 - 00:06:16] 很明显
[00:06:16 - 00:06:18] 第二个硬拼者的AI伪装质量
[00:06:18 - 00:06:19] 远不如第一个
[00:06:19 - 00:06:21] 在第三部面试的时候就被识破了
[00:06:21 - 00:06:24] 不过这也可能是因为有了上次的经验
[00:06:24 - 00:06:26] 公司团队保持了高度的警惕
[00:06:26 - 00:06:28] 但是随着时间的推移
[00:06:28 - 00:06:30] AI换点技术不断的进步
[00:06:30 - 00:06:31] 未来想要发现这类的伪装者
[00:06:31 - 00:06:33] 可能也会变得更加困难
[00:06:33 - 00:06:35] 那么从VDoc Security的故事中
[00:06:35 - 00:06:37] 我们不仅要去思考
[00:06:37 - 00:06:40] 企业该如何避免被AI应聘者欺骗呢
[00:06:40 - 00:06:42] 相信这也是很多公司都会关心的问题
[00:06:42 - 00:06:45] 首先一定要认真的对待这种可能性
[00:06:45 - 00:06:46] 不要觉得自己的公司规模小
[00:06:46 - 00:06:48] 就不会成为目标
[00:06:48 - 00:06:49] 就像Vidoc Security公司
[00:06:49 - 00:06:51] 在2023年2月
[00:06:51 - 00:06:53] 还只是一名只有两名员工
[00:06:53 - 00:06:55] 还没有获得任何融资的出创公司
[00:06:55 - 00:06:58] 就已经被AI伪装的应聘者给盯上了
[00:06:58 - 00:07:00] 甚至第一位应聘者还主动通过
[00:07:00 - 00:07:02] LinkedIn发送私信 询问招聘的信息
[00:07:02 - 00:07:06] 所以不要假设所有本地的球运者都是真实的
[00:07:06 - 00:07:09] 很可能会存在大规模的AI应聘者运营团队
[00:07:09 - 00:07:11] 利用AI换脸工具和伪造的简历
[00:07:11 - 00:07:14] 在视频面试中隐藏真实的身份
[00:07:14 - 00:07:16] 他们既然能找上小型的出账公司
[00:07:16 - 00:07:18] 也就能对任何其他公司下手
[00:07:18 - 00:07:22] 其次不要认为所有本地招聘网站上的求职者都是真实的
[00:07:22 - 00:07:26] Vidalk Security公司就曾经在一些本地招聘网站
[00:07:26 - 00:07:29] 比如波兰的JustJoinIT发布招聘信息
[00:07:29 - 00:07:33] 结果发现AI伪装者早已经在这些平台上活跃了
[00:07:33 - 00:07:37] 他们利用塞尔维亚、波兰等等东欧地区的身份进行伪装
[00:07:37 - 00:07:39] 通过这些小型低调的网站投地简历
[00:07:39 - 00:07:41] 另外在视频面试的时候
[00:07:41 - 00:07:44] 可以要求应聘者关闭所有的视频滤镜
[00:07:44 - 00:07:48] 现在很多的视频会议软件都会提供背景虚化或者是替换的功能
[00:07:48 - 00:07:51] 如果在要求关闭滤镜之后
[00:07:51 - 00:07:54] 仍然能够看到应聘者的面部或者是背景有些异常
[00:07:54 - 00:07:57] 基本就可以判定应聘者没有关闭所有的滤镜
[00:07:57 - 00:07:59] 这时候就可以合理的终止面试
[00:07:59 - 00:08:01] 还有在面试的过程中
[00:08:01 - 00:08:04] 可以要求印度者做一些目前AI换点工具
[00:08:04 - 00:08:05] 还难以应对的动作
[00:08:05 - 00:08:07] 比如说转动头部左右看
[00:08:07 - 00:08:09] 把手放在脸的面前
[00:08:09 - 00:08:10] 站起来并且后退
[00:08:10 - 00:08:12] 展示更多的身体细节等等
[00:08:12 - 00:08:15] 而且在获得对方同意的前提下
[00:08:15 - 00:08:17] 可以把面试的视频录制并且保存下来
[00:08:17 - 00:08:20] 虽然使用了AI换点工具的印度者
[00:08:20 - 00:08:22] 在实时的场景中可能难以识别
[00:08:22 - 00:08:24] 但是事后分析视频的时候
[00:08:24 - 00:08:25] 多少会发现一些端倪
[00:08:25 - 00:08:28] 当然了最好的避免被AI欺骗的方式
[00:08:28 - 00:08:30] 还是让候选人到现场进行面试
[00:08:30 - 00:08:32] 或者能够通过其他的方式
[00:08:32 - 00:08:34] 在线下来见面和判断
[00:08:34 - 00:08:35] 其实Vidoc Security公司
[00:08:35 - 00:08:37] 所遭遇的事情并非个例
[00:08:37 - 00:08:39] 去年7月份
[00:08:39 - 00:08:40] 美国著名的安全培训公司
[00:08:40 - 00:08:42] Nobiv4就招聘了一名假冒的
[00:08:42 - 00:08:44] 朝鲜AI技术人员
[00:08:44 - 00:08:46] 这个人也是通过AI幻点能的操作
[00:08:46 - 00:08:48] 通过了公司的招聘程序
[00:08:48 - 00:08:50] 直到他开始恶意使用公司
[00:08:50 - 00:08:51] 发放的电脑
[00:08:51 - 00:08:52] 差点尿成大货
[00:08:52 - 00:08:54] Nobiv4才发现了这件事情
[00:08:54 - 00:08:55] 还有其他开发者
[00:08:55 - 00:08:57] 也分享过类似的经历
[00:08:57 - 00:08:59] 有公司遇到一位波兰的求职者
[00:08:59 - 00:09:00] 带着很棒的简历联系他们
[00:09:00 - 00:09:03] 但是面试时没有打开摄像头
[00:09:03 - 00:09:04] 称自己不喜欢摄像头
[00:09:04 - 00:09:05] 公司也没太在意
[00:09:05 - 00:09:09] 之后安排再次通话深入了解技术水平的时候
[00:09:09 - 00:09:10] 却发现不是同一个人
[00:09:10 - 00:09:12] 当公司询问原因的时候
[00:09:12 - 00:09:14] 对方直接挂掉了电话
[00:09:14 - 00:09:16] 可以看出其实在AI出现之前
[00:09:16 - 00:09:18] 就已经有找人带面试
[00:09:18 - 00:09:19] 或者是找到工作后
[00:09:19 - 00:09:21] 在外包工作的情况存在了
[00:09:21 - 00:09:24] 前两天国内华为也爆出了这类的事件
[00:09:24 - 00:09:25] 只不过是更为恶劣的
[00:09:25 - 00:09:27] 内外勾结进行招聘舞弊
[00:09:27 - 00:09:30] 而现在AI的出现大大降低了欺诈的成本
[00:09:30 - 00:09:34] 以前找人带面试还需要花费一定的人力成本
[00:09:34 - 00:09:37] 现在利用AI只需要一些寄入手的和伪造的资料
[00:09:37 - 00:09:39] 就能够轻松伪装成专业的人才
[00:09:39 - 00:09:41] 对企业招聘造成了极大的威胁
[00:09:41 - 00:09:44] 不仅浪费了企业的招聘资源
[00:09:44 - 00:09:46] 还可能给企业带来潜在的安全风险
[00:09:46 - 00:09:48] 大飞我知道很多海外的科技公司
[00:09:48 - 00:09:50] 或者是国内出海的公司
[00:09:50 - 00:09:52] 都习惯于远程招聘面试
[00:09:52 - 00:09:53] 所以在这里也提醒大家
[00:09:53 - 00:09:55] 一定要擦亮眼睛
[00:09:55 - 00:09:57] 避免落入AI应聘者的片局中
[00:09:57 - 00:09:57] 好了
[00:09:57 - 00:09:59] 以上就是本期视频的内容了
[00:09:59 - 00:10:00] 感谢大家的观看
[00:10:00 - 00:10:01] 我们下期再见
