BV号：BV1ibcBehE5N
标题：BV1ibcBehE5N
链接：https://www.bilibili.com/video/BV1ibcBehE5N
识别语言：zh
语言置信度：1
分段数：261
生成时间：2026-08-30 19:59:10

[00:00:00 - 00:00:03] 这四动驾驶他的比较对象不是你的竞争对手
[00:05:53 - 00:05:55] 你可以讲的天花万绿队
[00:05:55 - 00:05:58] 算是对普通的香水者来说的话很简单
[00:05:58 - 00:06:00] 就是他上车以后五分钟
[00:06:00 - 00:06:03] 能不能感觉这个东西是完全与用不同的
[00:06:03 - 00:06:04] 它可以进来
[00:06:04 - 00:06:06] 其实就是这么简单的一个道理
[00:06:06 - 00:06:08] 这样的产品成了成能圈卖
[00:06:08 - 00:06:12] 我其实到现在为止 我最信仰的一个做产品的人还是还是是个joss
[00:06:13 - 00:06:18] 我觉得真正iPhone他所有的所有东西他所有的细节都做到位了 他没有什么他没有什么够动
[00:06:19 - 00:06:23] 这个是目前这一代产品人里面 我没有看到有谁达到他那个高度的
[00:06:24 - 00:06:29] 我希望地面硬的产品能是以这种标准去去去做我们自己的一个产品
[00:06:30 - 00:06:31] 去解决真正的问题
[00:06:32 - 00:06:36] 其实你要看自动价值的话 我觉得从价值来讲的话 我们简单看法三个阶段吧
[00:06:36 - 00:06:38] 第一个阶段它是一个高科技的玩具
[00:06:38 - 00:06:40] 以前一直是
[00:06:40 - 00:06:42] 然后它慢慢的变成一个什么价值呢
[00:06:42 - 00:06:44] 就是它在高速上面是好用的
[00:06:44 - 00:06:46] 二本里面其实是不太好用的
[00:06:46 - 00:06:47] 目前就是那个状态
[00:06:47 - 00:06:49] 然后它的价值就是
[00:06:49 - 00:06:52] 起码很多时候你不用看导航那么累了
[00:06:52 - 00:06:54] 你只需要去让它自己去认路开
[00:06:54 - 00:06:55] 去监督它就可以了
[00:06:55 - 00:06:57] 这个价值其实还是很不错的
[00:06:57 - 00:06:58] 省不少事
[00:06:58 - 00:07:00] 但是这个价值不够
[00:07:00 - 00:07:02] 因为中国和美国的国情不太一样
[00:07:02 - 00:07:04] 美国人其实下班以后
[00:07:04 - 00:07:09] 上班以后 或者上班 上班都是几乎都是走高速
[00:07:09 - 00:07:11] 中国不是的 中国其实一年上不了几次高速
[00:07:11 - 00:07:13] 中国的日本的问题非常非常好
[00:07:13 - 00:07:15] 是个creditable的问题
[00:07:15 - 00:07:19] 其实本质的问题是这么一个系统
[00:07:19 - 00:07:22] 是道理是系统依赖人还是人依赖行
[00:07:22 - 00:07:24] 谁给谁都抵的问题
[00:07:24 - 00:07:26] 你要是真正想让这个系统真的有价值
[00:07:26 - 00:07:28] 就是你每天加班加得很累的时候
[00:07:28 - 00:07:30] 你觉得开始开的时候
[00:07:30 - 00:07:31] 你自己感觉不太安全的时候
[00:07:31 - 00:07:32] 我经常会有这种状态
[00:07:32 - 00:07:34] 因为我加班加得比较多
[00:07:34 - 00:07:36] 这时候你能把系统接服 让它帮你开
[00:07:37 - 00:07:38] 你能放这个行
[00:07:38 - 00:07:40] 这个时候这个系统真正有价值
[00:07:40 - 00:07:41] 它就超越了一个软件的价值
[00:07:42 - 00:07:44] 这个时候我们自己在今年做到这个目标
[00:07:45 - 00:07:46] 所以
[00:07:47 - 00:07:48] 你要是真的讲起来的话
[00:07:48 - 00:07:49] 我觉得这两个点吧
[00:07:49 - 00:07:50] 一个是
[00:07:51 - 00:07:52] 一段时间端到端到这个
[00:07:52 - 00:07:53] 这个内人性不好意思
[00:07:53 - 00:07:56] 我应该就跟到这个软件这么适合才行
[00:07:56 - 00:07:57] 把内人性冲上去
[00:07:57 - 00:08:00] 因为内人性的目的不是那个内人
[00:08:01 - 00:08:03] 其实人开车的时候很多时候是欲望性价值去的
[00:08:03 - 00:08:05] 就是今天如果我们看到一个车
[00:08:05 - 00:08:07] 你还在很开心的看到它
[00:08:07 - 00:08:08] 不要说它开始
[00:08:08 - 00:08:09] 你说它绕不绕绕不绕绕了
[00:08:10 - 00:08:11] 它该不该杀了
[00:08:11 - 00:08:14] 这个其实这个系统的情况已经做得不太对了
[00:08:14 - 00:08:16] 如果你完全没有感觉这个车
[00:08:16 - 00:08:17] 在你的人的预判之前
[00:08:17 - 00:08:19] 已经把动作做完了
[00:08:19 - 00:08:20] 这个系统才是对的
[00:08:20 - 00:08:21] 这是我们的努力不改
[00:08:22 - 00:08:24] 第二个就是把车的整个的这个
[00:08:24 - 00:08:25] 紧急结果的安全性
[00:08:26 - 00:08:27] 至少要提升100倍
[00:08:28 - 00:08:29] 这件事情非常难
[00:08:29 - 00:08:30] 但是我们正在往上面做一些努力
[00:08:30 - 00:08:33] 也有了一些一些新方法论的一些线索
[00:08:33 - 00:08:35] 这两年是你达到以后
[00:08:35 - 00:08:38] 我相信我们应该是一个跟市场上所有的产品中不同类的产品
[00:08:39 - 00:08:42] 坦实的说我们就这么多人辛苦了这么多年
[00:08:42 - 00:08:45] 所以去做一个跟大家一样的东西
[00:08:46 - 00:08:47] 这不是我们这代人该做的事情
[00:08:48 - 00:08:50] 我们应该去解决一些真正的问题
[00:08:51 - 00:08:53] 而不是天天火在营销里面坦白的讲
[00:08:53 - 00:08:55] 我觉得中国的这几年的氛围
[00:08:55 - 00:08:57] 我是不太喜欢的
[00:08:57 - 00:08:58] 我觉得应该做一点正确的产品
[00:08:58 - 00:09:00] 解决一些正确的问题
