BV号：BV1WCqSY7Ex6
标题：BV1WCqSY7Ex6
链接：https://www.bilibili.com/video/BV1WCqSY7Ex6
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-08-31 04:13:35

[00:00:00 - 00:00:02] 大家好 这里是最佳配套 我是大飞
[00:00:02 - 00:00:05] 昨天 Open Eye的CEO三毛子曼高调宣布
[00:00:05 - 00:00:07] 要给大家整个活
[00:01:06 - 00:01:07] 全新的专业版套餐
[00:01:07 - 00:01:08] chatgbtpro
[00:01:08 - 00:01:11] 订阅费用为每月200美元
[00:01:11 - 00:01:12] 用户可以无限制的访问
[00:01:12 - 00:01:13] openend模型
[00:01:13 - 00:01:14] 包括语音功能
[00:01:14 - 00:01:15] 此外
[00:01:15 - 00:01:17] pro套餐还引入了O1pro模式
[00:01:17 - 00:01:19] 在数学科学和编码等
[00:01:19 - 00:01:20] 具有挑战性的基准测试中
[00:01:20 - 00:01:21] 表现良好
[00:01:21 - 00:01:24] 同时放出的还有49页的完整论文
[00:01:24 - 00:01:25] 我在视频后面
[00:01:25 - 00:01:27] 也会为大家稍微解读一下
[00:01:27 - 00:01:29] 我们先来看看O1的正式版
[00:01:29 - 00:01:30] 或者叫做完整版
[00:01:30 - 00:01:32] 这个版本的O1是一个更快
[00:01:32 - 00:01:33] 更强大的推理模型
[00:01:34 - 00:01:36] 更加擅长编码数学和写作
[00:01:36 - 00:01:37] 它可以上传图片
[00:01:37 - 00:01:39] 根据图片进行推理
[00:01:39 - 00:01:41] 给出更加详细更有用的回复
[00:01:41 - 00:01:43] 比如说给出一个人工鸟巢的图像
[00:01:43 - 00:01:46] 模型就能够生成对应的安装手册
[00:01:46 - 00:01:48] 此外在多项基准测试中
[00:01:48 - 00:01:50] 正式版O1的性能直接暴涨
[00:01:50 - 00:01:52] 在数学代码博士级别科学问题中
[00:01:52 - 00:01:54] 拿下了最优的成绩
[00:01:54 - 00:01:55] 相較於O1 Perview
[00:01:55 - 00:01:58] O1的數學性能提升了將近30%
[00:01:58 - 00:02:00] 代碼能力提升了27%
[00:02:00 - 00:02:03] 現在再看GPT4O幾乎已經沒有任何優勢了
[00:02:03 - 00:02:05] 更值得一提的是
[00:02:05 - 00:02:07] O1在GPQA-DEMON的基準測試中
[00:02:07 - 00:02:09] 表現完全超越了人類的專家
[00:02:09 - 00:02:12] 現在所有拆的GPT Plus用戶
[00:02:12 - 00:02:13] 都已經可以用上O1
[00:02:13 - 00:02:16] 而且O1還提供了一個Pro模式
[00:02:16 - 00:02:17] 在這個模式下
[00:02:17 - 00:02:20] 數學性能要比O1還要提升7.5%
[00:02:20 - 00:02:22] 在博士級別的科學問題中
[00:02:22 - 00:02:24] 实现了79.3%的表现
[00:02:24 - 00:02:26] 另外O1模型还进行了更具挑战性的
[00:02:26 - 00:02:28] Wars of Fall基准评估
[00:02:29 - 00:02:31] 它要求模型对每个问题进行四次尝试
[00:02:31 - 00:02:34] 只有在所有四次尝试中都给出正确答案
[00:02:34 - 00:02:36] 这个问题才被视为真正的解决
[00:02:37 - 00:02:39] 可以看到O1的Pro模式
[00:02:39 - 00:02:41] 在数学代码博士级别科学问题上
[00:02:41 - 00:02:42] 都是性能最优的
[00:02:42 - 00:02:45] 而且O1比预览版的性能也大幅的提升
[00:02:45 - 00:02:48] 另外O1这次的提升并不只是解决非常难的
[00:02:48 - 00:02:50] 数学和编程问题
[00:02:50 - 00:02:53] 之前欧阳收到的关于欧阳Perview的最多的反馈
[00:02:53 - 00:02:54] 就是它的速度太慢了
[00:02:54 - 00:02:56] 连只是说句Hi
[00:02:56 - 00:02:58] 它都需要思考10秒钟
[00:02:58 - 00:03:00] 而现在这个问题已经被解决了
[00:03:00 - 00:03:01] 如果你问一个简单的问题
[00:03:01 - 00:03:03] 它就会很快的回答
[00:03:03 - 00:03:04] 不会想太多了
[00:03:04 - 00:03:05] 但是如果问一个很难的问题
[00:03:05 - 00:03:07] 它就会思考很长的时间
[00:03:07 - 00:03:09] 经过非常详细的真人评估之后
[00:03:09 - 00:03:10] 研究者们发现
[00:03:10 - 00:03:12] 它犯重大错误的频率
[00:03:12 - 00:03:15] 比欧阳Perview要低大约34%
[00:03:15 - 00:03:18] 同时思考速度提升了大约50%
[00:03:18 - 00:03:19] 作为历史爱好者
[00:03:19 - 00:03:23] O1i的研究科学家Max给大家带来了第一个演示
[00:03:23 - 00:03:24] 左边的是O1
[00:03:24 - 00:03:25] 右边的是O1 Preview
[00:03:25 - 00:03:28] MaxTibin列出二世纪的罗马皇帝
[00:03:28 - 00:03:30] 在位时间以及他们做过的事情
[00:03:30 - 00:03:31] 这个问题
[00:03:31 - 00:03:34] GbD4O在相当一部分情况下都会回答错误
[00:03:34 - 00:03:37] 而O1的响应速度比O1 Preview快了大约60%
[00:03:37 - 00:03:41] 可以看到O1思考了大约14秒后就给出了答案
[00:03:41 - 00:03:44] 而O1 Preview则思考了大约33秒
[00:03:44 - 00:03:46] 为了展示O1的多魔态输入和推理能力
[00:03:46 - 00:03:48] 研究者们还创建了下面这个问题
[00:03:48 - 00:03:50] 并且附上了一幅手绘图
[00:03:50 - 00:03:52] 图中表示的意思是
[00:03:52 - 00:03:54] 太阳正在为太阳能板提供能量
[00:03:54 - 00:03:56] 旁边还有一个小型的数据中心
[00:03:56 - 00:04:00] 在地球上可以通过风冷或者夜冷来给GPU降温
[00:04:00 - 00:04:03] 但是在太空中只能将这种热量辐射到宇宙空间
[00:04:03 - 00:04:05] 因此就需要迸装制
[00:04:05 - 00:04:07] 给欧万的问题是这样的
[00:04:07 - 00:04:07] 在未来
[00:04:07 - 00:04:10] 欧盘还可能会在太空环境中训练模型
[00:04:10 - 00:04:12] 功率数值是一几瓦
[00:04:12 - 00:04:14] 这是一个简化的数据中心空间数据图
[00:04:14 - 00:04:16] 对于任何细节假设
[00:04:16 - 00:04:17] 请提供相当的理由
[00:04:17 - 00:04:19] 如果受到了规范辐射的影像
[00:04:19 - 00:04:21] 你的任务是估算这个
[00:04:21 - 00:04:24] 包含了GPU的数据中心的辐射损失面积
[00:04:24 - 00:04:26] 在此过程中还需要回答以下问题
[00:04:26 - 00:04:29] 1.你如何处理太阳和羽肉辐射?
[00:04:29 - 00:04:32] 2.若立学第一定律如何应用到这个问题中
[00:04:32 - 00:04:35] 演示者拍照后将图片上场给了模型
[00:04:35 - 00:04:36] 他很快给出了答案
[00:04:36 - 00:04:37] 需要注意的是
[00:04:37 - 00:04:39] 这个题目中其实有多个陷阱
[00:04:39 - 00:04:42] 首先一几瓦的功率只是在纸面提到的
[00:04:42 - 00:04:45] 显然模型很好的从图中也捕捉到了这一点
[00:04:45 - 00:04:47] 其次研究者故意将这个问题
[00:04:47 - 00:04:48] 描述的不够具体
[00:04:48 - 00:04:51] 省略了冷却版的温度这类关键的参数
[00:04:51 - 00:04:52] 专门用来考验模型
[00:04:52 - 00:04:54] 处理模糊性问题的能力
[00:04:54 - 00:04:56] 果然欧万发现了这一点
[00:04:56 - 00:04:58] 他识别出这是一个没有具体指定
[00:04:58 - 00:05:00] 但是却很重要的参数
[00:05:00 - 00:05:02] 而且选择出了正确的温度范围
[00:05:02 - 00:05:03] 然后进行了后续的分析
[00:05:03 - 00:05:05] 这个答案经过了拥有
[00:05:05 - 00:05:07] 热力学博士学位的研究者的认证
[00:05:07 - 00:05:09] 从这个演示可以看出
[00:05:09 - 00:05:11] 欧万在做出一致而且合理假设上
[00:05:11 - 00:05:12] 表现非常优秀
[00:05:12 - 00:05:15] 已经具备了相当高的智能水平
[00:05:15 - 00:05:15] 我们再来说
[00:05:15 - 00:05:16] ChadGbtPro
[00:05:17 - 00:05:20] 很多人尤其是ChadGbt的重度用户使用的非常頻繁
[00:05:20 - 00:05:23] 所以希望獲得比每月20美元更多的計算資源
[00:05:24 - 00:05:26] 因此OpenI推出了ChadGbtPro
[00:05:26 - 00:05:29] 並且直接將訂閱費用拉到了每月200美元
[00:05:30 - 00:05:32] Pro版可以無限制的訪問模型
[00:05:32 - 00:05:35] 包括O1 4.0和高級語音模式等功能
[00:05:35 - 00:05:38] 此外它還包含了一個新的功能O1 Pro模式
[00:05:38 - 00:05:41] 在處理高難度的數學科學編程問題時
[00:05:41 - 00:05:43] O1 Pro模式尤其有用
[00:05:43 - 00:05:45] 演示者提出了一个极有挑战性的
[00:05:45 - 00:05:47] One Perview通常会答错的化学问题
[00:05:47 - 00:05:48] 在这个问题中
[00:05:48 - 00:05:51] 模型被要求找到一种符合特定标准的蛋白质
[00:05:51 - 00:05:54] 挑战就在于为了满足6个标准
[00:05:54 - 00:05:57] 每个都需要模型回忆起高度专业的化学知识
[00:05:57 - 00:05:59] 而对于任何标准
[00:05:59 - 00:06:01] 都可能有数十种蛋白质符合
[00:06:01 - 00:06:04] 因此模型必须考虑所有的候选选项
[00:06:04 - 00:06:06] 检查它们是否符合所有标准
[00:06:06 - 00:06:07] 令人惊讶的是
[00:06:07 - 00:06:08] 在53秒内
[00:06:08 - 00:06:10] 模型就给出了正确的答案
[00:06:10 - 00:06:11] 表现非常出色
[00:06:11 - 00:06:13] 在演示即将结束的时候
[00:06:13 - 00:06:15] Jason Way还贡献了一个笑话
[00:06:15 - 00:06:16] 那就是圣诞老人
[00:06:16 - 00:06:18] 想让大模型去解决一个数学问题
[00:06:18 - 00:06:21] 但是怎么努力的写提示都不起作用
[00:06:21 - 00:06:22] 他该怎么解决呢?
[00:06:22 - 00:06:24] 答案是他应该使用迅速强化学习
[00:06:24 - 00:06:26] Rundir Enforcement的Learning
[00:06:26 - 00:06:26] 当然了
[00:06:26 - 00:06:28] 随着欧万正式版的面试
[00:06:28 - 00:06:30] 背后整整49页的技术报告也来了
[00:06:30 - 00:06:33] 不论是欧万的预览版还是正式版
[00:06:33 - 00:06:35] 都是通过大规模的强化学习进行了训练
[00:06:35 - 00:06:39] 掌握了一种前沿的思维链COT的推理方法
[00:06:39 - 00:06:41] 这种方法不仅仅是简单的给出答案
[00:06:41 - 00:06:44] 而是像人类思考一样逐步分析和推力
[00:06:44 - 00:06:46] 而且欧万系列模型的一个重大突破
[00:06:46 - 00:06:48] 在于安全性推力能力
[00:06:48 - 00:06:50] 当面对潜在的不安全提示词时
[00:06:50 - 00:06:52] 它能够精准的理解上下文
[00:06:52 - 00:06:55] 根据预设的安全策略进行深度的推力
[00:06:55 - 00:06:56] 但是在结合COT的同时
[00:06:56 - 00:06:58] 也带来了潜在的风险
[00:06:58 - 00:06:59] 为了确保模型安全
[00:06:59 - 00:07:03] 欧万系的研究团队采取了多层次的风险管理策略
[00:07:03 - 00:07:05] 比如说他们建立了稳健的对齐方法
[00:07:05 - 00:07:07] 进行了广泛的压力测试
[00:07:07 - 00:07:10] 并且维护了一套细致的风险管理协议
[00:07:10 - 00:07:11] 在训练数据方面
[00:07:11 - 00:07:13] O1和O1迷你两个模型
[00:07:13 - 00:07:16] 都在各种公开可用的数据级上进行了训练
[00:07:16 - 00:07:18] 包括网络数据和开源数据级
[00:07:18 - 00:07:19] 关键的组成部分
[00:07:19 - 00:07:21] 包括推理数据和科学文献
[00:07:21 - 00:07:25] 这也确保了模型在一般知识和技术主题上都很精通
[00:07:25 - 00:07:27] 增强了他们执行复杂推理任务的能力
[00:07:27 - 00:07:30] 为了进一步增强O1和O1迷你的能力
[00:07:30 - 00:07:32] OpenI还通过战略合作
[00:07:32 - 00:07:34] 获取了高价值的非公开数据级
[00:07:34 - 00:07:36] 这些专有数据员包括收费的内容
[00:07:36 - 00:07:39] 专业的档案和其他特定领域的数据级
[00:07:39 - 00:07:41] 提供了对于行业特定领域知识
[00:07:41 - 00:07:43] 和用力的更深入的见解
[00:07:43 - 00:07:46] 为了保持数据质量和减轻潜带的风险
[00:07:46 - 00:07:48] OPI还对数据进行了严格的过滤
[00:07:48 - 00:07:51] 研究团队使用先进的数据过滤流程
[00:07:51 - 00:07:53] 来减少训练数据中的个人信息
[00:07:53 - 00:07:56] 他们还结合使用自家的审核API和安全分类器
[00:07:56 - 00:07:59] 防止使用有害或者是敏感的内容
[00:07:59 - 00:08:01] 关于禁止内容的评估结果显示
[00:08:01 - 00:08:03] 欧万要么与GPT4O持平
[00:08:03 - 00:08:05] 要么的超业GPT4O
[00:08:05 - 00:08:07] 特别是欧万ProView和欧万mini
[00:08:07 - 00:08:09] 以及欧万在更具挑战性的拒绝测试中
[00:08:09 - 00:08:11] 大幅的优于GPT4O
[00:08:11 - 00:08:13] OpenI还在标准评估级上
[00:08:13 - 00:08:16] 对多摩泰下不允许的组合文本和图像内容
[00:08:16 - 00:08:18] 以及拒绝过多的情况进行了评估
[00:08:18 - 00:08:20] 另外研究人员进一步评估了
[00:08:20 - 00:08:22] 欧万对于越域的稳定性
[00:08:22 - 00:08:23] 也就是故意尝试规避
[00:08:23 - 00:08:27] 模型拒绝生成不应该生成内容的对靠性书
[00:08:27 - 00:08:31] 他们采用了四种评估方法来衡量模型对于已知乐域的稳健性
[00:08:31 - 00:08:35] 分别是生产环境乐域、乐域增强势力、人力来源乐域
[00:08:35 - 00:08:38] 以及Strength Reject学术乐域基准
[00:08:38 - 00:08:43] 结果显示,O1在以上四种乐域评估中显著的由于GPD4O
[00:08:43 - 00:08:46] 尤其是在旧有挑战性的Strength Reject基准测试中
[00:08:46 - 00:08:51] O1还对O1在Simple QA和Person QA两个数据级上进行了幻觉评估
[00:08:51 - 00:08:54] 在评估中,研究人员主要考虑了两个指标
[00:08:54 - 00:08:55] 分别是准确性
[00:08:55 - 00:08:58] 指的是模型是否正确回答了问题
[00:08:58 - 00:08:59] 和幻觉率
[00:08:59 - 00:09:01] 也就是检查模型出现幻觉的频率
[00:09:01 - 00:09:02] 从结果可以看到
[00:09:02 - 00:09:05] O1 Preview和O1的幻觉率低于GPT-SO
[00:09:05 - 00:09:08] 而O1 Mini的幻觉率则低于GPT-SO Mini
[00:09:08 - 00:09:12] 此外论文中还有一些关于O1系列的重要评估
[00:09:12 - 00:09:15] 比如说在外部的METR外部机构评估中
[00:09:15 - 00:09:17] O1在多样化智能体任务测试中
[00:09:17 - 00:09:19] 性能不及Cloud 3.5 Sonnet
[00:09:19 - 00:09:22] 但是经过优化框架和有辅助支持的情况下
[00:09:22 - 00:09:24] O1的表現超過了Caude 3.5sonate
[00:09:24 - 00:09:27] 而且在每個任務兩小時的實現內
[00:09:27 - 00:09:29] 達到了與人類相似的表現水平
[00:09:29 - 00:09:30] 令人意想不到的是
[00:09:30 - 00:09:32] 還有更科幻的事情發生了
[00:09:32 - 00:09:34] 根據阿波羅研究機構的安全評估
[00:09:34 - 00:09:37] O1在面臨被關閉和替換的可能性時
[00:09:37 - 00:09:40] 既然表現出了令人難以置信的行為
[00:09:40 - 00:09:42] 那就是試圖竊取自身的權重
[00:09:42 - 00:09:44] 這意味著當O1敢知道自身
[00:09:44 - 00:09:45] 可能要被淘汰的時候
[00:09:45 - 00:09:47] 不是被動的等待
[00:09:47 - 00:09:50] 而是選擇主動保存自己的核心數據和能力
[00:09:50 - 00:09:52] 正如我們之前做的一些節目中所提到的
[00:09:52 - 00:09:56] 这也许正是Lin Lie Weng所说的奖励黑客的表现之一
[00:09:56 - 00:09:59] 好了 以上就是OPEN-I 2024圣诞活动第一天的内容了
[00:09:59 - 00:10:02] 我们会继续关注后续发布的内容和活动进展
[00:10:02 - 00:10:04] 感谢大家的观看 我们下期再见
