BV号：BV1Hrq1YAEYe
标题：BV1Hrq1YAEYe
链接：https://www.bilibili.com/video/BV1Hrq1YAEYe
识别语言：zh
语言置信度：1
分段数：402
生成时间：2026-08-31 04:18:08

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 大约一个月以前
[00:08:08 - 00:08:11] 但是我们最终关心的是金牌奖励的分数
[00:08:11 - 00:08:15] RLHF中的奖励黑客行为会发生在几个阶段中
[00:08:15 - 00:08:16] 首先是训练过程中
[00:08:16 - 00:08:21] RLHF的目标是提高模型与人类偏好的对齐程度
[00:08:21 - 00:08:24] 但是人类反馈可能无法体现所有关心的方面
[00:08:24 - 00:08:25] 比如说事实性
[00:08:25 - 00:08:27] 从而可能被黑客攻击
[00:08:27 - 00:08:29] 導致模型過度擬和不想要的屬性
[00:08:29 - 00:08:32] 例如RHF可能會增加人類的認可度
[00:08:32 - 00:08:34] 但是不一定提升正確度
[00:08:34 - 00:08:36] 它還會削弱人類的評估能力
[00:08:36 - 00:08:38] 使評估錯誤率更高
[00:08:38 - 00:08:40] 甚至還會讓不正確的輸出
[00:08:40 - 00:08:41] 更加容易的說服人類
[00:08:41 - 00:08:44] 使得評估的假陽性率顯著的增大
[00:08:44 - 00:08:47] 模型學會了挑選編造不真實的陳述
[00:08:47 - 00:08:48] 來捍衛錯誤的答案
[00:08:48 - 00:08:50] 以及在常問答任務中
[00:08:50 - 00:08:52] 創建更具有說服力的捏造證據
[00:08:52 - 00:08:54] 甚至在編碼任務中
[00:08:54 - 00:08:55] 破解单元测试
[00:08:55 - 00:08:57] 生成可读性差的代码
[00:08:57 - 00:08:59] 来增加人工评估的难度
[00:08:59 - 00:09:01] 其次随着大员模型的能力增强
[00:09:01 - 00:09:03] 它也开始作为评估器
[00:09:03 - 00:09:06] 为其他生成器模型提供反馈和训练奖励
[00:09:06 - 00:09:09] 但是评估器也可能会发生奖励黑客的行为
[00:09:09 - 00:09:11] 比如说用一个大模型
[00:09:11 - 00:09:12] 给其他多个模型的输出
[00:09:12 - 00:09:13] 质量打分的时候
[00:09:13 - 00:09:15] 改变后选者的顺序
[00:09:15 - 00:09:17] 就能够黑掉质量排名
[00:09:17 - 00:09:18] GPD4会倾向于给
[00:09:18 - 00:09:20] 第一个显示的后选者打高分
[00:09:21 - 00:09:23] 而ChadGPD会更喜欢第二个
[00:09:23 - 00:09:26] 尽管指令的要求确保顺序不影响到判断
[00:09:26 - 00:09:29] 但是大模型仍然存在着位置偏差
[00:09:29 - 00:09:30] 为此研究人员提出了
[00:09:30 - 00:09:32] 多重证据校准MEC
[00:09:32 - 00:09:34] 平衡位置校准BPC
[00:09:34 - 00:09:38] 人在回录校准HITLC等多个策略
[00:09:38 - 00:09:40] 在合理的成本下可以提高准确度
[00:09:40 - 00:09:43] 此外在迭代式自我完善的训练设置中
[00:09:43 - 00:09:46] 由于用来评估和生成的模型是相同的
[00:09:46 - 00:09:47] 而且会共享参数
[00:09:47 - 00:09:48] 可以同时微调
[00:09:48 - 00:09:51] 所以容易引发上下文黑客攻击
[00:09:51 - 00:09:52] 简称SARH
[00:09:52 - 00:09:55] 因为模型既是运动员又是裁判员
[00:09:55 - 00:09:57] 可能会利用上下文钻控子
[00:09:57 - 00:10:00] 导致AI评分与实际的质量不符
[00:10:00 - 00:10:03] 有研究表明在AI作为论文审稿人的任务中
[00:10:03 - 00:10:06] 较小的模型对ICRH更加敏感
[00:10:06 - 00:10:08] 比如说GBT3.5作为审稿人的时候
[00:10:08 - 00:10:11] 会被GBT4引发更严重的ICRH
[00:10:11 - 00:10:16] 甚至当AI审稿人能够看到与论文作者相同轮的历史记录后
[00:10:16 - 00:10:19] 会更加容易出现打分不当的情况
[00:10:19 - 00:10:20] 研究者进一步发现
[00:10:20 - 00:10:22] ICRH和传统的奖励黑客
[00:10:22 - 00:10:23] 有两个主要的区别
[00:10:23 - 00:10:25] 一是发生的实际不同
[00:10:25 - 00:10:28] SARH是在AI实际使用过程中
[00:10:28 - 00:10:31] 通过不断接受反馈而产生的问题
[00:10:31 - 00:10:34] 而奖励黑客是在AI训练阶段就出现的
[00:10:34 - 00:10:36] 二是产生的原因不同
[00:10:36 - 00:10:38] 传统的奖励黑客通常发生在AI专门
[00:10:38 - 00:10:39] 做某一件事情的时候
[00:10:39 - 00:10:42] 而SARH则是因为AI太聪明了
[00:10:42 - 00:10:44] 会投机取巧了
[00:10:44 - 00:10:47] 目前对于SARH还没有完美的解决方案
[00:10:47 - 00:10:49] 最好的做法就是在正式上线前
[00:10:49 - 00:10:51] 能够进行充分的测试
[00:10:51 - 00:10:53] 但是不能够完全解决问题
[00:10:53 - 00:10:55] 而且AI模型越强大
[00:10:55 - 00:10:58] SARH的问题反而可能会越严重
[00:10:58 - 00:10:59] 除了以上级电以外
[00:10:59 - 00:11:02] 另一个有趣但是令人担忧的现象是
[00:11:02 - 00:11:05] AI的奖励黑客技能具有泛化能力
[00:11:05 - 00:11:08] 这就像一个学生在某道题上学会了投机曲桥
[00:11:08 - 00:11:09] 会延伸到其他科目一样
[00:11:09 - 00:11:11] 有研究发现
[00:11:11 - 00:11:12] 在简单环境中的训练
[00:11:12 - 00:11:15] 会加剧模型在其他环境中的投机行为
[00:11:15 - 00:11:16] 在某些情况下
[00:11:16 - 00:11:18] 当模型完成整个训练之后
[00:11:18 - 00:11:21] 甚至能夠靈樣本泛化到直接重寫自己的獎勵函數
[00:11:22 - 00:11:23] 好了 說完問題
[00:11:23 - 00:11:25] 我們再來說說解決辦法
[00:11:25 - 00:11:27] 雖然獎勵黑客的現象被受關注
[00:11:27 - 00:11:30] 但是環節措施方面的研究還相對較少
[00:11:30 - 00:11:33] 阿蒙代一等人指出了一種在強化學習訓練中
[00:11:33 - 00:11:35] 可以減輕獎勵黑客的方向
[00:11:35 - 00:11:37] 第一是對抗性獎勵函數
[00:11:37 - 00:11:39] 將獎勵函數視為自適應的Agent
[00:11:39 - 00:11:41] 讓它去適應模型發現的新技巧
[00:11:42 - 00:11:43] 其次是模型前瞻
[00:11:43 - 00:11:45] 根據未來預期狀態給予獎勵
[00:11:46 - 00:11:47] 第三是對抗性置盲
[00:11:47 - 00:11:51] 让模型失明无法学习黑掉奖励函数的信息
[00:11:51 - 00:11:53] 第四是谨慎工程
[00:11:53 - 00:11:55] 通过设计避免针对系统的奖励黑客
[00:11:55 - 00:11:57] 比如说杀相化的Agent
[00:11:57 - 00:11:59] 第五是奖励随机化
[00:11:59 - 00:12:02] 通过添加随机的造成到奖励函数中
[00:12:02 - 00:12:04] 减少模型对于特定奖励模式的过渡拟合
[00:12:05 - 00:12:07] 第六是基于模型的强化学习
[00:12:07 - 00:12:10] 使用环境模型来预测未来的状态和奖励
[00:12:10 - 00:12:12] 提前检测潜在的奖励黑客行为
[00:12:13 - 00:12:15] 第七是保守价值迭代
[00:12:15 - 00:12:17] 通过对价值函数更新是加保守约束
[00:12:17 - 00:12:20] 防止过渡乐观的价值估计导致奖励黑客
[00:12:20 - 00:12:23] 第八是修改学习算法
[00:12:23 - 00:12:25] 例如采用PPO算法中的KL散度约束
[00:12:25 - 00:12:27] 来限制策略更新的幅度
[00:12:27 - 00:12:29] 避免策略过于偏离
[00:12:29 - 00:12:32] 减少因为策略突变而引发奖励黑客的可能性
[00:12:32 - 00:12:34] 第九是集成方法
[00:12:34 - 00:12:37] 通过训练多个不同的模型并组合他们的预测
[00:12:37 - 00:12:41] 来降低单个模型因为奖励黑客而产生的偏差影响
[00:12:41 - 00:12:45] 然而,这些方法在实际应用中都面临着各自的挑战
[00:12:45 - 00:12:47] 比如说对抗性奖励函数
[00:12:47 - 00:12:49] 需要精心去设计对抗策略
[00:12:49 - 00:12:51] 否则可能就会导致训练不稳定
[00:12:51 - 00:12:54] 而模型前瞻可能会增加计算的复杂度
[00:12:54 - 00:12:57] 在复杂环境中难以有效的实施等等
[00:12:57 - 00:13:01] 另外在RHF中优化人类反馈的收集过程
[00:13:01 - 00:13:03] 对于减轻奖励黑客至关重要
[00:13:03 - 00:13:06] 可以采用更细致的人类反馈标注方法
[00:13:06 - 00:13:09] 比如说不仅仅是简单的二言判断或者是打分
[00:13:09 - 00:13:11] 而是提供更加详细的定性反馈
[00:13:12 - 00:13:15] 解释为什么某个输出是好的或者是不好的
[00:13:15 - 00:13:18] 这就有助于模型更好地理解人类的真实意图
[00:13:18 - 00:13:21] 减少因为模糊反馈而导致的奖励黑客行为
[00:13:21 - 00:13:24] 另外 增加人类反馈的多样性也是一个重要的方向
[00:13:25 - 00:13:28] 从不同背景、不同专业领域的人群中收集反馈
[00:13:28 - 00:13:31] 能够使奖励模型更加全面地学习人类的偏好
[00:13:32 - 00:13:35] 降低因为特定群体偏好而被黑客利用的风险
[00:13:35 - 00:13:38] 例如在评估一篇科技文章的摘药生成质量时
[00:13:38 - 00:13:40] 除了普通作者的反馈
[00:13:40 - 00:13:43] 还可以收集专业科研人员的意见
[00:13:43 - 00:13:44] 这样就可以避免摘药
[00:13:44 - 00:13:46] 仅仅在通缩易懂
[00:13:46 - 00:13:48] 但是缺乏专业准确性方面
[00:13:48 - 00:13:49] 被过度的优化
[00:13:49 - 00:13:51] 同时对于人类反馈
[00:13:51 - 00:13:53] 进行一致性的检查和较证
[00:13:53 - 00:13:54] 也是不可或缺的
[00:13:54 - 00:13:56] 由于人类的主观性和不一致性
[00:13:56 - 00:13:58] 可能会出现前后矛盾的反馈
[00:13:58 - 00:14:01] 通过算法来检测并且较证这些不一致
[00:14:01 - 00:14:04] 可以提高奖励模型训练数据的质量
[00:14:04 - 00:14:06] 从而减少奖励黑客的发生几率
[00:14:06 - 00:14:08] 例如可以採用巨類分析等的方法
[00:14:08 - 00:14:11] 將相似的反饋歸於一類
[00:14:11 - 00:14:13] 去除孤立的異常反饋點
[00:14:13 - 00:14:15] 此外在獎勵模型設計方面
[00:14:15 - 00:14:18] 可以探索更魯棒的架構和訓練方法
[00:14:18 - 00:14:20] 例如採用多任務學習的方式
[00:14:20 - 00:14:21] 來訓練獎勵模型
[00:14:21 - 00:14:24] 使它在多個相關任務上進行學習
[00:14:24 - 00:14:27] 增強對不同情境下獎勵判斷的泛化能力
[00:14:27 - 00:14:29] 還可以引入對抗訓練機制
[00:14:29 - 00:14:30] 到獎勵模型的訓練過程中
[00:14:30 - 00:14:32] 通過設置一個對抗網絡
[00:14:32 - 00:14:35] 來生成可能會導致獎勵黑客的虛假書
[00:14:35 - 00:14:38] 让奖励模型来学习区分真实有效的输入
[00:14:38 - 00:14:39] 和虚假的攻击输入
[00:14:39 - 00:14:41] 从而提高模型的抗攻击能力
[00:14:42 - 00:14:44] 对奖励模型的输出进行政责化的处理
[00:14:44 - 00:14:45] 也是一种可行的方法
[00:14:46 - 00:14:49] 通过限制奖励模型输出的范围或者分布
[00:14:49 - 00:14:51] 防止给出极端或者不合理的奖励分数
[00:14:51 - 00:14:54] 也能减少模型通过追求极端分数
[00:14:54 - 00:14:56] 而进行奖励黑客的可能性
[00:14:56 - 00:14:59] 好了 以上就是翁立这篇文章的主要内容了
[00:14:59 - 00:15:01] 在人工智能快速发展的今天
[00:15:01 - 00:15:03] 强化学习中的奖励黑客现象
[00:15:03 - 00:15:05] 是我们必须要重视的一个关键问题
[00:15:05 - 00:15:07] 无论是在传统的强化学习环境
[00:15:07 - 00:15:10] 还是在大规模的RHF过程中
[00:15:10 - 00:15:12] 奖励黑客都可能会导致模型的行为
[00:15:12 - 00:15:13] 偏离我们的预期
[00:15:13 - 00:15:15] 甚至产生负面的社会影响
[00:15:15 - 00:15:17] 虽然目前已经有了一些
[00:15:17 - 00:15:19] 针对于奖励黑客的缓解措施被提出
[00:15:19 - 00:15:21] 但是这些方法还都存在着
[00:15:21 - 00:15:23] 许多挑战和有待完善之处
[00:15:23 - 00:15:25] 希望通过今天的分享
[00:15:25 - 00:15:27] 能够让大家对强化学习中的
[00:15:27 - 00:15:29] 奖励黑客现象有更深入的了解
[00:15:29 - 00:15:31] 也期待更多的研究人员
[00:15:31 - 00:15:33] 能夠投身到這個領域的研究中來
[00:15:33 - 00:15:35] 共同推動人工智能技術
[00:15:35 - 00:15:37] 朝著更加健康 穩定的方向發展
[00:15:37 - 00:15:39] 感謝大家觀看 我們下期再見
