BV号：BV1AdH9zcEcU
标题：BV1AdH9zcEcU
链接：https://www.bilibili.com/video/BV1AdH9zcEcU
识别语言：zh
语言置信度：1
分段数：1243
生成时间：2026-08-29 23:49:51

[00:00:00 - 00:00:02] 大家好,我是为什么叫QQ。
[00:01:47 - 00:01:50] 都在围绕如何突破存储平价,做文章
[00:01:50 - 00:01:52] 而且方向非常清晰
[00:01:52 - 00:01:57] 要么优化内存架构,要么支持更低精度的数据格式,
[00:01:57 - 00:02:01] 要么实现超大规模芯片互联,同时还要兼顾能效,
[00:02:01 - 00:02:06] 毕竟现在数据中心的电费已经成了很多企业的沉重负担。
[00:02:06 - 00:02:10] 我们先来看Marvel的方案,他们提出了一个观点,
[00:02:10 - 00:02:15] 存储是唯一重要的东西,并且拿出了三项针对性创新。
[00:02:15 - 00:02:20] 分别是定制SRAM,定制HBM和CXL控制器。
[00:02:20 - 00:02:27] 这三者层层配合,从近内存到远内存,全面优化带宽和延迟。
[00:02:27 - 00:02:39] 先说定制SRAM,SRAM是离AI加速器最近的内存,速度最快,但是容量小,所以优化它的关键是,如何在有限的空间里炸出更多的带宽。
[00:02:39 - 00:02:46] Marvel展示了业界首款两纳米定制SRAM设计,这款产品能够提供6GB的高速内存。
[00:02:46 - 00:02:48] 最关键的是它的性价比
[00:02:48 - 00:02:50] 在相同工艺尺寸下
[00:02:50 - 00:02:53] 它的带宽密度是标准SRM的17倍
[00:02:53 - 00:02:55] 所需面积减少50%
[00:02:55 - 00:02:58] 待机功耗还能减少66%
[00:02:58 - 00:03:00] 那它是怎么做到的呢
[00:03:00 - 00:03:02] 核心是三个思路
[00:03:02 - 00:03:04] 一是让SRM运行的速度更快
[00:03:04 - 00:03:07] 二是把SRM的单元做得更宽
[00:03:07 - 00:03:09] 这样能一次传更多数据
[00:03:09 - 00:03:11] 三是增加更多端口
[00:03:11 - 00:03:13] 让同时读写的通道更多
[00:03:13 - 00:03:19] 这样一来,哪怕是EMB的大型SRAM阵列也能够保持高带宽密度。
[00:03:19 - 00:03:26] 这对需要高频读取数据的AI推理场景来说,简直是一场即时语,然后是定制HBM。
[00:03:26 - 00:03:31] HBM,也就是高带宽内存,现在是高端AI芯片的标配。
[00:03:31 - 00:03:37] 但是它有个问题,就是接口会占用大量的片场空间,挤占计算单元的位置。
[00:03:37 - 00:03:46] Marvel的解法是和SK海力士三星美光这三大HBM供应商合作优化HBM的机片和接口
[00:03:46 - 00:03:49] 具体来说就是减少IO接口的面积
[00:03:49 - 00:03:53] 腾出芯片边缘的空间来支持高速信号的传输
[00:03:53 - 00:03:57] 从而提升带宽,他们用的是标准DRAM芯片
[00:03:57 - 00:04:00] 但是搭配了为加速器定制的机片
[00:04:00 - 00:04:05] 还用上了速率达每秒每毫米30TBPS的下一代第二DIP
[00:04:05 - 00:04:09] 这样一来不仅能缓解物理和散热限制
[00:04:09 - 00:04:11] 还能大幅减少功耗
[00:04:11 - 00:04:14] 省下来的空间就能装更多计算单元
[00:04:14 - 00:04:16] 或者增加新的功能
[00:04:16 - 00:04:18] 形成性能和功耗之间的正向循环
[00:04:18 - 00:04:21] 最后是CXL控制器
[00:04:21 - 00:04:24] 它针对的是更大规模的内存扩展
[00:04:24 - 00:04:27] Marvel打造了Structera CXL产品线
[00:04:27 - 00:04:29] 核心就是不绕路
[00:04:29 - 00:04:33] 传统的内存扩展要经过CPU和PCI移交换机
[00:04:33 - 00:04:34] 延迟高
[00:04:34 - 00:04:41] 带宽损耗大,而Marvel的高容量内存扩展设备能够直接连接,延迟更低,带宽更高。
[00:04:41 - 00:04:45] 其中Structura ACXL进内存加速器很有代表性。
[00:04:46 - 00:04:51] 它集成了16个ARM NeoVers VR CPU核心,四通道DDR5。
[00:04:51 - 00:04:54] 内存带宽能到200GB每秒,容量达4TB。
[00:04:55 - 00:04:56] 功耗却不到100W。
[00:04:57 - 00:05:00] 刚好能够分担AI推理这类带宽密集形的任务。
[00:05:00 - 00:05:14] 举个例子,一台64核的高端X86 CPU服务器,加一颗Structural-A芯片,就能增加25%的核心数,50%的内存带宽,还能多4TB内存,但是总功耗只多100瓦。
[00:05:15 - 00:05:24] 算下来,每Gb每秒的传输功耗,反而下降了。这对于需要扩容,但是又不想换整机的企业来说,成本优势很明显。
[00:05:24 - 00:05:27] 如果说marvel是优化线有内存的架构
[00:05:27 - 00:05:30] 那么AI芯片公司D-Metrix的思路
[00:05:30 - 00:05:32] 就是重购内存与计算的关系
[00:05:32 - 00:05:34] 用存内计算来突破瓶颈
[00:05:34 - 00:05:37] 现在的AI推理有个新的趋势
[00:05:37 - 00:05:39] 那就是小参数模型的表现
[00:05:39 - 00:05:41] 已经能够超过大语言模型了
[00:05:41 - 00:05:43] 但是生成更多token的时候
[00:05:43 - 00:05:45] 还是会被内存卡住
[00:05:45 - 00:05:48] 像时时语音、AI agent这类场景
[00:05:48 - 00:05:50] 对延迟要求又极高
[00:05:50 - 00:05:52] 传统架构根本满足不了
[00:05:52 - 00:05:54] 所以D-Metrix的解法
[00:05:54 - 00:05:56] 是把内存和计算紧密集成
[00:05:56 - 00:05:58] 重新设计内存结构
[00:05:58 - 00:06:00] 他们的AI推理芯片Corsair
[00:06:00 - 00:06:02] 就是基于这个思路做的
[00:06:02 - 00:06:04] Corsair采用数字存内计算架构
[00:06:05 - 00:06:07] 搭配自定义的矩阵惩法电路
[00:06:07 - 00:06:08] 和快浮点数据格式
[00:06:09 - 00:06:11] 能效能够做到38TW
[00:06:12 - 00:06:13] 在FP8精度下算力
[00:06:13 - 00:06:15] 达2400TW
[00:06:15 - 00:06:18] FP4精度下更是能到9600TOPS
[00:06:19 - 00:06:20] 更关键的是延迟
[00:06:20 - 00:06:22] 用它跑Lama3
[00:06:22 - 00:06:23] 70B模型
[00:06:23 - 00:06:25] 但Token生成时间,仅用2米秒
[00:06:26 - 00:06:28] 这对实时交互场景来说,至关重要
[00:06:28 - 00:06:30] 我们再来看硬件设计
[00:06:30 - 00:06:33] 每张QS2 PCIe卡有两个封装
[00:06:33 - 00:06:35] 每个封装含4个心力Chiplet
[00:06:36 - 00:06:37] 用的是台积电6纳米工艺
[00:06:38 - 00:06:39] 总共提供2GB SRAM
[00:06:40 - 00:06:42] 内存带宽高达150TB每秒
[00:06:42 - 00:06:45] 这比传统HBM的带宽高太多了
[00:06:45 - 00:06:47] 峰值功耗600W
[00:06:47 - 00:06:49] 在800MHz时功耗275W
[00:06:49 - 00:06:52] 1.2KMHz时550W
[00:06:52 - 00:06:54] 属于高性能且功耗可控的水平
[00:06:55 - 00:06:57] 为了支持更大规模的扩展
[00:06:57 - 00:06:59] Corsair的设计也很灵活
[00:06:59 - 00:07:02] 它的PCIe卡顶部有桥接连接器
[00:07:02 - 00:07:05] 两张卡能够通过DMX Bridge连成16个chiplet
[00:07:06 - 00:07:07] 实现AutoL连接
[00:07:08 - 00:07:10] 标准服务器里能装8张卡
[00:07:10 - 00:07:12] 还能通过PCIe或者以太网
[00:07:12 - 00:07:14] 横向扩展到多台服务器
[00:07:14 - 00:07:16] 芯片内部的架构也很讲究
[00:07:17 - 00:07:19] 每个chiplet有4个quad组成
[00:07:19 - 00:07:21] 每个quad还有4个slice
[00:07:21 - 00:07:24] 一个二iCV控制核心和一个调度引擎
[00:07:24 - 00:07:29] 每个Size又有DMC核心、3MD核心和数据重塑引擎
[00:07:30 - 00:07:34] 这种分层设计能够让计算和内存访问更加高效
[00:07:34 - 00:07:37] 另外,它支持Micro Scaling的快辅典格式
[00:07:37 - 00:07:40] 也就是一个快Block内所有的数据
[00:07:40 - 00:07:42] 会用相同的缩放因子来进行运算
[00:07:42 - 00:07:45] 这样既能利用整数运算的高效性
[00:07:45 - 00:07:47] 又能实现辅典的高动态范围
[00:07:48 - 00:07:50] 接下来我们来看华为的分享
[00:07:50 - 00:07:52] 他们的重点是超节点网络
[00:07:52 - 00:07:55] 现在11瓦及AI数据中心越来越多
[00:07:55 - 00:07:59] 超节点就是把大量设备紧密连接成一个大型的计算系统
[00:07:59 - 00:08:02] 目标是把芯片数量扩展到100万
[00:08:02 - 00:08:04] 带宽提升到10TBPS
[00:08:04 - 00:08:08] 数据传输模式也从一部DMA变成同步加在存储
[00:08:09 - 00:08:15] 而且要能连接CPU GPU内存持、SSD、网卡、交换机等所有设备
[00:08:15 - 00:08:19] 华为提出的解决方案是统一总线网格
[00:08:19 - 00:08:21] UBmash核心思路
[00:08:21 - 00:08:25] 是用统一协一家混合拓扑来平衡性能与成本
[00:08:25 - 00:08:27] 为什么传统网络不行呢?
[00:08:27 - 00:08:29] 因为随着节点规模扩大
[00:08:29 - 00:08:31] 传统网络的成本会超限性增长
[00:08:31 - 00:08:33] 要实现100倍的贷宽
[00:08:33 - 00:08:35] 成本可能要涨1000倍
[00:08:35 - 00:08:36] 这谁也扛不住
[00:08:36 - 00:08:40] UBmash的优势就是成本的压限性增长
[00:08:40 - 00:08:41] 节点越多
[00:08:41 - 00:08:43] 成本增长的越慢
[00:08:43 - 00:08:44] 在具体的视线方式上
[00:08:44 - 00:08:46] 华为研究了三种拓扑技术
[00:08:46 - 00:08:48] 一是CLOS拓扑
[00:08:48 - 00:08:50] 适合低带宽的顶级网络
[00:08:50 - 00:08:51] 比如100万个节点的规模
[00:08:52 - 00:08:53] 特点是多功能
[00:08:53 - 00:08:54] 高可靠
[00:08:54 - 00:08:56] 二是NMAS拓扑
[00:08:56 - 00:08:57] 适合机架
[00:08:57 - 00:08:58] 大约64个节点
[00:08:58 - 00:08:59] 或者大炮队
[00:08:59 - 00:09:01] 范围从128
[00:09:01 - 00:09:03] 到8192个节点
[00:09:03 - 00:09:05] 特点是本地带宽高
[00:09:05 - 00:09:06] 远程带宽能够按需减少
[00:09:07 - 00:09:09] 三是NSBUSMAS拓扑
[00:09:09 - 00:09:11] 适合更小的本地部署
[00:09:11 - 00:09:13] 比如16-128个节点
[00:09:13 - 00:09:17] 特点是成本低且带宽高,他们还发现一个关键规律。
[00:09:17 - 00:09:21] 那就是大语言模型训练的流量是两两分层的。
[00:09:21 - 00:09:26] 基于这个规律来设计拓铺能进一步优化带宽的利用效率。
[00:09:26 - 00:09:29] 另外,UBMesh还解决了可靠性的问题。
[00:09:29 - 00:09:33] 传统光纤链路如果出故障,整个超节点都会受影响。
[00:09:33 - 00:09:37] 华为的解法有两个,一是链路级重视。
[00:09:37 - 00:09:42] 在同一个模块上,对其他光纤链路重视,避免再次走故障路径。
[00:09:42 - 00:09:44] 二是MAC交叉连接
[00:09:44 - 00:09:48] 把MIC模块交叉连接到多个光学模块上
[00:09:48 - 00:09:49] 哪怕一个模块坏了
[00:09:49 - 00:09:50] 另一个还能工作
[00:09:50 - 00:09:53] 他们的目标是把平均无故障时间
[00:09:53 - 00:09:55] MTBF提升100倍
[00:09:55 - 00:09:58] 具体做法是设置热被机架
[00:09:58 - 00:10:00] 故障机架下线后
[00:10:00 - 00:10:02] 热被机架立刻接管
[00:10:02 - 00:10:03] 等故障机架修好后
[00:10:03 - 00:10:05] 再作为新的热被机架回归
[00:10:05 - 00:10:08] 如果机架本身带有额外芯片
[00:10:08 - 00:10:10] 还能作为弱热被机架
[00:10:10 - 00:10:11] 来提供部分算力
[00:10:11 - 00:10:13] 进一步提升可靠性
[00:10:13 - 00:10:16] 而英伟达在AI计算领域的分享
[00:10:16 - 00:10:18] 走的是小型化的路线
[00:10:18 - 00:10:20] 他们把AI超算搬到了桌面
[00:10:20 - 00:10:23] 推出了Gb10S系统及芯片
[00:10:23 - 00:10:27] 这款芯片是英伟达DGX Spark小型工作站的新葬
[00:10:27 - 00:10:30] 目标是让中小企业也能用上高性能AI计算
[00:10:30 - 00:10:32] Gb10的架构很有特点
[00:10:32 - 00:10:35] 它集成了英伟达Blackwall GPU
[00:10:35 - 00:10:38] 和联发科MediaTek打造的20盒ARM CPU
[00:10:38 - 00:10:40] 用的是台积电3纳米工艺
[00:10:40 - 00:10:44] 和2.5D先进封装继承了Blackwell架构的所有核心功能
[00:10:44 - 00:10:46] 同时把功耗控制得很好
[00:10:46 - 00:10:48] 从参数上来看
[00:10:48 - 00:10:53] GB10采用了128GB低功耗LPDDR5X高带宽统一内存
[00:10:54 - 00:10:56] FP32精度下
[00:10:56 - 00:10:58] AI性能可以达到31TL
[00:10:58 - 00:11:01] FP4精度下更是高达1000TLPS
[00:11:01 - 00:11:04] 额定热设计功耗TDP仅140W
[00:11:05 - 00:11:09] 这个功耗水平放在桌面工作站里也完全可控
[00:11:09 - 00:11:15] 内存子系统是连发科做的,他们还实现了部分英伟达IP功能,比如显示控制器和C2C链接。
[00:11:16 - 00:11:23] 特别值得一提的是,GB10里的24兆L2缓存,它实现了CPU和GPU的缓存一致性,
[00:11:23 - 00:11:28] 这能够大幅降低数据传输的性能开销,还能减化软件的开发。
[00:11:28 - 00:11:35] 以前CPU和GPU要频繁同步数据,现在有了一致性缓存,开发难度直接下降一个档次。
[00:11:35 - 00:11:40] 搭载GB10的DGX Spark工作站现在开始支持更大规模的扩展
[00:11:40 - 00:11:43] 单机能抛2000亿参数的AI大模型
[00:11:43 - 00:11:46] 或者700亿参数的微调模型
[00:11:46 - 00:11:50] 如果用ConnectX7网卡把两台DGX Spark连起来
[00:11:50 - 00:11:52] 还能支持更大的模型
[00:11:52 - 00:11:55] 比如参数超2000亿的场景
[00:11:55 - 00:11:58] 对于很多需要本地部署AI模型的企业来说
[00:11:58 - 00:12:03] 这种小而强的工作站比动辄上千万的大型集群更为使用
[00:12:03 - 00:12:08] 我们再看AMD他们带来了全新的米350系列AI芯片
[00:12:08 - 00:12:10] 基于CDA4架构
[00:12:10 - 00:12:13] 核心亮点是3D堆叠加低精度支持
[00:12:13 - 00:12:16] 专门卫生城市AI设计
[00:12:16 - 00:12:18] MI350系列的硬件架构很有诚意
[00:12:18 - 00:12:20] 用3D芯片堆叠技术
[00:12:20 - 00:12:22] 在两个6nmEoG片上
[00:12:22 - 00:12:25] 堆叠了8个3nmXCD芯片
[00:12:25 - 00:12:28] 总共集成了1850亿颗晶体管
[00:12:28 - 00:12:32] 这个数量在AI芯片里可以算是第一梯队
[00:12:32 - 00:12:43] 封装方面,MI350系列支持标准OAM封装,分两个版本,MI350X采用封冷系统,MI355X采用夜冷系统。
[00:12:43 - 00:12:48] 夜冷系统的总版功耗达到1400瓦,适合高密度部署。
[00:12:48 - 00:12:56] 虽然封冷和夜冷的内存容量,带宽相同,但是夜冷版本的计算性能更高,因为它能承载更高的功率。
[00:12:56 - 00:13:03] 相比上一代产品,Mi350系列的两个IoDI提供了更宽、更低时钟频率的第二地连接。
[00:13:03 - 00:13:05] 这样也能提升能效。
[00:13:05 - 00:13:11] 毕竟高频运行虽然快,但是功耗也高,平衡频率和带宽才是关键。
[00:13:11 - 00:13:17] 在内存和缓存方面,Mi350系列的HBM带宽比上一代多两TB每秒。
[00:13:17 - 00:13:24] 内存容量也更大,这意味着跑同样的模型,需要的GPU数量会减少,间接降低了部属成本。
[00:13:24 - 00:13:29] 本地数据共享LDS的容量比上一代MI300翻了一倍
[00:13:29 - 00:13:34] XCD芯片的峰值引擎时钟频率达到了2.4千兆赫兹
[00:13:34 - 00:13:37] 每个XCD还有4兆L2缓存
[00:13:37 - 00:13:40] 这些都能提升数据的访问效率
[00:13:40 - 00:13:44] 精度支持上MI350系列不仅支持FP8
[00:13:44 - 00:13:48] 还支持行业标准的MXFP6和MXFP4数据格式
[00:13:49 - 00:13:53] 更低的精度意味着更高的算力密度和更低的内存占有
[00:13:53 - 00:13:55] 对生成是AI推理场景非常友好
[00:13:56 - 00:13:57] 软件方面
[00:13:57 - 00:14:00] AMD搭配了ROCKME7软件站
[00:14:00 - 00:14:01] 根据官方数据
[00:14:02 - 00:14:04] 用米355X跑DeepSig R1模型
[00:14:05 - 00:14:08] 推理速度是上一代MI300X的三倍
[00:14:08 - 00:14:10] 在FP4精度下
[00:14:10 - 00:14:11] 性能超过英伟达并200
[00:14:12 - 00:14:14] 预讯链Lama370并模型的时候
[00:14:14 - 00:14:16] 性能也能达到上一代的两三倍
[00:14:17 - 00:14:18] 这个提升幅度很可观
[00:14:19 - 00:14:22] 而且AMD还预告了明年发布的MI400系列
[00:14:22 - 00:14:25] 会搭在432GB的HBM4
[00:14:25 - 00:14:27] 性能提升会更猛
[00:14:27 - 00:14:30] 看来呢,他们在AI芯片领域的追赶速度
[00:14:30 - 00:14:31] 已经越来越快了
[00:14:31 - 00:14:34] 最后呢,我们来看谷歌的压伙分享
[00:14:34 - 00:14:37] 他们带来了代号为Ironwood的新一代TPU
[00:14:37 - 00:14:41] 这是谷歌首款专位大规模AI推理设计的TPU
[00:14:41 - 00:14:43] 突破点非常多
[00:14:43 - 00:14:47] 几乎覆盖了性能、扩展、能效、可靠性、所有维度
[00:14:47 - 00:14:49] 我们先看核心参数
[00:14:49 - 00:14:51] Ironwood的DAN SuperPod
[00:14:51 - 00:14:53] 最多可容纳9216颗芯片
[00:14:53 - 00:14:56] 采用光电路交换机OCS共享内存
[00:14:57 - 00:15:00] 可直接寻止的共享HBM内存容量达到1.77ppb
[00:15:01 - 00:15:06] FP8 精度下单SuperPOD 性能可扩展到42.5FLOPS
[00:15:06 - 00:15:07] 能效方面
[00:15:07 - 00:15:10] Mewa 性能是上一代谷歌TPU Trillium的两倍
[00:15:11 - 00:15:12] 还支持机密计算
[00:15:12 - 00:15:15] 集成了更多可靠性和安全性功能
[00:15:15 - 00:15:16] 硬件架构啥
[00:15:16 - 00:15:19] Ironwood 是谷歌首款双计算带TPU
[00:15:19 - 00:15:30] 采用八层HBM3E内存,提供192GB容量和7.3TB每秒带宽,能够满足超大规模模型的实时数据读取需求。
[00:15:30 - 00:15:47] 值得一提的是,Irewood的设计还用到了AI、谷歌和AlphaChip团队合作,用AI来设计算数逻辑单元、ALU电路和优化芯片布局,大幅提升了设计效率和芯片性能,算是用AI造AI芯片的一个典型案例。
[00:15:47 - 00:15:52] 互联方面,RW的支持单SuperPod扩展到9216个芯片
[00:15:52 - 00:15:55] 还能横向扩展到数十个SuperPod
[00:15:55 - 00:15:57] 满足不同规模的推理需求
[00:15:57 - 00:16:01] 硬件形态上,每个RWTRAE包含4个TPU
[00:16:01 - 00:16:02] 采用夜冷设计
[00:16:02 - 00:16:06] 16个TRAE装入一个机架,每个机架有64个TPU
[00:16:06 - 00:16:09] 同时连接16个CPU主机机架
[00:16:09 - 00:16:12] 机架内所有互联采用铜缆
[00:16:12 - 00:16:14] OCS负责连接其他机架
[00:16:14 - 00:16:17] 这样既能保证近距离传输的低延迟
[00:16:17 - 00:16:19] 又能实现远距离的高带宽扩展
[00:16:20 - 00:16:23] 和之前采用OCS的TPUV4相比
[00:16:23 - 00:16:26] Ironwood把一个POD内的芯片数量增加了一倍
[00:16:26 - 00:16:31] 而且OCS支持将POD配置成不同大小的举行揉住体
[00:16:31 - 00:16:32] 如果有节点失效
[00:16:32 - 00:16:34] 能直接丢弃
[00:16:34 - 00:16:36] 通过从检查点恢复
[00:16:36 - 00:16:38] 重新配置切片来使用其他的机架
[00:16:38 - 00:16:42] 这对于超大规模集群的可靠性至关重要
[00:16:42 - 00:16:45] 另外,Ianwood还搭配了谷歌第三代夜冷系统
[00:16:45 - 00:16:47] 采用多重循环设计
[00:16:47 - 00:16:49] 确保进入冷却板的水足够干净
[00:16:49 - 00:16:51] 避免堵塞冷却板
[00:16:51 - 00:16:53] 它还集成了第四代SparScore
[00:16:54 - 00:16:56] 用于嵌入和集体卸载任务
[00:16:56 - 00:16:57] 提升推理效率
[00:16:57 - 00:17:01] 电力方面,它可以通过软硬件功能平滑电力消耗波动
[00:17:01 - 00:17:04] 避免因为功耗咒声咒酱影响系统稳定
[00:17:05 - 00:17:06] 根据谷歌的说法
[00:17:06 - 00:17:09] Iranwood创下了共享内存多处理器的新纪录
[00:17:09 - 00:17:14] 1.77PBHBM实现了低开销的高带宽数据共享
[00:17:15 - 00:17:17] 不仅能有效支持超大型模型
[00:17:17 - 00:17:20] 同时把美瓦性能提升到TPUV4的近6倍
[00:17:21 - 00:17:22] Trilium的2倍
[00:17:23 - 00:17:26] 这对于需要长期运行推理任务的企业来说
[00:17:26 - 00:17:27] 能节省一大笔的电费
[00:17:30 - 00:17:31] AI集群要想跑起来
[00:17:31 - 00:17:33] 网络可以说是一条生命线
[00:17:34 - 00:17:35] 如果网络延迟高
[00:17:35 - 00:17:36] 丢包多
[00:17:36 - 00:17:37] 哪怕芯片算力再强
[00:17:38 - 00:17:39] 整体性能也会被拉垮
[00:17:39 - 00:17:46] 本件Hotchips上,网络领域的分享主要围绕着减幅、提速、保可靠、三个方向。
[00:17:46 - 00:17:49] 比如英特尔用IPU帮CPU卸载工作。
[00:17:49 - 00:17:52] AMD和英伟达推出新一代高速网卡。
[00:17:52 - 00:17:55] 博通则聚焦高性能交换机芯片。
[00:17:55 - 00:17:58] 目标都是让大规模数据传输,又快又稳。
[00:17:58 - 00:18:01] 我们先看英特尔的IPU-ER200400G。
[00:18:01 - 00:18:04] 这款芯片用的是台积电N5工艺。
[00:18:04 - 00:18:06] 核心定位是、
[00:18:06 - 00:18:09] 现在并且加速网络传输的基础设施工作负载
[00:18:09 - 00:18:12] 简单说就是帮CPU干活
[00:18:12 - 00:18:15] 现在的数据中心里CPU要处理计算
[00:18:15 - 00:18:19] 网络、存储等一堆的任务很容易被网络传输所拖累
[00:18:19 - 00:18:23] 所以IPO的作用就是把网络相关的工作接过来
[00:18:23 - 00:18:25] 让CPU专注于计算
[00:18:25 - 00:18:28] IPU-1.2200的网络子系统很全面
[00:18:28 - 00:18:31] 包含PCIe Gen5 x32于
[00:18:31 - 00:18:35] 400G以太网Mac ARM NeoVase N2核心计算单元
[00:18:35 - 00:18:38] 还提供自定义的可编程卸载选项
[00:18:38 - 00:18:40] 支持P4可编程数据包处理
[00:18:40 - 00:18:43] 高性能内联加密等功能
[00:18:43 - 00:18:45] 它还支持三种工作模式
[00:18:45 - 00:18:47] 包括多主机模式
[00:18:47 - 00:18:49] 无头模式和融合模式
[00:18:49 - 00:18:50] 兼容性很强
[00:18:50 - 00:18:52] 能够适配不同的数据中心场景
[00:18:52 - 00:18:54] 实际应用方面
[00:18:54 - 00:18:57] IP0100已经在数据中心里落地
[00:18:57 - 00:18:58] 比如在云环境中
[00:18:58 - 00:19:01] 它能够卸载虚拟机的网络转发任务
[00:19:01 - 00:19:03] 降低主机的CPU占用率
[00:19:03 - 00:19:05] 在存储场景中
[00:19:05 - 00:19:07] 能够加速分布是存储的数据流传书
[00:19:07 - 00:19:09] 提升存储访问速度
[00:19:09 - 00:19:10] 在AI集群中
[00:19:10 - 00:19:12] 还能优化跨节点的数据同步
[00:19:12 - 00:19:14] 减少训练延迟
[00:19:14 - 00:19:15] 可以说
[00:19:15 - 00:19:18] IPO正在成为数据中心网络的新基建
[00:19:18 - 00:19:22] 再看AMD的Pensando Polar 400 AI网卡
[00:19:22 - 00:19:25] 这款网卡有个很特别的标签
[00:19:25 - 00:19:27] 那就是业界首款超以太网联盟
[00:19:27 - 00:19:29] UEC就续的AI网卡
[00:19:29 - 00:19:32] 超以太网联盟UEC是干什么的呢
[00:19:32 - 00:19:33] 就是用以太网来解决
[00:19:33 - 00:19:35] Ai横向扩展网络的痛点
[00:19:35 - 00:19:36] 比如
[00:19:36 - 00:19:38] ECMP负载平衡的链路
[00:19:38 - 00:19:39] 利用率低
[00:19:39 - 00:19:41] 网络和节点拥色
[00:19:41 - 00:19:42] 丢包等问题
[00:19:42 - 00:19:45] 这些问题在Ai训练集群里很常见
[00:19:45 - 00:19:46] 一旦出现丢包
[00:19:46 - 00:19:48] 训练任务可能要重新开始
[00:19:48 - 00:19:49] 损失很大
[00:19:49 - 00:19:51] Polar 400的核心优势是
[00:19:51 - 00:19:52] 可编程
[00:19:52 - 00:19:55] 它采用P4架构来构建数据包流程
[00:19:55 - 00:19:58] P4是一种面向数据平面的编程语言
[00:19:58 - 00:20:01] 能够灵活定义数据包的处理逻辑
[00:20:01 - 00:20:02] 比传统固定功能的网卡
[00:20:02 - 00:20:04] 更适应AI网络的动态需求
[00:20:05 - 00:20:07] 它能够根据AI训练的流量特点
[00:20:07 - 00:20:08] 动态调整路由策略
[00:20:08 - 00:20:09] 避免优色
[00:20:09 - 00:20:12] 还能够优化虚拟地址到物理地址的转换
[00:20:12 - 00:20:14] 减少数据传输的延迟
[00:20:14 - 00:20:16] 它的原子内存操作
[00:20:16 - 00:20:18] 比如对共享内存的读写
[00:20:18 - 00:20:20] 也设计在了SRAM相邻位置
[00:20:20 - 00:20:22] 进一步降低延迟
[00:20:22 - 00:20:22] 另外
[00:20:22 - 00:20:25] 它还增强了管线缓存移制性
[00:20:25 - 00:20:28] 确保多节点之间的数据同步更高效
[00:20:29 - 00:20:30] 根据AMD的数据
[00:20:30 - 00:20:32] 搭配AMD的分布式
[00:20:32 - 00:20:34] 深度学习通信库RCCL使用时
[00:20:34 - 00:20:38] Polar2400能将AI的训练性能提升40%
[00:20:38 - 00:20:40] 这个提升很实在
[00:20:40 - 00:20:41] 因为对于AI训练来说
[00:20:41 - 00:20:43] 网络延迟、每降低一点
[00:20:43 - 00:20:46] 整体训练时间就能缩短一截
