BV号：BV1bZXqBXEMY
标题：BV1bZXqBXEMY
链接：https://www.bilibili.com/video/BV1bZXqBXEMY
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-08-29 20:23:21

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ 你有没有想过
[00:00:02 - 00:00:05] AGI那个传说中能像人类一样思考
[00:01:42 - 00:01:43] 两年后
[00:01:43 - 00:01:44] 1953年
[00:01:44 - 00:01:46] DNA的双螺旋结构被发现
[00:01:46 - 00:01:48] 冯诺伊曼的预言成真了
[00:01:48 - 00:01:51] DNA就是自然界的图灵机磁带
[00:01:51 - 00:01:53] 生命本质上是在计算
[00:01:53 - 00:01:54] 但这里有个很离谱的地方
[00:01:54 - 00:01:57] 我们一直把计算当成人类的专利
[00:01:57 - 00:01:58] 觉得只有电脑才能算
[00:01:58 - 00:02:01] 但事实上从DNA到神经元
[00:02:01 - 00:02:03] 从细胞分裂到生态系统的演化
[00:02:03 - 00:02:05] 都是计算在运行
[00:02:05 - 00:02:08] 物理学家约翰·惠勒甚至提出了一个假说
[00:02:08 - 00:02:10] 叫It From Bit
[00:02:10 - 00:02:11] 宇宙的基础结构
[00:02:11 - 00:02:12] 本身就是计算性的
[00:02:12 - 00:02:15] 所以当我们说AI是人工智能的时候
[00:02:15 - 00:02:18] 其实它只是自然智能的一个延伸
[00:02:18 - 00:02:20] 计算从来都不是人造的
[00:02:20 - 00:02:21] 观点二
[00:02:21 - 00:02:23] 神经计算大脑不是处理器
[00:02:23 - 00:02:24] 是一个社区
[00:02:24 - 00:02:26] 你脑子里有没有一个中央指挥官
[00:02:26 - 00:02:27] 很多人觉得有
[00:02:27 - 00:02:28] 觉得大脑里有个
[00:02:28 - 00:02:30] 我坐在某个地方发号施令
[00:02:30 - 00:02:32] 但神经科学告诉我们
[00:02:32 - 00:02:34] 根本没有这个指挥官
[00:02:34 - 00:02:36] 大脑有861个神经员
[00:02:36 - 00:02:37] 全部同时在工作
[00:02:37 - 00:02:39] 没有中央处理单元
[00:02:39 - 00:02:40] 没有独立的内存
[00:02:40 - 00:02:42] 不按顺序执行指令
[00:02:42 - 00:02:43] 它更像一座城市
[00:02:43 - 00:02:44] 不是市长一个人管
[00:02:44 - 00:02:47] 而是靠无数居民每天协作交流
[00:02:47 - 00:02:49] 造就城市的活力和智慧
[00:02:49 - 00:02:51] 这就是为什么传统计算机
[00:02:51 - 00:02:52] CPU加内存
[00:02:52 - 00:02:54] 加顺序执行效率这么低
[00:02:54 - 00:02:56] 它根本不是按大脑的方式设计的
[00:02:56 - 00:02:58] 现在的GPU和TPU
[00:02:58 - 00:03:00] 才让神经网络真正跑起来
[00:03:00 - 00:03:02] 未来的神经芯片
[00:03:02 - 00:03:05] 每平方厘米将包含数百万个信息处理节点
[00:03:05 - 00:03:08] 功能不由代码决定而由参数决定
[00:03:08 - 00:03:11] 他们会像大脑一样从经验中学习动态调整
[00:03:11 - 00:03:13] 这才是真正的神经计算时代
[00:03:13 - 00:03:14] 观点三
[00:03:14 - 00:03:18] 预测性智能预测未来就是智能的本质
[00:03:18 - 00:03:21] 很多人嘲笑现在的大型语言模型
[00:03:21 - 00:03:23] 说他们不过是概率阴雾
[00:03:23 - 00:03:25] 只会玩文字结龙预测下一个词
[00:03:25 - 00:03:26] 但这篇文章告诉你
[00:03:26 - 00:03:28] 预测恰恰就是智能的核心
[00:03:28 - 00:03:29] 想想看
[00:03:29 - 00:03:31] 如果让你完美预测一本
[00:03:31 - 00:03:33] 选一小说下一页会发生什么
[00:03:33 - 00:03:34] 你能不能只靠死机应备
[00:03:34 - 00:03:35] 不能
[00:03:35 - 00:03:37] 你必须理解人物的性格
[00:03:37 - 00:03:38] 物理学定律
[00:03:38 - 00:03:39] 社会的运作逻辑
[00:03:39 - 00:03:42] 为了做到极致的预测下一个词
[00:03:42 - 00:03:44] AI被迫在它的神经网络里
[00:03:44 - 00:03:47] 构建出了一个真实世界的物理与逻辑模型
[00:03:47 - 00:03:49] 结龙不是一种低级技巧
[00:03:49 - 00:03:50] 当它规模足够大时
[00:03:50 - 00:03:53] 他就会涌现出对世界的深刻理解
[00:03:53 - 00:03:55] 预测未来就是智能的本质
[00:03:55 - 00:03:56] 观点四
[00:03:56 - 00:03:59] 通用智能AGI的目标线一直在移动
[00:03:59 - 00:04:01] 现在来说最炸的一个点
[00:04:01 - 00:04:04] AGI通用人工智能到底什么时候才算到了
[00:04:04 - 00:04:06] 很多人的答案是还没到
[00:04:06 - 00:04:09] 但这篇文章说我们一直在挪动目标线
[00:04:09 - 00:04:11] 1997年深兰赢了
[00:04:11 - 00:04:13] 大家说只是下棋而已
[00:04:13 - 00:04:17] 2023年GPT4通过了律师和医学执照考试
[00:04:17 - 00:04:18] 大家说只是考试而已
[00:04:18 - 00:04:21] 作者说今天的大型语言模型
[00:04:21 - 00:04:24] 执行的认知任务覆盖的知识领域
[00:04:24 - 00:04:26] 比任何一个人类专家都要广
[00:04:26 - 00:04:28] 换句话说 当个人类智能
[00:04:28 - 00:04:30] 现在不如AI模型通用了
[00:04:30 - 00:04:32] 有人做了一个叫人类最后考试的测试
[00:04:32 - 00:04:36] 找了1000多位各领域顶级专家出最难的体
[00:04:36 - 00:04:39] 普通人去考平均分接近于0
[00:04:39 - 00:04:43] 而现在最顶尖的AI模型得分在3%-19%之间
[00:04:43 - 00:04:45] AI能答对一部分
[00:04:45 - 00:04:48] 说明它已经是一个超级专家集合体了
[00:04:48 - 00:04:51] 在这个维度上我们已经悄悄从AI和某个人比
[00:04:51 - 00:04:53] 换成了AI和所有人比
[00:04:53 - 00:04:53] 观点5
[00:04:53 - 00:04:54] 集体智能
[00:04:54 - 00:04:56] 智能是一种社交分形
[00:04:56 - 00:04:59] 最后这个动见能把前面所有的逻辑串起来
[00:04:59 - 00:05:02] 智能是一种社交分形什么意思
[00:05:02 - 00:05:05] 你的大脑是860亿个神经园组成的社区
[00:05:05 - 00:05:08] 你这个人是人类社会这个更大社区的成员
[00:05:08 - 00:05:11] 每一个层级都是通过合作分工信息共享
[00:05:11 - 00:05:13] 产生超越个体的智慧
[00:05:13 - 00:05:16] AI科学家Marvin Minsky把这叫做新智社会
[00:05:16 - 00:05:18] 我们以为的单一自我
[00:05:18 - 00:05:22] 其实是一个由无数专业化小代理组成的风潮
[00:05:22 - 00:05:26] 这就解释了为什么AI的专家混合MOE架构这么有效
[00:05:26 - 00:05:28] 因为它模仿了大脑的分工
[00:05:28 - 00:05:31] 为什么人类社会的智慧远超任何个体
[00:05:31 - 00:05:34] 因为集体智能是更高层次的计算
[00:05:34 - 00:05:35] 现在说说最大的误解
[00:05:35 - 00:05:38] 很多人觉得AGI是某一天突然出现的
[00:05:38 - 00:05:40] 某个机器人突然觉醒
[00:05:40 - 00:05:44] 但真是情况是AGI不是某个离散的时刻
[00:05:44 - 00:05:46] 而是一个连续的演化过程
[00:05:46 - 00:05:48] 就像你不会说今天我变成大人了
[00:05:48 - 00:05:51] 成长是一个过程不是一个开关
[00:05:51 - 00:05:54] 还有很多人觉得AI不是真正的智能
[00:05:54 - 00:05:56] 因为它不是探机生物大脑
[00:05:56 - 00:05:57] 但作者用了一个很妙的比喻
[00:05:57 - 00:06:00] 鸟的翅膀和飞机的翅膀材料不同
[00:06:00 - 00:06:01] 原理不同
[00:06:01 - 00:06:02] 但我们都叫它翅膀
[00:06:02 - 00:06:04] 因为它们实现的是同一个功能飞翔
[00:06:04 - 00:06:05] 智能也是一样
[00:06:05 - 00:06:08] 关键是功能不是实现方式
[00:06:08 - 00:06:10] 这篇文章对未来给了三个很有意思的预测
[00:06:10 - 00:06:11] 预测一
[00:06:11 - 00:06:14] 训练和推理的界限会消失
[00:06:14 - 00:06:16] 未来的AI会像我们一样边用边学
[00:06:16 - 00:06:19] 持续进化拥有无限的记忆上下文
[00:06:19 - 00:06:22] 预测二,神经芯片将取代传统CPU
[00:06:22 - 00:06:25] 未来的芯片像神经元一样工作
[00:06:25 - 00:06:27] 功能有可学习的参数决定
[00:06:27 - 00:06:28] 预测三
[00:06:28 - 00:06:31] AI将成为集体智能的方大器
[00:06:31 - 00:06:33] 未来的AI不是孤立的系统
[00:06:33 - 00:06:35] 而是多个代理互相写作
[00:06:35 - 00:06:38] 并与人类配合形成更大的智能生态
[00:06:38 - 00:06:40] 我们不用再纠结怎么控制一个超级AI
[00:06:40 - 00:06:44] 而是去思考怎么设计一个健康的智能生态系统
[00:06:45 - 00:06:47] 好 今天的内容用一句话总结
[00:06:47 - 00:06:48] 智能不是孤岛
[00:06:48 - 00:06:50] 而是群体的大合唱
[00:06:50 - 00:06:52] 从DNA到神经元
[00:06:52 - 00:06:54] 从大脑到人类社会
[00:06:54 - 00:06:57] 从LLM到多智能体系统
[00:06:57 - 00:06:58] 智能一直是合作的产物
[00:06:58 - 00:07:01] AGI不是某天突然出现的神灵
[00:07:01 - 00:07:04] 而是一个正在缓慢演化的生态系统
[00:07:04 - 00:07:05] 它已经在这里了
[00:07:05 - 00:07:07] 只是我们还没准备好承认
[00:07:07 - 00:07:08] 最后我想问你一个问题
[00:07:08 - 00:07:10] 你觉得AGI已经到来了吗
[00:07:10 - 00:07:17] 还是说,我们只是在处于人类的自尊,不断移动目标线,把你的看法打在公屏上,我很想知道你怎么想。
[00:07:17 - 00:07:24] 如果这期视频让你有新的收获,记得一键三连,你的支持是我继续做深度内容的最大动力。
[00:07:24 - 00:07:25] 我们下期见!
