BV号：BV1XeKWebEuV
标题：BV1XeKWebEuV
链接：https://www.bilibili.com/video/BV1XeKWebEuV
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-30 13:30:53

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 当前核数据成为AI时代的新石油
[00:03:07 - 00:03:12] 由OpenI 软银 甲骨文和中东的投资公司MGX联合组成
[00:03:12 - 00:03:13] 计划在2019年之前
[00:03:13 - 00:03:15] 在人工智能基础设施上
[00:03:15 - 00:03:17] 投资大约5000亿美元
[00:03:17 - 00:03:18] 在峰會前夕
[00:03:18 - 00:03:20] 馬克龍還通過社交媒體
[00:03:20 - 00:03:21] 分享了一段
[00:03:21 - 00:03:23] 包含自己DeepFake影像的視頻剪輯
[00:03:23 - 00:03:26] 這段視頻在展示了AI技術潛力的同時
[00:03:26 - 00:03:29] 也引發了與會者對於AI風險的深入探討
[00:03:29 - 00:03:30] 眾如馬克龍所說
[00:03:30 - 00:03:33] 我們必須在擁抱創新和防範風險之間
[00:03:33 - 00:03:34] 找到平衡
[00:03:34 - 00:03:36] 然而美國的副總統萬斯的演講
[00:03:36 - 00:03:38] 則體現出了截然不同的立場
[00:03:38 - 00:03:40] 充分展現了美國優先的強硬態度
[00:03:40 - 00:03:42] 甚至就在馮德萊恩
[00:03:42 - 00:03:44] 就作與舞臺後方的情況下
[00:03:44 - 00:03:47] 萬斯還毫不客氣地抨擊了歐盟的監管政策
[00:03:47 - 00:03:50] 他宣稱 美國是AI領域的領導者
[00:03:50 - 00:03:52] 美國政府計劃保持AI的領先地位
[00:03:52 - 00:03:55] AI的未來不會通過對安全的焦慮來應得
[00:03:55 - 00:03:57] 而是要通過建設來應得
[00:03:57 - 00:03:59] 萬斯在演講中還警告稱
[00:03:59 - 00:04:01] 特朗普政府不會接受外國政府
[00:04:01 - 00:04:03] 對於美國科技公司的加緊限制
[00:04:03 - 00:04:06] 並且認為歐盟規避風險的監管方式
[00:04:06 - 00:04:08] 可能會阻礙技術的創新
[00:04:08 - 00:04:10] 他還點名批評了歐盟的數字服務法案
[00:04:10 - 00:04:12] 和通用數據保護條例
[00:04:12 - 00:04:15] 稱這些法規給企業帶來了巨額的合規成本
[00:04:15 - 00:04:17] 更為引人注目的是
[00:04:17 - 00:04:19] 万斯明确表示要阻止威权政权
[00:04:19 - 00:04:22] 利用AI来加强其军事情报和监控能力
[00:04:22 - 00:04:25] 获取外国数据以及制造破坏
[00:04:25 - 00:04:27] 他国国家安全的宣传的努力
[00:04:27 - 00:04:28] 总的来说
[00:04:28 - 00:04:30] 万斯在演讲中提出了四个主要的观点
[00:04:30 - 00:04:33] 1 现任政府将确保美国的AI技术
[00:04:33 - 00:04:36] 继续保持世界的领先水平
[00:04:36 - 00:04:37] 并且成为各国政府和企业
[00:04:37 - 00:04:40] 在拓展AI应用时的首选合作伙伴
[00:04:40 - 00:04:42] 2 过渡监管可能会扼杀这个
[00:04:42 - 00:04:45] 正处于起步阶段的颠覆性产业
[00:04:45 - 00:04:48] 美国将努力推行有利于AI行业发展的政策
[00:04:48 - 00:04:51] 并且对这次峰会中提到的减少监管趋势表示肯定
[00:04:51 - 00:04:55] 3.AI必须避免被任何意识形态所操控
[00:04:55 - 00:04:58] 美国不会允许AI成为全为审查的工具
[00:04:58 - 00:05:02] 4.特朗普政府将坚持一条支持劳工的AI发展道路
[00:05:02 - 00:05:05] 让AI成为在美国创造就业机会的重要动力
[00:05:05 - 00:05:08] 万思还赞同了印度莫迪总理的看法
[00:05:08 - 00:05:10] 认为AI能帮助人们提升效力和生产力
[00:05:10 - 00:05:12] 而不是取代人类
[00:05:12 - 00:05:14] AI的出現會讓我們更加高效 富足
[00:05:14 - 00:05:16] 並且擁有更多自由
[00:05:16 - 00:05:17] 相比於美國的強硬立場
[00:05:17 - 00:05:20] 中國代表團則展現的更為合作和務實
[00:05:20 - 00:05:22] 在會上習近平特別代表
[00:05:22 - 00:05:24] 中共中央政治局委員
[00:05:24 - 00:05:26] 國務院副總理張國清也做了致詞
[00:05:26 - 00:05:28] 他表示 人工智能已經成為了
[00:05:28 - 00:05:31] 新一輪科技革命和產業變革的重要驅動力量
[00:05:31 - 00:05:34] 並且倡導面對人工智能發展的機遇和挑戰
[00:05:34 - 00:05:36] 國際社會應該攜起手來
[00:05:36 - 00:05:38] 倡導智能向善 深化創新合作
[00:05:38 - 00:05:41] 強化包容普惠 完善全球治理
[00:05:41 - 00:05:43] 基本上是中國在國際上的一貫表態
[00:05:43 - 00:05:45] 這方面我們也不再過多介紹
[00:05:45 - 00:05:46] 值得一提的是
[00:05:46 - 00:05:49] DeepSake不出意外地成為了會場上的絕對熱點
[00:05:49 - 00:05:52] 很多演講都公開提到了DeepSake
[00:05:52 - 00:05:53] 整體評價也都比較正面
[00:05:53 - 00:05:56] 認為DeepSake做出了真正的創新
[00:05:56 - 00:05:57] 也讓歐洲看到了機會
[00:05:57 - 00:06:00] 足以見到DeepSake對於整個世界的衝擊
[00:06:00 - 00:06:03] 歐洲AI的希望之星MistroAI的聯合創神
[00:06:03 - 00:06:06] 阿斯門斯把DeepSake成為中國的Mistro
[00:06:06 - 00:06:08] 認為他的成功應徵了開源的方向是對的
[00:06:08 - 00:06:11] 并且给了MISTRO继续发展的灵感
[00:06:11 - 00:06:12] 作为AI发展国家的新兴
[00:06:12 - 00:06:15] 印度的莫迪总理也在峰会上进行了发言
[00:06:15 - 00:06:17] 带来了发展中国家的视角
[00:06:17 - 00:06:20] 他指出印度拥有庞大的人才储备和数据资源
[00:06:20 - 00:06:23] 将在全球AI发展中发挥独特的作用
[00:06:23 - 00:06:26] 他同时呼吁建立更加包容的国际AI合作机制
[00:06:26 - 00:06:29] 确保发展中国家能够共享AI发展的红利
[00:06:29 - 00:06:31] 除了政界以外
[00:06:31 - 00:06:33] 科技界的各卫领袖也都发表了不同的言论
[00:06:33 - 00:06:37] 谷歌的CEO-PX1强调了AI发展与伦理约束的平衡
[00:06:37 - 00:06:40] 表示谷歌在推进技术创新的同时
[00:06:40 - 00:06:42] 也在积极探索负责任的AI发展路径
[00:06:42 - 00:06:44] 而OpenEye的CEO Automan
[00:06:44 - 00:06:46] 则呼吁建立全球性的AI治理框架
[00:06:46 - 00:06:48] 来应对系统性的风险
[00:06:48 - 00:06:50] 微软的CEO Nadla则分享了公司
[00:06:50 - 00:06:52] 在AI技术设施建设方面的经验
[00:06:52 - 00:06:54] 强调开放合作的重要性
[00:06:54 - 00:06:56] 这方面的一些演讲内容总结
[00:06:56 - 00:06:58] 我们可能会在后面陆续的放出
[00:06:58 - 00:06:59] 在峰会的最后一日
[00:06:59 - 00:07:01] 除了美国和英国以外
[00:07:01 - 00:07:04] 包括中国、法国和印度在内的61个国家
[00:07:04 - 00:07:06] 签署了巴黎人工智能宣言
[00:07:06 - 00:07:08] 宣言包括開放包容和道德
[00:07:08 - 00:07:10] 呼籲加強人工智能治理的協調
[00:07:10 - 00:07:12] 倡導全球對話
[00:07:12 - 00:07:14] 並且呼籲避免市場集中
[00:07:14 - 00:07:16] 從而提升AI技術的可及性
[00:07:16 - 00:07:17] 美國沒錢可以理解
[00:07:17 - 00:07:19] 為了保持自己超然的領先姿態
[00:07:19 - 00:07:20] 而英國沒錢
[00:07:20 - 00:07:22] 主要應該還是對於宣言的內容不爽
[00:07:22 - 00:07:25] 因為大部分在不來切立峰會上的安全內容
[00:07:25 - 00:07:26] 都已經被邊緣化
[00:07:26 - 00:07:28] 縱觀整個巴黎峰會
[00:07:28 - 00:07:30] 基調已經從AI安全
[00:07:30 - 00:07:31] 轉向了AI的創新和發展
[00:07:31 - 00:07:33] 縱容法國總統馬克龍
[00:07:33 - 00:07:35] 在峰會結束的時候總結到
[00:07:35 - 00:07:37] 我们正在为人工智能的持续发展
[00:07:37 - 00:07:39] 创新和加速电竞基础
[00:07:39 - 00:07:42] 好了 以上就是巴黎AI峰会的主要内容了
[00:07:42 - 00:07:43] 从这次峰会可以看出
[00:07:43 - 00:07:46] 全球的AI竞赛已经进入了一个新的阶段
[00:07:46 - 00:07:48] 我觉得主要体现在以下几个方面
[00:07:49 - 00:07:50] 第一个 投资规模之争
[00:07:50 - 00:07:52] 欧盟的2000亿欧元
[00:07:52 - 00:07:54] 法国的1090亿欧元
[00:07:54 - 00:07:56] 美国5000亿美元的星际之门计划
[00:07:56 - 00:07:59] 都展示出了各方在资金投入上的激烈竞争
[00:07:59 - 00:08:01] 第二点 技术路线之争
[00:08:01 - 00:08:03] 欧盟强调可信AI和工业应用
[00:08:03 - 00:08:05] 美国强调创新和市场主导
[00:08:05 - 00:08:08] 各方都在试图确立自己的技术标准
[00:08:08 - 00:08:10] 第三 监管框架之争
[00:08:10 - 00:08:12] 欧盟推行严格的监管
[00:08:12 - 00:08:14] 美国反对过渡监管
[00:08:14 - 00:08:16] 这种分歧实际上反映了
[00:08:16 - 00:08:19] 各方试图通过规则制定来获取竞争的优势
[00:08:19 - 00:08:21] 第四点 人才与数据之争
[00:08:21 - 00:08:24] 全球各方都在强调吸引全球人才
[00:08:24 - 00:08:25] 和利用数据资源的重要性
[00:08:25 - 00:08:27] 另外我们也可以看到
[00:08:27 - 00:08:29] 在这场无声的战争中
[00:08:29 - 00:08:32] 基础设施建设大模型的研发以及产业应用
[00:08:32 - 00:08:34] 将成为三大主战场
[00:08:34 - 00:08:36] 欧盟强调建设超级工厂
[00:08:36 - 00:08:39] 美国依托其科技巨头的优势加速研发
[00:08:39 - 00:08:41] 而中国则寻求在应用场景上实现突破
[00:08:41 - 00:08:43] 这也正体现了中美欧三国
[00:08:43 - 00:08:46] 在AI治理和未来发展方向上的博弈
[00:08:46 - 00:08:48] 这不仅是一次全球科技巨头间的较量
[00:08:48 - 00:08:49] 更是不同文化
[00:08:49 - 00:08:50] 不同政治体制下
[00:08:50 - 00:08:52] 科技发展路径的深刻对比
[00:08:52 - 00:08:55] 然而 虽然中美欧在AI技术
[00:08:55 - 00:08:56] 政策和市场上的立场
[00:08:56 - 00:08:57] 存在着明显的差异
[00:08:57 - 00:08:59] 但是在全球化的背景下
[00:08:59 - 00:09:01] 各国也不可能完全脱离彼此
[00:09:01 - 00:09:04] 全球AI的治理必然是一个多方博弈的结果
[00:09:04 - 00:09:07] 单一国家的强硬立场难以持久
[00:09:07 - 00:09:09] 更多的是需要通过合作与妥协
[00:09:09 - 00:09:11] 来找到一个共同的平衡点
[00:09:11 - 00:09:12] 目前来看
[00:09:12 - 00:09:14] 中国和美国在AI技术上的优势
[00:09:14 - 00:09:17] 让两国在全球AI竞争中占据了主导地位
[00:09:17 - 00:09:19] 但是两国也需要面对日益复杂的
[00:09:19 - 00:09:20] 全球政治经济环境
[00:09:20 - 00:09:23] 如何在避免技术制裁的同时
[00:09:23 - 00:09:25] 推动全球AI治理规则的形成
[00:09:25 - 00:09:27] 也将是未来中美关系中的关键问题
[00:09:27 - 00:09:28] 而欧洲的角色
[00:09:28 - 00:09:31] 则更多的是通过价值观和规范
[00:09:31 - 00:09:32] 来进行补充与平衡
[00:09:32 - 00:09:35] 如果能够找到与中美两国在技术合作上的切入点
[00:09:35 - 00:09:39] 欧洲或许能够在AI的全球治理中发挥一些独特的作用
[00:09:39 - 00:09:41] 所以未来的AI竞争与治理
[00:09:41 - 00:09:43] 不仅仅是技术上的较量
[00:09:43 - 00:09:46] 更多的是文化 政治与经济之间的深刻博弈
[00:09:46 - 00:09:47] 中美欧三国的博弈
[00:09:47 - 00:09:51] 最终将决定未来全球AI技术的发展方向与治理规则
[00:09:51 - 00:09:54] 而巴黎峰会无疑只是这一系列博弈的开始
[00:09:54 - 00:09:57] 正如冯德莱恩在并幕致词中所说的
[00:09:57 - 00:09:59] 在前沿之后是整个AI应用的世界
[00:09:59 - 00:10:01] 将AI应用到特定行业
[00:10:01 - 00:10:03] 利用它的力量提高生产力
[00:10:03 - 00:10:04] 为人类服务
[00:10:04 - 00:10:06] 这才是真正的竞争所在
[00:10:06 - 00:10:09] 显然AI已经不再是单纯的技术竞赛
[00:10:09 - 00:10:12] 而是关乎人类文明进步的重要抉择
[00:10:12 - 00:10:13] 感谢大家观看本期视频
[00:10:13 - 00:10:14] 我们下期再见
