BV号：BV1UdPQecE42
标题：BV1UdPQecE42
链接：https://www.bilibili.com/video/BV1UdPQecE42
识别语言：zh
语言置信度：1
分段数：350
生成时间：2026-08-30 17:39:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 1月22日 投资界的传奇人物瑞达雅
[00:00:05 - 00:00:08] 参加了AI House Devils的一场访谈
[00:00:08 - 00:00:12] 深入的探讨了人工智能以及它在世界格局中的影响
[00:01:29 - 00:01:30] 然后转换为代码
[00:01:30 - 00:01:33] 创建了一个如同自动化工厂般的决策机器
[00:01:33 - 00:01:35] 这个决策机器就像是电脑
[00:01:35 - 00:01:37] 国际象棋游戏里的专家系统一样
[00:01:37 - 00:01:40] 能够根据输入的数据自动作出决策
[00:01:40 - 00:01:41] 执行指令
[00:01:41 - 00:01:43] 而显得整个过程高效有序
[00:01:43 - 00:01:44] 基于这个理念
[00:01:44 - 00:01:46] 达琉还做了一个自己的聊天机器人
[00:01:46 - 00:01:48] 名为Digitore
[00:01:48 - 00:01:50] 虽然目前仍然处于内部的测试阶段
[00:01:50 - 00:01:53] 但是他希望能够通过这个聊天机器人
[00:01:53 - 00:01:55] 让人们获取一些关于决策的答案
[00:01:55 - 00:01:58] 同时也能够让AI来学习人们的决策方式
[00:01:58 - 00:01:59] 目前呢
[00:01:59 - 00:02:02] Digital Rift比较擅长回答生活和工作原则方面的问题
[00:02:02 - 00:02:04] 但是在投资原则方面
[00:02:04 - 00:02:06] 他还没有达到期望的水平
[00:02:06 - 00:02:09] 达利欧曾经做过一个关于投资原则的线下课程
[00:02:09 - 00:02:13] 在新加坡财富管理学院获得了百%的推荐率
[00:02:13 - 00:02:14] 有很多人参加
[00:02:14 - 00:02:17] 所以他希望将这些知识能够嵌入到Digital Rift中
[00:02:17 - 00:02:21] 将它变成一个对于自己和他人都有帮助的工具
[00:02:21 - 00:02:24] 未来它还打算向公众开放Digital Rate
[00:02:24 - 00:02:28] 从而创建一个让人们可以明确定义自己的决策标准和原则
[00:02:28 - 00:02:30] 促进大家支持共享的平台
[00:02:30 - 00:02:33] 谈到人工智能要想成功的关键因素有哪些
[00:02:33 - 00:02:37] 达留认为关键在于质量控制和持续学习
[00:02:37 - 00:02:38] 在使用人工智能的时候
[00:02:38 - 00:02:42] 首先一个基础是要将决策的标准明确化
[00:02:42 - 00:02:44] 并且把它输入到AI系统中
[00:02:44 - 00:02:46] AI系统不是一个无法理解的黑箱
[00:02:46 - 00:02:49] 我们必须理解它内部的因果关系
[00:02:49 - 00:02:51] 进行持续的质量控制和学习
[00:02:51 - 00:02:54] 这样才能不断的提高它的决策能力
[00:02:54 - 00:02:55] 在实际应用中
[00:02:55 - 00:02:58] 虽然人工智能可以实现自动化的决策
[00:02:58 - 00:02:59] 但是在可预见的未来
[00:02:59 - 00:03:02] 人机协同才是更为合理的方式
[00:03:02 - 00:03:04] 比如说在投资行业
[00:03:04 - 00:03:06] 虽然人工智能能够处理海量的数据
[00:03:06 - 00:03:08] 快速分析市场的趋势
[00:03:08 - 00:03:10] 但是人类的经验、判断力
[00:03:10 - 00:03:12] 和对市场微妙变化的感知
[00:03:12 - 00:03:14] 是人工智能暂时无法完全替代的
[00:03:14 - 00:03:15] 虽然目前
[00:03:15 - 00:03:17] 很多人仍然还是保持着观望的态度
[00:03:17 - 00:03:20] 并没有真正使用人工智能来做决策
[00:03:20 - 00:03:21] 但是达利欧相信
[00:03:21 - 00:03:24] 随着人们对于人工智能理解的加深
[00:03:24 - 00:03:25] 情况会发生改变
[00:03:25 - 00:03:29] 当人工智能在一些场景下展现出他的有效性之后
[00:03:29 - 00:03:32] 越来越多的人会开始接受并且尝试运用它
[00:03:32 - 00:03:33] 另外达利欧认为
[00:03:33 - 00:03:36] 人工智能对于社会的影响力是多方面的
[00:03:36 - 00:03:39] 其中生产力提升和财富分配不均
[00:03:39 - 00:03:41] 是其中两个较为突出的问题
[00:03:41 - 00:03:44] 人工智能无一奖极大的提高生产力
[00:03:44 - 00:03:46] 给各个行业都带来前所未有的效率提升
[00:03:46 - 00:03:48] 比如说在制造业
[00:03:48 - 00:03:50] 人工智能驱动的自动化生产线
[00:03:50 - 00:03:53] 可以大幅提高生产速度和产品的质量
[00:03:53 - 00:03:54] 而在医疗领域
[00:03:54 - 00:03:57] 人工智能辅助整弹系统能够帮助医生更快速
[00:03:57 - 00:03:59] 更准确的判断病情
[00:03:59 - 00:04:00] 但是与此同时
[00:04:00 - 00:04:02] 人工智能带来的财富增长
[00:04:02 - 00:04:04] 主要也集中在少数人手中
[00:04:04 - 00:04:06] 就拿科技繁荣时期来说
[00:04:06 - 00:04:09] 在美国这样一个拥有3.3亿人口的国家
[00:04:09 - 00:04:11] 大约也只有300万人
[00:04:11 - 00:04:14] 真正從科技發展中獲得了巨大的財富
[00:04:14 - 00:04:15] 而於此同時
[00:04:15 - 00:04:18] 60%的人口閱讀水平仍然低於6年級
[00:04:18 - 00:04:21] 他們都沒有能夠充分的享受到科技發展的紅利
[00:04:22 - 00:04:25] 這種財富分配不均的現象如果持續下去
[00:04:25 - 00:04:27] 必然會引發一系列的社會問題
[00:04:27 - 00:04:28] 所以呢
[00:04:28 - 00:04:30] 如何重新分配財富和收入
[00:04:30 - 00:04:33] 讓人工智能發展的成果會及更廣泛的人群
[00:04:33 - 00:04:36] 就成為了我們必須要面對和解決的重要課題
[00:04:37 - 00:04:38] 大家認為
[00:04:38 - 00:04:40] 在應對人工智能所帶來的挑戰方面
[00:04:40 - 00:04:42] 个人和政府都肩负着责任
[00:04:42 - 00:04:44] 从个人从面来说
[00:04:44 - 00:04:45] 我们不能置身事外
[00:04:45 - 00:04:48] 必须主动学习并且掌握人工智能的技术
[00:04:48 - 00:04:50] 否则就很容易被时代淘汰
[00:04:50 - 00:04:52] 而从政府从面来看
[00:04:52 - 00:04:55] 制定合理的监管政策至关重要
[00:04:55 - 00:04:57] 但是在全球范围内进行监管
[00:04:57 - 00:04:58] 并不是一件容易的事情
[00:04:58 - 00:05:01] 不同国家有着不同的利益诉求
[00:05:01 - 00:05:03] 每个国家都希望在人工智能发展的浪潮中
[00:05:03 - 00:05:05] 占据有利的地位
[00:05:05 - 00:05:08] 这就导致在制定统一的国际监管规则的时候
[00:05:08 - 00:05:09] 会遇到许多的阻碍
[00:05:09 - 00:05:11] 除了人工智能以外
[00:05:11 - 00:05:13] 大流还通过深入研究和分析
[00:05:13 - 00:05:16] 总结出了影响世界格局的五大力量
[00:05:16 - 00:05:19] 分别是信贷、内部冲突、地缘政治
[00:05:19 - 00:05:21] 自然行为和技术创新
[00:05:21 - 00:05:24] 这个是他这两年一直在宣传的理念
[00:05:24 - 00:05:27] 其中信贷在经济中扮演着重要的角色
[00:05:27 - 00:05:28] 他会转化为债务
[00:05:28 - 00:05:31] 用来购买商品、服务和金融资产
[00:05:31 - 00:05:33] 从而形成市场并且创造经济
[00:05:33 - 00:05:37] 比方说企业会通过信贷来扩大生产规模
[00:05:37 - 00:05:40] 消费者会通过信贷来购买房产和汽车
[00:05:40 - 00:05:43] 这些行为都推动了经济的运转
[00:05:43 - 00:05:45] 但是如果信贷规模失控
[00:05:45 - 00:05:47] 债务问题就会接踵而至
[00:05:47 - 00:05:49] 从而给经济带来巨大的风险
[00:05:49 - 00:05:52] 内部冲突则包括富人和穷人
[00:05:52 - 00:05:53] 左派和右派
[00:05:53 - 00:05:55] 以及不同意识形态之间的矛盾
[00:05:55 - 00:05:57] 由于社会中不同群体在资金
[00:05:57 - 00:06:00] 价值观和意识形态上的差异
[00:06:00 - 00:06:01] 导致了内部冲突的加剧
[00:06:01 - 00:06:04] 这些冲突不仅会影响税收政策
[00:06:04 - 00:06:07] 还会影响社会稳定以及未来的发展方向
[00:06:07 - 00:06:09] 地缘政治格局则从1945年以来
[00:06:09 - 00:06:12] 逐渐形成了如今的世界秩序
[00:06:12 - 00:06:13] 但是从历史上来看
[00:06:13 - 00:06:15] 战争会改变这种格局
[00:06:15 - 00:06:17] 获胜的一方往往能够制定规则
[00:06:17 - 00:06:20] 新兴的力量也会对现有的体系发起挑战
[00:06:20 - 00:06:22] 而自然行为
[00:06:22 - 00:06:25] 比如说干汗 洪水和流行病等等自然灾害
[00:06:25 - 00:06:27] 他们不仅仅会夺走大量的生命
[00:06:27 - 00:06:29] 还会推翻许多现有的秩序
[00:06:29 - 00:06:31] 造成巨大的经济损失
[00:06:31 - 00:06:35] 比方说洛杉矶时常会遭受到火灾的侵袭
[00:06:35 - 00:06:38] 而全球各地也受到极端天气的灾害影响
[00:06:38 - 00:06:40] 而第五点技术创新
[00:06:40 - 00:06:41] 尤其是人工智能的出现
[00:06:41 - 00:06:44] 在这五大力量中具有独特的地位
[00:06:44 - 00:06:45] 达利奥认为
[00:06:45 - 00:06:48] 人工智能的影响力将超越以往任何的技术变革
[00:06:48 - 00:06:51] 他正在全方位的重塑社会和经济结构
[00:06:51 - 00:06:54] 并且与其他四种力量相互的交織
[00:06:54 - 00:06:55] 相互的影响
[00:06:55 - 00:06:57] 从而深刻的改变着世界格局
[00:06:57 - 00:06:58] 在投资领域
[00:06:58 - 00:06:59] 达利奥指出
[00:06:59 - 00:07:01] 随着越来越多的投资者
[00:07:01 - 00:07:03] 正在采用人工智能系统辅助决策
[00:07:03 - 00:07:06] 投资行业变得更加先进和高效
[00:07:06 - 00:07:08] 但是同时竞争也越来越激烈
[00:07:08 - 00:07:10] 他提到 在投资中
[00:07:10 - 00:07:12] Alpha的收益 也就是超额收益
[00:07:12 - 00:07:15] 仍然遵循着零和博弈的规则
[00:07:15 - 00:07:16] 这就意味着在市场中
[00:07:16 - 00:07:18] 有人获得超额收益
[00:07:18 - 00:07:19] 就必然有人亏损
[00:07:19 - 00:07:21] 在这样的环境下
[00:07:21 - 00:07:24] 投资的成功不仅仅取决于传统的投资技巧
[00:07:24 - 00:07:27] 人才和技术的优势也变得至关重要
[00:07:27 - 00:07:29] 那些能够熟练应用人工智能技术
[00:07:29 - 00:07:30] 深入分析市场数据
[00:07:30 - 00:07:32] 挖掘投资机会的投资者
[00:07:32 - 00:07:35] 将更有可能在激烈的竞争中脱颖而出
[00:07:35 - 00:07:36] 对于投资者来说
[00:07:36 - 00:07:39] 达琉也给出了一些非常实用的建议
[00:07:39 - 00:07:42] 她建议投资者要保持多元化的投资组合
[00:07:42 - 00:07:44] 有效的分散投资风险
[00:07:44 - 00:07:47] 同时在人工智能领域投资的时候要谨慎
[00:07:47 - 00:07:49] 不要盲目的跟风炒作
[00:07:49 - 00:07:52] 当前的人工智能领域存在着一定的炒作现象
[00:07:52 - 00:07:56] 很多人会去盲目的投资人工智能的基础设施
[00:07:56 - 00:08:00] 但是实际上大家更应该关注的是人工智能的应用领域
[00:08:00 - 00:08:02] 因为从长远来看
[00:08:02 - 00:08:04] 真正能够为投资者带来稳定回报的
[00:08:04 - 00:08:06] 是那些能够将人工智能技术
[00:08:06 - 00:08:09] 切实用到业务中解决实际问题
[00:08:09 - 00:08:10] 创造实际价值的公司
[00:08:10 - 00:08:13] 就像互联网发展的初期一样
[00:08:13 - 00:08:16] 像斯科这种构建互联网基础设施的公司
[00:08:16 - 00:08:17] 固然很重要
[00:08:17 - 00:08:19] 但是真正创造巨大价值的
[00:08:19 - 00:08:20] 还是那些基于互联网
[00:08:20 - 00:08:22] 来实现各种应用的公司
[00:08:22 - 00:08:25] 比如说电商平台、社交媒体等等
[00:08:25 - 00:08:26] 因此达留认为
[00:08:26 - 00:08:28] 在人工智能领域
[00:08:28 - 00:08:30] 很有可能也会遵循类似的发展路径
[00:08:30 - 00:08:33] 那些专注于特定应用场景的公司
[00:08:33 - 00:08:35] 有希望会获得更大的发展空间
[00:08:35 - 00:08:37] 在企业的团队建设方面
[00:08:37 - 00:08:39] Dalio也有着深刻的见解
[00:08:39 - 00:08:42] 他强调团队成员以及团队文化
[00:08:42 - 00:08:44] 共同决定了团队的命运
[00:08:44 - 00:08:45] 在选择团队成员的时候
[00:08:45 - 00:08:47] 人们往往过于看重技能
[00:08:47 - 00:08:50] 但是他强调价值观才是最重要的因素
[00:08:51 - 00:08:52] 这也所说的价值观
[00:08:52 - 00:08:54] 包括成员对待工作的态度
[00:08:54 - 00:08:56] 对待团队合作的理念
[00:08:56 - 00:08:59] 以及对待创新和挑战的看法等等
[00:08:59 - 00:09:01] 能力也是一个重要的考量因素
[00:09:01 - 00:09:02] 它不同于技能
[00:09:02 - 00:09:04] 能力是指一个人学习新技能
[00:09:04 - 00:09:06] 适应新环境的潜力
[00:09:06 - 00:09:09] 为了更好的了解团队成员的性格和思维方式
[00:09:09 - 00:09:11] 达利欧还设计了一些测试
[00:09:11 - 00:09:13] 在网上可以免费的获取
[00:09:13 - 00:09:15] 大约需要20-30分钟就能够完成
[00:09:15 - 00:09:19] 能够帮助人们更加深入的认识自己和他人
[00:09:19 - 00:09:21] 此外 像麦尔斯布里格斯测试
[00:09:21 - 00:09:24] 也就是如今非常流行的MBTI测试等等
[00:09:24 - 00:09:28] 也能够帮助理解团队成员在性格和思维方式上的差异
[00:09:28 - 00:09:31] 在构建团队文化和决策流程方面
[00:09:31 - 00:09:34] 达利欧主张建立一个思想精英制度
[00:09:34 - 00:09:37] 简单来说就是让最好的想法无论来自于谁
[00:09:37 - 00:09:39] 都能够在团队中托引而出
[00:09:39 - 00:09:41] 通过彻底的真诚和透明
[00:09:41 - 00:09:44] 来营造一个有意义的工作和有意义的团队关系
[00:09:44 - 00:09:47] 在如何面对未来的不确定性这个问题上
[00:09:47 - 00:09:51] 达利欧认为持续学习拥抱变化是其中的关键
[00:09:51 - 00:09:52] 他强调
[00:09:52 - 00:09:54] 知道如何处理未知的情况
[00:09:54 - 00:09:57] 比掌握已知的知识更加重要
[00:09:57 - 00:09:58] 在生活和工作中
[00:09:58 - 00:10:00] 我们会遇到各种各样的问题
[00:10:00 - 00:10:02] 我们需要不断去追求目标
[00:10:02 - 00:10:03] 遇到问题解决他们
[00:10:03 - 00:10:06] 然后在这个过程中学习和成长
[00:10:06 - 00:10:08] 这就像是学习滑雪一样
[00:10:08 - 00:10:09] 虽然我们会摔倒
[00:10:09 - 00:10:11] 但是通过向教练请教
[00:10:11 - 00:10:13] 或者是自己摸索不同的转弯方式
[00:10:13 - 00:10:15] 我们就能够逐渐地掌握技巧
[00:10:15 - 00:10:16] 滑得越来越好
[00:10:17 - 00:10:18] 在访谈中
[00:10:18 - 00:10:20] 达利欧还谈到了自己对于加密货币的看法
[00:10:20 - 00:10:23] 他对比特币一直保持谨慎的态度
[00:10:23 - 00:10:26] 更倾向于把黄金作为价值储存的手段
[00:10:26 - 00:10:27] 在他看来
[00:10:27 - 00:10:30] 比特币在隐私方面存在着很多的不足
[00:10:30 - 00:10:32] 政府和各种实体可以追踪交易
[00:10:32 - 00:10:35] 政府还可能对比特币进行征税或者是伐没
[00:10:35 - 00:10:39] 而且比特币目前没有被作为中央银行的储备持有
[00:10:39 - 00:10:42] 未来被接受为储备的可能性也比较低
[00:10:42 - 00:10:43] 而相比之下
[00:10:43 - 00:10:45] 黄金具有长期的价值和信任
[00:10:45 - 00:10:47] 不依赖于他人旅行意义
[00:10:47 - 00:10:49] 不独立于交易对手风险
[00:10:49 - 00:10:54] 这种特性让黄金在经济不稳定的时期更能够给投资者带来安全感
[00:10:54 - 00:10:58] 此外,比特币的市场价格波动非常大,行为难以预测
[00:10:58 - 00:11:03] 而黄金的价格走势与供应、需求以及通货膨胀等经济因素之先
[00:11:03 - 00:11:05] 有着更为清晰的关系
[00:11:05 - 00:11:08] 投资者更容易把握它的价格变化规律
[00:11:08 - 00:11:13] 不过作为多元化投资的一部分,达利欧也持有少量的比特币
[00:11:13 - 00:11:17] 他认为在个人投资组合中,比特币这类资产的配置比例
[00:11:17 - 00:11:20] 应该在10%-15%之间才比较合理
[00:11:20 - 00:11:22] 这样既能够分散风险
[00:11:22 - 00:11:25] 又能够在一定程度上参与新兴资产的投资
[00:11:26 - 00:11:27] 在问答环节中
[00:11:27 - 00:11:29] 达琉也有很多精彩的观点碰撞
[00:11:29 - 00:11:32] 在被问到对早期创始人的建议时
[00:11:32 - 00:11:34] 她强调了人和文化的重要性
[00:11:34 - 00:11:35] 在创业过程中
[00:11:35 - 00:11:37] 创始人与团队成员的关系
[00:11:37 - 00:11:38] 团队的文化氛围
[00:11:38 - 00:11:40] 很大程度上决定了创业的成败
[00:11:41 - 00:11:42] 她还提到
[00:11:42 - 00:11:44] 成功是一个包含五个步骤的过程
[00:11:44 - 00:11:46] 首先要设定明确的目标
[00:11:46 - 00:11:49] 有了目标才能够确定工作的优先级
[00:11:49 - 00:11:53] 其次在实现目标的过程中会遇到问题、困难和失败
[00:11:53 - 00:11:57] 要确保识别这些问题并且不能容忍问题的存在
[00:11:57 - 00:12:00] 第三要找到问题的根本原因
[00:12:00 - 00:12:03] 可能是决策失误也可能是方法不当
[00:12:03 - 00:12:06] 第四然后设计绕过问题的方法
[00:12:06 - 00:12:08] 最后第五就是付诸于行动
[00:12:08 - 00:12:10] 这就跟玩电子游戏一样
[00:12:10 - 00:12:13] 一步一步攻克难关才有可能走向成功
[00:12:13 - 00:12:15] 还有关于投资组合中
[00:12:15 - 00:12:17] 如何对冲人工智能风险的问题
[00:12:17 - 00:12:18] 达利欧表示
[00:12:18 - 00:12:20] 人工智能涵盖了许多种类型和硬场景
[00:12:20 - 00:12:22] 投资者在投资的时候
[00:12:22 - 00:12:24] 既要足够的专业化
[00:12:24 - 00:12:25] 深入了解某个领域
[00:12:25 - 00:12:27] 形成自己独特的见解和优势
[00:12:27 - 00:12:29] 又不能过于局限
[00:12:29 - 00:12:30] 要保持投资的多元化
[00:12:30 - 00:12:32] 在考虑人工智能投资的时候
[00:12:32 - 00:12:35] 要综合分析各个维度的相关机会
[00:12:35 - 00:12:37] 评价比竞争对手更为专业
[00:12:37 - 00:12:40] 更全面的知识来做出投资决策
[00:12:40 - 00:12:41] 对于人工智能时代
[00:12:41 - 00:12:43] 数据或者是信息的原始价值问题
[00:12:43 - 00:12:45] 达雷尼奧也明确的表示
[00:12:45 - 00:12:47] 他一直认为数据是无价的
[00:12:47 - 00:12:50] 在他从事投资行业的几十年间
[00:12:50 - 00:12:52] 能够获取到的数据量越来越大
[00:12:52 - 00:12:55] 这些数据为他的投资决策提供了重要的依据
[00:12:55 - 00:12:59] 他不太认同人工智能会取代对数据的需求这个观点
[00:12:59 - 00:13:00] 在他看来
[00:13:00 - 00:13:03] 数据是做出准确决策的基础
[00:13:03 - 00:13:06] 因此拥有丰富准确的数据至关重要
[00:13:06 - 00:13:07] 好了 以上就是瑞达雷奧
[00:13:07 - 00:13:09] 在这次访谈中的主要内容了
[00:13:09 - 00:13:12] 让我们看到了人工智能在当今时代的多面性
[00:13:12 - 00:13:14] 他即使推动生产力发展
[00:13:14 - 00:13:16] 重塑世界格局的强大力量
[00:13:16 - 00:13:18] 又带来了财富分配不均
[00:13:18 - 00:13:20] 监管困难等许多的挑战
[00:13:20 - 00:13:23] 在未来我们需要持续关注人工智能的不断发展
[00:13:23 - 00:13:24] 积极地应对挑战
[00:13:24 - 00:13:25] 抓住机遇
[00:13:25 - 00:13:27] 才能够在这个充满变革的时代
[00:13:27 - 00:13:29] 找到自己的发展方向
[00:13:29 - 00:13:31] 感谢大家观看本期视频
[00:13:31 - 00:13:32] 我们下期再见
