BV号：BV1kc8M6zE2G
标题：BV1kc8M6zE2G
链接：https://www.bilibili.com/video/BV1kc8M6zE2G
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 11:57:53

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] AI给你写了四场解释
[00:06:32 - 00:06:34] 还没写出击败行代码
[00:06:34 - 00:06:36] 错误已经可能在十几行徒里录出来
[00:06:36 - 00:06:39] 第三个检查点完成后的审查地图
[00:06:39 - 00:06:42] 把新增入口权限判断外部调用写库
[00:06:42 - 00:06:46] 发消息缓存和失败分支连成一条风险路径
[00:06:46 - 00:06:48] 审查人先走,这条路径再看细节
[00:06:48 - 00:06:50] 为什么要评估这条流程?
[00:06:50 - 00:06:52] 因为额外指令不是免费的
[00:06:52 - 00:06:55] 一向关于仓库及上下文件的研究发现
[00:06:55 - 00:06:59] 在所测设置中任务成功率没有普遍提高
[00:06:59 - 00:07:02] 推理成本却平均增加超过20%
[00:07:02 - 00:07:03] 它没有直接测试寿命
[00:07:03 - 00:07:06] 但提醒我们,任何代理工作流
[00:07:06 - 00:07:08] 都要用结果证明自己
[00:07:08 - 00:07:11] 先找一个中等复杂度的任务试两周
[00:07:11 - 00:07:13] 哪些图真减少了反攻
[00:07:13 - 00:07:15] 哪些图只是多了一次展示
[00:07:16 - 00:07:18] 把有用的留下把没用的删掉
[00:07:18 - 00:07:21] 以后再争论大家终于能指着同一张图说话
[00:07:21 - 00:07:24] 产品问操作会不会重复工程师回到状态图
[00:07:24 - 00:07:26] 审查人说这里风险高
[00:07:26 - 00:07:28] 大家先看调用路径
[00:07:28 - 00:07:29] 讨论有了共同的落点
[00:07:29 - 00:07:31] 也更容易留下记录
[00:07:31 - 00:07:32] 未来的代码代理
[00:07:32 - 00:07:35] 可能会越来越少用长篇文字展示我理解了
[00:07:35 - 00:07:38] 更好的体验是他先给你一张任务相关的图
[00:07:38 - 00:07:41] 在根据反馈,继续读仓库修改结构或写代码
[00:07:41 - 00:07:44] 一部分图来自模型,一部分来自代码分析
[00:07:44 - 00:07:47] 类型检查依赖关系和真实运行记录
[00:07:47 - 00:07:49] 代理负责把材料组织出来
[00:07:49 - 00:07:53] 人负责追问,这张图露了什么,它的证据在哪儿
[00:07:53 - 00:07:55] 这个决定真的能进代码吗?
[00:07:55 - 00:07:58] 在部分团队里,瓶颈正在从生成代码
[00:07:58 - 00:08:00] 逐渐转向教验生成结果
[00:08:00 - 00:08:03] 收密的价值不在于它提供了一个命令
[00:08:03 - 00:08:05] 它给了我们一个更早提问的机会
[00:08:05 - 00:08:07] 下次让代理改复杂功能时
[00:08:07 - 00:08:11] 先让它展示文件边界调用路径和失败路径
[00:08:11 - 00:08:12] 确认以后再实现
[00:08:12 - 00:08:15] 如果这套方法对你有用,记得先收藏
[00:08:15 - 00:08:18] 下次要改复杂功能之前翻出来先让代理画一遍
[00:08:18 - 00:08:21] 如果只能让代码代理先画一张图
[00:08:21 - 00:08:24] 你会选调用路径状态变化还是文件边界
[00:08:24 - 00:08:28] 把答案留在评论区,觉得有帮助也欢迎一键三连
[00:08:28 - 00:08:30] 我是为什么叫QQ,我们下期见
