BV号：BV1xhhZzKEH5
标题：BV1xhhZzKEH5
链接：https://www.bilibili.com/video/BV1xhhZzKEH5
识别语言：zh
语言置信度：1
分段数：317
生成时间：2026-08-29 23:57:51

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ。
[00:03:22 - 00:03:24] 最终让所有用户受益
[00:03:24 - 00:03:28] 但是稍微懂点AI行业逻辑的朋友都知道
[00:03:28 - 00:03:30] 这背后的真实原因其实是数据焦虑
[00:03:30 - 00:03:34] 大模型的竞争本质上是数据的竞争
[00:03:34 - 00:03:37] 只有拿到更多真实用户场景下的交互数据
[00:03:37 - 00:03:41] 模型才能在推理编码这些核心能力上超越对手
[00:03:41 - 00:03:44] Anthropic作为OpenAI谷歌的直接竞争对手
[00:03:44 - 00:03:47] 自然需要大量的用户数据来缩小差距
[00:03:47 - 00:03:53] 而消费级用户的对话,编程记录,正是最贴近真实使用场景的金矿。
[00:03:54 - 00:04:02] 所以这次政策调整,与其说是给用户选择权,还不如说是Anthropec为了获取训练数据,给用户设下的一道必答题。
[00:04:03 - 00:04:09] 而网友们的愤怒,恰恰就来自这种,表面给选择权,实则逼用户同意的操作。
[00:04:09 - 00:04:11] 尤其是界面设计上的小心思。
[00:04:12 - 00:04:17] 很多用户反馈,Cloud谈出的政策更新窗口,设计得特别有引导性。
[00:04:17 - 00:04:20] 标题是大号加粗的消费者条款和政策更新
[00:04:21 - 00:04:23] 左边是一个非常显眼的黑色
[00:04:24 - 00:04:24] 接受按钮
[00:04:25 - 00:04:26] 几乎占据了半个屏幕
[00:04:26 - 00:04:28] 而是否同意数据用于训练
[00:04:28 - 00:04:30] 这个关键选项
[00:04:30 - 00:04:32] 却藏在接受按钮下方的小字里
[00:04:33 - 00:04:34] 而且那个切换开关
[00:04:34 - 00:04:36] 默认就是开启的状态
[00:04:37 - 00:04:38] 这种设计是什么概念
[00:04:38 - 00:04:40] 就像咱们以前装软件的时候
[00:04:40 - 00:04:43] 那些默认勾选同意安装全家统的选项一样
[00:04:44 - 00:04:45] 大多数用户
[00:04:45 - 00:04:48] 可能只是习惯性地点一下接受
[00:04:48 - 00:04:49] 根本没注意到
[00:04:49 - 00:04:52] 自己已经同一把数据给anthropic训练五年了
[00:04:52 - 00:04:54] 有网友就吐槽说
[00:04:54 - 00:04:55] 这不是选择权
[00:04:55 - 00:04:56] 而是套路权
[00:04:56 - 00:04:58] anthropic把用户当傻子耍
[00:04:59 - 00:05:01] 更让用户无法接受的是
[00:05:01 - 00:05:03] 这次政策反转
[00:05:03 - 00:05:05] 其实已经不是anthropic第一次被刺用户了
[00:05:06 - 00:05:08] 有一位名叫艾哈麦德安卖的网友
[00:05:08 - 00:05:12] 在自己的推文中就详细盘点了anthropic从claw的上线
[00:05:13 - 00:05:14] 到现在的一系列争议操作
[00:05:14 - 00:05:17] 每一条都戳中了用户的痛点
[00:05:17 - 00:05:21] 比如,除了这次数据保留五年并用于训练以外
[00:05:21 - 00:05:26] 艾哈麦德说,Anthropic会在白天悄悄把用户使用的模型
[00:05:26 - 00:05:29] 换成1.58bit的缩水板量化模型
[00:05:29 - 00:05:31] 通过降低参数的精度来节省算力
[00:05:31 - 00:05:35] 代价是模型的推理精度和响应质量也会下降
[00:05:35 - 00:05:37] 而用户对此完全不知情
[00:05:37 - 00:05:39] 相当于付了完整版的钱
[00:05:39 - 00:05:41] 却用了阉割版的服务
[00:05:41 - 00:05:44] 在比如,Plus会员本来是付费用户
[00:05:44 - 00:05:46] 按理说应该享受更好的服务
[00:05:46 - 00:05:48] 但是在Cloud Code功能里
[00:05:48 - 00:05:51] 却用不了Anthropic最强的Open4模型
[00:05:51 - 00:05:54] 这就相当于花钱买了个半成品
[00:05:54 - 00:05:55] 还有更离谱的是
[00:05:55 - 00:05:58] 六周前Anthropic没给任何通知
[00:05:58 - 00:06:00] 就把Max套餐的用量限制
[00:06:00 - 00:06:02] 直接砍了一半
[00:06:02 - 00:06:05] 要知道Max套餐的价格比Plus贵不少
[00:06:05 - 00:06:08] 很多用户都是冲着大用量才买的
[00:06:08 - 00:06:11] 结果突然减量 连个解释都没有
[00:06:11 - 00:06:13] 而且不管是Plus还是Max套餐
[00:06:14 - 00:06:18] Anthropic从来没有公开过每周用量限制的具体数字
[00:06:18 - 00:06:20] 用户只能平感觉来使用
[00:06:20 - 00:06:22] 用到上线了才知道
[00:06:22 - 00:06:23] 哦,这周不能用了
[00:06:24 - 00:06:25] 更夸张的是
[00:06:25 - 00:06:29] Anthropic之前宣传的5倍用量套餐和20倍用量套餐
[00:06:29 - 00:06:32] 实际给的量根本没有达到宣传的一半
[00:06:32 - 00:06:33] 有用户测算过
[00:06:34 - 00:06:35] 所谓的5倍套餐
[00:06:35 - 00:06:38] 实际用量只比基础Plus套餐多3倍
[00:06:38 - 00:06:40] 20倍套餐只多8倍
[00:06:40 - 00:06:41] 这完全是虚假宣传
[00:06:41 - 00:06:43] 艾哈麦德还提到
[00:06:43 - 00:06:46] 自己的一个项目因为Anthropic乱发DMCA
[00:06:46 - 00:06:48] 也就是数字千年版权法案的通知
[00:06:49 - 00:06:51] 导致相关的代码仓库被下架
[00:06:51 - 00:06:52] 关键是
[00:06:52 - 00:06:53] 他的项目并没有倾权
[00:06:54 - 00:06:54] Anthropic
[00:06:55 - 00:06:56] 这种一刀切的DMCA操作
[00:06:56 - 00:06:59] 直接影响了开发者的正常工作
[00:06:59 - 00:07:00] 另外的操作还包括
[00:07:00 - 00:07:03] 禁止Windsurf的用户使用Cloud的四模型
[00:07:03 - 00:07:06] 以及切断了对OpenAI API的访问权限
[00:07:06 - 00:07:07] 这些种种操作
[00:07:07 - 00:07:09] 每一条都体现出
[00:07:09 - 00:07:11] anthropic对用户的不尊重
[00:07:11 - 00:07:14] 也难怪这次政策反转会引发这么大的愤怒
[00:07:14 - 00:07:15] 其实
[00:07:15 - 00:07:17] anthropic这次的操作
[00:07:17 - 00:07:18] 并不是AI行业的孤立
[00:07:18 - 00:07:20] 整个大模型行业
[00:07:20 - 00:07:22] 都在围绕着用户数据展开竞争
[00:07:22 - 00:07:25] 很多大厂都在悄悄地调整隐私政策
[00:07:25 - 00:07:27] 目的就是获取更多的训练数据
[00:07:27 - 00:07:29] 比如谷歌
[00:07:29 - 00:07:32] 最近也把旗下Gemini的Gemini Apps Activity
[00:07:32 - 00:07:34] 改名为了Keyback Activity
[00:07:34 - 00:07:35] 并且明确说明
[00:07:35 - 00:07:37] 从2025年9月2日起
[00:07:37 - 00:07:39] 只要用户开启这个设置
[00:07:39 - 00:07:41] 部分上传的样本就会被用来
[00:07:41 - 00:07:44] 帮助为所有人改进谷歌服务
[00:07:44 - 00:07:45] 本质上和Anthropic
[00:07:45 - 00:07:48] 要用户数据来训练模型是一个逻辑
[00:07:48 - 00:07:49] 只是换了个说法
[00:07:49 - 00:07:50] 还有OpenAI
[00:07:50 - 00:07:53] 最近因为纽约时报的版权诉讼
[00:07:53 - 00:07:56] 首次公开承认了一个让用户震惊的事实
[00:07:56 - 00:07:58] 从2025年5月中旬开始
[00:07:58 - 00:08:00] 他们一直在悄悄保存用户
[00:08:00 - 00:08:02] 已经删除的聊天记录
[00:08:02 - 00:08:04] 还有那些临时的绘画内容
[00:08:04 - 00:08:06] 很多网友看到这个消息后都懵了
[00:08:06 - 00:08:08] 原来我删掉的chatgpt对话
[00:08:08 - 00:08:10] 根本就没有真的删掉
[00:08:10 - 00:08:12] 而是被openai存档了
[00:08:12 - 00:08:13] 这不是侵犯隐私吗
[00:08:13 - 00:08:15] 但是openai给出的理由
[00:08:15 - 00:08:17] 是为了应对诉讼需要
[00:08:17 - 00:08:19] 可是这种事后告知的做法
[00:08:19 - 00:08:22] 还是让用户对隐私保护失去了信任
[00:08:22 - 00:08:23] 为什么这些大厂
[00:08:23 - 00:08:25] 都这么执着于用户数据呢
[00:08:25 - 00:08:27] 因为对于大模型来说
[00:08:27 - 00:08:30] 真实的用户交互数据可以说是刚需
[00:08:30 - 00:08:32] 实验室里的训练数据再丰富
[00:08:32 - 00:08:37] 也不如用户在实际场景中输入的提示词、对话内容、编程需求来的真实
[00:08:37 - 00:08:40] 这些数据能够让模型更懂用户的需求
[00:08:40 - 00:08:44] 比如编码时更符合开发者的编程习惯
[00:08:44 - 00:08:47] 分析问题时更贴近用户的思考逻辑
[00:08:47 - 00:08:51] 甚至能减少一本正经胡说八道的情况
[00:08:51 - 00:08:54] 所以,为了在和竞争对手的比拼中占据优势
[00:08:54 - 00:08:57] 大厂们宁愿冒着失去用户信任的风险
[00:08:57 - 00:08:59] 也要调整政策获取数据
[00:08:59 - 00:09:01] 但是这里的核心问题是
[00:09:01 - 00:09:03] 用户的隐私该由谁来保护呢?
[00:09:03 - 00:09:06] 这些大厂在调整政策的时候
[00:09:06 - 00:09:08] 往往会用提升服务质量
[00:09:08 - 00:09:09] 优化模型体验
[00:09:09 - 00:09:10] 这些话来包装
[00:09:10 - 00:09:13] 但是却刻意淡化数据如何使用
[00:09:13 - 00:09:14] 如何保护的细节
[00:09:14 - 00:09:16] 比如entropic
[00:09:16 - 00:09:19] 虽然说删除对话后就不会用于训练
[00:09:19 - 00:09:21] 但是没说已经用来训练的数据
[00:09:21 - 00:09:22] 会不会被删除?
[00:09:22 - 00:09:24] 虽然说保留五年
[00:09:24 - 00:09:27] 但是没说五年后这些数据会如何处理?
[00:09:27 - 00:09:31] 是彻底删除还是会以其他的形式留存呢?
[00:09:31 - 00:09:32] 这些模糊的表述
[00:09:32 - 00:09:36] 让用户根本没法判断自己的隐私到底有没有保障
[00:09:36 - 00:09:37] 更关键的是
[00:09:37 - 00:09:41] 大多数用户其实没有经历去仔细阅读永长的隐私条款
[00:09:42 - 00:09:43] 一份隐私条款
[00:09:43 - 00:09:44] 少则几千字
[00:09:44 - 00:09:45] 多则上万字
[00:09:45 - 00:09:47] 里面全是专业术语
[00:09:47 - 00:09:48] 普通人根本看不懂
[00:09:48 - 00:09:50] 而大厂们恰恰利用了这一点
[00:09:50 - 00:09:53] 把关键的隐私条款藏在秘密麻麻的文字里
[00:09:54 - 00:09:57] 或者用界面设计引导用户默认同意
[00:09:57 - 00:09:58] 这种情况下
[00:09:58 - 00:09:59] 用户的选择权
[00:09:59 - 00:10:01] 其实是形同虚设的
[00:10:01 - 00:10:03] 因为你根本不知道自己选了什么
[00:10:03 - 00:10:06] 也不知道这个选择会带来什么后果
[00:10:06 - 00:10:08] 从行业监管的角度来看
[00:10:08 - 00:10:10] 目前对AI大厂数据使用的监管
[00:10:10 - 00:10:12] 还处于相当之后的状态
[00:10:12 - 00:10:15] 虽然欧美有一些数据保护法规
[00:10:15 - 00:10:17] 比如欧盟的GDPR
[00:10:17 - 00:10:18] 美国的CCPA
[00:10:18 - 00:10:21] 但是这些法规在面对大模型的数据需求时
[00:10:21 - 00:10:23] 往往显得力不从心
[00:10:23 - 00:10:24] 比如GDPR
[00:10:24 - 00:10:27] 要求数据处理必须获得用户明确同意
[00:10:27 - 00:10:31] 但Anthropic这种默认开启加界面引导的同意方式
[00:10:31 - 00:10:33] 到底算不算明确同意呢?
[00:10:33 - 00:10:35] 目前还没有统一的判断标准
[00:10:35 - 00:10:38] 这就给了大厂们钻控子的空间
[00:10:38 - 00:10:40] 回到Anthropic这次的事件上
[00:10:40 - 00:10:43] 其实它反映出的是整个AI行业的一个矛盾
[00:10:43 - 00:10:44] 一方面
[00:10:44 - 00:10:46] 大模型需要用户数据来进步
[00:10:46 - 00:10:47] 另一方面
[00:10:47 - 00:10:49] 用户又担心隐私被侵犯
[00:10:49 - 00:10:50] 如何平衡这两者
[00:10:50 - 00:10:53] 应该是所有AI公司都必须面对的一个问题
[00:10:53 - 00:10:55] 而不是像现在这样
[00:10:55 - 00:10:57] 用套路来让用户妥协
[00:10:57 - 00:11:03] 比如,Anthropic完全可以把是否同意数据用于训练,做成一个更为显眼的选项。
[00:11:03 - 00:11:08] 用简单一懂的语言,告诉用户同意后数据会怎么用,保留多久。
[00:11:08 - 00:11:11] 不同意会有什么影响,而不是藏在底下的小字里。
[00:11:11 - 00:11:18] 再比如,可以公开数据使用的具体流程,让用户能够查到自己的数据,有没有被用来训练。
[00:11:18 - 00:11:19] 什么时候被用呢?
[00:11:19 - 00:11:22] 只有透明化,才能重建用户的信任。
[00:11:22 - 00:11:26] 作为一个科技区UP主,从去年12月做到现在快10个月了,
[00:11:26 - 00:11:34] 我始终觉得,AI技术的进步应该以保护用户的权益为前提,而不是以牺牲用户的隐私为代价。
[00:11:34 - 00:11:42] 如果一家AI公司连最基本的隐私承诺都能够随意推翻,那就算它的模型再强,用户也不会真正信任它。
[00:11:42 - 00:11:52] 最后,给所有使用Cloud的朋友提个醒,如果你还没处理这次政策更新,一定要在9月28日之前打开Cloud的模型训练设置,
[00:11:52 - 00:11:56] 仔细看清楚是否同意数据用于训练的选项
[00:11:56 - 00:11:58] 根据自己的隐私需求
[00:11:58 - 00:11:59] 做出选择
[00:11:59 - 00:12:00] 不要习惯性地点接受
[00:12:00 - 00:12:02] 如果你没有使用Cloud
[00:12:02 - 00:12:05] 未来在选择其他AI工具的时候
[00:12:05 - 00:12:07] 也一定要花几分钟看看隐私政策
[00:12:07 - 00:12:10] 重点关注数据是否用于训练
[00:12:10 - 00:12:11] 数据保留多久
[00:12:11 - 00:12:13] 是否可以随时撤回同意
[00:12:13 - 00:12:14] 这几个问题
[00:12:14 - 00:12:15] 毕竟
[00:12:15 - 00:12:16] 你的每一条对话
[00:12:16 - 00:12:17] 每一段代码
[00:12:17 - 00:12:18] 都是你的个人信息
[00:12:18 - 00:12:20] 不应该被轻易的贡献出去
[00:12:20 - 00:12:22] 而对于Anthropic这类AI公司
[00:12:22 - 00:12:24] 我也希望他们能明白
[00:12:24 - 00:12:27] 用户的信任是最宝贵的资产
[00:12:27 - 00:12:28] 失去了信任
[00:12:28 - 00:12:29] 再强的技术也走不远
[00:12:29 - 00:12:32] 如果真的需要用户数据来提升模型
[00:12:32 - 00:12:34] 不如坦诚地和用户沟通
[00:12:34 - 00:12:36] 给出合理的补偿
[00:12:36 - 00:12:38] 而不是用最后通碟和界面套路
[00:12:38 - 00:12:39] 来逼迫用户
[00:12:39 - 00:12:42] 这才是一家负责任的科技公司该有的样子
[00:12:42 - 00:12:43] 好了
[00:12:43 - 00:12:46] 今天关于Cloud隐私政策反转的话题
[00:12:46 - 00:12:47] 就聊到这里
[00:12:47 - 00:12:49] 如果你对这次事件有什么看法
[00:12:49 - 00:12:51] 或者有其他AI隐私相关的问题
[00:12:51 - 00:12:56] 欢迎在评论区留言,感谢大家的观看,我们下期再见。
