BV号：BV1UjhgzgEXe
标题：BV1UjhgzgEXe
链接：https://www.bilibili.com/video/BV1UjhgzgEXe
识别语言：zh
语言置信度：1
分段数：505
生成时间：2026-08-30 00:37:26

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 7月31日 暗刷培克的联合创始人兼CEO
[00:00:06 - 00:00:09] 达利奥阿墨带一 在位于旧金山的公司总部
[00:00:09 - 00:00:11] 接受了埃莱斯·波克的专访
[00:01:45 - 00:01:46] 来改造整个AI行业
[00:01:47 - 00:01:48] 无论包裁如何
[00:01:48 - 00:01:51] 当前的AI行业都已经绕不开阿墨代曳了
[00:01:51 - 00:01:53] 阿墨代曳呢从小就是一位科学迷
[00:01:53 - 00:01:56] 他于1983年出生在旧金山
[00:01:56 - 00:01:57] 母亲是犹太人
[00:01:57 - 00:01:59] 父亲是意大利人
[00:01:59 - 00:02:02] 从小他几乎只对数学和物理感兴趣
[00:02:02 - 00:02:05] 即使在美国互联网泡沫最鼎盛的高中时代
[00:02:05 - 00:02:08] 阿玛代一也毫无兴趣参与热门的网页开发热潮
[00:02:08 - 00:02:11] 阿玛代一的母亲艾琳娜恩格尔
[00:02:11 - 00:02:15] 曾经主持伯克利和旧金山多家公共图书馆的翻新工程
[00:02:15 - 00:02:19] 父亲李卡多阿玛代一是一位手工皮具将人
[00:02:19 - 00:02:20] 谈起父母
[00:02:20 - 00:02:21] 阿玛代一说道
[00:02:21 - 00:02:23] 他们教会我如何分辨是非
[00:02:23 - 00:02:25] 理解世界上真正重要的事情
[00:02:25 - 00:02:28] 也让我意识到身上的责任
[00:02:28 - 00:02:30] 在加州理工学院读本科的时候
[00:02:30 - 00:02:33] 这种责任感开始转化为社会表达
[00:02:33 - 00:02:34] 他曾经在学生报纸的
[00:02:34 - 00:02:36] 《California Tech》上撰文
[00:02:36 - 00:02:39] 批评同学们对伊拉克战争的态度冷漠
[00:02:39 - 00:02:42] 他认为问题不在于大家支持轰炸伊拉克
[00:02:42 - 00:02:44] 而是很多人虽然原则上反对
[00:02:44 - 00:02:47] 却不愿意花哪怕一秒钟来表达立场
[00:02:47 - 00:02:50] 阿玛代一的人生在20多岁的时候
[00:02:50 - 00:02:51] 迎来了重大的转折
[00:02:51 - 00:02:52] 2006年
[00:02:52 - 00:02:54] 他长期患病的父亲
[00:02:54 - 00:02:56] 因为一种罕见疾病去世
[00:02:56 - 00:02:57] 受到打击之后
[00:02:57 - 00:02:58] 他决定从普林斯顿大学的
[00:02:58 - 00:03:01] 理论物理专业转向生物研究
[00:03:01 - 00:03:04] 希望为功课人类疾病做出贡献
[00:03:04 - 00:03:05] 此后阿摩代一的人生
[00:03:05 - 00:03:06] 在某种意义上
[00:03:06 - 00:03:08] 是在弥补父亲去世的遗憾
[00:03:08 - 00:03:10] 尤其因为四年后
[00:03:10 - 00:03:11] 一种新的疗法问世
[00:03:11 - 00:03:13] 将这种疾病的治愈率
[00:03:13 - 00:03:15] 从50%提升到了95%
[00:03:15 - 00:03:17] 他觉得如果科研进展
[00:03:17 - 00:03:18] 能够再快一些
[00:03:18 - 00:03:19] 那么他的父亲
[00:03:19 - 00:03:20] 或许仍然见在
[00:03:21 - 00:03:23] 在陈晶在父亲去世的挨伤的同时
[00:03:23 - 00:03:25] 他开始从视网膜入手
[00:03:25 - 00:03:26] 研究人类的生理系统
[00:03:27 - 00:03:28] 眼睛通过信号传导
[00:03:28 - 00:03:31] 将外界信息传送到大脑的视觉皮层
[00:03:31 - 00:03:33] 这是大脑中面积最大的功能区
[00:03:34 - 00:03:35] 占据大约30%
[00:03:36 - 00:03:37] 要理解人类复杂的神经系统
[00:03:38 - 00:03:40] 视网膜无疑是一个理想的切入口
[00:03:40 - 00:03:42] 阿墨代医在普林斯顿的同学
[00:03:42 - 00:03:44] 斯蒂芬尼帕尔默曾经回忆说
[00:03:44 - 00:03:46] 阿墨代医之所以选择研究视网膜
[00:03:46 - 00:03:49] 并不是因为他对眼科学本身感兴趣
[00:03:49 - 00:03:53] 而是因为眼科学可以让他观察一个完整的神经原群体
[00:03:53 - 00:03:56] 至少有机会理解每个细胞的运作方式
[00:03:56 - 00:03:58] 这个研究的重点与其说是眼睛
[00:03:58 - 00:04:00] 不如说是神经系统
[00:04:00 - 00:04:02] 他也并不是想当一名眼科医生
[00:04:02 - 00:04:05] 在神经科学家麦克尔贝里教授的实验室中
[00:04:05 - 00:04:08] 阿默黛伊对当时测量视网膜信号的方法颇为不满
[00:04:08 - 00:04:12] 于是便亲自设计并且参与开发了一种新型的传感器
[00:04:12 - 00:04:15] 以便能够采集到更多的数据
[00:04:15 - 00:04:20] 凭借着这个成果,他的博士论文获得了赫兹奖学金颁发的年度论文奖
[00:04:20 - 00:04:25] 然而,阿姆黛伊对常规的挑战倾向以及他强烈的个人见解
[00:04:25 - 00:04:28] 使得他在学术环境中显得格格不入
[00:04:28 - 00:04:29] 贝里回忆道
[00:04:29 - 00:04:32] 阿姆黛伊是他指导过的最有才华的研究生
[00:04:32 - 00:04:35] 但是在内心里,他也是一个破为自负的人
[00:04:35 - 00:04:38] 他对技术效率和团队协作的重视
[00:04:38 - 00:04:41] 在以个人成就为评判标准的体系中并不吃香
[00:04:42 - 00:04:43] 离开普林斯顿之后
[00:04:43 - 00:04:45] 阿姆黛伊迎来了通往AI的大门
[00:04:45 - 00:04:48] 他在斯坦福大学从事博士后研究
[00:04:48 - 00:04:50] 是从研究员帕拉格·马利克
[00:04:50 - 00:04:52] 从事种流内外蛋白质研究
[00:04:52 - 00:04:54] 用来探测转移性I-C包
[00:04:54 - 00:04:56] 这项工作极其复杂
[00:04:56 - 00:04:57] 让阿玛黛伊深刻意识到
[00:04:57 - 00:04:59] 个人能力的边界
[00:04:59 - 00:05:01] 他开始寻找技术上的解决方案
[00:05:01 - 00:05:02] 阿玛黛伊谈到
[00:05:02 - 00:05:04] 生物学中这些底层问题的复杂性
[00:05:04 - 00:05:06] 已经超出了人类的理解尺度
[00:05:06 - 00:05:08] 要想真正搞清楚这一切
[00:05:08 - 00:05:10] 可能需要上百上千名
[00:05:10 - 00:05:12] 研究人员共同的努力
[00:05:12 - 00:05:13] 他在新星的AI技术中
[00:05:13 - 00:05:14] 看到了这个潜力
[00:05:14 - 00:05:19] 当时呢,数据与算法的爆发正推动机学习领域取得突破
[00:05:19 - 00:05:22] 在亲自尝试之后,阿玛带一意识到
[00:05:22 - 00:05:25] AI或许能够代替那些成千上万的研究人员
[00:05:25 - 00:05:29] 在他看来,AI可能是唯一能够填补这道红钩的技术
[00:05:29 - 00:05:32] 是一种能够带领我们超越人类尺度的工具
[00:05:32 - 00:05:36] 为了更直接推动AI的研究,阿玛带一决定离开学术界
[00:05:36 - 00:05:38] 进入资源更为充足的产业体系
[00:05:38 - 00:05:42] 他一度打算自己创业,后来又偏向加入谷歌
[00:05:42 - 00:05:44] 因为Google Brain的预算充足
[00:05:44 - 00:05:46] 而且谷歌刚刚收购了D-Mine
[00:05:46 - 00:05:50] 最终吸引她的是温达在百度组建的AI研究团队
[00:05:50 - 00:05:52] 当时温达手握1亿美元的预算
[00:05:52 - 00:05:55] 正在全球范围内招募顶尖的AI人才
[00:05:55 - 00:05:57] 开始组建一支梦之队
[00:05:57 - 00:06:00] 虽然当时阿墨代一的背景主要集中在生物方向
[00:06:00 - 00:06:02] 但是百度的格雷格迪亚莫斯
[00:06:02 - 00:06:05] 在看了他在斯坦福撰写的代码之后
[00:06:05 - 00:06:06] 评价说
[00:06:06 - 00:06:09] 能写出这些代码的人一定是一位非常优秀的程序员
[00:06:09 - 00:06:11] 在迪亚莫斯的推荐下
[00:06:11 - 00:06:14] 阿姆黛伊于2014年11月加入了百度
[00:06:14 - 00:06:15] 在百度期间
[00:06:15 - 00:06:17] 他与团队开展了大规模的实验
[00:06:17 - 00:06:20] 探索模型性能是否会随着参数规模
[00:06:20 - 00:06:22] 和训练数据的增长而持续的提升
[00:06:22 - 00:06:24] 结果显示确实如此
[00:06:24 - 00:06:26] 阿姆黛伊及其合作者
[00:06:26 - 00:06:28] 随后撰写了一篇关于语音识别的论文
[00:06:28 - 00:06:31] 首次系统展示了这个趋势
[00:06:31 - 00:06:34] 这项成果也成为了Skellingloss的基础
[00:06:34 - 00:06:35] 阿姆黛伊回忆说
[00:06:35 - 00:06:36] 这对他冲击极大
[00:06:36 - 00:06:39] 他看到了一条极其平滑的趋势线
[00:06:39 - 00:06:41] 变化明确持续上升
[00:06:41 - 00:06:42] 迪阿姆斯则评价到
[00:06:42 - 00:06:44] 这是我这辈子见过最重要的发现
[00:06:45 - 00:06:45] 时至今日
[00:06:45 - 00:06:47] 阿玛黛伊仍然是
[00:06:47 - 00:06:49] 斯根尼拉奥斯最坚定的支持者之一
[00:06:49 - 00:06:51] 与迪麦的CEO哈萨比斯
[00:06:51 - 00:06:53] 麦特首席AI科学家杨丽坤等人
[00:06:53 - 00:06:56] 所坚持的AI需要范试突破不同
[00:06:56 - 00:06:58] 阿玛黛伊认为路径已经足够的明确了
[00:06:58 - 00:07:01] 只需要依靠更大的模型和更多的计算
[00:07:01 - 00:07:02] 如今
[00:07:02 - 00:07:04] 全球数据中心规模不断地扩大
[00:07:04 - 00:07:05] 在他看来
[00:07:05 - 00:07:07] 这正是迈向强大AI的信号
[00:07:07 - 00:07:10] 他说我们正处在一条指数增长曲线上
[00:07:10 - 00:07:13] 而他很容易让人产生错觉
[00:07:13 - 00:07:17] 所谓错觉正是指的是指数曲线初期的增长缓慢
[00:07:17 - 00:07:18] 看似平稳
[00:07:18 - 00:07:19] 但是临近爆发节点的时候
[00:07:19 - 00:07:21] 增长速度会突然的加速
[00:07:21 - 00:07:23] 阿玛带一坦言
[00:07:23 - 00:07:25] 距离疯狂爆发可能只有两年了
[00:07:25 - 00:07:28] 而大家还以为一切才刚刚开始
[00:07:28 - 00:07:30] 在百度团队逐渐解散之后
[00:07:30 - 00:07:33] 埃罗马斯克召集阿玛带一与多位AI研究人员
[00:07:33 - 00:07:35] 在门洛帕克的玫瑰木酒店
[00:07:35 - 00:07:36] 共进晚餐
[00:07:36 - 00:07:39] 讨论创建一个能与谷歌抗衡的新研究机构
[00:07:39 - 00:07:43] 萨茅特曼、Greg Brogman和伊利亚苏斯克威尔都出席了
[00:07:43 - 00:07:47] 这场玫瑰木晚宴最终促成了Open Eye的诞生
[00:07:47 - 00:07:50] 尽管阿姆黛伊后来选择加入了Google Brain团队
[00:07:50 - 00:07:51] 但是在工作了10个月之后
[00:07:51 - 00:07:55] 他决定转头Open Eye专注于AI的安全研究
[00:07:55 - 00:07:58] 他担忧快速进步的技术可能带来的危害
[00:07:58 - 00:08:02] 并且与人合作撰写了一篇关于不良行为前载可能性的论文
[00:08:02 - 00:08:04] 就在那段时间
[00:08:04 - 00:08:06] 谷歌的研究员刚刚提出Transformer模型
[00:08:06 - 00:08:07] 并且发表了论文
[00:08:07 - 00:08:09] attention is all you need
[00:08:09 - 00:08:12] 这项技术后来成为了生成式A的基础
[00:08:12 - 00:08:15] 然而谷歌内部并没有积极地推进这一方向
[00:08:15 - 00:08:16] 而OpenA则迅速跟进
[00:08:16 - 00:08:18] 并且在2018年
[00:08:18 - 00:08:20] 发布了第一个大原模型GPT
[00:08:20 - 00:08:23] 尽管早期模型的文本生成质量仍然有限
[00:08:23 - 00:08:26] 但是技术进步依然显著
[00:08:26 - 00:08:27] 作为OpenA的研究总监
[00:08:27 - 00:08:30] 阿玛带1深度参与了GPT2的开发
[00:08:30 - 00:08:32] 并且积极推动引入了RHFF技术
[00:08:32 - 00:08:35] 让模型更符合人类的偏好和价值判断
[00:08:35 - 00:08:36] 这个方法呢
[00:08:36 - 00:08:39] 日后也成为了训练AI对齐的关键手段
[00:08:39 - 00:08:41] 在gpt2的基础上
[00:08:41 - 00:08:44] 阿姆代仪主导了更有里程碑异的gpt3项目
[00:08:44 - 00:08:46] 模型的参数数量提升了近百倍
[00:08:46 - 00:08:48] 投入资金高达数千万美元
[00:08:48 - 00:08:51] 占用了openai大约5-6成的算力资源
[00:08:52 - 00:08:54] gpt3在发布之后震撼了整个AI行业
[00:08:55 - 00:08:58] 它在文本生成、语言翻译、代码编写等任务中
[00:08:58 - 00:09:00] 展现出了前所未有的能力
[00:09:00 - 00:09:02] 但是在GPT3取得成功的同时
[00:09:02 - 00:09:05] OPI内部的分歧也预发的明显
[00:09:05 - 00:09:08] α1对AI带来的潜在风险日益担忧
[00:09:08 - 00:09:11] 希望从组织治理层面加强AI安全机制
[00:09:11 - 00:09:14] 但是它并没能掌握模型的发布节奏
[00:09:14 - 00:09:18] 人事安排或者是对外战略等等关键的决策权
[00:09:18 - 00:09:20] 在无法达成共识的情况下
[00:09:20 - 00:09:23] α1逐渐建立起了一个以熊猫攀的
[00:09:23 - 00:09:25] 为代号的亲密研究圈
[00:09:25 - 00:09:27] 与OPI管理层的理念冲突加剧
[00:09:27 - 00:09:29] 内部关系也变得紧张
[00:09:29 - 00:09:32] 一些人批评他打着AI安全的旗号
[00:09:32 - 00:09:34] 实则试图在控制公司的方向
[00:09:34 - 00:09:38] 在阿姆黛伊呼吁限制向中国出口芯片之后
[00:09:38 - 00:09:41] 因为达CEO黄仁勋也公开表达过类似的批评
[00:09:41 - 00:09:44] 说到阿姆黛伊觉得AI太可怕了
[00:09:44 - 00:09:45] 只有他们自己才应该来做
[00:09:45 - 00:09:47] 对此阿姆黛伊回应称
[00:09:47 - 00:09:49] 这种说法荒谬至极
[00:09:49 - 00:09:52] 他认为自己从来没有说过只有我们能做这件事
[00:09:52 - 00:09:56] 他的目标是推动一个向上的竞争Race4的他
[00:09:56 - 00:09:59] 让行业学习并且采纳我们的安全做法
[00:09:59 - 00:10:01] 最终呢在2020年12月
[00:10:01 - 00:10:04] 阿波代医与一批志同道合的同事们离开了OpenI
[00:10:04 - 00:10:06] 创办了新的公司Answerpik
[00:10:06 - 00:10:10] 团队成员包括前政策主管捷克克拉克
[00:10:10 - 00:10:14] 妹妹丹尼拉阿波代医以及研究科学家克里斯奥拉等人
[00:10:14 - 00:10:16] 新公司呢本来有许多个被选的名字
[00:10:16 - 00:10:19] 但是之所以最终选定Answerpik这个名字
[00:10:19 - 00:10:21] 是因为它的意思是以人为本
[00:10:21 - 00:10:23] 不仅契合了公司的愿景
[00:10:23 - 00:10:25] 而且当时的医民还没有被人注册
[00:10:25 - 00:10:28] Antropag诞生于新冠疫情最严重的阶段
[00:10:28 - 00:10:31] 创始期的沟通几乎全靠zoom线上完成
[00:10:31 - 00:10:33] 团队规模只有15-20人
[00:10:33 - 00:10:37] 每周他们会在旧金山的普雷西达公园也参视的开会
[00:10:37 - 00:10:39] 员工自带折叠以
[00:10:39 - 00:10:42] 围作一圈来讨论公司的技术路径和发展方向
[00:10:42 - 00:10:44] Antropag最初的使命非常清晰
[00:10:44 - 00:10:46] 那就是构建一流的大鱼模型
[00:10:46 - 00:10:49] 推动行业采纳更安全的开发实践
[00:10:49 - 00:10:52] 并且公开发布部分非核心的研究成果
[00:10:52 - 00:10:56] 在这个由前OpenI研究员组建的出创公司中
[00:10:56 - 00:10:58] 许多成员都怀着一种使命感
[00:10:58 - 00:11:00] 他们内心觉得SkinLoss是在必行
[00:11:00 - 00:11:03] 模型一定会变得越来越强
[00:11:03 - 00:11:05] 安抓布的第一批投资人之一
[00:11:05 - 00:11:07] 是谷歌的前CEO艾利克·施密特
[00:11:07 - 00:11:08] 他通过当时的女友
[00:11:08 - 00:11:11] 也是如今的妻子认识了阿曼大一
[00:11:11 - 00:11:13] 两个人曾经就技术方向
[00:11:13 - 00:11:15] 与创业计划进行过深入的交流
[00:11:15 - 00:11:18] 施密特称他投资的不是某个具体项目
[00:11:18 - 00:11:18] 而是人
[00:11:18 - 00:11:20] 他坦言这种阶段的投资
[00:11:20 - 00:11:22] 基本上没有数据可以参考
[00:11:22 - 00:11:23] 只能看人
[00:11:23 - 00:11:24] 而阿姆黛依是天才
[00:11:24 - 00:11:26] 他也承诺会雇佣天才
[00:11:26 - 00:11:27] 也确实做到了
[00:11:27 - 00:11:29] 另外早期投资人
[00:11:29 - 00:11:30] 是后来因为FTX破产
[00:11:30 - 00:11:33] 而身败名列的加密货币企业家
[00:11:33 - 00:11:34] 山姆·班科曼弗里德
[00:11:34 - 00:11:36] 据称班科曼从FTX
[00:11:36 - 00:11:39] 浓用资金向安索贝投入了5亿美元
[00:11:39 - 00:11:40] 占股13.56%
[00:11:41 - 00:11:41] 但是阿姆黛依
[00:11:41 - 00:11:43] 并没有授予班科曼董事席位
[00:11:43 - 00:11:45] 只提供了无投票权的股份
[00:11:46 - 00:11:46] 在当时呢
[00:11:46 - 00:11:48] 阿姆黛依想向投资人
[00:11:48 - 00:11:49] 传达的核心理念
[00:11:49 - 00:11:50] 非常解明
[00:11:50 - 00:11:52] 那就是用十分之一的成本
[00:11:52 - 00:11:54] 构建出同样先进的模型
[00:11:54 - 00:11:55] 接着到目前
[00:11:55 - 00:11:56] Amadea已经为Anthropica
[00:11:56 - 00:11:58] 累计筹集了将近200亿美元
[00:11:59 - 00:12:01] 其中包括来自于Yamah訊的80亿美元
[00:12:01 - 00:12:02] 和谷歌的30亿美元
[00:12:03 - 00:12:04] 与OpenLine选择通过拆的GPT
[00:12:04 - 00:12:06] 面向消费者不同
[00:12:06 - 00:12:08] TOPKIG选择优先服务企业客户
[00:12:09 - 00:12:09] 这个策略呢
[00:12:09 - 00:12:11] 不仅更加具有商业的可行性
[00:12:11 - 00:12:14] 也有助于推动模型实用性的快速提升
[00:12:14 - 00:12:17] 比如通过大规模的专业任务训练
[00:12:17 - 00:12:19] 模型在生物化学等垂直领域
[00:12:19 - 00:12:22] 已经从本科水平越升到了研究生水平
[00:12:22 - 00:12:24] 虽然不一定能够打动普通的用户
[00:12:24 - 00:12:26] 但是对于辉瑞这类企业客户而言
[00:12:26 - 00:12:28] 却是极具吸引力的
[00:12:28 - 00:12:30] 有趣的是让安苏费尔真正声明大造的
[00:12:30 - 00:12:32] 还并不是这些技术成果
[00:12:32 - 00:12:36] 而是2023年7月推出的消费者聊天前凭Cloud
[00:12:36 - 00:12:38] 这款机器人因为高情商的表达风格
[00:12:38 - 00:12:40] 受到了广泛的好评
[00:12:40 - 00:12:42] 而这种性格恰恰源于安苏费尔团队
[00:12:42 - 00:12:45] 在安全训练上长期积累的经验
[00:12:45 - 00:12:46] Cloud推出之后
[00:12:46 - 00:12:48] 安塞多的迅速扩张
[00:12:48 - 00:12:49] 从员工不足150人
[00:12:49 - 00:12:51] 一年内增长到了超过500人
[00:12:51 - 00:12:52] 高峰时期
[00:12:52 - 00:12:54] 公司每天新增的员工数量
[00:12:54 - 00:12:58] 甚至超过了第一年全年的招聘总量
[00:12:58 - 00:12:59] Arm代义压住企业市场的策略
[00:12:59 - 00:13:01] 也迅速见效
[00:13:01 - 00:13:01] 如今
[00:13:01 - 00:13:02] 奥斯勒也夸拉爾模型
[00:13:02 - 00:13:04] 已经被广泛应用在了
[00:13:04 - 00:13:07] 旅游、医疗、金融、保险等多个行业的
[00:13:07 - 00:13:08] 大型客户中
[00:13:08 - 00:13:10] 服务对象包括联合航空
[00:13:10 - 00:13:12] 和美国国际集团等等
[00:13:12 - 00:13:14] 以制要公司诺和诺德为例
[00:13:14 - 00:13:15] 过去需要15天才能够完成
[00:13:15 - 00:13:17] 汇总的合规文件
[00:13:17 - 00:13:19] 如今Cloud可以在10分钟内生成出稿
[00:13:20 - 00:13:21] 极大地提升了效率
[00:13:21 - 00:13:22] 与此同时
[00:13:22 - 00:13:25] Cloud在程序员群体中也受到了高度的欢迎
[00:13:25 - 00:13:26] Osunet从一开始
[00:13:26 - 00:13:29] 就非常重视模型的编程能力建设
[00:13:29 - 00:13:32] 这既有助于加快公司自身的模型开发效率
[00:13:32 - 00:13:33] 也因为程序员用户
[00:13:33 - 00:13:35] 对新工具具备更强的采纳能力
[00:13:36 - 00:13:37] 2025年2月
[00:13:37 - 00:13:39] Asobe正式推出了Cloud Code的功能
[00:13:39 - 00:13:42] 迅速成为了公司重要的增长引擎之一
[00:13:42 - 00:13:44] 根据阿摩代一提供的数据
[00:13:44 - 00:13:47] Asobe的年收入几乎每年实现10倍的增长
[00:13:47 - 00:13:49] 2023年为1亿美元
[00:13:49 - 00:13:51] 2024年达到10亿美元
[00:13:51 - 00:13:53] 截止到2025年上半年
[00:13:53 - 00:13:55] 年化收入已经超过了45亿美元
[00:13:55 - 00:13:57] 估值达到610亿美元
[00:13:57 - 00:13:58] 这个增长呢
[00:13:58 - 00:14:00] 也反映在了客户侧的采购行为上
[00:14:00 - 00:14:02] 企业客户的平均支出
[00:14:02 - 00:14:03] 同比增长了5倍
[00:14:03 - 00:14:05] 价值百万美元以上的订单数量
[00:14:05 - 00:14:07] 也同比增长了3倍
[00:14:07 - 00:14:08] 相当于单笔合同
[00:14:08 - 00:14:10] 超过了730万元人民币
[00:14:10 - 00:14:12] 尽管Autopi实现了高速增长
[00:14:12 - 00:14:15] 但是背后的隐忧也逐渐的显现出来
[00:14:15 - 00:14:17] 目前公司仍然处于大额的亏损状态
[00:14:17 - 00:14:19] 预接2025年全年
[00:14:19 - 00:14:21] 亏损将达到30亿美元
[00:14:21 - 00:14:24] 毛利率也将明显低于典型的云计算企业
[00:14:24 - 00:14:26] 部分客户已经开始感受到了
[00:14:26 - 00:14:28] Cloud在产品端的不稳定性
[00:14:28 - 00:14:30] 因为初创公司创始人称
[00:14:30 - 00:14:32] Cloud模型在实用体验上表现出色
[00:14:32 - 00:14:34] 但是经常崩溃
[00:14:34 - 00:14:37] Ripley的CEO阿姆·迦德·马萨德也指出
[00:14:37 - 00:14:40] 开发者原本预期Cloud的API调用价格
[00:14:40 - 00:14:42] 会随着规模扩大而下降
[00:14:42 - 00:14:44] 但是这个预期并没有实现
[00:14:44 - 00:14:47] 因为开发者通过每月200美元的Max套餐
[00:14:47 - 00:14:49] 跑出了价值6000美元的API调用额度
[00:14:49 - 00:14:52] 迫使安桑勒紧急增加了调用上限机制
[00:14:52 - 00:14:54] 来遏制超额消耗
[00:14:54 - 00:14:55] 针对外籍的质疑
[00:14:55 - 00:14:57] 安倍的地回应称
[00:14:57 - 00:14:59] 随着模型能力的每次月升
[00:14:59 - 00:15:01] 用户的单位成本将随之下降
[00:15:01 - 00:15:03] 而目前各大AI实验室
[00:15:03 - 00:15:05] 仍然处于推理的优化初期
[00:15:05 - 00:15:07] 未来效率有望得到显著的提升
[00:15:07 - 00:15:08] 在业内人士看来
[00:15:08 - 00:15:11] 能否持续压低这条成本曲线
[00:15:11 - 00:15:14] 正是成为衡量AI商业可持性的关键便量
[00:15:15 - 00:15:18] 此外呢,OpenMunk的融资之路也并非一番丰顺
[00:15:18 - 00:15:20] 为了支持大规模的模型训练与部署
[00:15:20 - 00:15:23] OpenMunk与2025年初启动了新一轮的融资
[00:15:24 - 00:15:27] 由Light Speed的合伙人拉为马特雷牵头
[00:15:27 - 00:15:28] 融资目标为35亿美元
[00:15:29 - 00:15:30] 不过呢,他们在融资的关键阶段
[00:15:31 - 00:15:32] 遭遇到了突发的挑战
[00:15:32 - 00:15:35] DeepSake团队突然开源了自言大模型DeepSake R1
[00:15:36 - 00:15:38] 这款模型在性能上表现强劲
[00:15:38 - 00:15:40] 价格仅为行业平均的40分之一
[00:15:40 - 00:15:42] 一度引发市场恐慌
[00:15:42 - 00:15:42] 并且导致
[00:15:42 - 00:15:44] Yen Wida的股价大跌17%
[00:15:45 - 00:15:46] 马特雷回忆道
[00:15:46 - 00:15:47] 在DPEC引发市场
[00:15:47 - 00:15:49] 剧烈反应后不久
[00:15:49 - 00:15:50] 他顶住了巨大的压力
[00:15:50 - 00:15:52] 最终决定汇出10亿美元
[00:15:52 - 00:15:53] 尽管如此
[00:15:53 - 00:15:54] 阿姆黛依仍然成功地
[00:15:54 - 00:15:56] 说服了投资人相信
[00:15:56 - 00:15:58] DPSK虽然价格低连
[00:15:58 - 00:15:59] 但是它的部署和运营
[00:15:59 - 00:16:01] 仍然需要大量的资源
[00:16:01 - 00:16:02] 与工程能力
[00:16:02 - 00:16:03] 真正的竞争核心
[00:16:03 - 00:16:04] 在于是否能够比Cloud
[00:16:04 - 00:16:05] 跑得更好
[00:16:06 - 00:16:06] 而就在这周
[00:16:06 - 00:16:08] Oshun这个正式启动了新一轮
[00:16:10 - 00:16:13] 估值有望翻倍到1500亿美元
[00:16:13 - 00:16:14] 值得注意的是
[00:16:14 - 00:16:16] 倔伦融资也首次引入了
[00:16:16 - 00:16:19] 此前刻意迴避的中东主权财富基金
[00:16:19 - 00:16:20] 作为潜在投资方
[00:16:20 - 00:16:23] 对此阿曼代一在公司内部的slack上写道
[00:16:23 - 00:16:27] 很难真正做到让坏人一个都别张光的商业原则
[00:16:27 - 00:16:29] 2025年5月
