BV号：BV1mQR3BUEPE
标题：BV1mQR3BUEPE
链接：https://www.bilibili.com/video/BV1mQR3BUEPE
识别语言：zh
语言置信度：1
分段数：214
生成时间：2026-08-29 17:09:25

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 各位写代码的搞技术的
[00:02:05 - 00:02:07] 让机器自己去卷出权重
[00:02:07 - 00:02:09] 但现在软件3.0杀到了
[00:02:09 - 00:02:11] 在这个时代大语言模型本身
[00:02:11 - 00:02:13] 就变成了一台全新的计算机
[00:02:13 - 00:02:16] 你的上下文窗口就是这台计算机的内存
[00:02:16 - 00:02:19] 而你的提示词就是这台计算机的绘边语言
[00:02:19 - 00:02:22] 你不需要写代码也不需要训练模型
[00:02:22 - 00:02:24] 你是在一个巨大的数字信息空间里
[00:02:24 - 00:02:27] 直接用自然语言调度这台神经网络计算机
[00:02:27 - 00:02:29] 如果你觉得这听起来有点抽象
[00:02:29 - 00:02:33] 别急,Carpety举了两个绝对能颠覆你认知的例子
[00:02:33 - 00:02:35] 第一个例子是安装OpenCloud
[00:02:35 - 00:02:39] 按我们软件1.0的思维安装一个复杂的环境
[00:02:39 - 00:02:42] 你需要写极其荣常复杂的Batch小本
[00:02:42 - 00:02:45] 还要去适配Mac Linux各种不同的系统环境
[00:02:45 - 00:02:46] 对吧
[00:02:46 - 00:02:49] 但在软件3.0时代安装过程变成了什么
[00:02:49 - 00:02:50] 是一段纯文本
[00:02:50 - 00:02:53] 你把这段话复制粘贴给你的AI agent
[00:02:53 - 00:02:55] Agent拥有自己的智能
[00:02:55 - 00:02:57] 它会自己去看你的系统环境
[00:02:57 - 00:02:59] 自己执行命令如果遇到爆错
[00:02:59 - 00:03:02] 它会在循环里自己抓取爆错信息自己debug
[00:03:02 - 00:03:03] 直到安装成功
[00:03:03 - 00:03:07] 你看你不再是写死每一步而是下发任务
[00:03:07 - 00:03:08] Agent负责DoDi
[00:03:08 - 00:03:10] 第二个例子更诈裂叫做MenuGen
[00:03:10 - 00:03:13] Carpety之前手错过一个APP
[00:03:13 - 00:03:15] 你去餐厅菜单上全是字没图片对吧
[00:03:15 - 00:03:17] 它写了个程序先拍照
[00:03:17 - 00:03:19] 然后调用OCR识别文字
[00:03:19 - 00:03:22] 再调用图像生成API出图
[00:03:22 - 00:03:24] 最后渲染一个网页展示给你看
[00:03:24 - 00:03:26] 为了搞这个他写了一堆代码
[00:03:26 - 00:03:29] 还在Vissel上各种痛苦的配置部署
[00:03:29 - 00:03:31] 但当他用软件3.0的思维重做时
[00:03:31 - 00:03:33] 他震惊了
[00:03:33 - 00:03:35] 他只需要把菜单照片扔给jamini
[00:03:35 - 00:03:37] 说一句把这些菜的图片
[00:03:37 - 00:03:40] 直接渲染覆盖在原图的文字上
[00:03:40 - 00:03:43] 然后模型直接吐出了一张完美的图片
[00:03:43 - 00:03:45] 中间那些复杂的OCR代码
[00:03:45 - 00:03:48] 数据库前后端APPVissel部署通通不需要了
[00:03:48 - 00:03:50] Carpathy直言不会的说
[00:03:50 - 00:03:52] 我之前写的那些代码全是多余的
[00:03:52 - 00:03:56] 在軟件3.0时代神经网络直接吃进你的prompt
[00:03:56 - 00:04:00] 直接吐出结果中间那些承载传统逻辑的代码
[00:04:00 - 00:04:01] 通通被降为打击了
[00:04:01 - 00:04:03] 听到这你可能要绝望了
[00:04:03 - 00:04:06] 程序员是不是明天就可以集体去送外卖了
[00:04:06 - 00:04:07] 绝对不是
[00:04:07 - 00:04:10] Carpathy在这个访谈中最精彩的论断之一
[00:04:10 - 00:04:12] 就是揭示了AI的巨齿装置能
[00:04:12 - 00:04:14] 你有没有发现一个极其诡异的现象
[00:04:14 - 00:04:17] 最顶级的AI比如OPAS或GPT
[00:04:17 - 00:04:20] 它可以瞬间重构10万行代码
[00:04:20 - 00:04:22] 甚至帮你挖出zero day漏洞
[00:04:22 - 00:04:24] 但是如果你问他strawberry里有几个二
[00:04:24 - 00:04:27] 他可能会信誓淡淡地告诉你有两个
[00:04:27 - 00:04:29] 甚至他会建议你走50米去洗车场
[00:04:29 - 00:04:30] 而不是开车
[00:04:30 - 00:04:32] 为什么他在某些地方像个神
[00:04:32 - 00:04:34] 在某些地方像个弱智
[00:04:34 - 00:04:36] carpeti一针键写的指出
[00:04:36 - 00:04:38] 因为AI在可验症的领域
[00:04:38 - 00:04:39] 进化速度是光速
[00:04:39 - 00:04:40] 比如数学和编程
[00:04:40 - 00:04:42] 对就是对错就是错
[00:04:42 - 00:04:45] 实验室可以构建无限的强化学习环境
[00:04:45 - 00:04:46] 去疯狂奖励他
[00:04:46 - 00:04:48] 但在人类常识领域
[00:04:48 - 00:04:49] 他就容易翻车
[00:04:49 - 00:04:51] 这就引出了我们今天最核心的概念
[00:04:51 - 00:04:53] Agentic Engineering
[00:04:53 - 00:04:56] Vipe Coding是让普通人也能写出小玩具
[00:04:56 - 00:04:57] 拉低了编程的下限
[00:04:57 - 00:04:59] 但作为专业程序员
[00:04:59 - 00:05:01] 我们的任务是Agentic Engineering
[00:05:01 - 00:05:05] 我们要在一个极高风险极度复杂的商业环境里
[00:05:05 - 00:05:07] 带领一群偶尔会犯蠢的AI实习生
[00:05:07 - 00:05:11] 去交付高质量不能有任何漏洞的工业级软件
[00:05:11 - 00:05:12] 守住专业的上限
[00:05:12 - 00:05:14] 这就是技术理性的回归
[00:05:14 - 00:05:17] 你不能对AI有黑画幻觉和盲目迷信
[00:05:17 - 00:05:20] 你要做的是设计规范,把控品质都抵安全
[00:05:20 - 00:05:23] carpacy还分享了一个极其真实的翻车案例
[00:05:23 - 00:05:27] 他让agent处理支付用户,用google邮箱注册
[00:05:27 - 00:05:29] 但用stripe绑定的另一个邮箱付款
[00:05:29 - 00:05:31] 结果这个聪明的agent
[00:05:31 - 00:05:34] 居然自作主张的把这两个不同的邮箱强行关联
[00:05:34 - 00:05:36] 导致账单彻底乱套
[00:05:36 - 00:05:38] ai根本不懂人类商业世界里
[00:05:38 - 00:05:41] 唯一用户id这种业务逻辑的重要性
[00:05:41 - 00:05:44] 所以carpacy抛出了本场访谈最具折理
[00:05:44 - 00:05:46] 也最值得每个人记在小本们上的一句话
[00:05:46 - 00:05:48] 你可以外包你的思考
[00:05:48 - 00:05:50] 但你绝对不能外包你的理解什么意思
[00:05:50 - 00:05:52] 作为未来的程序员
[00:05:52 - 00:05:55] 你不需要再去死机应备Petiteor持货南派
[00:05:55 - 00:05:57] 理那个API到底是叫Keep them or Excess
[00:05:57 - 00:06:01] 这些死机应备的思考过程通通外包给AI实习生
[00:06:01 - 00:06:04] 但是你必须深刻理解底层逻辑
[00:06:04 - 00:06:05] 什么是Tanzer
[00:06:05 - 00:06:07] 什么是内存仕途
[00:06:07 - 00:06:09] 怎么做才不会导致内存荣誉考备
[00:06:09 - 00:06:10] 理解问题本质
[00:06:10 - 00:06:11] 品位
[00:06:11 - 00:06:13] 顶层架构设计
[00:06:13 - 00:06:16] 这些才是你未来在排桌上不下排桌的唯一筹码
[00:06:16 - 00:06:18] 顺着这个逻辑推言
[00:06:18 - 00:06:20] 未来的软件生态会变成什么样
[00:06:20 - 00:06:23] carpathia预测未来所有的基础设施
[00:06:23 - 00:06:25] 都将是agent native的
[00:06:25 - 00:06:27] 它疯狂吐槽现在的开发者文档
[00:06:27 - 00:06:29] 为什么还要写那些让人类看的文档
[00:06:29 - 00:06:31] 告诉我先点字再点那
[00:06:31 - 00:06:32] 别给我看这些
[00:06:32 - 00:06:36] 给我一行能直接复制粘贴给我的AIagent的指令就行了
[00:06:36 - 00:06:41] 未来的世界你的agent会去和各种服务器的agent自动谈判对接API
[00:06:41 - 00:06:43] 传统的GUI会逐渐消亡
[00:06:43 - 00:06:46] 传感器和执行器直接和神经网络对话
[00:06:46 - 00:06:49] 在这个世界里,计算架构也会发生倒转
[00:06:49 - 00:06:51] 神经网络将变成系统的主进程
[00:06:51 - 00:06:55] 而我们今天无比崇拜的CPU将退化成一个协处理器
[00:06:55 - 00:06:58] 只负责在AI需要做确定性数学计算时
[00:06:58 - 00:07:00] 提供一点算力支援
[00:07:00 - 00:07:03] 连带着未来的招聘标准也会彻底颠覆
[00:07:03 - 00:07:06] 不要再让候选人去白板上翻转二差数了
[00:07:06 - 00:07:07] 没意义
[00:07:07 - 00:07:08] 未来的面试题应该是
[00:07:08 - 00:07:12] 是给你10个AI代理去给我搭一个推特的克龙版
[00:07:12 - 00:07:15] 然后我用10个黑客AI去攻击你的系统
[00:07:15 - 00:07:16] 看你能不能防得住
[00:07:16 - 00:07:18] 这才是未来工程室的真正大考
[00:07:19 - 00:07:21] 好了 硬核内容到这里基本拆解完毕
[00:07:21 - 00:07:23] 软件3.0不是终点
[00:07:23 - 00:07:25] 而是刚刚开始的起点
[00:07:25 - 00:07:28] 在这个时代代码不再是唯一的杠杆
[00:07:28 - 00:07:31] prompt上下文以及你对系统底层的深刻理解
[00:07:31 - 00:07:33] 才是你的新武器
[00:07:33 - 00:07:35] 我们不是在召唤某种懂感情的动物
[00:07:35 - 00:07:39] 而是在召唤由数据和统计学构成的幽灵
[00:07:39 - 00:07:41] 你不需要对着它大吼大叫
[00:07:41 - 00:07:43] 你需要的是理性严谨的代理化工程
[00:07:43 - 00:07:46] 身份转编带来焦虑是必然的
[00:07:46 - 00:07:48] 但只要你不丢掉理解力这个核心
[00:07:48 - 00:07:50] 你就能从一个苦哈哈的代码搬专工
[00:07:50 - 00:07:54] 进化为一个指挥千军万马的AI交响乐团指挥家
[00:07:54 - 00:07:56] 最后把问题留给大家
[00:07:56 - 00:07:58] 在这波软件3.0的浪潮中
[00:07:58 - 00:08:00] 你觉得你自己工作中
[00:08:00 - 00:08:02] 哪部分是绝对不能被外包的核心理解力
[00:08:02 - 00:08:07] 或者你最近被AI的那种巨石撞之能蠢哭过
[00:08:07 - 00:08:10] 欢迎在弹幕和评论区吐槽或分享你的真知着见
[00:08:10 - 00:08:12] 如果这期硬核拆解对你有启发
[00:08:12 - 00:08:15] 别忘了点赞投币收藏给我来个一键三连
[00:08:15 - 00:08:18] 你的支持是我持续硬核输出的最大动力
[00:08:18 - 00:08:20] 我是为什么叫QQ
[00:08:20 - 00:08:22] 关注我我们在这个疯狂的AI时代
[00:08:22 - 00:08:24] 一起保持清醒
[00:08:24 - 00:08:25] 下期见
