BV号：BV1ScdPBeEW7
标题：BV1ScdPBeEW7
链接：https://www.bilibili.com/video/BV1ScdPBeEW7
识别语言：zh
语言置信度：1
分段数：227
生成时间：2026-08-29 08:23:14

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI真的会思考吗
[00:01:26 - 00:01:28] 这么简单粗暴的原因
[00:01:28 - 00:01:29] 这是架构底层的缺陷
[00:01:29 - 00:01:31] 在狂热的酸力精赛背后
[00:01:31 - 00:01:33] 我们到底缺失了什么核心组件
[00:01:33 - 00:01:35] 为了回答这个问题
[00:01:35 - 00:01:36] 我们必须听听站在
[00:01:36 - 00:01:38] 地球AI比试链顶端的人
[00:01:38 - 00:01:39] 是怎么说的
[00:01:39 - 00:01:40] 在这场YC访谈中
[00:01:40 - 00:01:42] Demis聊到了AGI的瓶颈
[00:01:42 - 00:01:43] Agent智能体的
[00:01:43 - 00:01:44] 真实进度开源
[00:01:44 - 00:01:46] 与必原的生态较量
[00:01:46 - 00:01:47] 甚至还聊到了
[00:01:47 - 00:01:48] 未来10年科学探索的
[00:01:48 - 00:01:49] 终极蓝图
[00:01:49 - 00:01:51] 我把这篇访谈的逐字稿
[00:01:51 - 00:01:52] 看了好几遍
[00:01:52 - 00:01:53] 我发现
[00:01:53 - 00:01:56] 这里面藏着一条清晰的工程演进主线
[00:01:56 - 00:01:58] Demis没有陷入围参数论的盲目崇拜中
[00:01:58 - 00:02:02] 今天我们就沿着它的思路来看看AGI道路上
[00:02:02 - 00:02:03] 有哪些不同的洞察
[00:02:03 - 00:02:04] 第一点
[00:02:04 - 00:02:08] AGI缺失的三块核心拼图与交代修补数
[00:02:08 - 00:02:10] 现在业界有一种非常危险的迷信
[00:02:10 - 00:02:14] 只要我们不断的堆积PU把模型参数推向百万亿
[00:02:14 - 00:02:16] AGI就会自然涌现
[00:02:16 - 00:02:18] 但Demis毫不客气地指出
[00:02:18 - 00:02:21] 目前的系统至少还有三个根本性的难题没有被破解
[00:02:21 - 00:02:23] 第一块拼图 持续学习
[00:02:23 - 00:02:27] 现在的AI学习新知识在底层逻辑上是非常笨拙的
[00:02:27 - 00:02:29] Demis用了一个非常形象的词
[00:02:29 - 00:02:30] 交代
[00:02:30 - 00:02:33] 我们现在让模型记住新东西
[00:02:33 - 00:02:36] 就像是用交代把补钉强行粘在系统表面
[00:02:36 - 00:02:38] 人类大脑在睡眠时
[00:02:38 - 00:02:42] 会将新知识优雅无缝的编织整合近已有的认知网络中
[00:02:42 - 00:02:44] 但如今的大语言模型做不到这一点
[00:02:44 - 00:02:47] 他们非常容易产生灾难性遗忘
[00:02:47 - 00:02:50] 第二块拼图 长期推理于反思机制
[00:02:50 - 00:02:52] 这就解释了前面的诡异现象
[00:02:52 - 00:02:55] Demis在观察模型下棋的思维诡计时发现
[00:02:55 - 00:02:57] 模型有时会陷入死寻环
[00:02:57 - 00:02:58] 明知道是失误
[00:02:58 - 00:03:01] 却因为找不到更好解而固执之行
[00:03:01 - 00:03:06] 目前AI缺乏对自己思维过程的监控和中间干预能力
[00:03:06 - 00:03:07] 一旦方向偏了
[00:03:07 - 00:03:09] 不到终点它是停不下来纠正自己的
[00:03:09 - 00:03:10] 第三块拼图
[00:03:10 - 00:03:12] 结构化的记忆
[00:03:12 - 00:03:13] 很多小伙伴会反驳
[00:03:13 - 00:03:16] 现在不是有百万token的上下文了吗
[00:03:16 - 00:03:17] 这不是记忆吗
[00:03:17 - 00:03:19] Demis打碎了这个幻觉
[00:03:19 - 00:03:21] 上下文窗口充其量只是工作记忆
[00:03:21 - 00:03:24] 就像你桌面上铺开的一张巨大操高纸
[00:03:24 - 00:03:27] 当你把所有信息暴力塞进这个窗口时
[00:03:27 - 00:03:31] 底层计算查找相关信息的检索成本会变得极其高啊
[00:03:31 - 00:03:34] 真正的记忆是一个经过高度结构化
[00:03:34 - 00:03:39] 能够针对当前特定决策低成本瞬间提取信息的动态系统
[00:03:39 - 00:03:40] 不解决这个问题
[00:03:40 - 00:03:43] 完全依赖扩大输入窗口在工程上是不可持续的
[00:03:43 - 00:03:47] 第二点,AlphaGo的幽灵重塑底层技术站
[00:03:47 - 00:03:49] 怎么解决推理能力不足的问题
[00:03:49 - 00:03:51] 答案藏在10年前的历史里
[00:03:51 - 00:03:53] 你还记得击败李世使的AlphaGo吗?
[00:03:53 - 00:03:56] Demis在访谈中透露了一个关键信号
[00:03:56 - 00:04:00] 如今大模型疯狂内卷的思维链和深度推理模式
[00:04:00 - 00:04:05] 本质上是AlphaGo时代思想在全新规模下的一次伟大复兴
[00:04:05 - 00:04:08] 强化学习蒙特卡洛树搜索这些老技术
[00:04:08 - 00:04:10] 正在被重新请回舞台中央
[00:04:10 - 00:04:12] 与当下的基础模型进行融合
[00:04:12 - 00:04:14] 在严谨的工程落地中
[00:04:14 - 00:04:17] 监督微调负责赋予模型基础的直觉底座
[00:04:17 - 00:04:19] 而强化学习和搜索算法
[00:04:19 - 00:04:22] 则充当了寻找最优解的慢思考过程
[00:04:22 - 00:04:24] 就算法遇上新算力
[00:04:24 - 00:04:26] 就是撕裂下一个技术瓶颈的王炸
[00:04:26 - 00:04:27] 第三点
[00:04:27 - 00:04:31] 小模型的逆袭与开源底层的生死博弈
[00:04:31 - 00:04:33] 现在大家都在卷万一参数
[00:04:33 - 00:04:35] 但Google近期在疯狂叠怠
[00:04:35 - 00:04:38] 像JamNet Flash和Gemma这样的小参数模型
[00:04:38 - 00:04:39] 在这场访谈中
[00:04:39 - 00:04:41] 主持人Gary直接抛出了一个
[00:04:41 - 00:04:43] 极其刺激业界神经的数据
[00:04:43 - 00:04:45] Google目前的Flash小模型
[00:04:45 - 00:04:46] 在成本只有前沿大模型
[00:04:46 - 00:04:48] 十分之一的情况下
[00:04:48 - 00:04:50] 已经能达到其95%的能力
[00:04:50 - 00:04:53] Demis对此毫不毕业的承认了并谈言
[00:04:53 - 00:04:55] 这背后已障的正式Deep Mind
[00:04:55 - 00:04:57] 极其成熟的模型征留技术
[00:04:57 - 00:05:00] 而且这不仅仅是算力和成本的妥协
[00:05:00 - 00:05:02] Demis在访谈中罕见地表现了
[00:05:02 - 00:05:04] 对底层生态位的焦虑
[00:05:04 - 00:05:07] 目前中国的开源模型极其出色
[00:05:07 - 00:05:08] 甚至处于领先地位
[00:05:08 - 00:05:10] Google必须用Jama这样的模型
[00:05:10 - 00:05:12] 在开源生态中
[00:05:12 - 00:05:13] 很狠砸下一颗钉子
[00:05:13 - 00:05:15] 建立属于他们自己的西方技术站
[00:05:15 - 00:05:18] 这意味着 AI 的未来不仅是云端大脑
[00:05:18 - 00:05:21] 更是运行在你手机和智能硬件
[00:05:21 - 00:05:23] 本地的清亮级推理中书
[00:05:23 - 00:05:26] 这才是解决隐私安全和超低延迟交互的唯一解
[00:05:26 - 00:05:27] 第四点
[00:05:27 - 00:05:31] 缺失的持续学习与破灭的Agent 幻觉
[00:05:31 - 00:05:32] 讲到这里很多人可能会问
[00:05:32 - 00:05:34] 既然底层有漏洞
[00:05:34 - 00:05:36] 那现在资本权炒作的Agent
[00:05:36 - 00:05:37] 是不是也是巨大的泡沫
[00:05:37 - 00:05:39] 但没自斩钉截铁的回答
[00:05:39 - 00:05:41] Agent 绝对不是炒作
[00:05:41 - 00:05:43] 他们是通向AGI的必经之路
[00:05:43 - 00:05:47] 因为AGI必须是一个能够主动解决问题的动态系统
[00:05:47 - 00:05:50] 但它也很坦诚目前的agents依然处于实验阶段
[00:05:50 - 00:05:54] 为什么现在的agents挂在几十个跑了40个小时
[00:05:54 - 00:05:56] 结果根本对不起消耗的算力
[00:05:56 - 00:05:58] Diamonds一真见血地指出了病根
[00:05:58 - 00:06:00] 还是我们前面提到的第一块拼图
[00:06:00 - 00:06:02] 缺乏持续学习能力
[00:06:02 - 00:06:04] 因为系统学习不会在执行任务的过程中
[00:06:04 - 00:06:07] 动态适应新的环境上下文
[00:06:07 - 00:06:10] 导致他们根本做不到真正的发射后不管
[00:06:10 - 00:06:12] 只有補齊了这块平图
[00:06:12 - 00:06:15] 智能体工程才能真正取代简单的vibe coding
[00:06:15 - 00:06:16] 第五点
[00:06:16 - 00:06:17] 创造力的终极测试
[00:06:17 - 00:06:20] 从下出木Mu37到发明围棋
[00:06:20 - 00:06:23] 在探讨AI目前的创造力天花板时
[00:06:23 - 00:06:26] Demis提出了一个极具深度的工程对比
[00:06:26 - 00:06:30] 当年AlphaGo下出震惊人类的木Mu37固然很酷
[00:06:30 - 00:06:31] 但它还远远不够
[00:06:31 - 00:06:34] 它想要的真正AGI系统
[00:06:34 - 00:06:36] 是当你给它一个高维的概念描述
[00:06:36 - 00:06:38] 比如一个五分钟能学会规则
[00:06:38 - 00:06:41] 但需要一生去精通極具美感的遊戲
[00:06:41 - 00:06:44] 它能把為期這個遊戲本身給你發明出來
[00:06:44 - 00:06:46] 這才是創造力的終極測試
[00:06:46 - 00:06:48] 這個要求系統不僅能模式匹配
[00:06:48 - 00:06:51] 還要具備跨領域的類比推理能力
[00:06:51 - 00:06:53] 目前的AI顯然還做不到這一點
[00:06:53 - 00:06:55] 訪談的最後格局進一步打開
[00:06:55 - 00:06:58] Alphfold的功課單擺著摺疊拿下諾獎
[00:06:58 - 00:06:59] 只是個開始
[00:06:59 - 00:07:01] Demis給出了下一個十年的驚人目標
[00:07:01 - 00:07:03] 構建一個完整的虛擬細胞
[00:07:03 - 00:07:05] 想像一下在計算機世界裡
[00:07:05 - 00:07:08] 精确模拟出一个细胞完整的动态运行过程
[00:07:08 - 00:07:11] 他们将从相对独立的细胞盒开始功课
[00:07:11 - 00:07:15] 一旦成功你可以随意进行千百万次的药物测试
[00:07:15 - 00:07:18] 只要物理定律允许寻找治愈决挣的把点
[00:07:18 - 00:07:21] 就变成了一个可以在庞大组合空间中
[00:07:21 - 00:07:23] 高效搜索的工程优化问题
[00:07:23 - 00:07:24] Demis预测
[00:07:24 - 00:07:26] 这个目标的实现大概需要10年时间
[00:07:27 - 00:07:29] Demis对所有想在深科技领域
[00:07:29 - 00:07:31] 深耕的工程师说了一句话
[00:07:31 - 00:07:33] 如果你现在开启一段为期10年的
[00:07:33 - 00:07:34] 深科技探索之旅
[00:07:34 - 00:07:35] 而AGI
[00:07:35 - 00:07:38] 极有可能在2030年左右降临
[00:07:38 - 00:07:39] 这意味着
[00:07:39 - 00:07:41] AGI将会在你这趟旅程的中途
[00:07:41 - 00:07:42] 突然出现
[00:07:42 - 00:07:43] 你必须从今天起
[00:07:43 - 00:07:45] 就把如何利用
[00:07:45 - 00:07:46] 未来不断进化的AI系统
[00:07:46 - 00:07:49] 作为你加购设计的核心考量
[00:07:49 - 00:07:50] 在这个技术狂标的时代
[00:07:50 - 00:07:52] 保持极致的好奇心
[00:07:52 - 00:07:53] 建立属于你自己的
[00:07:53 - 00:07:54] 智能体工程体系
[00:07:54 - 00:07:56] 才是唯一的生存法则
[00:07:56 - 00:07:57] 那么看完这期
[00:07:57 - 00:07:58] 逐层拆解
[00:07:58 - 00:08:00] 你觉得现在的AI是真的
[00:08:00 - 00:08:01] 在逐渐涌现出逻辑
[00:08:01 - 00:08:03] 还是依然只是一台
[00:08:03 - 00:08:05] 集齐庞大的概率预测机器
[00:08:05 - 00:08:07] 关于这里缺失的三块拼图
[00:08:07 - 00:08:10] 你最期待哪一块率先营来技术突破
[00:08:10 - 00:08:12] 欢迎把你的看法打在公屏上
[00:08:12 - 00:08:14] 如果你觉得这期视频对你有所启发
[00:08:14 - 00:08:16] 别忘了点赞投币收藏
[00:08:16 - 00:08:17] 我是为什么叫QQ
[00:08:17 - 00:08:19] 我们下期视频再见
