BV号：BV1dNA4eNEB2
标题：BV1dNA4eNEB2
链接：https://www.bilibili.com/video/BV1dNA4eNEB2
识别语言：zh
语言置信度：1
分段数：300
生成时间：2026-08-30 13:03:17

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 大家知道目前全球有多少款AI加速器吗
[00:03:49 - 00:03:51] 獲得更為強大的計算能力
[00:03:51 - 00:03:52] 或者說以更低的成本
[00:03:52 - 00:03:54] 來維持相同的計算性能
[00:03:54 - 00:03:56] 不過值得注意的是
[00:03:56 - 00:03:58] 在硬件性價比提升的同時
[00:03:58 - 00:04:00] 製造商已在不斷地推出更為強大
[00:04:00 - 00:04:02] 但是價格更為昂貴的硬件
[00:04:02 - 00:04:04] 這些高端的硬件
[00:04:04 - 00:04:05] 雖然價格高昂
[00:04:05 - 00:04:06] 但是往往具備了
[00:04:06 - 00:04:08] 更先進的技術和更高的性能
[00:04:08 - 00:04:08] 能夠滿足一些
[00:04:08 - 00:04:11] 對於計算要求極高的特定場景
[00:04:11 - 00:04:13] 比如說大型互量公司的雲服務
[00:04:13 - 00:04:15] 前沿的科研項目等等
[00:04:15 - 00:04:17] 對於那些追求極致性能的用戶來說
[00:04:17 - 00:04:20] 这些高端的硬件依然具有很大的吸引力
[00:04:20 - 00:04:23] 而且随着技术的进步和市场的竞争
[00:04:23 - 00:04:25] 高端硬件的价格也会逐渐地区域合理
[00:04:25 - 00:04:27] 进一步的扩大它的应用范围
[00:04:27 - 00:04:29] 另一方面随着技术的不断发展
[00:04:29 - 00:04:33] 未来的硬件也望在能源效率上实现更大的突破
[00:04:33 - 00:04:35] 比如说即将推出的BlackWire系列处理器
[00:04:35 - 00:04:38] 如果能够在功耗上进行有效的控制
[00:04:38 - 00:04:40] 可能会拥有更高的能源效率
[00:04:40 - 00:04:41] 对于数据中心来说
[00:04:41 - 00:04:44] 能源效率的提升就意味着可以在相同的能源供应下
[00:04:44 - 00:04:46] 运行更多的硬件设备
[00:04:46 - 00:04:48] 提高计算资源的利用率
[00:04:48 - 00:04:51] 同时减少散热等等配套设施的成本
[00:04:51 - 00:04:52] 进一步的降低运营成本
[00:04:53 - 00:04:55] 第三在机器学习硬件的发展过程中
[00:04:55 - 00:04:57] 数据精度格式的变化
[00:04:57 - 00:04:59] 对于性能产生了深远的影响
[00:04:59 - 00:05:01] 与使用非张量的IP32相比
[00:05:02 - 00:05:03] TF32
[00:05:03 - 00:05:05] Tensor IP16和Tensor Int8
[00:05:05 - 00:05:07] 在整体性能区域上
[00:05:07 - 00:05:10] 平均分别有大约6倍 10倍和12倍的性能提升
[00:05:10 - 00:05:12] 以H100芯片为例
[00:05:12 - 00:05:14] 它在Int8格式下的运算速度
[00:05:14 - 00:05:16] 比IP32快了59倍
[00:05:16 - 00:05:18] 这种巨大的性能差距
[00:05:18 - 00:05:20] 充分展示了低精度格式的优势
[00:05:20 - 00:05:23] 随着硬件对于低精度格式的支持和优化
[00:05:23 - 00:05:25] 使用较低精度格式来训练模型
[00:05:25 - 00:05:26] 也变得越来越普遍
[00:05:26 - 00:05:29] 其中以Thans IP16由为突出
[00:05:29 - 00:05:31] 这是因为低精度格式
[00:05:31 - 00:05:33] 在保证模型性能的前提下
[00:05:33 - 00:05:35] 能够大大减少计算量和存储需求
[00:05:35 - 00:05:37] 在深度学习的模型训练中
[00:05:37 - 00:05:39] 数据的存储和处理
[00:05:39 - 00:05:41] 往往需要消耗大量的资源
[00:05:41 - 00:05:43] 而低精度格式的数据占用的空间更小
[00:05:43 - 00:05:45] 能够在相同的硬件条件下
[00:05:45 - 00:05:46] 存储更多的数据
[00:05:47 - 00:05:48] 同时在计算时
[00:05:48 - 00:05:49] 也能够更快的处理数据
[00:05:49 - 00:05:50] 提高训练的效率
[00:05:51 - 00:05:52] 而且随着技术的不断发展
[00:05:53 - 00:05:54] 低精度格式
[00:05:54 - 00:05:55] 在模型训练中的表现
[00:05:55 - 00:05:57] 也在逐渐的接近高精度格式
[00:05:57 - 00:06:00] 使得它在实际用中得到了广泛的认可
[00:06:00 - 00:06:01] 第四点
[00:06:01 - 00:06:02] 在模型训练领域
[00:06:02 - 00:06:04] 英伟达的A100已经成为了
[00:06:04 - 00:06:07] 训练知名机器学习模型的热名硬件
[00:06:07 - 00:06:08] 根据EPOC的数据显示
[00:06:09 - 00:06:10] 自A100发布以来
[00:06:10 - 00:06:12] 它已经被用在了训练65个
[00:06:12 - 00:06:13] 知名的机器学习模型
[00:06:13 - 00:06:17] 在高引用或者是最先进的AI模型训练中发挥了重要的作用
[00:06:17 - 00:06:20] 排在第二位的是英伟达的V100
[00:06:20 - 00:06:22] 用来训练55个知名模型
[00:06:22 - 00:06:25] 谷歌的TPUV3则以47个位列第三
[00:06:25 - 00:06:27] A100之所以如此受欢迎
[00:06:27 - 00:06:29] 不仅得以其强大的计算性能
[00:06:29 - 00:06:33] 以及对于多种精度格式的良好支持和广泛的生态系统
[00:06:33 - 00:06:36] 它能够满足不同规模和类型的模型训练需求
[00:06:36 - 00:06:39] 无论是小型的科研项目还是大型的商业运用
[00:06:39 - 00:06:42] 都能提供稳定可靠的计算支持
[00:06:42 - 00:06:44] 不过根据Epoch的数据显示
[00:06:44 - 00:06:46] 市场格局也正在发生变化
[00:06:46 - 00:06:48] 据估计到2023年底
[00:06:48 - 00:06:51] 英伟达H100的销量已经超过了A100
[00:06:51 - 00:06:54] H100在性能上相较于A100有了进一步的提升
[00:06:54 - 00:06:56] 采用了更为先进的架构和技术
[00:06:56 - 00:06:59] 在处理大规模复杂的模型训练任务时
[00:06:59 - 00:07:00] 表现得更为出色
[00:07:00 - 00:07:02] 随着A100的普及
[00:07:02 - 00:07:03] 在不久的将来
[00:07:03 - 00:07:06] 它很有可能成为训练模型的最主流GPU
[00:07:06 - 00:07:08] 引领机器学习硬件的新潮流
[00:07:08 - 00:07:09] 自从2019年以来
[00:07:09 - 00:07:12] 英伟达芯片的总可用计算能力
[00:07:12 - 00:07:14] 正在以每年大约2.3倍的速度增长
[00:07:14 - 00:07:17] 这位训练越来越大的模型提供了坚实的基础
[00:07:17 - 00:07:19] 英伟达的Hopper一代AI芯片
[00:07:19 - 00:07:24] 目前在其所有AI硬件总计算能力中的占比为77%
[00:07:24 - 00:07:25] 已经成为了主导的力量
[00:07:25 - 00:07:31] 目前估计英伟达GPU可提供4×1的21次方Flops的计算能力
[00:07:31 - 00:07:33] 大约相当于400万个H100
[00:07:33 - 00:07:36] 随着新的芯片不断的推出和技术的进步
[00:07:36 - 00:07:39] 就一代芯片在总计算能力中的占比将会逐渐的下降
[00:07:39 - 00:07:42] 通常在推出大约4年之后
[00:07:42 - 00:07:45] 对累计计算能力的贡献会降到不断一半
[00:07:45 - 00:07:47] 这种计算能力的快速增长
[00:07:47 - 00:07:49] 和芯片代计的更新换代
[00:07:49 - 00:07:51] 正推动了AI技术的持续发展
[00:07:51 - 00:07:54] 新的芯片在性能、功能和效率上的提升
[00:07:54 - 00:07:57] 使得科研人员和企业能够尝试训练更加复杂
[00:07:57 - 00:07:59] 规模更大的模型
[00:07:59 - 00:08:01] 探索AI技术的更多可能性
[00:08:01 - 00:08:04] 同时也促使了AI应用场景的不断拓展
[00:08:04 - 00:08:07] 从语音识别、图像识别到自然语言处理
[00:08:07 - 00:08:08] 自动价势等等领域
[00:08:08 - 00:08:11] 都因为强大的计算能力而取得显著的进步
[00:08:12 - 00:08:13] 在集群规模方面
[00:08:13 - 00:08:15] 从2016年到2024年
[00:08:15 - 00:08:18] AI训练集群的规模开始呈现出了爆发式的增长
[00:08:18 - 00:08:19] 2016年
[00:08:19 - 00:08:21] 谷歌的NAS V3 RL网络训练
[00:08:21 - 00:08:23] 仅仅使用到了800个GPU
[00:08:23 - 00:08:25] 而到了2024年
[00:08:25 - 00:08:27] Metal的Lama 3.1 405B模型训练
[00:08:27 - 00:08:30] 则使用了16384个H100GPU
[00:08:30 - 00:08:33] 处理器使用数量增长超过了20倍
[00:08:33 - 00:08:36] 虽然谷歌训练精美奶Auto使用的TPU数量更多
[00:08:36 - 00:08:38] 但是具体的细节没有公开披露
[00:08:39 - 00:08:40] 这种集群规模的扩张
[00:08:40 - 00:08:42] 反映了AI模型训练
[00:08:42 - 00:08:43] 对于计算资源的需求
[00:08:43 - 00:08:45] 成指数级的增长
[00:08:45 - 00:08:46] 随着模型规模的不断扩大
[00:08:46 - 00:08:47] 比如说GPT4
[00:08:47 - 00:08:49] Pump等等大型模型的出现
[00:08:49 - 00:08:51] 需要处理的数据量
[00:08:51 - 00:08:53] 和计算负达度也在大幅的增加
[00:08:53 - 00:08:55] 单个硬件已经无法满足训练的需求
[00:08:55 - 00:08:57] 因此需要通过集群的方式
[00:08:57 - 00:08:59] 将多个硬件组合起来
[00:08:59 - 00:09:01] 提供强大的算力支持
[00:09:01 - 00:09:03] 同时大规模集群的出现
[00:09:03 - 00:09:05] 也对硬件的协同工作能力
[00:09:05 - 00:09:07] 和系统的管理调度提出了更高的要求
[00:09:08 - 00:09:10] 为了充分发挥集群的性能优势
[00:09:10 - 00:09:12] 就需要优化硬件之间的通信架构
[00:09:12 - 00:09:14] 减少数据传输的延迟
[00:09:14 - 00:09:16] 同时开发高效的集群管理软件
[00:09:17 - 00:09:19] 实现对大量硬件资源的合理分配和调度
[00:09:19 - 00:09:22] 确保模型训练能够高效稳定的运行
[00:09:22 - 00:09:24] 第五点在算力储备方面
[00:09:24 - 00:09:26] 全球一些领先的科技公司
[00:09:26 - 00:09:28] 比如说谷歌微软Mata和Yamah訊
[00:09:29 - 00:09:31] 拥有着令人惊叹的AI计算能力
[00:09:31 - 00:09:32] 算力相当于数十万个
[00:09:32 - 00:09:34] 英伟达H100的计算能力总和
[00:09:35 - 00:09:37] 这些算力不仅用于公司内部的AA研发
[00:09:37 - 00:09:40] 还通过云计算服务提供给众多的客户
[00:09:40 - 00:09:43] 包括OpenI和Anthropic等等知名的AI实验室
[00:09:44 - 00:09:46] 谷歌评建着TPO的大规模部署
[00:09:46 - 00:09:49] 可能拥有相当于超过100万个H100的算力
[00:09:49 - 00:09:51] 微软则可能拥有大约50万个H100
[00:09:51 - 00:09:53] 等效的英伟达加速器
[00:09:53 - 00:09:56] 是拥有英伟达加速器数量最多的公司之一
[00:09:56 - 00:09:58] 除了这四家科技公司以外
[00:09:58 - 00:10:01] 还有许多其他的公司也拥有大量的AI算力
[00:10:01 - 00:10:05] 比如说甲骨文、Orco和口味物等等云计算公司
[00:10:05 - 00:10:07] 特斯拉和XAI等等计算大户
[00:10:07 - 00:10:08] 以及各国政府
[00:10:08 - 00:10:11] 他们在AI计算领域同样扮演着重要的角色
[00:10:11 - 00:10:13] 随着AI技术的不断发展
[00:10:13 - 00:10:16] 算力已经成为了科技公司竞争的核心资源之一
[00:10:16 - 00:10:18] 拥有强大的算力
[00:10:18 - 00:10:20] 意味着能够在AI研发、产品应用等方面
[00:10:20 - 00:10:22] 占据领先的地位
[00:10:22 - 00:10:24] 推动技术创新和业务发展
[00:10:24 - 00:10:26] 好了 以上就是这份报告的主要内容了
[00:10:26 - 00:10:28] 展示了积极学习硬件
[00:10:28 - 00:10:31] 在性能、性价比、精度、能源效率、应用
[00:10:31 - 00:10:34] 以及算力储备等方面的发展现状和趋势
[00:10:34 - 00:10:36] 同时E-POC也公布了这份报告
[00:10:36 - 00:10:38] 背后的数据集和数据分析源代码
[00:10:38 - 00:10:41] 大家可以在视频简介中的链接地址中查看
[00:10:41 - 00:10:43] 感谢大家收看本期视频
[00:10:43 - 00:10:44] 我们下期再见
