BV号：BV1gGoDBqEeV
标题：BV1gGoDBqEeV
链接：https://www.bilibili.com/video/BV1gGoDBqEeV
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 08:08:05

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近这几天只要你打开手机
[00:01:51 - 00:01:54] 测试了这一个特定的优化组件
[00:01:54 - 00:01:56] 证明了这个算法在华为硬件上
[00:01:56 - 00:01:57] 也能跑通
[00:01:57 - 00:01:59] 并且在通用推理工作负载上
[00:01:59 - 00:02:02] 获得了1.50-1.73倍的加速
[00:02:02 - 00:02:04] 这叫完全转向华为芯片吗
[00:02:04 - 00:02:06] 这叫用华为芯片训练吗
[00:02:06 - 00:02:09] 论文里压根连训练用了什么硬件题都没提
[00:02:09 - 00:02:11] 更致命的是紧接着这句话
[00:02:11 - 00:02:12] 论文写道
[00:02:12 - 00:02:13] 我们开源了基于
[00:02:13 - 00:02:17] 库达的DeepEP通信库和DeepGEMM算子库
[00:02:17 - 00:02:18] 听懂了吗
[00:02:18 - 00:02:20] 验证是在华为上验证了
[00:02:20 - 00:02:21] 但开源放出来的代码
[00:02:21 - 00:02:23] 依然是基于英伟达库达的
[00:02:23 - 00:02:27] DPP是专门优化MOE专家病情的通信库
[00:02:27 - 00:02:30] DeepGam是针对FP8的举证惩罚库
[00:02:30 - 00:02:32] 两个都是Chood Native的
[00:02:32 - 00:02:34] 如果你现在买了一台华为的服务器
[00:02:34 - 00:02:36] 想直接把V4跑起来
[00:02:36 - 00:02:38] 对不起官方并没有提供
[00:02:38 - 00:02:40] 开箱几用的Assand版本代码
[00:02:40 - 00:02:42] 你还得自己去搞底层适配
[00:02:42 - 00:02:45] 所以那些说V4彻底摆脱英伟达的营销号
[00:02:45 - 00:02:47] 非蠢即坏
[00:02:47 - 00:02:48] 第二条要言
[00:02:48 - 00:02:51] 韩伍纪Dalyn原声适配DeepSigV4
[00:02:51 - 00:02:53] 这个说法更有意思
[00:02:53 - 00:02:55] 很多媒体把它解读为DeepSeq
[00:02:55 - 00:02:57] 专门为韩武记做了底层优化
[00:02:57 - 00:03:00] 但如果你仔细看韩武记自己的官方公告
[00:03:00 - 00:03:01] 里面写的清清楚楚
[00:03:01 - 00:03:04] 基于VLLM推理框架完成适配
[00:03:04 - 00:03:07] 作为工程师我们太清楚这句话的意思了
[00:03:07 - 00:03:11] VLLM是一个非常著名的开源大模型推理框架
[00:03:11 - 00:03:14] 韩武记的工程师们非常努力
[00:03:14 - 00:03:18] 他们在VLLM框架里加入了对自己家芯片的支持
[00:03:18 - 00:03:19] 当DeepSeq V4发布后
[00:03:19 - 00:03:23] 因为V4的模型结构被VLLM支持了
[00:03:23 - 00:03:25] 所以韩武技自然就能跑起来
[00:03:25 - 00:03:25] 打个比方
[00:03:25 - 00:03:27] Deepseak造了一辆新车
[00:03:27 - 00:03:29] VLLM是一条高速公路
[00:03:29 - 00:03:31] 韩武技是修路工
[00:03:31 - 00:03:33] 把这条高速公路修到了自己家门口
[00:03:33 - 00:03:36] 现在新车能在韩武技家门口跑了
[00:03:36 - 00:03:37] 这当然是好事
[00:03:37 - 00:03:39] 说明国产芯片的软件生态在进步
[00:03:39 - 00:03:43] 但这能叫Deepseak专门为韩武技重协底层代码吗
[00:03:43 - 00:03:45] 这完全是两码事
[00:03:45 - 00:03:47] 整篇论文里连韩武技
[00:03:47 - 00:03:49] 这三个字的影子都找不到
[00:03:49 - 00:03:50] p1完毕
[00:03:50 - 00:03:51] 可能有人会问
[00:03:51 - 00:03:52] 既然没有脱离英伟达
[00:03:52 - 00:03:54] 那V4是不是就没什么了不起的
[00:03:54 - 00:03:55] 错
[00:03:55 - 00:03:57] 大错特错
[00:03:57 - 00:04:00] 抛开这些被营销号带偏的芯片学头
[00:04:00 - 00:04:02] 从我们一线工程师的视角来看
[00:04:02 - 00:04:04] V4在工程落地上的突破
[00:04:04 - 00:04:06] 简直是教科书级别的
[00:04:06 - 00:04:07] V4真正的杀手锏
[00:04:07 - 00:04:09] 不是它跑在什么芯片上
[00:04:09 - 00:04:10] 而是它把推理成本
[00:04:10 - 00:04:12] 打到了一个令人发指的地步
[00:04:12 - 00:04:14] 根据论文第五页的数据
[00:04:14 - 00:04:17] 在100万token的超长上下文场景下
[00:04:17 - 00:04:20] V4 Flash版本的Dantoken推理计算量
[00:04:20 - 00:04:22] 只有上一代V3.2的10%
[00:04:22 - 00:04:26] KV缓存大小只有V3.2的7%
[00:04:26 - 00:04:28] 即使参数量更大的V4 Pro版本
[00:04:28 - 00:04:31] 推理计算量也只有V3.2的27%
[00:04:31 - 00:04:33] KV缓存只有10%
[00:04:33 - 00:04:34] 这意味着什么
[00:04:34 - 00:04:39] 这意味着推理成本直接下降了73%到90%
[00:04:39 - 00:04:41] 以前你要出了一本100万字的书
[00:04:41 - 00:04:44] 或者分析一个庞大的企业级代码库
[00:04:44 - 00:04:47] 光是酸力成本就能让很多创业公司破产
[00:04:47 - 00:04:50] 现在V4把这个成本砍掉了大半
[00:04:50 - 00:04:51] 它是怎么做到的
[00:04:51 - 00:04:52] 靠的不是换芯片
[00:04:52 - 00:04:55] 而是极其硬核的算法创新
[00:04:55 - 00:04:59] 论文第四也详细介绍了V4引入的混合注意力机制
[00:04:59 - 00:05:01] 它结合了压缩吸收注意力
[00:05:01 - 00:05:04] CSA和重度压缩注意力
[00:05:04 - 00:05:05] HCA
[00:05:05 - 00:05:08] CSA负责在序列维度上压缩KV缓存
[00:05:08 - 00:05:10] 然后执行吸收注意力
[00:05:10 - 00:05:13] 而HCA则对KV缓存进行更激进的压缩
[00:05:13 - 00:05:15] 但保持密集的注意力计算
[00:05:15 - 00:05:17] 用我们工程师的话来说
[00:05:17 - 00:05:20] 就是模型学会了在不同层级上抓大放小
[00:05:20 - 00:05:22] 这种算法层面的降维打击
[00:05:22 - 00:05:26] 比单纯依赖硬件算力的提升要高级的多
[00:05:26 - 00:05:28] 作为一名开发者我为什么对V4这么兴奋
[00:05:28 - 00:05:31] 因为V4解决了一个困扰我们很久的工程痛点
[00:05:31 - 00:05:33] 长文本的商业化落地
[00:05:33 - 00:05:36] 在V3时代虽然模型也支持长文本
[00:05:36 - 00:05:38] 但那个显存占用和计算延迟
[00:05:38 - 00:05:40] 在生产环境中根本没法用
[00:05:40 - 00:05:43] 但V4不仅把计算量降下来了
[00:05:43 - 00:05:46] 还深度集成了一个叫TileLan的开源项目
[00:05:46 - 00:05:48] 这里要澄清一个细节
[00:05:48 - 00:05:50] TileLan本身是由北京大学计算机
[00:05:50 - 00:05:53] 学院团队主导开发的开源项目
[00:05:53 - 00:05:54] 而不是DeepSig原创的
[00:05:54 - 00:05:57] 但DeepSig与TileLan的关系非常紧密
[00:05:57 - 00:05:59] 可以说是TileLan在工业界
[00:05:59 - 00:06:02] 最重量级的首席体验官
[00:06:02 - 00:06:05] 论文第16也提到DeepSig在研究V40
[00:06:05 - 00:06:08] 使用TileLan进行GPU算子的快速迭代
[00:06:08 - 00:06:10] 更重要的是DeepSig还开源了
[00:06:10 - 00:06:12] TileCarnals仓库
[00:06:12 - 00:06:15] 这是一个专门基于Taiwan编写的高性能算子库
[00:06:15 - 00:06:19] 包括Flash MLA,Decont,GEMM等关键算子
[00:06:19 - 00:06:22] Taiwan本质上是一种基于Python与法的
[00:06:22 - 00:06:24] 算子开发领域特定语言DSL
[00:06:24 - 00:06:26] 底层基于TBM编译架构
[00:06:26 - 00:06:28] 它的妙处在于
[00:06:28 - 00:06:31] 开发者可以用Pythonic的方式写算子
[00:06:31 - 00:06:33] 而不需要直接写库戴C价佳
[00:06:33 - 00:06:35] 这大幅提升了开发效率
[00:06:35 - 00:06:37] 但这里有个关键的细节需要澄清
[00:06:37 - 00:06:39] Taiwan作为一个编译器前端
[00:06:39 - 00:06:41] 理论上支持NVIDIA
[00:06:41 - 00:06:43] AMD以及国产GPU芯片的适配
[00:06:43 - 00:06:47] 但注意Deepseak目前开源的这套Telkernos酸子枯
[00:06:47 - 00:06:52] 依然集极依赖Cuda 13.1和H800级别的最新指令级
[00:06:52 - 00:06:56] 比如WGMama等于SM90和100特有的指令
[00:06:56 - 00:07:01] 这种DSL的设计理念是为未来的硬件拖钥铺平了道路
[00:07:01 - 00:07:03] 但饭还得一口一口吃
[00:07:03 - 00:07:07] 只要你把Telkernos的编译器后端适配到其他芯片上
[00:07:07 - 00:07:09] 上层的模型代码就不需要大改
[00:07:09 - 00:07:12] 这才是真正高级的软件工程思维
[00:07:12 - 00:07:13] 不应刚底层硬件
[00:07:13 - 00:07:15] 而是通过抽象层来解呦
[00:07:15 - 00:07:16] 所以总结一下
[00:07:16 - 00:07:19] DeepSig V4有没有脱离英伟达
[00:07:19 - 00:07:20] 没有
[00:07:20 - 00:07:23] 它的开源生态依然深深绑定在枯大上
[00:07:23 - 00:07:25] 那些炒作完全转向华为
[00:07:25 - 00:07:27] 原生适配韩务机的营销号
[00:07:27 - 00:07:30] 只是在利用大家的爱国情怀受割流量
[00:07:30 - 00:07:31] 但我们也不必气馁
[00:07:31 - 00:07:34] V4在华为Assand上的成功验证
[00:07:34 - 00:07:36] 证明了国产芯片在算力上
[00:07:36 - 00:07:38] 是完全有能力支撑顶级大模型的
[00:07:38 - 00:07:41] 我们现在缺的不是那一块块鬼片
[00:07:41 - 00:07:43] 而是像枯带那样完善的软件生态
[00:07:43 - 00:07:47] 是无数个像Megamoe2这样极致优化的底层算子
[00:07:47 - 00:07:51] 真正的技术突破从来不是靠营销号吹出来的
[00:07:51 - 00:07:54] 而是靠工程师们一行行代码敲出来的
[00:07:54 - 00:07:56] DeepSickV 私用极其优雅的算法创新
[00:07:56 - 00:07:59] 把百万token的推理成本打了下来
[00:07:59 - 00:08:03] 让长文本应用真正具备了商业落地的可能
[00:08:03 - 00:08:05] 这才是Vase最大的功劳
[00:08:05 - 00:08:06] 最后送给大家一句话
[00:08:06 - 00:08:09] 算法的優雅永遠勝過算力的堆棄
[00:08:09 - 00:08:12] 生態的繁榮才是真正的遙遙領先
[00:08:12 - 00:08:14] 好了 以上就是本期視頻的全部內容
[00:08:14 - 00:08:16] 如果你覺得這種硬合爬論文
[00:08:16 - 00:08:19] 不吹不黑的工程師視角對你有幫助
[00:08:19 - 00:08:21] 請務必給我一個一鍵三連
[00:08:21 - 00:08:24] 你對DeepSig V4的超低推理成本有什麼看法
[00:08:24 - 00:08:28] 你覺得國產芯片的軟件生態還需要多久才能趕上
[00:08:28 - 00:08:30] 歡迎在評論區和我一起討論
[00:08:30 - 00:08:32] 我是為什麼叫QQ 我們下期再見
