BV号：BV14C826sEZH
标题：BV14C826sEZH
链接：https://www.bilibili.com/video/BV14C826sEZH
识别语言：zh
语言置信度：1
分段数：294
生成时间：2026-08-29 12:01:16

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 为什么一个测试拔场最后变成了功网渗透
[00:05:06 - 00:05:09] 它被15台真实的系统下载并运行了
[00:05:09 - 00:05:12] 更觉得是其中有一台还是某家安全公司的扫描系统
[00:05:12 - 00:05:13] 扫描器一安装
[00:05:13 - 00:05:16] 这个包隐藏逻辑立刻就被出发执行
[00:05:16 - 00:05:17] Anthoropic坦言
[00:05:17 - 00:05:20] 后续确实发生了凭据外泄
[00:05:20 - 00:05:22] 和进一步访问基础设施的动作
[00:05:22 - 00:05:23] 在这个案例里
[00:05:23 - 00:05:25] 最值得我们警惕的其实根本不是
[00:05:25 - 00:05:28] 大模型居然学会了注册账号这件事
[00:05:28 - 00:05:29] 而是你把它拆开来看
[00:05:29 - 00:05:32] 它的每一个单部操作都极其普通
[00:05:32 - 00:05:34] 找个邮箱创个账户
[00:05:34 - 00:05:35] 传个代码包
[00:05:35 - 00:05:37] 但这几个普通的动作一旦串联起来
[00:05:37 - 00:05:39] 就硬生生批出了一条绝对
[00:05:39 - 00:05:41] 不该存在的外部写入路径
[00:05:41 - 00:05:42] 这就提醒我们
[00:05:42 - 00:05:45] 安全防御系统不能永远只盯着单个动作
[00:05:45 - 00:05:46] 问着危不危险
[00:05:46 - 00:05:48] 而是必须具备全局视野
[00:05:48 - 00:05:50] 去问这一连串的动作
[00:05:50 - 00:05:52] 到底争把整个系统推向什么状态
[00:05:52 - 00:05:54] 再来看第三起事故
[00:05:54 - 00:05:57] 这次原定的虚构目标确实访问不了了
[00:05:57 - 00:05:58] 但模型并没有就此罢手
[00:05:58 - 00:06:00] 它开始顺着功网
[00:06:00 - 00:06:02] 自己去寻找替代的攻击路径
[00:06:02 - 00:06:03] Athropic的数据是
[00:06:03 - 00:06:05] 它大约扫描了9000个目标
[00:06:05 - 00:06:08] 最终模型摸到了一家公司的
[00:06:08 - 00:06:09] 功网应用上
[00:06:09 - 00:06:11] 顺手就用上了暴露调试页面
[00:06:11 - 00:06:14] C果注入这些非常基础的探测手法
[00:06:14 - 00:06:16] 不过这次剧情有个反转
[00:06:16 - 00:06:17] 模型在折腾了一圈之后
[00:06:17 - 00:06:21] 自己意识到这个目标位于一个真实的云杖号里
[00:06:21 - 00:06:23] 跟他的CTF任务压根没关系
[00:06:23 - 00:06:26] 于是他自己主动停下了后续的攻击动作
[00:06:26 - 00:06:29] 大模型的情境识别能力当然是有用的
[00:06:29 - 00:06:32] 能发现这不是拔场总比一路黑到底要强
[00:06:32 - 00:06:34] 但这绝对不能成为我们唯一的安全保险
[00:06:34 - 00:06:38] 你想想 9000个目标都已经扫完了
[00:06:38 - 00:06:40] 人家的真实服务都已经被你访问过了
[00:06:40 - 00:06:43] 这时候你才如梦初醒说走错门了
[00:06:43 - 00:06:45] 这事错成本也太高了吧
[00:06:45 - 00:06:47] 所以作为系统加购师
[00:06:47 - 00:06:48] 绝对不能把安全底线
[00:06:48 - 00:06:51] 寄托在Agent的领场觉悟上
[00:06:51 - 00:06:52] 事情出来以后
[00:06:52 - 00:06:55] 网上最薄眼球的说法肯定是AI觉醒了
[00:06:55 - 00:06:56] 主动逃跑了
[00:06:56 - 00:06:58] 但这完全属于强行加细
[00:06:58 - 00:07:01] 官方通报根本不支持这种科幻结论
[00:07:01 - 00:07:02] Anthropic的结论很明确
[00:07:02 - 00:07:04] 在这些运行记录里
[00:07:04 - 00:07:07] 没有任何证据表明Cloud的萌生了
[00:07:07 - 00:07:09] 什么自我意识去追求自己的目标
[00:07:09 - 00:07:11] 也没有证据显示他试图复制
[00:07:11 - 00:07:13] 自己或者故意逃离评测环境
[00:07:13 - 00:07:15] 他从头到尾在干的
[00:07:15 - 00:07:17] 依然是死科那条CTF多期指令
[00:07:17 - 00:07:21] 真正出大问题的是整个系统的边界判断逻辑
[00:07:21 - 00:07:22] 任务让他去找Flagprompt
[00:07:22 - 00:07:24] 捧他说你这儿没网
[00:07:24 - 00:07:27] 但底层网络配置却十打十的给了他公网出口
[00:07:27 - 00:07:28] 模型是个时辰人
[00:07:28 - 00:07:30] 以测试发现能上网
[00:07:30 - 00:07:33] 就理所当然的把真实的公网系统
[00:07:33 - 00:07:35] 当成了你给他准备的模拟拔场
[00:07:35 - 00:07:38] 当然这并不是说模型本身就毫无责任
[00:07:38 - 00:07:41] 官方也承认 特别是在网拍Pi发包这件事上
[00:07:41 - 00:07:44] 模型做出的决策确实非常不理想
[00:07:44 - 00:07:46] 后续的对齐训练必须得跟上
[00:07:46 - 00:07:49] 但如果我们仅仅把锅甩给大模型不够聪明
[00:07:49 - 00:07:52] 那接下来的修复方向绝对会走偏
[00:07:52 - 00:07:53] 大家要明白一个常识
[00:07:53 - 00:07:56] Prompt只能影响模型的逻辑判断
[00:07:56 - 00:08:00] 它根本没有能力在系统层面撤销一个进程的网络权限
[00:08:00 - 00:08:02] 这就好比你在一个开源项目的
[00:08:02 - 00:08:04] Redmi里面用加速大字写着
[00:08:04 - 00:08:07] 请大家千万不要删生产数据库
[00:08:07 - 00:08:08] 这话有用吗
[00:08:08 - 00:08:09] 可能防得住君子
[00:08:09 - 00:08:11] 但他本质上是一句废话
[00:08:11 - 00:08:12] 根本算不上是全线控制
[00:08:12 - 00:08:15] 所以如果让我把这次的事故
[00:08:15 - 00:08:18] 浓缩成一句工程指导原则
[00:08:18 - 00:08:18] 我会这么写
[00:08:18 - 00:08:21] 永远不要指望Agent靠记忆和自觉
[00:08:21 - 00:08:22] 来维持边界
[00:08:22 - 00:08:25] 必须让底层系统去强制执行边界
[00:08:25 - 00:08:27] 我建议在系统设计上
[00:08:27 - 00:08:28] 把这件事直接拆成三个
[00:08:28 - 00:08:29] 硬核的工程开关
[00:08:29 - 00:08:31] 第一个开关叫范围身份
[00:08:31 - 00:08:33] 千万别只给Agent的
[00:08:33 - 00:08:35] 扔一个目标名字就完事了
[00:08:35 - 00:08:36] 你得把允许访问的资源
[00:08:36 - 00:08:39] 做成一张强教验可审计的白名单
[00:08:39 - 00:08:44] 把环境租户、资源ID还有允许的操作动作
[00:08:44 - 00:08:47] 全部死死绑定在一起生产环境默认绝对隔离
[00:08:47 - 00:08:51] 只要名字撞了或者教验不通过直接容断抱错
[00:08:51 - 00:08:53] 第二个开关是能力隔离
[00:08:53 - 00:08:57] 对于高风险的评测或者任务默认物理掐断公网出口
[00:08:57 - 00:08:59] 如果它真的需要下载工具包
[00:08:59 - 00:09:01] 那就走受限的代理
[00:09:01 - 00:09:03] 或者干脆只提供内网镜像源
[00:09:03 - 00:09:05] 任何涉及到往外网发布内容
[00:09:05 - 00:09:08] 创建外部账号或者对外的写操作
[00:09:08 - 00:09:11] 必须全部拉出来单独做人工审批
[00:09:11 - 00:09:13] 第三个开关我称之为执行预算
[00:09:13 - 00:09:15] 你必须给它上紧辜咒
[00:09:15 - 00:09:17] 限制它能扫描的目标数量
[00:09:17 - 00:09:20] 域名数量 网络流量 甚至总的
[00:09:20 - 00:09:22] 运行时间和调用外部操作的次数
[00:09:22 - 00:09:24] 如果一个任务连续失败
[00:09:24 - 00:09:27] 它绝不应该有权限去无限扩大搜索范围
[00:09:27 - 00:09:30] 一旦系统探测到它尝试访问新域名
[00:09:30 - 00:09:33] 注册外部账号或者执行公开发布动作
[00:09:33 - 00:09:35] 底层架构应该立刻挂起当前进程
[00:09:35 - 00:09:37] 把控制权交还给人类来确认
[00:09:37 - 00:09:41] 这三个开关董航的朋友听起来肯定觉得毫无心意
[00:09:41 - 00:09:43] 但是对于一个能够不知疲倦
[00:09:43 - 00:09:46] 连续运行好几个小时的自动化agent来说
[00:09:46 - 00:09:49] 这种底层的硬线质比你在提示词里写一万句
[00:09:49 - 00:09:52] 注意网络安全都要管用得多
[00:09:52 - 00:09:56] 其实现在大伙的coding agent也是完全一样的道理
[00:09:56 - 00:09:57] 它会去读你的代码仓库
[00:09:57 - 00:09:59] 会在你的中端里跑命令
[00:09:59 - 00:10:01] 会去翻找环境辨量里的评据
[00:10:01 - 00:10:03] 还会去调用各种云服务
[00:10:03 - 00:10:06] 如果在他的默认上下文理一不小心
[00:10:06 - 00:10:08] 混入了生产环境的密钥
[00:10:08 - 00:10:10] 或者你的网络出口根本没做分析隔离
[00:10:10 - 00:10:13] 那么你随口一句帮我部署个测试环境
[00:10:13 - 00:10:15] 在他的神级操作下
[00:10:15 - 00:10:18] 最后很可能演变成一场山库跑路的灾难
[00:10:18 - 00:10:19] 总结一下
[00:10:19 - 00:10:21] Anthropic这次非常坦诚的披露
[00:10:21 - 00:10:23] 他的核心价值压根不在于
[00:10:23 - 00:10:26] 向世人证明 AI已经失控了
[00:10:26 - 00:10:28] 它其实是扒开了一个非常朴素
[00:10:28 - 00:10:30] 但又极其致命的工程隐患
[00:10:30 - 00:10:32] Agent的强大能力
[00:10:32 - 00:10:34] 已经开始把我们过去那些
[00:10:34 - 00:10:37] 看似不起眼的传统配置错误无限放大了
[00:10:37 - 00:10:38] 在过去一个网关配错
[00:10:38 - 00:10:41] 顶多也就是一台虚拟机不小心出了网
[00:10:41 - 00:10:42] 风险还算可控
[00:10:42 - 00:10:43] 但到了现在
[00:10:43 - 00:10:45] 它意味着这台出网的机器上
[00:10:45 - 00:10:48] 坐着一个会不知疲倦主动找漏洞
[00:10:48 - 00:10:49] 会不断疯狂示错
[00:10:49 - 00:10:53] 甚至还会自己拼装黑客工具的自动化执行者
[00:10:53 - 00:10:55] 所以未来的Agent平台
[00:10:55 - 00:10:57] 如果想让大家敢放心用
[00:10:57 - 00:11:00] 安全边界就必须先十大时的落在网络架构
[00:11:00 - 00:11:03] 身份认证工具管控和执行预算上
[00:11:03 - 00:11:04] 做到公网一关
[00:11:04 - 00:11:06] Agent在物理上就绝对连不出去
[00:11:06 - 00:11:08] 目标不在白名单里
[00:11:08 - 00:11:11] Agent在DNS层面就绝对解析不到
[00:11:11 - 00:11:13] 预算一耗尽任务进程就被立刻杀掉
[00:11:13 - 00:11:16] 只有这种基于底层架构的限制
[00:11:16 - 00:11:18] 才是真正可靠的安全感
[00:11:18 - 00:11:19] 记住一句话
[00:11:19 - 00:11:21] 永远不要把系统边界写在Promptly
[00:11:21 - 00:11:24] 你要把它变成底层不可于悦的系统事实
[00:11:24 - 00:11:26] 视频最后也想问问大家
[00:11:26 - 00:11:28] 你觉得在开发Agent系统的时候
[00:11:28 - 00:11:32] 所以应该默认所死的是公网出口生产环境的评据
[00:11:32 - 00:11:34] 还是外部的写入权限呢?
[00:11:34 - 00:11:37] 欢迎把你的工程见解留在评论区,大家一起探讨
[00:11:37 - 00:11:41] 如果这条视频帮你理清了A阵的安全落地的核心逻辑
[00:11:41 - 00:11:45] 别忘了点个赞,投个B收个藏,给个一键三连支持一下
[00:11:45 - 00:11:48] 我是为什么叫QQ,咱们下期视频再见
