BV号：BV1PBh56aEX8
标题：BV1PBh56aEX8
链接：https://www.bilibili.com/video/BV1PBh56aEX8
识别语言：zh
语言置信度：1
分段数：438
生成时间：2026-08-29 12:12:03

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 现在用图像模型交互入口基本就剩提示词了
[00:05:31 - 00:05:33] 选出这三张里最好的目减
[00:05:33 - 00:05:36] 候选图只要赢过参考图就能按比例拿到奖励
[00:05:36 - 00:05:39] 对于视觉模型而言相对比较
[00:05:39 - 00:05:40] 绝对比大分靠谱
[00:05:40 - 00:05:43] 它不用再凭空捏造一把抽象的刻度尺
[00:05:43 - 00:05:46] 去死科7分和8分的边界
[00:05:46 - 00:05:48] 分数的动态范围也因此被彻底打开
[00:05:48 - 00:05:51] 这做法我们做code review时经常用
[00:05:51 - 00:05:54] 让人给实现质量打个7.3分毫无意义
[00:05:54 - 00:05:57] 但把两段代码并排对比可读性和边界
[00:05:57 - 00:05:59] 结论往往一目了然
[00:05:59 - 00:06:02] 主观的任务真没必要硬装成客观的绝对测量
[00:06:02 - 00:06:06] 靠谱的偏续关系就已经足够驱动整个优化过程了
[00:06:06 - 00:06:10] 既然做相对比较就必须要有个极其稳定的基准
[00:06:10 - 00:06:13] 团队翻了1664张历史生成图
[00:06:13 - 00:06:14] 人工强行分成
[00:06:14 - 00:06:16] 喜欢还行和淘汰三档
[00:06:16 - 00:06:17] 最初挑出来内
[00:06:17 - 00:06:19] 117张喜欢级的样本
[00:06:19 - 00:06:21] 就成了整个参考词的种子
[00:06:21 - 00:06:24] 之后模型跑出的每个结果
[00:06:24 - 00:06:26] 都要和这批人工精选的图PK
[00:06:26 - 00:06:28] 人类那点难以言喻的品味
[00:06:28 - 00:06:31] 并没有被压缩成一句干别的提示词
[00:06:31 - 00:06:33] 而是被硬编码进了这组图片里
[00:06:33 - 00:06:34] 对于工程师来说
[00:06:34 - 00:06:36] 这其实就是我们的金标测试级
[00:06:36 - 00:06:39] 如果你挑的图颜色分不太窄
[00:06:39 - 00:06:41] 模型马上就会把某种色调
[00:06:41 - 00:06:42] 当成刷分结尽
[00:06:42 - 00:06:45] 构图要是太单一模型就会死机应备
[00:06:45 - 00:06:49] 所以参考池是需要做版本控制统计数据分布
[00:06:49 - 00:06:51] 保留回归样厉的
[00:06:51 - 00:06:54] 数据飘移在审美数据里同样逃不掉
[00:06:54 - 00:06:56] 重构后的新两表精简到只剩4项
[00:06:56 - 00:06:58] 代码编译且使用P5
[00:06:58 - 00:07:00] Brush的门径占0.05
[00:07:00 - 00:07:03] 长度检查占0.05
[00:07:03 - 00:07:07] 核心大头给到了HPSV3占0.30
[00:07:07 - 00:07:10] 参考制成对比较占了绝对的0.60
[00:07:10 - 00:07:12] 这里的工程味道非常重
[00:07:12 - 00:07:16] 他们把能编译和调对API彻底降级成了门禁条件
[00:07:16 - 00:07:19] 也就是说代码不抱错只配教合法样本
[00:07:19 - 00:07:21] 不代表你有审美
[00:07:21 - 00:07:22] 真正的质量排序任务
[00:07:22 - 00:07:25] 全全交给了偏好模型和成对比较
[00:07:25 - 00:07:28] 把约束和目标剥离开来这一手极其关键
[00:07:28 - 00:07:32] 以前很多评测体系总把这两类信号揉在一起
[00:07:32 - 00:07:35] 导致格式正确的平庸代码反而能稳定拿高分
[00:07:35 - 00:07:36] 现在咱们先立门禁
[00:07:36 - 00:07:38] 再去追求目标上线
[00:07:38 - 00:07:41] 整个奖励系统的可解释性一下就通透了
[00:07:41 - 00:07:44] 在底膜和训练数据完全不变的前提下
[00:07:44 - 00:07:47] 新版量表一上线,差距立马拉开
[00:07:47 - 00:07:50] 从曲线看新方案爬到旧版
[00:07:50 - 00:07:52] 平景分数的速度快了三倍
[00:07:52 - 00:07:54] 并且它轻松越过了0.65
[00:07:54 - 00:07:57] 在200步左右,稳稳维持住了更高的奖励
[00:07:57 - 00:08:00] 不过作为工程师,咱们得克制点解读
[00:08:00 - 00:08:03] 这两条曲线虽然共享做标准
[00:08:03 - 00:08:06] 但只能证明新奖励方案把模型的收敛轨迹拉偏了
[00:08:06 - 00:08:08] 毕竟换了把新池子去粮
[00:08:08 - 00:08:12] 不能光凭这个断定通用审美能力变强了
[00:08:12 - 00:08:15] 更靠谱的验证还得引入盲测,流出参考级
[00:08:15 - 00:08:17] 并跨提示辞作评估
[00:08:17 - 00:08:19] 但不管怎么说,控制辩量法之下
[00:08:19 - 00:08:23] 仅仅改写了奖励寒书模型的进化轨迹就截然不同
[00:08:23 - 00:08:26] 这充分说明奖励寒书本身
[00:08:26 - 00:08:29] 已经是模型核心能力不可或缺的一部分了
[00:08:29 - 00:08:31] 另一个指标程序员绝对会心一笑
[00:08:31 - 00:08:35] 模型生成的代码从恐怖的13500个头肯
[00:08:35 - 00:08:37] 一路被压缩到了2000以内
[00:08:37 - 00:08:40] 老亮表把代码长度当成了质量代理
[00:08:40 - 00:08:43] 模型为了刷分自然学会了堆屎山
[00:08:43 - 00:08:45] 而新亮表只看最终渲染画面
[00:08:45 - 00:08:48] 笼长的实现就彻底失去收益
[00:08:48 - 00:08:51] 逼着模型去寻找更精简的绘图算法
[00:08:51 - 00:08:53] 这是教科书籍的奖励投机
[00:08:53 - 00:08:54] 只要长度能换分
[00:08:54 - 00:08:58] 它能给你扩写出无数个空巡环和重复比处
[00:08:58 - 00:09:00] 模型才不会替你维护系统复杂度
[00:09:00 - 00:09:03] 它只负责无脑执行眼前的技效合同
[00:09:03 - 00:09:06] 当然代码变短不代表可为互信一定变好
[00:09:06 - 00:09:09] 还得结合控制流和API真实调用来看
[00:09:09 - 00:09:11] 但7倍的缩减至少实锤了一点
[00:09:11 - 00:09:14] 我们之前确实在花大价钱购买无效token
[00:09:14 - 00:09:18] 最终订稿的参考池一共攒了581张图
[00:09:18 - 00:09:20] 117张属于喜欢
[00:09:20 - 00:09:21] 266张是还行
[00:09:21 - 00:09:25] 剩下198张用来填补颜色分布西博的常委区域
[00:09:25 - 00:09:27] 这组数字藏了个细节
[00:09:27 - 00:09:30] 参考池不能只盯着天花板级的最高质量
[00:09:30 - 00:09:33] 它还要撑起一个足够宽广的比较空间
[00:09:33 - 00:09:35] 如果池子里全是高分粉色花
[00:09:35 - 00:09:38] 丢一张完美的黄色后选进去
[00:09:38 - 00:09:40] 大概率会因为分布对不上被错杀
[00:09:40 - 00:09:43] 补充样本就是为了提供更细腻的相对提度
[00:09:43 - 00:09:46] 咱们大模型评测的金标籍也是这个理
[00:09:46 - 00:09:48] 既要兼顾难度又要保证分布覆盖率
[00:09:48 - 00:09:51] 全是神仙局模型排不出中等生
[00:09:51 - 00:09:54] 全是大锅饭又稀释了目标风格
[00:09:54 - 00:09:58] 做这个参考池本质场就是一套严谨的测试级设计
[00:09:58 - 00:10:01] 绝对不是去网上随便趴点图就完事
[00:10:01 - 00:10:03] 参考池里的图全是模型自己生成的
[00:10:03 - 00:10:05] 因为P5BRACH太小重
[00:10:05 - 00:10:08] 根本扒不到足够的人类守卉代码
[00:10:08 - 00:10:10] 所以他们应搭了两条线
[00:10:10 - 00:10:11] P量造数据
[00:10:11 - 00:10:12] 一条让OPUS
[00:10:12 - 00:10:16] GPT5.4还有GEMNI对着照片反复迭代修改
[00:10:16 - 00:10:18] 靠视觉评审计大分
[00:10:18 - 00:10:20] 另一条直接用GEMNIP量推断
[00:10:20 - 00:10:24] 这两条线跑出了一个标准的合成数据避还
[00:10:24 - 00:10:26] 好处是规模和格式可控
[00:10:26 - 00:10:27] 但风险极大
[00:10:27 - 00:10:29] 生成器的偏好很容易在环路里
[00:10:29 - 00:10:30] 变成系统性偏差
[00:10:30 - 00:10:31] 它爱画的构图
[00:10:31 - 00:10:33] 恰好又是模型裁判按选的
[00:10:33 - 00:10:37] 这就危险了,这时候人工干预定级就显得无比重要
[00:10:37 - 00:10:39] 迭带到后期肯定还得引入
[00:10:39 - 00:10:41] 外部艺术家的真实样本
[00:10:41 - 00:10:44] 顺便做跨模型的双盲评审来揪篇
[00:10:44 - 00:10:46] 奖励系统终于稳了之后
[00:10:46 - 00:10:48] 系统提示词又成了新的天坑
[00:10:48 - 00:10:51] 早期版本里他们把400多行的P5
[00:10:51 - 00:10:54] Brush API文档一股脑全塞了进去
[00:10:54 - 00:10:57] 结果模型吐出来的代码格式漂亮语气极其自信
[00:10:57 - 00:10:59] 一运行满屏爆错
[00:10:59 - 00:11:01] 它瞎编了一堆根本不存在的方法
[00:11:01 - 00:11:04] 做agent的人都反这种事
[00:11:04 - 00:11:07] 常文档不能自动转化为靠谱的上下文
[00:11:07 - 00:11:09] 对语言模型来说
[00:11:09 - 00:11:10] 密集堆叠的API名称成
[00:11:10 - 00:11:12] 被放大的叙写空间
[00:11:12 - 00:11:15] 长得像的方法签名还会互相污染
[00:11:15 - 00:11:17] 工程直觉总觉得文档给的越权
[00:11:17 - 00:11:18] 调用越准
[00:11:18 - 00:11:19] 这次就是个反例
[00:11:19 - 00:11:22] 上下文能塞下几万字
[00:11:22 - 00:11:24] 不代表模型就能精确减锁约束条件
[00:11:24 - 00:11:27] 特别是算力还要分给构图和色彩
[00:11:27 - 00:11:28] 接口给的太宽
[00:11:28 - 00:11:31] 就相当于逼着模型玩API猜测游戏
[00:11:31 - 00:11:36] 碰壁后团队引入了GEPA去做自动化的系统提示词优化
[00:11:36 - 00:11:37] 跑了200轮
[00:11:37 - 00:11:40] 用7个带审美毛点的样本做固定评审基准
[00:11:40 - 00:11:43] GEPA会八运行轨迹和错误反馈
[00:11:43 - 00:11:45] 不断便意出新的提示词候选
[00:11:45 - 00:11:48] 跑得通的留下分支出演化路径
[00:11:48 - 00:11:50] 最终吃鸡的版本极其精简
[00:11:50 - 00:11:53] 只允许使用8个核心笔刷方法
[00:11:53 - 00:11:56] 400行文档全删了连视力代码也拔了
[00:11:56 - 00:11:59] 提示词短了约束力却使势机增强
[00:11:59 - 00:12:01] 删掉戎长参考后
[00:12:01 - 00:12:04] 连续三次推断都画出了清晰的木槿轮廓
[00:12:04 - 00:12:06] 这招启发太大了
[00:12:06 - 00:12:08] 提示词优化就不该靠瞎蒙
[00:12:08 - 00:12:10] 它本质就是配置搜索
[00:12:10 - 00:12:12] 每次改动都必须绑定评分函数
[00:12:12 - 00:12:13] 所死测试集
[00:12:13 - 00:12:14] 记录演化普戏
[00:12:14 - 00:12:16] 评感觉改两个词
[00:12:16 - 00:12:18] 你根本不知道收益是哪来的
[00:12:18 - 00:12:20] 最终那八个方法的允许列表
[00:12:20 - 00:12:22] 从底层逻辑上看
[00:12:22 - 00:12:24] 就是物理隔绝了模型的瞎折腾空间
[00:12:24 - 00:12:26] 模型手里的刀少了
[00:12:26 - 00:12:28] 但每一刀都砍在点子上
[00:12:28 - 00:12:30] 产出有效程序的概率大增
[00:12:30 - 00:12:33] 这和安全工程里的最小权限原则如初一轴
[00:12:33 - 00:12:36] 系统只需要暴露任务绝对必须的调用面
[00:12:36 - 00:12:38] 少给一个无关API
[00:12:38 - 00:12:41] 就少背一口幻觉和杀香崩溃的锅
[00:12:41 - 00:12:43] 开发代码智能体的时候千万记住
[00:12:43 - 00:12:46] 别把整个底层的SDK全塞给大模型
[00:12:46 - 00:12:48] 先为特定任务定义极窄的接口
[00:12:48 - 00:12:50] 配合死板的参数约束
[00:12:50 - 00:12:53] 需要新能力再去扩充允许列表
[00:12:53 - 00:12:54] 文档当然有用
[00:12:54 - 00:12:56] 但更适合做成可减锁的工具
[00:12:56 - 00:13:03] 让模型按需查询,把几百页API当全局上下文挂着,成本高昂且极其低效。
[00:13:03 - 00:13:09] 文章用动图展示了训练演化,早期画面就是角落里糊成一团的破烂比处,
[00:13:09 - 00:13:12] 接着浮现出边缘声音的红色块。
[00:13:12 - 00:13:16] 直到中后期透明水彩的,叠加层次和花蕊线条才定型,
[00:13:16 - 00:13:21] 比起钉枯燥的奖励曲线直接看中间样本的演变,
[00:13:21 - 00:13:24] 能更快察觉模型有没有发生模式探索。
[00:13:24 - 00:13:26] 我跑实验也特别爱盯着回归验证图
[00:13:27 - 00:13:30] 创作类模型的面板上必须有典型的回归样本池
[00:13:30 - 00:13:33] 最靠谱的做法是锁死一组prompt
[00:13:33 - 00:13:34] 每隔几十步生成一次
[00:13:34 - 00:13:37] 搭配随机样本去捕捉画质退化
[00:13:37 - 00:13:39] 做图像还可以跑跑巨类
[00:13:39 - 00:13:41] 看看构图是不是变窄了
[00:13:41 - 00:13:41] 一句话
[00:13:41 - 00:13:44] 分数负责触发报警样本负责问题定位
[00:13:45 - 00:13:46] 只盯军职曲线
[00:13:46 - 00:13:49] 团队迟早会在画风固画上栽个大根头
[00:13:49 - 00:13:52] 作者很实在直接坦白说这套方案
[00:13:52 - 00:13:54] 跑起来比直接生成图像慢得多
[00:13:54 - 00:13:56] 也没硬吹画质全方面调打
[00:13:56 - 00:13:58] 我特别欣赏这种懂行的克制
[00:13:58 - 00:14:02] 这个项目的核心诉求是改变和AI的参与方式
[00:14:02 - 00:14:05] 现在的方案用户可以把注意力灵活分配给提示词
[00:14:05 - 00:14:08] 底模或者最终吐出来的JS代码
[00:14:08 - 00:14:11] 对于专业生产力工具能反复介入编辑
[00:14:11 - 00:14:13] 远比抽茫和一次出神图有价值
[00:14:13 - 00:14:17] 设计师可以锁住好看构图只去调色值代码
[00:14:17 - 00:14:20] 前端能把草图无缝塞进勾件流
[00:14:20 - 00:14:21] 当然这也带来了技术债
[00:14:21 - 00:14:25] 生成的代码必须可督可跑,还得防内存泄漏
[00:14:25 - 00:14:29] 杀香全线超时熔断全成了产品设计的一环
[00:14:29 - 00:14:31] 图像生成从单次调用
[00:14:31 - 00:14:34] 硬生生拉长成了微型软件供应链
[00:14:34 - 00:14:37] 程对评审解掉了分数不再增长的死局
[00:14:37 - 00:14:39] 但审美偏差没散
[00:14:39 - 00:14:42] 每次拿候选图和人工挑选的参考图硬碰硬
[00:14:42 - 00:14:45] Quinn为了拿高分,自然会疯狂贴脸模仿那一小撮参考
[00:14:45 - 00:14:50] 作者也承认了,规则涉态系模型最后就变成高级附影机
[00:14:50 - 00:14:53] 想文托典就必须像常规机器学习那样
[00:14:53 - 00:14:55] 严格搞一个独立的审美流出级
[00:14:55 - 00:14:58] 还得按色彩构图做分层抽样
[00:14:58 - 00:15:01] 那些充当裁判的评审器也得定期轮换
[00:15:01 - 00:15:02] 交叉教验一致行
[00:15:02 - 00:15:04] 如果系统未来是对外的
[00:15:04 - 00:15:07] 那审美平号绝对得做成千人前面
[00:15:07 - 00:15:09] 统一的模型顶多给你兜个摸人底线
[00:15:09 - 00:15:11] 只有接入用户的修改记录
[00:15:11 - 00:15:13] 才能形成局部个性化奖励
[00:15:13 - 00:15:16] 脱离了具体用户去空谈统一高级审美
[00:15:16 - 00:15:18] 那绝对是闭门造车
[00:15:18 - 00:15:21] 如果咱们把这套实验室录平移去搞代码
[00:15:21 - 00:15:23] EY或者内容的agent
[00:15:23 - 00:15:25] 我建议先过一遍这6个灵魂考问
[00:15:25 - 00:15:28] 各奖励信号的相关性是不是高的离谱
[00:15:28 - 00:15:30] 某个奖励是不是跑几步就包含了
[00:15:30 - 00:15:33] 代码能编译这种门径条件
[00:15:33 - 00:15:35] 是不是被混进质量打分离了
[00:15:35 - 00:15:37] 参考级能不能真实覆盖业务常委
[00:15:37 - 00:15:40] 大盘上的指标有没有做过双盲校准
[00:15:40 - 00:15:43] 系统提示词里是不是塞了太多没用的API
[00:15:43 - 00:15:44] 最后再加一条
[00:15:44 - 00:15:46] 必须定期人工抽检
[00:15:46 - 00:15:49] 盯着裁判有没有偷偷发生概念飘移
[00:15:49 - 00:15:52] 这套Checklist不能把悬学的审美彻底量化
[00:15:52 - 00:15:55] 但能把偏好变成可打断点调试的逻辑
[00:15:55 - 00:15:57] 作之能体开发别忘了
[00:15:57 - 00:16:00] 大模型会死板地去优化你定下的所有指标
[00:16:00 - 00:16:02] 包括那些漏洞
[00:16:02 - 00:16:03] 在这条重型流水线里
[00:16:03 - 00:16:06] Gripall算法扮演的就是奖励消费者的角色
[00:16:06 - 00:16:08] 他的逻辑是对着同一个
[00:16:08 - 00:16:10] Prompte批量涂出一组候选图
[00:16:10 - 00:16:13] 在根据组内相对好坏来估计优势值
[00:16:13 - 00:16:16] 比祖内平均线优秀的代码就被大力加权
[00:16:16 - 00:16:18] 拉跨的直接被消除
[00:16:18 - 00:16:20] 这套打法极大地减轻了
[00:16:20 - 00:16:22] PPU时代对独立价值模型的依赖
[00:16:22 - 00:16:24] 算力开销省了不少
[00:16:24 - 00:16:25] 但大家要清醒
[00:16:25 - 00:16:26] 优化器再牛
[00:16:26 - 00:16:29] 也只能放大奖励函数指出的方向
[00:16:29 - 00:16:32] 那九项旧指标高度雷同的时候
[00:16:32 - 00:16:34] Grip反而加速了模型推化成五半花
[00:16:34 - 00:16:37] 只有新机制真正拉开了优劣差距
[00:16:37 - 00:16:40] 优化算法才能吃到健康的提度
[00:16:40 - 00:16:43] 排查训练问题时别光盯算法
[00:16:43 - 00:16:46] 优化器采样策略和奖励分布是紧紧咬合的
[00:16:46 - 00:16:48] 一环拉跨条啥也没用
[00:16:48 - 00:16:49] 团队的下一步规划
[00:16:49 - 00:16:52] 是打算用以积累的人工分级数据
[00:16:52 - 00:16:54] 练一个专门的小型奖励模型
[00:16:54 - 00:16:56] 如果这事成了
[00:16:56 - 00:16:59] 以后模型就不需要每次都去庞大参考吃力比对
[00:16:59 - 00:17:02] 直接过一边预测网络就能拿到偏好分
[00:17:02 - 00:17:03] 推理速度肯定起飞
[00:17:03 - 00:17:06] 做大规模再线训练也顺理成章
[00:17:06 - 00:17:08] 但硬币的另一面是
[00:17:08 - 00:17:11] 审美偏好被彻底压缩成了黑盒参数
[00:17:11 - 00:17:14] 以后再排查bug难度成倍飙升
[00:17:14 - 00:17:18] 而且训练级验证级必须对其参考图做严格去重复
[00:17:18 - 00:17:21] 不然相似风格跨级泄漏指标肯定假高潮
[00:17:21 - 00:17:23] 这套系统上线后
[00:17:23 - 00:17:26] 同样离不开主动学习挑边界case给人类标注
[00:17:26 - 00:17:28] 追求速度固然爽
[00:17:28 - 00:17:30] 但人工维护的参考池绝对不能丢
[00:17:30 - 00:17:34] 它是日后审计黑核裁判唯一靠得住的毛点
[00:17:34 - 00:17:37] 讲这么多这套做实验的哲学是
[00:17:37 - 00:17:39] 完全可以照搬到咱们日常开发场景的
[00:17:39 - 00:17:41] 你在写代码智能体时
[00:17:41 - 00:17:43] 千万记住 编译不报错
[00:17:43 - 00:17:45] 那仅仅是准入门槛
[00:17:45 - 00:17:48] 代码可为护性必须拉出来跑成对评审
[00:17:48 - 00:17:51] 搞前端Agent时候像素对齐也只是一根信号管
[00:17:51 - 00:17:54] 真实可用性照样得拉用护作AB盲测
[00:17:54 - 00:17:56] 以后想加薪打分维度
[00:17:56 - 00:17:59] 先拉举证看看是不是和老指标严重撞车
[00:17:59 - 00:18:01] 发现提示词不灵了
[00:18:01 - 00:18:04] 先问问自己接口是不是暴露得太宽泛
[00:18:04 - 00:18:06] 每次大盘分数起飞别光顾着高兴
[00:18:06 - 00:18:10] 去巴基根真实代码样本看看模型到底学歪了没有
[00:18:10 - 00:18:11] 好了 这期视频就到这里
[00:18:11 - 00:18:15] 大家可以在评论区聊聊你们遇到过的指标投机
