BV号：BV1anZCYhEQ4
标题：BV1anZCYhEQ4
链接：https://www.bilibili.com/video/BV1anZCYhEQ4
识别语言：zh
语言置信度：1
分段数：313
生成时间：2026-08-30 09:47:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 3月27日是丹尼尔·卡尼曼去世一周年的日子
[00:08:24 - 00:08:27] 卡尼曼和特伯斯基的早期研究表明
[00:08:27 - 00:08:29] 当人们面临不确定性的时候
[00:08:29 - 00:08:31] 他们会通过矛盾效应
[00:08:31 - 00:08:34] 或者用他们能够信守年来的任何数字来做出预测
[00:08:34 - 00:08:38] 也许90岁这个数字在他心中就是一个重要的矛点
[00:08:38 - 00:08:40] 还有他重视的外部观点
[00:08:40 - 00:08:42] 或许他已经收集了相关的数据
[00:08:43 - 00:08:45] 了解到那些活到95岁以上的老人
[00:08:45 - 00:08:48] 是否后悔没有在90岁的时候离世
[00:08:48 - 00:08:50] 当然了 这只是一种猜测
[00:08:50 - 00:08:53] 我们无法确定他是否真的做出了这样的研究
[00:08:53 - 00:08:54] 卡尼曼的朋友
[00:08:54 - 00:08:57] 决策理论家和前职业不可选手安妮杜克
[00:08:58 - 00:08:59] 在他2022年出版的
[00:08:59 - 00:09:02] 退出知道何时离开的力量艺术中
[00:09:02 - 00:09:03] 曾经提到
[00:09:03 - 00:09:06] 准时退出通常会让人觉得退出的太早
[00:09:06 - 00:09:08] 他也对卡尼曼的决定感到沮丧
[00:09:08 - 00:09:11] 他认为卡尼曼的身心状况良好
[00:09:11 - 00:09:12] 还没有到人生的终点
[00:09:12 - 00:09:14] 应该采纳外部的视角
[00:09:14 - 00:09:16] 听听别人的客观建议
[00:09:16 - 00:09:18] 但是卡尼曼显然有着自己的想法
[00:09:18 - 00:09:20] 他在林中邮件中写道
[00:09:20 - 00:09:22] 我不会为我的决定感到难堪
[00:09:22 - 00:09:25] 但我也没有兴趣为此发表一个公开的声明
[00:09:25 - 00:09:28] 我的家人将尽可能避而不谈我的真实死因
[00:09:28 - 00:09:31] 因为没有人希望他成为富高的焦点
[00:09:31 - 00:09:33] 反请大家保密一段时间
[00:09:33 - 00:09:37] 谈到这里就不得不提到安勒斯这个急剧争议的话题
[00:09:37 - 00:09:40] 目前安勒斯在大多数国家仍然属于非法
[00:09:40 - 00:09:42] 但是选择这种方式的人越来越多
[00:09:42 - 00:09:45] 在瑞士如果病人有健全的心智
[00:09:45 - 00:09:46] 至少年满18岁
[00:09:46 - 00:09:48] 而且不是出于自私的动机
[00:09:48 - 00:09:51] 那么执行安勒斯就是合法的
[00:09:51 - 00:09:54] 不过病人必须自己服用致命的药物
[00:09:54 - 00:09:56] 在该罗普的一项最新调查中
[00:09:56 - 00:09:59] 针对于是否应该将医生协助身患致命疾病
[00:09:59 - 00:10:01] 而且正在遭受极大痛苦的病人
[00:10:01 - 00:10:04] 执行安勒斯的做法合法化的问题
[00:10:04 - 00:10:08] 结果显示 66%的美国人做出了肯定的回答
[00:10:08 - 00:10:10] 而在该罗普的另一项独立调查中
[00:10:10 - 00:10:12] 40%的受释者认为
[00:10:12 - 00:10:15] 医生参与协助执行安勒斯是不道德的
[00:10:15 - 00:10:17] 从这两组数据中可以看出
[00:10:17 - 00:10:20] 人们对于安勒斯的看法存在着很大的分歧
[00:10:20 - 00:10:23] 一方面有人认为如果在遭受剧烈同痛
[00:10:23 - 00:10:25] 或者是认知急剧恶化之前
[00:10:25 - 00:10:27] 就过早结束自己的生命
[00:10:27 - 00:10:29] 或许能够让自己和爱自己的人
[00:10:29 - 00:10:32] 免受本来会遭受的痛苦和折磨
[00:10:32 - 00:10:33] 但是另一方面
[00:10:33 - 00:10:36] 这也会让爱自己的人遭受失去自己的痛苦
[00:10:36 - 00:10:39] 留下没有能够完全理解自己的决定
[00:10:39 - 00:10:41] 或者是为什么不听从他们建议的遗憾
[00:10:41 - 00:10:43] 感宁曼在《林中邮件》中还写道
[00:10:43 - 00:10:45] 我发现在做出这个决定之后
[00:10:45 - 00:10:47] 我不再害怕死亡
[00:10:47 - 00:10:50] 而且我认为死亡只不过是一觉睡去
[00:10:50 - 00:10:51] 不再醒来
[00:10:51 - 00:10:53] 人生最后的偏偿并不艰难
[00:10:53 - 00:10:56] 除非亲眼目睹我给他人带来的麻烦和苦痛
[00:10:56 - 00:10:57] 所以呢
[00:10:57 - 00:10:59] 如果你为我的决定感到遗憾
[00:10:59 - 00:11:00] 那真是大可不必
[00:11:00 - 00:11:03] 他以一种平静而坦然的态度面对死亡
[00:11:03 - 00:11:05] 这也让我们不禁思考
[00:11:05 - 00:11:06] 当死亡临近的时候
[00:11:06 - 00:11:08] 我们应该如何选择的
[00:11:08 - 00:11:09] 是用好每分每秒
[00:11:09 - 00:11:11] 与我们所爱的人共度余光
[00:11:11 - 00:11:13] 还是放过自己和所爱的人
[00:11:13 - 00:11:16] 从而免遭不可避免的身心衰败呢
[00:11:16 - 00:11:19] 我们的死亡是否只应该由我们自己来决定呢
[00:11:19 - 00:11:21] 卡尼曼曾经教导过杰森
[00:11:21 - 00:11:23] 学会说我不知道非常重要
[00:11:23 - 00:11:25] 想必对于这些问题
[00:11:25 - 00:11:28] 我们或许也很难给出一个确定的答案
[00:11:28 - 00:11:29] 应该说
[00:11:29 - 00:11:31] 卡尼曼的一生是充满探索和思考的一生
[00:11:32 - 00:11:33] 他不仅用自己的研究成果
[00:11:33 - 00:11:36] 改变了我们对于人类思维和决策的认知
[00:11:36 - 00:11:38] 也用他人生中的最后一个决定
[00:11:38 - 00:11:41] 让我们对生命和死亡有了更多的思考
[00:11:41 - 00:11:42] 感谢大家的观看
[00:11:42 - 00:11:43] 我们下期再见
