BV号：BV1X8dpB4Ebb
标题：BV1X8dpB4Ebb
链接：https://www.bilibili.com/video/BV1X8dpB4Ebb
识别语言：zh
语言置信度：1
分段数：188
生成时间：2026-08-29 17:02:46

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你敢信吗
[00:04:28 - 00:04:31] 当算法每隔几个月就发生一次基因突变时
[00:04:31 - 00:04:34] GPU的通用可编程性才是唯一的解药
[00:04:34 - 00:04:35] 老黄卖的不是算力
[00:04:35 - 00:04:38] 他卖的是对抗算法突变的底层保险
[00:04:38 - 00:04:41] 到了最后主持人问出了那个终极问题
[00:04:41 - 00:04:44] AI发展到现在最大的瓶颈到底是什么
[00:04:44 - 00:04:45] 台积电的产能
[00:04:45 - 00:04:48] 还是ASML的光刻机
[00:04:48 - 00:04:50] 老黄给出的答案极其荒诞
[00:04:50 - 00:04:51] 但又无比真实
[00:04:51 - 00:04:53] 他说是水管工和电工
[00:04:53 - 00:04:56] 他抛出了那个著名的物理学定义
[00:04:56 - 00:04:57] 输入的是电子
[00:04:57 - 00:04:58] 输出的是token
[00:04:58 - 00:05:00] 而英伟达就在这二者之间
[00:05:00 - 00:05:01] 在老黄的设计图里
[00:05:01 - 00:05:04] 英伟达根本不是一家芯片公司
[00:05:04 - 00:05:06] 它是一个将物理世界的能源
[00:05:06 - 00:05:09] 转化为数字世界智能的状态转换机
[00:05:09 - 00:05:12] 建一个千兆瓦级别的AI数据中心
[00:05:12 - 00:05:14] 买芯片的钱大概是30亿美金
[00:05:14 - 00:05:18] 但整个机件的成本高达150亿美金
[00:05:18 - 00:05:20] 这多出来的一百多亿花在哪了
[00:05:20 - 00:05:22] 土建铺设工业级电网
[00:05:22 - 00:05:24] 大建极其复杂的水冷循环系统
[00:05:24 - 00:05:26] 大家都在盯着谁的代码写的好
[00:05:26 - 00:05:28] 谁的模型跑得分高
[00:05:28 - 00:05:30] 但最底层的真相是
[00:05:30 - 00:05:33] 在美国的中部一个成熟的数据中心电工
[00:05:33 - 00:05:36] 现在的年薪已经飙到了十几二十万美金
[00:05:36 - 00:05:39] 这比很多硅谷的初级马农还要赚钱
[00:05:39 - 00:05:41] 这也是为什么老黄压根
[00:05:41 - 00:05:43] 不在乎别人的芯片追没追上
[00:05:43 - 00:05:46] 他把最脏最累的底层分布式
[00:05:46 - 00:05:48] 通信和散热系统全给封装好了
[00:05:48 - 00:05:50] 客户买的不是显卡
[00:05:50 - 00:05:53] 而是直接产出智能的AI生产流水线
[00:05:53 - 00:05:56] 这是一场披着科技外衣的能源和基建战争
[00:05:56 - 00:05:58] 看完这三层八皮士的拆解
[00:05:58 - 00:06:02] 你可能会觉得这都是几万亿巨头的神仙打架
[00:06:02 - 00:06:03] 跟我没有什么关系
[00:06:03 - 00:06:04] 记得老黄说的吗
[00:06:04 - 00:06:06] AI是超级工具
[00:06:06 - 00:06:08] 这个底层假设不仅是它的政治护盾
[00:06:08 - 00:06:11] 更是未来三年我们搞钱的终极路线图
[00:06:11 - 00:06:13] 很多人焦虑AI会写代码了
[00:06:13 - 00:06:15] 程序员要失业了
[00:06:15 - 00:06:17] 但这恰恰意味着工具类软件的调用量
[00:06:17 - 00:06:20] 将迎来极其恐怖的爆炸式增长
[00:06:20 - 00:06:22] 以前一个工具的使用上限
[00:06:22 - 00:06:24] 收陷于人肉的点击速度
[00:06:24 - 00:06:25] 但在未来
[00:06:25 - 00:06:27] 你作为一个懂架构的开发者
[00:06:27 - 00:06:30] 会同时管理成百上千个agent
[00:06:30 - 00:06:32] 这些不知疲倦的数字劳工
[00:06:32 - 00:06:33] 会以每秒几百次的频率
[00:06:33 - 00:06:35] 去疯狂调用各种API
[00:06:35 - 00:06:37] 跑测试拉爆表
[00:06:37 - 00:06:40] 这完美契合了我们在频道里之前讲过的
[00:06:40 - 00:06:41] 艺人公司模式
[00:06:41 - 00:06:43] 这场AI淘金热礼
[00:06:43 - 00:06:45] 挖金子的大模型公司很多都在亏钱
[00:06:45 - 00:06:47] 但卖铲子的英伟达赢麻了
[00:06:48 - 00:06:49] 而作为独立开发者的你
[00:06:49 - 00:06:51] 只要掌握了定义问题边界
[00:06:51 - 00:06:53] 编排多A阵的工作流
[00:06:53 - 00:06:55] 以及调度底层算力生态的能力
[00:06:55 - 00:06:58] 你一个人就是一个全副武装的数字兵团
[00:06:58 - 00:07:00] 大时代的战歌才刚刚奏响
[00:07:00 - 00:07:02] 面对未知的突变
[00:07:02 - 00:07:04] 算力本身永远在贬值
[00:07:04 - 00:07:05] 但在算力之上
[00:07:05 - 00:07:07] 构建生态调度资源的能力
[00:07:07 - 00:07:08] 才是我们真正的壁垒
[00:07:08 - 00:07:10] 如果你觉得今天这期视频
[00:07:10 - 00:07:12] 这种一层层撕开表象
[00:07:12 - 00:07:14] 直擊底層邏輯的拆解看著還過癮
[00:07:14 - 00:07:17] 請務必長按一鍵三連
[00:07:17 - 00:07:20] 讓算法知道硬核的工程視角依然有它的受眾
[00:07:20 - 00:07:24] 評論區告訴我你覺得這波AI浪潮裡
[00:07:24 - 00:07:26] 最賺錢的鏟子還會是什麼
[00:07:26 - 00:07:27] 我是為什麼叫QQ
[00:07:27 - 00:07:28] 我們下期見
