BV号：BV1vp7p6qEiE
标题：BV1vp7p6qEiE
链接：https://www.bilibili.com/video/BV1vp7p6qEiE
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-08-29 10:09:36

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 面试官看着你的简历
[00:01:45 - 00:01:47] 你只管功能对不对
[00:01:47 - 00:01:47] 性能怎么样
[00:01:47 - 00:01:49] 那是dialogs的事
[00:01:49 - 00:01:52] 一旦页面卡顿动画掉真或者内存泄漏
[00:01:52 - 00:01:54] 如果你不懂这个黑盒里面发生了什么
[00:01:54 - 00:01:56] 你就只能像无头仓一样乱世
[00:01:56 - 00:02:00] 改改CSS调调JS祈祷问题能自己消失
[00:02:00 - 00:02:01] 或者你直接问AI怎么优化
[00:02:01 - 00:02:04] 然后AI给你一个看起来对的答案
[00:02:04 - 00:02:05] 但你根本不知道为什么
[00:02:05 - 00:02:08] 这就是为什么IDOSMONEY最近写了两篇文章
[00:02:08 - 00:02:11] 一篇是别把学习外包给AI
[00:02:11 - 00:02:13] 强调理解底层原理的重要性
[00:02:13 - 00:02:15] 另一篇就是我们今天讲的
[00:02:15 - 00:02:16] 现代浏览器如何工作
[00:02:16 - 00:02:19] 硬盒拆解了浏览器的工作原理
[00:02:19 - 00:02:20] 阿迪奥斯马尼是谁
[00:02:20 - 00:02:23] 他是Lighthouse性能审计工具的创建者之一
[00:02:23 - 00:02:26] 也是Corre Web Vitals标准的推动者
[00:02:26 - 00:02:27] 他在Google干了14年
[00:02:27 - 00:02:30] 曾领导Chrome的开发者体验工作
[00:02:30 - 00:02:33] 对浏览器工作原理的理解深度无人能及
[00:02:33 - 00:02:36] 但他从不停止思考Web平台的本质
[00:02:36 - 00:02:38] 今天我们就站在他的肩膀上
[00:02:38 - 00:02:39] 用工程师的视角
[00:02:39 - 00:02:42] 把浏览器这个黑盒彻底打开
[00:02:42 - 00:02:43] 这不仅是为了应付面试
[00:02:43 - 00:02:46] 而是为了成为一个真正懂系统的工程师
[00:02:46 - 00:02:49] 要理解现代浏览器我们得先回到20年前
[00:02:49 - 00:02:51] 那时候的浏览器比如早期的IE
[00:02:51 - 00:02:54] 其实就是一个单进程的程序
[00:02:54 - 00:02:56] 你打开一个死循环的网页
[00:02:56 - 00:02:58] 或者遇到一个写的烂的flash
[00:02:58 - 00:02:59] 整个浏览器就卡死了
[00:02:59 - 00:03:01] 你只能强行杀掉进程
[00:03:01 - 00:03:04] 所有没保存的数据全部完蛋
[00:03:04 - 00:03:06] 那个时代web开发者必须
[00:03:06 - 00:03:08] 深入理解浏览器的工作原理
[00:03:08 - 00:03:10] 因为没有AI没有框架没有工具链
[00:03:10 - 00:03:13] 你只能手写java script手动优化性能
[00:03:13 - 00:03:16] 所以那一代工程师对浏览器的理解
[00:03:16 - 00:03:18] 原比现在的工程师身
[00:03:18 - 00:03:19] 现在呢
[00:03:19 - 00:03:20] 你可以用AI生成代码
[00:03:20 - 00:03:22] 用框架隐藏复杂性
[00:03:22 - 00:03:23] 用工具链自动优化
[00:03:23 - 00:03:24] 这很方便
[00:03:24 - 00:03:25] 但代价是什么
[00:03:25 - 00:03:27] 代价是你可能永远不会理解
[00:03:27 - 00:03:28] 浏览器到底在做什么
[00:03:28 - 00:03:30] 直到2008年
[00:03:30 - 00:03:32] Google发布了Chrome
[00:03:32 - 00:03:34] Chrome带来了两个革命性的变化
[00:03:34 - 00:03:36] V8 JavaScript引擎和多进程架构
[00:03:36 - 00:03:39] 多进程架构是什么概念
[00:03:39 - 00:03:41] 浏览器不再是一个单体应用
[00:03:41 - 00:03:42] 它变成了一个系统
[00:03:42 - 00:03:45] 浏览器进程负责UI导航协调和进程管理
[00:03:45 - 00:03:49] 网络请求通常交给独立的network service处理
[00:03:49 - 00:03:51] 渲染进程则根据标签页
[00:03:51 - 00:03:54] 占点实力和夸占E-frame隔离策略分配
[00:03:54 - 00:03:56] 不一定是严格的每个标签页一个
[00:03:56 - 00:03:58] 这就好比以前所有的工人
[00:03:58 - 00:04:00] 都挤在一个车间里干活
[00:04:00 - 00:04:03] 现在每个流水线都有自己独立的车间
[00:04:03 - 00:04:06] 哪怕一个车间起火了其他车间照样运转
[00:04:06 - 00:04:08] 恶意带马想夸标签页切取数据
[00:04:08 - 00:04:12] 门都没有杀箱机制把你锁得死死的
[00:04:12 - 00:04:16] 而我们今天讲的从URL到渲染的整个过程
[00:04:16 - 00:04:18] 就是在这几个进程之间接力完成的
[00:04:18 - 00:04:20] 这需要网络站
[00:04:20 - 00:04:23] 解析器渲染引擎和JSC引擎的高度协同
[00:04:23 - 00:04:26] 如果你用AI生成代码从不深入思考这些原理
[00:04:26 - 00:04:29] 那你永远只能是一个代码搬运工
[00:04:29 - 00:04:31] 但如果你理解了这些底层逻辑
[00:04:31 - 00:04:33] 你就能写出真正高效的代码
[00:04:33 - 00:04:35] 而不是依赖AI的建议
[00:04:35 - 00:04:37] 我们先看第一步网络层
[00:04:37 - 00:04:39] 很多人以为输入URL后
[00:04:39 - 00:04:42] 浏览器才开始老老实实去查DNS件连接
[00:04:42 - 00:04:44] 但Adios Money指出
[00:04:44 - 00:04:47] 现代浏览器的网络站其实是个预言家
[00:04:47 - 00:04:49] 当你鼠标旋停在一个链接上
[00:04:49 - 00:04:51] 或者在地址栏刚敲下几个字母时
[00:04:51 - 00:04:53] Chrome的Predictor机制就
[00:04:53 - 00:04:56] 已经在后台偷偷做DNS预解息
[00:04:56 - 00:04:58] 甚至把TCP连接都建立好了
[00:04:58 - 00:05:00] 只要投机加载Speculative Loading
[00:05:00 - 00:05:02] 等你真正点击的时候
[00:05:02 - 00:05:04] 网络延迟已经被抹平了一大块
[00:05:04 - 00:05:05] 不仅如此
[00:05:05 - 00:05:09] HTDPR在一个TCP TLS连接上
[00:05:09 - 00:05:10] 实现多路复用
[00:05:10 - 00:05:15] 让浏览器能并发拉取htmlcssjs图片
[00:05:15 - 00:05:18] http协杠3则把http语意
[00:05:18 - 00:05:21] 映射到quicudp上
[00:05:21 - 00:05:23] 减少连接建立和对头组色成本
[00:05:23 - 00:05:27] 特别是复访场景http3
[00:05:27 - 00:05:30] 可能使用0RTT恢复连接
[00:05:30 - 00:05:31] 进一步降低延迟
[00:05:31 - 00:05:33] 所以面试时别再提什么血币图优化了
[00:05:33 - 00:05:36] 那已经是上个时代的老黄例
[00:05:36 - 00:05:38] 但这里有个工程师容易忽视的细节
[00:05:38 - 00:05:41] 浏览器的资源优先级是启发式的
[00:05:41 - 00:05:44] 由类型位置组塞性和发现时机共同决定
[00:05:44 - 00:05:46] 关键CSSLCP图片
[00:05:46 - 00:05:49] 关键字体可以用REL等于Prelode
[00:05:49 - 00:05:52] 和Fetch Priority API来显示提示浏览器
[00:05:52 - 00:05:55] 但优先级本质厂是一套全横机制
[00:05:55 - 00:05:56] 不是绝对的高低
[00:05:56 - 00:05:59] 最终还要看网络状况和浏览器的具体实现
[00:05:59 - 00:06:03] 拿到HTML后渲染进程的解析器开始工作
[00:06:03 - 00:06:04] 这里有个关键的机制
[00:06:04 - 00:06:07] 预加在扫描器Prelode Scanner
[00:06:07 - 00:06:10] 正常情况下 HTML解析器如果遇到一个
[00:06:10 - 00:06:13] 没有加 async或 deferred script 标签
[00:06:13 - 00:06:16] 它必须停下来等这个脚本下载完执行完
[00:06:16 - 00:06:17] 才能继续解析
[00:06:17 - 00:06:18] 为什么
[00:06:18 - 00:06:22] 因为这个脚本可能会用 document write 改写 DOM
[00:06:22 - 00:06:23] 浏览器不敢轻举妄动
[00:06:23 - 00:06:26] 这就是我们常说的JS组色渲染
[00:06:26 - 00:06:27] 但浏览器没那么傻
[00:06:27 - 00:06:30] 在主解析器被卡住的时候
[00:06:30 - 00:06:32] 预加在扫描器会像一个赤猴一样
[00:06:32 - 00:06:35] 提前跑到后面的 HTML里
[00:06:35 - 00:06:37] 把需要的图片CSS.js找出来
[00:06:37 - 00:06:39] 让网络先程赶紧去下载
[00:06:39 - 00:06:42] 这个机制是现代浏览器性能的关键
[00:06:42 - 00:06:45] 如果你的资源是通过JavaScript动态注入的
[00:06:45 - 00:06:47] 预加在扫描器就发现不了
[00:06:47 - 00:06:49] 只能等到js执行后才能下载
[00:06:49 - 00:06:51] 这就是为什么单页面应用的首评
[00:06:51 - 00:06:54] 性能往往比传统多页应用差
[00:06:54 - 00:06:56] 等Dumb数和Dumb数都勾兼好后
[00:06:56 - 00:06:59] 浏览器就开始计算每一个元素的最终样式
[00:06:59 - 00:07:02] 这个阶段叫样式计算或样式分辨
[00:07:02 - 00:07:03] 然后进入布局
[00:07:03 - 00:07:06] 阶段计算每个元素的几何位置
[00:07:06 - 00:07:07] 汇制生成汇制记录
[00:07:07 - 00:07:10] 光炸化将其转成未图
[00:07:10 - 00:07:13] 最后由合成器在GPU上合成最终针
[00:07:13 - 00:07:15] 这里有个非常重要的性能考点
[00:07:15 - 00:07:16] 重排
[00:07:16 - 00:07:17] reflow
[00:07:17 - 00:07:18] 和重汇
[00:07:18 - 00:07:19] repaint
[00:07:19 - 00:07:21] 如果你用JS修改with height
[00:07:21 - 00:07:25] top left等几何属性会出发布局计算
[00:07:25 - 00:07:27] 浏览器通常会标记dirty区域
[00:07:27 - 00:07:28] 并尽量局部重算
[00:07:28 - 00:07:31] 但高层节点的变化可能扩大影响范围
[00:07:31 - 00:07:37] 更糟糕的是如果你在一个循环里交替读取和修改几何属性
[00:07:37 - 00:07:39] 比如先改Width再读OffsetWidth
[00:07:39 - 00:07:42] 就会触发强制同步布局
[00:07:42 - 00:07:43] Layout Thrashing
[00:07:43 - 00:07:45] 导致每一帧都要完整计算
[00:07:45 - 00:07:46] 布局性能会急剧下降
[00:07:46 - 00:07:51] Eddy Osmone在文章里特别强调了一个显微人知的细节
[00:07:51 - 00:07:53] 浏览器会对Dumb修改进行批处理
[00:07:53 - 00:07:56] 当你连续修改10个元素的样式时
[00:07:56 - 00:07:58] 浏览器不会立即计算每一个
[00:07:58 - 00:08:01] 而是把这些修改放在一个对列里
[00:08:01 - 00:08:03] 等到你读取某个元素的计算样式时
[00:08:03 - 00:08:05] 才会触发一次性的样式计算
[00:08:05 - 00:08:09] 这就是为什么P-DOM更新能显著提升性能
[00:08:09 - 00:08:11] 但如果你在循环里记写又读
[00:08:11 - 00:08:16] 比如Element, Style, Width等于100px
[00:08:16 - 00:08:19] ConsultLogElement.Offset, Width
[00:08:19 - 00:08:21] 你就打破了这个P处理机制
[00:08:21 - 00:08:24] 强制浏览器立即计算性能就会崩溃
[00:08:24 - 00:08:27] 最后我们来看看JavaScript是怎么跑起来的
[00:08:27 - 00:08:30] V8引擎采用多层执行策略
[00:08:30 - 00:08:34] 一开始,ignition解释器会把js编译成字节码,快速跑起来
[00:08:34 - 00:08:36] 热点代码会逐渐优化
[00:08:36 - 00:08:40] Sparkplug编译器生成快速的非优化机器码
[00:08:40 - 00:08:42] Maglev处理中等热度代码
[00:08:42 - 00:08:45] Terbofan则针对最热的代码进行深度优化
[00:08:45 - 00:08:47] 但最终性能取决于类型稳定性
[00:08:47 - 00:08:50] 内联缓存DOM编介和区优化情况
[00:08:50 - 00:08:52] 不能简单说B进C++
[00:08:52 - 00:08:55] 但是JavaScript是一门动态类型语言
[00:08:55 - 00:08:58] 如果你的函数本来一直接收整数
[00:08:58 - 00:09:00] Turbofan按整束优化了机器码
[00:09:00 - 00:09:03] 结果你突然传了个字符穿进去
[00:09:03 - 00:09:05] Turbofan就会发现假设被打破了
[00:09:05 - 00:09:07] 然后触发去优化
[00:09:07 - 00:09:08] 退回到字节码执行
[00:09:08 - 00:09:11] 这就是为什么在性能敏感的代码里
[00:09:11 - 00:09:13] 保持对象形状和辨量类型稳定
[00:09:13 - 00:09:15] 是非常重要的工程师素养
[00:09:15 - 00:09:17] V8在背后为你拼命优化
[00:09:17 - 00:09:19] 你不能在前面给它挖坑
[00:09:19 - 00:09:21] 但这里还有一个更深层的问题
[00:09:21 - 00:09:22] 垃圾回收
[00:09:22 - 00:09:24] V8采用分代垃圾回收算法
[00:09:24 - 00:09:27] 新生代GC很快通常只需几毫秒
[00:09:27 - 00:09:30] 但major GC仍可能造成可见暂停
[00:09:30 - 00:09:33] 不过现代V8的Orinoco已经大量并发
[00:09:33 - 00:09:36] 增量和并行化减少了暂停时间
[00:09:36 - 00:09:38] 真正危险的不是GC本身
[00:09:38 - 00:09:40] 而是持续的内存膨胀和泄露
[00:09:40 - 00:09:42] 一个看起来很小的泄露
[00:09:42 - 00:09:44] 在用户长时间使用你的应用后
[00:09:44 - 00:09:46] 就会积累成一个巨大的性能问题
[00:09:46 - 00:09:48] 最终导致页面无法使用
[00:09:48 - 00:09:50] 说到这里你可能会想
[00:09:50 - 00:09:52] 现代浏览器已经这么智能了
[00:09:52 - 00:09:54] 它能自动预加在
[00:09:54 - 00:09:55] 自动优化编译
[00:09:55 - 00:09:56] 自动多层合成
[00:09:56 - 00:10:00] 那我们前端工程师是不是只要随便写写代码
[00:10:00 - 00:10:02] 剩下的交给浏览器就行了
[00:10:02 - 00:10:04] 这是一个巨大的误解
[00:10:04 - 00:10:08] 浏览器的智能是建立在你适应它规则的基础上的
[00:10:08 - 00:10:10] Adios Money在文章里反复强调一点
[00:10:10 - 00:10:13] 浏览器为你提供了非常强大的底层能力
[00:10:13 - 00:10:17] 但如果你烂用Dumb操作写出导致严重重排的CSS
[00:10:17 - 00:10:19] 或者让主线程被常任务卡死
[00:10:19 - 00:10:23] 再强大的V8引擎也救不了你的页面
[00:10:23 - 00:10:25] 浏览器的进化不是为了让你写烂代码
[00:10:25 - 00:10:28] 而是为了让你能构建出接近
[00:10:28 - 00:10:30] 原生应用体验的复杂webapp
[00:10:30 - 00:10:33] 如果你连主线程被阻塞了都不知道
[00:10:33 - 00:10:35] 你写的应用永远只会卡顿
[00:10:35 - 00:10:38] 那么我们该如何建立与浏览器共舞的认知框架
[00:10:38 - 00:10:40] 我总结为三个词
[00:10:40 - 00:10:42] 顺应分离可观测
[00:10:42 - 00:10:43] 第一是顺应
[00:10:43 - 00:10:46] 顺应浏览器的加载优先级
[00:10:46 - 00:10:51] 把关键CSS放头部非关键JS加上Default or Async
[00:10:51 - 00:10:52] 利用Rail等于Prelode
[00:10:52 - 00:10:54] 告诉浏览器什么是重要的
[00:10:54 - 00:10:57] 不要让不重要的资源抢占了关键渲染路径的带宽
[00:10:57 - 00:11:01] 第二是分离把繁重的计算分离出主线程
[00:11:01 - 00:11:05] 主线程是用来响应用户、交户和渲染UI的
[00:11:05 - 00:11:07] 不要让它去算几万条数据的排序
[00:11:07 - 00:11:10] 如果有密集计算的活交给web workers
[00:11:10 - 00:11:11] 但这里有个关键的细节
[00:11:11 - 00:11:14] 动画尽量使用transform和opacity
[00:11:14 - 00:11:17] 这样可以把动画交给gpu合成线程
[00:11:17 - 00:11:17] 为什么?
[00:11:17 - 00:11:20] 因为浏览器的渲染管线是这样的
[00:11:20 - 00:11:23] js执行样式计算布局汇制合成
[00:11:23 - 00:11:25] 如果你用Transform做動畫
[00:11:25 - 00:11:27] 它只會觸發合成階段
[00:11:27 - 00:11:28] 不會觸發前面的任何階段
[00:11:28 - 00:11:31] 但如果你用Left或Top做動畫
[00:11:31 - 00:11:33] 每一針都會觸發完整的布局和繪質
[00:11:33 - 00:11:35] 性能代價是天壤之別
[00:11:35 - 00:11:37] 但這不意味著你可以濫用
[00:11:37 - 00:11:39] 每次你把一個元素提升到合成層
[00:11:39 - 00:11:42] 比如用了Wheel Change Transform
[00:11:42 - 00:11:45] 瀏覽器都需要為它分配額外的內存
[00:11:45 - 00:11:48] 如果頁面上有成百上千個這樣的元素
[00:11:48 - 00:11:49] 內存佔用就會飆升
[00:11:49 - 00:11:52] 反而會導致頁面卡頓甚至崩潰
[00:11:52 - 00:11:54] 优化永远是一把双刃剑
[00:11:54 - 00:11:57] 必须结合DevTools的layers面板来精确控制
[00:11:57 - 00:12:00] 第三是可观测不要平感觉优化
[00:12:00 - 00:12:02] 学会用ChromeDevTools的Performance面板
[00:12:02 - 00:12:05] 去看火焰图去找那些标红的long tasks
[00:12:05 - 00:12:07] 性能优化是一门实验科学
[00:12:07 - 00:12:10] 没有数据支撑的优化都是耍流氓
[00:12:10 - 00:12:13] 展望未来浏览器引擎的眼睛还没有停止
[00:12:13 - 00:12:15] 这不仅仅是性能优化的问题
[00:12:15 - 00:12:18] 而是外平台本身的饭式转移
[00:12:18 - 00:12:21] 从早期的web assembly让C++ Rust能跑在浏览器里
[00:12:21 - 00:12:25] 到现在的WebGPU带来更强大的图形计算能力
[00:12:25 - 00:12:27] 浏览器正在打破性能的边界
[00:12:27 - 00:12:30] 但最激进的变化发生在AI时代
[00:12:30 - 00:12:33] Chrome正在推进BuildingAI和GeminiNano
[00:12:33 - 00:12:35] 让部分文本任务可以在端策完成
[00:12:35 - 00:12:37] 这意味着什么
[00:12:37 - 00:12:39] 对于一些简单的文本分类总结任务
[00:12:39 - 00:12:43] 不再需要调用UnAPI而是在用户的设备上完成
[00:12:43 - 00:12:47] 这降低了延迟和服务器成本更保护了用户隐私
[00:12:47 - 00:12:49] 但复杂任务仍然需要混合云端方案
[00:12:49 - 00:12:51] 因为端侧模型的能力有限
[00:12:51 - 00:12:54] 但这带来了一个全新的工程挑战
[00:12:54 - 00:12:57] Web开发的范氏正在发生根本性的转变
[00:12:57 - 00:13:01] 以前前端工程师的工作是处理UI和状态管理
[00:13:01 - 00:13:05] 现在你需要理解模型推理、张量计算、量化优化
[00:13:05 - 00:13:07] 你需要知道怎么理解模型压缩
[00:13:07 - 00:13:11] 量化分片加载和缓存策略才能在浏览器里跑
[00:13:11 - 00:13:13] 你需要理解GPU内存的限制
[00:13:13 - 00:13:16] 知道怎么分批推理来避免OOM
[00:13:16 - 00:13:20] 这意味着前端工程师的技能数正在向底层扩展
[00:13:20 - 00:13:22] 你不再只是一个UI工程师
[00:13:22 - 00:13:24] 而是需要具备系统工程师的思维
[00:13:24 - 00:13:29] WebNN WebNural Network API正在标准化
[00:13:29 - 00:13:32] 目标是让浏览器通过CPU GPU
[00:13:32 - 00:13:35] NPU等本地能力加速神经网络推理
[00:13:35 - 00:13:38] 但具体设备支持取决于浏览器
[00:13:38 - 00:13:41] 操作系统和硬件实现不应承诺具体芯片支持
[00:13:41 - 00:13:44] 这对中国的开源大模型生态有深远的影响
[00:13:44 - 00:13:48] 不再是所有的推理都要跑在云端的invidia GPU上
[00:13:48 - 00:13:50] 一个经过量化和优化的开源模型
[00:13:50 - 00:13:53] 可以直接在用户的手机浏览机场跑起来
[00:13:53 - 00:13:56] 这打破了大厂对AI能力的垄断
[00:13:56 - 00:13:59] webGPU的出现让前端工程师
[00:13:59 - 00:14:01] 可以直接操纵GPU进行通用计算
[00:14:01 - 00:14:03] 包括矩真运算 图像处理等
[00:14:03 - 00:14:06] 这扩展了web应用的计算能力
[00:14:06 - 00:14:09] service workers的眼镜让web应用可以离线运行
[00:14:09 - 00:14:12] 结合indexdb和cashapi
[00:14:12 - 00:14:15] 在配额允许且缓存策略正确的情况下
[00:14:15 - 00:14:17] Web应用可以缓存大量数据
[00:14:17 - 00:14:20] 但要注意 浏览器配额受限数据可能被逐出
[00:14:20 - 00:14:23] 关键离线应用要检测Storage
[00:14:23 - 00:14:25] Estimate 并处理数据丢失的情况
[00:14:25 - 00:14:27] 想象一下这样的场景
[00:14:27 - 00:14:29] 一个用户打开你的Web应用
[00:14:29 - 00:14:32] 第一次加在时下载一个50兆的量化模型
[00:14:32 - 00:14:35] 之后这个模型被缓存在浏览器里
[00:14:35 - 00:14:37] 用户可以完全离线使用这个应用
[00:14:37 - 00:14:39] 进行本地的AI推理
[00:14:39 - 00:14:41] 甚至可以在飞行模式下工作
[00:14:41 - 00:14:49] 这就是AI时代的Web开发新范式,不是云计算而是边缘计算,不是集中式而是分布式。
[00:14:49 - 00:14:51] 对于工程师来说,这意味着什么?
[00:14:51 - 00:14:54] 这意味着你需要重新思考应用架构。
[00:14:54 - 00:14:59] 以前的前后端分离,现在变成了前端后端设备端的三角架构。
[00:14:59 - 00:15:01] 你需要决定什么逻辑跑在浏览器?
[00:15:01 - 00:15:03] 什么逻辑跑在服务器?
[00:15:03 - 00:15:06] 什么逻辑跑在用户的本地AI引擎?
[00:15:06 - 00:15:09] 这也意味着性能优化的重点在转移。
[00:15:09 - 00:15:12] 以前我们关心的是网络延迟和渲染性能
[00:15:12 - 00:15:14] 现在我们还要关心模型推理的延迟
[00:15:14 - 00:15:16] 内存占用电池消耗
[00:15:16 - 00:15:18] 一个模型推理需要5秒
[00:15:18 - 00:15:19] 用户就会觉得卡
[00:15:19 - 00:15:22] 一个模型占用EGB内存手机就会崩溃
[00:15:22 - 00:15:24] 这对前端工程师的要求
[00:15:24 - 00:15:26] 已经不仅仅是写好代码
[00:15:26 - 00:15:27] 而是理解系统
[00:15:27 - 00:15:31] 你需要懂网络、懂操作系统、懂硬件、懂算法
[00:15:31 - 00:15:34] 总结一下输入URL到页面显示
[00:15:34 - 00:15:35] 表面上是一道面试题
[00:15:35 - 00:15:37] 背后其实是网络协议
[00:15:37 - 00:15:40] 解析引擎渲染管线和编译原理的交响乐
[00:15:40 - 00:15:44] 懂了这些你就不再是一个指挥条API的切图载
[00:15:44 - 00:15:47] 而是一个能掌控性能瓶颈的工程师
[00:15:47 - 00:15:49] 更重要的是你开始理解WAP平台的未来
[00:15:49 - 00:15:52] AI时代的WAP开发不是简单的UI开发
[00:15:52 - 00:15:54] 而是系统工程
[00:15:54 - 00:15:55] 那么问题来了
[00:15:55 - 00:15:56] 你在实际开发中
[00:15:56 - 00:15:58] 遇到过最理谱的性能坑是什么
[00:15:58 - 00:16:00] 你是怎么用DevTools派插出来的
[00:16:00 - 00:16:02] 或者你已经在思考怎么把AI
[00:16:02 - 00:16:05] 模型集成到你的WAP应用里
[00:16:05 - 00:16:06] 把你的思考打在评论区
[00:16:06 - 00:16:09] 我们一起探讨未来的web开发方向
[00:16:09 - 00:16:10] 我是为什么叫QQ
[00:16:10 - 00:16:12] 我们下期硬核拆节,再见
[00:16:12 - 00:16:13] 记得一键三连
