BV号：BV1moA3e5Ejg
标题：BV1moA3e5Ejg
链接：https://www.bilibili.com/video/BV1moA3e5Ejg
识别语言：zh
语言置信度：1
分段数：436
生成时间：2026-08-30 13:21:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 在科技行业不断变革的今天
[00:03:45 - 00:03:46] 让他们去经营公司
[00:03:46 - 00:03:50] 渐渐的他开始好奇公司运营的那一边是什么样的
[00:03:50 - 00:03:51] 而在当时
[00:03:51 - 00:03:53] 互联网行业正处于星期阶段
[00:03:53 - 00:03:56] 向雅虎、EBay等公司已经展露头角
[00:03:56 - 00:03:58] 这让蔡崇信看到了机会
[00:03:58 - 00:04:00] 她想跨越为难
[00:04:00 - 00:04:02] 亲自去看看公司是如何运作的
[00:04:02 - 00:04:04] 再加上当时她35岁
[00:04:04 - 00:04:05] 家庭稳定
[00:04:05 - 00:04:06] 结婚三年妻子也怀孕了
[00:04:06 - 00:04:08] 即将迎来他们的第一个孩子
[00:04:08 - 00:04:10] 在这样的人生节点上
[00:04:10 - 00:04:11] 她选择加入阿里巴巴
[00:04:11 - 00:04:13] 开启了一段全新的冒险
[00:04:13 - 00:04:14] 我们都知道
[00:04:14 - 00:04:16] 创业之路充满了艰辛
[00:04:16 - 00:04:18] 99%的出装公司都会失败
[00:04:18 - 00:04:21] 那么阿里巴巴是如何拖影而出
[00:04:21 - 00:04:24] 成为中国最大最成功的公司之一呢
[00:04:24 - 00:04:28] 蔡崇信认为生存与创新之间存在着紧密的因果关系
[00:04:28 - 00:04:29] 在阿里巴巴创立初期
[00:04:29 - 00:04:31] 公司并没有太多的资金
[00:04:31 - 00:04:34] 所以如何让手头有限的现金支撑下去
[00:04:34 - 00:04:35] 成为了首要任务
[00:04:35 - 00:04:37] 马云教导团队
[00:04:37 - 00:04:38] 只要公司还能活下去
[00:04:38 - 00:04:40] 就有机会创造价值
[00:04:40 - 00:04:41] 这种生存的本能
[00:04:41 - 00:04:43] 让阿里巴巴克服了许多困难
[00:04:43 - 00:04:45] 与许多出创公司不同
[00:04:45 - 00:04:47] 阿里巴巴在面对失败的时候
[00:04:47 - 00:04:48] 并没有选择关掉公司
[00:04:48 - 00:04:50] 转向其他方向
[00:04:50 - 00:04:51] 而是坚持了下来
[00:04:51 - 00:04:54] 正所谓需求是发明之母
[00:04:54 - 00:04:55] 正是出于对生存的渴望
[00:04:55 - 00:04:58] 阿里巴巴创造了许多创新
[00:04:58 - 00:04:59] 回顾阿里巴巴的发展历程
[00:04:59 - 00:05:00] 我们可以发现
[00:05:00 - 00:05:02] 它的很多高速增长的业务
[00:05:02 - 00:05:04] 都是逐渐发展而来的
[00:05:04 - 00:05:05] 比如
[00:05:05 - 00:05:07] 阿里巴巴最初创建的是B2B市场
[00:05:07 - 00:05:08] 后来进军消费市场
[00:05:08 - 00:05:09] 推出了淘宝
[00:05:09 - 00:05:11] 在发展过程中
[00:05:11 - 00:05:12] 他们意识到支付环节
[00:05:12 - 00:05:13] 对于线上交易的重要性
[00:05:13 - 00:05:15] 于是又开发了支付宝
[00:05:15 - 00:05:16] 之后
[00:05:16 - 00:05:18] 基于搜索广告的电商市场
[00:05:18 - 00:05:20] 成为了阿里巴巴的盈利引擎
[00:05:20 - 00:05:23] 模式类似于把谷歌广告插入到一杯系统中
[00:05:23 - 00:05:27] 如今淘宝依然是一个盈利能力很强的平台
[00:05:27 - 00:05:29] 此外阿里巴巴的云计算业务
[00:05:29 - 00:05:31] 也是通过内部发展逐步实现的
[00:05:31 - 00:05:34] 可以说阿里巴巴能够成功的关键
[00:05:34 - 00:05:36] 就在于它始终坚持生存下去
[00:05:36 - 00:05:38] 只要能够多坚持一天
[00:05:38 - 00:05:39] 就有可能迎来新的机遇
[00:05:40 - 00:05:43] 如今阿里巴巴已经走过了25年的历程
[00:05:43 - 00:05:45] 上市也有10年之久
[00:05:45 - 00:05:47] 对于阿里巴巴和蔡忠信个人来说
[00:05:47 - 00:05:50] 当下最令人兴奋的事情是什么呢
[00:05:50 - 00:05:51] 蔡崇信表示
[00:05:51 - 00:05:53] 每天在公司里
[00:05:53 - 00:05:54] 她都能和一群聪明
[00:05:54 - 00:05:57] 富有创造力和创新精神的年轻人
[00:05:57 - 00:05:58] 一起工作
[00:05:58 - 00:06:00] 这让她感到非常兴奋
[00:06:00 - 00:06:01] 在阿里巴巴
[00:06:01 - 00:06:03] 创新并不是完全自上而下推动的
[00:06:04 - 00:06:06] 公司鼓励从下往上的创新
[00:06:06 - 00:06:09] 这种创新文化让公司始终保持着活力
[00:06:09 - 00:06:12] 而在当下最让她兴奋的领域无疑是AI
[00:06:13 - 00:06:14] 在深入探讨AI之前
[00:06:14 - 00:06:15] 我们先来了解一下
[00:06:15 - 00:06:18] 蔡崇信对于公司管理的一个理念
[00:06:18 - 00:06:19] 她曾经说过
[00:06:19 - 00:06:21] 我的工作就是让人们不受阻碍的前进
[00:06:22 - 00:06:23] 这句话听起来很简单
[00:06:23 - 00:06:25] 但是背后却有着深刻的含义
[00:06:26 - 00:06:27] 其实这几年
[00:06:27 - 00:06:29] 蔡崇信已经逐渐淡出了公司
[00:06:29 - 00:06:31] 作为阿里巴巴的创始人之一
[00:06:31 - 00:06:33] 她觉得公司已经发展得足够大
[00:06:33 - 00:06:35] 能够走上自己的发展道路
[00:06:36 - 00:06:37] 但是在18个月前
[00:06:37 - 00:06:39] 由于包括董事会在内的很多人
[00:06:39 - 00:06:41] 认为公司需要更换管理团队
[00:06:41 - 00:06:44] 于是蔡崇信重新回到了董事长的位置
[00:06:44 - 00:06:48] 当时 公司任命了一位比他年轻12岁的年轻CEO
[00:06:48 - 00:06:51] 当蔡重信走进董事会会议室的时候
[00:06:51 - 00:06:54] 律师称他为执行董事长
[00:06:54 - 00:06:55] 他却明确表示
[00:06:55 - 00:06:57] 自己只是公司的董事长
[00:06:57 - 00:06:58] 不想要执行这个头衔
[00:06:58 - 00:07:00] 在蔡重信看来
[00:07:00 - 00:07:04] 她并不认同英国制度下执行主席和CEO的分工模式
[00:07:04 - 00:07:07] 因为这种分工容易让员工和外部人员感到困惑
[00:07:07 - 00:07:10] 不知道谁才是真正负责运用公司的人
[00:07:10 - 00:07:11] 在阿里巴巴
[00:07:11 - 00:07:14] 她非常明确地界定了自己和CEO的职责
[00:07:14 - 00:07:16] C.O.负责公司的日常运营
[00:07:16 - 00:07:18] 而他则在资源分配 资本决策
[00:07:18 - 00:07:20] 人力资源决策等方面 给予支持
[00:07:20 - 00:07:23] 比如在创建股权激励计划的时候
[00:07:23 - 00:07:25] 他会与C.O.进行充分的咨询
[00:07:25 - 00:07:27] 他认为 作为公司董事长
[00:07:27 - 00:07:29] 最重要的是不要妨碍他人的工作
[00:07:29 - 00:07:31] 要为培养下一代领导力
[00:07:31 - 00:07:32] 创造良好的环境
[00:07:32 - 00:07:33] 接下来
[00:07:33 - 00:07:36] 蔡崇信和主持人展开了对AI领域的讨论
[00:07:36 - 00:07:40] 如今 云计算和AI的发展紧密相连
[00:07:40 - 00:07:43] 阿里巴巴一直在投资和开发自己的AI能力
[00:07:43 - 00:07:45] 这与亚马逊等公司有所不同
[00:07:45 - 00:07:48] 那么目前AI领域的情况如何呢
[00:07:48 - 00:07:51] 像Grogg3,DeepSeq等大语言模型
[00:07:51 - 00:07:53] 究竟处于什么样的水平
[00:07:53 - 00:07:55] 阿里巴巴又在其中有着怎样的定位呢
[00:07:56 - 00:07:57] 蔡重信提到
[00:07:57 - 00:07:58] 马斯克曾说
[00:07:58 - 00:08:01] Grogg3将是有史以来最棒的AI
[00:08:01 - 00:08:02] 没人能超越
[00:08:02 - 00:08:04] 蔡重信自己也使用过Grogg
[00:08:04 - 00:08:06] 他在X平台上使用了相关的接口
[00:08:06 - 00:08:08] 对其结果影响深刻
[00:08:08 - 00:08:10] 同时他也使用过包括
[00:08:10 - 00:08:12] 阿里巴巴自己在内的其他AI引用
[00:08:12 - 00:08:15] 在AI竞赛这个激烈的赛道上
[00:08:15 - 00:08:16] 很难说谁的AI更好
[00:08:16 - 00:08:18] 因为情况每天都在变化
[00:08:18 - 00:08:21] 今天发布的模型可能比之前的模型好
[00:08:21 - 00:08:25] 但是明天又可能被其他新推出的模型超越
[00:08:25 - 00:08:27] 不过 蔡崇信也认为
[00:08:27 - 00:08:29] DeepSick的出现有着重要的意义
[00:08:29 - 00:08:31] 他证明了通过工程创新
[00:08:31 - 00:08:34] 可以大幅降低大语言模型的训练和推理成本
[00:08:34 - 00:08:36] 到目前为止
[00:08:36 - 00:08:39] 人们在这些前沿模型上投入了大量的资金
[00:08:39 - 00:08:42] 但是蔡崇信提出了一个值得思考的问题
[00:08:42 - 00:08:44] 那就是如果把训练前因模型
[00:08:44 - 00:08:47] 比作让孩子们接受全面教育
[00:08:47 - 00:08:49] 目标是让他们变得最聪明
[00:08:49 - 00:08:51] 获得多个学科的博士学位
[00:08:51 - 00:08:53] 甚至是诺贝尔奖
[00:08:53 - 00:08:55] 那么在AI领域
[00:08:55 - 00:08:57] 是不是只有五六家富有的公司
[00:08:57 - 00:09:00] 才能负担得起这样的教育成本呢
[00:09:00 - 00:09:02] 开发AI的真正目的又是什么呢
[00:09:02 - 00:09:04] 是为了培养最聪明的孩子
[00:09:04 - 00:09:06] 赢得每一个诺贝尔奖
[00:09:06 - 00:09:08] 还是为了利用AI解决世界上的实际问题
[00:09:08 - 00:09:10] 创造更大的经济效益呢
[00:09:10 - 00:09:12] 蔡崇信認為
[00:09:12 - 00:09:14] 隨著DeepSeq現象的出現
[00:09:14 - 00:09:15] 人們會開始改變方向
[00:09:15 - 00:09:17] 不會只是為了訓練最前沿的模型
[00:09:17 - 00:09:20] 把數百億美元投入到計算基礎設施中
[00:09:20 - 00:09:23] 而是會開始關注世界上實際存在的問題
[00:09:23 - 00:09:25] 將資源投入到應用領域
[00:09:25 - 00:09:29] 同時DeepSeq也讓我們看到了開源的價值
[00:09:29 - 00:09:32] 如果把人生目標設定為開發一個封閉的AI系統
[00:09:32 - 00:09:35] 追求個人在學術上的成就
[00:09:35 - 00:09:36] 獲得諾貝爾獎
[00:09:36 - 00:09:37] 在蔡崇信看來
[00:09:37 - 00:09:39] 這樣的目標價值接近於零
[00:09:39 - 00:09:43] 他进一步闪述到未来可能会出现更多的小型模型
[00:09:43 - 00:09:45] 以阿里巴巴的电商业务为例
[00:09:45 - 00:09:48] 如果要开发一个智能购物助手
[00:09:48 - 00:09:49] 给顾客推荐商品
[00:09:49 - 00:09:52] 并不一定需要一个拥有万亿参数的大语言模型
[00:09:52 - 00:09:55] 就像是在商店里雇佣一个导购
[00:09:55 - 00:09:57] 并不需要他们拥有物理学博士学位
[00:09:57 - 00:09:59] 才能挑选出合适的商品一样
[00:09:59 - 00:10:01] 现在有了开源技术
[00:10:01 - 00:10:04] 许多公司都可以参与到AI的开发中来
[00:10:04 - 00:10:06] 无论是大公司还是小公司
[00:10:06 - 00:10:07] 甚至是创业者
[00:10:07 - 00:10:10] 都可以将开源代码部署到自己的基础设施上
[00:10:10 - 00:10:11] 共同开发AI
[00:10:11 - 00:10:13] 为AI的发展贡献力量
[00:10:13 - 00:10:15] 在AI发展的话题中
[00:10:15 - 00:10:17] 不得不提到阿里巴巴与苹果的合作
[00:10:17 - 00:10:19] 最近有传闻称
[00:10:19 - 00:10:20] 苹果将与阿里合作
[00:10:20 - 00:10:23] 为中国的iPhone用户开发AI功能
[00:10:23 - 00:10:25] 蔡崇信回应了这一传闻
[00:10:25 - 00:10:26] 她表示
[00:10:26 - 00:10:28] 苹果在边缘计算领域有着独特的需求
[00:10:28 - 00:10:30] 因为智能手机是一种设备
[00:10:30 - 00:10:33] 与坐落在数据中心的大型计算机不同
[00:10:33 - 00:10:36] 她需要在手机上配备一些小型的智能AI
[00:10:36 - 00:10:39] 蔡重信認為與中國公司合作開發AI
[00:10:39 - 00:10:41] 將是未來的一個趨勢
[00:10:41 - 00:10:43] 畢竟無論在哪裡做生意
[00:10:43 - 00:10:45] 擁有本地化的AI為設備提供支持
[00:10:45 - 00:10:47] 都是非常有必要的
[00:10:47 - 00:10:50] 蘋果一直以來在合作夥伴的選擇上非常挑剔
[00:10:50 - 00:10:53] 他們與中國的很多公司都進行過洽談
[00:10:53 - 00:10:55] 最終選擇了與阿里巴巴合作
[00:10:55 - 00:10:58] 用阿里的AI為蘋果手機提供動力
[00:10:58 - 00:10:59] 蔡重信表示
[00:10:59 - 00:11:00] 阿里巴巴很幸運
[00:11:00 - 00:11:02] 也感到非常榮幸
[00:11:02 - 00:11:04] 能夠與像蘋果這樣的偉大公司合作
[00:11:04 - 00:11:06] 除了在商业领域取得巨大成功
[00:11:06 - 00:11:09] 蔡崇信在体育领域也有着丰富的经历
[00:11:09 - 00:11:10] 大家可能不知道
[00:11:10 - 00:11:13] 蔡崇信其实是一个体育爱好者
[00:11:13 - 00:11:15] 他拥有NBA的布鲁克林篮网队
[00:11:15 - 00:11:17] WNBA的纽约自由人队
[00:11:17 - 00:11:20] 国家长驱棍球联盟的圣地亚格海报队
[00:11:20 - 00:11:21] 和拉斯维加斯沙漠狗队
[00:11:21 - 00:11:24] 以及NFL的迈阿密海豚队的股份
[00:11:24 - 00:11:26] 他对体育的兴趣
[00:11:26 - 00:11:27] 源于小时候在南校的经历
[00:11:27 - 00:11:29] 在南校时
[00:11:29 - 00:11:31] 他发现自己在数学方面比别人强
[00:11:31 - 00:11:33] 但是并没有因此获得尊重
[00:11:33 - 00:11:35] 反而是在感染球场上
[00:11:35 - 00:11:36] 他通过自己的努力和拼搏
[00:11:36 - 00:11:38] 赢得了他人的尊重
[00:11:38 - 00:11:40] 从那时起他就爱上了运动
[00:11:40 - 00:11:42] 与许多科技企业家不同
[00:11:42 - 00:11:44] 蔡重信首先是一个运动员
[00:11:44 - 00:11:47] 然后才成为在科技公司工作的技术人员
[00:11:47 - 00:11:49] 他与工程师和科学家们合作
[00:11:49 - 00:11:51] 将自己在运动中培养的精神
[00:11:51 - 00:11:53] 融入到了工作中
[00:11:53 - 00:11:54] 蔡重信曾说过
[00:11:54 - 00:11:56] 体育不仅教会了她几率和努力工作
[00:11:56 - 00:11:58] 还教会了她如何面对失败
[00:11:58 - 00:12:01] 输了就必须要站起来
[00:12:01 - 00:12:03] 在运动场上学到的这些教训
[00:12:03 - 00:12:04] 他也运用到了工作中
[00:12:04 - 00:12:06] 在体育比赛中
[00:12:06 - 00:12:07] 失败是常有的事
[00:12:07 - 00:12:10] 每个赛季都不可能每场比赛都赢
[00:12:10 - 00:12:11] 当遭遇失败的时候
[00:12:11 - 00:12:12] 真正重要的
[00:12:12 - 00:12:13] 不是想着下一场比赛
[00:12:13 - 00:12:14] 马上就能赢回来
[00:12:15 - 00:12:16] 而是要专注于明天的训练
[00:12:17 - 00:12:19] 思考如何在训练中提高自己
[00:12:19 - 00:12:21] 为迎接下一个对手做好准备
[00:12:21 - 00:12:22] 这种一步步渐进
[00:12:22 - 00:12:24] 专注于细节的态度
[00:12:24 - 00:12:26] 在商业领域也同样适用
[00:12:26 - 00:12:27] 作为公司的董事长
[00:12:27 - 00:12:29] 虽然他不直接管理公司
[00:12:29 - 00:12:31] 但是他期望管理团队
[00:12:31 - 00:12:33] 能够专注于每一个操作细节
[00:12:33 - 00:12:35] 这样公司才能够不断的发展进步
[00:12:35 - 00:12:38] 最后 主持人与蔡重信一起解读了一下
[00:12:38 - 00:12:40] 他曾经说过的一些名言
[00:12:40 - 00:12:41] 第一句名言是
[00:12:41 - 00:12:43] 领导者最重要的工作
[00:12:43 - 00:12:45] 就是为人们指引未来的方向
[00:12:45 - 00:12:46] 蔡重信认为
[00:12:46 - 00:12:48] 对于一个团队来说
[00:12:48 - 00:12:50] 没有什么比员工不知道未来的方向
[00:12:50 - 00:12:51] 更让人沮丧的了
[00:12:51 - 00:12:53] 团队需要一个明确的方向
[00:12:53 - 00:12:55] 才能朝着共同的目标前进
[00:12:55 - 00:12:58] 但是他也提出了一个更重要的观点
[00:12:58 - 00:12:59] 那就是作为领导者
[00:12:59 - 00:13:01] 不仅要能指引方向
[00:13:01 - 00:13:03] 还需要有能力与人合作
[00:13:03 - 00:13:05] 招募比自己聪明的人
[00:13:05 - 00:13:07] 因为公司在发展过程中会不断进步
[00:13:07 - 00:13:10] 总有一天会超越领导者个人的能力
[00:13:10 - 00:13:13] 只有引入更优秀更聪明的人才
[00:13:13 - 00:13:15] 公司才能持续发展
[00:13:15 - 00:13:16] 第二句名言是
[00:13:16 - 00:13:18] 谦逊对领导者非常重要
[00:13:18 - 00:13:20] 你必须能够承认错误
[00:13:20 - 00:13:23] 对于任何领导者来说这都不容易
[00:13:23 - 00:13:26] 蔡崇信指出在竞争激烈的商业领域
[00:13:26 - 00:13:29] 一旦决策失误就可能带来严重的后果
[00:13:29 - 00:13:31] 如果领导者连自己的错误都不敢承认
[00:13:31 - 00:13:34] 又怎么能期望他们去改正错误呢
[00:13:34 - 00:13:37] 优秀的领导者应该敢于自我反思
[00:13:37 - 00:13:38] 当发现方向偏离时
[00:13:38 - 00:13:40] 能够勇敢的说
[00:13:40 - 00:13:40] 我错了
[00:13:40 - 00:13:42] 我们需要改变方向
[00:13:42 - 00:13:44] 虽然做出这样的决定很难
[00:13:44 - 00:13:46] 向别人承认自己的错误也很困难
[00:13:46 - 00:13:48] 但这是领导者必须要做到的
[00:13:48 - 00:13:50] 第三句名言与埃罗马斯克谈到的
[00:13:50 - 00:13:51] 一些问题有关
[00:13:52 - 00:13:53] 蔡崇信说
[00:13:53 - 00:13:54] 大公司的一个常见问题
[00:13:54 - 00:13:57] 是他们会被固定的组织结构所束缚
[00:13:57 - 00:13:59] 试图让公司的方向去适应这个结构
[00:13:59 - 00:14:02] 但是实际上应该是反过来的
[00:14:02 - 00:14:05] 马斯克的观点主要是针对政府效率方面的问题
[00:14:05 - 00:14:09] 比如政府庞大的结构有时会决定国家的发展方向
[00:14:09 - 00:14:12] 但是在企业中情况不应该如此
[00:14:12 - 00:14:14] 企业应该首先确定发展方向
[00:14:14 - 00:14:17] 然后根据这个方向设立合适的组织结构
[00:14:17 - 00:14:20] 再把合适的人安排到合适的位置上
[00:14:20 - 00:14:22] 这样才能实现企业的目标
[00:14:22 - 00:14:24] 最后一句名言很有意思
[00:14:24 - 00:14:27] 99%的人需要7-8小时的睡眠
[00:14:27 - 00:14:29] 如果你认为自己是1%
[00:14:29 - 00:14:30] 你就是在自欺欺人
[00:14:30 - 00:14:34] 蔡崇信自己必须保证每天有7-8小时的睡眠
[00:14:34 - 00:14:35] 由于经常出差
[00:14:35 - 00:14:37] 有时不能一次性睡够
[00:14:37 - 00:14:40] 他就会选择小睡片刻来补充精力
[00:14:40 - 00:14:41] 他说这句话
[00:14:41 - 00:14:44] 是针对很多人觉得自己可以少睡眠
[00:14:44 - 00:14:45] 还能保持高效的情况
[00:14:45 - 00:14:47] 但是他也特别提到
[00:14:47 - 00:14:48] 确实有一些人可以做到
[00:14:48 - 00:14:50] 比如正在采访他的主持人
[00:14:50 - 00:14:52] 杰弗里卡 陈伯格 就是个例外
[00:14:52 - 00:14:54] 傑弗里一天只睡三四个小时
[00:14:54 - 00:14:55] 依然经历充沛
[00:14:55 - 00:14:57] 他真的是那1%
[00:14:57 - 00:14:58] 好了
[00:14:58 - 00:15:00] 以上就是蔡崇信这次对话的主要内容了
[00:15:00 - 00:15:03] 希望今天的分享能让大家有所收获
[00:15:03 - 00:15:05] 感谢大家的观看
[00:15:05 - 00:15:06] 我们下期再见
