BV号：BV1BTrKYoEpK
标题：BV1BTrKYoEpK
链接：https://www.bilibili.com/video/BV1BTrKYoEpK
识别语言：zh
语言置信度：1
分段数：332
生成时间：2026-08-30 21:06:58

[00:00:00 - 00:00:03] 大家好 这里是最佳拍檔 我是大飞
[00:00:03 - 00:00:05] 熟悉我们频道的观众应该知道
[00:03:35 - 00:03:38] 制谱在发展过程中采取了较为稳健的策略
[00:03:38 - 00:03:41] 过去两年的一直紧密的对标OpenEye
[00:03:41 - 00:03:44] 从底层的预计量框架到上层的应用
[00:03:44 - 00:03:46] 进行全方位的学习和追赶
[00:03:46 - 00:03:48] 不过从2023年下半年开始
[00:03:48 - 00:03:50] 制谱意识到单纯的模仿
[00:03:50 - 00:03:52] 是無法成為行業的領導者的
[00:03:52 - 00:03:55] 於是加大了對於Agent的研發投入
[00:03:55 - 00:03:57] 在2023年11月的發布會上
[00:03:57 - 00:03:59] 張彭現場演示了用AutoJLM
[00:03:59 - 00:04:02] 在微信群裡建群並且發紅包的操作
[00:04:02 - 00:04:05] 體現了Agent在連接用戶和應用方面的巨大潛力
[00:04:05 - 00:04:09] 甚至可以看作是大模型通用操作系統的處刑
[00:04:09 - 00:04:11] 而另一家明確對標OpenI的大模型公司
[00:04:11 - 00:04:13] 就是街越星辰
[00:04:13 - 00:04:16] 它的業務主線也與OpenI有著相似之處
[00:04:16 - 00:04:19] 那就是從單模態模型逐步向世界模型發展
[00:04:19 - 00:04:21] 江大新深入研究後認為
[00:04:21 - 00:04:24] 大模型的眼鏡會經歷從各個模態獨立發展
[00:04:24 - 00:04:25] 到逐步融合
[00:04:25 - 00:04:27] 最終實現徹底融合的過程
[00:04:27 - 00:04:28] 而Skinny Lost
[00:04:28 - 00:04:30] 多模態理解與生存的統一
[00:04:30 - 00:04:32] 是實現AGA的核心要素
[00:04:32 - 00:04:34] minimax雖然成立較早
[00:04:34 - 00:04:36] 但是形式風格卻較為低調
[00:04:36 - 00:04:38] 在2023年2月的一次溝通會上
[00:04:38 - 00:04:40] 核心創始人楊斌
[00:04:40 - 00:04:42] 介紹了公司自言的三個基礎模型
[00:04:42 - 00:04:44] 涵蓋了文本到視覺
[00:04:44 - 00:04:44] 文本到語音
[00:04:44 - 00:04:46] 文本到文本等等領域
[00:04:46 - 00:04:49] 成為了國內首家多模型大模型創業公司
[00:04:49 - 00:04:52] 首款应用Glow获得了近500万的用户
[00:04:52 - 00:04:53] 后来更名为星野
[00:04:53 - 00:04:55] 海外版叫做Talki
[00:04:55 - 00:04:59] 此后MiniMax大力投入了Moe混合专家架构的研发
[00:04:59 - 00:05:00] 经过多次的尝试
[00:05:00 - 00:05:04] 在2024年1月成功推出了国内首个Moe大模型
[00:05:04 - 00:05:06] 并且继续专研连接了Tension
[00:05:06 - 00:05:09] 研发出的新一代模型可以比肩GPT4O
[00:05:09 - 00:05:13] 在2024年8月31日的MiniMaxLink伙伴日上
[00:05:13 - 00:05:14] 严俊年强调
[00:05:14 - 00:05:17] 快是公司底层大模型的核心技术研发目标
[00:05:17 - 00:05:19] 同時還指出降低模型的錯誤率
[00:05:19 - 00:05:22] 實現無限長的輸入和輸出以及多模態
[00:05:22 - 00:05:26] 是提高AI應用滲透率和使用深度的關鍵因素
[00:05:26 - 00:05:29] 而越制按面在技術路線上則較為神秘
[00:05:29 - 00:05:32] 沒有公開過底層大模型的詳細信息
[00:05:32 - 00:05:35] 不過它在2023年10月發布的首款AI智能助手
[00:05:35 - 00:05:37] Kimi卻引起了廣泛的關注
[00:05:37 - 00:05:40] 憑藉著20萬字長上下文書的獨特優勢
[00:05:40 - 00:05:42] 迅速吸引了大量的用戶
[00:05:42 - 00:05:45] 成為了國內最熱門的AI智能助手之一
[00:05:45 - 00:05:47] 隨著用戶量的快速增長
[00:05:47 - 00:05:48] 推理成本也随之增加
[00:05:48 - 00:05:50] 为了解决这个问题
[00:05:50 - 00:05:51] 月之暗面在2024年7月
[00:05:51 - 00:05:53] 发布了以KVcatch为中心的
[00:05:53 - 00:05:55] 分布式推理架构MuCake
[00:05:55 - 00:05:58] 承担了KIMI线上80%的流量
[00:05:58 - 00:06:00] 此后 月之暗面还在不断地探索
[00:06:00 - 00:06:01] 新的技术路线
[00:06:01 - 00:06:03] 比如说正在内侧的视频生长模型
[00:06:03 - 00:06:05] 以及已经发布的数学模型
[00:06:05 - 00:06:06] KilingMass
[00:06:06 - 00:06:08] 视觉参考模型K1等等
[00:06:08 - 00:06:10] 而王小川带领的百川智能
[00:06:10 - 00:06:13] 则开始从AJI转向聚焦医疗领域
[00:06:13 - 00:06:15] 他认为能否制造出
[00:06:15 - 00:06:16] 具有医生水平的Agent
[00:06:16 - 00:06:18] 是判断AGI的一個重要標誌
[00:06:18 - 00:06:21] 因為醫生這個職業對於智力的要求極高
[00:06:21 - 00:06:24] 通過在醫療領域的研究和實驗
[00:06:24 - 00:06:26] 可以更好地探索AGI的實現路徑
[00:06:26 - 00:06:27] 儘管擺成智能
[00:06:27 - 00:06:28] 沒有像其他公司一樣
[00:06:28 - 00:06:30] 跟進Sauer的視頻模型
[00:06:30 - 00:06:31] 但是王小川堅信
[00:06:31 - 00:06:33] 語言才是智能的核心
[00:06:33 - 00:06:35] 而Sauer只是階段性的產物
[00:06:35 - 00:06:36] 在預訓練方面
[00:06:36 - 00:06:38] 對於國內的大模型六小虎來說
[00:06:38 - 00:06:40] 都面臨著巨大的成本挑戰
[00:06:40 - 00:06:42] 以MAT和馬斯克的訓練集群為例
[00:06:42 - 00:06:45] 所需要的GPU數量和成本都是天文數字
[00:06:45 - 00:06:48] 遠遠超出了國內創業公司的承受能力
[00:06:48 - 00:06:50] 之前甚至有報導稱
[00:06:50 - 00:06:53] 國內至少有兩家小虎可能要放棄預訓鏈
[00:06:53 - 00:06:54] 不過目前來看
[00:06:54 - 00:06:56] 大家還都在努力尋找解決方案
[00:06:56 - 00:06:58] 像015000在去年10月份
[00:06:58 - 00:07:00] 還發布了新的模型Elightning
[00:07:00 - 00:07:03] 智埠也一直在持續進行預訓鏈
[00:07:03 - 00:07:04] 並且大約每4到6個月
[00:07:04 - 00:07:06] 就會推出一個新的模型版本
[00:07:06 - 00:07:08] 百川智能則採取了
[00:07:08 - 00:07:10] 由場景帶動預訓鏈的策略
[00:07:10 - 00:07:11] 在推進超級應用的過程中
[00:07:11 - 00:07:13] 來引領模型的發展
[00:07:13 - 00:07:16] 接業行程在完成數億美元幣輪融資之後
[00:07:16 - 00:07:19] 明確表示將會把資金用於技術模型的研發
[00:07:19 - 00:07:22] 強化多摩泰和複雜推理能力
[00:07:22 - 00:07:23] 並且通過產品和生態
[00:07:23 - 00:07:26] 來擴大C端應用場景的覆蓋範圍
[00:07:26 - 00:07:29] 與此同時 大模型的範式也在發生的轉變
[00:07:29 - 00:07:30] 歐萬推理模型的出現
[00:07:30 - 00:07:33] 使得推理不再受到預訓鏈平靜的限制
[00:07:33 - 00:07:36] 製補目前在預訓鏈和推理的算力頭目上
[00:07:36 - 00:07:37] 大約是一半一半
[00:07:37 - 00:07:38] 而楊芝琳認為
[00:07:38 - 00:07:40] 隨著技術的發展
[00:07:40 - 00:07:42] 推理的算力需求將會上升
[00:07:42 - 00:07:44] 這位算力相對較少的公司
[00:07:44 - 00:07:46] 提供了通過後訓練探索機會的可能
[00:07:46 - 00:07:49] 而越致按面在推理模型的研發上行動迅速
[00:07:49 - 00:07:51] 先後推出了多個推理模型
[00:07:51 - 00:07:54] 其它公司比如說DeepSync的RE
[00:07:54 - 00:07:57] 昆倫天公的SkyWalkOE等等也紛紛跟進
[00:07:57 - 00:07:59] 甚至在2024年的最後一天
[00:07:59 - 00:08:00] 智埔也發布了首個
[00:08:00 - 00:08:03] 基於擴展強化學習技術訓練的推理模型
[00:08:03 - 00:08:05] GLM Zero Preview
[00:08:05 - 00:08:07] 與技術路線的分歧相比
[00:08:07 - 00:08:08] 所有這些大模型公司
[00:08:08 - 00:08:10] 都面臨著商業化的嚴峻挑戰
[00:08:10 - 00:08:13] 红山资本提出的AI的6000亿美元问题
[00:08:13 - 00:08:15] 深刻的揭示着AI商业化收入
[00:08:15 - 00:08:17] 与巨额投资之间的巨大差距
[00:08:17 - 00:08:19] 在开源与必源的选择上
[00:08:19 - 00:08:21] 各家公司也有着不同的策略
[00:08:21 - 00:08:24] 像DeepSig采用了类似于Metal的开源路线
[00:08:24 - 00:08:26] 而质普 百传智能与零一万物等公司
[00:08:26 - 00:08:28] 则采用了部分开源的方式
[00:08:28 - 00:08:30] 也就是开源较小参数
[00:08:30 - 00:08:32] 或者不是最新版本的模型
[00:08:32 - 00:08:34] 而必源最强大的模型
[00:08:34 - 00:08:36] 质普作为最早开源的公司之一
[00:08:36 - 00:08:38] 凭借着先发优势取得了不错的成绩
[00:08:38 - 00:08:42] 他们的开源模型系列在全球的累计下载量超过了3000万
[00:08:42 - 00:08:46] 并且入选了Hug & Face平台最受欢迎的人工智能机构
[00:08:46 - 00:08:49] 百成智能的开源模型总下载量接近500万次
[00:08:49 - 00:08:54] 而015000的开源模型在Hug & Face上的累计下载次数大约为20万左右
[00:08:54 - 00:08:57] 在土壁和土C的商业化布局上
[00:08:57 - 00:08:59] 六小股大多采取了全面布局的策略
[00:08:59 - 00:09:01] 在C端市场
[00:09:01 - 00:09:03] 预知暗面和minimax表现较为突出
[00:09:03 - 00:09:05] 根据34TW的数据
[00:09:05 - 00:09:07] 截至2024年6月份
[00:09:07 - 00:09:10] Taukey的全球月活頁用戶數已經達到了1100萬
[00:09:10 - 00:09:13] 其中超過一半的用戶來自於美國
[00:09:13 - 00:09:15] 與Carter AI形成了有利的競爭
[00:09:15 - 00:09:16] 在2024年11月
[00:09:16 - 00:09:20] 楊智霖公布KIMI在10月份的全平台月活數量
[00:09:20 - 00:09:21] 超過了3600萬
[00:09:21 - 00:09:24] 在國內與字節跳動的產品直接競爭
[00:09:24 - 00:09:27] 接月星辰的多摩泰智能視覺搜索功能
[00:09:27 - 00:09:27] 拍照問
[00:09:27 - 00:09:29] 成為了國內首個集成到iPhone 16
[00:09:29 - 00:09:32] 相機控制鍵中的大模型應用產品能力
[00:09:32 - 00:09:34] 智普的智普青岩在2024年
[00:09:34 - 00:09:36] 已經有了2500萬的用戶
[00:09:36 - 00:09:39] 年化收入ARR超過千萬元人民幣
[00:09:39 - 00:09:42] 0億萬物則將C端產品的重心放在海外
[00:09:42 - 00:09:43] 根據李開富的透露
[00:09:43 - 00:09:47] 在海外的生產力工具應用總用戶接近了千萬
[00:09:47 - 00:09:49] 2024年的營收預計過億人民幣
[00:09:50 - 00:09:53] 而在B端領域定制化是大毛型應用面臨的一個難題
[00:09:53 - 00:09:56] 因為定制化往往會導致產品和服務難以標準化
[00:09:57 - 00:09:59] 商業模式也容易變成IT外包賣人頭
[00:10:00 - 00:10:01] 為了解決這個問題
[00:10:01 - 00:10:03] 六小壺普遍採用了Mess
[00:10:03 - 00:10:05] 也就是Model As A Service的方式
[00:10:05 - 00:10:07] 對外提供API接口來調用模型的能力
[00:10:07 - 00:10:10] 同時 除了月之按鍵的Kimi
[00:10:10 - 00:10:11] 只提供標準化的API之外
[00:10:11 - 00:10:14] 其他公司都在不同程度上深入到行業
[00:10:14 - 00:10:16] 提供個性化的行業解決方案
[00:10:16 - 00:10:19] 支付提出了三種土壁的商業化模式
[00:10:19 - 00:10:21] 包括標準化的API
[00:10:21 - 00:10:23] 雲端私有化解決方案和完全私有化的解決方案
[00:10:23 - 00:10:26] 並且強調自身定位為基座大模型
[00:10:26 - 00:10:29] 不直接涉及到具體行業的垂直模型應用開發
[00:10:29 - 00:10:32] 而是希望與合作夥伴共同深耕垂直行業
[00:10:32 - 00:10:35] 林一萬物發布了面向電商直播的數字人解決方案
[00:10:35 - 00:10:38] 和面向致算中心的AI Influen解決方案
[00:10:38 - 00:10:41] 百川智能則在醫療核心領域之外
[00:10:41 - 00:10:43] 還發布了金融領域的增強模型
[00:10:43 - 00:10:45] 除了技術和商業化方面的問題
[00:10:45 - 00:10:48] 大模型公司還面臨著其他許多不確定性的因素
[00:10:48 - 00:10:51] 比如說去年備受關注的越致案面
[00:10:51 - 00:10:53] 算創下了國內大模型領域
[00:10:53 - 00:10:54] 單比最大融資額的記錄
[00:10:54 - 00:10:56] 但是隨後就陷入了輿論風波
[00:10:56 - 00:11:00] 先是被報道核心成員楊志玲套現數千萬美金
[00:11:00 - 00:11:02] 接著又遭遇朱小虎訴訟罰難
[00:11:02 - 00:11:03] 相比之下
[00:11:03 - 00:11:07] 其他公司也或多或少都出現了核心人員流失的情況
[00:11:07 - 00:11:08] 這些人員有的選擇創業
[00:11:08 - 00:11:10] 有的則加入大廠
[00:11:10 - 00:11:13] 反映出了市場資源在向大廠流動的趨勢
[00:11:13 - 00:11:14] 在市場競爭方面
[00:11:14 - 00:11:16] 大廠的紅熙效應也越來越明顯
[00:11:16 - 00:11:18] 不僅吸引了大量的人才
[00:11:18 - 00:11:21] 還在業務上與大模型創業公司展開了直接的競爭
[00:11:21 - 00:11:24] 字節跳動就是一個典型的例子
[00:11:24 - 00:11:25] 在短短一年內
[00:11:25 - 00:11:27] 字節的AI戰略就實現了巨大的轉變
[00:11:27 - 00:11:30] 不僅有豆包這樣的基礎大模型
[00:11:30 - 00:11:31] 还推出了多卡AI应用
[00:11:31 - 00:11:34] 并且利用手中抖音等超级App的流量优势
[00:11:34 - 00:11:36] 在投流竞争中占据了有利地位
[00:11:36 - 00:11:38] 自从今年4月起
[00:11:38 - 00:11:40] 抖音就不再接受其他AI产品的投放
[00:11:40 - 00:11:42] 而在B端市场
[00:11:42 - 00:11:43] 火山行情掀起的价格站
[00:11:43 - 00:11:46] 也让整个行业的API价格不断下降
[00:11:46 - 00:11:48] 同时在大模型的招头标中
[00:11:48 - 00:11:49] 大厂的身影也越来越多
[00:11:49 - 00:11:51] 并且逐渐占据主导地位
[00:11:51 - 00:11:53] 回过2024年
[00:11:53 - 00:11:55] AI一天人间一年的狂标突进
[00:11:55 - 00:11:56] 正在慢慢的消退
[00:11:56 - 00:11:59] 各家大模型公司都在逐漸把節奏放緩下來
[00:11:59 - 00:12:01] 爭取先實現良好的現金流
[00:12:01 - 00:12:03] 大廢我感覺在2025年
[00:12:03 - 00:12:06] 大模型創業公司要面臨的挑戰會更多
[00:12:06 - 00:12:08] 尤其是國內大廠的強勢進入
[00:12:08 - 00:12:10] 很可能有人會快速出局
[00:12:10 - 00:12:11] 另一方面
[00:12:11 - 00:12:13] 由於國內投資環境的不景氣
[00:12:13 - 00:12:15] 目前看不到有更多新的
[00:12:15 - 00:12:17] 有實力的大模型出動公司出現
[00:12:17 - 00:12:18] 不管怎麼說
[00:12:18 - 00:12:20] 2025年AI還是會繼續的發展
[00:12:20 - 00:12:23] AJI也依舊是行業前進的一個目標
[00:12:23 - 00:12:26] 只不過我們經常會高估技術的短期作用
[00:12:26 - 00:12:28] 而低估基础的长期影响力
[00:12:28 - 00:12:30] 好了 感谢大家观看本期视频
[00:12:30 - 00:12:31] 我们下期再见
