BV号：BV19XASehEMu
标题：BV19XASehEMu
链接：https://www.bilibili.com/video/BV19XASehEMu
识别语言：zh
语言置信度：1
分段数：289
生成时间：2026-08-30 12:42:48

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在经典美剧《老有纪礼》
[00:01:52 - 00:01:54] 原型的边缘能够留下一定的空间
[00:01:54 - 00:01:56] 所以相比于正方形
[00:01:56 - 00:01:58] 通过拐角的能力就有所提升
[00:01:58 - 00:02:00] 不过数学家们追求的是最优点
[00:02:00 - 00:02:02] 这个面积显然还不够大
[00:02:02 - 00:02:04] 一定还有更加巧妙
[00:02:04 - 00:02:06] 面积更大的形状等待被发现
[00:02:06 - 00:02:08] 在不断探索的过程中
[00:02:08 - 00:02:09] 数学家们逐渐意识到
[00:02:09 - 00:02:11] 解决这个问题的关键
[00:02:11 - 00:02:14] 在要同时优化形状大小和穿越路径
[00:02:14 - 00:02:16] 这涉及到两种类型的运动
[00:02:16 - 00:02:18] 分别是滑动和旋转
[00:02:18 - 00:02:20] 只有让沙发在通过拐角的时候
[00:02:20 - 00:02:22] 巧妙的结合这两种运动方式
[00:02:22 - 00:02:24] 才有可能找到最大面积的形状
[00:02:24 - 00:02:27] 1968年英国数学家约翰·哈默斯利
[00:02:27 - 00:02:28] 取得了重要的突破
[00:02:29 - 00:02:30] 他发现可以从现有的形状上
[00:02:30 - 00:02:31] 抠出一大块
[00:02:31 - 00:02:33] 专门用来应对讨厌的拐脚
[00:02:33 - 00:02:35] 同时延伸半圆形
[00:02:35 - 00:02:37] 让沙发的面积变得更大
[00:02:37 - 00:02:38] 经过这样的设计
[00:02:38 - 00:02:40] 他创造出了一种形状
[00:02:40 - 00:02:42] 类似于坐机电话一样的沙发
[00:02:42 - 00:02:43] 这个沙发的面积达到了
[00:02:43 - 00:02:45] 2分之2加2分之2
[00:02:45 - 00:02:47] 大约是2.2074
[00:02:47 - 00:02:48] 这种新的形状混合了
[00:02:48 - 00:02:50] 华洞和旋转运动的优势
[00:02:50 - 00:02:52] 为后续的研究开辟了新的方向
[00:02:52 - 00:02:55] 自从哈莫斯利的电话型沙发出现以后
[00:02:55 - 00:02:56] 这个问题的研究
[00:02:56 - 00:02:58] 就陷入了长达24年的停滞期
[00:02:58 - 00:03:00] 直到1992年
[00:03:00 - 00:03:02] 罗格斯大学的约瑟夫.格佛
[00:03:02 - 00:03:03] 提出了一种更为巧妙的形状
[00:03:03 - 00:03:06] 让这个难题的研究再次取得了进展
[00:03:06 - 00:03:08] 格佛设计的沙发面积
[00:03:08 - 00:03:09] 越为2.2195
[00:03:09 - 00:03:11] 比哈莫斯利的沙发面积
[00:03:11 - 00:03:12] 还要大了一些
[00:03:12 - 00:03:13] 从外观上看
[00:03:13 - 00:03:15] 格佛的沙发和哈莫斯利的沙发
[00:03:15 - 00:03:16] 有些相似
[00:03:16 - 00:03:18] 但是仔细观察就会发现细微的差别
[00:03:19 - 00:03:21] 格伐的沙发有18个不同的部分组成
[00:03:22 - 00:03:24] 在圆形切口底部的斜角边缘
[00:03:24 - 00:03:26] 和哈梦斯利的沙发有所不同
[00:03:26 - 00:03:28] 格伐怀疑自己找到的这个形状
[00:03:28 - 00:03:30] 就是能够通过拐角的最大沙发形状
[00:03:30 - 00:03:32] 但是它却一直无法证明这一点
[00:03:33 - 00:03:33] 同样呢
[00:03:33 - 00:03:35] 数学家们虽然也怀疑
[00:03:35 - 00:03:37] 这就是利奥莫泽问题的答案
[00:03:37 - 00:03:38] 可惜由于缺乏有力的证明
[00:03:38 - 00:03:40] 始终不能确定
[00:03:40 - 00:03:42] 就在大家对这个难题感到迷茫的时候
[00:03:42 - 00:03:45] 一位年轻的博士后研究员拖影而出
[00:03:45 - 00:03:47] 他就是来自于首尔严世大学的白镇渊
[00:03:48 - 00:03:51] 2016年刚进入密歇根大学公读研究生的白镇渊
[00:03:51 - 00:03:53] 因为服兵意中断了学业
[00:03:53 - 00:03:54] 在服役期间
[00:03:54 - 00:03:57] 他偶然在一篇博客文章中看到了移动沙发问题
[00:03:57 - 00:04:01] 起初他只是把他当作工作之余放松姐妹的小游戏
[00:04:01 - 00:04:03] 但是随着思考的深入
[00:04:03 - 00:04:05] 他发现这个问题充满了挑战和魅力
[00:04:05 - 00:04:07] 于是决定认真的研究
[00:04:07 - 00:04:09] 他心中有了一个初步的想法
[00:04:09 - 00:04:13] 觉得或许能够证明格服的沙发就是正确答案
[00:04:13 - 00:04:15] 不过还有很多细节需要去完善
[00:04:15 - 00:04:18] 2021年 白镇院回到学校后
[00:04:18 - 00:04:21] 便下定决心要功课这个困扰学界多年的难题
[00:04:21 - 00:04:22] 在研究的道路上
[00:04:22 - 00:04:24] 白镇院其实并不是一番风顺
[00:04:24 - 00:04:25] 通常情况下
[00:04:25 - 00:04:27] 数学博士生会选择导师
[00:04:27 - 00:04:29] 然后由导师来分配研究的问题
[00:04:29 - 00:04:32] 但是白镇院一心想要研究移动沙发问题
[00:04:32 - 00:04:35] 这样他在寻找导师的时候遇到了困难
[00:04:35 - 00:04:37] 因为密歇根大学的教师们觉得
[00:04:37 - 00:04:39] 自己在这个领域缺乏足够的专业知识
[00:04:39 - 00:04:41] 都不太愿意指导他
[00:04:41 - 00:04:42] 幸运的是
[00:04:42 - 00:04:44] 代曙领域的专家麦克尔奇夫
[00:04:44 - 00:04:46] 被白镇渊的热情和执着所打动
[00:04:46 - 00:04:47] 同意指导他
[00:04:47 - 00:04:48] 奇夫表示
[00:04:48 - 00:04:49] 我从未指导过
[00:04:49 - 00:04:51] 与我研究领域相差这么远的学生
[00:04:51 - 00:04:53] 但是我愿意去尝试
[00:04:53 - 00:04:55] 正是这种跨领域的指导
[00:04:55 - 00:04:57] 为白镇渊的研究带来了新的视角和可能
[00:04:57 - 00:04:59] 在公督博士期间
[00:04:59 - 00:05:01] 白镇渊在于阿夫卡罗斯
[00:05:01 - 00:05:03] 和丹·罗米克等人研究的技术上
[00:05:03 - 00:05:04] 继续深入的探索
[00:05:04 - 00:05:07] 他开发了一个强大的计算工具
[00:05:07 - 00:05:08] 进一步缩小了面积的上限
[00:05:08 - 00:05:10] 取得了重要的阶段性成果
[00:05:10 - 00:05:12] 原本白镇渊打算毕业后
[00:05:12 - 00:05:14] 继续采用计算的方法
[00:05:14 - 00:05:16] 来彻底解决移动沙发的问题
[00:05:16 - 00:05:17] 但是几个月之后
[00:05:17 - 00:05:18] 他意识到
[00:05:18 - 00:05:19] 或许可以不依赖于计算机
[00:05:19 - 00:05:22] 通过纯的数学推理来完成证明
[00:05:22 - 00:05:23] 数学家们早已经知道
[00:05:23 - 00:05:25] 任何满足移动沙发问题的解
[00:05:25 - 00:05:28] 都需要具备一些特定的条件
[00:05:28 - 00:05:29] 比如说最优沙发
[00:05:29 - 00:05:31] 要能够以特定的方式旋转
[00:05:31 - 00:05:33] 底部需要有位走廊转角
[00:05:33 - 00:05:34] 流出空间的部分等等
[00:05:34 - 00:05:37] 满足这些条件的形状有无穷多个
[00:05:37 - 00:05:40] 而白正恩首先要做的就是缩小范围
[00:05:40 - 00:05:43] 他通过一系列复杂而巧妙的数学推理证明
[00:05:43 - 00:05:46] 最优形状至少与格伏的沙发是相似的
[00:05:46 - 00:05:47] 为了进一步研究
[00:05:47 - 00:05:50] 他将每个沙发表示为无线为空间中的一个点
[00:05:50 - 00:05:53] 理想情况下他希望找到一个函数
[00:05:53 - 00:05:55] 只需要输入点就能输出沙发的面积
[00:05:55 - 00:05:59] 这样就可以直接找到函数输出最大的时候所对应的点
[00:05:59 - 00:06:01] 也就是最优沙发的形状
[00:06:01 - 00:06:05] 但是由于不存在能够计算所有形状面积的通用公式
[00:06:05 - 00:06:07] 所以他决定另辟西境
[00:06:07 - 00:06:08] 间接研究形状的面积
[00:06:09 - 00:06:11] 白正烟发明了一个新的函数Q
[00:06:11 - 00:06:13] 并且定义了他的几个重要的属性
[00:06:13 - 00:06:16] 首先对于他所定义空间中的任何沙发
[00:06:16 - 00:06:19] Q的输出至少和沙发的面积一样大
[00:06:19 - 00:06:22] 它本质上测量的是包含沙发的一个形状的面积
[00:06:22 - 00:06:25] 这意味着如果能找到Q的最大值
[00:06:25 - 00:06:27] 就能够得到最优沙发面积的一个上限
[00:06:28 - 00:06:30] 更关键的是对于格佛的沙发
[00:06:30 - 00:06:32] 函数Q的输出恰好等于他的面积
[00:06:32 - 00:06:34] 所以白正烟只需要证明
[00:06:34 - 00:06:36] 当输入为格佛的沙发时
[00:06:36 - 00:06:38] Q能够取到最大值
[00:06:38 - 00:06:38] 就能够证明
[00:06:38 - 00:06:39] 格佛的沙发
[00:06:39 - 00:06:41] 是移动沙发问题的最优点
[00:06:41 - 00:06:44] 白正元精心构建的Q函数表现出色
[00:06:44 - 00:06:46] 它类似于一个简单的抛物线
[00:06:46 - 00:06:47] 相对容易找到最大值
[00:06:47 - 00:06:49] 经过了深入的研究之后
[00:06:49 - 00:06:50] 它证明了
[00:06:50 - 00:06:52] 经Q最大化得到的形状
[00:06:52 - 00:06:54] 需要满足一组特定的条件
[00:06:54 - 00:06:56] 而定义格佛沙发的方程
[00:06:56 - 00:06:57] 也满足这些条件
[00:06:57 - 00:06:58] 就这样
[00:06:58 - 00:06:59] 白正元成功解决了这个困扰
[00:06:59 - 00:07:01] 数学家们数十年的难题
[00:07:01 - 00:07:03] 证明了格佛的沙发是通过走廊
[00:07:03 - 00:07:06] 而且不被转角卡住的最大形状
[00:07:06 - 00:07:09] 白正烟的证明目前仍然在同行的评程中
[00:07:09 - 00:07:11] 他巧妙地结合了数学不同领域的技术
[00:07:11 - 00:07:13] 让这个原本极其困难的问题变得可解
[00:07:13 - 00:07:16] 而且全程没有借助计算机的帮助
[00:07:16 - 00:07:17] 他的导师齐夫评价到
[00:07:17 - 00:07:20] 白正烟能够不借助计算机完成证明
[00:07:20 - 00:07:21] 令人印象深刻
[00:07:21 - 00:07:23] 这表明其中有重要的新想法
[00:07:23 - 00:07:25] 而格佛在提出方案30多年以后
[00:07:25 - 00:07:27] 终于看到了问题被解决
[00:07:27 - 00:07:28] 他也感叹到
[00:07:28 - 00:07:29] 我现在75岁了
[00:07:29 - 00:07:32] 能够活着看到有人最终解决了这个问题
[00:07:32 - 00:07:33] 我觉得很幸运
[00:07:33 - 00:07:38] 接下来咱们稍微解读一下白正渊这篇119页论文的核心内容
[00:07:38 - 00:07:41] 前面我们提到过这个问题之所以如此的困难
[00:07:41 - 00:07:44] 很大程度上是因为没有一个通用的公式
[00:07:44 - 00:07:46] 可以计算所有可能的移动沙发的面积
[00:07:46 - 00:07:48] 为了解决这个难题
[00:07:48 - 00:07:50] 白正渊首先定义了格佛的沙发剂
[00:07:50 - 00:07:51] 及刻度标记
[00:07:51 - 00:07:55] 表示构成剂边界的18条解析曲线和线段的端点
[00:07:55 - 00:07:59] 以及灰色表示的包含剂的支撑走廊LT
[00:07:59 - 00:08:01] 这样以来我们就可以把移动沙发S
[00:08:01 - 00:08:03] 看作是旋转走廊的交集
[00:08:03 - 00:08:07] 随后它证明了一个成为单设性条件的性质
[00:08:07 - 00:08:10] 这个条件适用于最大面积的移动沙发S Max
[00:08:10 - 00:08:13] 对于满足该条件的每个移动沙发S
[00:08:13 - 00:08:15] 它都定义了一个更大的形状R
[00:08:15 - 00:08:17] R的形状类似于格佛的沙发
[00:08:17 - 00:08:21] 然后R的面积QS作为S面积的上限
[00:08:21 - 00:08:23] 并且当S是格佛的沙发G的时候
[00:08:23 - 00:08:26] QS恰好等于S的实际面积
[00:08:26 - 00:08:29] S的单设性条件确保了区域R的边界
[00:08:29 - 00:08:31] 会形成一个桥单曲线
[00:08:31 - 00:08:34] 这使得白镇冤能够利用隔离定理来计算QS
[00:08:35 - 00:08:36] 在具体的证明过程中
[00:08:36 - 00:08:38] 白镇冤主要做了一下三点
[00:08:38 - 00:08:42] 首先是将S Max的可能形状缩效为单调沙发
[00:08:42 - 00:08:45] 即由支撑走廊内角雕刻出凹横的凸体
[00:08:45 - 00:08:47] 然后证明S Max是单调的
[00:08:47 - 00:08:49] 即沙发在通过拐脚的过程中
[00:08:50 - 00:08:52] 各个部分的运动趋势是有规律的
[00:08:52 - 00:08:54] 以及S Max是平衡的
[00:08:54 - 00:08:56] 即沙发的边长互相平衡
[00:08:56 - 00:08:57] 保证在移动过程中
[00:08:57 - 00:09:00] 不会出现某一边过长或者是过短
[00:09:00 - 00:09:01] 导致卡住的情况
[00:09:02 - 00:09:04] 还有S Max具有旋转角2分之派
[00:09:04 - 00:09:07] 也就是能够以特定的角度顺利通过拐角
[00:09:07 - 00:09:11] 其次他证明了S Max满足单摄性的条件
[00:09:11 - 00:09:13] 最后在单摄性条件下
[00:09:13 - 00:09:15] 建立沙发面积的上界Q
[00:09:15 - 00:09:18] 为此他定义了2uC来确定Q的范围
[00:09:18 - 00:09:19] 定义了二次范函Q
[00:09:19 - 00:09:22] 并且证明了它是沙发面积的上界
[00:09:22 - 00:09:24] 同时还证明了Q是一个凹函数
[00:09:24 - 00:09:26] 最终证明了格伯的沙发
[00:09:26 - 00:09:28] 是Q函数的局部最优解
[00:09:28 - 00:09:29] 进而也是全局的最优解
[00:09:29 - 00:09:31] 在这篇论文发表之后
[00:09:31 - 00:09:33] 有不少网友在网上讨论
[00:09:33 - 00:09:35] 有人说这个结果非常直观
[00:09:35 - 00:09:36] 正如大多数人猜测的那样
[00:09:36 - 00:09:39] 不过证明这一点要困难得多
[00:09:39 - 00:09:41] 也有人贡献了自己的实际经验
[00:09:41 - 00:09:42] 那就是在现实生活中
[00:09:42 - 00:09:44] 答案取决于天花板的高度
[00:09:44 - 00:09:47] 以及沙发是否带有可倾斜的靠背
[00:09:47 - 00:09:47] 当然了
[00:09:47 - 00:09:49] 也许我们最应该吐槽的
[00:09:49 - 00:09:52] 还是墙角和沙发这个糟糕的设计组合
[00:09:52 - 00:09:55] 不知道大家怎么看这个移动沙发的最有解呢
[00:09:55 - 00:09:57] 在实际生活中碰到这种情况
[00:09:57 - 00:09:58] 大家又是如何解决呢
[00:09:58 - 00:09:59] 欢迎在评论区留言
[00:09:59 - 00:10:00] 感谢大家的观看
[00:10:00 - 00:10:01] 我们下期再见
