BV号：BV1HSGH6aEwH
标题：BV1HSGH6aEwH
链接：https://www.bilibili.com/video/BV1HSGH6aEwH
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-29 08:54:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 5月20日OpenAI发布了一篇博客文章
[00:02:58 - 00:03:00] O.N的三分之四次方
[00:03:00 - 00:03:01] 虽然后来有一些细化
[00:03:01 - 00:03:03] 但上界基本没变过
[00:03:03 - 00:03:05] 马图谢克还有阿龙
[00:03:05 - 00:03:06] 布希奇 少尔曼
[00:03:06 - 00:03:08] 研究了其他平面范术
[00:03:08 - 00:03:10] 证明大多数非O范术在
[00:03:10 - 00:03:13] 某种意义上都符合那个猜想
[00:03:13 - 00:03:14] 所以大家都觉得
[00:03:14 - 00:03:16] 艾尔德时的猜想应该是对的
[00:03:16 - 00:03:19] 为什么这个看似简单的上界猜想
[00:03:19 - 00:03:21] 近80年来都没人能证明或推翻
[00:03:21 - 00:03:24] 原因在于几何和组合的深层矛盾
[00:03:24 - 00:03:26] 你想要仅可能多的单位距离对子
[00:03:26 - 00:03:28] 但当你增加点的数量时
[00:03:28 - 00:03:30] 几何约束会迅速叠加
[00:03:30 - 00:03:32] 越来越难同时满足
[00:03:32 - 00:03:33] 想象一下
[00:03:33 - 00:03:34] 如果你有一个点A
[00:03:34 - 00:03:37] 距离它1的所有点都在一个圆周上
[00:03:37 - 00:03:38] 如果你有两个点A和B
[00:03:38 - 00:03:40] 距离都是1那么距离
[00:03:40 - 00:03:42] A是1的点和距离
[00:03:42 - 00:03:45] B是1的点的交集就会变得非常受限
[00:03:45 - 00:03:47] 当你有N个点时
[00:03:47 - 00:03:48] 这种约束会迅速叠加
[00:03:48 - 00:03:52] 要找到一个能突破N的1加O1界限的构造
[00:03:52 - 00:03:55] 需要一种完全不同的思维方式
[00:03:55 - 00:03:57] OpenAI的模型是怎么解决这个问题的
[00:03:57 - 00:03:59] 有个很离谱的地方
[00:03:59 - 00:04:00] 模型没有在几何学里此刻
[00:04:00 - 00:04:02] 而是跑到了代数数论领域
[00:04:02 - 00:04:05] 代数数论研究代数数域里的分解
[00:04:05 - 00:04:07] 也就是整数的推广
[00:04:07 - 00:04:10] 比如高斯整数就是A加拜的形式
[00:04:10 - 00:04:12] 其中A和B是整数
[00:04:12 - 00:04:13] I是虚数单位
[00:04:13 - 00:04:15] 埃尔德时原来的下界
[00:04:15 - 00:04:17] 其实就是用高斯整数来理解的
[00:04:17 - 00:04:20] 高思整数有唯一分解成素数这样的性质
[00:04:20 - 00:04:23] 新的论证把高思整数换成了
[00:04:23 - 00:04:25] 代数数轮里更复杂的推广形式
[00:04:25 - 00:04:28] 这些推广形式有更丰富的对称性
[00:04:28 - 00:04:30] 能创造出多的多的单位长度差
[00:04:30 - 00:04:32] 具体的论证用到了无限类域塔
[00:04:32 - 00:04:35] 和戈洛德沙法列为习定理
[00:04:35 - 00:04:38] 来证明论证需要的数域确实存在
[00:04:38 - 00:04:41] 这些思想在代数数轮家里是众所周知的
[00:04:41 - 00:04:44] 但此前几乎没人把这套工具真正
[00:04:44 - 00:04:46] 用到欧基里德平面上的几何问题里
[00:04:46 - 00:04:48] 这是一个非常意外的联系
[00:04:48 - 00:04:52] 这就是AI做出来的东西和人类数学家做出来的东西的区别
[00:04:52 - 00:04:55] 人类数学家在一个领域里花了20年
[00:04:55 - 00:04:58] 对所有技巧了如指掌就会在这个领域里继续深挖
[00:04:58 - 00:05:01] 即使知道其他领域有工具也不一定会想到去用
[00:05:01 - 00:05:03] AI没有这种执念
[00:05:03 - 00:05:06] 它可以自由的在不同的知识域之间跳跃
[00:05:06 - 00:05:08] 遇到问题时它可能会发现结构
[00:05:08 - 00:05:11] 和代数数论里的某个东西很像
[00:05:11 - 00:05:13] 然后尝试使用那个工具
[00:05:13 - 00:05:16] 这就是为什么AI能做出人类数学家想不到的东西
[00:05:16 - 00:05:19] OpenAI公开了一份重写后的推理摘要
[00:05:19 - 00:05:23] 这份推理摘要至少呈现出一种偏向构造反例的探索策略
[00:05:23 - 00:05:27] 模型绝大多数时间都在尝试构造一个反例
[00:05:27 - 00:05:29] 来打破大家普遍相信的上线
[00:05:29 - 00:05:31] 而不是尝试证明那个猜想
[00:05:31 - 00:05:34] 如果一个猜想已经被相信了近80年
[00:05:34 - 00:05:36] 直接证明它可能是死路一条
[00:05:36 - 00:05:40] 尝试构造一个反例虽然看起来希望渺茫
[00:05:40 - 00:05:42] 但如果成功了收获会更大
[00:05:42 - 00:05:44] 这种反向思维需要极强的
[00:05:44 - 00:05:46] 数学直觉和对问题的深刻理解
[00:05:46 - 00:05:50] AI能做到这一点说明它不仅仅是在应用已知的技巧
[00:05:50 - 00:05:52] 而是真的在做创意性的数学思考
[00:05:53 - 00:05:54] 为什么这个突破这么重要
[00:05:54 - 00:05:55] OpenAI强调
[00:05:55 - 00:05:58] 这个证明不是来自专门训练来做数学的模型
[00:05:59 - 00:06:01] 也不是搭了一个搜索证明策略的架子
[00:06:01 - 00:06:04] 更不是专门针对这个单位距离问题的
[00:06:04 - 00:06:06] 它就是一个通用的推理模型
[00:06:06 - 00:06:08] 在测试前沿研究能力时
[00:06:08 - 00:06:10] 刚好试了一堆埃尔德时的问题
[00:06:10 - 00:06:11] 结果它找到了解法
[00:06:11 - 00:06:15] 用的还是此前几乎没人在这个领域想过的工具
[00:06:15 - 00:06:19] 这至少提示这一类推理能力可能具有跨领域迁移的潜力
[00:06:19 - 00:06:22] 如果一个通用模型能在数学上做出这样的突破
[00:06:22 - 00:06:25] 它在其他领域也可能做出类似的事情
[00:06:25 - 00:06:28] 比如用高能物理的方法解决生物学问题
[00:06:28 - 00:06:31] 或者用拓不学的方法解决计算机科学问题
[00:06:31 - 00:06:34] 这让人兴奋也让人有点不安
[00:06:34 - 00:06:35] 在人类的知识体系里
[00:06:35 - 00:06:38] 最稀缺的能力不是某个领域的深度
[00:06:38 - 00:06:42] 而是跨領域的聯想能力深度可以通過時間積累
[00:06:42 - 00:06:45] 聯想能力需要對多個領域有足夠的理解
[00:06:45 - 00:06:47] 還要有足夠的想像力去看到
[00:06:47 - 00:06:49] 不相關的領域之間的聯繫
[00:06:49 - 00:06:51] 這是一種非常罕見的能力
[00:06:51 - 00:06:54] 能做到這一點的人都成了偉大的科學家
[00:06:54 - 00:06:57] 達芬奇既是藝術家又是工程師
[00:06:57 - 00:07:00] 暗音斯坦既研究物理又研究哲學
[00:07:00 - 00:07:03] 逢諾伊曼既做數學又做物理
[00:07:03 - 00:07:04] 還做計算機科學
[00:07:04 - 00:07:06] 現在AI開始展現出這種能力
[00:07:06 - 00:07:08] 我们可能正在进入一个
[00:07:08 - 00:07:10] AI不再是某个领域的专家
[00:07:10 - 00:07:13] 而是跨领域的创意引擎的时代
[00:07:13 - 00:07:15] 菲尔兹蒋得主蒂莫希·高尔斯
[00:07:15 - 00:07:16] 在配套论文里说
[00:07:16 - 00:07:18] 如果这是一篇人类投稿
[00:07:18 - 00:07:19] 给数学年刊的论文
[00:07:19 - 00:07:20] 让他快速给个意见
[00:07:20 - 00:07:22] 他会毫不犹豫地推荐录用
[00:07:22 - 00:07:24] 这是他的个人快速意见
[00:07:24 - 00:07:25] 不等于数学年刊
[00:07:25 - 00:07:26] 已经接收或完成了
[00:07:26 - 00:07:27] 正式的同行评审
[00:07:27 - 00:07:29] 但是说明这个证明
[00:07:29 - 00:07:29] 已经达到了
[00:07:29 - 00:07:32] 顶级数学期刊的质量水平
[00:07:32 - 00:07:33] 不仅仅是正确
[00:07:33 - 00:07:34] 而且是有创意
[00:07:34 - 00:07:35] 有深度有意义的
[00:07:36 - 00:07:38] 顶尖书论学者阿洛尔·尚卡尔认为
[00:07:38 - 00:07:41] 这篇论文证明了现在的AI模型
[00:07:41 - 00:07:43] 不仅仅是人类数学家的助手
[00:07:43 - 00:07:46] 他们有能力产生独创的巧妙的想法
[00:07:46 - 00:07:47] 并且把这些想法实现出来
[00:07:47 - 00:07:49] 这是对AI能力的重新评估
[00:07:50 - 00:07:52] 这里有一个很多人忽视的关键点
[00:07:52 - 00:07:54] OpenAI的证明发表后
[00:07:54 - 00:07:56] 一群外部数学家写了一篇配套论文
[00:07:56 - 00:07:59] 解释了这个论证给结果的意义提供了更多背景
[00:08:00 - 00:08:03] 这篇配套论文比单独的原始解决方案丰富得多
[00:08:03 - 00:08:06] 托马斯、布鲁姆在配套注释离险
[00:08:06 - 00:08:08] 评估AI生成的证明时他问自己
[00:08:08 - 00:08:11] 这交给了我们关于这个问题的新知是吗
[00:08:11 - 00:08:13] 现在我们对离散几何更了解了吗
[00:08:13 - 00:08:15] 他认为答案是有保留的肯定
[00:08:15 - 00:08:17] AI找到了证明
[00:08:17 - 00:08:20] 但人类数学家的工作让这个证明变得有意义
[00:08:20 - 00:08:22] 人类数学家通过配套论文
[00:08:22 - 00:08:24] 解释了为什么这个证明重要
[00:08:24 - 00:08:27] 带数数论和离散几何之间为什么有这样的联系
[00:08:27 - 00:08:30] 以及这个联系对整个数学体系意味着什么
[00:08:30 - 00:08:32] 这就是新的合作模式
[00:08:32 - 00:08:34] OpenAI的证明稿也明确说明
[00:08:34 - 00:08:36] 最终呈现出来的论文不是
[00:08:36 - 00:08:38] 模型原始输出的逐字版本
[00:08:38 - 00:08:40] 而是经过人类编辑
[00:08:40 - 00:08:41] 补充引用重组证明
[00:08:41 - 00:08:43] 和外部数学家检查后的版本
[00:08:43 - 00:08:47] 从AI的原始输出到最后的正式论文
[00:08:47 - 00:08:49] 中间经历了多个环节的人类参与
[00:08:49 - 00:08:51] 这些参与涉及到论证的理解
[00:08:51 - 00:08:53] 简化 优化和验证
[00:08:53 - 00:08:55] 整个过程变得透明
[00:08:55 - 00:08:57] AI提供了创意的源头和核心思路
[00:08:57 - 00:09:00] 人类数学家负责把它变成
[00:09:00 - 00:09:04] 可以被整个数学社区理解、信任和应用的知识
[00:09:04 - 00:09:09] 布鲁姆说,未来几个月到几年,很多代数数轮专家会仔细看看
[00:09:09 - 00:09:14] 离散几何里的其他开放问题,我们会在数学很多其他领域看到类似的成功
[00:09:14 - 00:09:18] 通过AI揭示出意外的联系,把现有的技术推到极限
[00:09:18 - 00:09:21] 从而解决长期悬而未决的问题
[00:09:21 - 00:09:24] AI正在帮助我们更完整地探索数学大教堂
[00:09:24 - 00:09:26] 数学的发展经常是这样的
[00:09:26 - 00:09:28] 某个领域的人发现了一个新工具
[00:09:28 - 00:09:30] 应用到其他不相关的领域产生突破
[00:09:30 - 00:09:33] 复理业分析最初是为了研究热传导
[00:09:33 - 00:09:37] 后来应用到信号处理、量子力学、数论等领域
[00:09:37 - 00:09:39] 范畴论最初为了研究带数拓扑
[00:09:39 - 00:09:42] 后来成了现代数学的基础语言
[00:09:42 - 00:09:43] AI可能会加速这个过程
[00:09:43 - 00:09:46] 它自动发现这些跨领域的联系
[00:09:46 - 00:09:47] 然后把工具搬过来
[00:09:47 - 00:09:49] 数学的发展速度会加快
[00:09:49 - 00:09:50] 这也适用于其他领域
[00:09:50 - 00:09:53] 如果一个模型能让复杂的论证保持联冠
[00:09:53 - 00:09:56] 把知识里很远的领域的想法连起来
[00:09:56 - 00:09:58] 铲出能通过专家检查的工作
[00:09:58 - 00:10:00] 那么这些能力在生物
[00:10:00 - 00:10:03] 物理材料、科学工程、医学里也都是有用的
[00:10:03 - 00:10:05] 在生物学里
[00:10:05 - 00:10:07] AI可能会发现蛋白质折叠的问题
[00:10:07 - 00:10:09] 和物理学里的对称性破绝有关
[00:10:09 - 00:10:10] 在物理学里
[00:10:10 - 00:10:14] AI可能会发现量子现象和数论问题的结构很像
[00:10:14 - 00:10:15] 在材料科学里
[00:10:15 - 00:10:17] AI可能会发现新材料的性质
[00:10:17 - 00:10:20] 可以用化学领域的工具来解释
[00:10:20 - 00:10:22] 每一个发现都可能导致重大的突破
[00:10:22 - 00:10:23] 有几个常见的误解
[00:10:23 - 00:10:24] 误解1
[00:10:25 - 00:10:26] AI只是在做计算
[00:10:26 - 00:10:28] 很多人觉得AI就是在做高速计算
[00:10:28 - 00:10:30] 给它一个问题
[00:10:30 - 00:10:31] 它快速便利所有可能性
[00:10:31 - 00:10:32] 找到答案
[00:10:32 - 00:10:34] 这个证明不是这样做的
[00:10:34 - 00:10:36] 它涉及到深刻的数学动差
[00:10:36 - 00:10:39] 它需要理解代数数论的核心概念
[00:10:39 - 00:10:41] 理解离散几何的问题结构
[00:10:41 - 00:10:43] 然后看到两者之间的联系
[00:10:43 - 00:10:44] 这不是计算这是创意
[00:10:44 - 00:10:45] 误解2
[00:10:45 - 00:10:48] AI只是人类数学家的助手
[00:10:48 - 00:10:51] 很多人觉得AI就是帮人类数学家验证计算
[00:10:51 - 00:10:53] 查找文献整理思路
[00:10:53 - 00:10:56] AI已经有能力产生原创的强妙的想法
[00:10:56 - 00:10:57] 并且把它们实现出来
[00:10:57 - 00:11:00] 在某些环节AI可能先提出方向
[00:11:00 - 00:11:02] 人类再验证消化改写和拓展
[00:11:02 - 00:11:04] 这次事件就是这样
[00:11:04 - 00:11:05] 原始证明由AI给出
[00:11:05 - 00:11:08] 最终搞经过人类研究者AI辅助验证
[00:11:08 - 00:11:11] 外部数学家检查检划和加强
[00:11:11 - 00:11:12] 误解3
[00:11:12 - 00:11:13] 这只是一个特例
[00:11:13 - 00:11:15] 有人觉得这可能只是个特例
[00:11:15 - 00:11:16] AI碰巧成功了
[00:11:16 - 00:11:19] 这个模型不是专门训练来做数学的
[00:11:19 - 00:11:21] 它是一个通用的推理模型
[00:11:21 - 00:11:24] 这至少提示这种能力可能在其他领域也会出现
[00:11:24 - 00:11:26] 未来几年我们可能会看到
[00:11:26 - 00:11:29] 研究者在更多数学问题
[00:11:29 - 00:11:32] 以及物理化学生物工程等领域测试类似能力
[00:11:32 - 00:11:34] 这件事最大的意义是什么
[00:11:34 - 00:11:35] 不是推翻了一个数学猜想
[00:11:35 - 00:11:38] 而是结实了一个新的人之框架
[00:11:38 - 00:11:40] 跨界连接是创新的终极源权
[00:11:40 - 00:11:43] 我们通常把知识看成数形结构
[00:11:43 - 00:11:44] 数学是一个分支
[00:11:44 - 00:11:46] 物理是另一个分支
[00:11:46 - 00:11:48] 生物是第三个分支
[00:11:48 - 00:11:51] 实际上知识的真实结构是一个网络
[00:11:51 - 00:11:52] 在这个网络里
[00:11:52 - 00:11:55] 每个知识节点都可能和其他节点有联系
[00:11:55 - 00:11:57] 但大多数联系人类还没有发现
[00:11:57 - 00:11:59] 人类的注意力是有限的
[00:11:59 - 00:12:02] 一个数学家花了20年在代数说论上
[00:12:02 - 00:12:03] 对细节了如指掌
[00:12:03 - 00:12:06] 但他可能对离散几何一无所知
[00:12:06 - 00:12:09] 永远不会看到这两个领域之间的联系
[00:12:09 - 00:12:12] AI更容易在大规模文本化知识之间建立候选连接
[00:12:12 - 00:12:13] 遇到问题时
[00:12:13 - 00:12:16] 他可以快速搜索整个知识网络
[00:12:16 - 00:12:17] 找到最相关的工具
[00:12:17 - 00:12:20] 这就是为什么AI能做出人类想不到的东西
[00:12:20 - 00:12:22] 创意的本质就是把两个
[00:12:22 - 00:12:25] 看起来不相关的东西连起来
[00:12:25 - 00:12:27] 乔布斯说过 创意就是连接
[00:12:27 - 00:12:31] 把代数数论和离散几何连起来就产生了创意
[00:12:31 - 00:12:34] 把艺术和技术连起来就产生了创意
[00:12:34 - 00:12:36] 把商业和人文连起来就产生了创意
[00:12:36 - 00:12:39] AI现在展现出的就是这种连接的能力
[00:12:39 - 00:12:42] 如果AI能自动发现这些跨领域的联系
[00:12:42 - 00:12:44] 未来的研究方式会是什么呀
[00:12:44 - 00:12:45] 人类研究者提出问题
[00:12:45 - 00:12:47] AI搜索知识网络
[00:12:47 - 00:12:49] 找到可能有用的工具和想法
[00:12:49 - 00:12:51] 人类研究者评估这些想法
[00:12:51 - 00:12:53] 决定哪些值得深入追求
[00:12:53 - 00:12:54] 这是一种新的分工
[00:12:54 - 00:12:56] 人类的角色不再是
[00:12:56 - 00:12:57] 做所有的思考和计算
[00:12:57 - 00:12:59] 而是做最高级的判断
[00:12:59 - 00:13:00] 什么问题值得解决
[00:13:00 - 00:13:02] 什么想法值得追求
[00:13:02 - 00:13:03] 什么结果值得发表
[00:13:03 - 00:13:07] AI的角色是做最高级的搜索和连接
[00:13:07 - 00:13:09] 在知识网络里快速移动
[00:13:09 - 00:13:10] 找到最有希望的路径
[00:13:10 - 00:13:12] 这种合作比人类单独工作
[00:13:12 - 00:13:15] 或者AI单独工作都要强大
[00:13:15 - 00:13:16] 未来会怎么样
[00:13:16 - 00:13:18] 未来几年我们可能会看到更多研究者
[00:13:18 - 00:13:21] 在数学和其他科学领域测试之类能力
[00:13:21 - 00:13:23] 如果出现类似突破也不会太意外
[00:13:23 - 00:13:25] 可能是物理学理的难题
[00:13:25 - 00:13:27] 化学理的反应机制
[00:13:27 - 00:13:29] 或者生物学理的蛋白质结构
[00:13:29 - 00:13:31] 每一个突破都会进一步证实
[00:13:31 - 00:13:33] AI的这种跨界连接能力是真实的
[00:13:33 - 00:13:37] 随着AI越来越多地参与到创造性的工作里
[00:13:37 - 00:13:39] 研究生态会发生改变
[00:13:39 - 00:13:40] 研究的速度会加快
[00:13:40 - 00:13:42] AI可以快速搜索知识空间
[00:13:42 - 00:13:43] 尝试各种想法
[00:13:43 - 00:13:45] 研究的方向會改變
[00:13:45 - 00:13:48] AI會發現人類研究者從未想過的方向
[00:13:48 - 00:13:50] 研究的門檻會降低
[00:13:50 - 00:13:54] AI可以幫助非專家快速學習和應用一個領域的知識
[00:13:54 - 00:13:57] 長期來看這會導致人類知識的加速演化
[00:13:57 - 00:14:00] 我們已經看到了摩爾定律在芯片上的表現
[00:14:00 - 00:14:03] 現在我們可能會看到類似的加速在知識的發展上
[00:14:03 - 00:14:06] 每一個新的發現都會為下一個發現打下基礎
[00:14:06 - 00:14:09] AI的參與會加速這個過程
[00:14:09 - 00:14:10] 在未來的幾十年裡
[00:14:10 - 00:14:13] 人類知識的增長速度可能會遠遠超過過去幾個世紀
[00:14:13 - 00:14:15] 在这样的未来里
[00:14:15 - 00:14:16] 人类的角色是什么
[00:14:16 - 00:14:18] 人类是问题的定义者
[00:14:18 - 00:14:19] 什么问题值得解决
[00:14:19 - 00:14:21] 这是人类的判断
[00:14:21 - 00:14:22] 人类是方向的选择者
[00:14:22 - 00:14:24] 在AI提出的众多可能性中
[00:14:24 - 00:14:26] 哪一个最有意义
[00:14:26 - 00:14:27] 这是人类的选择
[00:14:27 - 00:14:29] 人类是意义的权势者
[00:14:29 - 00:14:30] AI找到解决方案时
[00:14:30 - 00:14:32] 它对人类社会意味着什么
[00:14:32 - 00:14:34] 这是人类的权势
[00:14:34 - 00:14:35] 人类的一部分工作重心
[00:14:35 - 00:14:37] 会从亲自执行每一步
[00:14:37 - 00:14:38] 转向定义问题
[00:14:38 - 00:14:40] 判断方向和解释意义
[00:14:40 - 00:14:42] 这是一个巨大的转变
[00:14:42 - 00:14:43] 也是一个必然的转变
[00:14:43 - 00:14:45] 如果AI能做的事情越来越多
[00:14:45 - 00:14:48] 人类能做的事情必然要越来越集中
[00:14:48 - 00:14:50] 在那些只有人类才能做的事情上
[00:14:50 - 00:14:53] 也就是思考判断 选择全事
[00:14:53 - 00:14:55] 总结一下这期视频的核心观点
[00:14:55 - 00:14:58] OpenAI推翻了埃尔德时的平面单位距离猜想
[00:14:58 - 00:15:00] 看起来是一个数学上的突破
[00:15:00 - 00:15:02] 实际上它标志着一个更大的转变
[00:15:02 - 00:15:05] AI从工具进化成了创意引擎
[00:15:05 - 00:15:07] 这个转变会改变科研的方式
[00:15:07 - 00:15:10] 改变知识的发展速度最终改变人类的未来
[00:15:10 - 00:15:12] 我们正站在一个新时代的门槛上
[00:15:12 - 00:15:15] 就像几百年前望远京刚发明的时候
[00:15:15 - 00:15:17] 或者计算机刚出现的时候
[00:15:17 - 00:15:19] 你知道有什么重要的事情正在发生
[00:15:19 - 00:15:23] 但还不完全清楚它会带来什么未来会怎么样
[00:15:23 - 00:15:24] 我不知道
[00:15:24 - 00:15:25] 但至少有一点可以肯定
[00:15:25 - 00:15:28] AI会越来越多地参与到创造性的工作里
[00:15:28 - 00:15:29] 不只是执行
[00:15:29 - 00:15:31] 而是开始探索和发现
[00:15:31 - 00:15:34] 我们要做的可能就是学会和它一起工作
[00:15:34 - 00:15:36] 找到最好的方式来利用这种能力
[00:15:36 - 00:15:39] 同时不失去我们自己的判断力和创造力
[00:15:39 - 00:15:40] 这是一个新的时代
[00:15:40 - 00:15:42] 我们都是见证者
[00:15:42 - 00:15:45] 如果你觉得这期视频有启发,欢迎点赞投币收藏。
[00:15:45 - 00:15:48] 一键三连支持一下,我们下期见。
