BV号：BV1wsoBY8EnC
标题：BV1wsoBY8EnC
链接：https://www.bilibili.com/video/BV1wsoBY8EnC
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-30 10:04:52

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 在人工智能 非素發展的今天
[00:00:05 - 00:00:07] 我們仿佛置身於一場科技盛宴之中
[00:05:49 - 00:05:51] 是依赖于自监督学习
[00:05:51 - 00:05:53] 比如说 对于文本删除部分单词
[00:05:53 - 00:05:55] 来训练神经网络预测缺失的单词
[00:05:55 - 00:05:57] 对图像删除部分的内容
[00:05:57 - 00:05:59] 来训练它来恢复完整的图像
[00:05:59 - 00:06:01] 视频也是类似的原理
[00:06:01 - 00:06:04] 但是这种方法在视频领域的效果不佳
[00:06:04 - 00:06:07] 是因为在高度连续的视频空间中
[00:06:07 - 00:06:09] 表示所有可能真的概率分布
[00:06:09 - 00:06:10] 在数学上是难以处理的
[00:06:10 - 00:06:14] 而VJPAN則利用了一種全新的非生成池架構
[00:06:14 - 00:06:16] 它不再試圖重建書物的一部分
[00:06:16 - 00:06:18] 而是生成一種書物的抽象表徵
[00:06:18 - 00:06:21] 具體來說就是獲取一個視頻
[00:06:21 - 00:06:22] 掩蓋其中的大部分內容
[00:06:22 - 00:06:25] 然後將完整的視頻和損壞的視頻
[00:06:25 - 00:06:27] 都輸入到神經網絡中
[00:06:27 - 00:06:28] 生成兩個視頻的表徵
[00:06:28 - 00:06:30] 再訓練一個預測器
[00:06:30 - 00:06:31] 從損壞的視頻的表徵
[00:06:31 - 00:06:33] 來預測完整視頻的表徵
[00:06:33 - 00:06:35] 通過這種方式訓練的系統
[00:06:35 - 00:06:38] 能夠忽略書物中真正不可預測的細節
[00:06:38 - 00:06:40] 專注於學習視頻的內在結構
[00:06:40 - 00:06:41] 和抽象特征
[00:06:41 - 00:06:42] 实验结果表明
[00:06:42 - 00:06:45] VJIPA系统在大量自然视频上训练之后
[00:06:45 - 00:06:47] 能够识别出不可能的视频场景
[00:06:47 - 00:06:49] 比如说物体消失 改变形状
[00:06:50 - 00:06:51] 或者是小球滚动之后
[00:06:51 - 00:06:53] 不符合物理规律的场景
[00:06:53 - 00:06:55] 当系统检测到这些异常的时候
[00:06:55 - 00:06:57] 预测误差会急剧的增加
[00:06:57 - 00:06:58] 这就表明它已经具备了
[00:06:58 - 00:07:00] 一定的物理常识
[00:07:00 - 00:07:02] 而且VJIPA还可以通过表示
[00:07:02 - 00:07:05] 世界在某一时刻的状态和采取的行动
[00:07:05 - 00:07:07] 来预测下一时刻的状态
[00:07:07 - 00:07:09] 进而实现推理和计划的功能
[00:07:09 - 00:07:11] 比方说给他一个目标
[00:07:11 - 00:07:12] 他能够通过搜索
[00:07:12 - 00:07:14] 找出达到这个目标的行动序列
[00:07:14 - 00:07:16] 这是传统大原模型难以做到的
[00:07:16 - 00:07:17] 接下来
[00:07:17 - 00:07:18] 杨丽坤对于OpenI
[00:07:18 - 00:07:20] 以大原模型为核心的发展路线
[00:07:20 - 00:07:21] 表示了担忧
[00:07:21 - 00:07:23] 虽然得以拆的GPD的爆火
[00:07:23 - 00:07:26] OpenI在去年拿到了66亿美元的融资
[00:07:26 - 00:07:27] 但是杨丽坤认为
[00:07:27 - 00:07:30] 这种投资可能无法证明是合理的
[00:07:30 - 00:07:32] 因为仅仅依靠扩展大原模型
[00:07:32 - 00:07:34] 无论投入多少资金和数据
[00:07:34 - 00:07:36] 都无法达到人类水平的人工智能
[00:07:36 - 00:07:37] OpenI的发展方向
[00:07:37 - 00:07:40] 目前也还存在着很多的不确定性
[00:07:40 - 00:07:42] 虽然它可能希望通过大量的数据训练
[00:07:42 - 00:07:44] 让系统能够回答任何的问题
[00:07:44 - 00:07:46] 但是这与真正具备创新能力
[00:07:46 - 00:07:48] 和解决新问题能力的智能
[00:07:48 - 00:07:49] 还有很大的距离
[00:07:49 - 00:07:52] 这就好比是在建造一座高楼
[00:07:52 - 00:07:53] 只注重增加楼层的数量
[00:07:53 - 00:07:56] 却不考虑建筑结构和基础的稳固性
[00:07:56 - 00:07:58] 最终可能无法建成理想中的大厦
[00:07:58 - 00:08:00] 在这个基础上
[00:08:00 - 00:08:02] 杨丽坤还指出了AI领域的一些发展风险
[00:08:02 - 00:08:04] 当前AI领域的过度炒作
[00:08:04 - 00:08:06] 就像是吹起了一个巨大的泡沫
[00:08:06 - 00:08:09] 如果投资最终没有能够转化为实际的成果
[00:08:09 - 00:08:12] 那么很可能会导致AI寒冬的再次降临
[00:08:12 - 00:08:13] 回国历史
[00:08:13 - 00:08:15] 20世纪80年代早期
[00:08:15 - 00:08:17] 人们对于当时的专家系统充满了热情
[00:08:17 - 00:08:19] 日本政府还启动了所谓的
[00:08:19 - 00:08:21] 第五代计算机的大型项目
[00:08:21 - 00:08:24] 但是最终因为技术的局限性和应用的狭战性
[00:08:24 - 00:08:27] 这次热潮在90年代中期消退
[00:08:27 - 00:08:28] 现在虽然AI在某些方面
[00:08:28 - 00:08:30] 取得了显出的进展
[00:08:30 - 00:08:32] 但是实际部署可靠的AI系统
[00:08:32 - 00:08:34] 仍然面临着巨大的挑战
[00:08:34 - 00:08:35] 自动驾驶技术
[00:08:35 - 00:08:38] 十年前就已经有了令人惊叹的演示
[00:08:38 - 00:08:39] 但是至今我们都还没有
[00:08:39 - 00:08:42] L5级别的自动驾驶汽车出现
[00:08:42 - 00:08:44] 也没有能够实现最后几个百分点的可靠性
[00:08:44 - 00:08:48] 甚至将它与现有的系统集成都是困难重重
[00:08:48 - 00:08:51] 同样的IBM Wilson曾经试图通过学习医学
[00:08:51 - 00:08:53] 然后不处在医院来盈利
[00:08:53 - 00:08:54] 结果却以失败高中
[00:08:54 - 00:08:56] 还让IBM付出了惨重的代价
[00:08:56 - 00:08:58] 甚至CEO都离职了
[00:08:58 - 00:08:59] 这些都在警示我们
[00:08:59 - 00:09:01] 在追求AI发展的过程中
[00:09:01 - 00:09:02] 不能够盲目乐观
[00:09:02 - 00:09:05] 要清醒的认识到其中的困难和风险
[00:09:05 - 00:09:06] 在这样的背景下
[00:09:07 - 00:09:08] 开源的优势就越来越凸显出来
[00:09:09 - 00:09:11] 杨丽坤认为开源世界的进步更快
[00:09:11 - 00:09:13] 他能够从全球招募人才
[00:09:13 - 00:09:15] 汇聚各种不同的想法和创造力
[00:09:16 - 00:09:16] 像DeepSig
[00:09:16 - 00:09:18] 他是由一个小团队开发的
[00:09:18 - 00:09:19] 在相对自由的环境下
[00:09:19 - 00:09:21] 提出了许多创新的想法
[00:09:21 - 00:09:22] 重塑了做事情的方式
[00:09:23 - 00:09:25] 当这些知识在开源社区分享的时候
[00:09:25 - 00:09:28] 整个AI领域都能够从中受益共同进步
[00:09:28 - 00:09:30] 而且开源解决方案
[00:09:30 - 00:09:31] 不仅在创新方面表现出色
[00:09:31 - 00:09:34] 在成本和安全性上也有明显的优势
[00:09:34 - 00:09:36] 运行开源模型的成本更低
[00:09:36 - 00:09:38] 许多企业在产品部署阶段
[00:09:38 - 00:09:40] 都会从使用专有的API
[00:09:40 - 00:09:42] 转向使用拉马等等开源引擎
[00:09:42 - 00:09:44] 因为这样可以节省大量的成本
[00:09:44 - 00:09:47] 而且开源解决方案提供了更多的控制权
[00:09:47 - 00:09:50] 他们可以在本地运行大大提高了安全性
[00:09:50 - 00:09:52] 这就好比你住在自己盖的房子里
[00:09:52 - 00:09:53] 不仅成本低
[00:09:53 - 00:09:56] 还能根据自己的需求自由的改造
[00:09:56 - 00:09:57] 住得更加安心
[00:09:57 - 00:10:00] 此外 开源还打破了地域和机构的限制
[00:10:00 - 00:10:03] 讓世界各地的科學家都能夠參與到AI的發展中來
[00:10:03 - 00:10:06] 楊立坤提到了2015年的論文RestNight
[00:10:06 - 00:10:09] 論文中描述了一種全新的神經網絡架構
[00:10:09 - 00:10:12] 使得訓練集身神經網絡成為了可能
[00:10:12 - 00:10:14] 而這篇論文的第一作者何凱明
[00:10:14 - 00:10:16] 當時就在微軟亞洲研究院工作
[00:10:16 - 00:10:17] 這充分證明
[00:10:17 - 00:10:20] 創新並不是某個地區或者是機構的專利
[00:10:20 - 00:10:22] 而開源可以讓全球的智慧得以匯聚
[00:10:22 - 00:10:24] 共同推動AI技術的進步
[00:10:24 - 00:10:27] 而對於未來通用人工智能AGI的發展趨勢
[00:10:27 - 00:10:29] 楊立坤也有著自己的判斷
[00:10:29 - 00:10:32] 他认为不会有一个秘密的灵丹妙药
[00:10:32 - 00:10:35] 由一家公司或者是一群人发病出来
[00:10:35 - 00:10:36] 然后就能够解决所有的问题
[00:10:37 - 00:10:39] 实现AGI需要许多不同的想法
[00:10:39 - 00:10:42] 大量的努力以及一些作为基础的原则
[00:10:42 - 00:10:44] 这不是一个一处而就的过程
[00:10:44 - 00:10:46] 不会有一个单一的决定性时刻
[00:10:46 - 00:10:48] 比如说在这个时间点之前没有AGI
[00:10:48 - 00:10:50] 之后就突然拥有了
[00:10:50 - 00:10:53] 真正的AGI应该是一个持续的概念性的发展过程
[00:10:53 - 00:10:55] 随着时间的推移
[00:10:55 - 00:10:57] 各种想法不断的扩大和规模化
[00:10:57 - 00:10:59] 逐渐发挥出更好的作用
[00:10:59 - 00:11:01] 這就像是建造一座宏偉的城市
[00:11:01 - 00:11:04] 需要眾多的建築師、工程師和工人的共同努力
[00:11:04 - 00:11:07] 歷經漫長的時間才能夠逐漸的成形
[00:11:07 - 00:11:10] 好了 以上就是楊麗昆這次訪談的一些主要觀點了
[00:11:10 - 00:11:13] 我們這兩年確實看到了AI的巨大發展
[00:11:13 - 00:11:16] 但是也不能夠被當前的成就充昏頭腦
[00:11:16 - 00:11:18] 也要看到背後的缺陷和風險
[00:11:18 - 00:11:21] 當然了 也不是說我們要在困難前就退縮
[00:11:21 - 00:11:23] 而是說應該找到更好的解決辦法
[00:11:23 - 00:11:27] 或者說是向楊麗昆所說的提出正確的問題
[00:11:27 - 00:11:31] 希望今天的分享能夠讓大家對AI的現狀和未來有著更加清晰的認識
[00:11:31 - 00:11:33] 感謝大家的觀看 我們下期再見
