BV号：BV1CQJDzEEPC
标题：BV1CQJDzEEPC
链接：https://www.bilibili.com/video/BV1CQJDzEEPC
识别语言：zh
语言置信度：1
分段数：229
生成时间：2026-08-29 22:47:55

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:03 - 00:00:05] 在当今人工智能高速发展的时代
[00:03:29 - 00:03:33] 甲骨文不需要签订数十兆瓦的大规模容量合同
[00:03:33 - 00:03:36] 而这类合同通常需要更长的承诺期限
[00:03:36 - 00:03:37] 到了2022年之后
[00:03:37 - 00:03:41] 尽管OCI的业务已经发展到了数十亿美元规模
[00:03:41 - 00:03:44] 但是仍比Azer和AWS小仪的数量级
[00:03:44 - 00:03:46] 它虽然也在获取一些市场份额
[00:03:46 - 00:03:49] 但是更多的还是受益于客户的云转型
[00:03:49 - 00:03:51] 而不是靠赢得心的客户
[00:03:51 - 00:03:54] 或者将他们从AWS和Ashe牵一过来
[00:03:55 - 00:03:58] 随着Chat GPT的兴起和英伟达的快速发展
[00:03:58 - 00:04:01] 数据中心市场开始进入了容量受限的环境
[00:04:01 - 00:04:04] 数据中心的开发商要求签订10年以上的合同
[00:04:05 - 00:04:06] 才能够提供大规模的容量
[00:04:07 - 00:04:09] 由于超大规模云服务商的需求非常强劲
[00:04:10 - 00:04:13] 分配给企业的10兆瓦以下容量就相应变得稀缺了
[00:04:13 - 00:04:15] 于是甲骨文也面临着选择
[00:04:15 - 00:04:18] 与超大规模云服务商的竞争对手相比
[00:04:18 - 00:04:20] 甲骨文的规模较小
[00:04:20 - 00:04:23] 承诺数百兆瓦容量并且签订15年期限的合同
[00:04:23 - 00:04:25] 会带来巨大的闲置成本风险
[00:04:25 - 00:04:28] 此外还存在对收入增长过度承诺的风险
[00:04:28 - 00:04:30] 以及地理位置上的风险
[00:04:30 - 00:04:33] 比如如果把新的数据中心建在波特兰
[00:04:33 - 00:04:36] 而大部分客户需求来自于达拉斯怎么办
[00:04:36 - 00:04:37] 没想到的是
[00:04:37 - 00:04:39] 拉里埃里森愿意承担这个风险
[00:04:39 - 00:04:43] 在2023年11月到2025年1月期间
[00:04:43 - 00:04:45] 甲骨文承诺了超过两几瓦的容量
[00:04:45 - 00:04:48] 成为同期美国最大的数据中心容量租赁商
[00:04:48 - 00:04:49] 从规模上看
[00:04:49 - 00:04:54] 两级瓦的租赁数据中心容量相当于每年大约30亿美元的费用
[00:04:54 - 00:04:57] 超过了OCI在2022财年的总收入
[00:04:57 - 00:04:59] 合同期限也大幅地延长
[00:04:59 - 00:05:01] 2010年以上的合同开始成为常态
[00:05:01 - 00:05:03] 而甲骨文订单的吉亚增长也表明
[00:05:03 - 00:05:06] 它能够立即将GPU集群销售给客户
[00:05:06 - 00:05:09] 这位他在AI计算市场的崛起奠定了基础
[00:05:10 - 00:05:12] 甲骨文成功的关键
[00:05:12 - 00:05:15] 在于它能够利用一种介于新兴的云服务商
[00:05:15 - 00:05:19] 一般简称为NeoCloud和超大规模云服务商
[00:05:19 - 00:05:23] 一般称为Hyperscaler之间的混合基础设施策略
[00:05:23 - 00:05:26] 我们可以称之为投资级的新兴云服务商
[00:05:26 - 00:05:30] 客观来说目前甲骨文还没有数据中心自建能力
[00:05:30 - 00:05:34] 这和其他能够结合自建和租赁的超大规模云服务商相比
[00:05:34 - 00:05:35] 是一个明显的劣势
[00:05:35 - 00:05:39] 后者通常会利用自建的方式来建设大型的计算集群
[00:05:39 - 00:05:41] 这里就要提到数据中心市场
[00:05:41 - 00:05:43] 通常的两种模式
[00:05:43 - 00:05:43] 首先
[00:05:43 - 00:05:47] 超大规模云服务商往往会选择在非常偏远的地区
[00:05:47 - 00:05:49] 自建大型计算集群
[00:05:49 - 00:05:52] 比如谷歌在爱赫华州的康斯尔布拉夫斯
[00:05:52 - 00:05:54] Meta在俄勒岡州的普林威尔
[00:05:54 - 00:05:57] 和新墨西哥州的洛斯罗纳斯
[00:05:57 - 00:06:01] 这些地区有着充足的扩展潜力和廉价电力
[00:06:01 - 00:06:01] 同时
[00:06:01 - 00:06:05] 超大规模云服务商还会自行投资光纤等基础设施
[00:06:05 - 00:06:06] 其次
[00:06:06 - 00:06:07] 数据中心开发商
[00:06:07 - 00:06:09] 比如Digital Realty
[00:06:09 - 00:06:11] 则通常会在大都市的周边建设数据中心
[00:06:11 - 00:06:14] 比如靠近华盛顿特区的阿什本
[00:06:14 - 00:06:15] 硅谷或者达拉斯
[00:06:15 - 00:06:17] 这些地区连接性好
[00:06:17 - 00:06:18] 靠近中端客户
[00:06:18 - 00:06:20] 因为租赁市场
[00:06:20 - 00:06:21] 其实很大程度上
[00:06:21 - 00:06:22] 还是一个房地产游戏
[00:06:22 - 00:06:24] 所以在高需求市场的资产
[00:06:24 - 00:06:27] 更有可能在数十年内保持价值
[00:06:27 - 00:06:28] 这种靠近中端客户的思维
[00:06:28 - 00:06:31] 使得位于一级市场的数据中心资产
[00:06:31 - 00:06:32] 对Asheer, AWS
[00:06:32 - 00:06:34] 谷歌云和甲骨文云来说
[00:06:34 - 00:06:36] 非常有吸引力
[00:06:36 - 00:06:37] 这与微软CEO
[00:06:37 - 00:06:38] 薩迪阿納德拉经常提到的
[00:06:38 - 00:06:41] 可替代性的概念完美的契合
[00:06:41 - 00:06:43] 随着AI竞赛的开始
[00:06:43 - 00:06:44] 超大规模云服务商
[00:06:44 - 00:06:46] 开始加速自建数据中心
[00:06:46 - 00:06:47] 并且在2023年底
[00:06:47 - 00:06:50] 开始建设多个几瓦集的数据中心
[00:06:50 - 00:06:51] 甲骨文最初的反应是
[00:06:51 - 00:06:53] 与传统的托管合作伙伴
[00:06:53 - 00:06:55] 比如Digital Realty和QTS
[00:06:55 - 00:06:57] 在大城市的周边进行扩展
[00:06:57 - 00:06:58] 此外
[00:06:58 - 00:07:00] 甲骨文还想获取一些
[00:07:00 - 00:07:01] 不太成熟市场的容量
[00:07:01 - 00:07:03] 比如延护成地区
[00:07:03 - 00:07:05] 但是由于一级市场过于拥挤
[00:07:05 - 00:07:08] 许多二级市场难以满足电力需求
[00:07:08 - 00:07:10] 很难获得接近几瓦集的数据中心
[00:07:10 - 00:07:12] 来确保最大的AI合同
[00:07:12 - 00:07:14] 比如2023年和2024年初
[00:07:14 - 00:07:18] 为数不多的合适场地都被微软给提前租令了
[00:07:18 - 00:07:19] 于是
[00:07:19 - 00:07:21] 这就催生了一个新的市场戏分
[00:07:21 - 00:07:24] 也就是AI优先的数据中心开发商
[00:07:24 - 00:07:25] 这些新进入者
[00:07:25 - 00:07:28] 通常来自于加密货币挖矿领域
[00:07:28 - 00:07:31] 他们明白电力已经成为AI首要的考虑因素
[00:07:31 - 00:07:33] 并且利用现有的互联协议
[00:07:33 - 00:07:34] 在远离人口中心
[00:07:34 - 00:07:37] 但是电力充足的地方来规划大型数据中心
[00:07:37 - 00:07:40] Core Scientific 与Core Wave 的570兆瓦交易
[00:07:40 - 00:07:42] 就是一个很好的例子
[00:07:42 - 00:07:43] 然而
[00:07:43 - 00:07:45] 由于缺乏资质和自建替代方案
[00:07:45 - 00:07:47] 这些AI优先的开发商
[00:07:47 - 00:07:48] 很难获得超大规模
[00:07:48 - 00:07:49] 云服务商的客户
[00:07:49 - 00:07:50] 他们的目标市场
[00:07:51 - 00:07:52] 仍然是新兴的云服务商领域
[00:07:53 - 00:07:55] 但是由于许多企业的信用平级较低
[00:07:55 - 00:07:57] 无法签订十年以上的合同
[00:07:57 - 00:07:58] 从而导致融资困难
[00:07:59 - 00:07:59] 没想到
[00:08:00 - 00:08:01] 甲骨文却看到了这个市场缺口
[00:08:01 - 00:08:05] 还将他看作是参与大型AI合同市场的机会
[00:08:05 - 00:08:08] 他在德克萨斯州的阿比林找到了一个极瓦吉的场地
[00:08:08 - 00:08:11] 并与当时名义上是加密货币挖矿公司
[00:08:11 - 00:08:13] 缺乏数据中心经验的Crucil
[00:08:13 - 00:08:15] 签订了15年的数据中心协议
[00:08:15 - 00:08:18] 尽管Crucil拥有一支值得信赖的团队
[00:08:18 - 00:08:22] 但是这家公司此前从来没有执行过如此规模的项目
[00:08:22 - 00:08:23] 根据估计
[00:08:23 - 00:08:25] 2024年中期签订的第一份合同
[00:08:25 - 00:08:28] 涵盖了大约220兆瓦的IT容量
[00:08:28 - 00:08:32] 2025年初又签订了大约660兆瓦的扩建合同
[00:08:32 - 00:08:36] 使得合同的总价值达到了大约150-200亿美元
[00:08:36 - 00:08:37] 换句话说
[00:08:37 - 00:08:40] 甲骨文承诺每年将支付超过10亿美元
[00:08:40 - 00:08:41] 持续15年
[00:08:41 - 00:08:44] 这么多的钱竟然给到了一个缺乏经验的开发商
[00:08:44 - 00:08:47] 简直可以称得上市一场豪赌
[00:08:47 - 00:08:50] 即使OpenAI承诺购买原区中的所有计算容量
[00:08:50 - 00:08:53] 为期5年的合同对于OpenAI来说
[00:08:53 - 00:08:55] 就意味着每年将近100亿美元的费用
[00:08:55 - 00:08:58] 而OpenAI在2024年中期的年化收入
[00:08:58 - 00:09:00] 也就约为20亿美元
[00:09:00 - 00:09:02] 而且处于高度亏损状态
[00:09:02 - 00:09:04] 所以甲骨文的这个堵住
