BV号：BV1aSZeBFEJj
标题：BV1aSZeBFEJj
链接：https://www.bilibili.com/video/BV1aSZeBFEJj
识别语言：zh
语言置信度：1
分段数：150
生成时间：2026-08-29 21:19:06

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 今天我们聊点实在的
[00:02:25 - 00:02:26] 两件事
[00:02:26 - 00:02:27] 第一大计算块
[00:02:27 - 00:02:28] 假设
[00:02:28 - 00:02:30] 这是阿墨代仪的核心观点
[00:02:30 - 00:02:32] 它说别扯那些花里胡哨的
[00:02:32 - 00:02:34] AI的进步就看七个东西
[00:02:35 - 00:02:37] 计算量数据量数据质量
[00:02:37 - 00:02:38] 训练时长
[00:02:38 - 00:02:41] 一个能无限扩展的目标函数
[00:02:41 - 00:02:44] 还有保证系统稳定的技术就这么简单粗暴
[00:02:44 - 00:02:45] 只要这几样东西跟得上
[00:02:45 - 00:02:48] 模型能力就会沿着指数曲线一直往上冲
[00:02:48 - 00:02:49] 第二
[00:02:49 - 00:02:51] AI正在构建AI这是最可怕的地方
[00:02:51 - 00:02:54] OpenAI最新的技术文档里写着
[00:02:54 - 00:02:57] 他们的新模型是第一个在创造自己的过程中
[00:02:57 - 00:02:59] 发挥了重要作用的模型
[00:02:59 - 00:03:02] AI用自己来调试自己,部署自己,诊断自己
[00:03:02 - 00:03:05] 这是一个已经开始的智能爆炸的避还
[00:03:05 - 00:03:08] 每一代AI都在帮助创造一个更聪明的下一代
[00:03:08 - 00:03:10] 而且速度越来越快
[00:03:10 - 00:03:13] 人类正在慢慢地从这个循环中被挤出去
[00:03:13 - 00:03:15] 这个逻辑会带来什么?
[00:03:15 - 00:03:16] 系统性的重构
[00:03:16 - 00:03:19] 软件开发,过去我们搭机幕一样
[00:03:19 - 00:03:20] 依赖各种库
[00:03:20 - 00:03:24] 未来AI可以直接从零开始写一个完整的应用
[00:03:24 - 00:03:27] 什么依赖什么技术债在无限重现能力面前
[00:03:27 - 00:03:29] 都变得不那么重要了
[00:03:29 - 00:03:32] 强类型适合形式验证的语言会崛起
[00:03:32 - 00:03:34] 因为那是AI喜欢的而不是人类喜欢的
[00:03:34 - 00:03:35] 开源社区
[00:03:35 - 00:03:37] 过去大家因为热爱
[00:03:37 - 00:03:39] 因为交流而聚集在一起写代码
[00:03:39 - 00:03:42] 未来当大部分代码是AI读AI写的时候
[00:03:42 - 00:03:44] 这种人类社区的动机还在吗
[00:03:44 - 00:03:45] 可能会崩塌
[00:03:45 - 00:03:47] 你的工作法律研究
[00:03:47 - 00:03:50] 财务分析报告写作内容创作
[00:03:50 - 00:03:53] 所有基于信息处理和模式识别的认知工作
[00:03:53 - 00:03:55] 都在这个打击范围之内
[00:03:55 - 00:03:56] 所以怎么办?
[00:03:56 - 00:04:00] 别指望我给你一个未来最赚钱的三个技能这种标准答案
[00:04:00 - 00:04:02] 我只能给你一个思考框架
[00:04:02 - 00:04:04] 一个反标准答案的标准答案
[00:04:04 - 00:04:07] 第一 放弃一朝先吃遍天的幻想
[00:04:07 - 00:04:09] 不要再问我应该学什么技能
[00:04:09 - 00:04:11] 这个问题本身就错了
[00:04:11 - 00:04:13] 因为你学任何单一技能的速度
[00:04:13 - 00:04:15] 都比不上AI的进步速度
[00:04:15 - 00:04:17] 你要学的是如何定义问题
[00:04:17 - 00:04:19] 提出假设以及做出判断
[00:04:19 - 00:04:22] 这些是AI目前还无法完全替代的
[00:04:22 - 00:04:24] 也是价值最高的部分
[00:04:24 - 00:04:26] 第二把AI当成你的外包大脑
[00:04:26 - 00:04:29] 你要做的不是跟它比谁算得快写得快
[00:04:29 - 00:04:32] 而是把它当成一个可以无限压榨的实习生
[00:04:32 - 00:04:33] 你的核心竞争力
[00:04:33 - 00:04:36] 变成了你向这个实习生提问的水平
[00:04:36 - 00:04:39] 以及你整合修正它产出的能力
[00:04:39 - 00:04:40] 你的价值从执行者
[00:04:40 - 00:04:44] 变成了项目的总设计师和最终制建员
[00:04:44 - 00:04:46] 第三花钱买最好的工具
[00:04:46 - 00:04:47] 然后把它用到极致
[00:04:47 - 00:04:49] 别再守着那个免费板了
[00:04:49 - 00:04:51] 你必须去体验最前沿的能力
[00:04:51 - 00:04:53] 才能理解炮弹已经达到哪里了
[00:04:53 - 00:04:56] 就像那个律师事务所的合伙人
[00:04:56 - 00:04:58] 他每天花几个小时跟AI一起工作
[00:04:58 - 00:05:02] 他说这就像拥有一个及时响应的顶级助理团队
[00:05:02 - 00:05:03] 他不是在玩
[00:05:03 - 00:05:05] 他是在未来布局
[00:05:05 - 00:05:08] 所以今天讨论的这一切不是为了販卖焦虑
[00:05:08 - 00:05:11] 恰恰相反是为了让你从被动的焦虑中走出来
[00:05:11 - 00:05:13] 转为主动的思考和行动
[00:05:13 - 00:05:14] 我想留一个问题给大家
[00:05:14 - 00:05:17] 如果未来认知能力本身变得像电力一样
[00:05:17 - 00:05:21] 成为一种可以随时调用的廉价的基础资源
[00:05:21 - 00:05:25] 那么你个人的不可被复制的价值到底是什么
[00:05:25 - 00:05:26] 把你的思考打在评论区
[00:05:26 - 00:05:28] 好,今天就聊到这里
[00:05:28 - 00:05:29] 我是为什么叫QQ
[00:05:29 - 00:05:31] 我们下期再见
[00:05:31 - 00:05:33] 别忘了点赞,关注,转发,一键三连
