BV号：BV1WtQaYvEG4
标题：BV1WtQaYvEG4
链接：https://www.bilibili.com/video/BV1WtQaYvEG4
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-08-30 11:13:28

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 如今我们会有一个基本的认识
[00:01:33 - 00:01:34] 为了应对这个问题
[00:01:34 - 00:01:37] 混合专家模型MOE就应运而生了
[00:01:37 - 00:01:40] MOE的核心思路是通过吸收激活专家
[00:01:40 - 00:01:42] 来节武计算和参数
[00:01:42 - 00:01:43] 简单来说
[00:01:43 - 00:01:45] 就是把模型的不同功能模块
[00:01:45 - 00:01:46] 看作是不同的专家
[00:01:46 - 00:01:47] 在处理任务的时候
[00:01:47 - 00:01:49] 只让相关的专家工作
[00:01:49 - 00:01:51] 这样就可以减少不必要的计算
[00:01:51 - 00:01:53] 但是在推理场景中
[00:01:53 - 00:01:54] MOE却遇到了麻烦
[00:01:54 - 00:01:56] 因为大模型在推理的时候
[00:01:56 - 00:01:58] 通常是一个字一个字的生成内容
[00:01:58 - 00:02:01] 这时候P大小和序列的长度都很小
[00:02:01 - 00:02:02] 在这种情况下
[00:02:02 - 00:02:05] MOE的所有专家往往都会被全部的访问到
[00:02:05 - 00:02:07] 就像是在一个小超市里
[00:02:07 - 00:02:09] 所有人同时都去拿东西
[00:02:09 - 00:02:12] 一下子就会把这个通道都堵得水泄不通
[00:02:12 - 00:02:14] 所以就非常容易遇到访问的平静
[00:02:14 - 00:02:16] 导致推的延迟大幅的增加
[00:02:16 - 00:02:19] 我们刚才提到的成绩建计PKM加工
[00:02:19 - 00:02:22] 应该说PKM最早提出了大计一层
[00:02:22 - 00:02:24] 也就是large memory layer
[00:02:24 - 00:02:28] 这个大技艺层里面包含了数量庞大的西叔参数值Y6
[00:02:28 - 00:02:30] 每个Y6就是一个项量
[00:02:30 - 00:02:34] 在推理的时候每个Token会根据一个航路游和一个列路游
[00:02:34 - 00:02:36] 定位到得分最高的几个Y6
[00:02:36 - 00:02:39] 然后激活这些Y6并做加权求和持化
[00:02:39 - 00:02:42] 然后得到的结果在作为技成的输出
[00:02:42 - 00:02:44] 这种方法的好处是
[00:02:44 - 00:02:48] 每个Token在推理的时候只会激活极少数的Y6
[00:02:48 - 00:02:49] 所以不会遇到访问的平静
[00:02:49 - 00:02:51] 但是它也有自己的缺点
[00:02:51 - 00:02:53] 那就是模型的效果很差
[00:02:53 - 00:02:55] 而且死Glinn的能力也比较差
[00:02:55 - 00:02:58] 这就好比是一个人虽然做事很轻松
[00:02:58 - 00:02:59] 不会累着
[00:02:59 - 00:03:00] 但是他总是做不好
[00:03:00 - 00:03:03] 而且也很难通过增加工作量
[00:03:03 - 00:03:05] 来提高整体的成果质量一样
[00:03:05 - 00:03:08] 既然moe和pkm都存在着不足
[00:03:08 - 00:03:10] 有没有什么更好的办法呢
[00:03:10 - 00:03:11] 豆包的大模型Foundation团队
[00:03:11 - 00:03:14] 就提出了Automime这个全新的西数模型架构
[00:03:14 - 00:03:16] 他参考了pkm的设计
[00:03:16 - 00:03:19] 但是针对于pkm的缺陷进行了补充
[00:03:19 - 00:03:21] 在保证模型效果的前期下
[00:03:21 - 00:03:23] 成功解决了推力的平静问题
[00:03:23 - 00:03:26] 同时还降低了显存和部署的成本
[00:03:26 - 00:03:28] 那么AutoMap是如何做到的呢
[00:03:28 - 00:03:31] 首先它在模型结构方面进行了优化
[00:03:31 - 00:03:33] 在PKM的设计中既一层只有一层
[00:03:33 - 00:03:36] 而且插在了整个Transformer的中间层
[00:03:36 - 00:03:39] 这种设计对于大规模的训练不太友好
[00:03:39 - 00:03:41] 因为这么庞大的吸收参数
[00:03:41 - 00:03:44] 应该尽可能多的参与到每次的残差连接中
[00:03:44 - 00:03:46] 这样才能够更好的发挥作用
[00:03:46 - 00:03:47] 就像是搭机幕一样
[00:03:47 - 00:03:50] 每一块机幕都应该充分的利用起来
[00:03:50 - 00:03:52] 才能够搭出更为坚固更复杂的结构
[00:03:52 - 00:03:55] 于是OttoMap团队想到了一个巧妙的办法
[00:03:55 - 00:03:58] 他们拆分出了多个小的记忆层
[00:03:58 - 00:04:01] 然后以固定的间隔分布在Transformer层中
[00:04:01 - 00:04:03] 这样一来模型在运行的时候
[00:04:03 - 00:04:06] 就可以并行地执行记忆层的独起显存操作
[00:04:06 - 00:04:08] 和Transformer层的计算大大提高了效率
[00:04:08 - 00:04:11] 不仅如此他们还增加了Scape Layer的操作
[00:04:11 - 00:04:14] 也就是当前记忆层的输出会加到后面
[00:04:14 - 00:04:16] 某个Transformer层的输出种
[00:04:16 - 00:04:19] 这就像是给模型内部搭建了一条快速通道
[00:04:19 - 00:04:21] 让信息的传递更加高效
[00:04:21 - 00:04:22] 其次呢
[00:04:22 - 00:04:24] automime还优化了Y6的检索方式
[00:04:24 - 00:04:25] 在检索的时候
[00:04:25 - 00:04:28] 只有分数最高的m个Y6会被激活
[00:04:28 - 00:04:32] pkm的分数是通过航分数加上列分数得到的
[00:04:32 - 00:04:36] 而automime团队探索了一种更为复达的惩罚方法
[00:04:36 - 00:04:38] tucker分解查询见检索
[00:04:38 - 00:04:39] 简称tdqkr
[00:04:39 - 00:04:42] 这种方法的灵感来源于tucker分解
[00:04:42 - 00:04:43] 具体来说
[00:04:43 - 00:04:44] 给定一组y6
[00:04:44 - 00:04:46] 它的形状是nnh
[00:04:46 - 00:04:48] 其中h是隐藏层的维度
[00:04:48 - 00:04:50] 那么y6的分数sgrid
[00:04:50 - 00:04:52] 可以进行如下的分解
[00:04:52 - 00:04:53] 在这个结构下
[00:04:53 - 00:04:56] 每个Y6的分数是由R个行分数
[00:04:56 - 00:04:57] 和R个列分数的成绩
[00:04:57 - 00:04:59] 和相加组合而成的
[00:04:59 - 00:05:00] 复达度更高
[00:05:00 - 00:05:02] 也就意味着检索更加精准
[00:05:02 - 00:05:03] 打个比方说
[00:05:03 - 00:05:06] 以前找东西可能只能是大概的看一下
[00:05:06 - 00:05:08] 而现在有了更为精确的方法
[00:05:08 - 00:05:10] 能够更快更准确的找到所需要的信息
[00:05:11 - 00:05:11] 最后
[00:05:11 - 00:05:13] OttoMIME还提出了
[00:05:13 - 00:05:14] 隐士扩展西叔参数的方法
[00:05:15 - 00:05:15] 通常来说
[00:05:15 - 00:05:17] 更多的西叔参数
[00:05:17 - 00:05:18] 通常会带来更好的效果
[00:05:18 - 00:05:22] 但是过多的参数又会给显存和部署带来麻烦
[00:05:22 - 00:05:24] 这就像是你想在房间里放更多的东西
[00:05:24 - 00:05:26] 但是空间有限
[00:05:26 - 00:05:27] 你还得考虑能不能放得下
[00:05:27 - 00:05:31] 于是OtterMine团队提出了隐世值扩展
[00:05:31 - 00:05:32] 简称IVE的方法
[00:05:32 - 00:05:35] 同时引入了虚拟内存和物理内存的概念
[00:05:35 - 00:05:36] 以4倍扩展为例
[00:05:36 - 00:05:39] 虚拟内存的数量是物理内存的4倍
[00:05:39 - 00:05:40] 具体来说
[00:05:40 - 00:05:42] 给定多个分数所引对之后
[00:05:42 - 00:05:45] 会首先根据虚拟内存地址表进行查找
[00:05:45 - 00:05:48] 4个虚拟块会查询同一个物理内存表
[00:05:48 - 00:05:50] 之后各自做加权求和持化
[00:05:50 - 00:05:52] 然后经过不同的线性层
[00:05:52 - 00:05:53] 最后在求和输出
[00:05:53 - 00:05:56] 由于最后的线性层和取Y6之间
[00:05:56 - 00:05:57] 没有任何的非线性操作
[00:05:57 - 00:06:01] 所以每个线性层都可以和物理内存表做融合
[00:06:01 - 00:06:02] 生成一个全新的内存表
[00:06:02 - 00:06:03] 这样一来
[00:06:03 - 00:06:06] 实际上就隐士扩展了4倍的Y6数量
[00:06:06 - 00:06:07] 既增加了参数
[00:06:07 - 00:06:10] 又不会给显存和部数带来太大的压力
[00:06:10 - 00:06:12] 那么OutroMIME的实际效果到底怎么样
[00:06:12 - 00:06:14] 研究团队进行了一系列的实验
[00:06:14 - 00:06:20] 他们在151M、680M、1.6B三个尺寸的激活参数上进行了实验
[00:06:20 - 00:06:23] 并且保证了Moe、PKM和AutoMAM的总期数参数
[00:06:23 - 00:06:25] 保持在了激活参数的12倍
[00:06:25 - 00:06:27] 这样对比起来更加公平
[00:06:27 - 00:06:29] 从实验结果来看
[00:06:29 - 00:06:32] AutoM在680M、1.6B规模的模型上
[00:06:32 - 00:06:34] 展现出了显著的效果优势
[00:06:34 - 00:06:36] 在多个性能指标评估中
[00:06:36 - 00:06:38] AutoMAM的表现都十分出色
[00:06:38 - 00:06:41] 比如说在Trivia QA问答任务上
[00:06:41 - 00:06:43] AutoMAM 680M X12模型的得分
[00:06:43 - 00:06:45] 达到了55.17
[00:06:45 - 00:06:49] 而MOE680M2英33模型只有34.19
[00:06:49 - 00:06:53] PKM680MX12模型为46.31
[00:06:53 - 00:06:55] 在Helisweig常识推理任务中
[00:06:55 - 00:06:58] Altraman 1.6BX12模型得分为71.52
[00:06:59 - 00:07:02] MOE1.6B2英34模型是67.34
[00:07:03 - 00:07:06] PKM1.6BX12模型为65.45
[00:07:06 - 00:07:08] 这些数据都充分的表明
[00:07:08 - 00:07:11] Altraman在模型的性能上超越了MOE和PKM
[00:07:11 - 00:07:14] 年轻人员还关注了西叔参数对于
[00:07:14 - 00:07:16] 奥特曼姆效果和推理速度的影响
[00:07:16 - 00:07:18] 从实验数据来看
[00:07:18 - 00:07:19] 随着西叔参数的增加
[00:07:19 - 00:07:21] 奥特曼姆的效果提升和损失值
[00:07:21 - 00:07:24] LOSS的下降呈现出了对数关系
[00:07:24 - 00:07:26] 也就是说西叔参数增加的越多
[00:07:26 - 00:07:27] LOSS下降的越快
[00:07:27 - 00:07:30] 但是下降的幅度会逐渐的变小
[00:07:30 - 00:07:33] 这说明西叔度持续降低所带来的收益
[00:07:33 - 00:07:34] 在逐渐的饱和
[00:07:34 - 00:07:35] 在推理速度方面
[00:07:35 - 00:07:37] 当持续增加西叔参数的时候
[00:07:37 - 00:07:40] 奥特曼姆的推理时间几乎不变
[00:07:40 - 00:07:43] 而MOE的推理时间却有了显著增长的趋势
[00:07:43 - 00:07:45] 这就好比是两辆车在不同的道路上行驶
[00:07:45 - 00:07:48] AUTUMAN走的是一条平坦宽阔的大道
[00:07:48 - 00:07:49] 速度稳定
[00:07:49 - 00:07:51] 而MOE却遇到了越来越多的阻碍
[00:07:51 - 00:07:52] 速度越来越慢
[00:07:52 - 00:07:55] 为了进一步验证AUTUMAN架构改进的有效性
[00:07:55 - 00:07:58] 研究团队还进行了骁证实验
[00:07:58 - 00:08:02] 他们在151M激活1.5B总参数的吸数模型上
[00:08:02 - 00:08:06] 从最严实的PKM开始逐渐增加各种改进措施
[00:08:06 - 00:08:08] 比如说增加IMSOLFED MAX
[00:08:08 - 00:08:09] SHARE QUARTER等等操作
[00:08:09 - 00:08:12] 以及我们之前提到的拆分大计层
[00:08:12 - 00:08:13] 和Scape Layer
[00:08:13 - 00:08:13] IVE
[00:08:13 - 00:08:16] TD QKR等等关键的改进
[00:08:16 - 00:08:18] 通过一系列的实验对比
[00:08:18 - 00:08:20] 最终得到了C4验证损失值
[00:08:20 - 00:08:22] 为-0.092的显著受益
[00:08:22 - 00:08:25] 同时吸收参数和计算量几乎不变
[00:08:25 - 00:08:26] 相比MOE来说
[00:08:26 - 00:08:29] Automime可以实现最高可达6倍的速度提升
[00:08:30 - 00:08:32] 推理成本最高可以降低83%
[00:08:32 - 00:08:35] 而且在相同的参数和计算量的情况下
[00:08:35 - 00:08:38] Automime比MOE展现出了更强的扩展能力
[00:08:38 - 00:08:40] 不过呢 逗包团队也指出
[00:08:40 - 00:08:42] automap还有很大的提升空间
[00:08:42 - 00:08:46] 比如说如何更高效的优化和激活吸收参数
[00:08:46 - 00:08:49] 以及如何进一步提升吸收模型的推理能力等等
[00:08:49 - 00:08:50] 总的来说呢
[00:08:50 - 00:08:53] automap架构为解决大模型的推理效率方面
[00:08:53 - 00:08:55] 提供了一个新的方案和思路
[00:08:55 - 00:08:58] 可以提升模型在一些对于延迟要求较高的推理场景
[00:08:58 - 00:09:00] 比如说代码补权和实施交互
[00:09:00 - 00:09:02] 这些场景下的应用
[00:09:02 - 00:09:04] 好了 以上就是本期视频的内容了
[00:09:04 - 00:09:06] 大家如果有对于论文内容的理解和想法
[00:09:06 - 00:09:07] 欢迎在评论区留言
[00:09:07 - 00:09:09] 感謝大家觀看我們下期再見
