BV号：BV1tXduY9EL8
标题：BV1tXduY9EL8
链接：https://www.bilibili.com/video/BV1tXduY9EL8
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-30 08:54:27

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 这两年我们见证了AI技术的飞速发展
[00:02:58 - 00:03:00] 很多所谓的AI产品
[00:03:00 - 00:03:03] 只是简单的给模型的API套了一个壳
[00:03:03 - 00:03:05] 既没有真实的交互设计
[00:03:05 - 00:03:07] 也没有清晰的反馈机制
[00:03:07 - 00:03:10] 更无法通过数据驱动进行持续的迭代
[00:03:10 - 00:03:12] 那真正的产品应该是什么样的呢?
[00:03:12 - 00:03:14] 凯文给出了明确的解释
[00:03:14 - 00:03:17] 产品可不只是一个简单的层级概念
[00:03:17 - 00:03:18] 而是一个完整的避缓
[00:03:18 - 00:03:21] 它得有一个明确的使用场景
[00:03:21 - 00:03:22] 不是那种什么都能做
[00:03:22 - 00:03:24] 但又都做不好的全能性工具
[00:03:24 - 00:03:27] 而是要有针对性的具体需求的
[00:03:27 - 00:03:29] 产品要有着清晰的目标用户
[00:03:29 - 00:03:30] 不是面向所有人的
[00:03:30 - 00:03:33] 而是聚焦那些有刚需的人群身上
[00:03:33 - 00:03:35] 产品还得能够通过数据
[00:03:35 - 00:03:37] 来捕捉用户的反馈
[00:03:37 - 00:03:39] 进而驱动产品不断的迭代优化
[00:03:39 - 00:03:41] 最关键的是
[00:03:41 - 00:03:42] 得有人愿意为他付费
[00:03:42 - 00:03:45] 这里的付费不只是只金钱
[00:03:45 - 00:03:47] 时间 注意力或者是数据都算
[00:03:47 - 00:03:49] 凯文的这番话
[00:03:49 - 00:03:51] 对于所有AI方向的创业者来说
[00:03:51 - 00:03:53] 都可以说是一个重要的警醒
[00:03:53 - 00:03:54] 如今在市場上
[00:03:54 - 00:03:57] 模型堆疊已經不是什麼稀缺的能力了
[00:03:57 - 00:03:58] 真正稀缺的
[00:03:58 - 00:04:00] 反而是產品思維和落地能力
[00:04:00 - 00:04:02] 你得把AI強大的能力
[00:04:02 - 00:04:04] 巧妙的裝進一個用戶願意用的殼裡面
[00:04:04 - 00:04:08] 而且還要不斷的打磨這個殼的每一個細節
[00:04:08 - 00:04:11] 這就要求團隊必須深入到具體的場景中去
[00:04:11 - 00:04:13] 不僅要讓技術能夠順利的運行
[00:04:13 - 00:04:16] 更要想辦法讓用戶留下來持續的使用
[00:04:16 - 00:04:17] 凱文還提醒到
[00:04:17 - 00:04:20] 已不能等別人成功之後再去模仿
[00:04:20 - 00:04:22] 那時候機會早就沒了
[00:04:22 - 00:04:23] 正确的做法应该是
[00:04:23 - 00:04:25] 带着信念快速行动
[00:04:25 - 00:04:26] 上线产品
[00:04:26 - 00:04:26] 观察数据
[00:04:26 - 00:04:27] 倾听反馈
[00:04:27 - 00:04:28] 持续迭代
[00:04:28 - 00:04:30] 只有在实践中
[00:04:30 - 00:04:31] 我们才能知道
[00:04:31 - 00:04:32] 自己的想法是否可行
[00:04:32 - 00:04:33] 接下来
[00:04:33 - 00:04:35] 两个人聊到了大公司和创业者
[00:04:35 - 00:04:38] 在AI浪潮中的不同发展路径
[00:04:38 - 00:04:39] 凯文非常坦诚地说道
[00:04:39 - 00:04:40] 他既不否认
[00:04:40 - 00:04:41] 微软这样的大公司
[00:04:41 - 00:04:42] 拥有资源优势
[00:04:42 - 00:04:44] 也清楚地认识到
[00:04:44 - 00:04:45] AI浪潮带来的红利
[00:04:45 - 00:04:47] 并不只属于出账公司
[00:04:47 - 00:04:48] 他也明确地表示
[00:04:48 - 00:04:50] 微软没有足够的想象力
[00:04:50 - 00:04:52] 去独占所有的创新
[00:04:52 - 00:04:53] 必须有一个多元的生态
[00:04:53 - 00:04:55] 让无数人从不同的角度
[00:04:55 - 00:04:57] 去探索AI的可能性
[00:04:57 - 00:04:58] 在它看来
[00:04:58 - 00:04:59] 微软在AI生态中的角色
[00:04:59 - 00:05:02] 应该更像是修路铺桥的人
[00:05:02 - 00:05:03] 为大家提供基础设施
[00:05:03 - 00:05:05] 全球用户和资金等支持
[00:05:05 - 00:05:08] 而不是亲自去一家家的盖房子
[00:05:08 - 00:05:09] 微软虽然资源丰富
[00:05:09 - 00:05:11] 但是在探索新场景
[00:05:11 - 00:05:13] 新模式和新用户习惯这些方面
[00:05:13 - 00:05:15] 也需要借助外部的力量
[00:05:15 - 00:05:18] 毕竟真正具有颠覆性的创新
[00:05:18 - 00:05:20] 往往不是大公司提前能够预测出来的
[00:05:20 - 00:05:23] 而是来自于那些看似不起眼的边缘地带
[00:05:23 - 00:05:25] 无论是MB&B、Strap
[00:05:25 - 00:05:30] 还是像Notion、Figma、Mid Journey、Renway、Purplexity这些优秀的产品
[00:05:30 - 00:05:34] 都不是从谷歌、微软、眼马训这样的大公司内部伏画出来的
[00:05:34 - 00:05:37] 所以凯文斯科特提出了一个看似简单
[00:05:37 - 00:05:39] 却可能常常被大家忽视的一个观点
[00:05:39 - 00:05:43] 那就是很多AI创业者想要做平台做底层
[00:05:43 - 00:05:45] 结果却变成了跟大公司直接的竞争
[00:05:45 - 00:05:47] 其实他们真正应该思考的是
[00:05:47 - 00:05:50] 自己有沒有更加敏銳的動產能力
[00:05:50 - 00:05:51] 更快的執行力
[00:05:51 - 00:05:53] 以及更真實的用戶觸感
[00:05:53 - 00:05:54] 對於初創公司來說
[00:05:54 - 00:05:56] 最大的優勢從來都不是資源
[00:05:56 - 00:05:59] 而是獨特的視角和靈活的應變能力
[00:05:59 - 00:06:00] 大公司擁有規模
[00:06:00 - 00:06:02] 順利和強大的分發渠道
[00:06:02 - 00:06:04] 而初創公司則勝在速度
[00:06:04 - 00:06:06] 靈感和敢於犯錯的勇氣
[00:06:06 - 00:06:08] 在當前的AI生態中
[00:06:08 - 00:06:09] 這種分工不應該是對立的
[00:06:09 - 00:06:11] 反而應該是相互補充的
[00:06:11 - 00:06:14] 凱文自己也投資了不少的AI公司
[00:06:14 - 00:06:17] 他這麼做並不是單純的為了財務回報
[00:06:17 - 00:06:20] 而是想要通過與一線創業者的接觸
[00:06:20 - 00:06:22] 保持對新生態的真實感知
[00:06:22 - 00:06:24] 了解他們是如何構建產品思維
[00:06:24 - 00:06:25] 做出決策的
[00:06:25 - 00:06:26] 他深知
[00:06:26 - 00:06:27] 做在公司會議實力
[00:06:27 - 00:06:30] 是沒有辦法真正搞懂整個市場的
[00:06:30 - 00:06:32] 必須下沉到最小單位的實驗室
[00:06:32 - 00:06:34] 團隊和客戶的反會中
[00:06:34 - 00:06:36] 才能夠看清楚未來的發展方向
[00:06:36 - 00:06:37] 這就是為什麼
[00:06:37 - 00:06:39] 他在微軟內部常常強調
[00:06:39 - 00:06:41] 我們要拿手電筒照相別人
[00:06:41 - 00:06:42] 還沒有照過的地方
[00:06:42 - 00:06:43] 在凱文看來
[00:06:43 - 00:06:46] A.I.時代不是一場你死我活的戰爭
[00:06:46 - 00:06:47] 而是一场探索竞赛
[00:06:47 - 00:06:49] 比的不是谁跑得快
[00:06:49 - 00:06:51] 而是谁能够先发现机会
[00:06:51 - 00:06:53] 并且把它成功的转化为产品
[00:06:54 - 00:06:56] 聊完了产品和不同参与者的角色
[00:06:56 - 00:06:59] 两个人又探讨了一下AI未来的交互形态
[00:06:59 - 00:07:01] 在chat.gbt出来之后
[00:07:01 - 00:07:03] 我相信很多朋友可能都问过自己这样一个问题
[00:07:03 - 00:07:06] chat会是AI交互的终点吗
[00:07:06 - 00:07:07] 对于这个问题
[00:07:07 - 00:07:08] 凯文给出了自己的答案
[00:07:08 - 00:07:09] 那就是不是
[00:07:09 - 00:07:12] 他认为adent才是AI交互的终局之一
[00:07:12 - 00:07:16] 虽然说chat确实是这波ai浪潮中最成功的交互形式
[00:07:16 - 00:07:19] 它让我们与ai的对话变得更加自然流畅
[00:07:19 - 00:07:21] 但是从长远来看
[00:07:21 - 00:07:24] 它更像是我们通向未来人机关系的一个中转站
[00:07:24 - 00:07:26] 而Agent则有着本质的不同
[00:07:26 - 00:07:30] 它的意义在于能够理解你想让计算机去做什么
[00:07:30 - 00:07:32] 并且可以自主的去执行任务
[00:07:32 - 00:07:33] 不需要你再像原来那样
[00:07:33 - 00:07:36] 一步一步通过图形界面进行反锁的操作
[00:07:36 - 00:07:38] 回顾过去的发展力称
[00:07:38 - 00:07:41] 我们与计算机的交互方式大多都是围绕着
[00:07:41 - 00:07:44] 输入指令 执行操作的方式来展开的
[00:07:44 - 00:07:45] 哪怕是图形化的界面
[00:07:46 - 00:07:48] 本质上也还是菜单加点击的模式
[00:07:48 - 00:07:50] 但是在Agent主导的未来
[00:07:51 - 00:07:53] 交互方式将发生彻底的反转
[00:07:53 - 00:07:54] 到那个时候
[00:07:54 - 00:07:56] 我们不再需要知道各种工具要怎么使用
[00:07:57 - 00:07:59] 而只需要告诉AI你想要什么
[00:07:59 - 00:08:00] 它就能够帮你来完成
[00:08:00 - 00:08:03] 而且它还会记住你的喜好 习惯
[00:08:03 - 00:08:04] 理解你的需求
[00:08:04 - 00:08:06] 自动适配你的使用场景
[00:08:06 - 00:08:08] 为了让大家更好的理解
[00:08:08 - 00:08:10] 凯文斯克特还举了一个非常生活化的例子
[00:08:10 - 00:08:12] 比如说早上5点
[00:08:12 - 00:08:13] 你还在睡梦中
[00:08:13 - 00:08:15] Agent就已经帮你整理好了
[00:08:15 - 00:08:17] 业里收到的所有重要邮件
[00:08:17 - 00:08:18] 等你起床的时候
[00:08:18 - 00:08:20] 他会用你熟悉的语气
[00:08:20 - 00:08:22] 朝你好最关键的三风邮件的回复
[00:08:22 - 00:08:24] 等你喝完咖啡
[00:08:24 - 00:08:25] 轻轻一点就能够发送书去
[00:08:25 - 00:08:27] 所以真正的AI产品
[00:08:27 - 00:08:29] 不是只能够回答你一个问题
[00:08:29 - 00:08:31] 而是能够帮助你完成一个任务
[00:08:31 - 00:08:33] 而让AI完成任务的关键
[00:08:33 - 00:08:36] 就在于它是否具备持续记住你说过的话
[00:08:36 - 00:08:39] 做过的事以及偏好风格的能力
[00:08:39 - 00:08:41] 这也是Agent和ChetBot的核心区别
[00:08:42 - 00:08:44] Agent有记忆 有任务感 有连续性
[00:08:44 - 00:08:46] 而当下的很多ChetBot
[00:08:46 - 00:08:48] 在这方面还存在着明显的不足
[00:08:48 - 00:08:49] 不过回到现实
[00:08:49 - 00:08:52] 目前很多Agent的产品还处于早期的阶段
[00:08:52 - 00:08:55] 虽然他们看起来已经能做不少的事情了
[00:08:55 - 00:08:58] 但是背后往往还是一次次无记忆的调用
[00:08:58 - 00:09:00] 每轮对话都得从零开始
[00:09:00 - 00:09:01] 缺乏连贯性
[00:09:01 - 00:09:03] 更像是在刷一次性的任务
[00:09:03 - 00:09:04] 而不是一个真正的协作伙伴
[00:09:05 - 00:09:08] 不过这也恰恰是未来最值得期待的突破方向
[00:09:08 - 00:09:12] 包括DeepSake、GPT、Cloud在內的多個主流模型團隊
[00:09:12 - 00:09:15] 都已經把長期記憶的能力作為核心的研發目標之一
[00:09:15 - 00:09:17] 因為大家都清楚
[00:09:17 - 00:09:19] 一旦Agent具備了長期記憶
[00:09:19 - 00:09:23] AI的產品形態將從單純的助手升級為可靠的同事
[00:09:23 - 00:09:25] 這對於創業者來說是一個絕佳的機會
[00:09:25 - 00:09:29] 因為你不用一開始就打造出一個能夠自我進化的超級AI
[00:09:29 - 00:09:32] 你只需要找到一個剛需的高頻場景
[00:09:32 - 00:09:35] 設計一個能夠記住任務上下文的Agent
[00:09:35 - 00:09:37] 帮人们完成某个具体的任务
[00:09:37 - 00:09:38] 甚至是具体的环节
[00:09:38 - 00:09:40] 这就是一个有价值的产品
[00:09:40 - 00:09:43] 从能够对话到能够执行
[00:09:43 - 00:09:45] 从你教他到他懂你
[00:09:45 - 00:09:47] 这个跨度就是下一波AI产品
[00:09:47 - 00:09:48] 爆发的临界点
[00:09:48 - 00:09:51] 而我们现在使用的所有的AI工具
[00:09:51 - 00:09:53] 无论看起来有多么的智能
[00:09:53 - 00:09:55] 只要是不能够长期技术用户的信息
[00:09:55 - 00:09:58] 那就还停留在第一代产品的阶段
[00:09:58 - 00:09:59] 在访谈中
[00:09:59 - 00:10:01] 凯文的一句话再次引起了我的注意
[00:10:01 - 00:10:03] 那就是未来5年内
[00:10:03 - 00:10:04] 95%的新增代码
[00:10:04 - 00:10:06] 都将由AI自动的生成
[00:10:06 - 00:10:08] 乍一拼这话有点夸张
[00:10:08 - 00:10:12] 但是实际上这种趋势已经在快速的显现
[00:10:12 - 00:10:14] 就拿微软自家的github口pilot来说
[00:10:14 - 00:10:17] 它的每月调用量已经突破了数十一次
[00:10:17 - 00:10:19] 短短不到两年的时间
[00:10:19 - 00:10:21] 开发者们就从最初的抗拒
[00:10:21 - 00:10:22] 变成了现在的依赖
[00:10:22 - 00:10:24] 现在当你在写单码的时候
[00:10:24 - 00:10:27] AI已经在默默的帮你预写了
[00:10:27 - 00:10:29] 今天他能够帮你补全函数
[00:10:29 - 00:10:31] 明天说不定就能够自动搭建业务模块
[00:10:32 - 00:10:34] 凯文认为这可不是一个简单的小修小补
[00:10:34 - 00:10:37] 而是编程领域抽象层级的一次重大提升
[00:10:38 - 00:10:40] 就像我们从经从汇编语言卖入到高级语言
[00:10:40 - 00:10:43] 从手写html进入到前端框架时代一样
[00:10:44 - 00:10:47] 现在我们正在从写代码进入到写指令的新阶段
[00:10:48 - 00:10:49] 在这个新的范世里
[00:10:49 - 00:10:52] 程学员的角色也在发生着微妙而深刻的转变
[00:10:52 - 00:10:56] 从单纯的执行者逐渐演变为提示词的设计师
[00:10:56 - 00:10:57] 系统的架构师
[00:10:58 - 00:11:00] 最终成为产品的建筑师
[00:11:00 - 00:11:01] 真正的竞争力
[00:11:01 - 00:11:03] 也不再是看谁代码写得快
[00:11:03 - 00:11:06] 而是看谁对产品的理解更加清晰
[00:11:06 - 00:11:07] 规划更为合理
[00:11:07 - 00:11:09] 我们可以看到的是
[00:11:09 - 00:11:11] 现在开发者的世界和产品世界
[00:11:11 - 00:11:12] 正在朝着不同
[00:11:12 - 00:11:14] 但是又相互关联的方向发展
[00:11:14 - 00:11:16] 在开发者世界
[00:11:16 - 00:11:17] 工具越来越智能
[00:11:17 - 00:11:19] AI承担了越来越多写的工作
[00:11:19 - 00:11:22] 人则更多的负责构建愿景
[00:11:22 - 00:11:25] 思考产品的整体架构和发展方向
[00:11:25 - 00:11:26] 而在产品世界里
[00:11:26 - 00:11:28] 用户的需求变得越来越复杂
[00:11:28 - 00:11:31] 他们不再满足于产品仅仅能用
[00:11:31 - 00:11:33] 而是追求好用 合适 顺省
[00:11:33 - 00:11:34] 在这样的背景下
[00:11:34 - 00:11:36] 一种新的能力
[00:11:36 - 00:11:37] 变得前所未有的重要
[00:11:37 - 00:11:38] 那就是产品直觉
[00:11:39 - 00:11:40] 当然了
[00:11:40 - 00:11:40] 凯文并没有说
[00:11:40 - 00:11:42] 未来不需要工程师了
[00:11:42 - 00:11:42] 相反
[00:11:42 - 00:11:44] 他觉得顶级的工程师
[00:11:44 - 00:11:45] 会更加吃香
[00:11:45 - 00:11:46] 但是原因不再是
[00:11:46 - 00:11:48] 因为他们擅长写底层代码
[00:11:48 - 00:11:51] 而是他们能够熟练运用最好的工具
[00:11:51 - 00:11:52] 搭建最合理的结构
[00:11:52 - 00:11:54] 解决最复杂的问题
[00:11:54 - 00:11:56] 而这些能力恰恰是AI短期内
[00:11:56 - 00:11:57] 无法替代的
[00:11:58 - 00:12:00] 他还举了一个微软研究院内部的例子
[00:12:00 - 00:12:04] 他们本来想用AI工具来自动偿还技术债务
[00:12:04 - 00:12:07] 结果发现AI工具不仅能够独动旧的代码
[00:12:07 - 00:12:08] 还能够自动进行重购
[00:12:08 - 00:12:10] 帮助规避历史遗留问题
[00:12:10 - 00:12:13] 这样很多工程负责人大为震撼
[00:12:13 - 00:12:16] 曾经那些被认为只能靠人来处理的技术难题
[00:12:16 - 00:12:18] 现在居然可以交给AI来解决了
[00:12:18 - 00:12:20] 你可以想象这样一个场景
[00:12:20 - 00:12:23] 一月产品经理用自然语言描述出用户的需求
[00:12:23 - 00:12:26] AI自动生成一般初始原型
[00:12:26 - 00:12:28] 工程师在对架构的安全性进行验证
[00:12:28 - 00:12:30] 优化边界逻辑
[00:12:30 - 00:12:32] 整個過程可能只需要一半的人力
[00:12:32 - 00:12:34] 一週的時間就能夠完成
[00:12:34 - 00:12:35] 凱文甚至表示
[00:12:35 - 00:12:39] 他最期待AI能夠打破技術債的鄰合悖論
[00:12:39 - 00:12:41] 以前為了追求開發速度
[00:12:41 - 00:12:43] 很多時候不得不犧牲架構的合理性
[00:12:43 - 00:12:45] 但是現在有了AI
[00:12:45 - 00:12:46] 也許我們終於可以實現
[00:12:46 - 00:12:48] 邊快邊穩的理想狀態
[00:12:48 - 00:12:50] 這意味著未來的團隊結構
[00:12:50 - 00:12:52] 將會發生根本性的變化
[00:12:52 - 00:12:53] 開發團隊會變得更小
[00:12:53 - 00:12:55] 但是更為驚悍
[00:12:55 - 00:12:56] 工程師將更多的參與到
[00:12:56 - 00:12:58] 產品設計和用戶研究中
[00:12:58 - 00:13:01] 那些靠著重複造輪子維持的中間職位
[00:13:01 - 00:13:03] 可能會逐漸的消失
[00:13:03 - 00:13:06] 真正能夠留下來並且發揮關鍵作用的
[00:13:06 - 00:13:08] 是那些能夠看清全局
[00:13:08 - 00:13:10] 定義方向設計系統的人
[00:13:10 - 00:13:13] 而這個人不一定是傳統意義上的CTO
[00:13:13 - 00:13:15] 有可能是一個產品能力極強的人
[00:13:15 - 00:13:17] 也有可能是懂AI的人類學家
[00:13:17 - 00:13:20] 因為當AI承多了更多技術執行工作的時候
[00:13:20 - 00:13:23] 能夠準確的定義問題本身
[00:13:23 - 00:13:25] 就成為了團隊的核心能力
[00:13:25 - 00:13:26] 在整場對話的最後
[00:13:26 - 00:13:28] 主持人問了凱文斯科德
[00:13:28 - 00:13:29] 一个简短的问题
[00:13:29 - 00:13:32] 你觉得我们现在走的够快吗
[00:13:32 - 00:13:35] 凯文想都没想就直接回答到不够
[00:13:35 - 00:13:36] 他在说这句话的时候
[00:13:36 - 00:13:37] 没有批评谁
[00:13:37 - 00:13:39] 也没有表现出愤怒
[00:13:39 - 00:13:41] 而只是在陈述一个事实
[00:13:41 - 00:13:43] 他说到我希望数十亿人都能够
[00:13:43 - 00:13:44] 像使用水电一样
[00:13:44 - 00:13:46] 轻松的触及这些AI工具
[00:13:46 - 00:13:49] 可是现在我们的发展速度还是太慢了
[00:13:49 - 00:13:50] 好了
[00:13:50 - 00:13:53] 以上就是凯文斯科的这次访谈的主要观点了
[00:13:53 - 00:13:55] 希望能够为大家在AI时代的迷雾中
[00:13:55 - 00:13:56] 指引方向
[00:13:56 - 00:13:59] 对于目前在AI行业的从业者或者是创业者来说
[00:13:59 - 00:14:00] 必须意识到
[00:14:00 - 00:14:02] 模型固然重要
[00:14:02 - 00:14:04] 但是它只是实现产品价值的手段
[00:14:04 - 00:14:07] 只有将模型与实际的需求相结合
[00:14:07 - 00:14:10] 打造出真正能够为用户创造价值的产品
[00:14:10 - 00:14:12] 这才是AI发展的正确道路
[00:14:12 - 00:14:13] 感谢大家的观看
[00:14:13 - 00:14:15] 我们下期视频再见
