BV号：BV1UdPQecEUv
标题：BV1UdPQecEUv
链接：https://www.bilibili.com/video/BV1UdPQecEUv
识别语言：zh
语言置信度：1
分段数：322
生成时间：2026-08-30 17:34:26

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近DeepSake的话题热度居高不下
[00:03:47 - 00:03:50] 就拿DeepSake的关键创新MLA来说
[00:03:50 - 00:03:52] 就耗费了数个月的时间
[00:03:52 - 00:03:55] 投入了大量的人力资源和计算资源
[00:03:55 - 00:03:57] 所以DeepSig的整体投入
[00:03:57 - 00:03:58] 远没有大家想象的那么低
[00:03:59 - 00:04:00] 不过在Semi Analysis看来
[00:04:00 - 00:04:02] DeepSig依然已经成为了
[00:04:02 - 00:04:04] 当今最优秀的开源权重实验室
[00:04:04 - 00:04:06] 他的成就已经超越了
[00:04:06 - 00:04:08] Metalama, Mistro等等竞争对手
[00:04:08 - 00:04:10] 以DeepSig V3为例
[00:04:10 - 00:04:12] 他的性能超越了GPD4O
[00:04:12 - 00:04:14] 也证明了随着技术的进步
[00:04:14 - 00:04:15] 模型用更少的计算资源
[00:04:15 - 00:04:17] 就可以实现更强的能力
[00:04:17 - 00:04:18] 按照目前的趋势
[00:04:18 - 00:04:21] AI实验室在增加绝对投入的同时
[00:04:21 - 00:04:24] 单位投入所能够获得的智能水平提升
[00:04:24 - 00:04:25] 实际上更为的显著
[00:04:26 - 00:04:26] 根据估计
[00:04:26 - 00:04:29] 算法效率每年的会提升大约4倍
[00:04:29 - 00:04:32] 这意味着实现相同的性能所需要的计算资源
[00:04:32 - 00:04:35] 每年会减少75%
[00:04:35 - 00:04:38] 而Azrobic CEO達里奥的观点则更为乐观
[00:04:38 - 00:04:41] 认为算法优化可以带来10倍的效率提升
[00:04:41 - 00:04:44] 反正就目前GPT3级别的模型推理成本而言
[00:04:44 - 00:04:46] 已经暴降了1200倍
[00:04:47 - 00:04:47] 当然了
[00:04:47 - 00:04:49] DeepSig能够取得这样的成绩
[00:04:49 - 00:04:51] 也离不开在技术上的创新
[00:04:51 - 00:04:52] 在训练方面
[00:04:52 - 00:04:56] DeepSig V3大规模应用了多令牌预测MTP技术
[00:04:56 - 00:04:59] 这些新增的注意力模块能够预测接下来的几个Token
[00:04:59 - 00:05:01] 而非单个Token
[00:05:01 - 00:05:04] 从而可以有效的提升模型在训练过程中的性能
[00:05:04 - 00:05:06] 并且在推理阶段移除
[00:05:06 - 00:05:09] 同时模型在训练过程中还采用了IP8精度
[00:05:09 - 00:05:11] 以及混合专家Moe加工
[00:05:11 - 00:05:13] DeepSig通过门控网络
[00:05:13 - 00:05:16] 来控制将哪个Token分配给哪个专家模型
[00:05:16 - 00:05:18] 同时不影响模型的性能
[00:05:18 - 00:05:19] 这就意味着
[00:05:19 - 00:05:22] 每个token只需要改变少量的参数
[00:05:22 - 00:05:23] 路由效率极高
[00:05:23 - 00:05:25] 这样不仅可以提高训练的效率
[00:05:25 - 00:05:26] 还可以降低推理的成本
[00:05:27 - 00:05:29] 那对于DeepSig R1模型来说
[00:05:29 - 00:05:31] 它也极大受益于基础模型Way3
[00:05:31 - 00:05:33] 部分的原因在于强化学习
[00:05:33 - 00:05:36] DeepSig的强化学习主要聚焦在两个方面
[00:05:36 - 00:05:38] 分别是输出的格式化
[00:05:38 - 00:05:39] 以及有用性和安全性
[00:05:40 - 00:05:41] 模型的推理能力
[00:05:41 - 00:05:44] 是在对合成数据级进行微调过程中自然有限的
[00:05:45 - 00:05:46] 这与O1的情况类似
[00:05:46 - 00:05:48] 不过R1的论文中
[00:05:48 - 00:05:50] 并没有提到计算资源的使用情况
[00:05:50 - 00:05:51] 这并非是偶然
[00:05:51 - 00:05:53] 而是因为大规模的强化学习
[00:05:53 - 00:05:55] 尤其是在生成合成数据的时候
[00:05:55 - 00:05:57] 需要大量的计算资源
[00:05:57 - 00:05:59] 因此如果提到所用的计算资源
[00:05:59 - 00:06:02] 可能会暴露他们实际拥有的GPU数量
[00:06:02 - 00:06:03] 比对外宣称的更多
[00:06:03 - 00:06:06] 谈到Deepzake保受争议的争流问题
[00:06:06 - 00:06:08] 3面Analysis指出
[00:06:08 - 00:06:10] 似乎有部分数据来自于OpenI的模型
[00:06:10 - 00:06:12] 从OpenI的服务条款来看
[00:06:12 - 00:06:14] 这种数据提取的行为已经属于违规
[00:06:14 - 00:06:16] 未来OpenI可能会通过一种
[00:06:16 - 00:06:18] 类似于kyc的机制
[00:06:18 - 00:06:20] 来杜绝这种数据提取行为
[00:06:20 - 00:06:22] 此外多头潜在注意力机制MLA
[00:06:22 - 00:06:26] 也是DeepSig大幅降低推理成本的一个关键创新
[00:06:26 - 00:06:30] 它能够将每次查询所需要的KV缓存减少大约90%
[00:06:30 - 00:06:33] 这就意味着每次查询所需要的硬件资源也减少了
[00:06:33 - 00:06:35] 成本也降低了
[00:06:35 - 00:06:38] 不过有观点认为DeepSig以成本价来提供推理服务
[00:06:38 - 00:06:40] 是为了获取市场份额
[00:06:40 - 00:06:41] 实际上并不盈利
[00:06:41 - 00:06:45] 比如说谷歌的Gemini Flash 2.0Thinking的价格更低
[00:06:45 - 00:06:48] 但是谷歌不太可能以成本价来提供服务
[00:06:48 - 00:06:52] 现在MLA已经引起了许多美国顶级实验室的关注
[00:06:52 - 00:06:56] 但是实际上MLA在2024年5月的DeepSigV2中就已经推出了
[00:06:57 - 00:06:58] 而在利润率方面
[00:06:58 - 00:07:00] SAMI analysis指出了一个关键的现象
[00:07:00 - 00:07:04] 那就是DeepSigR1并非是真正动摇了O1的技术优势
[00:07:05 - 00:07:08] 而是以显著更低的成本实现了相似的性能水平
[00:07:08 - 00:07:10] 这种现象本质上符合市场逻辑
[00:07:10 - 00:07:12] 也说明技术能力的提升
[00:07:12 - 00:07:14] 往往能够带来更高的利润率
[00:07:14 - 00:07:17] 这与半导体制造业的发展模式极为的相似
[00:07:17 - 00:07:18] 只是节奏更快
[00:07:18 - 00:07:21] 就像台积电每当率先突破新的制程时
[00:07:21 - 00:07:23] 都能够获得显著的定价优势
[00:07:23 - 00:07:26] 因为它们提供了此前市场上不存在的产品
[00:07:26 - 00:07:28] 而其他落后的竞争对手
[00:07:28 - 00:07:29] 比如说三星英特尔
[00:07:29 - 00:07:31] 则会采取较低的定价策略
[00:07:31 - 00:07:33] 从而在性价比上达到平衡
[00:07:33 - 00:07:35] 因此对于AI实验室来说
[00:07:35 - 00:07:38] 它们也可以像芯片制造商一样调整产能
[00:07:38 - 00:07:41] 如果在新的模型上能够实现更高的性价比
[00:07:41 - 00:07:44] 就可以将产能转移到新模型的生产上
[00:07:44 - 00:07:46] 同时减少旧模型的供应量
[00:07:46 - 00:07:47] 但是仍然会支持
[00:07:47 - 00:07:48] 在这种假设下
[00:07:48 - 00:07:49] 可以看到
[00:07:49 - 00:07:52] AE模型率先突破新的能力层级
[00:07:52 - 00:07:54] 将会带来可观的价格溢价
[00:07:54 - 00:07:56] 而那些快速跟上的竞争者
[00:07:56 - 00:07:57] 只能获得微薄的利润
[00:07:58 - 00:07:59] 那些能力较低
[00:07:59 - 00:08:01] 但是可以满足特定场景需求的模型
[00:08:01 - 00:08:03] 仍然会继续的存在
[00:08:03 - 00:08:06] 但是能够追赶上领先能力水平的公司
[00:08:06 - 00:08:08] 将随着每一代的技术更迭
[00:08:08 - 00:08:09] 而逐渐的减少
[00:08:09 - 00:08:11] 这次我们所有人都见证了
[00:08:11 - 00:08:13] DeepSig R1虽然取得了领先的水平
[00:08:13 - 00:08:16] 但是却采用了零利润率的定价策略
[00:08:16 - 00:08:19] 这种显著的价格差异不仅让人质疑
[00:08:19 - 00:08:21] 为什么OPI的价格如此之高
[00:08:21 - 00:08:24] 这就是因为OPI采用了基于最前沿的技术定价
[00:08:24 - 00:08:27] 所以能享受了技术领先所带来的一价优势
[00:08:27 - 00:08:29] 因此三面analysis预计
[00:08:29 - 00:08:31] 未来AI行业的发展速度
[00:08:31 - 00:08:33] 将会超过芯片制造业的发展节奏
[00:08:33 - 00:08:35] 拥有最新的模型能力
[00:08:35 - 00:08:37] 意味着持续的定价权
[00:08:37 - 00:08:39] 而落后的能力则意味着更低的定价
[00:08:39 - 00:08:41] 此时的利润将主要来源于
[00:08:41 - 00:08:43] 被Token服务的基础设施
[00:08:43 - 00:08:45] 在这个快速的技术周期中
[00:08:45 - 00:08:47] AI产品的更新换代速度会加快
[00:08:47 - 00:08:49] 只要能够不断拓展能力
[00:08:49 - 00:08:51] 开发出创造价值的新功能
[00:08:51 - 00:08:53] 就能够获得相应的定价权
[00:08:53 - 00:08:55] 否则在开放模型市场的挤压下
[00:08:55 - 00:08:57] AI模型很快会面临同质化的问题
[00:08:57 - 00:08:59] 另外
[00:08:59 - 00:09:01] Sami Nalysis的分析师还注意到
[00:09:01 - 00:09:03] 自从DeepSake V3和R1发布以来
[00:09:03 - 00:09:05] H100的价格反而出现了飙升
[00:09:05 - 00:09:07] H200也更加难以获取
[00:09:07 - 00:09:09] 也更加难以获取
[00:09:09 - 00:09:11] 这其实是杰文斯贝伦的一种体现
[00:09:11 - 00:09:15] 简单来说就是技术进步所带来的效率提升
[00:09:15 - 00:09:16] 反而会增加资源的消耗
[00:09:16 - 00:09:18] 因此长期来看
[00:09:18 - 00:09:21] 这种发展趋势对于英伟达来说无疑是利好消息
[00:09:21 - 00:09:23] 在出口管制方面
[00:09:23 - 00:09:24] 三面Analysis认为
[00:09:24 - 00:09:27] 目前已经实施的人工智能扩散管制措施
[00:09:27 - 00:09:28] 不会取消
[00:09:28 - 00:09:31] 有人认为DeepSake证明了出口管制的失败
[00:09:31 - 00:09:33] 但是这其实是对出口管制机制的误解
[00:09:33 - 00:09:35] 最初H100被禁止出口
[00:09:35 - 00:09:37] 而计算能力相近
[00:09:37 - 00:09:39] 但是带宽受限的H800被允许出口
[00:09:40 - 00:09:41] 随后H800也被禁止
[00:09:42 - 00:09:44] 现在只允许H20出口
[00:09:44 - 00:09:45] 最新的消息是
[00:09:45 - 00:09:48] 因为达在1月份取消了大量的H20订单
[00:09:48 - 00:09:51] 这很可能预示着美国即将出台的新的禁令
[00:09:51 - 00:09:53] 由于在这些出口管制法律的实施过程中
[00:09:53 - 00:09:55] 存在着宽限期
[00:09:55 - 00:09:57] 所以Deep Sake很可能是在这段时间内
[00:09:57 - 00:09:59] 大量囤积了所需要的芯片
[00:09:59 - 00:10:00] 需要明确的是
[00:10:00 - 00:10:03] H100自从发布以来就被禁止出口
[00:10:03 - 00:10:04] 由此看来
[00:10:04 - 00:10:06] 出口管制虽然没能够完全限制
[00:10:06 - 00:10:07] 高性能芯片的供应
[00:10:07 - 00:10:10] 但是对整个生态系统进行了严格的限制
[00:10:10 - 00:10:13] 导致数十万甚至数百万芯片的供应受到了限制
[00:10:13 - 00:10:15] 按照目前的发展形式来看
[00:10:15 - 00:10:16] Semi-Analysis预计
[00:10:16 - 00:10:19] 未来H20也将被禁止出口
[00:10:19 - 00:10:22] 这无一会进一步限制DeepSeg获取芯片的能力
[00:10:22 - 00:10:25] 而DeepSeg对于芯片的需求有十分的迫切
[00:10:25 - 00:10:28] 所以说这对他们来说将是一个巨大的挑战
[00:10:28 - 00:10:30] 在如何满足极具增长的产能需求方面
[00:10:30 - 00:10:32] DeepSeg也面临着难题
[00:10:32 - 00:10:35] 尽管他们拥有世界上较为出色的推力技术
[00:10:35 - 00:10:37] 但是进行架构研发和模型训练
[00:10:37 - 00:10:40] 合为数千万用户提供可靠的服务
[00:10:40 - 00:10:42] 这是两个截然不同的挑战
[00:10:42 - 00:10:45] 所以我们会看到DeepSig的注册服务时长的关闭
[00:10:45 - 00:10:47] 即便开放注册的时候
[00:10:47 - 00:10:49] R1的响应速度也非常的慢
[00:10:49 - 00:10:52] 不过他们正在通过巧妙的用户体验设计
[00:10:52 - 00:10:54] 来一定程度上掩盖这个问题
[00:10:54 - 00:10:57] 产能的问题其实中国政府也深知道这一点
[00:10:57 - 00:11:00] 所以在与DeepSig CEO辽恩峰会面的第二天
[00:11:00 - 00:11:02] 中国银行就宣布未来五年
[00:11:02 - 00:11:04] 将为人工智能产业链
[00:11:04 - 00:11:06] 提供1400亿美元
[00:11:06 - 00:11:08] 如何大约1万亿元人民币的补贴
[00:11:08 - 00:11:10] 这个补贴的明确目标
[00:11:10 - 00:11:13] 就是助力中国在科技领域实现完全的自主
[00:11:13 - 00:11:16] 涵盖基础研究 产业应用和开发等方面
[00:11:16 - 00:11:18] 其中人工智能与机器人
[00:11:18 - 00:11:20] 生物技术和新材料是重点关注的领域
[00:11:20 - 00:11:23] 此外补贴还包括计算基础设施
[00:11:23 - 00:11:24] 和数据中心的建设
[00:11:24 - 00:11:26] 以及为了第一代技术设备
[00:11:26 - 00:11:28] 提供保险和风险管理的支持
[00:11:28 - 00:11:30] 从长远来看
[00:11:30 - 00:11:31] Summon Analysis认为
[00:11:31 - 00:11:33] 出口管制的影响会更加显著
[00:11:33 - 00:11:35] 隨著時間的推及
[00:11:35 - 00:11:37] 算法和硬件都將不斷的進步
[00:11:37 - 00:11:40] 美國的AI實驗室能夠利用這些創新成果進行
[00:11:40 - 00:11:42] Skeling達到中國難以起急的高度
[00:11:42 - 00:11:45] 雖然中國可能仍然會推出與美國相媲美的模型
[00:11:45 - 00:11:49] 但是在整體發展上可能會繼續處於追趕的地位
[00:11:49 - 00:11:52] 同時考慮到中國政府對於Deepseig工作的關注
[00:11:52 - 00:11:55] 以及對於算法創新保護的重視
[00:11:55 - 00:11:58] Deepseig未來也有可能不會再開源模型
[00:11:58 - 00:12:00] 這些一系列的變化和發展
[00:12:00 - 00:12:03] 都將深刻的影響著全球人工智能行業的格局
[00:12:03 - 00:12:06] 好了 以上就是三秒niluses对于Deepseig的深度分析了
[00:12:06 - 00:12:11] 总之 Deepseig反映了全球人工智能行业的快速发展和激烈的竞争
[00:12:11 - 00:12:16] 也让我们看到了技术进步 市场竞争 地缘政治等多种因素相互交織的局面
[00:12:16 - 00:12:21] 未来Deepseig以及整个行业的走向依然值得我们持续关注
[00:12:21 - 00:12:24] 感谢大家观看本期视频 我们下期再见
