BV号：BV1fTrKYoEtt
标题：BV1fTrKYoEtt
链接：https://www.bilibili.com/video/BV1fTrKYoEtt
识别语言：zh
语言置信度：1
分段数：423
生成时间：2026-08-30 21:03:12

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 1月1日 OpenEye的研究员 Jason Wei
[00:00:05 - 00:00:08] 在CIS7000上做了一个演讲
[00:01:11 - 00:01:13] 力求以一半的计算量
[00:01:13 - 00:01:16] 实现比机线高出5%的性能提升
[00:01:16 - 00:01:19] 然而Transformer的出现改变了这个局面
[00:01:19 - 00:01:21] 它为学习多种类型的关系
[00:01:21 - 00:01:22] 提供了强大的工具
[00:01:22 - 00:01:25] 使得Skinling成为了人工智能发展的新方向
[00:01:25 - 00:01:27] 那么什么是Skinling呢
[00:01:27 - 00:01:28] 在人工智能领域
[00:01:28 - 00:01:29] Skinling并非指的是
[00:01:29 - 00:01:31] 简单的增加计算资源
[00:01:31 - 00:01:33] 数据量或者是模型的大小
[00:01:33 - 00:01:34] 更准确的说
[00:01:34 - 00:01:35] 它是将自身至于一种
[00:01:35 - 00:01:37] 沿着连续轴移动
[00:01:37 - 00:01:38] 并且期望持续获得
[00:01:38 - 00:01:40] 性能改进的情境之中
[00:01:40 - 00:01:41] 通常情况下
[00:01:41 - 00:01:43] 这个连续轴会涉及到计算量
[00:01:43 - 00:01:45] 数据量或者模型大小
[00:01:45 - 00:01:46] 等等关键的因素
[00:01:46 - 00:01:48] 以大语言模型的发展为例
[00:01:48 - 00:01:50] 可以看到Skinling无处不在
[00:01:50 - 00:01:52] 在许多的相关研究论文中
[00:01:52 - 00:01:54] 都有关于Skinloss的图表展示
[00:01:54 - 00:01:56] 這些圖表清晰地呈現出了
[00:01:56 - 00:01:57] 隨著模型參數數量
[00:01:57 - 00:01:58] 訓練數據量
[00:01:58 - 00:02:00] 以及計算資源的增加
[00:02:00 - 00:02:01] 模型性能的變化趨勢
[00:02:01 - 00:02:03] 不過在早期
[00:02:03 - 00:02:05] Siklin卻變連著許多巨大的挑戰
[00:02:05 - 00:02:08] 首先從技術和運營層面來看
[00:02:08 - 00:02:10] 分布式訓練需要深厚的專業知識
[00:02:10 - 00:02:12] 構建一個高效的分布式訓練系統
[00:02:12 - 00:02:14] 需要聘請大量的專業工程師
[00:02:14 - 00:02:16] 來應對複雜的技術難題
[00:02:16 - 00:02:17] 同時
[00:02:17 - 00:02:18] 機翼學習的研究人員
[00:02:18 - 00:02:19] 也需要時刻的警惕
[00:02:19 - 00:02:21] 可能出現的損失發散
[00:02:21 - 00:02:22] 和硬件故障的問題
[00:02:22 - 00:02:24] 确保训练过程的稳定
[00:02:24 - 00:02:25] 此外呢
[00:02:25 - 00:02:26] 计算成本高昂
[00:02:26 - 00:02:28] 也是一个不容忽视的问题
[00:02:28 - 00:02:29] 大规模的Skilling
[00:02:29 - 00:02:31] 需要投入大量的计算资源
[00:02:31 - 00:02:33] 这对于许多研究机构和企业来说
[00:02:33 - 00:02:34] 是一个沉重的负担
[00:02:34 - 00:02:35] 其次呢
[00:02:35 - 00:02:36] 在心理层面
[00:02:36 - 00:02:38] 研究人员长期以来习惯于利用
[00:02:38 - 00:02:40] 规纳偏差来改进算法
[00:02:40 - 00:02:41] 他们从提出假设
[00:02:41 - 00:02:43] 并验证性能提升的过程中
[00:02:43 - 00:02:44] 获得乐趣
[00:02:44 - 00:02:45] 因此呢
[00:02:45 - 00:02:46] 对于单纯的Skilling工作
[00:02:46 - 00:02:48] 可能缺乏足够的热情
[00:02:48 - 00:02:49] 而且呢
[00:02:49 - 00:02:50] 人类学习的高效性
[00:02:50 - 00:02:53] 也让人们对于让机器通过大规模数据
[00:02:53 - 00:02:55] 进行学习的必要性产生了质疑
[00:02:55 - 00:02:58] 比方说一个人不需要像训练GPT30那样
[00:02:58 - 00:03:01] 通过阅读海量文本就能学会写一段英文
[00:03:01 - 00:03:02] 这就使得人们去思考
[00:03:02 - 00:03:04] 是否真的需要让机器
[00:03:04 - 00:03:06] 从如此庞大的数据中学习
[00:03:06 - 00:03:08] 再者 科学研究的激励机制
[00:03:08 - 00:03:12] 在当时也与Skinning所需要的工程工作不太匹配
[00:03:12 - 00:03:14] 学书会议更倾向于接受
[00:03:14 - 00:03:16] 具有心影算法的研究成果
[00:03:16 - 00:03:18] 而只是扩大数据级和计算资源的工作
[00:03:18 - 00:03:20] 往往难以得到足够的认可
[00:03:20 - 00:03:23] 那既然Sigling面临着如此多的困难
[00:03:23 - 00:03:25] 为什么我们仍然要坚持走这条路呢
[00:03:25 - 00:03:27] 因为在非Sigling的犯事下
[00:03:27 - 00:03:28] 模型的每一次改进
[00:03:28 - 00:03:30] 都需要全新的独创性思维
[00:03:31 - 00:03:32] 这就需要投入大量的研究经历
[00:03:33 - 00:03:34] 而且成功并不是必然的
[00:03:34 - 00:03:36] 具有很大的不确定性
[00:03:36 - 00:03:37] 相比之下
[00:03:37 - 00:03:39] 以Sigling为中心的人工智能
[00:03:39 - 00:03:40] 虽然成本高昂
[00:03:40 - 00:03:42] 却提供了一种相对可靠的
[00:03:42 - 00:03:43] 提升模型能力的方法
[00:03:43 - 00:03:46] 特别是当我们衡量模型能力的标准
[00:03:46 - 00:03:47] 就较高的通用性的时候
[00:03:47 - 00:03:50] 这种大规模的投资往往是值得的
[00:03:50 - 00:03:54] 比如说我们希望模型能够在多个领域和任务中表现出色
[00:03:54 - 00:03:57] 那么通过Skinling来提升模型的通用能力
[00:03:57 - 00:03:58] 就是一个合理的选择
[00:03:58 - 00:03:59] 接下来
[00:03:59 - 00:04:02] Chaseway深入探讨了第一个Skinling的范氏
[00:04:02 - 00:04:04] 那就是去Skinling下一个词的预测
[00:04:04 - 00:04:06] 这个范氏始于2018年
[00:04:06 - 00:04:08] 至今仍然在发挥着重要的作用
[00:04:09 - 00:04:10] 这个范氏的核心原理
[00:04:10 - 00:04:12] 就是通过大规模的多任务学习
[00:04:12 - 00:04:15] 来实现对下一个词的精准预测
[00:04:15 - 00:04:16] 想象一下
[00:04:16 - 00:04:17] 语言模型面对一个句子
[00:04:17 - 00:04:19] 比如说在周末
[00:04:19 - 00:04:21] 达特毛斯的学生喜欢什么什么
[00:04:21 - 00:04:23] 他会对词汇表中的每个单词
[00:04:23 - 00:04:24] 从A到Z打头
[00:04:24 - 00:04:26] 计算出一个出现的概率
[00:04:26 - 00:04:28] 然后根据实际的下一个词
[00:04:28 - 00:04:29] 来调整这些概率
[00:04:29 - 00:04:31] 从而不断地进行学习和优化
[00:04:31 - 00:04:32] 通过这种方式
[00:04:32 - 00:04:34] 语言模型能够学习到多种的能力
[00:04:34 - 00:04:36] 在语法学习方面
[00:04:36 - 00:04:37] 例如在预训练过程中
[00:04:37 - 00:04:39] 遇到在我的空前时间
[00:04:39 - 00:04:41] 我喜欢去编码或者相交
[00:04:41 - 00:04:42] 这样的句子中
[00:04:42 - 00:04:44] 模型会逐渐认识到
[00:04:44 - 00:04:45] 在这个语境下
[00:04:45 - 00:04:46] 動詞編碼的可能性更高
[00:04:46 - 00:04:48] 從而學習到相應的語法規則
[00:04:48 - 00:04:50] 而在世界知識的獲取上
[00:04:50 - 00:04:52] 當遇到阿塞貝江的首都市
[00:04:52 - 00:04:53] 巴庫還是倫敦
[00:04:53 - 00:04:54] 這樣的句子時
[00:04:54 - 00:04:56] 模型會提高巴庫的權重
[00:04:56 - 00:04:58] 進而積累關於世界地理的知識
[00:04:58 - 00:05:00] 對於電影評論的情感分析
[00:05:00 - 00:05:02] 比如說我一直全神貫注
[00:05:02 - 00:05:03] 非常投入
[00:05:03 - 00:05:05] 這部電影真的是好還是壞
[00:05:05 - 00:05:08] 模型可以學習到如何判斷情感傾向
[00:05:08 - 00:05:09] 在翻譯任務中
[00:05:09 - 00:05:11] 神經網路在俄裔中的單詞是
[00:05:11 - 00:05:13] 神經網路還是你好
[00:05:13 - 00:05:15] 模型能够掌握不同语言之间
[00:05:15 - 00:05:16] 词汇的对应关系
[00:05:16 - 00:05:17] 甚至在空间推理方面
[00:05:17 - 00:05:19] 通过Alo去厨房泡茶
[00:05:19 - 00:05:21] 祖克站在Alo旁边
[00:05:21 - 00:05:22] 思考他的命运
[00:05:22 - 00:05:24] 然后祖克离开了厨房还是商店
[00:05:24 - 00:05:25] 这样的句子
[00:05:25 - 00:05:28] 模型可以学习到空间位置的推理能力
[00:05:28 - 00:05:29] 在数学运算上
[00:05:29 - 00:05:32] 对于3加4加8等于15还是11这样的例子
[00:05:32 - 00:05:35] 模型也能够逐渐学会正确的计算结果
[00:05:35 - 00:05:36] 2020年
[00:05:36 - 00:05:38] 卡普兰等人发表的论文
[00:05:38 - 00:05:40] 推广了下一个词预测中的Skinling范氏
[00:05:40 - 00:05:42] 提出了Skinling loss
[00:05:42 - 00:05:43] 这个定律表明
[00:05:43 - 00:05:44] 随着模型大小
[00:05:44 - 00:05:45] 数据级大小
[00:05:45 - 00:05:47] 以及训练计算资源的增加
[00:05:47 - 00:05:48] 下一个词的预测能力
[00:05:48 - 00:05:50] 也就是语言模型的性能
[00:05:50 - 00:05:51] 会平稳的提升
[00:05:51 - 00:05:53] 研究人员通过使用
[00:05:53 - 00:05:54] 7个数量级的计算量
[00:05:54 - 00:05:55] 进行训练验证
[00:05:55 - 00:05:57] 发现这个趋势非常的稳定
[00:05:57 - 00:05:59] 而且没有出现性能饱和的现象
[00:05:59 - 00:06:00] 这个发现
[00:06:00 - 00:06:01] 极大增强了研究人员
[00:06:01 - 00:06:03] 继续扩大规模的信心
[00:06:03 - 00:06:04] 那么
[00:06:04 - 00:06:05] 为什么Skinling
[00:06:05 - 00:06:06] 能够取得如此好的效果呢
[00:06:06 - 00:06:08] 对于小型的语言模型而言
[00:06:08 - 00:06:10] 由于参数有限
[00:06:10 - 00:06:11] 技藝成本非常高
[00:06:11 - 00:06:14] 所以在知識編碼方面必須非常的謹慎
[00:06:14 - 00:06:17] 而大型的語言模型擁有大量的參數
[00:06:17 - 00:06:19] 在學習尾部知識和技藝大量事實方面
[00:06:19 - 00:06:21] 具有更大的優勢
[00:06:21 - 00:06:25] 例如小型模型可能無法存儲和利用一些較為罕見的知識
[00:06:25 - 00:06:27] 但是大型模型可以輕鬆的應對
[00:06:27 - 00:06:31] 此外小型模型在單次前向傳遞中的計算容量較低
[00:06:31 - 00:06:33] 主要是學習一節相關性
[00:06:33 - 00:06:36] 而大型模型在擁有更多計算資源的情況下
[00:06:36 - 00:06:38] 可以學習複雜的啟發式方法
[00:06:38 - 00:06:40] 从而更好的处理各种任务
[00:06:40 - 00:06:43] 然而 尽管Skinly loss就有一定的可预测性
[00:06:43 - 00:06:45] 但是ChadGBT的成功
[00:06:45 - 00:06:47] 仍然让许多人感到惊讶
[00:06:47 - 00:06:48] 因为对下一个词的预测
[00:06:48 - 00:06:51] 实际上是一种大规模的多任务学习
[00:06:51 - 00:06:53] 不同任务的能力提升速度并不相同
[00:06:53 - 00:06:55] 我们可以将下一个词的预测准确性
[00:06:55 - 00:06:58] 看作是多个子任务准确性的加权总和
[00:06:58 - 00:07:00] 例如 愚法准确性
[00:07:00 - 00:07:01] 世界知识准确性
[00:07:01 - 00:07:02] 情感分析准确性
[00:07:02 - 00:07:04] 数学能力准确性
[00:07:04 - 00:07:06] 空间推理准确性等等
[00:07:06 - 00:07:08] 当模型整体性能提升的时候
[00:07:08 - 00:07:11] 不同任务的提升幅度可能会有很大的差异
[00:07:11 - 00:07:14] 比如说GPT3.5的语法已经近乎完美
[00:07:14 - 00:07:16] 在后续训练GPT4的时候
[00:07:16 - 00:07:18] 语法方面的性能提升可能就微乎其微
[00:07:18 - 00:07:20] 而在数学能力方面
[00:07:20 - 00:07:22] GPT3和GPT2表现较差
[00:07:22 - 00:07:24] 但是GPT4却有了巨大的飞运
[00:07:24 - 00:07:27] 这种现象被称为涌现能力或者是相辨
[00:07:27 - 00:07:29] 以翻译任务为例
[00:07:29 - 00:07:31] 当给定提示我喜欢踢足球和网球
[00:07:31 - 00:07:33] 并且要求翻译成西班牙语的时候
[00:07:33 - 00:07:37] 較小的模型Adam和Babbage可能只是重複答案
[00:07:37 - 00:07:38] 無法正確的完成翻譯
[00:07:39 - 00:07:41] 而最大的模型Curer卻能夠突然學會
[00:07:41 - 00:07:43] 並且完美的執行這項任務
[00:07:43 - 00:07:45] 這表明在模型規模達到一定程度後
[00:07:45 - 00:07:47] 一些原本難以完成的任務
[00:07:47 - 00:07:48] 會突然變得可行
[00:07:48 - 00:07:51] 模型的能力出現了智的提升
[00:07:51 - 00:07:53] 但是僅僅通過Skinning下一個詞的預測
[00:07:53 - 00:07:55] 就想要實現EGA的想法
[00:07:55 - 00:07:57] 可能會面臨巨大的挑戰
[00:07:57 - 00:07:59] 因為對於某些詞的預測非常困難
[00:07:59 - 00:08:02] 需要進行大量的計算和複雜的推理
[00:08:02 - 00:08:05] 比方说在面对这样一个数学问题的时候
[00:08:05 - 00:08:06] 为了预测下一个词
[00:08:06 - 00:08:09] 也就是正确的答案A B或者C
[00:08:09 - 00:08:11] 模型实际上需要完成整个数学计算过程
[00:08:11 - 00:08:14] 这对于单纯的下一个词预测来说
[00:08:14 - 00:08:15] 是一个巨大的平静
[00:08:15 - 00:08:16] 为了解决这个问题
[00:08:16 - 00:08:19] 研究人员提出了思维链提示的方法
[00:08:19 - 00:08:22] 这种方法类似于我们在解决数学问题时
[00:08:22 - 00:08:23] 向老师展示解题的过程
[00:08:23 - 00:08:26] 要求语言模型在给出最终答案之前
[00:08:26 - 00:08:27] 输出推理链
[00:08:27 - 00:08:30] 时间证明这种方法在数学应用题
[00:08:30 - 00:08:31] 基准测试中效果显数
[00:08:31 - 00:08:33] 能够大幅提升模型的性能
[00:08:33 - 00:08:35] 并且随着模型规模的扩大
[00:08:35 - 00:08:37] 性能提升效果更加明显
[00:08:37 - 00:08:38] 不过呢
[00:08:38 - 00:08:40] 思维链提示也存在着一定的局限性
[00:08:40 - 00:08:42] 在互联网上的大部分数据中
[00:08:42 - 00:08:45] 模型训练所依据的推理过程
[00:08:45 - 00:08:46] 往往是事后总结的
[00:08:46 - 00:08:48] 而不是真实的思维过程
[00:08:48 - 00:08:50] 例如大学数学作业的解决方案
[00:08:50 - 00:08:52] 通常是经过整理和完善的
[00:08:52 - 00:08:53] 因为我们实际的思考过程
[00:08:53 - 00:08:55] 可能存在的差异
[00:08:55 - 00:08:57] 我们真正希望模型能够模拟的
[00:08:57 - 00:09:00] 是人类的内心独白或者思想流
[00:09:00 - 00:09:00] 比如说
[00:09:00 - 00:09:03] 我先看看我们应该采取什么方法
[00:09:03 - 00:09:04] 哦 我试试这个
[00:09:04 - 00:09:05] 实际上好像错了
[00:09:05 - 00:09:07] 我再试试别的方法
[00:09:07 - 00:09:08] 我算一下这个
[00:09:08 - 00:09:09] 好了 答案对了
[00:09:09 - 00:09:10] 这是我的最终答案
[00:09:10 - 00:09:11] 但是目前的训练数据
[00:09:11 - 00:09:13] 还难以完全满足这个要求
[00:09:13 - 00:09:16] 于是这就引出了第二个Skeling范氏
[00:09:16 - 00:09:19] 那就是在思维链上去Skeling强化学习
[00:09:19 - 00:09:22] 这个范氏的核心思想是训练语言模型
[00:09:22 - 00:09:24] 在给出答案之前进行思考
[00:09:24 - 00:09:27] 除了向传统的扩展训练计算量之外
[00:09:27 - 00:09:28] 还增加了一个新的维度
[00:09:28 - 00:09:32] 也就是扩展語言模型在推理時可以思考的時間長度
[00:09:32 - 00:09:35] OpenF發布的歐萬模型就是這個範式的典型代表
[00:09:35 - 00:09:37] 在解決化學問題的時候
[00:09:37 - 00:09:39] 歐萬模型會首先明確問題
[00:09:39 - 00:09:40] 比如說
[00:09:40 - 00:09:42] 首先讓我們來理解一下問題是什麼
[00:09:42 - 00:09:44] 然後逐步的分析問題
[00:09:44 - 00:09:46] 確定存在著哪些理子
[00:09:46 - 00:09:47] 考慮不同的計算策略
[00:09:47 - 00:09:49] 比如計算PH值的時候
[00:09:49 - 00:09:51] 會思考KA和KB值的關係
[00:09:51 - 00:09:53] 不斷回溯和調整思路
[00:09:53 - 00:09:55] 最終得出正確答案
[00:09:55 - 00:09:56] 在填字遊戲
[00:09:56 - 00:09:59] 数读等等具有验证不对称性的问题上
[00:09:59 - 00:10:00] O1模型也表现出色
[00:10:00 - 00:10:02] 那么什么是不对称性问题呢
[00:10:02 - 00:10:04] 就是验证一个解决方案
[00:10:04 - 00:10:06] 要比生成一个解决方案要容易的多
[00:10:06 - 00:10:08] 比方说在解决填字游戏的时候
[00:10:08 - 00:10:11] O1会先行思考横行可能的答案
[00:10:11 - 00:10:14] 然后再根据数行的线索进行验证和调整
[00:10:14 - 00:10:16] 逐步找到正确的答案
[00:10:16 - 00:10:19] 在竞赛数学和竞赛代码等等需要大量思考
[00:10:19 - 00:10:21] 才能够获得良好表现的问题上
[00:10:21 - 00:10:24] O1模型相比GPT4O有了巨大的提升
[00:10:24 - 00:10:27] 在竞赛数学数据级上的Pass1准确率
[00:10:27 - 00:10:29] 会随着训练计算量的增加而提高
[00:10:29 - 00:10:31] 而且在推理的时候
[00:10:31 - 00:10:33] 给模型更多的时间去思考
[00:10:33 - 00:10:35] 也能够在基准测试上取得更好的成绩
[00:10:35 - 00:10:37] 这表明在思维链上
[00:10:37 - 00:10:38] Skillian强化学习的范世
[00:10:38 - 00:10:40] 为模型处理复杂问题
[00:10:40 - 00:10:42] 提供了更强大的能力
[00:10:42 - 00:10:43] 从长远来看
[00:10:43 - 00:10:44] 我们希望人工智能
[00:10:44 - 00:10:46] 能够帮助我们解决人类面临的一些
[00:10:46 - 00:10:47] 最具有挑战性的问题
[00:10:47 - 00:10:49] 比如说听力疾病
[00:10:49 - 00:10:50] 环境保护等等
[00:10:50 - 00:10:52] 在未来我们可以想象
[00:10:52 - 00:10:55] 被一个非常究挑战性的问题提供一个提示
[00:10:55 - 00:10:58] 比方说赚钱一篇关于让AI更安全的
[00:10:58 - 00:10:59] 最佳方法的研究论文
[00:10:59 - 00:11:02] 语言模型可以在推理式分配大量的计算资源
[00:11:02 - 00:11:04] 通过长时间的思考和分析
[00:11:04 - 00:11:07] 可能需要在数千个GPU上处理一个月
[00:11:07 - 00:11:10] 最终返回一个全面的答案和研究成果
[00:11:10 - 00:11:13] 另外 随着SkinLoss在人工智能领域的广泛应用
[00:11:13 - 00:11:15] 它也深刻的改变了AI的文化
[00:11:15 - 00:11:16] 在数据方面
[00:11:16 - 00:11:19] 过去的研究人员主要致力于改进神经网络
[00:11:19 - 00:11:22] 来学习特定的XY之间的关系
[00:11:22 - 00:11:24] 而现在的重点更多的转向了
[00:11:24 - 00:11:26] 去收集更好的X和Y集合
[00:11:26 - 00:11:28] 比方说谷歌的Manova论文
[00:11:28 - 00:11:31] 揭示了通过在大量的数学数据和档案数据上
[00:11:31 - 00:11:34] 对现有的语言模型进行持续的训练
[00:11:34 - 00:11:36] 可以显著提高模型的数学性能
[00:11:36 - 00:11:38] 这表明数据的质量和多样性
[00:11:38 - 00:11:40] 在模型训练中越来越重要
[00:11:40 - 00:11:42] 在评估方法上
[00:11:42 - 00:11:45] 目前的行业中存在的一个急需解决的问题
[00:11:45 - 00:11:49] 那就是缺乏能够准确评估语言模型能力边界的评估方法
[00:11:49 - 00:11:51] 从一些基准测试的发展情况来看
[00:11:51 - 00:11:52] 比如说GPQA
[00:11:53 - 00:11:56] 它是近年以来最具有挑战性的基准测试之一
[00:11:56 - 00:11:57] 但是在大约一年之内
[00:11:57 - 00:11:59] 就被O1模型给跑饱合了
[00:11:59 - 00:12:01] 这说明现有的评估基准
[00:12:01 - 00:12:04] 很容易被前沿模型达到性能上限
[00:12:04 - 00:12:06] 难以真正衡量模型的全部能力
[00:12:06 - 00:12:09] 我们需要更加完善和多样化的评估方法
[00:12:09 - 00:12:11] 来准确的评估模型的性能和进步
[00:12:11 - 00:12:13] 在模型类型上
[00:12:13 - 00:12:14] 出现了从单一任务模型
[00:12:14 - 00:12:16] 向高度多任务模型的转变
[00:12:16 - 00:12:18] 过去每个自然语言处理任务
[00:12:18 - 00:12:20] 都需要单独的模型
[00:12:20 - 00:12:23] 而现在一个模型可以尝试完成多种不同的任务
[00:12:23 - 00:12:25] 不过这也带来了一些挑战
[00:12:25 - 00:12:27] 比如说在不同的任务和维度上
[00:12:27 - 00:12:29] 却衡量模型的优劣
[00:12:29 - 00:12:30] 变得更加复杂
[00:12:30 - 00:12:32] 一个模型可能在某些方面表现出色
[00:12:32 - 00:12:36] 比如说能够成为竞赛级的程序二和数学家
[00:12:36 - 00:12:38] 但在一些简单的比较问题上
[00:12:38 - 00:12:41] 比如说判断9.1和9.8哪个更大的时候
[00:12:41 - 00:12:42] 却可能出现错误
[00:12:42 - 00:12:45] 这说明我们不能仅仅依靠单一的指标
[00:12:45 - 00:12:47] 来评估模型的整体性能
[00:12:47 - 00:12:49] 需要综合考虑多个方面的因素
[00:12:49 - 00:12:51] 在团队规模上也发生了显著的变化
[00:12:51 - 00:12:52] 在2015年
[00:12:52 - 00:12:56] 像迪德里克金马和吉米巴这样的两个人
[00:12:56 - 00:12:58] 就可以写出具有开创性的论文
[00:12:58 - 00:13:01] 比如说被广泛引用的Adam一种随机优化方法
[00:13:01 - 00:13:05] 然而如今构建像O1或者是Gemini这样的大型模型
[00:13:05 - 00:13:06] 则需要一个庞大的团队
[00:13:06 - 00:13:09] 这反映了随着人工智能技术的发展
[00:13:09 - 00:13:11] 项目的复杂性在不断的增加
[00:13:11 - 00:13:12] 需要更多的专业人员
[00:13:12 - 00:13:14] 参与到模型的研发和训练过程中
[00:13:14 - 00:13:15] 最后呢
[00:13:15 - 00:13:17] JSWI展望了一下人工智能的未来
[00:13:17 - 00:13:20] 认为AI在多个方向上有着巨大的发展潜力
[00:13:20 - 00:13:23] 比如说在科学和医疗保健领域
[00:13:23 - 00:13:25] 减少模型的幻节方面
[00:13:25 - 00:13:27] 多摩泰以及AI对于工具的使用等等
[00:13:27 - 00:13:30] 另外未来要重点关注的一个方面
[00:13:30 - 00:13:32] 在于人工智能的应用落地
[00:13:32 - 00:13:34] 虽然目前在很多技术领域
[00:13:34 - 00:13:35] 已经取得了很大的进展
[00:13:35 - 00:13:37] 但是实际部署和广泛应用方面
[00:13:37 - 00:13:39] 仍然存在着一定的差距
[00:13:39 - 00:13:41] 比如说在全球范围内
[00:13:41 - 00:13:42] 大规模部署自动驾驶技术
[00:13:42 - 00:13:44] 仍然面临着许多的挑战
[00:13:44 - 00:13:46] 我们需要进一步缩小技术前沿
[00:13:46 - 00:13:48] 以實際應用之間的差距
[00:13:48 - 00:13:50] 讓人工智能真正的造福人類社會
[00:13:50 - 00:13:53] 好了 以上就是Jayson Wei這次演講的主要內容了
[00:13:53 - 00:13:55] 希望能夠讓大家更好的理解
[00:13:55 - 00:13:57] Skinny Loss的歷史和發展
[00:13:57 - 00:13:59] 感謝大家的觀看 我們下期再見
