BV号：BV1PmdZYpERs
标题：BV1PmdZYpERs
链接：https://www.bilibili.com/video/BV1PmdZYpERs
识别语言：zh
语言置信度：1
分段数：274
生成时间：2026-08-30 07:13:11

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] AI的风险有两种
[00:01:12 - 00:01:14] 派金好奇的询问
[00:01:14 - 00:01:15] 获奖当天的感受
[00:01:15 - 00:01:17] 新顿形容那是令人惊叹的一天
[00:01:17 - 00:01:18] 尤其是考虑到
[00:01:18 - 00:01:20] 他并非从事物理学研究
[00:01:20 - 00:01:22] 却获得了物理学诺贝尔奖
[00:01:22 - 00:01:23] 这个有趣的事实
[00:01:23 - 00:01:24] 随后新顿又解释到
[00:01:24 - 00:01:27] 自己认为他们想要表彰人工智能领域的发展
[00:01:27 - 00:01:31] 是因为现在科学界最令人兴奋的领域就是AI了
[00:01:31 - 00:01:34] 所以他们某种程度上重新定义了物理学奖
[00:01:34 - 00:01:36] 假装新顿做的是物理学
[00:01:36 - 00:01:40] 有趣的是新顿承认自己曾经出言不讳的向诺贝尔委员会指出
[00:01:40 - 00:01:42] 自己不是做物理学研究的
[00:01:42 - 00:01:44] 不过也幽默地表示
[00:01:44 - 00:01:47] 委员会的意思是让他不要对宋上门的礼物挑三解四
[00:01:47 - 00:01:49] 关于诺贝尔奖章
[00:01:49 - 00:01:51] 新顿透露他由六王四的黄金制成
[00:01:51 - 00:01:54] 如果融化后价值大约为15000美元
[00:01:54 - 00:01:56] 但是新顿处于安全的原因
[00:01:56 - 00:01:57] 没有向派金透露
[00:01:57 - 00:01:59] 蒋章如今保存在何处
[00:01:59 - 00:02:02] 派金随后朗读了新顿获奖的官方理由
[00:02:02 - 00:02:04] 那就是因为在人工神经网络
[00:02:04 - 00:02:06] 机器学习方面的技术性发现和发明
[00:02:06 - 00:02:09] 然后请新顿用通俗异动的语言
[00:02:09 - 00:02:10] 解释这意味着什么
[00:02:10 - 00:02:13] 接下来新顿从人脑结构开始说起
[00:02:13 - 00:02:14] 以通俗异动的方式
[00:02:14 - 00:02:16] 解释了现代AI技术的原理
[00:02:16 - 00:02:18] 首先在我们的大脑中
[00:02:18 - 00:02:20] 有大量被称为神经元的脑细胞
[00:02:20 - 00:02:22] 他们之间存在着神经连接
[00:02:22 - 00:02:24] 当我们学习新东西的时候
[00:02:24 - 00:02:26] 本质上是在改变这些连接的强度
[00:02:26 - 00:02:28] 要想弄清楚大脑是如何工作的
[00:02:28 - 00:02:31] 我们就必须找出如何改变连接强度的规则
[00:02:31 - 00:02:33] 比如说为了让屏幕前的你
[00:02:33 - 00:02:36] 更好的理解大飞我刚才说的这些话
[00:02:36 - 00:02:38] 大脑有一种方式来确定
[00:02:38 - 00:02:40] 是略微加强还是减弱连接的强度
[00:02:40 - 00:02:42] 问题是这种方法是什么
[00:02:42 - 00:02:43] 它是如何做到的
[00:02:43 - 00:02:45] 新顿的研究就在于
[00:02:45 - 00:02:47] 如果我们能够模仿这个过程
[00:02:47 - 00:02:49] 用模拟的脑细胞建立一个大型的网络
[00:02:49 - 00:02:51] 以及研究它会发生什么
[00:02:51 - 00:02:53] 这是真正理解人类的唯一方式
[00:02:53 - 00:02:55] 不过新顿也指出
[00:02:55 - 00:02:57] 虽然目前我们对于大脑的工作人员里
[00:02:57 - 00:02:58] 有了更多的了解
[00:02:58 - 00:03:00] 但是仍然没有完全搞清楚
[00:03:00 - 00:03:02] 这仍然是一个巨大的问题
[00:03:02 - 00:03:05] 接下来两个人谈到了新顿对于AI风险的担忧
[00:03:05 - 00:03:08] 这也是他几年前辞去谷歌工作的原因
[00:03:08 - 00:03:10] 他将AI风险分为两种
[00:03:10 - 00:03:13] 一种是坏人滥用AI的短期风险
[00:03:13 - 00:03:14] 这已经在发生了
[00:03:14 - 00:03:17] 比如说恶意获取大量用户的数据
[00:03:17 - 00:03:20] 利用这些数据针对性的制作假的AI视频
[00:03:20 - 00:03:23] 它还特别提到了网络攻击的问题
[00:03:23 - 00:03:27] 2024年的网络钓鱼攻击是2023年的12倍
[00:03:27 - 00:03:30] 就是因为大原模型使得攻击变得更加有效
[00:03:30 - 00:03:32] 过去用户收到的网络钓鱼攻击中
[00:03:32 - 00:03:35] 语法可能是从其他语言翻译过来的
[00:03:35 - 00:03:37] 所以拼携可能有误 很容易的识别
[00:03:37 - 00:03:39] 但是现在都已经是完美的英语了
[00:03:39 - 00:03:41] 极难防范
[00:03:41 - 00:03:44] 而另一种是AI将变得比人类更聪明的长期风险
[00:03:44 - 00:03:47] 新顿对此表达了更为严重的担忧
[00:03:47 - 00:03:52] 目前几乎所有领先的AI研究者都同意AI会变得比我们更聪明
[00:03:52 - 00:03:54] 大家只是在什么时候这个问题上有分歧
[00:03:54 - 00:03:57] 有些人认为可能还需要20年
[00:03:57 - 00:03:58] 有些人认为3年
[00:03:58 - 00:04:00] 少数人认为1年
[00:04:00 - 00:04:02] 他也再次抛出了那个经典的问题
[00:04:02 - 00:04:05] 那就是我们见过多少更聪明的事物
[00:04:05 - 00:04:07] 被不那么聪明的事物控制的例子吗
[00:04:07 - 00:04:08] 其实并不多
[00:04:08 - 00:04:09] 这也就意味着
[00:04:09 - 00:04:11] 当AI变得比人类更聪明的时候
[00:04:11 - 00:04:13] 我们很难摆脱他的控制
[00:04:13 - 00:04:14] 新论自己的猜测是
[00:04:14 - 00:04:16] 有10%-20%的可能性
[00:04:16 - 00:04:18] AI会接管一切
[00:04:18 - 00:04:20] 但是当AI接管一切的时候
[00:04:20 - 00:04:21] 人类即将灭绝
[00:04:21 - 00:04:23] 所以新论在节目中警告说
[00:04:23 - 00:04:25] 如果我们现在不做点什么
[00:04:25 - 00:04:26] 时间可能不会很长
[00:04:26 - 00:04:29] 如今的人类处于历史的一个关键节点
[00:04:29 - 00:04:30] 我们仍然有机会弄清楚
[00:04:30 - 00:04:33] 如何开发超级智能AI并且让它变得安全
[00:04:33 - 00:04:35] 虽然我们不知道如何做到这一点
[00:04:35 - 00:04:37] 甚至不知道这是否可能
[00:04:37 - 00:04:40] 但是我们应该尝试弄清楚这个问题
[00:04:40 - 00:04:42] 以及投入大量的精力来解决这个问题
[00:04:43 - 00:04:44] 当派金要求新论说明
[00:04:44 - 00:04:47] AI如何可能導致人類滅絕的時候
[00:04:47 - 00:04:48] 它是這樣回答的
[00:04:48 - 00:04:49] 如果AI想這麼做
[00:04:49 - 00:04:51] 有太多不同的方式可以做到
[00:04:51 - 00:04:53] 雖然具體的方式不知道
[00:04:53 - 00:04:54] 但是肯定不會像
[00:04:54 - 00:04:56] 終結者電影裡演的那樣
[00:04:56 - 00:04:58] 比方說AI可能會直接創造出
[00:04:58 - 00:05:00] 一種病毒殺死所有的人類
[00:05:00 - 00:05:01] 心頓強調
[00:05:01 - 00:05:03] 現在對這種存在性威脅的研究
[00:05:03 - 00:05:04] 遠遠不夠
[00:05:04 - 00:05:06] 尤其是對於大公司來說
[00:05:06 - 00:05:08] 政府應該要求他們加大在這方面的投入
[00:05:08 - 00:05:11] 至少投入大約1%的資源才行
[00:05:11 - 00:05:12] 心頓還承認到
[00:05:12 - 00:05:13] 雖然人們和政治家
[00:05:13 - 00:05:15] 都正在意识到这个问题
[00:05:15 - 00:05:17] 但是最近在美国出现了倒退
[00:05:17 - 00:05:18] 比如说特朗普政府
[00:05:18 - 00:05:22] 废除了拜登政府对于AI安全制定的行政命令
[00:05:22 - 00:05:23] 而之所以会这样
[00:05:23 - 00:05:25] 是因为美国最富有的科技人士
[00:05:25 - 00:05:27] 现在都在支持特朗普政府
[00:05:27 - 00:05:29] 关于如何应对AI的威胁
[00:05:29 - 00:05:32] 新顿认为首先第一步是建立共识
[00:05:32 - 00:05:34] 认识到这是一个真正严重的问题
[00:05:34 - 00:05:36] 而不仅仅是科幻小说
[00:05:36 - 00:05:37] 这就像是气候变化一样
[00:05:37 - 00:05:39] 必须首先建立共识
[00:05:39 - 00:05:41] 认识到气候变化确实存在
[00:05:41 - 00:05:42] 如果大家不采取行动
[00:05:42 - 00:05:44] 后果将非常可怕
[00:05:44 - 00:05:46] 然后才能够开始采取行动
[00:05:46 - 00:05:47] 所以对于AI威胁
[00:05:47 - 00:05:49] 大家首先需要达成共识
[00:05:49 - 00:05:50] 另一方面
[00:05:50 - 00:05:51] 面对生存性的威胁
[00:05:51 - 00:05:53] 不同国家应该合作起来
[00:05:53 - 00:05:55] 因为没有人想要被灭绝
[00:05:55 - 00:05:57] 不过现在需要尽快搞清楚
[00:05:57 - 00:05:58] 怎么去做
[00:05:58 - 00:06:00] 起来联合国是不太能够
[00:06:00 - 00:06:01] 胜任领导任务的
[00:06:01 - 00:06:02] 而那些大型科技公司
[00:06:02 - 00:06:04] 必须肩负起这个责任
[00:06:04 - 00:06:05] 因为只有他们有资源
[00:06:05 - 00:06:07] 来训练前沿的模型
[00:06:07 - 00:06:08] 随后访谈转向了
[00:06:08 - 00:06:10] 新顿与埃罗马斯克的关系
[00:06:11 - 00:06:11] 新顿表示
[00:06:11 - 00:06:14] 他在某些问题上与马斯克意见一致
[00:06:14 - 00:06:16] 比如说AI对于人类的生存威胁
[00:06:16 - 00:06:19] 但是新顿对于马斯克目前的行为提出了尖锐的批评
[00:06:19 - 00:06:23] 认为他现在在斗志的所作所为是令人增无的
[00:06:23 - 00:06:25] 他几乎是随意的采检大量的工作人员
[00:06:25 - 00:06:27] 而且对此毫不在乎
[00:06:27 - 00:06:30] 所以新顿前一段也在X平台上发表了一条评论
[00:06:30 - 00:06:34] 认为埃罗马斯克应该被开除出英国皇家学会
[00:06:34 - 00:06:37] 不是因为他都受阴谋论和向邪恶经历
[00:06:37 - 00:06:40] 而是因为他对于美国科学机构造成的巨大伤害
[00:06:40 - 00:06:42] 而马斯克的回应是
[00:06:42 - 00:06:43] 只有懦弱不安全的傻瓜
[00:06:43 - 00:06:46] 才会在乎奖励和会员资格
[00:06:46 - 00:06:47] 历史是真正的裁判
[00:06:47 - 00:06:48] 永远如此
[00:06:48 - 00:06:51] 如今两个人几乎已经断绝了联系
[00:06:51 - 00:06:51] 最近的一次
[00:06:51 - 00:06:54] 还是几年前马斯克想招聘新顿
[00:06:54 - 00:06:55] 去做X的顾问
[00:06:55 - 00:06:56] 而新顿拒绝了
[00:06:56 - 00:06:57] 估计这两个人
[00:06:57 - 00:06:59] 这辈子也不会再有什么来往了
[00:06:59 - 00:07:01] 随后新顿对于美国当前的情况
[00:07:01 - 00:07:03] 表达了强烈的批评
[00:07:03 - 00:07:04] 他指出
[00:07:04 - 00:07:05] 马斯克希望对富人
[00:07:05 - 00:07:06] 进行大规模的减税
[00:07:06 - 00:07:08] 一共四万亿美元
[00:07:08 - 00:07:10] 为了不大幅增加美国国债
[00:07:10 - 00:07:12] 所以他们计划要做两件事情
[00:07:12 - 00:07:14] 分别是削减政府支出和征出关税
[00:07:14 - 00:07:17] 而关税实际上是对穷人的税收
[00:07:17 - 00:07:19] 因为关税是一种非累进税
[00:07:19 - 00:07:21] 它会让所有的东西都变得更贵
[00:07:21 - 00:07:24] 普通人将最终会为他们购买的东西
[00:07:24 - 00:07:25] 多支付4万亿美元
[00:07:25 - 00:07:27] 来支付富人的减税
[00:07:27 - 00:07:29] 这样的政策实在是令人反感
[00:07:29 - 00:07:31] 心顿也不认同小罗伯特肯尼迪的
[00:07:31 - 00:07:33] 反疫苗和反制药行业的观点
[00:07:33 - 00:07:36] 认为他们这样做只是为了销售保健品
[00:07:36 - 00:07:38] 而他们自己其实是并不真正相信的
[00:07:38 - 00:07:41] 比如说他自己的孩子都接种了疫苗
[00:07:41 - 00:07:43] 这显然更能说明一些立场
[00:07:43 - 00:07:45] 在讨论了AI的风险之后
[00:07:45 - 00:07:46] 新顿转向了AI积极的一面
[00:07:46 - 00:07:49] 特别是在医疗和教育领域的应用前景
[00:07:49 - 00:07:51] 在医疗保健方面
[00:07:51 - 00:07:53] AI将让人们获得更好的医疗保健
[00:07:53 - 00:07:56] AI家庭医生知道并且记得你做过的所有测试结果
[00:07:56 - 00:07:58] 能够提供更好的诊断
[00:07:58 - 00:08:00] 而且与医生合作的AI系统
[00:08:00 - 00:08:03] 在诊断复杂病历时的错误率
[00:08:03 - 00:08:04] 比单独的医生要低得多
[00:08:04 - 00:08:05] 在教育方面
[00:08:05 - 00:08:07] 心论同样看到了巨大的潜力
[00:08:07 - 00:08:09] 当小孩子在学习的时候
[00:08:09 - 00:08:12] AI能够准确的看到孩子们误解了什么
[00:08:12 - 00:08:14] 以及该用什么样的例子来解释这些误解
[00:08:14 - 00:08:17] 这样能够让学习的效率提升3-4倍
[00:08:17 - 00:08:20] 最后心论聊了一些跟自己有关的事情
[00:08:20 - 00:08:23] 比如说他为什么会被大家称为AI教父
[00:08:23 - 00:08:25] 以及他为什么要将不到一半的诺边奖金
[00:08:25 - 00:08:27] 大概35万家园
[00:08:27 - 00:08:28] 捐赠给帮助原住民地区
[00:08:28 - 00:08:31] 更安全使用水资源的WordFORCE的组织
[00:08:31 - 00:08:33] 这源于他在秘鲁收养了一个孩子
[00:08:33 - 00:08:36] 但是发现那里的自来水几乎不能饮用
[00:08:36 - 00:08:37] 甚至是致命的
[00:08:37 - 00:08:39] 而在像加拿大这样的富裕国家
[00:08:39 - 00:08:42] 竟然还有很多原住民社区没有安全的饮用水
[00:08:42 - 00:08:43] 比如说在安大略省
[00:08:43 - 00:08:47] 20%的原住民社区就没有安全的饮用水
[00:08:47 - 00:08:48] 这样的状况是荒谬的
[00:08:48 - 00:08:50] 所以他才捐赠了奖金
[00:08:50 - 00:08:53] 现在77岁的新顿也正在尝试着退休
[00:08:53 - 00:08:56] 不过似乎还有很多事情在等待他去做
[00:08:56 - 00:08:59] 所以他也自嘲到退休的并不顺利
[00:08:59 - 00:09:01] 好了 以上就是新顿这次访谈的主要内容了
[00:09:01 - 00:09:03] 也许正如新顿所说
[00:09:03 - 00:09:06] 现在我们正处于历史的一个关键节点
[00:09:06 - 00:09:09] 仍然有机会弄清楚如何开发安全的超级智能AI
[00:09:09 - 00:09:13] 而抓住这个机会可能是我们这个时代最重要的任务之一
[00:09:13 - 00:09:14] 感谢大家观看本期视频
[00:09:14 - 00:09:15] 我们下期再见
