BV号：BV1o3cteAE3T
标题：BV1o3cteAE3T
链接：https://www.bilibili.com/video/BV1o3cteAE3T
识别语言：zh
语言置信度：1
分段数：312
生成时间：2026-08-30 20:02:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 如果你遇到一个对自己的道德观完全确信的人
[00:08:04 - 00:08:07] 有觀眾提出了一些非常有深度的問題
[00:08:07 - 00:08:08] 一位觀眾提到
[00:08:08 - 00:08:12] 在實際應用中通過API來構建多智能體的思變系統
[00:08:12 - 00:08:15] 卻發現因為對其機制的限制而停滯不前
[00:08:15 - 00:08:16] 阿曼達·阿斯凱爾回應說
[00:08:16 - 00:08:19] 實現深度思考不一定需要多智能體
[00:08:19 - 00:08:20] 就像人類一樣
[00:08:20 - 00:08:22] 單一的個體也能深度思考
[00:08:22 - 00:08:23] 從可解釋性的角度來看
[00:08:23 - 00:08:25] 智能體系統越分散
[00:08:25 - 00:08:26] 不確定性越大
[00:08:26 - 00:08:28] 預測和控制的難度也越高
[00:08:28 - 00:08:30] 所以它設想的模型中的倫理推理
[00:08:30 - 00:08:33] 更應該接近於單一模型的深度思考過程
[00:08:33 - 00:08:37] 另一位觀眾接著於漢納·阿倫特關於平庸之惡的研究
[00:08:37 - 00:08:40] 詢問模型如何與社會進行互動關聯
[00:08:40 - 00:08:42] 以及如何應對系統性的附帶效應
[00:08:42 - 00:08:44] 亞里克斯.塔木金表示
[00:08:44 - 00:08:48] 考慮安全性和對其問題需要一種系統性的思維
[00:08:48 - 00:08:49] 不能只關注單個模型
[00:08:49 - 00:08:52] 模型的越域現象常常源自於價值觀的衝突
[00:08:52 - 00:08:55] 所以我們可以在訓練中也融入系統層面的考量
[00:08:55 - 00:08:57] 讓模型去接觸更多的場景
[00:08:57 - 00:08:59] 但是這也會帶來新的挑戰
[00:08:59 - 00:09:02] 阿曼達.阿斯凱爾提到可糾正性的概念
[00:09:02 - 00:09:04] 指出在让模型响应个体用户的需求
[00:09:04 - 00:09:07] 以及让它与整体人类利益保持一致之间
[00:09:07 - 00:09:09] 存在着根本性的张力
[00:09:09 - 00:09:11] 因此模型应该在一定程度上
[00:09:11 - 00:09:13] 更倾向于对整个人类社会负责
[00:09:13 - 00:09:16] 这需要在个体需求和集体利益之间找到平衡
[00:09:16 - 00:09:17] 还有观众问
[00:09:17 - 00:09:20] 如果在座的各位专家的研究都成功了
[00:09:20 - 00:09:23] 是否就能够构成解决AI安全的完整方案
[00:09:23 - 00:09:24] 杨莱克表示
[00:09:24 - 00:09:27] 今天的讨论只是对其研究领域的一个缩影
[00:09:27 - 00:09:29] 还有很多其他的研究者在努力
[00:09:29 - 00:09:31] 除了已经提到的方向
[00:09:31 - 00:09:34] 向模式生物研究 防範粤域的文件性研究
[00:09:34 - 00:09:37] 控制理论研究 信任与安全研究等等
[00:09:37 - 00:09:40] 这些都是构建安全AI系统不可或缺的部分
[00:09:40 - 00:09:42] 阿曼达·阿斯卡尔随机补充到
[00:09:42 - 00:09:43] 不能够简单的认为
[00:09:43 - 00:09:46] 找到对齐的解决方案就万事大极了
[00:09:46 - 00:09:47] 随着技术的发展
[00:09:47 - 00:09:49] 很可能会出现新的挑战
[00:09:49 - 00:09:51] 过早的宣传问题已经解决
[00:09:51 - 00:09:52] 无疑是危险的
[00:09:52 - 00:09:54] 最后关于模型中的涌现现象
[00:09:54 - 00:09:55] 杨莱克举例说道
[00:09:55 - 00:09:58] GPD4能够熟练的读写Base64编码
[00:09:58 - 00:10:00] 而GBT-3.5却做不到
[00:10:00 - 00:10:03] 这表明用弱模型来监督强模型的方式
[00:10:03 - 00:10:04] 很可能会被模型绕过
[00:10:04 - 00:10:06] 乔什.巴特森提到了检查点
[00:10:06 - 00:10:08] CheckPoint的重要性
[00:10:08 - 00:10:10] 应该通过合理的设置检查点
[00:10:10 - 00:10:11] 来监测模型能力的变化
[00:10:11 - 00:10:12] 他们还发现
[00:10:12 - 00:10:15] 模型在处理Base64编码时的特征
[00:10:15 - 00:10:16] 就有一定的普世性
[00:10:16 - 00:10:19] 无论模型是在用Base64讨论加历付价
[00:10:19 - 00:10:22] 还是在讲述关于孩子对于父母撒谎的故事
[00:10:22 - 00:10:24] 激活的神女员模式都是相似的
[00:10:24 - 00:10:26] 这不仅可以为我们实现一些很难的
[00:10:26 - 00:10:28] 泛化能力提供思路
[00:10:28 - 00:10:29] 同時也提醒我們
[00:10:29 - 00:10:32] 直接告訴模型去做對人類最有利的事情
[00:10:32 - 00:10:33] 這種最簡單的方式
[00:10:33 - 00:10:35] 反而可能會帶來意想不到的收穫
[00:10:35 - 00:10:38] 好了 以上就是對這期沙龍的簡單分享了
[00:10:38 - 00:10:40] 希望能夠幫助大家更好的理解
[00:10:40 - 00:10:42] AI在對其方面的發展與挑戰
[00:10:42 - 00:10:43] 這幾年呢
[00:10:43 - 00:10:45] AI的發展問題不斷引發大家的關注
[00:10:45 - 00:10:47] AI教父傑夫力心頓
[00:10:47 - 00:10:49] 更是基本上在每次演講和採訪中
[00:10:49 - 00:10:50] 都在警示這一點
[00:10:50 - 00:10:53] 而Anstropic作為頭部的AI科技公司
[00:10:53 - 00:10:55] 正是以宣稱安全的AI起家
[00:10:55 - 00:10:57] 在安全方面不僅投入巨大
[00:10:57 - 00:10:59] 也不斷有更加出色的專家加入
[00:10:59 - 00:11:02] 從安斯拉貝克經常公開的專家訪談中
[00:11:02 - 00:11:04] 我們也能夠大致了解到
[00:11:04 - 00:11:06] 世界前沿AI進展到了雷中水平
[00:11:06 - 00:11:08] 以及我們距離安全的AI究竟還有多遠
[00:11:08 - 00:11:11] 感謝大家的觀看 我們下期再見
