BV号：BV1tjT5zWETX
标题：BV1tjT5zWETX
链接：https://www.bilibili.com/video/BV1tjT5zWETX
识别语言：zh
语言置信度：1
分段数：600
生成时间：2026-08-30 03:16:45

[00:00:00 - 00:00:05] 大家好,我是為什麼叫QQ,最近人類簡史的作者尤爾-赫拉利
[00:02:25 - 00:02:27] 正所谓核战争中没有赢家
[00:02:27 - 00:02:29] 而AI则是一个更为复杂的挑战
[00:02:29 - 00:02:31] 因为它拥有巨大的积极潜力
[00:02:31 - 00:02:34] 这使得人们很难充分理解它的潜在威胁
[00:02:34 - 00:02:35] 尤娃尔还提到
[00:02:35 - 00:02:38] 自广岛和长期原子弹爆炸以来
[00:02:38 - 00:02:41] 和技术的危险性对人类而言是清晰可见的
[00:02:41 - 00:02:43] 无需过多解释
[00:02:43 - 00:02:45] 但是AI的危险则是难以把握的
[00:02:45 - 00:02:47] 因为它是一种异类的威胁
[00:02:47 - 00:02:48] 它强调
[00:02:48 - 00:02:51] AI的核心问题不在于它是邪恶的
[00:02:51 - 00:02:52] 而在于它的异类性
[00:02:52 - 00:02:55] 这是一种在许多方面可能超越人类的智能
[00:02:55 - 00:02:57] 但是它并非人类智能
[00:02:57 - 00:02:58] 也并非有机智能
[00:02:58 - 00:03:00] 很多人问悠儿
[00:03:00 - 00:03:02] AI什么时候能达到人类水平的智能
[00:03:02 - 00:03:04] 他的回答是 永远不会
[00:03:04 - 00:03:06] 因为它与我们完全不同
[00:03:06 - 00:03:07] 它巧妙地比喻到
[00:03:07 - 00:03:10] 这就像是问飞机什么时候能够达到鸟类的飞行水平
[00:03:10 - 00:03:12] 答案是永远不会
[00:03:12 - 00:03:14] 飞机和鸟类完全不同
[00:03:14 - 00:03:16] 它们以不同的方式飞行
[00:03:16 - 00:03:16] 因此
[00:03:16 - 00:03:18] AI一定会超越人类智能
[00:03:18 - 00:03:20] 但是它的本质上是一类的
[00:03:20 - 00:03:23] 这就使得预测他发展轨迹和后果,
[00:03:23 - 00:03:24] 变得极为困难。
[00:03:24 - 00:03:25] 更进一步,
[00:03:25 - 00:03:28] 由二耳抛出了一个关于AI最核心,
[00:03:28 - 00:03:30] 也最需要被大众理解的观点。
[00:03:30 - 00:03:31] 那就是他不只是一个工具,
[00:03:31 - 00:03:33] 他是一个具有能动性的Agent,
[00:03:33 - 00:03:35] 这是人类有史以来创造的,
[00:03:35 - 00:03:38] 第一项有能动性而非单纯工具的技术。
[00:03:38 - 00:03:41] 无论是原子弹还是用来发电的核反应堆,
[00:03:41 - 00:03:42] 他们都是人类手中的工具,
[00:03:42 - 00:03:45] 由人类来决定如何使用他们,
[00:03:45 - 00:03:46] 比如是用来发电,
[00:03:46 - 00:03:48] 还是用来摧毁城市,
[00:03:48 - 00:03:50] 决定权都在人类的手中,
[00:03:50 - 00:03:52] 反应堆本身是无法做出任何决定的
[00:03:52 - 00:03:56] 更不要说让它去发明下一代的反应堆或者炸弹
[00:03:56 - 00:04:00] 直到现在只有人类能够做出决策和创造新的思想
[00:04:00 - 00:04:04] 但是AI是第一种可以在没有人类帮助和干预的情况下
[00:04:04 - 00:04:07] 做到这些的技术 AI可以自行决策
[00:04:07 - 00:04:11] AI武器不需要人类指令就能够自行决定轰炸目标
[00:04:11 - 00:04:14] 甚至可以发明新的武器和军事策略
[00:04:14 - 00:04:17] 它既拥有巨大的积极潜力也拥有巨大的消极潜力
[00:04:17 - 00:04:22] 正因为如此,由我而选择在他的新书中专注于信息技术的历史
[00:04:22 - 00:04:26] 因为他认为在当前时刻,这才是我们面临的最大挑战
[00:04:26 - 00:04:30] 甚至在很多方面,是人类历史上所面临的最大挑战
[00:04:30 - 00:04:32] 数千年来,人类统治着地球
[00:04:32 - 00:04:36] 地球上没有任何事物能够在智能和创新能力上与我们竞争
[00:04:36 - 00:04:39] 但是现在,地球上出现了一种可能在几年内
[00:04:39 - 00:04:43] 就会在智能上超越我们,能够决定我们生活
[00:04:43 - 00:04:46] 能够发明从药物到武器等一切新事物的存在
[00:04:46 - 00:04:48] 这便是最大的挑战所在
[00:04:48 - 00:04:50] 随即一腾注意到
[00:04:50 - 00:04:52] 尤娃尔早在2015年初版
[00:04:52 - 00:04:53] 未来减史的时候
[00:04:53 - 00:04:56] 就已经对信息技术和信息网络发出了警告
[00:04:56 - 00:04:58] 并且给予了重点关注
[00:04:58 - 00:04:59] 她好奇地追问
[00:04:59 - 00:05:02] 与10年前转写未来减史时的思考相比
[00:05:02 - 00:05:04] 尤娃尔现在的想法有什么改变吗
[00:05:04 - 00:05:05] 这10年间
[00:05:05 - 00:05:07] 从一位历史学家
[00:05:07 - 00:05:08] 中世纪军事专家
[00:05:08 - 00:05:10] 转而聚焦于信息网络与AI
[00:05:10 - 00:05:13] 她个人的思想发展轨迹又是怎样的呢
[00:05:13 - 00:05:18] 由挖而坦言,十年前撰写未来检视的时候,谈论AI的人还非常少。
[00:05:18 - 00:05:24] 当然,计算机科学领域,谷歌和微软等顶尖公司的内部人士已经预见到了一些趋势,
[00:05:24 - 00:05:27] 也有像尼克·伯斯特·羅姆·尼克·波斯特·
[00:05:27 - 00:05:29] 这样的少数哲学家在进行探讨
[00:05:29 - 00:05:30] 但是在当时
[00:05:30 - 00:05:32] 撰写关于AI的内容
[00:05:32 - 00:05:34] 感觉更像是在讨论可能数百年后
[00:05:34 - 00:05:35] 才会发生的事情
[00:05:35 - 00:05:37] 对我们生活的直接实际影响
[00:05:37 - 00:05:38] 微乎其微
[00:05:38 - 00:05:39] 然而
[00:05:39 - 00:05:40] 时至今日
[00:05:40 - 00:05:41] AI已经无处不在
[00:05:41 - 00:05:44] 它的发展速度简直令人震惊
[00:05:44 - 00:05:45] 由我而回忆起来
[00:05:45 - 00:05:47] 当时已经有像雷库茲维尔
[00:05:47 - 00:05:49] Racors Wild 这样的人物预测
[00:05:49 - 00:05:51] 到大约2029年的时候
[00:05:51 - 00:05:53] 将会出现通用人工智能AGI
[00:05:53 - 00:05:58] 能够在所有领域超越人类当有偶尔本人在读到库兹维尔的预测时
[00:05:58 - 00:06:00] 也曾经认为他太夸张了
[00:06:00 - 00:06:01] 不可能是二零二九年
[00:06:01 - 00:06:02] 但是现在
[00:06:02 - 00:06:05] 库兹维尔仍然坚持二零二九年的预测
[00:06:05 - 00:06:08] 而他已经被认为是较为保守的思想家之一了
[00:06:08 - 00:06:13] 听听那些中美两国大型AI企业AI的人们是怎么说的
[00:06:13 - 00:06:14] 他们谈论的是在一年
[00:06:14 - 00:06:16] 五年内实现AGI
[00:06:16 - 00:06:17] 所以说
[00:06:17 - 00:06:19] AI的发展进程显著加速了
[00:06:19 - 00:06:21] 另一个显著的变化是
[00:06:21 - 00:06:23] 所有关于监管AI
[00:06:23 - 00:06:25] 与AI达成某种协议的希望
[00:06:25 - 00:06:27] 现在看起来都是极其天真的
[00:06:27 - 00:06:28] 尤娃尔认为
[00:06:28 - 00:06:31] 尤其是在最近一次美国大选之后
[00:06:31 - 00:06:35] 达成一项关于如何管理AI发展风险的全球协议的希望
[00:06:35 - 00:06:37] 基本上已经破灭了
[00:06:37 - 00:06:39] 这就引出了AI革命的一个巨大悖论
[00:06:39 - 00:06:41] 也就是信任的悖论
[00:06:41 - 00:06:43] 尤娃尔在与领导AI革命的那些人
[00:06:43 - 00:06:45] 比如OpenAI
[00:06:45 - 00:06:45] 微软
[00:06:45 - 00:06:46] 腾讯
[00:06:46 - 00:06:48] 百度等公司的负责人
[00:06:48 - 00:06:50] 以及主要的政治家交流时
[00:06:50 - 00:06:51] 总是会问他们两个问题。
[00:06:51 - 00:06:54] 第一个问题是,你们为什么发展得这么快?
[00:06:54 - 00:06:57] 由我而表示理解AI巨大的积极潜力,
[00:06:57 - 00:07:00] 但是也清楚它存在着风险,因此它建议,
[00:07:00 - 00:07:03] 让我们稍微放慢一点,给人类社会一些时间,
[00:07:03 - 00:07:07] 人类是适应性极强的生物,我们可以适应AI时代,
[00:07:07 - 00:07:09] 但是我们需要时间,请给我们多一点时间。
[00:07:09 - 00:07:12] 而这些领导者的回答几乎如出一辙。
[00:07:12 - 00:07:15] 那就是,我们理解存在巨大的风险,
[00:07:15 - 00:07:17] 甚至可能导致人类灭绝。
[00:07:17 - 00:07:19] 我们理解这一点,我们也愿意放慢速度。
[00:07:19 - 00:07:20] 但是我们不能
[00:07:20 - 00:07:22] 因为如果我们放慢了
[00:07:22 - 00:07:23] 而其他公司
[00:07:23 - 00:07:25] 其他国家的竞争对手不放慢
[00:07:25 - 00:07:27] 他们就会赢得这场竞赛
[00:07:27 - 00:07:29] 然后那些最冷酷无情的人
[00:07:29 - 00:07:30] 将主宰世界
[00:07:30 - 00:07:33] 因为他们将拥有AI这项奇妙的技术
[00:07:33 - 00:07:35] 于是结论就变成
[00:07:35 - 00:07:37] 因为我们无法信任其他的人类
[00:07:37 - 00:07:39] 所以我们必须更快地发展
[00:07:39 - 00:07:41] 然后由我尔会问第二个问题
[00:07:41 - 00:07:42] 你们认为自己能够信任
[00:07:42 - 00:07:44] 正在开发的超级智能AI吗
[00:07:44 - 00:07:45] 他们的回答都是
[00:07:45 - 00:07:46] 是的
[00:07:46 - 00:07:48] 由我尔对此感到不可思议
[00:07:48 - 00:07:50] 那些一分钟前还告诉我
[00:07:50 - 00:07:52] 他们无法信任其他人类的人
[00:07:52 - 00:07:54] 突然之间变得非常容易信任AI
[00:07:54 - 00:07:55] 他直言
[00:07:55 - 00:07:57] 这简直在冰零疯狂的边缘
[00:07:57 - 00:07:59] 因为对于人类来说
[00:07:59 - 00:08:01] 他能理解为何我们难以相互信任
[00:08:01 - 00:08:03] 但是毕竟我们与其他人类打交道
[00:08:03 - 00:08:05] 已经有数千年的经验了
[00:08:05 - 00:08:07] 了解我们自己的心理和动机
[00:08:07 - 00:08:09] 我们深知人类对权力的渴望
[00:08:09 - 00:08:11] 但是也明白制约权力的机制
[00:08:11 - 00:08:12] 数千年来
[00:08:12 - 00:08:15] 人类也发展出了学习互相信任的方法
[00:08:15 - 00:08:17] 从一万年生活在几十人小部落
[00:08:17 - 00:08:19] 无法信任部落外任何人的状态
[00:08:19 - 00:08:23] 发展到如今拥有几亿公民能够互相信任的国家
[00:08:23 - 00:08:26] 全球贸易网络也连接着地球上所有的八十亿人
[00:08:26 - 00:08:27] 我们吃的食物
[00:08:27 - 00:08:28] 穿的衣服
[00:08:28 - 00:08:30] 保护我们的药物
[00:08:30 - 00:08:32] 往往是由地球另一段的陌生人生产的
[00:08:32 - 00:08:33] 所以
[00:08:33 - 00:08:35] 尽管信任他人仍然是一个巨大的问题
[00:08:35 - 00:08:37] 但是我们在这方面拥有经验
[00:08:37 - 00:08:38] 然而
[00:08:38 - 00:08:40] 对于超级智能AI
[00:08:40 - 00:08:41] 我们反而是毫无经验的
[00:08:41 - 00:08:45] 我们不知道他们可能会发展出什么样的目标和伎倆
[00:08:45 - 00:08:48] 更不知道当数百万个超级智能AI相互作用
[00:08:48 - 00:08:51] 并且与数百万人类互动的时候会发生什么
[00:08:51 - 00:08:54] AI并非某个地方的一台大型计算机
[00:08:54 - 00:08:57] 更应将它视为一场席卷全球的移民浪潮
[00:08:57 - 00:09:01] 它认为AI就好像是一波数百万亿类移民的浪潮
[00:09:01 - 00:09:03] 他们将夺走人们的工作
[00:09:03 - 00:09:05] 拥有截然不同的如何来管理社会的想法
[00:09:05 - 00:09:07] 甚至可能会接管国家
[00:09:07 - 00:09:09] 这才应该更让人们感到恐惧
[00:09:09 - 00:09:12] 因此这个巨大的悖论的核心在于
[00:09:12 - 00:09:14] 在我们开发出超级智能AI之前
[00:09:14 - 00:09:16] 如何在人类之间建立信任
[00:09:16 - 00:09:18] 谈到信任
[00:09:18 - 00:09:19] 一腾进一步引申到
[00:09:19 - 00:09:22] 不仅是人与AI Agent之间的信任问题
[00:09:22 - 00:09:23] 所谓精英
[00:09:23 - 00:09:25] 与普通民众之间的信任鸿沟
[00:09:25 - 00:09:26] 也在不断的扩大
[00:09:26 - 00:09:27] 他关心的是
[00:09:27 - 00:09:28] 尤瓦尔的著作
[00:09:28 - 00:09:29] 可能会更多的
[00:09:29 - 00:09:31] 被所谓的精英阶层阅读
[00:09:31 - 00:09:33] 那么这些深刻的思考
[00:09:33 - 00:09:34] 在多大程度上
[00:09:34 - 00:09:35] 能够影响普通大众
[00:09:35 - 00:09:36] 毕竟
[00:09:36 - 00:09:38] 密合这两个分裂群体之间的鸿沟
[00:09:38 - 00:09:39] 至关重要
[00:09:39 - 00:09:40] 尤瓦尔回应道
[00:09:40 - 00:09:42] 如同我们头脑中发明的
[00:09:42 - 00:09:44] 他有很多分歧一樣
[00:09:44 - 00:09:46] 精英與人民之間的這種劃分
[00:09:46 - 00:09:48] 也是一種錯誤的二分法
[00:09:48 - 00:09:50] 他以世界上最富有的人
[00:09:50 - 00:09:51] 比如馬斯克
[00:09:51 - 00:09:53] 以及其他一些億萬富翁舉例
[00:09:53 - 00:09:55] 這些人本身就是億萬富翁
[00:09:55 - 00:09:57] 卻聲稱他們反對精英
[00:09:57 - 00:09:58] 由我而反問道
[00:09:58 - 00:09:59] 如果你不是精英
[00:09:59 - 00:10:01] 那麼什麼是精英
[00:10:01 - 00:10:03] 難道世界上最富有的人不是精英嗎
[00:10:03 - 00:10:06] 所有這些現在指導美國政府的億萬富翁
[00:10:06 - 00:10:07] 他們不是精英
[00:10:07 - 00:10:08] 為什麼
[00:10:08 - 00:10:09] 他認為
[00:10:09 - 00:10:14] 经英,这个词已经变成了一个负面标签,人们只是用它来攻击对手。
[00:10:14 - 00:10:19] 事实是,每个人群都有它的经英,由我而强调,管理任何人群。
[00:10:19 - 00:10:28] 哪怕是一个足球俱乐部,都离不开经英,社会中总会有一些人,在某些方面更有才华,或者拥有更多权力与影响力。
[00:10:28 - 00:10:30] 这是人类社会的本质。
[00:10:30 - 00:10:32] 问题不在于经英的存在与否。
[00:10:32 - 00:10:38] 关键在于,这是一个服务型的经英,还是一个自私自利型的经英,它进一步解释到,
[00:10:38 - 00:10:43] 在一个群体中,无论是小到朋友圈,还是大到整个国家乃至全球。
[00:10:43 - 00:10:49] 如果那些最具影响力的人,仅仅是为了自身利益而使用权力,那将是非常糟糕的局面。
[00:10:49 - 00:10:57] 理想的情况是,那些在特定领域更有才华、更具影响力或权力的人,能将他们用在社会的福祉上。
[00:10:57 - 00:11:02] 那种认为可以建立一个没有任何精英的社会的幻想,从来都行不通。
[00:11:02 - 00:11:05] 它往往是一些人借以争夺权力的伎俩。
[00:11:05 - 00:11:16] 尤瓦尔认为,尤其是对于庆硬这样的高等学服以及所有大学而言,目的应该不是摧毁精英,也不是打破群体间的壁垒,而是培养服务型的精英。
[00:11:16 - 00:11:23] 这才是大学应该追求的目标。随后,对话自然而然地延伸到了教育在应对AI时代挑战中的作用。
[00:11:23 - 00:11:34] 一腾提到尤瓦尔在书中谈到的,生活在网络空间与物理空间的人群之间的分化,以及越来越多的人沉浸在网络空间,习惯于接收碎片化信息的现象。
[00:11:34 - 00:11:35] 他忧虑地问道
[00:11:35 - 00:11:37] 像庆硬这样的高等教育机构
[00:11:37 - 00:11:40] 以及中小学等基础教育阶段
[00:11:40 - 00:11:41] 应该如何应对这一挑战
[00:11:41 - 00:11:45] 确保年轻一代仍然有能力阅读、引人深思
[00:11:45 - 00:11:46] 激发讨论的长篇内容
[00:11:46 - 00:11:48] 在这个信息获取越来越便捷
[00:11:48 - 00:11:51] 但是深度思考能力面临考验的时代
[00:11:51 - 00:11:54] 教育在维持人类智力水平方面
[00:11:54 - 00:11:56] 究竟应该扮演着什么样的角色
[00:11:56 - 00:11:57] 由我而指出
[00:11:57 - 00:11:58] 在以往的时代
[00:11:58 - 00:12:01] 教育机构的核心任务是向人们提供信息
[00:12:01 - 00:12:03] 因为信息是稀缺的
[00:12:03 - 00:12:05] 他描绘了一个这样的场景
[00:12:05 - 00:12:07] 那就是生活在偏远小镇的人们
[00:12:07 - 00:12:09] 镇上可能只有一个几百本藏书的图书馆
[00:12:09 - 00:12:12] 想要获取一本新书都非常困难
[00:12:12 - 00:12:14] 而现在,情况恰恰相反
[00:12:14 - 00:12:16] 人们不再缺乏信息
[00:12:16 - 00:12:18] 而是被海量的信息所淹没
[00:12:18 - 00:12:20] 最关键的一点是需要理解
[00:12:20 - 00:12:22] 信息并不是真相
[00:12:22 - 00:12:23] 由我二耳强调到
[00:12:23 - 00:12:26] 真相是信息中一个非常罕见的字节
[00:12:26 - 00:12:28] 如果审视世界上所有的信息
[00:12:28 - 00:12:30] 真相所占的比例微乎其微
[00:12:30 - 00:12:33] 大部分的信息都是垃圾信息
[00:12:33 - 00:12:36] 虚构、幻想、谎言和宣传等等
[00:12:36 - 00:12:37] 背后的原因也不难理解
[00:12:37 - 00:12:40] 首先,真相是昂贵的
[00:12:40 - 00:12:41] 而虚构是廉价的
[00:12:41 - 00:12:43] 赚写一篇真实的技术
[00:12:43 - 00:12:46] 需要进行研究、花费时间分析和核查事实
[00:12:46 - 00:12:49] 这需要时间、精力和金钱
[00:12:49 - 00:12:51] 而虚构则是非常廉价的
[00:12:51 - 00:12:54] 只需要将头脑中闪现的任何想法写下来即可
[00:12:54 - 00:12:56] 其次,真相往往是复杂的
[00:12:56 - 00:12:58] 因为现实是复杂的
[00:12:58 - 00:13:01] 比方说,要赚写一篇关于量子物理学的论述
[00:13:01 - 00:13:03] 这个过程本身就很复杂
[00:13:03 - 00:13:05] 而人们通常不喜欢复杂的叙事
[00:13:06 - 00:13:07] 他们更偏爱简单的故事
[00:13:07 - 00:13:09] 而虚构则可以根据需要
[00:13:10 - 00:13:11] 被编造的仅可能简单
[00:13:11 - 00:13:12] 最后
[00:13:12 - 00:13:14] 真相常常是痛苦的
[00:13:14 - 00:13:15] 虽然并非总是如此
[00:13:15 - 00:13:18] 但是现实的某些部分确实令人不适
[00:13:18 - 00:13:19] 从个人层面看
[00:13:20 - 00:13:22] 这就是人们需要心理治疗的原因
[00:13:22 - 00:13:25] 如果关于自身的一切都是愈愈有趣的
[00:13:25 - 00:13:28] 就不需要治疗师来帮助我们承认那些痛苦的记忆
[00:13:28 - 00:13:29] 或者内在的痛苦了
[00:13:29 - 00:13:32] 这一点其实也是用于整个国家
[00:13:32 - 00:13:35] 国家也常常不愿承认历史或社会中某些痛苦的部分
[00:13:35 - 00:13:38] 因此,真相有时是痛苦的
[00:13:38 - 00:13:42] 而虚构则可以被随心所欲地塑造成美好动听的故事
[00:13:42 - 00:13:45] 在这场昂贵,复杂且痛苦的真相
[00:13:45 - 00:13:48] 与廉价,简单且诱人的虚构之间的竞争中
[00:13:48 - 00:13:50] 虚构往往会胜出
[00:13:50 - 00:13:53] 所以会导致世界充斥着海量的虚构内容
[00:13:53 - 00:13:56] 因此,像大学,报社这样的机构
[00:13:56 - 00:14:00] 他们的任务已经不再仅仅是向人们提供更多信息了
[00:14:00 - 00:14:02] 而是应该为人们提供一种方法
[00:14:02 - 00:14:05] 在信息的海洋中找到那些罕见的真理宝石
[00:14:05 - 00:14:07] 并且知道如何区分两者
[00:14:07 - 00:14:09] 作为一名历史学家
[00:14:09 - 00:14:12] 尤瓦尔在历史课上交给学生的主要内容
[00:14:12 - 00:14:14] 并不是关于过去的具体史实
[00:14:14 - 00:14:17] 比如某位国王在哪一年战胜了另一位国王
[00:14:17 - 00:14:20] 这些信息学生们通过网络搜索
[00:14:20 - 00:14:21] 轻易就能获得
[00:14:21 - 00:14:24] 他们真正需要在历史课上学到的
[00:14:24 - 00:14:26] 是如何区分可靠的历史来源
[00:14:26 - 00:14:31] 和不可靠的历史来源,比如一个来源可能是我们今天在互联网上看到的东西。
[00:14:31 - 00:14:35] 像是TikTok上看到的视频,你是否该相信它呢?
[00:14:35 - 00:14:40] 另一个来源可能是来自中世纪的一份文件,你又该如何判断是否应该相信它呢?
[00:14:40 - 00:14:46] 因为一千年前的人们也会撒谎,而不仅仅是今天的人们,这才是核心的问题。
[00:14:46 - 00:14:50] 当然,在每个科学学科中,这个问题会略有不同,
[00:14:50 - 00:14:53] 但是关键都不在于如何获取更多的信息
[00:14:53 - 00:14:57] 而在于我们如何区分可靠的信息和不可靠的信息
[00:14:57 - 00:14:59] 物理学或化学实验也是同理
[00:14:59 - 00:15:03] 比如如何知道是否应该采取某个实验的结果呢
[00:15:03 - 00:15:05] 随后,伊藤提到
[00:15:05 - 00:15:08] 阅读尤娃尔的新书《智人之上》
[00:15:08 - 00:15:10] 虽然给她带来了复杂的情感体验
[00:15:10 - 00:15:11] 甚至有些痛苦
[00:15:11 - 00:15:13] 但是也同时给予了她希望
[00:15:13 - 00:15:15] 因为事情还没有到无法挽回的地步
[00:15:15 - 00:15:18] 人类拥有自我纠错和合作的能力
[00:15:18 - 00:15:19] 只要我们有足够的时间
[00:15:19 - 00:15:22] 在AI发展到某个临界点之前
[00:15:22 - 00:15:24] 或许能够找到应对之道
[00:15:24 - 00:15:25] 正是基于这种考量
[00:15:25 - 00:15:27] 轻盈大学成立了跨尊严中心
[00:15:27 - 00:15:29] CROSS Dignity Center
[00:15:29 - 00:15:32] 希望召集人文社科学者共同应对这一挑战
[00:15:32 - 00:15:34] 它随即向尤阿尔抛出了一个问题
[00:15:34 - 00:15:37] 那就是如果尤阿尔是这个中心的研究员
[00:15:37 - 00:15:40] 最想要研究的课题会是什么
[00:15:40 - 00:15:42] 尤阿尔毫不犹豫地回答道
[00:15:42 - 00:15:44] 他认为目前最为紧迫的课题
[00:15:44 - 00:15:46] 就是如何在人类之间建立信任
[00:15:46 - 00:15:49] 因为当前世界正目睹着人类信任的瓦解
[00:15:49 - 00:15:52] 而这恰恰发生在我们最需要信任的时刻
[00:15:52 - 00:15:53] 他强调
[00:15:53 - 00:15:56] 当今世界最大的危险其实并不是AI
[00:15:56 - 00:15:58] 而是人类之间的不信任
[00:15:58 - 00:16:01] 如果人类之间能够互相信任并且合作
[00:16:01 - 00:16:04] 我们仍然可以设计出安全发展AI的方法
[00:16:04 - 00:16:05] 正是人类间的不信任
[00:16:05 - 00:16:07] 使得AI革命变得如此危险
[00:16:07 - 00:16:08] 因此
[00:16:08 - 00:16:10] 它会聚焦在这个课题上
[00:16:10 - 00:16:11] 并且相信
[00:16:11 - 00:16:14] 现在建立足够的人类互信来控制AI
[00:16:14 - 00:16:15] 还为时不晚
[00:16:15 - 00:16:16] 那么
[00:16:16 - 00:16:18] 具体因如何着手应对呢
[00:16:18 - 00:16:20] 由我而认为,这需要多学科的投入
[00:16:20 - 00:16:24] 因为没有任何单一学科能够独立解决这个问题
[00:16:24 - 00:16:26] 我们需要生物学和心理学的视角
[00:16:26 - 00:16:30] 我们仍然是动物,需要理解自身的动物性传承
[00:16:30 - 00:16:33] 当然也需要经济学、计算机科学的参与
[00:16:33 - 00:16:37] 因为当今所有的社会系统都建立在新的信息技术之上
[00:16:37 - 00:16:38] 许多在过去10年
[00:16:38 - 00:16:41] 20年间非常成功的人类信任建立方法
[00:16:41 - 00:16:43] 如今可能都已经过时了
[00:16:43 - 00:16:46] 因为现在人类通过计算机进行交流
[00:16:46 - 00:16:49] 关于过去一二十年间人类信任崩溃的原因
[00:16:49 - 00:16:51] 本身也存在着巨大的讨论
[00:16:51 - 00:16:53] 而且又是一个悖论
[00:16:53 - 00:16:55] 因为从很多的硬数据来看
[00:16:55 - 00:16:58] 比如儿童死亡率、疾病、饥荒等
[00:16:58 - 00:17:01] 人类社会正处于有史以来最好的状态
[00:17:01 - 00:17:05] 但是人们却如此愤怒、沮丧、无法相互沟通
[00:17:05 - 00:17:06] 由我而认为
