BV号：BV1pHjo6VE2J
标题：BV1pHjo6VE2J
链接：https://www.bilibili.com/video/BV1pHjo6VE2J
识别语言：zh
语言置信度：1
分段数：329
生成时间：2026-08-29 18:11:55

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] AI正在疯狂进化
[00:04:48 - 00:04:50] 你能做事,这还不够
[00:04:50 - 00:04:52] 你得让人理解你为什么这样做
[00:04:52 - 00:04:54] 以及这样做的价值
[00:04:54 - 00:04:55] 说服力不是操纵
[00:04:55 - 00:04:58] 说服力是你能清楚地表达你的想法的价值
[00:04:58 - 00:05:01] 让别人理解为什么他们应该在乎
[00:05:01 - 00:05:03] 这在任何领域都很关键
[00:05:03 - 00:05:04] 你可能有最好的想法
[00:05:04 - 00:05:06] 但如果你无法表达
[00:05:06 - 00:05:07] 无法让别人理解
[00:05:07 - 00:05:09] 那这个想法就没有价值
[00:05:09 - 00:05:10] 第四个
[00:05:10 - 00:05:11] 坚持失败
[00:05:11 - 00:05:12] 不是死刑失败
[00:05:12 - 00:05:13] 是信息反馈
[00:05:13 - 00:05:15] 你得看着这些反馈
[00:05:15 - 00:05:16] 不断去调整你的方向
[00:05:16 - 00:05:18] 这是最难的一个
[00:05:18 - 00:05:19] 因为大部分人在失败后
[00:05:19 - 00:05:21] 我会陷入自我怀疑
[00:05:21 - 00:05:22] 我是不是不行
[00:05:22 - 00:05:23] 我是不是选错了方向
[00:05:23 - 00:05:26] 但成功的人他们把失败看作是信息
[00:05:26 - 00:05:28] 这个方向不对那就换个方向
[00:05:28 - 00:05:30] 这个方法不行那就改进
[00:05:30 - 00:05:31] 第五个
[00:05:31 - 00:05:31] 迪戴
[00:05:31 - 00:05:34] 基于反馈不断改进这是一个循环
[00:05:34 - 00:05:35] 你尝试看结果
[00:05:35 - 00:05:36] 改进再尝试
[00:05:36 - 00:05:39] 这个循环越快你学到的东西就越多
[00:05:39 - 00:05:40] 你成功的概率就越高
[00:05:40 - 00:05:41] 关键来了
[00:05:41 - 00:05:44] 有一个很重要的概念叫做无许可杠杆
[00:05:44 - 00:05:46] 这个概念最初来自navorevicant
[00:05:46 - 00:05:49] 他讲的是代码和媒体不需要别人批准
[00:05:49 - 00:05:52] 就能被复制传播并持续产生影响
[00:05:52 - 00:05:53] 什么意思
[00:05:53 - 00:05:56] 就是你不需要任何人的许可就能创造价值
[00:05:56 - 00:05:57] 你能写代码
[00:05:57 - 00:05:59] 代码能在你睡觉的时候为你工作
[00:05:59 - 00:06:00] 你能表达想法
[00:06:00 - 00:06:02] 想法能被很多人看到产生影响
[00:06:02 - 00:06:03] 你能解决问题
[00:06:03 - 00:06:05] 解决方案能帮助别人
[00:06:05 - 00:06:06] 在以前这很难
[00:06:06 - 00:06:08] 你需要电视台的许可才能上电视
[00:06:08 - 00:06:10] 你需要出版社的许可才能出书
[00:06:10 - 00:06:13] 你需要大公司的许可才能做事
[00:06:13 - 00:06:15] 但现在技术把门槛踩到了脚底
[00:06:15 - 00:06:17] 不过这里有个很重要的区别
[00:06:17 - 00:06:19] 有些东西的价值是相对客观的
[00:06:19 - 00:06:21] 一个系统要么快要么慢
[00:06:21 - 00:06:22] 一个逻辑要么对要么错
[00:06:22 - 00:06:25] 但有些东西的价值是主观的
[00:06:25 - 00:06:26] 你的视角你的经历
[00:06:26 - 00:06:28] 你踩过的坑你的思维框架
[00:06:28 - 00:06:30] 这些是独特的
[00:06:30 - 00:06:31] 这就是为什么
[00:06:31 - 00:06:33] 有想法的人在任何时代都有竞争力
[00:06:33 - 00:06:35] 不是因为他们做什么工作
[00:06:35 - 00:06:37] 而是因为他们有独特的观点
[00:06:37 - 00:06:40] 有清晰的表达有坚持的行动
[00:06:40 - 00:06:42] 这些东西是无法被复制的
[00:06:42 - 00:06:44] 很多人觉得要改变现状
[00:06:44 - 00:06:46] 就得赶紧去学个什么热门技能
[00:06:46 - 00:06:48] 或者去搞个什么封口上的副业
[00:06:48 - 00:06:49] 但真相是
[00:06:49 - 00:06:52] 如果你不改变你的思维方式
[00:06:52 - 00:06:53] 你学什么都没用
[00:06:53 - 00:06:54] 你只是在重复同样的模式
[00:06:54 - 00:06:58] 你必须一夜之间改变你的环境你接触的人
[00:06:58 - 00:06:59] 你看的信息
[00:06:59 - 00:07:00] 你每天的习惯
[00:07:00 - 00:07:01] 你关注的账号
[00:07:01 - 00:07:03] 你消费的内容
[00:07:03 - 00:07:05] 这可以用预测加工来类比
[00:07:05 - 00:07:08] 大脑会根据已有经验和环境线索形成预期
[00:07:08 - 00:07:10] 但别把它说成决定论
[00:07:10 - 00:07:13] 环境更像是在持续未给你默认选项
[00:07:13 - 00:07:15] 如果你每天都在看焦虑的新闻
[00:07:15 - 00:07:16] 你就会被未焦虑
[00:07:16 - 00:07:19] 如果你每天都在看解决问题的故事
[00:07:19 - 00:07:21] 你就会开始思考怎么解决问题
[00:07:21 - 00:07:23] 所以丹寇的建议很激进
[00:07:23 - 00:07:24] 改变一切
[00:07:24 - 00:07:26] 明天起床不要按照昨天的方式生活
[00:07:26 - 00:07:29] 吃不同的东西去不同的地方
[00:07:29 - 00:07:30] 和不同的人交流
[00:07:30 - 00:07:32] 看不同的内容就听起来很疯狂
[00:07:32 - 00:07:34] 但这就是思维改变的开始
[00:07:34 - 00:07:37] 这就引出了今天最有价值的认知框架
[00:07:37 - 00:07:40] 丹寇给出了一个15分钟的练习
[00:07:40 - 00:07:42] 第一步 挖掘你的原始素材
[00:07:42 - 00:07:44] 你对什么东西了解的太多
[00:07:44 - 00:07:45] 多到绝对不是巧合
[00:07:45 - 00:07:47] 可能是某个领域
[00:07:47 - 00:07:48] 可能是某个问题的解决方案
[00:07:48 - 00:07:50] 可能是你独特的经历
[00:07:50 - 00:07:52] 你为自己解决了什么问题
[00:07:52 - 00:07:54] 而你以为别人早就解决了
[00:07:54 - 00:07:55] 但其实没有
[00:07:55 - 00:07:57] 你小时候因为什么被骂
[00:07:57 - 00:07:59] 但那其实是你早期的天赋
[00:07:59 - 00:08:00] 比如你总是问为什么
[00:08:00 - 00:08:02] 你的父母说别问那么多
[00:08:02 - 00:08:05] 但这个特质其实是你天生的好奇心
[00:08:05 - 00:08:06] 把这些东西挖出来
[00:08:06 - 00:08:08] 这就是你的原始素材
[00:08:08 - 00:08:08] 第二步
[00:08:08 - 00:08:10] 命名你的反常识观点
[00:08:10 - 00:08:12] 你对你的领域有什么看法
[00:08:12 - 00:08:13] 是主流不同意的
[00:08:13 - 00:08:15] 什么建议让你的生活变得更糟
[00:08:15 - 00:08:18] 你必须放弃什么才能变得有功能
[00:08:18 - 00:08:20] 你的领域中每个人都在假装看不到什么
[00:08:20 - 00:08:23] 这些反常识的观点就是你的独特价值
[00:08:23 - 00:08:24] 第三步
[00:08:24 - 00:08:25] 明天就开始
[00:08:25 - 00:08:27] 不要等待完美的时机
[00:08:27 - 00:08:29] 不要等待你学够了
[00:08:29 - 00:08:30] 不要等待你准备好了
[00:08:30 - 00:08:32] 明天就表达你的第一个想法
[00:08:32 - 00:08:33] 一个视频
[00:08:33 - 00:08:33] 一篇文章
[00:08:33 - 00:08:34] 一个分享
[00:08:34 - 00:08:35] 然后看反馈
[00:08:35 - 00:08:37] 如果没人在乎那很好
[00:08:37 - 00:08:39] 你学到了这个方向不对
[00:08:39 - 00:08:40] 如果有人在乎那更好
[00:08:40 - 00:08:42] 你找到了志同道合的人
[00:08:42 - 00:08:44] 然后迭代改进再表达
[00:08:44 - 00:08:45] 以后会是什么样
[00:08:45 - 00:08:48] 技术会取代那些机械的重复的工作
[00:08:48 - 00:08:50] 组织形态可能更轻更自动化
[00:08:50 - 00:08:51] 但这不是
[00:08:51 - 00:08:53] 所有岗位消失
[00:08:53 - 00:08:55] 根据世界经济论坛的预测
[00:08:55 - 00:08:56] 到2030年
[00:08:56 - 00:08:59] 全球可能创造1.7亿个新岗位
[00:08:59 - 00:09:01] 同时替代9200万个岗位
[00:09:01 - 00:09:02] 竞增7800万个
[00:09:02 - 00:09:03] 但关键是
[00:09:03 - 00:09:05] 岗位和技能结构会剧烈变化
[00:09:05 - 00:09:08] 而有想法有行动力的个人
[00:09:08 - 00:09:09] 会变得更有价值
[00:09:09 - 00:09:10] 但这一切的前提是
[00:09:10 - 00:09:12] 你得改变你的思维方式
[00:09:12 - 00:09:14] 你得把自己變成一個有主動權的人
[00:09:14 - 00:09:16] 不是因為你能力差沒人要
[00:09:16 - 00:09:19] 而是因為你太清楚自己想要什麼
[00:09:19 - 00:09:22] 你再也無法忍受把生命的三分之一
[00:09:22 - 00:09:25] 浪費在別人分配給你的無聊任務上
[00:09:25 - 00:09:26] 你知道自己想要什麼
[00:09:26 - 00:09:27] 你知道自己能做什麼
[00:09:27 - 00:09:29] 你知道自己的價值在哪裡
[00:09:29 - 00:09:31] 所以沒有系統能給你足夠的理由
[00:09:31 - 00:09:33] 讓你放棄自己的想法
[00:09:33 - 00:09:34] 這就是真正的自由
[00:09:34 - 00:09:35] 記住這句話
[00:09:35 - 00:09:37] 依賴性會淘汰你
[00:09:37 - 00:09:39] 但主動性會拯救你
[00:09:39 - 00:09:41] 這不是說外部威脅不存在
[00:09:41 - 00:09:43] 危险肯定存在
[00:09:43 - 00:09:45] 但真正危险的不是失业本身
[00:09:45 - 00:09:47] 真正危险的是你只剩一条路
[00:09:47 - 00:09:48] 你没有选择权
[00:09:48 - 00:09:49] 你没有被选方案
[00:09:49 - 00:09:51] 你没有其他的可能性
[00:09:51 - 00:09:52] 如果你有选择权
[00:09:52 - 00:09:54] 你就能适应任何变化
[00:09:54 - 00:09:55] 如果你没有选择权
[00:09:55 - 00:09:56] 你就只能被动等待
[00:09:56 - 00:09:59] 所以今天的核心建议就是
[00:09:59 - 00:10:00] 开始建立你的选择权
[00:10:00 - 00:10:02] 通过主动性
[00:10:02 - 00:10:02] 通过品味
[00:10:02 - 00:10:04] 通过表达力
[00:10:04 - 00:10:05] 通过坚持
[00:10:05 - 00:10:05] 通过迭代
[00:10:05 - 00:10:07] 通过你独特的想法和做法
[00:10:07 - 00:10:08] 通过你自己
[00:10:08 - 00:10:09] 你觉得在这个时代
[00:10:09 - 00:10:11] 什么样的人最容易被淘汰
[00:10:11 - 00:10:12] 什么样的人最容易成功
[00:10:12 - 00:10:14] 把你的看法打在公平上
[00:10:14 - 00:10:16] 或者在评论区和我交流
[00:10:16 - 00:10:18] 如果你觉得这期视频对你有启发
[00:10:18 - 00:10:21] 别忘了点赞投币收藏一键三连
[00:10:21 - 00:10:22] 我是为什么叫QQ
[00:10:22 - 00:10:23] 我们下期见
