BV号：BV1dEqSYeEWh
标题：BV1dEqSYeEWh
链接：https://www.bilibili.com/video/BV1dEqSYeEWh
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-31 03:45:23

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 10号的凌晨
[00:01:35 - 00:01:39] 一次可以生成一个、两个或者4个视频辩体
[00:01:39 - 00:01:41] 预设则有6个选项
[00:01:41 - 00:01:43] 点击Great即可创建视频
[00:01:43 - 00:01:44] 打开每个视频
[00:01:44 - 00:01:47] 底部还能进一步的编辑提示词
[00:01:47 - 00:01:48] 观看故事
[00:01:48 - 00:01:51] 进行Record、Remix、Blend和Loop操作
[00:01:51 - 00:01:53] 我们稍后会一一介绍
[00:01:53 - 00:01:55] 页面的右上角有喜欢、分享
[00:01:55 - 00:01:57] 下载等等选项
[00:01:57 - 00:01:59] OPEN-I还提供了精选和最新动态
[00:01:59 - 00:02:02] 不断的更新社区的创作视频
[00:02:02 - 00:02:03] 点击页面左侧的feature
[00:02:03 - 00:02:05] 就可以看到分享的作品
[00:02:05 - 00:02:07] 点击页面右上方的帐户
[00:02:07 - 00:02:09] 还可以看到视频教程
[00:02:09 - 00:02:10] 接下来我们具体来看一看
[00:02:10 - 00:02:12] SOL不同功能的效果
[00:02:12 - 00:02:13] 先说REVIX
[00:02:13 - 00:02:17] 也就是替换删除或者重构视频中的元素
[00:02:17 - 00:02:18] 用户可以出入提示
[00:02:18 - 00:02:20] 修改当前的视频
[00:02:20 - 00:02:22] 或者基于当前的视频来创建新的视频
[00:02:22 - 00:02:27] 3.2有强、中、微、定制4种可选的RAMIC强度选项
[00:02:27 - 00:02:31] 比如说把视频画面中的萌马象换成机器人
[00:02:31 - 00:02:34] 再比如说生成打开通往图书馆的大门的视频
[00:02:34 - 00:02:37] 然后把门换成法式门
[00:02:37 - 00:02:39] 或者把图书馆变成一艘宇宙飞船
[00:02:39 - 00:02:42] 然后再移除宇宙飞船添加虫铃
[00:02:42 - 00:02:45] 或者再把虫铃换成月球景观等等
[00:02:45 - 00:02:48] 其次是Record重检集功能
[00:02:48 - 00:02:51] 也就是找出你最满意的视频片段
[00:02:51 - 00:02:52] 把它解取出来
[00:02:52 - 00:02:54] 然后向任意方向延展来完成场景
[00:02:55 - 00:02:58] 第三个是Starboard故事版工具
[00:02:58 - 00:03:01] 你可以在时间轴上组织和编辑视频的独特序列
[00:03:01 - 00:03:03] 精确指定每一帧的输入
[00:03:03 - 00:03:04] 通过使用故事版
[00:03:04 - 00:03:07] 视频画面能够被控制得非常精细
[00:03:07 - 00:03:09] 用户还可以通过输入文字提示
[00:03:09 - 00:03:12] 上传图片或者基于已有的视频
[00:03:12 - 00:03:13] 在页面添加多个分镜头
[00:03:14 - 00:03:17] 比如说指定第一帧是一只美丽的黄尾白鹤
[00:03:17 - 00:03:18] 站在小溪里
[00:03:18 - 00:03:22] 第二幀画面是赫把头伸进水里捞出一条鱼
[00:03:22 - 00:03:24] 系统还会自动的扩写提示词
[00:03:24 - 00:03:26] 有了这个工具
[00:03:26 - 00:03:28] 你就可以制作多镜头的视频大片了
[00:03:28 - 00:03:31] 比如说生成一个一片广阔的红色景观
[00:03:31 - 00:03:34] 演出有一艘停靠的宇宙飞船的视频
[00:03:34 - 00:03:36] 然后将下一个镜头指定为
[00:03:36 - 00:03:38] 从宇宙飞船内部向外看
[00:03:38 - 00:03:41] 一位太空牛仔站在画面中央
[00:03:41 - 00:03:43] 最后再来一个真枝布面罩
[00:03:43 - 00:03:46] 框住宇航员的眼睛的细节特写试图
[00:03:46 - 00:03:49] 这样的视频就有了清晰的故事线
[00:03:49 - 00:03:52] 第四个是loop 无缝循环播放功能
[00:03:52 - 00:03:55] 可以使用循环剪辑来创建无缝重复的视频
[00:03:55 - 00:04:00] loop有短2秒、中4秒、长、完整版3种循环选项
[00:04:00 - 00:04:05] 可以创建出循环开放的花和循环旋转的楼梯这样的视频
[00:04:05 - 00:04:08] 第五个是blend 无缝过渡的功能
[00:04:08 - 00:04:11] 也就是将两个视频合成为一个无缝剪辑
[00:04:11 - 00:04:14] 用户可以调节融合的比例和方式
[00:04:14 - 00:04:15] 选择需要保留的关键元素
[00:04:15 - 00:04:18] 系统会自动处理场景之间的过渡效果
[00:04:18 - 00:04:25] Bland曲线有过渡、transition、混合、mix、采样、sample、定制Custom4个选项
[00:04:25 - 00:04:28] 通过Bland功能你可以创建出雪花与花朵
[00:04:28 - 00:04:30] 两个视频画面的无缝融合
[00:04:30 - 00:04:32] 第6个是Stereo Presets
[00:04:32 - 00:04:34] 风格样式预设功能
[00:04:34 - 00:04:37] 用户可以使用预设的风格来创建和分享
[00:04:37 - 00:04:39] 激发想象力的视频
[00:04:39 - 00:04:42] 比如说对于右下角两个萌瓦像在不行的视频
[00:04:42 - 00:04:45] 你可以将风格前行为左上角的
[00:04:45 - 00:04:47] 硬纸板和纸质工艺品风格
[00:04:47 - 00:04:49] 用上角的复古电影风格
[00:04:49 - 00:04:51] 以及左下角的怀旧档案风格
[00:04:52 - 00:04:53] 稍后公开上线之后
[00:04:54 - 00:04:55] 首批ChadGBT的试用者们
[00:04:55 - 00:04:58] 积极地在社交平台上晒出各种作品
[00:04:58 - 00:05:00] 许多视频乍一看都非常必真
[00:05:00 - 00:05:04] 其中也不乏一些令人提笑皆非的画面细节
[00:05:04 - 00:05:06] 比如说这个用户的提示词
[00:05:06 - 00:05:08] 一只剃狐沿着俯瞰港口的
[00:05:08 - 00:05:10] 沿海小镜骑自行车
[00:05:10 - 00:05:11] 不过最后生成的视频中
[00:05:12 - 00:05:13] 剃狐在中途莫名其妙的变为
[00:05:13 - 00:05:15] 向相反的方向齐行
[00:05:15 - 00:05:17] 还有用户的生成视频中
[00:05:17 - 00:05:19] Sauer直接把人物性别搞反了
[00:05:19 - 00:05:21] 网友提示辞识
[00:05:21 - 00:05:22] 一个30多岁的男人
[00:05:22 - 00:05:23] 黑头发戴着眼镜
[00:05:23 - 00:05:27] 和一位黑发女人一起走在尼斯的长廊上
[00:05:27 - 00:05:28] 天气很好
[00:05:28 - 00:05:30] 有几个人在海滩上晒日光玉
[00:05:30 - 00:05:32] 但是视频中出现了两位女士
[00:05:32 - 00:05:35] 实际上在发布会开始前的一个小时
[00:05:35 - 00:05:38] YouTube上的知名科技评测网红马克思布朗利
[00:05:38 - 00:05:42] 就已经抢先发布了Sauer的深度体验报告
[00:05:42 - 00:05:43] 经过一周的辞识
[00:05:43 - 00:05:46] 他对骚扰的长短板有着更深入的理解
[00:05:46 - 00:05:48] 布朗利在测试中发现
[00:05:48 - 00:05:50] 骚扰对于粒子和流体模拟非常到位
[00:05:50 - 00:05:52] 而且在文字渲染方面表现出色
[00:05:53 - 00:05:55] 当用户明确要求特定文字的时候
[00:05:55 - 00:05:57] 系统基本上能够准确的呈现
[00:05:57 - 00:06:00] 尽管在背景中可能偶尔会出现混乱的文字
[00:06:00 - 00:06:03] 但是只要在提示词中明确的指定
[00:06:03 - 00:06:05] 关键文字的呈现往往都很准确
[00:06:05 - 00:06:08] 而骚扰最大的短板依然在于运动
[00:06:08 - 00:06:11] 比如说在生成监控摄像头风格的画面时
[00:06:11 - 00:06:13] 人物移动的速度常常显得不自然
[00:06:13 - 00:06:14] 实快实慢
[00:06:14 - 00:06:17] 甚至当它尝试创作运动场景的时候
[00:06:17 - 00:06:20] 动作总会一种超限制主义的方式前后交错
[00:06:20 - 00:06:22] 对此布朗利的结论是
[00:06:22 - 00:06:23] Sauer压根就不懂物理
[00:06:24 - 00:06:26] 不过Sauer在处理抽象艺术
[00:06:26 - 00:06:29] 动画人物等不需要严格遵循物理规则的内容时
[00:06:29 - 00:06:31] 效果则相当令人满意
[00:06:31 - 00:06:34] 这可能是因为人们可能会把这种奇怪的物理特性
[00:06:34 - 00:06:36] 当成是一种风狗化的表达
[00:06:36 - 00:06:38] 另外在布朗利的测试中
[00:06:38 - 00:06:41] 物体在画面中的一致性问题也由为突出
[00:06:41 - 00:06:45] 物品可能会在经过其他物体遮挡之后突然消失
[00:06:45 - 00:06:48] 或者在没有任何明显原因的情况下 屏空出现
[00:06:48 - 00:06:52] 比如说当布朗利要求系统生成一个科技评测视频的时候
[00:06:52 - 00:06:56] 画面中的评测者 手中的手机会突然消失
[00:06:56 - 00:07:00] 这种现象在处理包含多个移动物体的复杂场景时特别明显
[00:07:00 - 00:07:04] 而至于高级的控制功能 比如说内置的故事版工具
[00:07:04 - 00:07:08] 似乎也需要多次的训练和尝试才能保证有效
[00:07:08 - 00:07:09] 在安全性方面
[00:07:09 - 00:07:12] Sauer据说采用了多程保护措施
[00:07:12 - 00:07:15] 系统会自动识别并拒绝处理包含公众人物
[00:07:15 - 00:07:18] 品牌标识或者未成年人的图片
[00:07:18 - 00:07:21] 所有生成的视频都会添加独特的水印动画
[00:07:21 - 00:07:23] 但是这种严格的内容审核机制
[00:07:23 - 00:07:25] 某种程度上也限制了工具的应用范围
[00:07:25 - 00:07:28] 比如说无法生成扎克伯格在四角楼中
[00:07:28 - 00:07:29] 大战马斯克的画面
[00:07:29 - 00:07:31] 着实有点令人遗憾
[00:07:31 - 00:07:33] 在收费方面
[00:07:33 - 00:07:34] 这次发布的Sauer
[00:07:34 - 00:07:37] 仅仅提供给了TradGPT Plus和PRO用户使用
[00:07:37 - 00:07:41] Plus用户每个月最多可以生成50个480P分辨率视频
[00:07:41 - 00:07:44] 或者更少的720P分辨率时长为5秒的视频
[00:07:44 - 00:07:48] 月订阅费为20美元折合人民币145元
[00:07:48 - 00:07:51] PRO的订阅者则最多可以生成500个视频
[00:07:51 - 00:07:54] 并且支持20秒时长1080P分辨率
[00:07:54 - 00:07:56] 可以下载无水印版的视频
[00:07:56 - 00:07:58] 月订阅费为200美元
[00:07:58 - 00:08:00] 折合人民币1450元
[00:08:00 - 00:08:01] 按照这个来计算
[00:08:01 - 00:08:04] 平单下来生成一个视频也就是花2.9
[00:08:04 - 00:08:07] 拆的GPT Plus和PRO每月
[00:08:07 - 00:08:09] 分别为用户提供1000和1万的积分
[00:08:09 - 00:08:13] 其中480P视频需要20-150个积分
[00:08:13 - 00:08:16] 720P视频需要30-540个积分
[00:08:16 - 00:08:19] 而1080P视频需要100-2000个积分
[00:08:19 - 00:08:21] 而且PRO版本不能生成带有人物的视频
[00:08:21 - 00:08:23] 只有PRO版本才可以
[00:08:23 - 00:08:25] 目前Sauer还只是开放了美国地区
[00:08:25 - 00:08:27] 欧洲要稍微等一下
[00:08:27 - 00:08:29] 其他地区暂时都没开放
[00:08:29 - 00:08:30] 而中国大陆和香港地区
[00:08:30 - 00:08:33] 则不在Sauer的支持地区列表中
[00:08:33 - 00:08:34] 除了功能展示以外
[00:08:34 - 00:08:37] 这次OpenI还发布了Sauer的系统卡
[00:08:37 - 00:08:40] 分享了关于安全和监控方法的详细信息
[00:08:40 - 00:08:42] 大飞我在这里也稍微简单的解读一下
[00:08:43 - 00:08:46] Sauer构建于Dolly和JPT模型的基础之上
[00:08:46 - 00:08:48] 是一种采用了Transformer架构的扩散模型
[00:08:49 - 00:08:52] 从一个看起来像静态噪声的基础视频开始
[00:08:52 - 00:08:54] 然后通过多个步骤消除噪声
[00:08:54 - 00:08:57] 逐渐对其进行转换来生成视频
[00:08:57 - 00:08:59] 通过让模型一次预测多个针
[00:08:59 - 00:09:03] Sauer生成的视频可以确保主体即使暂时消失在视野之外
[00:09:03 - 00:09:04] 也能够保持不变
[00:09:04 - 00:09:08] 骚扰模型还使用了刀粒三中的Recapsin技术
[00:09:08 - 00:09:10] 这项技术可以为视觉训练数据
[00:09:10 - 00:09:12] 生成更具有描述性的文字
[00:09:12 - 00:09:16] 让模型能够更加忠实的遵循用户的文文指令
[00:09:16 - 00:09:17] 除此以外
[00:09:17 - 00:09:20] 骚扰模型还能够利用现有的静态图像来生成视频
[00:09:20 - 00:09:23] 或者对现有的视频进行扩展或者填充确实的真
[00:09:23 - 00:09:27] 我们还相信这个能力将是实现AGI的一个重要里程碑
[00:09:27 - 00:09:30] 与语言模型用的文文Token不同
[00:09:30 - 00:09:32] 骚扰用的是视觉补定
[00:09:32 - 00:09:35] 这已经被证明是视觉模型的一种有效表示
[00:09:35 - 00:09:36] 在高层次上
[00:09:36 - 00:09:40] Uperity的研究人员会首先将视频压缩成一个低位的潜在空间
[00:09:40 - 00:09:43] 然后将表示分解成时空视觉补定
[00:09:43 - 00:09:45] 此外Sauer接受了各种数据级的训练
[00:09:45 - 00:09:47] 包括公开可用的数据
[00:09:47 - 00:09:49] 通过合作伙伴关系访问的专有数据
[00:09:49 - 00:09:52] 以及内部开发的自定义数据级
[00:09:52 - 00:09:54] 当然了Sauer的能力也可能带来新的风险
[00:09:54 - 00:09:56] 比如说相似烂用
[00:09:56 - 00:09:58] 或者是产生误导性内容的可能性
[00:09:58 - 00:09:59] 所以在安全方面
[00:09:59 - 00:10:02] 自从2024年2月发布骚扰以来
[00:10:02 - 00:10:04] Open Eye与来自60多个国家和地区的
[00:10:04 - 00:10:08] 数百名视觉艺术家、设计师和电影制作人合作
[00:10:08 - 00:10:11] 来获得创意专业人士方面的反馈
[00:10:11 - 00:10:14] 此外,Open Eye采取了以下多种安全缓解措施
[00:10:14 - 00:10:18] 包括通过多摩泰审核分类器进行文本和图像审核
[00:10:18 - 00:10:20] 自定义大语言模型筛选
[00:10:20 - 00:10:23] 采用图像输出分类器以及黑名单等等
[00:10:24 - 00:10:26] 当前Open Eye评议了一些特别有害的形式
[00:10:26 - 00:10:29] 比如说儿童虐待、深度性伪造等等
[00:10:29 - 00:10:31] 这些题材的内容上传会被限制
[00:10:32 - 00:10:33] 接下来的几个月里
[00:10:33 - 00:10:35] OpenI团队还将致力于提高分类器的性能
[00:10:35 - 00:10:37] 最大限度的减少物报
[00:10:37 - 00:10:40] 并且加深对潜在偏差的理解
[00:10:40 - 00:10:42] 为了确保骚扰技术被负责任的使用
[00:10:42 - 00:10:46] 所有骚扰生成的视频均附带C2PA原数据
[00:10:46 - 00:10:48] 可以识别视频是否来自骚扰
[00:10:48 - 00:10:51] OpenI还默认添加了可见水印等等保护措施
[00:10:51 - 00:10:53] 并且构建了一个内部搜索工具
[00:10:53 - 00:10:56] 也可以帮助来验证内容是否来自骚扰
[00:10:56 - 00:11:00] 好了 以上就是对OpenI这次发布的sour的介绍了
[00:11:00 - 00:11:04] 虽然感觉在产品设计上确实向专业的影视软件靠近了一些
[00:11:04 - 00:11:07] 但是模型的短板也过于明显
[00:11:07 - 00:11:08] 甚至有些原地踏步
[00:11:08 - 00:11:12] 我个人感觉离大家对它的期待还是差的比较远的
[00:11:12 - 00:11:15] 那大家对于OpenI这次发布的内容有什么看法呢
[00:11:15 - 00:11:16] 欢迎在评论区留言
[00:11:16 - 00:11:18] 感谢大家的观看 我们下期再见
