BV号：BV1GhKWeaEde
标题：BV1GhKWeaEde
链接：https://www.bilibili.com/video/BV1GhKWeaEde
识别语言：zh
语言置信度：1
分段数：307
生成时间：2026-08-30 13:39:07

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技的快速发展历程中
[00:01:44 - 00:01:46] 在具有特定属性的哈希表中
[00:01:46 - 00:01:47] 随机选择抽屉的方法
[00:01:47 - 00:01:50] 也就是军云探测是最优的选择
[00:01:50 - 00:01:52] 在之后的近40年里
[00:01:52 - 00:01:55] 计算机科学界普遍都认同摇棋制这个猜想
[00:01:55 - 00:01:57] 这个共识对于数据库系统的设计
[00:01:57 - 00:02:00] 以及众多依赖于高效数据存储的现代应用程序
[00:02:00 - 00:02:02] 都产生了深远的影响
[00:02:02 - 00:02:05] 可以说这个理论在计算机科学的数据存储领域
[00:02:05 - 00:02:07] 占据了非常重要的地位
[00:02:07 - 00:02:10] 然而这个看似肩不可催的理论堡垒
[00:02:10 - 00:02:12] 却被一位年轻的本科生撼动了
[00:02:12 - 00:02:16] 这位本科生就是罗格斯大学的安德鲁克拉皮文
[00:02:16 - 00:02:17] 2021年秋天
[00:02:17 - 00:02:19] 安德鲁在浏览学术论文的时候
[00:02:19 - 00:02:22] 发现了一篇名为微型指针的文章
[00:02:22 - 00:02:25] 这篇论文主要探讨了一种新型的数据指针技术
[00:02:25 - 00:02:27] 能够大幅的减少计算机内存的使用
[00:02:27 - 00:02:30] 当时他并没有对这篇论文深入的思考
[00:02:30 - 00:02:32] 直到两年后的2023年
[00:02:32 - 00:02:34] 当安德鲁真正深入研究这篇论文的时候
[00:02:34 - 00:02:37] 才发现了其中隐藏的巨大潜力
[00:02:37 - 00:02:39] 微型指针这篇论文研究的问题看似简单
[00:02:39 - 00:02:41] 但是却意义深远
[00:02:41 - 00:02:45] 那就是如何用更少的比特位来存储计算机中的指针
[00:02:45 - 00:02:47] 在传统的计算机存储中
[00:02:47 - 00:02:48] 指针需要logn个比特
[00:02:48 - 00:02:51] 才能够在N个位置中定位一个元素
[00:02:51 - 00:02:53] 但是这篇论文提出了一个巧妙的思路
[00:02:53 - 00:02:56] 如果预先知道指针属于哪个用户
[00:02:56 - 00:02:59] 就可以利用这个额外信息来压缩指针的大小
[00:02:59 - 00:03:01] 正是这个压缩指针的思路
[00:03:01 - 00:03:04] 给了安德鲁对于哈希表研究新的启发
[00:03:04 - 00:03:06] 在传统的哈希表的搜索过程中
[00:03:06 - 00:03:09] 通常会假设每次探测都是独立的
[00:03:09 - 00:03:10] 均匀随机的
[00:03:10 - 00:03:13] 但是安德鲁没有被这种传统的方式所束缚
[00:03:13 - 00:03:14] 他后来自己也表示
[00:03:14 - 00:03:16] 当时可能就是因为真的无知
[00:03:16 - 00:03:19] 所以才沒有被固有的關鍵限制
[00:03:19 - 00:03:20] 想到了新的方向
[00:03:20 - 00:03:22] 安德魯基於微型指針的思路進行探索
[00:03:22 - 00:03:25] 最終構建出了一種新型的哈記表
[00:03:25 - 00:03:27] 這種哈記表不再依賴於均勻探測
[00:03:27 - 00:03:29] 在最壞的情況下
[00:03:29 - 00:03:31] 查詢和插入所需要的時間
[00:03:31 - 00:03:33] 與LogX平方成正比
[00:03:33 - 00:03:35] 這個效率比傳統的方式要快得多
[00:03:35 - 00:03:38] 這個成果直接反駁了遙期制的猜想
[00:03:38 - 00:03:40] 當安德魯把自己的設計展示給前教授
[00:03:40 - 00:03:42] 也是微型指針的共同作者
[00:03:42 - 00:03:44] 馬丁法拉赫·克爾頓的時候
[00:03:44 - 00:03:46] 教授自己一開始都持有懷疑的態度
[00:03:46 - 00:03:47] 这也不难理解
[00:03:47 - 00:03:49] 哈希表作为计算机科学中
[00:03:49 - 00:03:52] 已经被研究的非常透彻的数据结构之一
[00:03:52 - 00:03:54] 想要有重大的突破确实难以想象
[00:03:54 - 00:03:56] 但是当论文的另一位合作者
[00:03:56 - 00:03:58] 海南基梅中大学的威廉·库茲默尔
[00:03:58 - 00:04:00] 仔细研究了这项工作之后
[00:04:00 - 00:04:02] 他意识到了其中的革命性意
[00:04:02 - 00:04:04] 威廉对于安德鲁说
[00:04:04 - 00:04:06] 你并不是仅仅发明了一个新的哈希表
[00:04:06 - 00:04:09] 你实际上完全推翻了一个存在了40年的猜想
[00:04:09 - 00:04:13] 最终他们三人共同合作完成了相关的论文
[00:04:13 - 00:04:14] 这篇论文已经发表
[00:04:14 - 00:04:16] 就引起了学界的广泛关注
[00:04:16 - 00:04:17] 康奈尔理工学院的
[00:04:17 - 00:04:18] 亚利克斯康威评价到
[00:04:18 - 00:04:20] 这是一项开创性的工作
[00:04:20 - 00:04:23] 尽管哈希表已经有着悠久的历史
[00:04:23 - 00:04:24] 但是关于他们的工作原理
[00:04:24 - 00:04:26] 我们仍然有很多需要了解的地方
[00:04:27 - 00:04:29] 这篇论文以令人惊讶的方式
[00:04:29 - 00:04:31] 回答了其中几个根本性的问题
[00:04:31 - 00:04:33] 那么这项工作到底有哪些开创性呢
[00:04:34 - 00:04:35] 接下来我们就来详细了解一下
[00:04:35 - 00:04:38] 安德鲁提出的这两种新的哈希表算法
[00:04:38 - 00:04:40] 先来说说弹性哈希
[00:04:40 - 00:04:42] 要想理解他的开创性
[00:04:42 - 00:04:44] 我们得先弄清楚传统哈希表
[00:04:44 - 00:04:45] 面临的根本性挑战
[00:04:45 - 00:04:47] 在传统的开放寻止哈西表中
[00:04:47 - 00:04:50] 当需要插入一个新的元素的时候
[00:04:50 - 00:04:52] 会按照某个预定义的探测顺序
[00:04:52 - 00:04:53] 逐个的检查位置
[00:04:53 - 00:04:54] 直到找到第一个空位
[00:04:54 - 00:04:57] 这种方法被称为贪婪策略
[00:04:57 - 00:04:59] 尤其是在1985年的论文中就证明了
[00:04:59 - 00:05:01] 在这种贪婪策略下
[00:05:01 - 00:05:02] 当哈西表接近满载的时候
[00:05:02 - 00:05:05] 比如说只剩下Delta比例的空位
[00:05:05 - 00:05:06] 最坏的情况下
[00:05:06 - 00:05:09] 需要ODelta-Vis探测才能够找到一个空位
[00:05:09 - 00:05:11] 并且他猜想这个界限
[00:05:11 - 00:05:13] 对于任何贪婪策略都是最优的
[00:05:13 - 00:05:15] 但是安德鲁的弹性哈奇证明
[00:05:15 - 00:05:17] 如果能放弃贪婪策略
[00:05:17 - 00:05:19] 就能够获得显著更好的性能
[00:05:19 - 00:05:21] 弹性哈奇提出了一种全新的哈奇表
[00:05:21 - 00:05:22] 构造方法
[00:05:22 - 00:05:24] 他的核心思想是把整个哈奇表
[00:05:24 - 00:05:25] 划分为多个子数组
[00:05:26 - 00:05:28] 然后通过一种二人探测结构进行
[00:05:28 - 00:05:28] 所以
[00:05:28 - 00:05:29] 具体来说
[00:05:29 - 00:05:31] 哈奇表被拆分成一系列
[00:05:31 - 00:05:33] 大小指数地检的子数组
[00:05:33 - 00:05:35] 比如说A1A2直到ALaugin
[00:05:35 - 00:05:37] 其中Aa加1的长度
[00:05:37 - 00:05:39] 等于Aa的长度除以2
[00:05:39 - 00:05:40] 政府1
[00:05:40 - 00:05:43] 这种层次探测结构为非贪婪探测提供了可能
[00:05:43 - 00:05:46] 使得插入操作可以优先在负载较低的区域进行
[00:05:46 - 00:05:49] 同时还能够保证查找过程的高效性
[00:05:49 - 00:05:51] 安德鲁还引入了一个特定的硬设
[00:05:51 - 00:05:52] 5IG
[00:05:52 - 00:05:55] 使得二维探测序列可以硬设到一维探测序列
[00:05:55 - 00:05:57] 这个硬设设计得很巧妙
[00:05:57 - 00:05:59] 它确保了在插入的过程中
[00:05:59 - 00:06:02] 较早被访问的探测位置能够更高效的找到控槽
[00:06:02 - 00:06:04] 从而降低整体探测的复杂度
[00:06:04 - 00:06:07] 弹性哈希采用了分批次插入的策略
[00:06:07 - 00:06:10] 来保证各个子数组的负载水平被合理的分配
[00:06:10 - 00:06:13] 比方说在初始批次B0中
[00:06:13 - 00:06:15] 哈希表的第一个子数组A1
[00:06:15 - 00:06:17] 被填充到大约75%的负载
[00:06:17 - 00:06:19] 那么在后续的批次BI中
[00:06:19 - 00:06:23] 插入操作会主要在AA和AI-1之间进行
[00:06:23 - 00:06:26] 这样能够保证每个子数组的负载都在合理的范围内
[00:06:26 - 00:06:28] 在插入过程中
[00:06:28 - 00:06:30] 如果某个子数组还有较多的可用草味
[00:06:30 - 00:06:32] 也就是空位比例高于2%的data
[00:06:32 - 00:06:36] 新元素就会尝试在这个子树组内找到合适的位置
[00:06:36 - 00:06:38] 而当子树组接近满载的时候
[00:06:38 - 00:06:41] 插入算法会自动转向下一级子树组
[00:06:41 - 00:06:42] 以此来提高存储的效率
[00:06:42 - 00:06:44] 在最坏的情况下
[00:06:44 - 00:06:47] 也就是所有子树组的空位都非常有限的时候
[00:06:47 - 00:06:49] 算法会退回到均匀探测策略
[00:06:49 - 00:06:52] 但是这种情况发生的概率极低
[00:06:52 - 00:06:54] 所以整体的复杂度还是得到了优化
[00:06:54 - 00:06:56] 从数据分析的角度来看
[00:06:56 - 00:06:59] 弹性哈希在降低探测复达度方面的效果显著
[00:06:59 - 00:07:01] 在军滩探测复达度方面
[00:07:01 - 00:07:05] 安德鲁证明了弹性哈希的平均探测次数为O1
[00:07:05 - 00:07:09] 这也就意味着大多数操作只需要长数次的探测就能够完成
[00:07:09 - 00:07:12] 比均匀探测的Ologdert的负疑次方要好得多
[00:07:12 - 00:07:16] 研究在于弹性哈希把大多数的差入操作
[00:07:16 - 00:07:18] 限制在了负载较低的子数组内
[00:07:18 - 00:07:21] 使得多数元素能够在少量探测之后就成功的存储
[00:07:21 - 00:07:23] 对于最坏的探测否拉度
[00:07:23 - 00:07:25] 研究表明在无重排的情况下
[00:07:25 - 00:07:29] 任何开放寻止哈希的最坏情况探测否拉度
[00:07:29 - 00:07:31] 必须至少达到Omega LogDirt的附一方
[00:07:31 - 00:07:34] 而弹性哈希恰好实现了这个下界的最优匹配
[00:07:34 - 00:07:36] 在弹性哈希的基础上
[00:07:36 - 00:07:39] 安德鲁还进一步提出了一种新的贪婪开放
[00:07:39 - 00:07:41] 寻止策略叫做LogDirt哈希
[00:07:41 - 00:07:44] LogDirt哈希通过构造一种层级结构的哈希表
[00:07:44 - 00:07:46] 实现了最坏情况的期望探测复达度
[00:07:46 - 00:07:48] O LogDirt的附一的平方
[00:07:48 - 00:07:50] 并且证明了这个界限的最优性
[00:07:50 - 00:07:52] LogDirt哈希的基本思想
[00:07:52 - 00:07:54] 是在哈希表中引入多级结构
[00:07:54 - 00:07:57] 让元素在不同负载水平的气域之间分层的存储
[00:07:57 - 00:07:59] 从而降低高负载情况下的探测测数
[00:07:59 - 00:08:00] 具体来讲
[00:08:00 - 00:08:02] 哈希表被划分为多个层级
[00:08:02 - 00:08:06] 每一层内部又进一步分为入干个大小的子数组
[00:08:06 - 00:08:08] 所有子数组的大小按照几何极数地减
[00:08:08 - 00:08:10] 假设哈希表的总容量为n
[00:08:10 - 00:08:13] 研究者首先把它划分为两个部分
[00:08:13 - 00:08:15] 其中一部分的大小约为Δn
[00:08:15 - 00:08:17] 用来存储最难插入的元素
[00:08:17 - 00:08:20] 而其一部分在C分为α和子数组
[00:08:20 - 00:08:22] 这些子数组的大小地减关系满足
[00:08:22 - 00:08:26] a-e的大小 约等于ai大小的三分
[00:08:26 - 00:08:29] 并且每个ai进一步会划分为若干个小块
[00:08:29 - 00:08:31] 每个小块的大小设定为β
[00:08:31 - 00:08:33] 取OlogΔ-v1
[00:08:33 - 00:08:34] 在插入过程中
[00:08:34 - 00:08:37] 每个元素会首先尝试插入最上层的子数组
[00:08:37 - 00:08:38] 如果失败
[00:08:38 - 00:08:40] 就一次尝试下一个数组
[00:08:40 - 00:08:41] 直到成功找到空位
[00:08:41 - 00:08:44] 或者最终进入专门的存储区
[00:08:44 - 00:08:45] 在每一层的插入尝试中
[00:08:45 - 00:08:47] 元素会随即选择一个子块
[00:08:47 - 00:08:50] 并且一次扫描这个子块中的位置来寻找控槽
[00:08:50 - 00:08:52] 这种分层的探测测略
[00:08:52 - 00:08:55] 保证了大多数插入操作可以在前几层内完成
[00:08:55 - 00:08:58] 只有极少数的插入会进入到最底层的存储区域
[00:08:58 - 00:09:00] 从数学分析来看
[00:09:00 - 00:09:01] 漏的哈希的最坏情况
[00:09:01 - 00:09:05] 希望探测复达度为O LogDirtFee的平方
[00:09:05 - 00:09:07] 明显由于均匀探测的O LogDirtFee此方
[00:09:07 - 00:09:11] 研究人员证明了每个子数组在一定插入次数之后
[00:09:11 - 00:09:13] 都会达到接近于饱和的状态
[00:09:13 - 00:09:15] 这意味着即使是在较高复载的情况下
[00:09:15 - 00:09:18] 大多数插入操作也能够在O LogDirtFee此方的
[00:09:18 - 00:09:20] 探测次数内成功
[00:09:20 - 00:09:23] 通过分析插入元素在不同层级上的分布
[00:09:23 - 00:09:26] 严惊认言还证明了即使是在最坏的情况下
[00:09:26 - 00:09:30] 元素也只需要经历OlogDirtFeeds方的平方次探测
[00:09:30 - 00:09:31] 就能够找到一个可应的位置
[00:09:31 - 00:09:33] 并且还证明了这个界线的最优性
[00:09:33 - 00:09:40] 也就是说任何贪婪开放寻止哈西表都无法突破OmegaLogDirtFeeds方的平方
[00:09:40 - 00:09:42] 这样的最坏探测复达度
[00:09:42 - 00:09:43] 漏的哈西呢还有一个优点
[00:09:43 - 00:09:46] 就是具备良好的高概率最坏情况保证
[00:09:46 - 00:09:48] 严惊人进步证明
[00:09:48 - 00:09:49] 在绝大多数情况下
[00:09:49 - 00:09:51] 一个元素的最坏情况探测腐蜡度
[00:09:51 - 00:09:53] 不会超过O
[00:09:53 - 00:09:54] LOG DERTFUV4方的平方
[00:09:54 - 00:09:56] 加上LOG LOG N
[00:09:56 - 00:09:59] 这意味着即使是在极端负载的情况下
[00:09:59 - 00:10:01] 这个方法依然能够保持交为稳定的性能
[00:10:01 - 00:10:03] 不会出现大幅度退化的情况
[00:10:03 - 00:10:04] 总的来说
[00:10:04 - 00:10:06] 安德路克拉皮文的研究成果
[00:10:06 - 00:10:09] 不仅推翻了邀期制40年前的猜想
[00:10:09 - 00:10:11] 还提出了弹性哈希和露德哈希
[00:10:11 - 00:10:13] 这两种全新的哈希表算法
[00:10:13 - 00:10:15] 在哈希表的搜索效率上实现了重大的突破
[00:10:15 - 00:10:18] 这个成果在理论层面的意义重大
[00:10:18 - 00:10:21] 解决了17至1985年提出的未解决问题
[00:10:21 - 00:10:23] 也就是最坏情况的期望探测负达度
[00:10:23 - 00:10:26] 是否可以低于O-Dert-Fitzfang
[00:10:26 - 00:10:30] 同时也证明了军运探测在贪婪算法框架下并非罪用
[00:10:30 - 00:10:31] 对于贪婪哈希表
[00:10:31 - 00:10:36] 最坏情况下的探测负达度可以降低到O-Log-Dert-Fitzfang的平方
[00:10:36 - 00:10:37] 而对于非贪婪哈希表
[00:10:37 - 00:10:41] 平均查询时间甚至可以完全独立于附带因子Dert
[00:10:41 - 00:10:43] 正如马丁·法拉赫·克尔顿所说
[00:10:43 - 00:10:44] 这只是一个常述
[00:10:44 - 00:10:46] 与哈希表是否满载无关
[00:10:46 - 00:10:49] 而这个发现 连论文作者自己都感到意外
[00:10:49 - 00:10:53] 虽然目前这项研究可能还不会立即在工业界得到广泛的应用
[00:10:53 - 00:10:55] 但是它的基础理论研究价值不可忽视
[00:10:55 - 00:10:57] 艾莱克斯·康威表示
[00:10:57 - 00:10:59] 理解数据结构的基础理论非常重要
[00:10:59 - 00:11:03] 因为你永远不知道这样的结构什么时候会解锁某种新的突破
[00:11:03 - 00:11:05] 让实际的应用变得更加高效
[00:11:05 - 00:11:07] 科技的发展往往就是这样
[00:11:07 - 00:11:09] 基础研究的成果看似遥远
[00:11:09 - 00:11:11] 但是可能在未来的某个时刻
[00:11:11 - 00:11:13] 成为推动整个行业进步的关键力量
[00:11:13 - 00:11:15] 本科生安德魯克拉皮文也再次证明
[00:11:15 - 00:11:16] 在科技领域
[00:11:16 - 00:11:19] 创新和突破不会受限于身份和经验
[00:11:19 - 00:11:22] 只要有勇于探索的精神和独特的思考方式
[00:11:22 - 00:11:24] 任何人都有可能做出重大的贡献
[00:11:24 - 00:11:26] 好了 今天的内容就到这里
[00:11:26 - 00:11:27] 期待未来能够看到更多
[00:11:27 - 00:11:29] 这样令人惊喜的科技突破
[00:11:29 - 00:11:31] 感谢大家的观看 我们下期再见
