BV号：BV1Ccf6YrEbJ
标题：BV1Ccf6YrEbJ
链接：https://www.bilibili.com/video/BV1Ccf6YrEbJ
识别语言：zh
语言置信度：1
分段数：282
生成时间：2026-08-30 18:08:13

[00:00:00 - 00:00:03] 大家好,这里是最佳拍档,我是大飞
[00:04:05 - 00:04:08] 让POE接近于两GW难度还是很大的
[00:04:08 - 00:04:10] 在这个庞大的圆区里
[00:04:10 - 00:04:12] GPU的部署情况也被受大家的关注
[00:04:12 - 00:04:13] 分析师估计
[00:04:13 - 00:04:17] 除了正在部署的10万台GP200算力集群以外
[00:04:17 - 00:04:22] 圆区内还将部署另外20万台Gb300和大约40万台的VR200
[00:04:22 - 00:04:26] 其中VR200是因为达计划在2026年推出的超算
[00:04:26 - 00:04:29] 分别对应着Virus CPU和Rubin GPU
[00:04:29 - 00:04:32] 通过对圆区1000亿美元TCO的投资
[00:04:32 - 00:04:35] 以及人工智能TCO模型中的单位成本进行计算
[00:04:35 - 00:04:40] SIMONLESSES得出大约70万台GPU的总IT功率为1.8GW
[00:04:40 - 00:04:46] 至于Orco,Criso,Abilin圆区1800MW的容量是相符的
[00:04:46 - 00:04:49] OPI預計為首個GPU-200集群支付的成本
[00:04:49 - 00:04:51] 大約是每GPU每小時2.8美元
[00:04:51 - 00:04:55] 全規模集群的TCO為每小時2.38美元
[00:04:55 - 00:04:58] 當然了這些數字也會隨著未來
[00:04:58 - 00:05:01] 應為達GPU的部署情況而做出相應的調整
[00:05:01 - 00:05:02] 根據估計
[00:05:02 - 00:05:06] 應為達將從這個項目中獲得大約375億美元的收入
[00:05:06 - 00:05:09] IT設備資本支出大約為490億美元
[00:05:09 - 00:05:10] 相對的較為适中
[00:05:10 - 00:05:13] 雖然OPI的支出將超過1000億美元
[00:05:13 - 00:05:15] 但是這並不是前期的資本投入
[00:05:15 - 00:05:17] 不过可以确定的是
[00:05:17 - 00:05:19] 这个项目对于相关企业的经济影响
[00:05:19 - 00:05:20] 无疑是巨大的
[00:05:20 - 00:05:22] 前面我们提到马斯克
[00:05:22 - 00:05:23] 质疑软银的资金问题
[00:05:23 - 00:05:25] 软银的资金状况到底是如何
[00:05:26 - 00:05:27] 实际上马斯克的判断
[00:05:27 - 00:05:28] 有一定的道理
[00:05:28 - 00:05:31] 软银目前确实没有足够的流动资金
[00:05:31 - 00:05:33] 来支撑如此大规模的项目建设
[00:05:33 - 00:05:35] 不过软银也有自己的应对办法
[00:05:36 - 00:05:38] 估计他可能会通过出售部分
[00:05:38 - 00:05:39] ARM的股份
[00:05:39 - 00:05:41] 来筹集所需要的股权投资
[00:05:41 - 00:05:43] OPI同样面临着资金的问题
[00:05:43 - 00:05:45] 但是他们也有自己的融资途径
[00:05:45 - 00:05:48] OPI可以在新产品Oseray发布之后进行融资
[00:05:48 - 00:05:51] 而且不需要直接筹集全额的资金
[00:05:51 - 00:05:53] 可以通过向联合体的其他成员
[00:05:53 - 00:05:56] 发行混合资本工具来解决资金的问题
[00:05:56 - 00:05:59] 所以说虽然目前项目资金还没有完全的到位
[00:05:59 - 00:06:01] 但是对于OPI来说
[00:06:01 - 00:06:02] 一个有利的因素是
[00:06:02 - 00:06:05] 这笔资金不需要立即全部到位
[00:06:05 - 00:06:08] OPI的现有资金足以支付今年10万台
[00:06:08 - 00:06:09] 击毕200集群的租金
[00:06:09 - 00:06:12] 只是他们需要确保在2026年即以后
[00:06:12 - 00:06:14] 能够承担大幅上软的租金
[00:06:14 - 00:06:16] 在星际之门这个项目中
[00:06:16 - 00:06:18] 还涉及到众多的科技巨头
[00:06:18 - 00:06:20] 他们在其中的角色和境域也各不相同
[00:06:20 - 00:06:22] 有赢家也有输家
[00:06:22 - 00:06:23] 比方说微软
[00:06:23 - 00:06:26] 微软可以说是这个项目中最大的loser
[00:06:26 - 00:06:29] 当opi选择了新的基础设施合作伙伴以后
[00:06:29 - 00:06:31] 微软实际上已经被挤到了边缘位置
[00:06:31 - 00:06:34] 微软的CEO纳德拉也明确的表示
[00:06:34 - 00:06:36] 微软只想守住800亿美元的投资
[00:06:36 - 00:06:38] 而不愿意承担更多的风险
[00:06:38 - 00:06:41] 而且负责opi合作关系的Chris Yang
[00:06:41 - 00:06:43] 也在公告发布之后突然离职
[00:06:43 - 00:06:45] 虽然有分析师认为
[00:06:45 - 00:06:47] 微软能够通过将部分的资本密集型的业务
[00:06:47 - 00:06:48] 转移给Orco
[00:06:48 - 00:06:50] 从而获得短期的收益
[00:06:50 - 00:06:51] 但是从长期来看
[00:06:51 - 00:06:54] 这种收益无法抵消失去OpenI收入
[00:06:54 - 00:06:56] 和控制权所带来的潜在损害
[00:06:57 - 00:06:59] 与马斯克制定的大力去发展
[00:06:59 - 00:07:01] 田大西州孟非斯基地的计划不同
[00:07:01 - 00:07:03] 纳德拉并没有在微软的内部
[00:07:03 - 00:07:05] 制定建设前沿AI模型的计划
[00:07:05 - 00:07:07] 我们再来看一看Arm
[00:07:07 - 00:07:09] Arm的股价因为被星际之门的项目
[00:07:09 - 00:07:11] 列为技术合作伙伴
[00:07:11 - 00:07:13] 而上涨了大约16%
[00:07:13 - 00:07:14] 从表面上来看
[00:07:14 - 00:07:16] 这好像是个好消息
[00:07:16 - 00:07:17] 但是实际上
[00:07:17 - 00:07:18] ARM在这个项目中
[00:07:18 - 00:07:20] 并没有发挥什么实质性的作用
[00:07:20 - 00:07:21] ARM的股价上涨
[00:07:22 - 00:07:24] 主要是因为Grace和Virus CPU
[00:07:24 - 00:07:25] 与英伟大的Blackware
[00:07:25 - 00:07:27] 和Rubin GPU的配套使用
[00:07:27 - 00:07:28] 这很可能是软银
[00:07:28 - 00:07:30] 力推ARM加入公关阵营的结果
[00:07:31 - 00:07:32] 对于ARM的股东来说
[00:07:32 - 00:07:34] 还有一个情况需要注意
[00:07:34 - 00:07:36] 那就是软银可能不得不出售
[00:07:36 - 00:07:37] 它在ARM公司的部分股份
[00:07:37 - 00:07:41] 从而为星级之门项目的股权投资提供部分资金
[00:07:41 - 00:07:44] 所以大多数投资者可能都忽视了这一点
[00:07:44 - 00:07:47] 错误的将这个公告看作是实质性的利好消息
[00:07:47 - 00:07:49] 另外在这个项目中
[00:07:49 - 00:07:52] Orco承担了管理数据中心和供应链物流的重任
[00:07:52 - 00:07:54] 管理1.8GW的集权
[00:07:54 - 00:07:57] 并且按照OpenI的要求采购所有必要的设备
[00:07:57 - 00:07:59] 这是一项极具有挑战性的任务
[00:07:59 - 00:08:02] 但是也凸显了Orco在这个项目中的重要性
[00:08:03 - 00:08:05] 由于这个项目主要会依赖英伟达的硬件
[00:08:05 - 00:08:07] 所以英伟达也会深度参与其中
[00:08:07 - 00:08:11] 另外 随着数据中心互联DCI建设的持续推进
[00:08:11 - 00:08:15] 马威尔和Selena这两家公司将成为最大的赢家
[00:08:15 - 00:08:17] Farbury Knight也能获得可观的收益
[00:08:17 - 00:08:20] 而Holkent和Lomanton则会获得相对较小的收益
[00:08:20 - 00:08:23] 除了三面Nalysis的分析以外
[00:08:23 - 00:08:26] 官媒体The Information也爆料了更多默厚的公斗剧情
[00:08:26 - 00:08:28] 总的来说就是
[00:08:28 - 00:08:29] 奥特曼借助这个机会
[00:08:29 - 00:08:32] 舒演微软 拉拢埃里森 黎健·马斯克与特朗普
[00:08:32 - 00:08:36] 其实星际之门这个项目的构想可以追溯到两年前
[00:08:36 - 00:08:39] 本来是OpenI和微软计划去建造一个
[00:08:39 - 00:08:40] 号自1000亿美元的设施
[00:08:40 - 00:08:43] 微软的内部将这个项目称为水星
[00:08:43 - 00:08:45] 而OpenI则称之为星际之门
[00:08:45 - 00:08:47] 不过到了2024年上半年
[00:08:47 - 00:08:49] Ottawa和其他的OpenI员工
[00:08:49 - 00:08:51] 对于微软的进度感到不满
[00:08:51 - 00:08:53] 与此同时微软高管也在全横
[00:08:53 - 00:08:56] 为OpenI去建造大型数据中心的长期收益
[00:08:56 - 00:08:58] 于是在2024年12月底
[00:08:58 - 00:09:00] 两家公司就修改了合作协议
[00:09:00 - 00:09:04] 取消了微软作为OpenI独家云提供商的条款
[00:09:04 - 00:09:06] 这就意味着微软将失去部分
[00:09:06 - 00:09:08] 来自于OpenI未来云支出的收入
[00:09:08 - 00:09:11] 但是仍然保留了OpenI收入和未来利润的份额
[00:09:11 - 00:09:13] 以及使用OpenI知识产权的权利
[00:09:13 - 00:09:16] 而马斯克选择自己建立AI集群
[00:09:16 - 00:09:18] 也为Automan提供了拉拢AlcoElison的机会
[00:09:18 - 00:09:20] 从去年6月份开始
[00:09:20 - 00:09:22] Alco就开始于Criso
[00:09:22 - 00:09:23] 合作为OpenI开发站点
[00:09:23 - 00:09:26] 最近几周Alco还签署了一项协议
[00:09:26 - 00:09:29] 租赁了Abilin整个1.2千兆瓦元区
[00:09:29 - 00:09:32] 将可以为OpenI提供的容量增加了4倍
[00:09:32 - 00:09:34] Alco的CEOElison更是在周二表示
[00:09:34 - 00:09:37] 阿比林数据中心将成为星际之门
[00:09:37 - 00:09:38] 众多数据中心中的第一个
[00:09:38 - 00:09:42] 这样阿比林数据中心现有的开发商和支持者们都感到震惊
[00:09:42 - 00:09:45] 因为他们此前对于星际之门一无所知
[00:09:45 - 00:09:47] 同时在特朗普赢得大选之后
[00:09:47 - 00:09:49] 欧巴海的员工本来还都挺担心
[00:09:49 - 00:09:53] 马斯克可能会利用他与总统的密切关系来对公司不利
[00:09:53 - 00:09:55] 但是意想不到的是
[00:09:55 - 00:09:58] 奥特曼却成功的在白宫内部建立了影响力
[00:09:58 - 00:10:00] 并且在特朗普就职的第二天
[00:10:00 - 00:10:03] 就与总统一同宣布了星际之门的计划
[00:10:03 - 00:10:06] 更是令马斯克在社交媒体上连续发文
[00:10:06 - 00:10:07] 质疑项目可行性的行动
[00:10:07 - 00:10:10] 引发了白宫内部和特朗普盟友的强烈不满
[00:10:10 - 00:10:13] 一位不愿意透露姓名的白宫官员表示
[00:10:13 - 00:10:15] 马斯克显然越界了
[00:10:15 - 00:10:17] 另一位特朗普的盟友则更加直言
[00:10:17 - 00:10:20] 认为马斯克滥用了与总统的亲密关系
[00:10:20 - 00:10:21] 不过目前特朗普本人
[00:10:21 - 00:10:23] 表现的还是相对平和的
[00:10:23 - 00:10:25] 称这并不影响他
[00:10:25 - 00:10:28] 不得不说automan搞政治的手腕确实厉害
[00:10:28 - 00:10:29] 短短时间就踹开了微软
[00:10:29 - 00:10:30] 拉上了arco
[00:10:30 - 00:10:32] 还让马斯克吃了鞭
[00:10:33 - 00:10:35] 就从前一段被马斯克的压制中翻了盘
[00:10:35 - 00:10:38] 好了 以上就是关于星际之门项目的一些深度分析了
[00:10:39 - 00:10:41] 总的来说这个项目的规模庞大
[00:10:41 - 00:10:44] 它的出现可以说是AI浪潮中的又一个重要里程碑
[00:10:44 - 00:10:47] 首批1000亿美元投资于阿比林基地
[00:10:47 - 00:10:50] 剩余的4000亿美元将用来开发更多的数据中心基地
[00:10:51 - 00:10:53] 这些数据中心持续建设的目标
[00:10:53 - 00:10:55] 是实现AI的分布式训练
[00:10:55 - 00:10:58] 只需要复制4个相当于阿比林规模的基地
[00:10:58 - 00:11:00] 就能够生产9GW的核心IT算力
[00:11:00 - 00:11:04] 并且这些算力将全部用于一次的AI训练
[00:11:04 - 00:11:07] 可能会把现有的Skinloss推向一个更高的极限
[00:11:07 - 00:11:09] 显然这个项目如果成功的实施
[00:11:09 - 00:11:13] 无疑将对人工智能领域的发展产生巨大的推动作用
[00:11:13 - 00:11:17] 我们也期待看到它未来会给整个科技行业带来什么样的变革
[00:11:17 - 00:11:19] 感谢大家的观看 我们下期再见
