BV号：BV1N8ifBeEQZ
标题：BV1N8ifBeEQZ
链接：https://www.bilibili.com/video/BV1N8ifBeEQZ
识别语言：zh
语言置信度：1
分段数：178
生成时间：2026-08-29 21:51:41

[00:00:00 - 00:00:03] 你敢相信吗?在硅谷有这样一家公司
[00:01:20 - 00:01:22] 期間還順手橫掃了美國本科生
[00:01:22 - 00:01:25] 美國本科生數學最高榮譽摩根獎
[00:01:26 - 00:01:28] 但如果只把他看作一個數學天才
[00:01:28 - 00:01:29] 你就看走眼了
[00:01:30 - 00:01:32] 真正讓他被資本瘋狂追逐的
[00:01:32 - 00:01:34] 是他詭異而完美的技能術
[00:01:35 - 00:01:37] 大家注意聽這幾個學位的組合
[00:01:37 - 00:01:40] 他在牛津讀了神經科學碩士
[00:01:40 - 00:01:42] 研究大腦如何產生智能
[00:01:42 - 00:01:44] 回到斯坦福
[00:01:44 - 00:01:47] 他同時攻讀數學和法學的雙博士學位
[00:01:47 - 00:01:49] 為什麼要學法學
[00:01:49 - 00:01:51] 因為他要理解技術的邊界
[00:01:51 - 00:01:52] 社会的规则
[00:01:52 - 00:01:54] 为什么要学神经科学
[00:01:54 - 00:01:57] 因为它要破解生物智能的本质
[00:01:57 - 00:01:59] 这不仅是一个学霸
[00:01:59 - 00:02:01] 这是一个拥有三维视角的架构师
[00:02:02 - 00:02:04] 树理逻辑给它工具
[00:02:04 - 00:02:05] 神经科学给它灵感
[00:02:06 - 00:02:07] 法学给它伦理框架
[00:02:08 - 00:02:10] 正是这种跨学科的降维打击
[00:02:10 - 00:02:13] 让它看到了现代AI的一个致命死穴
[00:02:14 - 00:02:15] 我们现在的AI
[00:02:15 - 00:02:17] 比如Chat GPT
[00:02:17 - 00:02:18] 虽然很强
[00:02:18 - 00:02:20] 但它有个致命商
[00:02:20 - 00:02:21] 他是个概率大师
[00:02:21 - 00:02:23] 也是个撒谎高手
[00:02:23 - 00:02:26] 他生成答案是靠猜下一个词的概率
[00:02:26 - 00:02:28] 你让他写手师
[00:02:28 - 00:02:29] 他天马行空
[00:02:29 - 00:02:30] 很棒
[00:02:30 - 00:02:32] 但如果你让他设计芯片
[00:02:32 - 00:02:33] 管理核电站
[00:02:33 - 00:02:34] 或者做高频交易呢
[00:02:34 - 00:02:38] 哪怕他有99.9%的概率是对的
[00:02:38 - 00:02:40] 剩下那0.1%的胡说八道
[00:02:40 - 00:02:42] 也就是我们常说的幻觉
[00:02:42 - 00:02:44] 就足以导致卫星坠毁
[00:02:44 - 00:02:45] 银行破产
[00:02:45 - 00:02:48] 这被称为可靠性缺口
[00:02:48 - 00:02:51] 红乐通的XM就是为了解决这个问题而生的
[00:02:51 - 00:02:53] 它的思路非常硬核
[00:02:53 - 00:02:55] 不要让AI去读数学
[00:02:55 - 00:02:57] 要让AI去跑数学
[00:02:57 - 00:02:59] XM开发了一套系统
[00:02:59 - 00:03:01] 能把自然语言的数学论文
[00:03:01 - 00:03:04] 翻译成一种叫Lin的变成语言
[00:03:04 - 00:03:07] 这就好比AI不再是用英语跟你聊数学
[00:03:07 - 00:03:11] 而是把每一个定理都变成了一段可知行的代码
[00:03:11 - 00:03:13] 这里有个特别天才的设计
[00:03:13 - 00:03:15] Karina在采访里提到
[00:03:15 - 00:03:17] 他们构建了两个系统
[00:03:17 - 00:03:19] 一个叫猜想者
[00:03:19 - 00:03:22] 负责脑洞大开提出大胆的数学假设
[00:03:22 - 00:03:24] 一个叫证明者
[00:03:24 - 00:03:26] 负责像冷酷的法官一样
[00:03:26 - 00:03:29] 用代码逻辑去验证这些假设
[00:03:29 - 00:03:32] 两者左右护薄 疯狂叠怠
[00:03:32 - 00:03:34] 代码跑通了 就是真理
[00:03:34 - 00:03:37] 跑不通 直接枪毙
[00:03:37 - 00:03:39] 这就彻底消灭了幻觉
[00:03:39 - 00:03:41] 在AXIUM的世界里
[00:03:41 - 00:03:43] 对就是对 错就是错
[00:03:43 - 00:03:45] 没有魔能两可
[00:03:45 - 00:03:47] 技術聽起來很性感
[00:03:47 - 00:03:49] 但怎麼變現呢
[00:03:49 - 00:03:51] 畢竟數學家通常都很窮
[00:03:51 - 00:03:54] AXIUM展現了與其年齡不符的老辣
[00:03:54 - 00:03:57] 他們選了兩個離錢最近的戰場
[00:03:57 - 00:03:59] 第一是對沖基金
[00:03:59 - 00:04:01] 這群人為了模型準確率
[00:04:01 - 00:04:03] 能提高0.1%
[00:04:03 - 00:04:05] 願意付出添價
[00:04:05 - 00:04:07] 因為在千億美金的交易裡
[00:04:07 - 00:04:10] 那0.1%就是幾個億的利潤
[00:04:10 - 00:04:12] AXIUM賣的不是軟件
[00:04:12 - 00:04:13] 是確定性
[00:04:13 - 00:04:15] 第二是区块链安全
[00:04:16 - 00:04:17] 听个下人的数字
[00:04:17 - 00:04:20] 仅仅2024年因为智能合约的代码漏洞
[00:04:21 - 00:04:23] 全行业被黑客倒走了超过30亿美元
[00:04:24 - 00:04:25] 现在的代码审计
[00:04:25 - 00:04:27] 靠人眼看 又贵又慢
[00:04:27 - 00:04:29] XM的AI数学家
[00:04:29 - 00:04:30] 能在代码上线前
[00:04:30 - 00:04:32] 通过数学形式化验证
[00:04:32 - 00:04:35] 给智能合约穿上一层数学防弹衣
[00:04:35 - 00:04:36] 甚至在被视为区块链
[00:04:36 - 00:04:38] 终极方案的0知识证明
[00:04:38 - 00:04:39] ZK领域
[00:04:39 - 00:04:41] 原本需要顶级密码学家
[00:04:41 - 00:04:42] 搞几年的电路设计
[00:04:42 - 00:04:44] 在今年的電路設計 Axiom
[00:04:44 - 00:04:46] 能把周期縮短一個數量級
[00:04:46 - 00:04:49] 這簡直就是在印鈔記旁邊賣保險櫃
[00:04:49 - 00:04:50] 生意太聰明了
[00:04:50 - 00:04:51] 當然
[00:04:51 - 00:04:53] 要幹成這事兒
[00:04:53 - 00:04:55] 光靠一個天才少女是不夠的
[00:04:55 - 00:04:57] Axiom組建了一支
[00:04:57 - 00:04:59] 被稱為歸骨復仇者聯盟的團隊
[00:04:59 - 00:05:02] CTO是前Metapitose的負責人
[00:05:02 - 00:05:04] 那是現在最主流的AI框架
[00:05:04 - 00:05:07] 數學負責人是第一個用Transformer
[00:05:07 - 00:05:09] 解決複雜數學問題的先驅
[00:05:09 - 00:05:12] 这帮人聚在一起不仅仅是为了赚钱
[00:05:12 - 00:05:16] 他们的野心是想成为AI时代的亚马逊
[00:05:16 - 00:05:18] 当年亚马逊只卖书
[00:05:18 - 00:05:21] 现在的XM只卖数学证明
[00:05:21 - 00:05:23] 但Karina的终局是
[00:05:23 - 00:05:25] 当AI学会了绝对严谨的推理后
[00:05:25 - 00:05:28] 她可以去模拟新药的分子结构
[00:05:28 - 00:05:30] 去计算可控核居变的磁场
[00:05:30 - 00:05:32] 去设计航天飞机的轨道
[00:05:32 - 00:05:35] 她想成为未来数字世界的真理层
[00:05:35 - 00:05:38] 凡是需要绝对精确绝对不能出错的地方
[00:05:38 - 00:05:40] 都是AXIUM的疆土
[00:05:40 - 00:05:41] 在采访中
[00:05:41 - 00:05:44] 红乐童说了一句让我起鸡皮疙瘩的话
[00:05:44 - 00:05:45] 他说
[00:05:45 - 00:05:47] 他不关心AI能不能写出
[00:05:47 - 00:05:49] 杀势比亚风格的诗
[00:05:49 - 00:05:51] 或者能不能帮你洗衣服
[00:05:51 - 00:05:52] 他定义的超级智能
[00:05:52 - 00:05:55] 是选定一个点比如功课癌症
[00:05:55 - 00:05:56] 或者证明离满猜想
[00:05:56 - 00:05:58] 然后单刀植入直到终点
[00:05:58 - 00:06:00] 这是一种极致的理性浪漫
[00:06:00 - 00:06:02] 投资AXIUM
[00:06:02 - 00:06:04] 本质上是在投资一个信念
[00:06:04 - 00:06:06] 我们相信数学的确定性
[00:06:06 - 00:06:08] 可以馴服AI的瘋狂
[00:06:08 - 00:06:11] 我們相信AI不僅僅能模仿人類
[00:06:11 - 00:06:14] 還能幫助人類去觸摸那些我們構不到的真理
[00:06:14 - 00:06:15] 你覺得
[00:06:15 - 00:06:18] 如果AI真的變成了一個完美的數學家
[00:06:18 - 00:06:20] 人類在它面前
[00:06:20 - 00:06:22] 會是老師還是學生呢
[00:06:22 - 00:06:25] 歡迎在評論區留下你的看法
[00:06:25 - 00:06:27] 我是為什麼叫QQ
[00:06:27 - 00:06:28] 如果覺得不錯
[00:06:28 - 00:06:29] 一鍵三連
[00:06:29 - 00:06:32] 帶你看懂AI時代的每一個風口
[00:06:32 - 00:06:33] 我們下期見
