BV号：BV1y4QaYKE2S
标题：BV1y4QaYKE2S
链接：https://www.bilibili.com/video/BV1y4QaYKE2S
识别语言：zh
语言置信度：1
分段数：419
生成时间：2026-08-30 11:10:04

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 今天我们来聊聊斗指
[00:01:42 - 00:01:44] 列出上週大約五項工作
[00:01:44 - 00:01:46] 並且抄送給主管的郵件
[00:01:46 - 00:01:48] 不過這些郵件並沒有得到
[00:01:48 - 00:01:49] 所有部門的響應
[00:01:49 - 00:01:51] 像聯邦調查局IBI
[00:01:51 - 00:01:53] 國家安全局NSA等等多個
[00:01:53 - 00:01:54] 國防部下屬的機構
[00:01:54 - 00:01:56] 就被通知暫停回應
[00:01:56 - 00:01:58] 那麼這個引發了如此多爭議的鬥志
[00:01:58 - 00:02:00] 背後是哪些人在運作呢?
[00:02:00 - 00:02:02] 接下來我們就來深入了解一下
[00:02:02 - 00:02:04] 那些圍繞鬥志運轉的神秘人物
[00:02:04 - 00:02:06] 首先是核心全長的人物
[00:02:06 - 00:02:08] 如今作為鬥志的領導
[00:02:08 - 00:02:11] EloMask不僅是不拿薪水的特殊政府僱員
[00:02:11 - 00:02:14] 更是如今美國總統特朗普的得利助手
[00:02:14 - 00:02:15] 根據相關的文件
[00:02:15 - 00:02:16] 特朗普政府表示
[00:02:16 - 00:02:18] Mask是白宮僱員
[00:02:18 - 00:02:20] 也是總統的高級顧問
[00:02:20 - 00:02:22] 而鬥志是一個臨時的政府組織
[00:02:22 - 00:02:24] 按照特朗普政府的行政命令
[00:02:24 - 00:02:27] 斗志的全线将于2026年7月到期
[00:02:27 - 00:02:30] 史蒂夫·戴维斯是马斯克的多年秘友
[00:02:30 - 00:02:32] 他已经跟随马斯克长达20年
[00:02:32 - 00:02:35] 戴维斯以削减成本和快速执行的
[00:02:35 - 00:02:36] 谈判高手而文明
[00:02:36 - 00:02:38] 他也是隧道外卷公司
[00:02:38 - 00:02:39] Balling Company的总裁
[00:02:39 - 00:02:43] 从斯坦福大学航空航天工程硕士毕业之后
[00:02:43 - 00:02:45] 他在2023年就加入了SpaceX
[00:02:45 - 00:02:47] 是公司最早的员工之一
[00:02:47 - 00:02:50] 2016年马斯克任命他运营The Balling Company
[00:02:50 - 00:02:51] 在他的领导下
[00:02:51 - 00:02:53] 这家公司筹集了数亿美元
[00:02:53 - 00:02:56] 还在拉斯维加斯建造了几条特斯拉隧道
[00:02:56 - 00:02:59] 他还曾经帮助马斯克完成了推特的收购和运营
[00:02:59 - 00:03:01] 据说戴维斯和家人在那段时间
[00:03:01 - 00:03:04] 就睡在公司总部的一间临时卧室里
[00:03:04 - 00:03:07] 现在他又在帮助马斯克裁撤政府戎源
[00:03:07 - 00:03:09] 尼可·霍兰德是X公司的员工
[00:03:09 - 00:03:12] 他毕业于乔治华盛顿大学
[00:03:12 - 00:03:15] 曾经是房地产开发商GGB Smith的雇员
[00:03:15 - 00:03:17] 还曾经是推特过渡团队的一员
[00:03:17 - 00:03:19] 参与了推特的人员削减
[00:03:19 - 00:03:20] 另外他还有一个身份
[00:03:20 - 00:03:22] 那就是史蒂夫·戴维斯的妻子
[00:03:22 - 00:03:25] 华兰德在斗志虽然没有公开的正式头衔
[00:03:25 - 00:03:27] 但是根据连线杂志报道
[00:03:27 - 00:03:29] 他拥有联邦机构的高层保安权限
[00:03:29 - 00:03:32] 和政府官方的电子邮件地址
[00:03:32 - 00:03:34] 凭借着与戴维斯的关系以及在X的工作
[00:03:34 - 00:03:36] 他稳稳的留在了马斯克的圈子里
[00:03:36 - 00:03:38] 再看看高层的人员
[00:03:38 - 00:03:42] 布莱恩·比耶尔德在马斯克的SpaceX工作了21年
[00:03:42 - 00:03:44] 是公司的第14号员工
[00:03:44 - 00:03:46] 至今仍然在SpaceX任职
[00:03:46 - 00:03:49] 他最初是航空电子工程师
[00:03:49 - 00:03:52] 在过去10年负责管理SpaceX的人力资源部门
[00:03:52 - 00:03:54] 在加入SpaceX之前
[00:03:54 - 00:03:58] 他从南加州大学获得航天工程硕士学位之后
[00:03:58 - 00:04:01] 还在NASA的喷气推进实验室工作过一年
[00:04:01 - 00:04:03] 现在他在斗志担任人事管理办公室
[00:04:03 - 00:04:05] 也就是OPM的高级顾问
[00:04:05 - 00:04:09] 凭借着在SpaceX积累的丰富人力资源管理经验
[00:04:09 - 00:04:11] 为斗志的人事工作提供专业上支持
[00:04:11 - 00:04:15] 阿曼达·斯凯尔斯目前担任OPM的幕僚长
[00:04:15 - 00:04:17] 虽然他并不直接为斗志工作
[00:04:17 - 00:04:19] 但是这个职位使他成为了马斯克
[00:04:19 - 00:04:21] 裁撤永远行动的核心人物
[00:04:21 - 00:04:25] 斯凱爾斯曾經在馬斯克的公司XAA從事人才招聘工作
[00:04:25 - 00:04:27] 直到2025年1月
[00:04:27 - 00:04:31] 此外他還在風險同事公司Human Capital以及Uber
[00:04:31 - 00:04:33] 從事過人力資源和人才相關的工作
[00:04:33 - 00:04:37] 斯凱爾斯2012年畢業於加州大學戴維斯分校
[00:04:37 - 00:04:39] 獲得過心理學和經濟學學位
[00:04:39 - 00:04:41] 艾米格利森是鬥志的代理管理員
[00:04:41 - 00:04:43] 名義上是鬥志的負責人
[00:04:43 - 00:04:46] 但是馬斯克則是背後實際的發號施令者
[00:04:46 - 00:04:49] 從他的link的印個人資料可以看到
[00:04:49 - 00:04:51] 他曾经在美国数字服务公司任职
[00:04:51 - 00:04:55] 后来还担任过Russell Street Winters的首席产品官
[00:04:55 - 00:04:57] 根据设立斗志的行政命令
[00:04:57 - 00:05:00] 他需要向白宫办公厅主任苏西威尔斯汇报工作
[00:05:01 - 00:05:05] 捷恩巴拉甲迪亚从2017年开始加入马斯克的商业生态圈
[00:05:05 - 00:05:08] 最初在The Balling Company担任运营协调员
[00:05:08 - 00:05:10] 2018年成为马斯克的长期助理
[00:05:10 - 00:05:12] 负责管理马斯克及其家人的活动
[00:05:12 - 00:05:14] 当马斯克接管推特的时候
[00:05:14 - 00:05:15] 他被任命为幕僚长
[00:05:16 - 00:05:18] 还向几位推特高管发出了解雇信
[00:05:18 - 00:05:21] 如今他在鬥志中也發揮著重要的作用
[00:05:21 - 00:05:22] 根據《紐約時報》的報導
[00:05:22 - 00:05:24] 他被列入教育部員工名錄
[00:05:24 - 00:05:26] 在加入特斯拉之前
[00:05:26 - 00:05:29] 他還曾經在紅牛NBC環球和華特迪士尼工作過
[00:05:29 - 00:05:33] 里卡多比亞西尼在2011年進入馬斯克的圈子
[00:05:33 - 00:05:36] 從義大利比薩大學獲得汽車工程碩士學位之後
[00:05:36 - 00:05:38] 他加入了特斯拉擔任工程師
[00:05:38 - 00:05:40] 在特斯拉的五年裡
[00:05:40 - 00:05:43] 他主要專注於特斯拉的AutoPilot的自動價值系統
[00:05:43 - 00:05:46] 還領導開發了交通桿支巡航控制等功能
[00:05:46 - 00:05:50] 2016年他離開特斯拉加入了出狀公司Common.ai
[00:05:50 - 00:05:52] 負責開發自動駕駛汽車系統
[00:05:52 - 00:05:55] 後來還成為了公司的首席執行官
[00:05:55 - 00:05:57] 2019年他又回到馬斯克身邊
[00:05:57 - 00:05:59] 現在是鬥志OPM的高級公文
[00:05:59 - 00:06:04] 克里斯托弗·斯坦利於2022年10月開始為馬斯克工作
[00:06:04 - 00:06:05] 在馬斯克接管推特之後
[00:06:05 - 00:06:08] 他成為了推特核心過渡團隊的議員
[00:06:08 - 00:06:11] 之後他在白宮擔任了一個沒有具體說明的角色
[00:06:11 - 00:06:13] 他還是X的安全工程主管
[00:06:13 - 00:06:16] SpaceX的首席安全工程師
[00:06:16 - 00:06:18] 以及馬斯克計畫推出的支付服
[00:06:18 - 00:06:20] X Payments的首席信息安全官
[00:06:20 - 00:06:22] 在進入馬斯克的圈子之前
[00:06:22 - 00:06:24] 他擁有自己的網絡安全公司
[00:06:24 - 00:06:26] 還在肯打基州擔任過承包商
[00:06:26 - 00:06:28] 在醫療機構Baptist Health工作過
[00:06:29 - 00:06:30] 接下來是基層
[00:06:30 - 00:06:32] 也就是被稱為工封的人員
[00:06:32 - 00:06:34] 阿卡什伯巴是鬥志的一名工程師
[00:06:34 - 00:06:36] 主要參與政府系統的優化和開發
[00:06:37 - 00:06:38] 他只有21歲
[00:06:38 - 00:06:40] 目前就讀於加州大學伯克利分校
[00:06:40 - 00:06:42] 雖然與馬斯克的交際不多
[00:06:42 - 00:06:44] 但是他有著豐富的科技行業實習經驗
[00:06:44 - 00:06:46] 曾经在Mata Planet实习过
[00:06:46 - 00:06:48] 还在桥水基金工作过
[00:06:48 - 00:06:49] 在OPM的内部邮件中
[00:06:49 - 00:06:51] 他被列为专家
[00:06:51 - 00:06:52] 直接向OPM的幕僚长
[00:06:52 - 00:06:54] 阿曼达.斯凯尔斯汇报
[00:06:54 - 00:06:55] 艾德华.克里斯丁
[00:06:55 - 00:06:56] 年仅19岁
[00:06:56 - 00:06:58] 2024年刚从高中毕业
[00:06:58 - 00:07:00] 就被美国波士顿的东北大学陆去
[00:07:00 - 00:07:03] 计划学习机械工程和物理学
[00:07:03 - 00:07:05] 他是斗志团队的核心成员之一
[00:07:05 - 00:07:07] 也是马斯克最年轻的助手
[00:07:07 - 00:07:08] 被列为斗志的专家
[00:07:08 - 00:07:10] 参与政府的技术项目
[00:07:10 - 00:07:12] 他有着独特的西兰花烫发
[00:07:12 - 00:07:13] 绰号BigBoss
[00:07:14 - 00:07:17] 一个月末他就已经在多个政府部门认职
[00:07:17 - 00:07:18] 在加入斗志之前
[00:07:18 - 00:07:21] 他在自己家中就经营着多家公司
[00:07:21 - 00:07:23] 包括提供地道斯防护的网络服务公司
[00:07:23 - 00:07:25] Demon的CDN和Packetware
[00:07:25 - 00:07:27] 2024年5月左右
[00:07:27 - 00:07:29] 他开始为马斯克的公司New Link工作
[00:07:29 - 00:07:31] 马尔科.艾莱茲25岁
[00:07:31 - 00:07:34] 是美国财政部的特别政府雇员
[00:07:34 - 00:07:35] 自从加入斗志以来
[00:07:35 - 00:07:37] 他成为了斗志访问联邦政府
[00:07:37 - 00:07:39] 敏感系统斗争中的核心人物
[00:07:39 - 00:07:41] 作为财政部的高级雇员
[00:07:41 - 00:07:43] 他可以使用美国财政部的支付系统
[00:07:43 - 00:07:47] 这个系统负责向美国人支付大约6万亿美元的联邦资金
[00:07:47 - 00:07:49] 向社会保障支票和联邦退税等等
[00:07:49 - 00:07:51] 不过2月6日
[00:07:51 - 00:07:54] 华尔街日报曝光了他在社交媒体账户上的种族主义帖子
[00:07:54 - 00:07:57] 被迫短暂辞去了斗志的职务
[00:07:57 - 00:08:00] 但是在马斯克在X平台上发起民意调查
[00:08:00 - 00:08:02] 询论他是否应该被重新雇用之后
[00:08:02 - 00:08:04] 他又恢复了在斗志的任职
[00:08:04 - 00:08:05] 在进入政府之前
[00:08:05 - 00:08:08] 他曾经在SpaceX专注于车辆摇测
[00:08:08 - 00:08:10] 星际飞船和卫星软件工作
[00:08:10 - 00:08:12] 后来还在马斯克的社交媒体公司X
[00:08:12 - 00:08:14] 从事搜索相关的AI工作
[00:08:15 - 00:08:16] 盧克.法里托23岁
[00:08:16 - 00:08:18] 在多个美国政府部门
[00:08:18 - 00:08:19] 包括国务院
[00:08:19 - 00:08:21] 美国国际开发署和能源部的
[00:08:21 - 00:08:22] 员工名录中
[00:08:22 - 00:08:23] 被列为高级顾问
[00:08:23 - 00:08:24] 在加入政府之前
[00:08:24 - 00:08:26] 他是内布拉斯加大学
[00:08:26 - 00:08:27] 林肯分校的学生
[00:08:27 - 00:08:30] 因为破译古罗马卷轴上的文字而文明
[00:08:30 - 00:08:32] 并且赢得了70万美元的奖金
[00:08:32 - 00:08:34] 后来他入选了2024年
[00:08:34 - 00:08:35] 泰尔奖学金
[00:08:35 - 00:08:36] 还曾经在Net Freedom
[00:08:36 - 00:08:39] 和Daniel Gross的加速器AI Ground工作
[00:08:39 - 00:08:41] 2022年中
[00:08:41 - 00:08:43] 他在马斯克的卫星互联网公司Starlink实习
[00:08:43 - 00:08:47] 2022年5月至2023年7月在SpaceX工作
[00:08:48 - 00:08:51] 隔天i.科尔吉利安被描述为斗指的一名志愿者
[00:08:51 - 00:08:55] 在2月初被指定为美国环境保护局的联邦特派人员
[00:08:55 - 00:08:58] 他主要协助团队获取财政部的安全访问权限
[00:08:58 - 00:09:00] 以便进入政府支付网络
[00:09:00 - 00:09:02] 他曾经是加拿大麦基尔大学的学生
[00:09:02 - 00:09:05] 在那里学习了数学和计算机科学
[00:09:05 - 00:09:07] 并且在2021年到2022期间
[00:09:07 - 00:09:10] 担任麦尔大学人工智能团队的成员
[00:09:10 - 00:09:11] 加文克里格22岁
[00:09:11 - 00:09:13] 毕业于加州大学伯克利分校
[00:09:13 - 00:09:15] 电器与计算机工程专业
[00:09:15 - 00:09:17] 2025年初加入了斗志团队
[00:09:17 - 00:09:20] 他曾经是推特和Datebricks的软件工程师
[00:09:20 - 00:09:22] 有着明确的政治立场
[00:09:22 - 00:09:24] 曾经在自己的SupStack平台
[00:09:24 - 00:09:25] 发表有争议的文章
[00:09:25 - 00:09:28] 还带着让美国再次伟大的Mouse拍照
[00:09:28 - 00:09:29] 《纽约时报》曾经点名他
[00:09:29 - 00:09:31] 向美国国际开发署的工作人员
[00:09:31 - 00:09:33] 发出了全员电子邮件
[00:09:33 - 00:09:34] 命令他们在家工作
[00:09:34 - 00:09:38] 因为国际开发主正在受到斗指和特朗普政府的审查
[00:09:38 - 00:09:42] Town Cross是美国财政部的特殊政府雇员和斗指的高级职员
[00:09:42 - 00:09:45] 同时担任Cloud Software集团的首席执行官
[00:09:45 - 00:09:48] Cloud Software集团拥有多家的科技公司
[00:09:48 - 00:09:50] 包括曾经的上市公司Citrix
[00:09:50 - 00:09:51] 根据彭博社的报道
[00:09:51 - 00:09:54] 他在Citrix采调了一些员工认为
[00:09:54 - 00:09:56] 对公司产品安全至关重要的职位
[00:09:56 - 00:09:59] 在成为Cloud Software的首席执行官之前
[00:09:59 - 00:10:00] 他曾经担任博通的高管
[00:10:00 - 00:10:02] 还经营过自己的资讯公司
[00:10:02 - 00:10:04] 在财政部工作期间
[00:10:04 - 00:10:08] 他一直與另一位財政部高級員工馬爾科·埃萊茲密切合作
[00:10:08 - 00:10:10] 傑利米.勒文27歲
[00:10:10 - 00:10:12] 是哈佛法學院的畢業生
[00:10:12 - 00:10:15] 是總務管理局GSA的一名鬥志工作人員
[00:10:15 - 00:10:18] 負責監督聯邦政府的大規模採購和物流業務
[00:10:18 - 00:10:19] 他還是一名律師
[00:10:19 - 00:10:21] 曾經與美國第二夫人烏沙萬斯
[00:10:21 - 00:10:23] 在同一家律師事務所工作
[00:10:23 - 00:10:25] 尼吉爾.拉傑帕爾27歲
[00:10:25 - 00:10:29] 在加州大學伯克利分校學習計算機科學和歷史
[00:10:29 - 00:10:32] 還擔任過傾向於自由主義的學生政治團體
[00:10:32 - 00:10:34] 學生爭取自由的主席
[00:10:34 - 00:10:36] 他从2016年开始在推特工作
[00:10:36 - 00:10:38] 直到马斯克收购之前的一段时间
[00:10:38 - 00:10:39] 据说在此之前
[00:10:39 - 00:10:42] 他还参与过重新设计特斯拉控制台的工作
[00:10:42 - 00:10:46] 现在他代表斗志在国家海洋和大气管理局工作
[00:10:46 - 00:10:48] 拥有斗志的电子邮件地址
[00:10:48 - 00:10:51] 凯尔舒特24岁是一名技术专家
[00:10:51 - 00:10:53] 与共和党政治有着长期的联系
[00:10:53 - 00:10:56] 最近又与马斯克的政治运作联系带了一起
[00:10:56 - 00:10:57] 根据报道
[00:10:57 - 00:11:01] 他可以访问联邦紧急事务管理局FEMA的系统
[00:11:01 - 00:11:04] 他曾在一家名为Outburst Data的公司工作
[00:11:04 - 00:11:06] 这家公司投款着斗志网站的一部分
[00:11:06 - 00:11:09] 以及其他几个与马斯克相关的网站
[00:11:09 - 00:11:12] 他还担任的共和党广泛使用的在线籌款平台
[00:11:12 - 00:11:13] Ruev的首席技术官
[00:11:13 - 00:11:16] 以及福基尼亚州软件公司Kam的联合创始人
[00:11:16 - 00:11:19] 医生邵特兰22岁 家族人
[00:11:19 - 00:11:21] 也是哈佛大学2025届的学生
[00:11:21 - 00:11:22] 专注于自动驾驶研究
[00:11:22 - 00:11:23] 2024年9月
[00:11:23 - 00:11:26] 他在马斯克的人工智能公司XAA举办的
[00:11:26 - 00:11:27] 黑克马拉松中获得亚军
[00:11:27 - 00:11:30] 从而公开与马斯克建立联系
[00:11:31 - 00:11:34] S.ai的创始人开发过多个iPhone应用程序
[00:11:34 - 00:11:36] 包括一款特朗普主题的跑步游戏
[00:11:36 - 00:11:37] 根据报道
[00:11:37 - 00:11:39] 它有一个有效的GSA电子邮件地址
[00:11:39 - 00:11:42] 可以访问10年以来的GSA数据
[00:11:42 - 00:11:45] 以及教育部的电子邮件系统和后端网站
[00:11:45 - 00:11:47] 乔丹威克28岁
[00:11:47 - 00:11:48] 是Vimod前软件工程师
[00:11:48 - 00:11:51] 有权访问消费者金融保护局系统
[00:11:51 - 00:11:53] 他从麻省理工学院毕业
[00:11:53 - 00:11:54] 获得工程硕士学位
[00:11:54 - 00:11:57] 还是YC的出装公司Intercept的联合创始人
[00:11:57 - 00:12:00] 克里斯托弗·杨目前是斗志的高级顾问
[00:12:00 - 00:12:04] 拥有消费者金融保护局CFPB的电子邮件地址
[00:12:04 - 00:12:05] 根据纽约时报报道
[00:12:05 - 00:12:08] 他是共和党的顶级外勤人员
[00:12:08 - 00:12:11] 至少从2007年起就开始为共和党工作
[00:12:11 - 00:12:13] 于2024年被马斯克聘为政治顾问
[00:12:13 - 00:12:16] 最后是斗志帝国外围的辅助人员
[00:12:16 - 00:12:19] 首先是硅谷的风险投资公司A16Z的
[00:12:19 - 00:12:21] 联合创始马克安德森
[00:12:21 - 00:12:23] 他虽然并没有正式为斗志工作
[00:12:23 - 00:12:26] 但是在斗志中担任着人才招聘的关键网络人员
[00:12:26 - 00:12:29] 还开玩笑的称自己是斗志的无心实习生
[00:12:29 - 00:12:31] 乔治·库貝是Plantier的工程師
[00:12:31 - 00:12:34] 在2024年底參與鬥志的招聘工作
[00:12:34 - 00:12:37] 他於2019年畢業於賓夕法尼亞州利哈伊大學
[00:12:37 - 00:12:40] 獲得計算技科學和商業學士學位
[00:12:40 - 00:12:43] 他曾經努力僱傭其他Plantier公司的人加入鬥志
[00:12:43 - 00:12:45] 認為他們是他認識的最傑出的人
[00:12:45 - 00:12:48] 維奈希利馬斯是鬥志的一名招聘人員
[00:12:48 - 00:12:50] 與A16Z有著合作關係
[00:12:50 - 00:12:53] 專注於幫助科技出狀企業和成長型公司
[00:12:53 - 00:12:54] 組建頂尖的團隊
[00:12:54 - 00:12:56] 在鬥志的運作中
[00:12:56 - 00:12:57] 他積極參與人才的招募工作
[00:12:57 - 00:13:00] 凭借者自身在行业积累的人脈资源
[00:13:00 - 00:13:03] 为斗志寻溺具备专业技能和创新思维的人才
[00:13:03 - 00:13:06] 他曾经还是出账公司陆墓的联合创始人
[00:13:06 - 00:13:09] 安东尼·杨索同样是斗志的一名招聘专员
[00:13:09 - 00:13:10] 活跃于科技人才市场
[00:13:10 - 00:13:13] 也是前Planetier的一名软件工程师
[00:13:13 - 00:13:17] 2023年杨索与他人共同创立了Axcelerate SF
[00:13:17 - 00:13:19] 想要利用AI来解决城市问题
[00:13:19 - 00:13:21] 杨索的具体年龄没有公开
[00:13:21 - 00:13:23] 但是根据林克顿印的个人资料
[00:13:23 - 00:13:25] 他于2021年毕业于伦敦大学学院
[00:13:25 - 00:13:27] 获得经济学学士学位
[00:13:27 - 00:13:29] 另外 杨索本人是由史蒂夫·戴维斯
[00:13:29 - 00:13:30] 招募到斗志的
[00:13:30 - 00:13:32] 麦克尔·克拉西奥斯
[00:13:32 - 00:13:33] 曾经在特朗普政府的
[00:13:33 - 00:13:35] 白宫科技政策办公室任职
[00:13:35 - 00:13:37] 对政府科技政策的制定和实施
[00:13:37 - 00:13:38] 有着深入的了解
[00:13:38 - 00:13:40] 克拉西奥斯于2024年底
[00:13:40 - 00:13:42] 帮助斗志进行了人员的招聘工作
[00:13:42 - 00:13:44] 并且对潜在的员工进行了面试
[00:13:44 - 00:13:46] 克拉西奥斯还曾经担任过
[00:13:46 - 00:13:48] Scale AI的董事总经理
[00:13:48 - 00:13:50] 并且在特朗普总统第一任任期内
[00:13:50 - 00:13:52] 担任美国的首席技术官
[00:13:52 - 00:13:53] 根据他的林克的印信息
[00:13:53 - 00:13:56] 他曾经于2014年到2017年
[00:13:56 - 00:13:58] 担任Peter Till创立的风头公司
[00:13:58 - 00:13:59] Till Capital的负责人
[00:13:59 - 00:14:02] 凯蒂·米勒是斗志的顾问兼发言人
[00:14:02 - 00:14:05] 他在政治沟通和公共关系领域经验丰富
[00:14:05 - 00:14:07] 曾经在特朗普政府的多个重要岗位认职
[00:14:07 - 00:14:10] 包括担任副总统麦克·彭斯的新闻秘书等等
[00:14:10 - 00:14:12] 他也是特朗普副幕僚长
[00:14:12 - 00:14:14] 斯蒂芬·米勒的配偶
[00:14:14 - 00:14:15] 在斗志的工作中
[00:14:15 - 00:14:17] 他一方面利用自己的专业知识
[00:14:17 - 00:14:19] 为斗志的各项决策提供顾问意见
[00:14:19 - 00:14:21] 从公共关系和政治影响的角度
[00:14:21 - 00:14:23] 为斗志的行动出谋划策
[00:14:23 - 00:14:24] 另一方面 作为发言人
[00:14:24 - 00:14:27] 他负责向外界传达斗志的政策举措
[00:14:27 - 00:14:29] 工作进展和改革目标
[00:14:29 - 00:14:31] 努力塑造斗志积极正面的形象
[00:14:31 - 00:14:33] 环节斗志在推进改革过程中
[00:14:33 - 00:14:35] 所面临的舆论压力和争议
[00:14:35 - 00:14:38] 好了 以上就是斗志部门相关的人员介绍了
[00:14:38 - 00:14:40] 从这些人员构成可以看出
[00:14:40 - 00:14:43] 斗志这个团队的人员来源广泛而且复杂
[00:14:43 - 00:14:45] 涵盖了科技 政治 金融等等多个领域
[00:14:45 - 00:14:49] 馬斯克憑藉著他在科技行業的巨大影響力和獨特的人格魅力
[00:14:49 - 00:14:52] 將這些來自於不同背景的人聚集在一起
[00:14:52 - 00:14:55] 試圖對美國政府機構進行大刀闊斧的改革
[00:14:55 - 00:14:56] 從目前來看
[00:14:56 - 00:15:01] 鬥志的行動對於美國政府機構的運作模式和人員結構產生了巨大的衝擊
[00:15:01 - 00:15:06] 預設著美國政府的管理方式可能會朝著更加注重效力和成本控制的方向來發展
[00:15:06 - 00:15:08] 而對於科技行業來說
[00:15:08 - 00:15:12] 鬥志的存在為科技人才進入政府機構提供了新的途徑
[00:15:12 - 00:15:15] 或許未來會有更多的科技理念和技術手段
[00:15:15 - 00:15:17] 融入到政府的管理和服務當中
[00:15:17 - 00:15:19] 不過 鬥志的未來發展
[00:15:19 - 00:15:21] 也面臨著許多的挑戰和不確定性
[00:15:21 - 00:15:23] 他所推動的改革舉措
[00:15:23 - 00:15:24] 引發的爭議不斷
[00:15:24 - 00:15:25] 法律訴訟纏身
[00:15:25 - 00:15:28] 如何妥善處理好這些負面的因素
[00:15:28 - 00:15:30] 也是鬥志需要面臨的一個難題
[00:15:30 - 00:15:31] 而且 隨著時間的推移
[00:15:31 - 00:15:34] 鬥志能否在2026年7月的全線
[00:15:34 - 00:15:35] 到期日之前
[00:15:35 - 00:15:36] 完成既定的目標
[00:15:36 - 00:15:37] 以及到期後
[00:15:37 - 00:15:39] 這些人員的去留和相關改革成果的延續
[00:15:39 - 00:15:41] 都還是一個未知數
[00:15:41 - 00:15:42] 我們也只能拭目以待
[00:15:42 - 00:15:44] 那大家對於鬥志的看法如何呢
[00:15:44 - 00:15:46] 欢迎在评论区留言
[00:15:46 - 00:15:47] 感谢大家观看
[00:15:47 - 00:15:47] 我们下期再见
