BV号：BV1a3QaYjE7Q
标题：BV1a3QaYjE7Q
链接：https://www.bilibili.com/video/BV1a3QaYjE7Q
识别语言：zh
语言置信度：1
分段数：406
生成时间：2026-08-30 11:18:23

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 最近 人工智能领域迎来了一个重磅消息
[00:00:06 - 00:00:09] 被誉为强化学习支付的加拿大计算机科学家
[00:06:55 - 00:06:58] 分別用紅、黃、藍綠四種顏色表示
[00:06:58 - 00:07:00] 最後一列是連續變量
[00:07:00 - 00:07:01] 代表獎勵
[00:07:01 - 00:07:02] 在實際實驗中
[00:07:02 - 00:07:04] 研究者們會把數字去掉
[00:07:04 - 00:07:05] 只留下顏色
[00:07:05 - 00:07:07] 這樣更容易尋找其中的模式
[00:07:07 - 00:07:09] 薩端認為經驗就是對
[00:07:09 - 00:07:12] 感觉运动数据中所发现的模式
[00:07:12 - 00:07:14] 而产生的知识和理解
[00:07:14 - 00:07:15] 在这个例子里
[00:07:15 - 00:07:17] 就有很多典型的模式
[00:07:17 - 00:07:19] 比如说行动的最后一位
[00:07:19 - 00:07:22] 和紧随其后的感知信号是相同的
[00:07:22 - 00:07:24] 如果某个时间部数的行动是白色的
[00:07:24 - 00:07:27] 那么它后面的第一个感知信号
[00:07:27 - 00:07:27] 也是白色
[00:07:28 - 00:07:29] 灰色也同样是如此
[00:07:29 - 00:07:32] 还有当出现红色的时候
[00:07:32 - 00:07:34] 紧随其后的一个时间部数是绿色
[00:07:34 - 00:07:36] 如果扩大数据的范围
[00:07:36 - 00:07:37] 还会发现
[00:07:37 - 00:07:39] 在红绿色先后出现之后
[00:07:39 - 00:07:41] 隔一个时间部数就会出现蓝色
[00:07:41 - 00:07:43] 另外数据的最后三列
[00:07:43 - 00:07:44] 往往会出现一长串
[00:07:44 - 00:07:45] 同样的颜色
[00:07:45 - 00:07:46] 保持不变
[00:07:46 - 00:07:47] 从而形成条纹
[00:07:47 - 00:07:48] 除了这些
[00:07:48 - 00:07:51] 为了让AI能够预测特定的感知数据
[00:07:51 - 00:07:52] 还增加了返回值
[00:07:52 - 00:07:54] 这个返回值代表着
[00:07:54 - 00:07:56] 对将会到来的奖励的预测
[00:07:56 - 00:07:56] 比如说
[00:07:56 - 00:07:58] 框中的绿色条带
[00:07:58 - 00:08:00] 就代表了随后的奖励中
[00:08:00 - 00:08:01] 绿色会比红色多
[00:08:01 - 00:08:04] 这就是当前对于奖励的预测
[00:08:04 - 00:08:06] 特殊的印尼区域表示等待含述
[00:08:06 - 00:08:07] 在这个区里面
[00:08:07 - 00:08:09] 会有绿色和红色的挑战
[00:08:09 - 00:08:11] 而且研究者会给越早返回的
[00:08:11 - 00:08:14] 带有颜色的奖励更高的权重
[00:08:14 - 00:08:16] 当返回值随着时间移动的时候
[00:08:16 - 00:08:19] 我们就可以看到预测结果和实际奖励之间的
[00:08:19 - 00:08:21] 颜色和值的对应变化
[00:08:21 - 00:08:23] 这种返回值本质上并不是从
[00:08:23 - 00:08:25] 已经发生的事件中学习的
[00:08:25 - 00:08:27] 而是从时间差信号中学到的
[00:08:27 - 00:08:30] 其中最重要的信号就是价值含数
[00:08:30 - 00:08:31] 在这个例子里
[00:08:31 - 00:08:34] 返回值实际上就是一个价值含数
[00:08:34 - 00:08:36] 代表的是对于未来奖励的总和
[00:08:36 - 00:08:38] 如果想要一个更一般形式的
[00:08:38 - 00:08:41] 复杂的能够指代未来值的函数
[00:08:41 - 00:08:44] 可以采用一般价值函数GVFS的方法
[00:08:44 - 00:08:46] 一般价值函数可以包含各种信号
[00:08:46 - 00:08:48] 不仅仅是奖励
[00:08:48 - 00:08:50] 它可以是任何时间风暴形式
[00:08:50 - 00:08:52] 还可以包括任何的侧脸
[00:08:52 - 00:08:54] 能够预测的事情数量也非常多
[00:08:54 - 00:08:55] 范围也很广
[00:08:55 - 00:08:58] 不过用一般价值函数进行预测的时候
[00:08:58 - 00:09:00] 被预测对象的表达形式
[00:09:00 - 00:09:02] 需要设计成为异于学习的形式
[00:09:02 - 00:09:04] 而且要有很高的计算效率
[00:09:04 - 00:09:06] 理解了什么是经验之后
[00:09:06 - 00:09:08] 我们再来看看经验状态这个阶段
[00:09:08 - 00:09:10] 提到状态这个词
[00:09:10 - 00:09:12] 很多研究者可能会想到世界状态
[00:09:12 - 00:09:14] 这是一个属于客观概念的词语
[00:09:14 - 00:09:18] 世界状态指的是对客观世界的一种符号化的描述
[00:09:18 - 00:09:20] 能够和世界本身的情况相匹配
[00:09:20 - 00:09:24] 比如说金木块的位置信息C在A上
[00:09:24 - 00:09:25] 在最近一段时间内
[00:09:25 - 00:09:29] 一些研究者像朱迪亚·破尔提出的概率图模型
[00:09:29 - 00:09:31] 他表示的是世界状态的概率分布
[00:09:31 - 00:09:34] 原来描述像是外边下雨了
[00:09:34 - 00:09:37] 草地是否是湿的这类事件之间的概率关系
[00:09:38 - 00:09:40] 还有一种状态是信念状态
[00:09:40 - 00:09:41] 在这种概念里
[00:09:41 - 00:09:43] 状态是一种概率分布
[00:09:43 - 00:09:44] 表示的是离散世界的状态
[00:09:45 - 00:09:47] 对应的方法叫做POM-DPS
[00:09:47 - 00:09:50] 也就是部分可观察马尔科夫决策过程
[00:09:50 - 00:09:52] 这里边存在着隐藏状态辩量
[00:09:53 - 00:09:54] 其中部分是可被观察到的
[00:09:55 - 00:09:57] 所以可以使用马尔科夫决策过程
[00:09:57 - 00:09:58] 来进行建模
[00:09:58 - 00:10:00] 不过这些都属于客观的状态
[00:10:00 - 00:10:01] 和经验相距比较远
[00:10:01 - 00:10:05] 是研究者们一开始尝试描述世界状态的方法
[00:10:05 - 00:10:07] 而萨顿提出的经验状态则不同
[00:10:07 - 00:10:10] 他认为经验状态是指整个世界的状态
[00:10:10 - 00:10:11] 根据经验来定义
[00:10:11 - 00:10:13] 它是过去经验的总结
[00:10:13 - 00:10:17] 能够用来预测和控制未来将会获得的经验
[00:10:17 - 00:10:18] 这种通过构造过去经验
[00:10:18 - 00:10:20] 来预测未来的做法
[00:10:20 - 00:10:22] 其实在很多研究中都有体现
[00:10:22 - 00:10:24] 比如说在强化学习的任务之一
[00:10:24 - 00:10:25] 雅达利游戏中
[00:10:25 - 00:10:28] 研究者们会用游戏的最后四帧视频
[00:10:28 - 00:10:29] 来构建经验状态
[00:10:29 - 00:10:32] 然后根据这个经验状态来预测之后的行为
[00:10:32 - 00:10:35] 还有LSTM网络中的一些方法
[00:10:35 - 00:10:38] 也可以被认为是从某种经验状态中进行预测
[00:10:38 - 00:10:40] 经验状态还有一个很重要的特点
[00:10:40 - 00:10:42] 就是它可以帝规更新
[00:10:42 - 00:10:46] 经验状态是整个过去发生事件的总结函数
[00:10:46 - 00:10:48] 因为AI需要每时每刻访问经验状态
[00:10:48 - 00:10:51] 来实现对于接下来发生事件的预测
[00:10:51 - 00:10:53] 所以经验状态的更新是帝规式的
[00:10:54 - 00:10:57] 也就是说当前时刻只访问上一时刻的经验状态
[00:10:57 - 00:10:59] 而上一时刻的经验状态
[00:10:59 - 00:11:02] 是对过去所有发生过的事件的总结
[00:11:02 - 00:11:03] 到了下一个时刻
[00:11:03 - 00:11:06] 同样只访问此时此刻的经验状态
[00:11:06 - 00:11:07] 而这个经验状态
[00:11:07 - 00:11:09] 也是对过去发生的所有事件的总结
[00:11:09 - 00:11:12] 最后是预测性知识阶段
[00:11:12 - 00:11:14] 像拜登是美国总统
[00:11:14 - 00:11:16] Effort Teta在巴黎这样的知识
[00:11:16 - 00:11:18] 都是对于外部客观世界的一种描述
[00:11:18 - 00:11:20] 他们并不是经验性的知识
[00:11:20 - 00:11:22] 但是类似于做某件事情
[00:11:22 - 00:11:24] 预计要花费多少个小时这类的知识
[00:11:24 - 00:11:26] 就属于经验知识
[00:11:26 - 00:11:29] 经验知识和客观知识之间存在着巨大的差异
[00:11:29 - 00:11:31] 这也是AI研究要面临的一个挑战
[00:11:32 - 00:11:33] 以往的AI研究
[00:11:33 - 00:11:36] 大多数倾向于将知识视为一种客观的选项
[00:11:36 - 00:11:38] 虽然近期已经有一些研究
[00:11:38 - 00:11:40] 开始从经验的角度来看待问题
[00:11:40 - 00:11:43] 但是早期的AI系统由于没有经验
[00:11:43 - 00:11:44] 根本无法进行预测
[00:11:44 - 00:11:46] 而更现代一些的AI
[00:11:46 - 00:11:48] 把知识看作是客观的存在
[00:11:48 - 00:11:49] 比如说概率图模型
[00:11:49 - 00:11:53] 不过很多时候它研究的是两件同时发生的事情之间的概率
[00:11:53 - 00:11:57] 而預測面向的應該是一連串的序列事件
[00:11:57 - 00:11:59] 基於對序列事件的預測
[00:11:59 - 00:12:01] 是一種具有明確與藝屬性的知識
[00:12:01 - 00:12:04] 如果AI預測某件事情會發生
[00:12:04 - 00:12:07] 就可以將預測和實際的結果進行對比
[00:12:07 - 00:12:11] 而這種預測模型可以被認為是一種新的世界知識
[00:12:11 - 00:12:12] 也就是預測性知識
[00:12:12 - 00:12:14] 在預測性知識領域
[00:12:14 - 00:12:16] 薩頓認為最前沿的成果
[00:12:16 - 00:12:18] 就是一般價值函數和選擇模型
[00:12:18 - 00:12:21] 薩頓把世界知識分成了兩類
[00:12:21 - 00:12:23] 一類是關於世界狀態的知識
[00:12:23 - 00:12:26] 另一類是關於世界狀態轉換的知識
[00:12:26 - 00:12:28] 比如說一個世界預測模型
[00:12:28 - 00:12:31] 不過這個預測模型並不是初級形態的
[00:12:31 - 00:12:33] 馬爾科夫決策過程或者是差分方程
[00:12:33 - 00:12:35] 它可以是抽象的狀態
[00:12:35 - 00:12:38] 在經驗狀態中能夠被抽取出來
[00:12:38 - 00:12:41] 因為預測是以整個行為為條件進行的
[00:12:41 - 00:12:43] 所以在選擇模型中
[00:12:43 - 00:12:45] Agent可以選擇根據某種條件終止
[00:12:45 - 00:12:48] 也可以選擇對某個行為後的狀態進行預測
[00:12:48 - 00:12:50] 舉個日常生活中的例子
[00:12:50 - 00:12:52] 假設你要去成立便
[00:12:52 - 00:12:54] 那么就会对前往失踪心的距离
[00:12:54 - 00:12:55] 时间进行一个预测
[00:12:55 - 00:12:58] 如果不行10分钟就能到成立这个行为
[00:12:58 - 00:12:59] 超过了某个预值
[00:12:59 - 00:13:01] 那么你可能就会进一步预测出一个状态
[00:13:01 - 00:13:02] 比如说疲惫等等
[00:13:02 - 00:13:05] 有了这种能够延伸行为的模型
[00:13:05 - 00:13:08] 知识所表示的规模就可以非常大
[00:13:08 - 00:13:11] 比如说你可以根据一个行为来预测世界的状态
[00:13:11 - 00:13:13] 然后根据状态再去预测下一个行为
[00:13:13 - 00:13:15] 如此循环下去
[00:13:15 - 00:13:16] 不过萨登也指出
[00:13:16 - 00:13:18] 在AI的发展历程中
[00:13:18 - 00:13:20] 经验虽然越来越受到重视
[00:13:20 - 00:13:22] 但是我们也不能忽视他的一些问题
[00:13:22 - 00:13:23] 对于人类来说
[00:13:23 - 00:13:25] 经验过于主观化和个人化
[00:13:25 - 00:13:28] 所以我们仍然不太喜欢用经验的方式
[00:13:28 - 00:13:29] 去思考和表达
[00:13:29 - 00:13:30] 经验对于我们来说
[00:13:30 - 00:13:32] 显得陌生反直觉
[00:13:32 - 00:13:33] 短暂又复杂
[00:13:34 - 00:13:36] 而且经验是主观私人的
[00:13:36 - 00:13:37] 和他人进行交流
[00:13:37 - 00:13:38] 或者进行验证
[00:13:38 - 00:13:39] 几乎是不可能的
[00:13:40 - 00:13:42] 但是经验对于AI来说
[00:13:42 - 00:13:43] 却有着非常重要的意义
[00:13:43 - 00:13:46] 首先经验来自于AI的日常运行过程
[00:13:46 - 00:13:48] 获取这些经验是无成本的
[00:13:48 - 00:13:49] 自动的
[00:13:49 - 00:13:52] 同时AI有大量的数据可以用来计算
[00:13:52 - 00:13:55] 经验就像是一条通向了解世界的道路
[00:13:55 - 00:13:58] 如果世界中的任何事实都是经验性的
[00:13:58 - 00:14:01] 那么AI就可以从经验中学习对于世界的认识
[00:14:01 - 00:14:03] 并且在经验中进行验证
[00:14:03 - 00:14:05] 最后撒段指出
[00:14:05 - 00:14:06] 回顾AI的发展历史
[00:14:06 - 00:14:08] 在过去70年里
[00:14:08 - 00:14:10] AI领域逐渐在增加对于经验的重视
[00:14:10 - 00:14:14] 从最初获得经验到根据经验来设定目标
[00:14:14 - 00:14:16] 再到根据经验获得状态和知识
[00:14:16 - 00:14:18] 每一个阶段都在不断的进步
[00:14:18 - 00:14:20] 虽然目前在利用经验方面
[00:14:20 - 00:14:24] AI还没有完成经验状态和预测性知识这两个阶段
[00:14:24 - 00:14:26] 也就是阶段3和阶段4
[00:14:26 - 00:14:29] 但是这种发展的趋势会越来越明显
[00:14:29 - 00:14:32] 萨顿认为将一切都归于经验
[00:14:32 - 00:14:34] 才是通向真正AI的可行路径
[00:14:34 - 00:14:37] 就像他自己在演讲最后一页提到的
[00:14:37 - 00:14:40] 并不是所有的一切都是从经验中习得的
[00:14:40 - 00:14:42] 而是所有的一切都与经验有关
[00:14:42 - 00:14:45] 好了 以上就是萨顿这次演讲的主要内容了
[00:14:45 - 00:14:48] 希望能够对大家理解经验在AI中的重要性
[00:14:48 - 00:14:49] 有所幫助
[00:14:49 - 00:14:50] 感謝大家觀看本期視頻
[00:14:50 - 00:14:52] 我們下期再見
