BV号：BV1ESZCYrEFe
标题：BV1ESZCYrEFe
链接：https://www.bilibili.com/video/BV1ESZCYrEFe
识别语言：zh
语言置信度：1
分段数：279
生成时间：2026-08-30 10:01:10

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前几天我们在做GTC2025节目的时候
[00:02:06 - 00:02:09] 样子计算如果真的15-20年能够落地
[00:02:09 - 00:02:11] 那也已经很快了
[00:02:11 - 00:02:13] 这里黄仁勋自贬一下
[00:02:13 - 00:02:15] 其实一方面是为了给活动站台
[00:02:15 - 00:02:17] 另一方面也可能是为了拉拢一众的客户
[00:02:17 - 00:02:20] 那么黄仁勋为何会有这样的转变呢
[00:02:20 - 00:02:22] 我们还是听听他接下来说了什么
[00:02:22 - 00:02:23] 在开场发言中
[00:02:23 - 00:02:25] 他将处于发展初期的量子企业
[00:02:25 - 00:02:27] 与英伟达的创业历程进行了类比
[00:02:28 - 00:02:30] 英伟达的如今在GPU领域的成就
[00:02:30 - 00:02:31] 大家是有目共睹的
[00:02:31 - 00:02:33] 但是他的软硬件生态体系
[00:02:33 - 00:02:35] 也是历经了20多年才构建完成的
[00:02:36 - 00:02:37] 黄泳鑫表示
[00:02:37 - 00:02:39] 新兴技术的发展往往充满了曲折
[00:02:39 - 00:02:42] 而量子计算的企业也正处于这样的阶段
[00:02:42 - 00:02:43] 他还提到
[00:02:43 - 00:02:46] 自己没有预料到市场的敏感度如此之高
[00:02:46 - 00:02:47] 甚至还开玩笑的说
[00:02:47 - 00:02:49] 当股票下跌的时候
[00:02:49 - 00:02:52] 我甚至都没有意识到这些公司是上市公司
[00:02:52 - 00:02:54] 黄仲勋用这样的调侃
[00:02:54 - 00:02:55] 缓解了当时紧张的气氛
[00:02:55 - 00:02:58] 也让人们看到了他对于资本市场波动的无奈
[00:02:58 - 00:03:00] 随后黄仲勋介绍了一下
[00:03:00 - 00:03:02] 英伟达在量子领域的布局
[00:03:02 - 00:03:04] 采用的是双轮驱动的战略
[00:03:04 - 00:03:06] 从产业协同层面来看
[00:03:06 - 00:03:08] 微软、AWS等战略伙伴
[00:03:08 - 00:03:10] 会深度的参与专项研讨
[00:03:10 - 00:03:13] 这些伙伴会同时具备量子投资者
[00:03:13 - 00:03:15] 与英伟达核心客户的双重身份
[00:03:15 - 00:03:18] 他们的参与会使得量子计算的产业
[00:03:18 - 00:03:20] 各方的联系更加的紧密
[00:03:20 - 00:03:21] 通过与他们的合作
[00:03:21 - 00:03:23] 英伟达能够整合各方的资源
[00:03:23 - 00:03:24] 推动量子计算技术
[00:03:24 - 00:03:25] 更快的从实验室
[00:03:25 - 00:03:26] 走向实际的应用
[00:03:27 - 00:03:28] 在技术生态构建方面
[00:03:28 - 00:03:30] 量子计算的研发
[00:03:30 - 00:03:31] 需要高度的依赖于
[00:03:31 - 00:03:32] GPU算力的支持
[00:03:32 - 00:03:33] 英伟达正在加速开发
[00:03:33 - 00:03:35] 易购计算架构的解决方案
[00:03:35 - 00:03:36] 着力打通
[00:03:36 - 00:03:38] GPU与传统量子芯片的系统及整合
[00:03:39 - 00:03:39] 我们知道
[00:03:39 - 00:03:41] GPU在处理大规模数据
[00:03:41 - 00:03:42] 和复杂计算任务方面
[00:03:42 - 00:03:44] 有着得天独厚的优势
[00:03:44 - 00:03:47] 而量子芯片则具有独特的量子计算能力
[00:03:47 - 00:03:48] 两者的结合
[00:03:48 - 00:03:50] 有望实现计算能力的质的飞跃
[00:03:51 - 00:03:52] 黄银勋还提到三前前
[00:03:53 - 00:03:55] 他在GTC的开幕演讲中宣布
[00:03:55 - 00:03:56] 将在波士顿成立
[00:03:56 - 00:03:58] 英伟达加速量子研究中心
[00:03:58 - 00:03:59] 简称NVAQC
[00:04:00 - 00:04:01] 这个中心的目的
[00:04:01 - 00:04:02] 是集成领先的量子硬件
[00:04:02 - 00:04:04] 与AI超级计算机
[00:04:04 - 00:04:06] 实现加速量子超级计算
[00:04:06 - 00:04:08] 同时解决量子比特的噪声
[00:04:08 - 00:04:10] 和实用设备转化等等关键的问题
[00:04:10 - 00:04:12] 研究中心的初始合作伙伴
[00:04:12 - 00:04:14] 包括Containem, Conero,
[00:04:14 - 00:04:15] Containem-Mashins,
[00:04:15 - 00:04:16] Haffer,
[00:04:16 - 00:04:18] Marseng-LiGong等等企業和研究機構
[00:04:18 - 00:04:20] 他們不僅在量子硬件開發和應用方面
[00:04:20 - 00:04:21] 有著豐富的經驗
[00:04:21 - 00:04:23] 還在量子物理基礎研究方面
[00:04:23 - 00:04:25] 處於世界的領先地位
[00:04:25 - 00:04:27] 英語達呢希望通過與他們合作
[00:04:27 - 00:04:29] 一同功課量子計算領域的難題
[00:04:29 - 00:04:31] 在量子日長達3個小時的對談中
[00:04:31 - 00:04:33] 黃宗勳還有量子領域的專家們
[00:04:33 - 00:04:36] 圍繞著多個緯度的話題展開了深度的探討
[00:04:36 - 00:04:38] 在美加公司介紹了各自的記錄之後
[00:04:40 - 00:04:45] 在一个材料模拟的实际问题上实现了量子优越性的情况
[00:04:45 - 00:04:49] 量子优越性指的是量子计算机在特定的任务上
[00:04:49 - 00:04:52] 能够展现出超越经典计算机的计算能力
[00:04:52 - 00:04:55] 黄二勋向DVV公司的CEO艾伦·巴拉茨提问道
[00:04:55 - 00:04:59] 每当量子计算行业有人取得一个里程碑式成果的时候
[00:04:59 - 00:05:02] 都会在其他同行中引发相当大的争议
[00:05:02 - 00:05:04] 你们这次的成果有没有引发争议呢?
[00:05:04 - 00:05:05] 因为目前来看
[00:05:05 - 00:05:08] 我觉得取得成果和引发争议的比例是1比1
[00:05:08 - 00:05:12] 这个问题直接触及到了量子优越性争议的核心
[00:05:12 - 00:05:15] 一方面DVV公司认为自己的成果是可靠的
[00:05:15 - 00:05:18] 在多个方面进行了深入的计算和验证
[00:05:18 - 00:05:21] 另一方面其他的研究人员却提出了不同的观点
[00:05:21 - 00:05:24] 认为经典计算方法在某些情况下
[00:05:24 - 00:05:25] 就可以达到类似的效果
[00:05:25 - 00:05:27] 艾伦·巴拉茨表示
[00:05:27 - 00:05:29] 西蒙斯基金会Flanterer研究所的研究人员
[00:05:29 - 00:05:32] 声称使用经典张量网络能够以烧快的速度
[00:05:32 - 00:05:35] 处理DVV计算过的最小规模实力
[00:05:35 - 00:05:38] 他们强调这削弱了DVV的成果
[00:05:38 - 00:05:39] 但是事實並非如此
[00:05:39 - 00:05:42] Deville計算了許多不同尺寸的金格
[00:05:42 - 00:05:44] 演化時間框架以及金格上的屬性
[00:05:44 - 00:05:46] 這是一個非常有力的成果
[00:05:46 - 00:05:48] 並且已經公開發布一年有餘
[00:05:48 - 00:05:49] 從他們的對話中
[00:05:49 - 00:05:50] 我們可以看到
[00:05:50 - 00:05:52] 對量子優越性理論的爭議
[00:05:52 - 00:05:53] 是一件比較複雜的事情
[00:05:53 - 00:05:54] 當然了
[00:05:54 - 00:05:55] 其實這種爭議
[00:05:55 - 00:05:56] 在科技的發展過程中
[00:05:56 - 00:05:57] 並不罕見
[00:05:57 - 00:05:58] 從某個角度來說
[00:05:58 - 00:06:00] 它也促成了科研人員
[00:06:00 - 00:06:01] 不斷的進行生物的研究
[00:06:01 - 00:06:03] 從而推動了技術的進步
[00:06:03 - 00:06:03] 隨後
[00:06:03 - 00:06:04] 華人勳將話題
[00:06:04 - 00:06:06] 轉向了量子計算機的一些早期應用
[00:06:06 - 00:06:08] 以及如何定义实用性的概念
[00:06:09 - 00:06:11] 这个话题引发了在场嘉宾的热烈讨论
[00:06:11 - 00:06:14] CoAero的联合创神米哈依尔·罗金认为
[00:06:14 - 00:06:16] 量子计算从根本上来说
[00:06:16 - 00:06:18] 是一种全新的科学与工程工具
[00:06:18 - 00:06:20] 可以用在新的科学发现上
[00:06:20 - 00:06:23] 他指出我们现在正处于一个量子发现的时代
[00:06:23 - 00:06:24] 在这个时代里
[00:06:24 - 00:06:25] 我们可以利用这些机器
[00:06:25 - 00:06:27] 来探索化学和材料科学
[00:06:27 - 00:06:29] 等等复杂系统的物理特性
[00:06:29 - 00:06:30] 通常情况下
[00:06:30 - 00:06:31] 这些发现可能不一定
[00:06:31 - 00:06:33] 直接具有商业的相关性
[00:06:33 - 00:06:35] 比如说理解非平衡系统的特性
[00:06:35 - 00:06:37] 但是預計在未來幾年內
[00:06:37 - 00:06:39] 我們在這些方面會取得更多的進展
[00:06:39 - 00:06:41] 並將研究成果轉化為實際的應用
[00:06:41 - 00:06:44] 他們可能會以一種無法預測的方式
[00:06:44 - 00:06:45] 開創全新的產業
[00:06:45 - 00:06:48] 這正是目前所處的一個特殊的階段
[00:06:48 - 00:06:50] 康天悼的CEO 拉基布哈斯拉
[00:06:50 - 00:06:53] 雖然表示贊同米哈伊爾如今的學術觀點
[00:06:53 - 00:06:54] 但是他更加強調
[00:06:54 - 00:06:57] 量子計算在當前產業端的實際價值
[00:06:57 - 00:06:58] 作為一家企業的管理者
[00:06:58 - 00:07:01] 他重點關注如何通過量子技術
[00:07:01 - 00:07:03] 來解決客戶面臨的現實挑戰
[00:07:03 - 00:07:04] 比如說在化學領域
[00:07:04 - 00:07:06] 可以开发对环境友好的这种计
[00:07:06 - 00:07:08] 或者是通过优化反应路径
[00:07:08 - 00:07:10] 来提升水质倾的效率
[00:07:10 - 00:07:13] 从而摆脱对于薄催化剂的依赖
[00:07:13 - 00:07:14] 在生物学方向
[00:07:14 - 00:07:16] 拉基布哈泽拉聚焦于探索
[00:07:16 - 00:07:17] 泰雷化合物的
[00:07:17 - 00:07:18] 把向结合机制研究
[00:07:18 - 00:07:20] 因为泰雷化合物在生物体内
[00:07:20 - 00:07:21] 有着重要的作用
[00:07:21 - 00:07:24] 所以了解其把向结合机制
[00:07:24 - 00:07:25] 对于开发新型的药物
[00:07:25 - 00:07:27] 治疗疾病有着重要的意义
[00:07:27 - 00:07:29] 随后黄仁勋对于量子计算机
[00:07:29 - 00:07:31] 是否真的算是计算机提出了质疑
[00:07:31 - 00:07:33] 这又引发了新一轮的讨论
[00:07:33 - 00:07:35] 因为经典意义上的计算机定义
[00:07:35 - 00:07:39] 通常包括具备内存、存储功能、读写能力
[00:07:39 - 00:07:40] 以及相关的编程模型
[00:07:40 - 00:07:41] 黄尔勋强调
[00:07:41 - 00:07:44] 量子计算机之所以被称为量子计算机
[00:07:44 - 00:07:45] 而不是量子仪器
[00:07:45 - 00:07:48] 是因为人们对于计算机有一个固定的概念
[00:07:48 - 00:07:51] 所以量子计算机也应该具备超快速
[00:07:51 - 00:07:52] 运行XL软件的能力
[00:07:52 - 00:07:53] 而事实上
[00:07:53 - 00:07:55] 每一台像样的计算机
[00:07:55 - 00:07:57] 都应该能够运行像危机这样的游戏
[00:07:57 - 00:08:00] Pascal的CEO洛伊克-亨利亚也认为
[00:08:00 - 00:08:01] 从某种意义上来说
[00:08:01 - 00:08:04] 量子计算机这个词可能会产生误导
[00:08:04 - 00:08:07] 因为量子计算机无法取代经典计算机
[00:08:07 - 00:08:07] 它表示
[00:08:07 - 00:08:10] 量子计算机更多的是起到一种补充的作用
[00:08:10 - 00:08:13] 人们喜欢把这些机器称为量子处理器QPU
[00:08:13 - 00:08:16] 这其实是非常专业的机器
[00:08:16 - 00:08:17] 可以在复杂的工作流程中
[00:08:17 - 00:08:19] 与CPU和GPU协同的工作
[00:08:19 - 00:08:21] 而不是取代它们
[00:08:21 - 00:08:23] AWS的应用科学总监
[00:08:23 - 00:08:25] 西莫娜·斯塞维利尼也强调
[00:08:25 - 00:08:28] QPU不会取代经典的超级计算机或者是GPU
[00:08:28 - 00:08:30] 而是会作为专门的加速器
[00:08:30 - 00:08:32] 用来处理以前无法完成的任务
[00:08:32 - 00:08:33] 就像是在一场接力赛中
[00:08:33 - 00:08:34] 经典计算机
[00:08:34 - 00:08:37] GPU和QPU各自承担着不同的任务
[00:08:37 - 00:08:39] 共同推动计算技术的发展
[00:08:39 - 00:08:41] 然而D-Wave的CEO
[00:08:41 - 00:08:42] Ellen Barats表示
[00:08:42 - 00:08:44] 他难以接受量子计算机
[00:08:44 - 00:08:45] 不算做计算机的观点
[00:08:46 - 00:08:48] 当量子计算机被用在材料发泄
[00:08:48 - 00:08:50] 区块链以及被日本NTT公司
[00:08:50 - 00:08:52] 用来改善风波机站的资源利用时
[00:08:52 - 00:08:55] 就不应该再将它看作是一种仪器
[00:08:55 - 00:08:56] 虽然有很多应用
[00:08:56 - 00:08:58] 是不会在量子计算机上运行的
[00:08:58 - 00:09:00] 但是对于那些需要强大
[00:09:00 - 00:09:01] 处理能力的应用来说
[00:09:01 - 00:09:03] 量子计算机非常的强大
[00:09:03 - 00:09:05] 他们的功能远远超出了单纯的仪器
[00:09:05 - 00:09:06] 或者是测量设备的范畴
[00:09:07 - 00:09:08] iOneQ的CEO
[00:09:08 - 00:09:08] 比较插不慢
[00:09:08 - 00:09:09] 也表示了支持
[00:09:10 - 00:09:11] 并且提到了他的公司
[00:09:11 - 00:09:13] 最近的一项模拟医疗设备的
[00:09:13 - 00:09:14] 雪崩动力学演示
[00:09:14 - 00:09:17] 在雪崩动态特性建模环节
[00:09:17 - 00:09:18] 量子计算架构的运算优势
[00:09:18 - 00:09:20] 达到了12%的基准值
[00:09:20 - 00:09:22] 他认为这是首次展示了
[00:09:22 - 00:09:24] 将量子技术应用于生产软件的实力
