BV号：BV1nXXUYjEE3
标题：BV1nXXUYjEE3
链接：https://www.bilibili.com/video/BV1nXXUYjEE3
识别语言：zh
语言置信度：1
分段数：517
生成时间：2026-08-30 12:12:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近 知名播客20vc的主播
[00:00:05 - 00:00:08] 访谈了Snowflake的CEO 斯里达尔 拉马斯瓦米
[00:00:08 - 00:00:12] 讨论了AI竞争格局 发展趋势和企业管理等方面的很多话题
[00:00:12 - 00:00:15] Snowflake应该不用我过都介绍了
[00:01:57 - 00:01:59] 但是如果你不是真心的熱愛
[00:01:59 - 00:02:00] 可能很難做好
[00:02:00 - 00:02:01] 他還強調
[00:02:01 - 00:02:03] 在這個快速變化的時代
[00:02:03 - 00:02:05] 年輕人要對變化保持開放的心態
[00:02:05 - 00:02:06] 要靈活應變
[00:02:06 - 00:02:08] 積極擁抱變化
[00:02:08 - 00:02:09] 不要成為那些曾經認為
[00:02:09 - 00:02:11] 互聯網永遠不會成為主流的人
[00:02:11 - 00:02:13] 要善於發現變化中的機會
[00:02:13 - 00:02:15] 投入時間和經歷
[00:02:15 - 00:02:17] 不僅要做好當下的工作
[00:02:17 - 00:02:18] 還有思考未來的發展方向
[00:02:19 - 00:02:20] 這種動力和靈活性
[00:02:20 - 00:02:22] 不僅是他給年輕人的建議
[00:02:22 - 00:02:24] 也是他在招聘員工的時候
[00:02:24 - 00:02:25] 非常看重的品質
[00:02:25 - 00:02:28] 接著他們談到了軟件工程在AI時代的發展
[00:02:29 - 00:02:32] 有人認為AI會首先在軟件工程領域佔據主導地位
[00:02:32 - 00:02:35] 像Copala這樣的工具已經出現了
[00:02:35 - 00:02:38] 似乎預示著軟件工程的未來充滿著變數
[00:02:38 - 00:02:39] 拉馬斯瓦米認為
[00:02:39 - 00:02:42] 所有知識型的工作者都會受到AI的影響
[00:02:42 - 00:02:44] AI就像一個神奇的翻譯層
[00:02:44 - 00:02:47] 能夠處理各種結構化和非結構化的知識
[00:02:47 - 00:02:49] 以一種類似於人類的方式去理解他們
[00:02:49 - 00:02:51] 但是現在就判斷軟件工程
[00:02:51 - 00:02:53] 是否會成為一個萎縮的專業
[00:02:53 - 00:02:54] 还维持过早
[00:02:54 - 00:02:55] 在未来
[00:02:55 - 00:02:56] 将软件和人工智能
[00:02:56 - 00:02:58] 应用到更多领域的过程中
[00:02:58 - 00:03:00] 仍然存在着大量的机会
[00:03:00 - 00:03:00] 所以
[00:03:00 - 00:03:02] 它对于软件工程这个职业并不悲观
[00:03:03 - 00:03:05] 关键是从业者要拥抱未来
[00:03:05 - 00:03:06] 看清楚发展方向
[00:03:06 - 00:03:08] 保持灵活应变的能力
[00:03:08 - 00:03:09] 在访谈中
[00:03:09 - 00:03:10] 斯特彬斯还提到
[00:03:10 - 00:03:11] 许多人说
[00:03:11 - 00:03:13] 拉马斯环米的工作强度非常大
[00:03:13 - 00:03:15] 周围的人很难跟上它的节奏
[00:03:15 - 00:03:17] 对于像他这样高强度工作的CEO
[00:03:17 - 00:03:19] 拉马斯环米给出了自己的解释
[00:03:19 - 00:03:20] 他说
[00:03:20 - 00:03:22] 要让团队成员理解大局
[00:03:22 - 00:03:25] 明白机会的短暂性以及机会消失的速度有多快
[00:03:25 - 00:03:27] 因Snowflake为例
[00:03:27 - 00:03:29] 虽然公司年收入35亿美元
[00:03:29 - 00:03:31] 但是经过通货膨胀调整之后
[00:03:31 - 00:03:34] 经济每年还要增长1%-3%
[00:03:34 - 00:03:35] 按照这个速度
[00:03:35 - 00:03:38] 很多业务要实现翻倍可能需要很长的时间
[00:03:38 - 00:03:40] 但是Snowflake的预期是两年翻倍
[00:03:40 - 00:03:42] 这就需要非凡的人才
[00:03:42 - 00:03:44] 而且这个目标并不适合所有的人
[00:03:44 - 00:03:46] 对于Snowflake来说
[00:03:46 - 00:03:49] 公司的使命是成为地球上每个企业的数据引擎
[00:03:49 - 00:03:52] 这是一个非常宏大而且令人兴奋的使命
[00:03:52 - 00:03:54] 但是实现这个目标需要特别的人
[00:03:54 - 00:03:56] 需要大家有很高的期望
[00:03:56 - 00:03:58] 因为回报很高 机会很大
[00:03:58 - 00:04:00] 同时机会成本也很大
[00:04:00 - 00:04:01] 在招聘员工方面
[00:04:01 - 00:04:03] 拉马斯瓦米也分享了自己的经验
[00:04:03 - 00:04:07] 他曾经以为招聘的人能够随着公司的发展阶段而成长
[00:04:07 - 00:04:09] 但是后来发现这是很难预测的
[00:04:09 - 00:04:12] 人生漫长 人们会随着时间的改变
[00:04:12 - 00:04:14] 一些外部因素 比如说金钱
[00:04:14 - 00:04:16] 会对人的选择产生影响
[00:04:16 - 00:04:17] 他自己加入谷歌
[00:04:17 - 00:04:19] 就有一部分原因是經濟的因素
[00:04:19 - 00:04:21] 當時谷歌即將上市
[00:04:21 - 00:04:24] 但是也有一些在谷歌早期加入的員工
[00:04:24 - 00:04:26] 在公司上市之後獲得了巨額的財富
[00:04:26 - 00:04:28] 就覺得生活已經很美好了
[00:04:28 - 00:04:30] 失去了繼續奮鬥的動力
[00:04:30 - 00:04:33] 他認為每次團隊規模翻倍的時候
[00:04:33 - 00:04:35] 那些曾經讓員工在之前團隊中
[00:04:35 - 00:04:36] 表現出色的東西
[00:04:36 - 00:04:39] 往往會成為他們在新工作中成功的障礙
[00:04:39 - 00:04:42] 這就需要員工不斷地重塑自己和工作方式
[00:04:42 - 00:04:44] 這一點並不是所有人都能夠做到的
[00:04:44 - 00:04:45] 作為管理者
[00:04:45 - 00:04:48] 他認為自己有責任給員工這樣的機會
[00:04:48 - 00:04:50] 但是如果員工實在無法適應
[00:04:50 - 00:04:52] 他也會果斷地做出決定
[00:04:52 - 00:04:53] 比如說給員工降職
[00:04:53 - 00:04:55] 調整工作內容等等
[00:04:55 - 00:04:56] 說到降職
[00:04:56 - 00:04:57] 這是一個非常敏感的話題
[00:04:57 - 00:04:59] 斯德賓斯就問拉馬斯瓦米
[00:04:59 - 00:05:01] 如果願意給員工降職
[00:05:01 - 00:05:03] 是不是意味著應該直接解雇他們
[00:05:03 - 00:05:05] 拉馬斯瓦米解釋說
[00:05:05 - 00:05:07] 在快速變化的商業環境中
[00:05:07 - 00:05:08] 情況是很複雜的
[00:05:08 - 00:05:10] 比如說一個原本預計用20名工程師
[00:05:10 - 00:05:12] 就能完成的領域
[00:05:12 - 00:05:14] 突然業務出現了爆炸式的增長
[00:05:14 - 00:05:15] 需要100個人來負責
[00:05:15 - 00:05:17] 而負責這個領域的管理者
[00:05:17 - 00:05:19] 可能原本管理著40個人
[00:05:19 - 00:05:20] 現在要增長到100個人
[00:05:20 - 00:05:22] 他可能就會面臨很大的壓力
[00:05:22 - 00:05:23] 難以勝任
[00:05:23 - 00:05:26] 但是這並不代表他是一個能力差的人
[00:05:26 - 00:05:28] 只是當前的環境不適合他
[00:05:28 - 00:05:28] 這個時候
[00:05:28 - 00:05:30] 管理者的職責就是要找到
[00:05:30 - 00:05:32] 正確的環境和框架
[00:05:32 - 00:05:33] 幫助員工取得成功
[00:05:33 - 00:05:35] 他還分享了一個真實的案例
[00:05:35 - 00:05:37] 曾經有一位總監同時負責
[00:05:37 - 00:05:38] 兩個不同的領域
[00:05:38 - 00:05:39] 他考慮到業務的發展
[00:05:39 - 00:05:41] 決定拿走其中一個領域
[00:05:41 - 00:05:42] 讓這位總監專注於
[00:05:42 - 00:05:44] 另一個更有潛力的工作
[00:05:44 - 00:05:45] 他告訴這位總監
[00:05:45 - 00:05:48] 這個工作未來可能會發展成400億美元的業務
[00:05:48 - 00:05:50] 就像當年的谷歌購物一樣
[00:05:50 - 00:05:52] 這位總監接受了這個安排
[00:05:52 - 00:05:53] 最終成了副總裁
[00:05:53 - 00:05:55] 取得了巨大的成功
[00:05:55 - 00:05:56] 這就是領導力的體現
[00:05:56 - 00:05:59] 要能夠推銷人們不想接受的東西
[00:05:59 - 00:06:01] 並為他們描繪美好的未來願景
[00:06:01 - 00:06:02] 在管理過程中
[00:06:02 - 00:06:04] 難免也會遇到一些艱難的對話
[00:06:04 - 00:06:05] 比如說給員工降職
[00:06:05 - 00:06:07] 或者是指出員工的問題
[00:06:07 - 00:06:08] 拉瓦斯馬米也分享了
[00:06:08 - 00:06:10] 自己在這方面的一些技巧
[00:06:10 - 00:06:12] 他說 首先要明白
[00:06:12 - 00:06:14] 衝突通常不會自行的解決
[00:06:14 - 00:06:16] 拖延只會讓事情變得更糟
[00:06:16 - 00:06:18] 而且避免艱難的對話
[00:06:18 - 00:06:19] 也是對對方的不尊重
[00:06:19 - 00:06:21] 因為沒有幫助對方改進
[00:06:21 - 00:06:23] 在進行對話的時候
[00:06:23 - 00:06:26] 要將尊重、直率和謙遜結合起來
[00:06:26 - 00:06:27] 他會直接告訴對方
[00:06:27 - 00:06:28] 這將是一次艱難
[00:06:28 - 00:06:30] 而且令人不快的對話
[00:06:30 - 00:06:31] 但是他也會坦誠地說
[00:06:31 - 00:06:33] 自己不是什麼都懂
[00:06:33 - 00:06:35] 進行這樣的對話對他來說也很尷尬
[00:06:35 - 00:06:37] 但是為了解決問題
[00:06:37 - 00:06:38] 這次對話很有必要
[00:06:38 - 00:06:42] 最後他們還討論了財富與領導力的關係
[00:06:42 - 00:06:43] 斯特賓斯問道
[00:06:43 - 00:06:46] 更富有的領導者會成為更好的領導者嗎?
[00:06:46 - 00:06:48] 拉馬斯馬米明確地表示不會
[00:06:48 - 00:06:51] 他認為財富可能會讓領導者變得粗心大意
[00:06:51 - 00:06:53] 對風險過於的寬容
[00:06:53 - 00:06:54] 作為一名領導者
[00:06:54 - 00:06:55] 要考慮的不僅僅是自己
[00:06:55 - 00:06:58] 還有公司的員工 股東和客戶
[00:06:58 - 00:07:01] 他以Snowflake去年經歷的一段艱難時期為例
[00:07:01 - 00:07:04] 說明公司的決策會影響到許多不同的人
[00:07:04 - 00:07:06] 領導者不能只考慮自己的利益
[00:07:06 - 00:07:08] 要綜合權衡各種因素
[00:07:08 - 00:07:11] 做出對於公司來說最有利的決策
[00:07:11 - 00:07:12] 聊完管理方面的话题
[00:07:12 - 00:07:14] 我们再来看看AI领域的激烈竞争
[00:07:14 - 00:07:17] 特别是OpenAI和DeepSync之间的较量
[00:07:17 - 00:07:18] 斯特宾斯问拉马斯瓦米
[00:07:18 - 00:07:20] 作为一名投资者
[00:07:20 - 00:07:22] AI市场的可持续价值会在哪里产生呢?
[00:07:22 - 00:07:24] 拉马斯瓦米表示
[00:07:24 - 00:07:28] 如今基础设施提供商和应用提供商之间的界限越来越模糊
[00:07:28 - 00:07:30] 在开发新用的时候
[00:07:30 - 00:07:32] 很难保证像OpenAI、Suapeak、微软
[00:07:32 - 00:07:34] 或者谷歌这样的巨头不会去射阻
[00:07:34 - 00:07:35] 如果某个编程助手
[00:07:35 - 00:07:38] 或者是用AI生成法律文件的应用流行起来
[00:07:38 - 00:07:41] 这些巨头可能很快就会推出类似的产品
[00:07:41 - 00:07:42] 在它看来
[00:07:42 - 00:07:44] 真正创造价值的地方
[00:07:44 - 00:07:45] 在于那些拥有客户关系
[00:07:45 - 00:07:47] 能够提供明确的价值
[00:07:47 - 00:07:49] 并且愿意快速拥抱AI的公司
[00:07:49 - 00:07:51] 比如Snowflake和Salesforce
[00:07:51 - 00:07:53] 但是从长期来看
[00:07:53 - 00:07:54] AI领域新的价值创造
[00:07:54 - 00:07:56] 仍然充满了不确定性
[00:07:56 - 00:07:57] 说到这里
[00:07:57 - 00:07:59] 就不得不提到OPI的成功
[00:07:59 - 00:08:00] 拉马斯拉米认为
[00:08:00 - 00:08:01] OPI的成功不仅仅是因为
[00:08:01 - 00:08:03] 它能够创造最好的基础模型
[00:08:03 - 00:08:05] 更重要的是它的产品体验
[00:08:05 - 00:08:07] ChadGbt拥有大約10億用戶
[00:08:07 - 00:08:08] 這是非常難能可貴的
[00:08:08 - 00:08:10] 斯特賓斯提出
[00:08:10 - 00:08:13] DeepSig在一天就登上了排行榜的首位
[00:08:13 - 00:08:16] 用戶難道不會從ChadGbt切換到DeepSig嗎?
[00:08:16 - 00:08:18] 拉馬斯瓦米認為不會
[00:08:18 - 00:08:19] 他解釋說
[00:08:19 - 00:08:20] ChadGbt也是免費的
[00:08:20 - 00:08:22] 而且它不僅僅是一個模型
[00:08:22 - 00:08:24] 而是一個功能豐富的產品
[00:08:24 - 00:08:25] 能夠生成圖像
[00:08:25 - 00:08:26] 上傳文件
[00:08:26 - 00:08:27] 運行代碼片段等等
[00:08:27 - 00:08:28] 這些額外的功能
[00:08:28 - 00:08:30] 使得它已經成為了一個完整的產品
[00:08:30 - 00:08:33] 像Azropic在這方面就做的還不夠好
[00:08:33 - 00:08:35] 还更多的停留在模型层面的运营
[00:08:35 - 00:08:37] OPY的成功
[00:08:37 - 00:08:39] 不仅仅在于它拥有一个接近于METAL
[00:08:39 - 00:08:40] 和谷歌规模的消费者产品
[00:08:40 - 00:08:43] 其强大的公关能力也起到了很大的作用
[00:08:43 - 00:08:46] 在没有大规模投入广告的情况下
[00:08:46 - 00:08:47] OPY能够获得5e用户
[00:08:47 - 00:08:49] 这是非常惊人的成绩
[00:08:49 - 00:08:50] 一直以来
[00:08:50 - 00:08:52] OPY的必原模型都带有一些神秘感
[00:08:52 - 00:08:54] 他们在引导人们关注
[00:08:54 - 00:08:56] 所谓的难题方面也做得很好
[00:08:56 - 00:08:59] 虽然DeepSake这些公司打破了一些神话
[00:08:59 - 00:09:01] 但是OPY显然还有其他的计划
[00:09:01 - 00:09:03] 比如说AGA方面的研究等等
[00:09:03 - 00:09:04] 对于初创公司来说
[00:09:04 - 00:09:06] 建立在OpenI之上
[00:09:06 - 00:09:07] 确实会面临很大的挑战
[00:09:08 - 00:09:08] 当然了
[00:09:08 - 00:09:10] 在云和数据服务领域
[00:09:10 - 00:09:11] 竞争同样的激烈
[00:09:11 - 00:09:13] 斯特彬斯就问拉马斯·瓦米
[00:09:13 - 00:09:15] 是否会担心英伟达
[00:09:15 - 00:09:16] 进入Snowflake的领域
[00:09:16 - 00:09:17] 成为竞争对手
[00:09:17 - 00:09:20] 毕竟英伟达在芯片领域实力强大
[00:09:20 - 00:09:22] 在AI发展的浪潮下
[00:09:22 - 00:09:24] 有进入数据服务领域的潜在可能
[00:09:24 - 00:09:26] 拉马斯·瓦米表示
[00:09:26 - 00:09:28] 他不仅要对英伟达保持警惕
[00:09:28 - 00:09:29] 对其他的云服务商
[00:09:29 - 00:09:31] 比如AWS的Redshift
[00:09:33 - 00:09:34] 都要時刻的留意
[00:09:34 - 00:09:36] 就像在巨人腳下生存一樣
[00:09:36 - 00:09:38] 巨頭們的一個小動作
[00:09:38 - 00:09:40] 都可能對自己產生巨大的影響
[00:09:40 - 00:09:41] 不過它也指出
[00:09:41 - 00:09:43] 雖然巨頭們資源很豐富
[00:09:43 - 00:09:46] 但是是OPI和安索拉佩的這樣的公司
[00:09:46 - 00:09:48] 在過去三年創造出了世界上最好的模型
[00:09:48 - 00:09:51] 而不是那些傳統的雲服務巨頭
[00:09:51 - 00:09:52] 對一家出創公司來說
[00:09:52 - 00:09:55] 擁有產品市場氣和度是非常關鍵的
[00:09:55 - 00:09:57] 這就像是一種魔法
[00:09:57 - 00:09:58] 很難通過複製來實現
[00:09:58 - 00:10:01] 而想要產品很難被簡單的複製
[00:10:01 - 00:10:02] 就需要不斷的創新
[00:10:02 - 00:10:04] 提到数据领域就不能不说说
[00:10:04 - 00:10:06] Snowflake的竞争对手Datebricks
[00:10:06 - 00:10:07] 斯特宾斯说
[00:10:07 - 00:10:09] 他和Datebricks的董事会成员
[00:10:09 - 00:10:11] 投资者交流的时候
[00:10:11 - 00:10:14] 他们认为Datebricks在AI方面可能会领先
[00:10:14 - 00:10:16] 比如说Moscake AI MLflow
[00:10:16 - 00:10:18] 和直接模型托管等等
[00:10:18 - 00:10:20] 拉马斯环米显然对此有不同的看法
[00:10:20 - 00:10:23] 他认为需要区分机器学习和AI
[00:10:23 - 00:10:24] 他开玩笑的说
[00:10:24 - 00:10:27] 很多机器学习人员会把自己定位成经典的AI
[00:10:27 - 00:10:29] 他们进入机器学习的领域较早
[00:10:29 - 00:10:30] 有一定的优势
[00:10:30 - 00:10:33] 但是AI是一个相对年轻的领域
[00:10:33 - 00:10:35] 在ChattGBT出现之前
[00:10:35 - 00:10:36] 它的影响力还比较有限
[00:10:36 - 00:10:38] 所以在AI方面
[00:10:38 - 00:10:40] 它对Snowflake非常有信心
[00:10:40 - 00:10:42] 认为Snowflake不仅处于前沿
[00:10:42 - 00:10:44] 而且在很多方面领先于databricks
[00:10:44 - 00:10:46] 比如说Snowflake正在系统的
[00:10:46 - 00:10:48] 迅速的将AI融入到各个方面
[00:10:48 - 00:10:50] 从数据转换和数据工程
[00:10:50 - 00:10:52] 到理解非结构化数据
[00:10:52 - 00:10:54] 并且转换为结构化数据
[00:10:54 - 00:10:55] 还将这些功能
[00:10:55 - 00:10:57] 融入了一个名为Snowflake Intelligence的
[00:10:57 - 00:10:58] 智能框架中
[00:10:58 - 00:11:00] 这个框架即将推出
[00:11:00 - 00:11:02] 他认为在AI这个快速发展的领域
[00:11:02 - 00:11:04] Snowflake有足够的实力和信心
[00:11:04 - 00:11:05] 与其他公司竞争
[00:11:06 - 00:11:07] 斯特彬斯接着问
[00:11:07 - 00:11:10] 对于像Databricks这样的超级晚期出创公司
[00:11:10 - 00:11:12] 和像Snowflake这样的上市公司
[00:11:12 - 00:11:15] 哪种结构更加有利于AI的创新和发展呢?
[00:11:15 - 00:11:16] 拉马斯文明表示
[00:11:16 - 00:11:18] 创新是必须要做的事情
[00:11:18 - 00:11:20] 无论公司处于什么样的阶段
[00:11:20 - 00:11:23] 与Databricks作为一家四人公司相比
[00:11:23 - 00:11:25] Snowflake作为上市公司有更多的限制
[00:11:25 - 00:11:27] Databricks可以大量的收购业务
[00:11:27 - 00:11:30] 而不用担心他们的自由现金流等等问题
[00:11:30 - 00:11:33] 他们的销售人员数量也是Snowflake的两倍
[00:11:33 - 00:11:35] 但是他也指出
[00:11:35 - 00:11:35] 花钱容易
[00:11:35 - 00:11:38] 过度花钱可能会陷入不合理的状态
[00:11:38 - 00:11:39] 对Snowflake来说
[00:11:39 - 00:11:40] 虽然受到了限制
[00:11:40 - 00:11:43] 但是这些限制也带来了清晰的方向
[00:11:43 - 00:11:45] 让公司更加专注于需要构建的东西
[00:11:45 - 00:11:47] 通过试图的投资
[00:11:47 - 00:11:49] Snowflake也能够迅速在AI领域迎头赶上
[00:11:49 - 00:11:50] 当然了
[00:11:50 - 00:11:52] 限制也会带来一些问题
[00:11:52 - 00:11:52] 比如说
[00:11:52 - 00:11:54] 市场对上市公司
[00:11:54 - 00:11:55] 季度数据变化的过度解读
[00:11:55 - 00:11:57] 这可能会影响公司的股价
[00:11:57 - 00:12:00] 竟然影響投資者和員工們的信心
[00:12:00 - 00:12:01] 但是他認為
[00:12:01 - 00:12:02] 作為一家上市公司
[00:12:02 - 00:12:04] 透明度是一件好事
[00:12:04 - 00:12:05] 他提供了流動性
[00:12:05 - 00:12:08] 也能夠讓公司更加客觀地衡量自己的發展
[00:12:08 - 00:12:10] 聊完公司競爭格局
[00:12:10 - 00:12:13] 兩個人又深入探討了AI在企業中的應用
[00:12:13 - 00:12:14] 以及他的未來發展趨勢
[00:12:14 - 00:12:15] 斯特賓斯說
[00:12:15 - 00:12:17] 在他參加的一次峰會上
[00:12:17 - 00:12:18] 很多CEO提出
[00:12:18 - 00:12:20] 技術什麼時候才能夠真正為企業
[00:12:20 - 00:12:22] 帶來可觀的投資回報
[00:12:22 - 00:12:24] 這也是很多企業關心的問題
[00:12:24 - 00:12:26] AI的發展如此的迅速
[00:12:26 - 00:12:29] 但是實際應用中的價值體現還需要時間來驗證
[00:12:29 - 00:12:31] 拉馬斯萬米認為
[00:12:31 - 00:12:33] 雖然AI的增長會相對的溫和一些
[00:12:33 - 00:12:36] 但是他非常肯定AI正在創造價值
[00:12:36 - 00:12:38] 並且將繼續創造持久的價值
[00:12:38 - 00:12:40] 他分享了自己在達沃斯的經歷
[00:12:40 - 00:12:42] 在達沃斯參加了30次會議
[00:12:42 - 00:12:46] 期間他會使用聽血和轉路工具來做筆記
[00:12:46 - 00:12:48] 還會把大量手寫筆記上傳到雲端
[00:12:48 - 00:12:50] 讓AI生成簡潔的總結
[00:12:50 - 00:12:52] 這些功能大大提高了工作的效率
[00:12:52 - 00:12:54] 另外 公司內部的聊天機器人
[00:12:54 - 00:12:56] 也可以访问结构化数据
[00:12:56 - 00:12:58] 能够快速处理一些原本需要在
[00:12:58 - 00:13:00] 仪表盘中点击很多次
[00:13:00 - 00:13:02] 提供大量上下文才能够解决的问题
[00:13:02 - 00:13:04] 为工作带来了极大的便利
[00:13:04 - 00:13:05] 在达沃斯
[00:13:05 - 00:13:08] 拉马斯丰米还和许多CEO进行了交流
[00:13:08 - 00:13:10] 发现这些CEO们更多的希望得到帮助
[00:13:10 - 00:13:13] 了解AI能够为他们的企业带来那些可能性
[00:13:14 - 00:13:16] 当他向CEO们展示如何利用非结构化数据
[00:13:16 - 00:13:18] 创建聊天机器人
[00:13:18 - 00:13:20] 如何结合结构化和非结构化数据
[00:13:20 - 00:13:21] 创建智能平台
[00:13:21 - 00:13:23] 以及如何通过这些技术
[00:13:23 - 00:13:25] 自动化保险城堡的部分流程时
[00:13:25 - 00:13:28] CEO们都表现出了浓厚的兴趣
[00:13:28 - 00:13:31] 这也说明只要能够展示出AI的实用性
[00:13:31 - 00:13:33] 企业对于AI的接受度还是很高的
[00:13:33 - 00:13:35] 从创新的速度来看
[00:13:35 - 00:13:38] 如今确实看到了很多企业在AI领域
[00:13:38 - 00:13:40] 以非常快的速度在进行创新
[00:13:40 - 00:13:43] 蓝马斯拉米回顾了一些科技发展的历史
[00:13:43 - 00:13:46] 像是IBM与微软的交易就带来了巨大的行业变革
[00:13:46 - 00:13:48] 一些曾经辉煌的公司
[00:13:48 - 00:13:51] 比如说DC就因为没有跟上时代的步伐而消失
[00:13:51 - 00:13:54] 移動互聯網時代也是一次巨大的平台轉變
[00:13:54 - 00:13:55] 比如說馬克扎克伯格
[00:13:55 - 00:13:58] 最初想要通過移動網路來發展Facebook
[00:13:58 - 00:13:59] 後來發現行不通
[00:13:59 - 00:14:01] 果彈決定做一個應用
[00:14:01 - 00:14:04] 谷歌也將搜索從桌面成功轉移到了移動設備
[00:14:04 - 00:14:07] 拉馬斯馬米自己就曾經帶領團隊
[00:14:07 - 00:14:09] 花了5年的時間將移動收入佔比
[00:14:09 - 00:14:11] 從10%提升到了100%
[00:14:11 - 00:14:13] 亞馬遜同樣在移動互聯網浪潮中
[00:14:13 - 00:14:14] 毅力不倒
[00:14:14 - 00:14:15] 還發展得越來越好
[00:14:15 - 00:14:18] 這些企業都從過去的變革中吸取了經驗
[00:14:18 - 00:14:20] 所以在如今的AEI時代
[00:14:20 - 00:14:22] 他们才会疯狂的投资未来
[00:14:22 - 00:14:23] 积极的拥抱创新
[00:14:23 - 00:14:27] 就像MATA投入650亿美元建设数据中心
[00:14:27 - 00:14:29] 还有高达5000亿美元的星际知门计划
[00:14:29 - 00:14:31] 不过如此巨额的资金涌入
[00:14:31 - 00:14:32] 也让人不禁的思考
[00:14:32 - 00:14:35] 这场AI的军备竞赛将何须何从
[00:14:35 - 00:14:36] 拉马斯万米认为
[00:14:36 - 00:14:38] 泡沫终究会破裂
[00:14:38 - 00:14:40] 就如同历史上的各种泡沫一样
[00:14:40 - 00:14:42] 他提到了本汤姆森和耐特.霍利德
[00:14:42 - 00:14:44] 在Stratetory节目中讨论的
[00:14:44 - 00:14:46] 关于这是不是一个好泡沫的话题
[00:14:46 - 00:14:48] 回顾90年代的电信泡沫
[00:14:48 - 00:14:50] 虽然当时有很多企业失败了
[00:14:50 - 00:14:52] 但是最终为世界铺设了光纤
[00:14:52 - 00:14:55] 为后来谷歌、Facebook等等公司的发展
[00:14:55 - 00:14:55] 奠定了基础
[00:14:55 - 00:14:57] 我们也都从中受益
