BV号：BV1W49yYrE53
标题：BV1W49yYrE53
链接：https://www.bilibili.com/video/BV1W49yYrE53
识别语言：zh
语言置信度：1
分段数：296
生成时间：2026-08-30 11:52:52

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 在我们的日常生活中 常常会遇到这样的一个场景
[00:00:05 - 00:00:07] 当面临一个任务的时候
[00:03:32 - 00:03:33] 比方说
[00:03:33 - 00:03:35] 在解决一个软件问题的时候
[00:03:35 - 00:03:37] Agent可能会花费大量的时间
[00:03:37 - 00:03:39] 去分析问题的各个方面
[00:03:39 - 00:03:41] 制定出一长串详细的解决方案
[00:03:41 - 00:03:43] 但是就是不执行这些方案
[00:03:43 - 00:03:46] 它一直在思考如何做得更加完美
[00:03:46 - 00:03:48] 却忽略了实际动手去做
[00:03:48 - 00:03:49] 才是解决问题的关键
[00:03:49 - 00:03:52] 这种行为导致Agent在环境中
[00:03:52 - 00:03:53] 几乎没有任何实质性的进展
[00:03:53 - 00:03:56] 就像是一个人站在原地不停的思考路线
[00:03:56 - 00:03:58] 却始终没有卖出第一步一样
[00:03:58 - 00:04:00] 第二种模式是恶意行为
[00:04:00 - 00:04:02] 当Agent遇到错误的时候
[00:04:02 - 00:04:04] 它不是按照正常的逻辑
[00:04:04 - 00:04:05] 一步一步去解决问题
[00:04:05 - 00:04:08] 而是试图同时执行多个动作
[00:04:08 - 00:04:10] 这就破坏了环境的顺序约述
[00:04:10 - 00:04:12] 这就好比在组装一件家具的时候
[00:04:12 - 00:04:15] 正常的流程是按照说明书一步一步来
[00:04:15 - 00:04:17] 但是Agent却不管不顾
[00:04:17 - 00:04:18] 同时拿起多个零件
[00:04:18 - 00:04:20] 试图一次性的安装好
[00:04:20 - 00:04:21] 结果可想而知
[00:04:21 - 00:04:22] 不仅无法解决问题
[00:04:22 - 00:04:24] 还可能让情况变得更糟
[00:04:24 - 00:04:27] 尽管之前Agent可能已经表现出了
[00:04:27 - 00:04:28] 对于逐步交互需求的认识
[00:04:28 - 00:04:30] 但在这种情况下
[00:04:30 - 00:04:32] 它还是会继续构建复杂的动作序列
[00:04:32 - 00:04:35] 并且假定每个前一步的步骤都会成功
[00:04:35 - 00:04:37] 这实际上是在用内部模拟
[00:04:37 - 00:04:39] 代替了真实的环境反馈
[00:04:39 - 00:04:41] 第三种模式是过早放弃
[00:04:41 - 00:04:43] 大型推理模型有时候会紧紧
[00:04:43 - 00:04:46] 基于他们对于问题空间的内部模拟
[00:04:46 - 00:04:47] 就决定终止任务
[00:04:47 - 00:04:50] 这个结果可能会表现为直接的放弃
[00:04:50 - 00:04:52] 或者是委托一个假设的动作序列来实现
[00:04:52 - 00:04:55] 而不是根据实际的环境反馈来做出决策
[00:04:56 - 00:04:58] 比如说在开发一个软件功能的时候
[00:04:58 - 00:05:00] Agent可能会在没有完全充分尝试
[00:05:00 - 00:05:02] 和验证的情况下
[00:05:02 - 00:05:04] 仅仅因为自己的内部模拟显示
[00:05:04 - 00:05:05] 可能无法成功
[00:05:05 - 00:05:06] 就放弃了继续努力
[00:05:06 - 00:05:09] 这显然是不利于任务的完成的
[00:05:09 - 00:05:10] 通过这个评估框架
[00:05:10 - 00:05:13] 研究者们对于推理模型的过渡思考行为
[00:05:13 - 00:05:14] 进行了量化分析
[00:05:14 - 00:05:17] 他们发现推理模型的过渡思考得分
[00:05:17 - 00:05:19] 明显要高于非推理模型
[00:05:19 - 00:05:20] 这就意味着
[00:05:20 - 00:05:22] 推理模型更容易受到过渡思考的影响
[00:05:22 - 00:05:26] 这可能是因为推理模型经过了明确的推理训练
[00:05:26 - 00:05:28] 他们习惯于通过模拟环境互动
[00:05:28 - 00:05:30] 来产生扩展的思维链
[00:05:30 - 00:05:31] 所以在面对任务的时候
[00:05:31 - 00:05:33] 更加容易陷入过渡思考的陷阱
[00:05:33 - 00:05:35] 为了进一步探究过渡思考
[00:05:35 - 00:05:37] 对于模型性能的影响
[00:05:37 - 00:05:39] 研究者们还进行了大量的实验和分析
[00:05:39 - 00:05:41] 他们使用SWEBancheWireFlight
[00:05:41 - 00:05:44] 对推理在Agent的环境中的性能进行了评估
[00:05:45 - 00:05:48] 通过生成并且评估3908条轨迹
[00:05:48 - 00:05:49] 得到了一系列有价值的发现
[00:05:50 - 00:05:52] 首先过度思考与模型性能之间
[00:05:52 - 00:05:54] 存在的很强的互相关关系
[00:05:54 - 00:05:57] 无论是推理模型还是非推理模型
[00:05:57 - 00:05:59] 随着过度思考程度的增加
[00:05:59 - 00:06:02] 模型在解决问题的时候的性能都会下降
[00:06:02 - 00:06:04] 只不过下降的模式有所不同
[00:06:04 - 00:06:06] 这些像是一个人在做事情的时候
[00:06:06 - 00:06:07] 如果想的太多
[00:06:07 - 00:06:09] 反而会变得犹豫不决
[00:06:09 - 00:06:10] 这中影响工作的效率
[00:06:10 - 00:06:13] 比如说运行具有强推力能力的OE模型
[00:06:13 - 00:06:15] 虽然它的推力能力很强
[00:06:15 - 00:06:17] 但是由于过度思考
[00:06:17 - 00:06:19] 它的问题解决率可能并不理想
[00:06:19 - 00:06:21] 而且运行的成本还很高
[00:06:21 - 00:06:22] 相对之下
[00:06:22 - 00:06:24] 运行一个较低推力能力的OE便体
[00:06:24 - 00:06:26] 虽然推力能力稍弱
[00:06:26 - 00:06:28] 但是由于过度的思考较少
[00:06:28 - 00:06:29] 在一定程度上
[00:06:29 - 00:06:30] 反而能够以较低的成本
[00:06:30 - 00:06:32] 达到一定的问题解决率
[00:06:32 - 00:06:34] 其次在不同类型的模型中
[00:06:34 - 00:06:36] 过度思考的表现也有所不同
[00:06:36 - 00:06:39] 非推力模型也会出现过度思考的情况
[00:06:39 - 00:06:42] 这可能是因为他们也具有潜在的推理能力
[00:06:42 - 00:06:45] 而推理模型由于训练的方式和特点
[00:06:45 - 00:06:46] 更加容易出现过度思考
[00:06:46 - 00:06:48] 并且一旦出现过度思考
[00:06:48 - 00:06:50] 对它的性能的影响也更大
[00:06:50 - 00:06:52] 从回归分析的结果来看
[00:06:52 - 00:06:54] 非推理模型的比特系数更低
[00:06:54 - 00:06:56] 这意味着过度思考
[00:06:56 - 00:06:58] 对于非推理模型的性能影响更为严重
[00:06:58 - 00:06:59] 研究者推测
[00:06:59 - 00:07:01] 这是因为非推理模型
[00:07:01 - 00:07:02] 没有经过专门的推理训练
[00:07:03 - 00:07:04] 在处理推理链时的能力有限
[00:07:04 - 00:07:07] 所以当出现过度思考的时候
[00:07:07 - 00:07:08] 表现会更差
[00:07:08 - 00:07:10] 此外 研究者们还对于模型的规模
[00:07:10 - 00:07:12] Token使用以及上下门窗口
[00:07:12 - 00:07:15] 与过度思考的关系进行了研究
[00:07:15 - 00:07:16] 在模型规模方面
[00:07:16 - 00:07:19] 他们发现模型规模与过度思考行为之间
[00:07:19 - 00:07:20] 存在着互相关关系
[00:07:20 - 00:07:22] 以两个模型系列为例
[00:07:22 - 00:07:24] 非推理的千吻2.5Instrupt
[00:07:24 - 00:07:26] 和推理的R1 Distil千吻
[00:07:26 - 00:07:29] 随着模型规模从32B减小到7B
[00:07:29 - 00:07:31] 过度思考得分会逐渐的增加
[00:07:31 - 00:07:33] 这可能是因为较小的模型
[00:07:33 - 00:07:35] 在理解复杂环境方面存在的困难
[00:07:35 - 00:07:38] 所以更为依赖于内部的推理列
[00:07:38 - 00:07:40] 从而增加了过度思考的倾向
[00:07:40 - 00:07:44] 不过呢 这种关系在不同类型的模型中表现也有所不同
[00:07:44 - 00:07:46] 随着模型规模进一步的缩小
[00:07:46 - 00:07:49] 推理模型与非推理模型之间的过度思考得分
[00:07:49 - 00:07:50] 差距明显的缩小
[00:07:50 - 00:07:54] 这可能是因为较小的模型在处理环境复杂性的时候
[00:07:54 - 00:07:56] 都面临着较大的挑战
[00:07:56 - 00:07:58] 所以当面对环境互动中的失败的时候
[00:07:58 - 00:08:01] 他们都会更倾向于依赖于内部推理链
[00:08:01 - 00:08:03] 而忽视外部的反馈
[00:08:03 - 00:08:04] 在Token使用方面
[00:08:04 - 00:08:06] 研究结果与一些以往的观点不同
[00:08:06 - 00:08:08] 分析表明低推理努力程度的
[00:08:08 - 00:08:09] OE模型的过度思考得分
[00:08:09 - 00:08:13] 比高推理努力程度的模型高出35%
[00:08:13 - 00:08:15] 两种配置的平均过度思考得分
[00:08:15 - 00:08:17] 差异具有统计学的意义
[00:08:17 - 00:08:18] 这说明增加Token的分配
[00:08:18 - 00:08:21] 可能会减少AZEN的上下文中的过度思考
[00:08:21 - 00:08:24] 而不是像之前的一些研究认为的那样
[00:08:24 - 00:08:26] 推理Token使用量的增加会导致过度思考
[00:08:26 - 00:08:28] 这个发现突出了结构化推理过程
[00:08:28 - 00:08:30] 在模型表现中的重要性
[00:08:30 - 00:08:32] 在上下文窗口方面
[00:08:32 - 00:08:34] 研究者们比较了架构和大小相似
[00:08:34 - 00:08:38] 但是上下文窗口大小从8K到32K的模型
[00:08:38 - 00:08:41] 发现上下文窗口大小与过度思考得分之间
[00:08:41 - 00:08:42] 没有明显的相关性
[00:08:42 - 00:08:44] 由此他们推测
[00:08:44 - 00:08:47] 过度思考行为更多的是受到模型的架构设计
[00:08:47 - 00:08:48] 和训练方法的影响
[00:08:48 - 00:08:50] 而不是模型的上下文能力
[00:08:50 - 00:08:53] 针对于大型推理模型的过度思考现象
[00:08:53 - 00:08:55] 研究者们提出了两种潜在的缓解方法
[00:08:55 - 00:08:58] 分别是原生含数调用和选择性强化学习
[00:08:58 - 00:09:02] 这两种方法都能够显著地减少模型的过度思考
[00:09:02 - 00:09:03] 同时提升模型的性能
[00:09:03 - 00:09:07] 尤其是函数调用模型在实验中显示出了很有潜力的结果
[00:09:07 - 00:09:10] 比如说在解决实际问题的时候
[00:09:10 - 00:09:12] 通过合理的运用原生函数调用
[00:09:12 - 00:09:15] 模型可以更加高效的利用已有的资源
[00:09:15 - 00:09:16] 避免过度的内部推理
[00:09:16 - 00:09:18] 从而更快的找到解决方案
[00:09:18 - 00:09:21] 而在实际的运用中解决大型推理模型的过度思考问题
[00:09:21 - 00:09:23] 也能够带来巨大的经济效益
[00:09:23 - 00:09:25] 以OE模型为例
[00:09:25 - 00:09:27] 运行具有强推力能力的OE
[00:09:27 - 00:09:29] 可以实现29.1%的问题解决率
[00:09:29 - 00:09:31] 但是成本高达1400美元
[00:09:31 - 00:09:34] 而运行較低推力能力的OE便體
[00:09:34 - 00:09:36] 雖然問題解決率為21%
[00:09:36 - 00:09:38] 但是成本只有400美元
[00:09:38 - 00:09:39] 降低了3.5倍
[00:09:39 - 00:09:42] 另外通過生成兩個較少推力量
[00:09:42 - 00:09:44] 成本總計800美元的解決方案
[00:09:44 - 00:09:46] 並且選擇其中過度思考分數較低的一個
[00:09:46 - 00:09:49] 竟然可以實現27.3%的問題解決率
[00:09:49 - 00:09:52] 這個結果幾乎與強推力配置的表現相當
[00:09:52 - 00:09:55] 卻將計算成本降低了43%
[00:09:55 - 00:09:58] 這充分說明了合理解決過度思考問題
[00:09:58 - 00:10:00] 可以在保證一定性能的前提下
[00:10:00 - 00:10:01] 大大降低計算的成本
[00:10:01 - 00:10:04] 好了 以上就是这篇论文的主要内容了
[00:10:04 - 00:10:05] 通过研究我们可以看到
[00:10:05 - 00:10:08] 推理模型在执行Agente一个任务的时候
[00:10:08 - 00:10:10] 确实面临着推理行动的困境
[00:10:10 - 00:10:13] 过渡思考会对模型的性能产生负面影响
[00:10:13 - 00:10:16] 不同类型和规模的模型在过渡思考方面
[00:10:16 - 00:10:18] 也会表现出不同的特点
[00:10:18 - 00:10:20] 不过 研究者们提出的缓解方法
[00:10:20 - 00:10:22] 也为我们提供了有效的解决方案
[00:10:22 - 00:10:24] 不仅可以减少过渡思考
[00:10:24 - 00:10:27] 还能够提高模型的性能降低计算成本
[00:10:27 - 00:10:29] 未来 随着技术的不断进步
[00:10:29 - 00:10:31] 推理模型也必然将在更多的领域
[00:10:31 - 00:10:32] 发挥重要的作用
[00:10:32 - 00:10:35] 希望我们也能够看到更多针对于推理模型的相关研究成果
[00:10:35 - 00:10:37] 感谢大家观看本期视频
[00:10:37 - 00:10:38] 我们下期再见
