BV号：BV1Fjw6eGEFH
标题：BV1Fjw6eGEFH
链接：https://www.bilibili.com/video/BV1Fjw6eGEFH
识别语言：zh
语言置信度：1
分段数：302
生成时间：2026-08-30 19:11:37

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 常看我们频道的观众应该都知道
[00:02:33 - 00:02:36] 研究人員在模塊中還引入了衰減機制
[00:02:36 - 00:02:40] 這個衰減機制會根據記憶的大小和數量的精壓程度
[00:02:40 - 00:02:42] 來調整記憶的權重
[00:02:42 - 00:02:45] 比如說如果某個記憶信息的精壓度較低
[00:02:45 - 00:02:47] 而且占用的內存較大
[00:02:47 - 00:02:50] 那麼通過衰減機制它的權重就會降低
[00:02:50 - 00:02:51] 從而優化內存的使用
[00:02:51 - 00:02:54] 在设计好神经长期记忆模块之后
[00:02:54 - 00:02:57] 如何将它高效的整合近深度学习框架
[00:02:57 - 00:02:58] 就成了一个关键
[00:02:58 - 00:03:00] 于是Titans架构应运而生
[00:03:00 - 00:03:03] 它主要由三个重要的模块组成
[00:03:03 - 00:03:05] 首先是核心模块CALL
[00:03:05 - 00:03:07] 这个模块包含短期记忆
[00:03:07 - 00:03:09] 负责主要的数据处理流程
[00:03:09 - 00:03:12] 它采用了具有有线窗口大小的注意力机制
[00:03:12 - 00:03:15] 就像是一个数据处理的小助手一样
[00:03:15 - 00:03:18] 能够快速的对输入数据进行初步的处理和分析
[00:03:18 - 00:03:20] 其次是长期记忆模块
[00:03:20 - 00:03:21] Lontern Memory
[00:03:22 - 00:03:23] 这就是我们前面提到的那个
[00:03:23 - 00:03:26] 精心设计的神经长期记忆模块
[00:03:26 - 00:03:29] 它的主要任务是存储和记住长远的历史信息
[00:03:29 - 00:03:31] 为模块在处理长序列数据的时候
[00:03:31 - 00:03:33] 提供关键的历史背景支持
[00:03:34 - 00:03:36] 最后是持久记忆模块
[00:03:36 - 00:03:37] Possistent Memory
[00:03:37 - 00:03:38] 它是一组可以学习
[00:03:38 - 00:03:40] 但是与数据无关的参数
[00:03:40 - 00:03:43] 主要的作用是对任务支持进行编码
[00:03:43 - 00:03:46] 相当于给模型提供了一个鲜艳知识的保库
[00:03:46 - 00:03:48] 让模型在处理任务的时候
[00:03:48 - 00:03:49] 能够借鉴以往的经验
[00:03:49 - 00:03:54] 在此基礎上,研究者还进一步地提出了Tedence架构的三种辩体
[00:03:54 - 00:03:56] 每种辩体都有其独特之处
[00:03:56 - 00:03:58] 第一种是记忆作为上下文
[00:03:58 - 00:04:01] Mammer as Context,简称Mac的架构
[00:04:01 - 00:04:07] 在这个架构中,核心分支会把对应的长期记忆、持久记忆和当前输的信息拼接在一起
[00:04:07 - 00:04:11] 然后利用注意力机制来处理这个丰富的上下文信息
[00:04:11 - 00:04:14] 并且决定哪些信息应该存储到长期记忆中
[00:04:14 - 00:04:19] 在测试的时候,与上下文记忆对应的参数负责持续学习
[00:04:19 - 00:04:22] 与核心分支对应的参数负责上下边学习
[00:04:22 - 00:04:25] 而持久记忆的参数由于已经编码了任务相关知识
[00:04:25 - 00:04:27] 所以是固定不变的
[00:04:27 - 00:04:29] 第二种是记忆作为门控
[00:04:29 - 00:04:32] MemorSGate简称Mag的架构
[00:04:32 - 00:04:33] 在这个架构里
[00:04:33 - 00:04:36] 有一个分支专门利用数据数据来更新长期记忆
[00:04:36 - 00:04:39] 而另一个分支则利用华动窗口注意力SWA
[00:04:39 - 00:04:43] 最后这两个分支的结果会通过门控机制巧妙的组合在一起
[00:04:44 - 00:04:48] 这里的华动窗口注意力就像是一个精确的短期记忆守护者
[00:04:48 - 00:04:51] 而神经记忆模块则作为模型的衰减记忆
[00:04:51 - 00:04:53] 这种架构设计有点像多头的架构
[00:04:53 - 00:04:55] 只不过每个头的结构都不一样
[00:04:55 - 00:04:57] 与麦克架构不同的是
[00:04:57 - 00:05:00] 麦克架构只会将持久记忆融入到上下纹
[00:05:00 - 00:05:04] 并且通过门控机制将记忆与核心分支紧密的结合起来
[00:05:04 - 00:05:07] 这个门控机制就像是一个调节法
[00:05:07 - 00:05:09] 决定了来自于持久记忆的信息
[00:05:09 - 00:05:12] 在多大程度上会影响核心分支的处理结果
[00:05:12 - 00:05:14] 第三种是记忆作为层
[00:05:14 - 00:05:16] Mamur S Layer 简称Mal的架构
[00:05:16 - 00:05:17] 在这个价格中
[00:05:17 - 00:05:21] 神经记忆模块会被当作深度神经网络中的一层
[00:05:21 - 00:05:23] 并且结合滑动窗口注意力机制
[00:05:23 - 00:05:28] 神经层的核心功能是对过去和当前的上下文信息进行压缩处理
[00:05:28 - 00:05:31] 经过压缩处理后的结果会传递给注意力模块
[00:05:31 - 00:05:33] 以便进一步的分析和处理
[00:05:33 - 00:05:34] 对于神经网络来说
[00:05:34 - 00:05:36] 记忆能力可以说是一把双刃剑
[00:05:36 - 00:05:39] 一方面它有助于模型学习和处理信息
[00:05:39 - 00:05:40] 但是另一方面
[00:05:40 - 00:05:42] 它也可能会限制模型的泛化能力
[00:05:42 - 00:05:44] 甚至会引发隐私问题
[00:05:44 - 00:05:47] 导致在测试的时候性能下降
[00:05:47 - 00:05:50] 这是因为测试数据有可能是分布外的数据
[00:05:50 - 00:05:53] 这样训练数据的记忆可能就派不上用场了
[00:05:53 - 00:05:54] 所以研究人员认为
[00:05:54 - 00:05:56] 训练长期记忆的关键
[00:05:56 - 00:05:58] 在于将它视为一个在线学习问题
[00:05:58 - 00:06:00] 让模型学会在测试的时候
[00:06:00 - 00:06:02] 如何恰当的记住或者忘记数据
[00:06:02 - 00:06:04] 在这个学习过程中
[00:06:04 - 00:06:06] 模型学习的是一个能够记忆的函数
[00:06:06 - 00:06:09] 但是又不会过度你和训练的数据
[00:06:09 - 00:06:12] 从而在测试时实现更好的泛化效果
[00:06:12 - 00:06:13] 具体来说
[00:06:13 - 00:06:16] 模型的學習過程與目標含數是緊密相連的
[00:06:16 - 00:06:19] 前面我們提到的精壓度是相對於輸入的T度
[00:06:19 - 00:06:23] 例如這個精壓度我們就可以用這個公式來更新記憶
[00:06:23 - 00:06:25] 從而將過去的信息X1到XT
[00:06:25 - 00:06:28] 壓縮到長期神經記憶模塊的參數中
[00:06:28 - 00:06:31] 但是這種單純用T度來衡量精壓度的方法
[00:06:32 - 00:06:33] 還存在著一定的缺陷
[00:06:33 - 00:06:35] 有可能會導致錯過一些重要的信息
[00:06:36 - 00:06:38] 因為在經過若干個精壓步驟之後
[00:06:38 - 00:06:40] T度可能會變得非常小
[00:06:40 - 00:06:42] 模型就會陷入局部的最小值
[00:06:42 - 00:06:44] 从而措施序列中的某些关键信息
[00:06:44 - 00:06:47] 这就好比从人类记忆的角度来看
[00:06:47 - 00:06:48] 有些事件虽然值得被记住
[00:06:48 - 00:06:51] 但是可能并不会一直让我们感到惊讶
[00:06:51 - 00:06:53] 为了改进这个问题
[00:06:53 - 00:06:55] 论文作者将惊讶度分成了两个部分
[00:06:55 - 00:06:57] 一个部分是过去的惊讶
[00:06:57 - 00:06:59] 用来衡量最近过去的惊讶度
[00:06:59 - 00:07:01] 另一个部分是顺时惊讶
[00:07:01 - 00:07:03] 用来衡量即将到来的数据的惊讶度
[00:07:03 - 00:07:05] 在这个公式中
[00:07:05 - 00:07:08] 像EATY是数据依赖的惊讶衰减
[00:07:08 - 00:07:10] 它控制着惊讶随时间的衰减情况
[00:07:10 - 00:07:13] 而City则控制着应该将多少顺势精亚
[00:07:13 - 00:07:15] 纳入到最终的精亚度中
[00:07:15 - 00:07:17] 这里的数据依赖性非常重要
[00:07:17 - 00:07:19] 因为虽然前一个token的精亚度
[00:07:19 - 00:07:21] 可能会影响下一个token的精亚度
[00:07:21 - 00:07:23] 但是需要所有的token
[00:07:23 - 00:07:25] 处在同一个上下文的时候才能有效
[00:07:25 - 00:07:27] 所以通过调整数据依赖的eTA
[00:07:27 - 00:07:30] 可以控制记忆是否需要忽略上一次的
[00:07:30 - 00:07:30] 精亚度
[00:07:30 - 00:07:33] 还是完全采纳上一次的精亚度
[00:07:33 - 00:07:34] 在关联记忆方面
[00:07:34 - 00:07:36] 乐文作者采用的方法是将过去的数据
[00:07:36 - 00:07:37] 存储为一个建制队
[00:07:38 - 00:07:40] 具体来说给定一个xt
[00:07:40 - 00:07:42] 会使用两个线性层把它投影为箭和值
[00:07:42 - 00:07:44] 随后通过定义损失函数
[00:07:44 - 00:07:47] 来让记忆模块学习箭和值之间的关联
[00:07:47 - 00:07:51] 通过在原模型和内循环中优化这个损失函数
[00:07:51 - 00:07:53] 模型就能够学会如何在测试时
[00:07:53 - 00:07:55] 记忆箭与值之间的印射关系
[00:07:55 - 00:07:58] 另外在处理非常大的序列的时候
[00:07:58 - 00:08:00] 明确哪些过去的信息应该被遗忘
[00:08:00 - 00:08:01] 是至关重要的
[00:08:01 - 00:08:04] 为此乐文作者设计了一个自适应的遗忘机制
[00:08:04 - 00:08:08] 这个机制允许内存遗忘那些不再需要的信息
[00:08:08 - 00:08:10] 从而更好的管理内存的有限容量
[00:08:10 - 00:08:14] 其中AlphaT是一个灵活控制记忆的门控机制
[00:08:14 - 00:08:16] 决定了应该遗忘多少信息
[00:08:16 - 00:08:18] 当AlphaT趋向于0的时候
[00:08:18 - 00:08:20] 就会更新记忆而且不影响过去的信息
[00:08:20 - 00:08:22] 当AlphaT趋向于1的时候
[00:08:22 - 00:08:24] 就会清除整个记忆
[00:08:24 - 00:08:25] 而在检索记忆的时候
[00:08:25 - 00:08:28] 作者采用了一种简单有效的方法
[00:08:28 - 00:08:30] 也就是使用不更新权重的前向传递
[00:08:30 - 00:08:32] 来检索以查询对应的记忆
[00:08:32 - 00:08:35] 形式上对于给定的输入XT
[00:08:35 - 00:08:38] 模型会使用线性层WQ来投影输入
[00:08:38 - 00:08:40] 然后通过这个方式从记忆外体中
[00:08:40 - 00:08:42] 检索出对应的信息
[00:08:42 - 00:08:43] 说了这么多的理论和机制
[00:08:43 - 00:08:47] 那么Titans架构在实际任务中的表现究竟如何呢
[00:08:47 - 00:08:49] 接下来我们就来看看实验结构
[00:08:49 - 00:08:51] 在语言建模及常识推理任务中
[00:08:51 - 00:08:57] 研究人员对340M,400M,760M等不同参数规模下的Titans便体
[00:08:57 - 00:08:59] 与多种机线模型进行了对比
[00:08:59 - 00:09:01] 在非混合模型中
[00:09:01 - 00:09:05] Titans LMM在困惑度和准确率上表现优异
[00:09:05 - 00:09:06] 在混合模型的對比中
[00:09:06 - 00:09:10] Titanx的三個變體都比機線模型表現的更好
[00:09:10 - 00:09:13] 其中Mac和Mac變體的整體性能高於Milr
[00:09:13 - 00:09:16] 它們的整合注意力和記憶模塊方面更為出色
[00:09:16 - 00:09:18] 在SNIH任務裡
[00:09:18 - 00:09:20] 研究人員及Ruler基準測試
[00:09:20 - 00:09:24] 對2K、4K、8K和16K長度的序列進行了評估
[00:09:24 - 00:09:29] 結果顯示神經記憶模塊相較於機線模型就顯著的優勢
[00:09:29 - 00:09:32] 在Titanx變體中Mac的性能最佳
[00:09:32 - 00:09:34] 比如說在2K序列長度的時候
[00:09:34 - 00:09:36] TDG的评估指标为98.4
[00:09:36 - 00:09:39] 而Titans Mac 则达到了99.2
[00:09:39 - 00:09:41] 并且随着序列长度的增加
[00:09:41 - 00:09:42] 优势依然很明显
[00:09:42 - 00:09:44] 在巴比隆基准测试中
[00:09:44 - 00:09:46] Titans Mac 展现出了卓越的性能
[00:09:46 - 00:09:49] 它能够有效扩展到超过200万的上下方窗口
[00:09:49 - 00:09:53] 超过了GBT4、Lama3加Rig和Lama370B等等大模型
[00:09:53 - 00:09:55] 而且Titans Mac的参数量
[00:09:55 - 00:09:57] 远少于这些机械模型
[00:09:57 - 00:10:01] 充分展示出了在常序列推理方面的高效性和强大能力
[00:10:01 - 00:10:03] 在微调设置环节
[00:10:03 - 00:10:05] Tedence Mac的表現也更為出色
[00:10:05 - 00:10:07] 進一步證明了它的實際應用中的潛力
[00:10:07 - 00:10:08] 研究人員還發現
[00:10:08 - 00:10:12] 增加記憶的深度能夠提升模型在較長序列上的性能
[00:10:12 - 00:10:14] 並且改善困惑度
[00:10:14 - 00:10:16] 但是這也會導致訓練的速度降低
[00:10:16 - 00:10:18] 說明性能與效率之間需要進行全衡
[00:10:18 - 00:10:20] 在SIML框架中進行的實驗裡
[00:10:20 - 00:10:22] 通過替換Mamba模塊
[00:10:22 - 00:10:25] 並且在ETT、ECL、Traffic和Widler等等
[00:10:25 - 00:10:27] 基準數據級上進行測試
[00:10:27 - 00:10:30] 神經記憶模塊超越了所有的機線模型
[00:10:30 - 00:10:32] 在DNA建模任務中
[00:10:32 - 00:10:35] Tedence架构同样展示了强大的长序列处理能力
[00:10:35 - 00:10:38] 实验结果表明它能够有效的利用历史信息
[00:10:38 - 00:10:39] 从而提升模型的性能
[00:10:39 - 00:10:42] 为了进一步探究各个组件的重要性
[00:10:42 - 00:10:44] 研究人员还进行了骁容研究
[00:10:44 - 00:10:47] 结果表明神经记忆模块的所有组件
[00:10:47 - 00:10:49] 对于模型的性能都有积极的贡献
[00:10:49 - 00:10:51] 特别是权重衰减和动量
[00:10:51 - 00:10:53] 在语言建模和常识推理任务中
[00:10:53 - 00:10:55] Mike和Mike的表现相近
[00:10:55 - 00:10:58] 但是Mike在常上下文任务中表现最佳
[00:10:58 - 00:11:00] 最后我们再来给大家介绍一下
[00:11:00 - 00:11:02] 这项研究的作者团队
[00:11:02 - 00:11:03] 阿里贝鲁兹目前是
[00:11:03 - 00:11:05] 康奈尔大学计算级科学系的
[00:11:05 - 00:11:06] 二年级博士生
[00:11:06 - 00:11:07] 同时也是谷歌
[00:11:07 - 00:11:09] research的研究实义生
[00:11:09 - 00:11:11] 在哥伦比亚大学读硕士的时候
[00:11:11 - 00:11:13] 是从马格塞尔特教授
[00:11:13 - 00:11:15] 他的研究方向是深度学习架构
[00:11:15 - 00:11:16] 图表示学习
[00:11:16 - 00:11:17] 医疗机器学习
[00:11:17 - 00:11:19] 以及计算实验科学等领域
[00:11:19 - 00:11:21] 培林中现在是谷歌算法
[00:11:21 - 00:11:23] 与优化团队的研究科学家
[00:11:23 - 00:11:24] 他本科毕业于清华摇班
[00:11:24 - 00:11:27] 在哥倫比亞大學獲得博士學位
[00:11:27 - 00:11:28] 在2016年
[00:11:28 - 00:11:29] 他以第一作者發表的論文
[00:11:29 - 00:11:32] 被頂會STOC2016接收
[00:11:32 - 00:11:34] 創下了中國本科生首次在STOC上
[00:11:34 - 00:11:36] 發表一作論文的記錄
[00:11:36 - 00:11:39] 在學術領域展現出了極高的天賦和潛力
[00:11:39 - 00:11:41] 瓦哈普·米羅克尼目前領導谷歌
[00:11:41 - 00:11:43] 在紐約的算法與優化團隊
[00:11:43 - 00:11:44] 包括市場算法
[00:11:44 - 00:11:46] 土挖掘和大規模優化小組
[00:11:46 - 00:11:48] 此外他還擔任紐約大學
[00:11:48 - 00:11:50] 庫朗研究所的兼職副教授
[00:11:50 - 00:11:52] 講授互聯網算法與經濟學
[00:11:52 - 00:11:53] 在學術和工業界
[00:11:53 - 00:11:55] 都有着丰富的经验和深厚的影响力
[00:11:56 - 00:11:56] 好了
[00:11:56 - 00:11:58] 以上就是对Titan's这篇论文的解读了
[00:11:58 - 00:12:02] 期待这个框架能够为长许多处理带来新的思路和突破
[00:12:02 - 00:12:03] 感谢大家的观看
[00:12:03 - 00:12:04] 我们下期再见
