BV号：BV1DhddYsEsV
标题：BV1DhddYsEsV
链接：https://www.bilibili.com/video/BV1DhddYsEsV
识别语言：zh
语言置信度：1
分段数：351
生成时间：2026-08-30 08:36:49

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 在AI的发展过程中
[00:03:09 - 00:03:11] 而处理像DeepSake这类模型
[00:03:11 - 00:03:14] 甚至需要6000-8000维芯片
[00:03:14 - 00:03:16] 这不仅会带来巨大的成本
[00:03:16 - 00:03:18] 管理复杂度也将达到灾难性的程度
[00:03:18 - 00:03:20] 为了解决这个问题
[00:03:20 - 00:03:24] CyberBus通过经源级集成技术实现了海量SRAM的布局
[00:03:25 - 00:03:28] 成功的兼顾了高速与大容量的优势
[00:03:28 - 00:03:29] 英伟达作为行业巨头
[00:03:29 - 00:03:32] 显然他们也清楚HBM的局限
[00:03:32 - 00:03:34] 但是由于英伟达并不生产存储器
[00:03:34 - 00:03:38] 所以需要从SK海力士、三星或者是美光等少数
[00:03:38 - 00:03:40] 几家存储巨头采购产品
[00:03:40 - 00:03:42] 这就涉及到了复杂的架构权衡
[00:03:43 - 00:03:46] 虽然英伟达靠着HBM取得了巨大的成功
[00:03:46 - 00:03:49] 但是菲尔德曼认为CyberBus的经源级集成方案
[00:03:49 - 00:03:52] 在推力效率上就有更加显著的优势
[00:03:52 - 00:03:55] 而且根据多个第三方测试的数据显示
[00:03:55 - 00:03:58] Cerberus的方案在多个模型上都保持着
[00:03:58 - 00:03:59] 最快的推力速度纪录
[00:03:59 - 00:04:01] 在成本方面
[00:04:01 - 00:04:03] Cerberus也有着独特的优势
[00:04:03 - 00:04:06] 虽然采用精源级方案也面临着许多的挑战
[00:04:06 - 00:04:07] 比如说粮率的问题
[00:04:07 - 00:04:10] 但是通过独创的工艺技术
[00:04:10 - 00:04:12] Cerberus成功的解决了这个难题
[00:04:12 - 00:04:14] 在传统的芯片制造中
[00:04:14 - 00:04:16] 精源就像一块12英寸的圆形归片
[00:04:16 - 00:04:19] 芯片则是从这个归片上切割出来的
[00:04:19 - 00:04:23] 但是这个过程不可避免的会存在一些天然的缺陷
[00:04:23 - 00:04:24] 才会影响芯片的质量
[00:04:24 - 00:04:27] 一般来说 芯片面积越大
[00:04:27 - 00:04:29] 碰到缺陷的概率也就越高
[00:04:29 - 00:04:30] 费片率也就越大
[00:04:30 - 00:04:32] 行业中通常会采用Binning
[00:04:32 - 00:04:36] 也就是将芯片按照性能和质量进行分类的方法
[00:04:36 - 00:04:37] 来尽量的减少损失
[00:04:37 - 00:04:40] 但是这也只是一种无奈之举
[00:04:40 - 00:04:42] 而Cyberus的突破在于
[00:04:42 - 00:04:44] 将处理器设计成了由数十万个
[00:04:44 - 00:04:46] 相同功能单元组成的阵列
[00:04:46 - 00:04:48] 并且配合了荣誉行列的设计
[00:04:48 - 00:04:50] 当某个单元出现缺陷的时候
[00:04:50 - 00:04:52] 只需要关闭这个单元
[00:04:52 - 00:04:54] 并且调用备用单元即可
[00:04:54 - 00:04:56] 这种在内存制造领域成熟的技术
[00:04:56 - 00:04:59] 以前从来没有在处理器领域实现过
[00:04:59 - 00:05:00] 就连行业支付
[00:05:00 - 00:05:02] 仅恩阿姆达尔创立的Trelogic公司
[00:05:02 - 00:05:05] 都曾经在这个难题上遭遇挫折
[00:05:05 - 00:05:07] 而Celbrus凭借着这一创新
[00:05:07 - 00:05:08] 成为了70年来
[00:05:08 - 00:05:11] 首个实现完整经营交付的企业
[00:05:11 - 00:05:13] 另外客户在选择芯片的时候
[00:05:13 - 00:05:15] 最看重的因素往往是因场景而异的
[00:05:15 - 00:05:19] 在癌症診斷等對準確率要求極高的場景中
[00:05:19 - 00:05:23] 93%和94%的準確率可能就有著本質的區別
[00:05:23 - 00:05:26] 在一些對於時間要求不那麼嚴格的場景
[00:05:26 - 00:05:29] 多等幾天也不會對結果產生太大影響
[00:05:29 - 00:05:32] 而在像搜索引擎或者是聊天機器人
[00:05:32 - 00:05:33] 這樣的及時交互場景中
[00:05:33 - 00:05:35] 速度則是至關重要的
[00:05:35 - 00:05:38] 谷歌的烏爾茲或耳詞早已經證明
[00:05:38 - 00:05:41] 毫秒級的延遲就會導致用戶的注意力流失
[00:05:41 - 00:05:44] 因此Cerberus採用了一種分化的策略
[00:05:44 - 00:05:47] 比如说对于批处理任务 优先考虑成本控制
[00:05:47 - 00:05:50] 对交互场景则必须追求极致速度
[00:05:50 - 00:05:53] 面对如今AI训练和推理的两个不同阶段
[00:05:53 - 00:05:56] 菲尔德曼认为 未来五年这两个阶段之间的
[00:05:56 - 00:05:59] 资源分配将发生显著的变化
[00:05:59 - 00:06:02] 简单来说 训练是创造AI的过程
[00:06:02 - 00:06:04] 而推理则是消费AI的环节
[00:06:04 - 00:06:06] 要想理解推理市场的规模
[00:06:06 - 00:06:08] 就需要考虑三个关键的辩量
[00:06:08 - 00:06:11] 分别是使用AI的人数 使用频率
[00:06:11 - 00:06:13] 以及每次调用消耗的算力
[00:06:13 - 00:06:17] 当前我们正处于一个罕见的三增长时期
[00:06:17 - 00:06:20] 也就是这三个变量都在同步爆发式的增长
[00:06:20 - 00:06:23] 这也正是推理市场呈现指数级增长的原因
[00:06:23 - 00:06:26] 虽然目前大部分资源都集中在训练阶段
[00:06:26 - 00:06:30] 但是当AI逐渐更多的融入到人们的日常生活中
[00:06:30 - 00:06:33] 完成从有趣的工具到日常工作必备的转变
[00:06:33 - 00:06:37] 那就意味着推理将在AI产业中占有更重要的地位了
[00:06:37 - 00:06:38] 到了那个时候
[00:06:38 - 00:06:41] 推理的需求可能会超过如今的100倍
[00:06:41 - 00:06:42] 在这样的变化下
[00:06:42 - 00:06:45] AI的基础设施也将面对更大的挑战
[00:06:45 - 00:06:49] 大家都知道AI产业是一个高耗能的领域
[00:06:49 - 00:06:51] 消耗着剧量的电力和水资源
[00:06:51 - 00:06:53] 在美国能源分布极为不合理
[00:06:53 - 00:06:55] 尼亚加拉普布地区电力充沛
[00:06:55 - 00:06:59] 但是适合建设数据中心的地区却电力短缺
[00:06:59 - 00:07:02] 此外呢 地方监管壁垒也严重阻碍了
[00:07:02 - 00:07:05] 国家级电力设施和数据中心的建设
[00:07:05 - 00:07:07] 比如说在硅谷建设数据中心
[00:07:07 - 00:07:09] 就需要应对地方政府和
[00:07:09 - 00:07:11] 既得利益集团的各种限制
[00:07:11 - 00:07:14] 这种分散决策模式使得数据中心的建设
[00:07:14 - 00:07:15] 变得困难重重
[00:07:15 - 00:07:16] 相未之下
[00:07:16 - 00:07:18] 德州等等放宽监管的地区
[00:07:18 - 00:07:20] 正在吸引大量的数据中心投资
[00:07:20 - 00:07:22] 展现出了更强的发展活力
[00:07:23 - 00:07:23] 同时呢
[00:07:23 - 00:07:26] 数据中心的建设也存在着一些问题
[00:07:26 - 00:07:27] 主持人提到
[00:07:27 - 00:07:29] 当前大量新建的数据中心存在着
[00:07:29 - 00:07:31] 游客式建设的问题
[00:07:31 - 00:07:33] 许多设施根本不符合标准
[00:07:33 - 00:07:35] 资源配置严重不足
[00:07:35 - 00:07:36] 菲尔德曼认为
[00:07:36 - 00:07:38] 数据中心的本质是电力接入
[00:07:38 - 00:07:41] 加建筑工程 加设计优化的综合体
[00:07:41 - 00:07:44] 虽然它承认行业中存在着投机者
[00:07:44 - 00:07:47] 但是它也认为 也要看到一些专业的团队
[00:07:47 - 00:07:50] 比如一些早期布局的比特币矿企
[00:07:50 - 00:07:52] 像TarotWolf、Criso等等
[00:07:52 - 00:07:55] 已经在欧洲等地积累了廉价电力的建设经验
[00:07:55 - 00:07:58] 如今正在主导多个几瓦时的大型项目
[00:07:58 - 00:08:02] 另一方面 推理需求的增加也会带来成本的下降
[00:08:02 - 00:08:04] 推理成本有多个要素构成
[00:08:04 - 00:08:06] 包括数据中心的运营成本
[00:08:06 - 00:08:09] 硬件本身的成本以及算法优化空间
[00:08:09 - 00:08:14] 目前GPU执行推理时的利用率仅为5%-7%
[00:08:14 - 00:08:18] 这意味着93%-95%的算力被浪费了
[00:08:18 - 00:08:21] 在这其中算法的优化至关重要
[00:08:21 - 00:08:22] 菲尔德曼认为
[00:08:22 - 00:08:25] 当前流行的Skinning loss已经达到极限的论调
[00:08:25 - 00:08:27] 与实际情况存在着一定的矛盾
[00:08:27 - 00:08:30] 资深的积极学习研究者普遍都认为
[00:08:30 - 00:08:33] 算法仍然存在着巨大的改进空间
[00:08:33 - 00:08:35] OpenAI的O1项目也证明
[00:08:35 - 00:08:39] 至少在推力领域 增加算力仍然能够持续提升效果
[00:08:39 - 00:08:42] 当前的主流模型也已经转向MOE架构
[00:08:42 - 00:08:45] 不再对所有的token呈现全部参数
[00:08:45 - 00:08:48] 吸收化等技术也有往进一步提升算法的效率
[00:08:48 - 00:08:51] 可以预见的是 在未来的三到五年
[00:08:51 - 00:08:54] 大家对Transformer的依赖程度将会显著的降低
[00:08:54 - 00:08:56] 新的架构可能会应运而升
[00:08:56 - 00:08:58] 推动AI的技术水平发展
[00:08:59 - 00:09:02] 合成数据在AI训练的作用也备受关注
[00:09:02 - 00:09:03] 以飞行员训练为例
[00:09:03 - 00:09:06] 模拟器可以生成大量的数据
[00:09:06 - 00:09:08] 但是像直线飞行这类简单场景的数据
[00:09:08 - 00:09:11] 对于训练的价值相对有限
[00:09:11 - 00:09:13] 真正对于飞行员提升技能有帮助的
[00:09:13 - 00:09:15] 是起降环节
[00:09:15 - 00:09:18] 特别是模拟发动机故障等等极端情况的数据
[00:09:18 - 00:09:21] 在自动驾驶等AI领域也是如此
[00:09:21 - 00:09:24] 我们需要的不是高速公路的常规形式
[00:09:24 - 00:09:25] 这类容易获取的数据
[00:09:25 - 00:09:28] 而是像暴雪天气无保护左转
[00:09:28 - 00:09:30] 这种高危场景的大量辨体数据
[00:09:30 - 00:09:33] 合成数据能够填补这些难以获取
[00:09:33 - 00:09:35] 但是至关重要的训练空白
[00:09:35 - 00:09:36] 并且随着技术的发展
[00:09:36 - 00:09:39] 合成数据的质量还将大幅的提升
[00:09:39 - 00:09:42] 而当算力、算法和数据这三个维度
[00:09:42 - 00:09:44] 都取得了突破的时候
[00:09:44 - 00:09:46] AI的体验将发生质的变化
[00:09:46 - 00:09:49] 首先AI将变得更快、更便宜
[00:09:49 - 00:09:52] 这将使得更多的人能够轻松地使用AI技术
[00:09:52 - 00:09:54] 推动AI在各个领域的普及
[00:09:54 - 00:09:58] 其次技术的进步总会催生出新的硬场景
[00:09:58 - 00:10:00] 就像计算机的发展历程一样
[00:10:00 - 00:10:02] 当算力成本下降之后
[00:10:02 - 00:10:04] 计算机先是被装进了汽车
[00:10:04 - 00:10:06] 然后又被塞进了口袋
[00:10:06 - 00:10:10] 现在就连洗碗机和电视都内置了强大的芯片
[00:10:10 - 00:10:12] 这种扩散效应正在AI领域重演
[00:10:12 - 00:10:16] 所以未来会有更多令人惊喜的AI应用出现
[00:10:16 - 00:10:18] 从投资的角度来看
[00:10:18 - 00:10:21] Feldman对AI行业的价值和壁垒也有着自己的看法
[00:10:21 - 00:10:24] 在硬件领域 投资难度较大
[00:10:24 - 00:10:26] 需要像埃利克维斯里亚这样的顶尖投资人
[00:10:26 - 00:10:28] 才有勇气射足
[00:10:28 - 00:10:32] 而在模型領域 雖然競爭者眾多而且性能相近
[00:10:32 - 00:10:34] 但是依然存在著投資價值
[00:10:34 - 00:10:37] 費爾德曼認為 AI公司想要證明自己的長期價值
[00:10:37 - 00:10:42] 不僅需要立竿建影的成效 還需要持續進化的軌跡
[00:10:42 - 00:10:44] 在軟件領域 競爭非常激烈
[00:10:44 - 00:10:47] 短暫的領先可能很快就會被超越
[00:10:47 - 00:10:50] 但是如果一家企業能夠長年保持頭部地位
[00:10:50 - 00:10:54] 即使不是第一名 只要穩居前10%
[00:10:54 - 00:10:56] 這種持續力就極具價值
[00:10:56 - 00:10:58] 硅谷的许多巨头企业
[00:10:58 - 00:11:00] 起初的技术也并不是最顶尖的
[00:11:00 - 00:11:03] 但是他们率先达到了足够好用的临界点
[00:11:03 - 00:11:05] 从而占据了成熟市场
[00:11:05 - 00:11:08] 目前 AI 行业仍然处于早期的阶段
[00:11:08 - 00:11:11] 数据 算力 算法都还有巨大的提升空间
[00:11:11 - 00:11:13] 这也为投资者提供了更多的机会
[00:11:13 - 00:11:16] 谈到自己的本行 AI 芯片领域
[00:11:16 - 00:11:17] 虽然德曼指出
[00:11:17 - 00:11:20] 虽然英伟达目前占据者近乎垄断的地位
[00:11:20 - 00:11:21] 但是未来五年
[00:11:21 - 00:11:25] 英伟达的市场占据率可能会降至 50% 到 60%
[00:11:25 - 00:11:28] 菲尔德曼首先肯定了英伟达的市场地位
[00:11:28 - 00:11:31] 在过去10年创造了企业史上最辉煌的增长
[00:11:31 - 00:11:34] 市值从2014年的100亿美元
[00:11:34 - 00:11:36] 飙升到如今的3万亿规模
[00:11:36 - 00:11:38] 它在训练领域的实力无可匹敌
[00:11:38 - 00:11:41] 枯大生态也确实构成了一定的互成合
[00:11:41 - 00:11:43] 但是在推理场景中
[00:11:43 - 00:11:46] 菲尔德曼认为并不存在枯大的锁定效应
[00:11:46 - 00:11:49] 用户可以很方便的从英伟达的GPU切换到其他平台
[00:11:49 - 00:11:53] 比如说Celar Brac,Fairwalk或者是Together AI等等
[00:11:53 - 00:11:57] 而且谷歌通过TanzFlo,Meta通过Petouch
[00:11:57 - 00:11:59] 一直在试图瓦解枯大生态
[00:11:59 - 00:12:02] 如今大多数的AI代码都是用Petouch编写的
[00:12:02 - 00:12:05] 理论上可以编译后在任何硬件上运行
[00:12:05 - 00:12:08] Fairdman指出英伟达真正的互成合
[00:12:08 - 00:12:11] 其实还是在于它的市场主导地位和默认解决方案
[00:12:11 - 00:12:15] 当整个行业都习惯用它的架构来思考AI的时候
[00:12:15 - 00:12:17] 这种优势就成为了强大的壁垒
[00:12:17 - 00:12:21] 而英伟达的致命软肋就在于GPU外接内存的
[00:12:21 - 00:12:23] 技术架构并不适合推理计算
[00:12:23 - 00:12:25] 他们自己心理其实也明白
[00:12:25 - 00:12:28] 那菲尔德曼又是怎么看待自己的Cirbrex呢
[00:12:28 - 00:12:29] 在技术方面
[00:12:29 - 00:12:32] 菲尔德曼认为Cirbrex有着一定的技术优势
[00:12:32 - 00:12:33] 传统上
[00:12:33 - 00:12:35] 毛利率反映了技术差异化的程度
[00:12:35 - 00:12:37] 如果毛利率为负
[00:12:37 - 00:12:39] 说明企业在销售大宗商品
[00:12:39 - 00:12:41] 市场对它创造的价值认可度不高
[00:12:41 - 00:12:43] 而Cirbrex凭借着自己的技术
[00:12:43 - 00:12:45] 维持了较高的毛利率
[00:12:45 - 00:12:47] 体现了产品的高负价值
[00:12:47 - 00:12:49] 在是否上市的问题上
[00:12:49 - 00:12:50] Cirbrex有着自己的考量
[00:12:51 - 00:12:54] 上市对于企业来说其实就像是一把双刃剑
[00:12:54 - 00:12:57] 一方面上市可以为企业带来巨额的资金
[00:12:57 - 00:13:01] 有助于企业扩大规模进行研发投入以及拓展市场
[00:13:01 - 00:13:04] 另一方面上市也伴随着许多的弊端
[00:13:04 - 00:13:06] 企业需要满足严格的监管要求
[00:13:06 - 00:13:09] 投入大量的时间和资源在合规事务上
[00:13:09 - 00:13:13] 同时公开市场的投资者往往更关注短期的业绩
[00:13:13 - 00:13:16] 这可能会与企业的长期战略规划产生冲突
[00:13:16 - 00:13:18] 不过在全横利弊之后
[00:13:18 - 00:13:21] Syrebrac還是選擇了積極的籌備上市
[00:13:21 - 00:13:25] 這說明他們希望通過上市進步提升企業的競爭力
[00:13:25 - 00:13:28] 在AI芯片市場中佔據更加有利的地位
[00:13:28 - 00:13:31] 不過雖然Syrebrac在G42的大單中
[00:13:31 - 00:13:33] 完成了對供應鏈的翠鏈
[00:13:33 - 00:13:35] 但是菲爾德曼也承認
[00:13:35 - 00:13:38] 在中東市場的開拓上交了不少學費
[00:13:38 - 00:13:40] 在談到對於中國AI發展的看法時
[00:13:40 - 00:13:43] 菲爾德曼認為需要從多個角度進行分析
[00:13:43 - 00:13:45] 從硬件層面來看
[00:13:45 - 00:13:47] 美國政府試圖通過技術封鎖政策
[00:13:47 - 00:13:50] 限制中国获取先进的芯片技术
[00:13:50 - 00:13:52] 因为硬件具有可追踪性
[00:13:52 - 00:13:54] 所以这种封锁政策在一定程度上
[00:13:54 - 00:13:57] 会对中国的AI硬件发展造成短期的阻碍
[00:13:57 - 00:14:00] 但是从软件层面来看 情况有所不同
[00:14:00 - 00:14:02] 软件是无形的
[00:14:02 - 00:14:05] 难以通过类似的封锁手段进行管控
[00:14:05 - 00:14:06] 中国在软件研发方面
[00:14:06 - 00:14:09] 也有着庞大的人才储备和创新能力
[00:14:09 - 00:14:11] 这是中国AI发展的重要优势
[00:14:11 - 00:14:14] 而且中国拥有丰富的数据资源
[00:14:14 - 00:14:16] 也为AI的训练提供了充足的燃料
[00:14:16 - 00:14:18] 在菲尔德曼看来
[00:14:18 - 00:14:20] 美国对于中国AI发展能力的低估
[00:14:20 - 00:14:22] 可能会在未来付出代价
[00:14:22 - 00:14:24] 好了 以上就是Celbrus CEO
[00:14:24 - 00:14:27] 安德鲁菲尔德曼这次访谈的主要内容了
[00:14:27 - 00:14:29] 可以看到他对于AI芯片领域
[00:14:29 - 00:14:31] 有着自己深刻的间接与动差
[00:14:31 - 00:14:33] 建议有时间的观众可以去看一下原视频
[00:14:33 - 00:14:35] 相信会有更多的收获
[00:14:35 - 00:14:38] 感谢大家收看本期视频 我们下期再见
