BV号：BV1QRDmBmEzN
标题：BV1QRDmBmEzN
链接：https://www.bilibili.com/video/BV1QRDmBmEzN
识别语言：zh
语言置信度：1
分段数：274
生成时间：2026-08-29 16:50:28

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] AI正在改变一切
[00:01:14 - 00:01:15] 大家都觉得
[00:01:15 - 00:01:17] 电力能带来巨大的生产力飞越
[00:01:17 - 00:01:20] 新英格兰的仿智厂赶紧把老旧的蒸汽机
[00:01:20 - 00:01:23] 换成了速度更快的电动机 结果呢
[00:01:23 - 00:01:24] 整整30年
[00:01:24 - 00:01:26] 这些电机化的工厂
[00:01:26 - 00:01:28] 产量几乎没有任何增加
[00:01:28 - 00:01:30] 技术明明更先进了为什么没效果
[00:01:30 - 00:01:31] 因为技术变了
[00:01:31 - 00:01:32] 但组织没变
[00:01:32 - 00:01:33] 你想想
[00:01:33 - 00:01:34] 当时的工厂是怎么设计的
[00:01:34 - 00:01:38] 整个工厂就是围绕一台巨大的蒸汽机来建的
[00:01:38 - 00:01:41] 现在你把蒸汽机换成了电动机
[00:01:41 - 00:01:42] 电动机更快更高效
[00:01:42 - 00:01:44] 但工厂的布局
[00:01:44 - 00:01:46] 工人的分工机器的排列全都没变
[00:01:46 - 00:01:48] 你只是换了一个更好的马达
[00:01:48 - 00:01:51] 但整个工厂的逻辑还是蒸汽时代的逻辑
[00:01:51 - 00:01:53] 直到1920年代
[00:01:53 - 00:01:54] 工厂终于醒悟了
[00:01:54 - 00:01:56] 他们重新设计了整个工厂
[00:01:57 - 00:01:59] 不再是一台大电机带动所有机器
[00:01:59 - 00:02:02] 而是给每台机器装上独立的小电机
[00:02:02 - 00:02:04] 这样机器可以自由排列
[00:02:04 - 00:02:06] 工人可以按照最优的流程来分工
[00:02:06 - 00:02:08] 装配线就这样诞生了
[00:02:08 - 00:02:10] 这时候电器化的真正违离才爆发出来
[00:02:10 - 00:02:11] 关键来了
[00:02:11 - 00:02:14] 真正的收益不是来自于让单个工人
[00:02:14 - 00:02:15] 或单台机器转的更快
[00:02:16 - 00:02:18] 而是来自于把技术和组织架构
[00:02:18 - 00:02:19] 重新设计了一遍
[00:02:19 - 00:02:22] 今天我们在AI上正在重复这个错误
[00:02:22 - 00:02:23] 我们换了马达
[00:02:23 - 00:02:24] 但还没有重新设计工厂
[00:02:24 - 00:02:26] 那么到底什么是组织AI?
[00:02:26 - 00:02:28] 它和个人AI有什么区别?
[00:02:28 - 00:02:31] 文章里提出了组织智能的七大支柱
[00:02:31 - 00:02:33] 这七个支柱就是区分个人
[00:02:33 - 00:02:35] AI和组织AI的核心差异
[00:02:35 - 00:02:37] 我们来主意拆解
[00:02:37 - 00:02:38] 第一协调
[00:02:38 - 00:02:39] 从混乱到有序
[00:02:39 - 00:02:42] 个人AI在创造混乱而组织
[00:02:42 - 00:02:43] AI需要创造协调
[00:02:43 - 00:02:45] 文章里做了一个思想实验
[00:02:45 - 00:02:48] 假设明天你把公司里最优秀的员工
[00:02:48 - 00:02:50] 全部克隆一遍人数翻倍
[00:02:50 - 00:02:51] 听起来很美好对吧
[00:02:51 - 00:02:54] 但如果这些克隆人没有被好好管理
[00:02:54 - 00:02:56] 没有沟通没有明确的制则划分
[00:02:56 - 00:02:58] 结果就是一场灾难
[00:02:58 - 00:02:59] 虽然每个人都很强
[00:02:59 - 00:03:02] 但几千个人朝不同的方向划船
[00:03:02 - 00:03:03] 最后就是原地打转
[00:03:03 - 00:03:04] 这根本不是假设
[00:03:04 - 00:03:06] 这就是现在很多公司的现状
[00:03:06 - 00:03:09] 每个员工都有自己的chatgpt习惯
[00:03:09 - 00:03:11] 有自己的提示词风格
[00:03:11 - 00:03:12] 大家用AI生成了一堆东西
[00:03:12 - 00:03:14] 但互相之间根本不兼容
[00:03:14 - 00:03:16] 个人AI让你跑得更快
[00:03:16 - 00:03:18] 但如果没有协调层
[00:03:18 - 00:03:20] 你只是在加速制造混乱
[00:03:20 - 00:03:22] 未来一定会出现一个全新的行业
[00:03:22 - 00:03:23] 叫做Agent管理
[00:03:23 - 00:03:26] 专门负责定义agent角色和职责
[00:03:26 - 00:03:28] 管理agent之间的沟通
[00:03:28 - 00:03:28] 第二信号
[00:03:28 - 00:03:30] 从噪音到洞茶
[00:03:30 - 00:03:32] 个人AI在制造噪音
[00:03:32 - 00:03:34] 而组织AI需要寻找信号
[00:03:34 - 00:03:37] 现在人类能用AI生成任何东西
[00:03:37 - 00:03:39] 但这带来了一个致命问题
[00:03:39 - 00:03:41] 绝大多数AI生成的东西都是垃圾
[00:03:41 - 00:03:42] 文章作者说
[00:03:42 - 00:03:44] 他自己作为AI公司的CEO
[00:03:44 - 00:03:46] 明确要求高管团队
[00:03:46 - 00:03:48] 不要用AI写最终的书面产品
[00:03:48 - 00:03:51] 因为他实在受不了那些AI生成的废话
[00:03:51 - 00:03:53] 我太认同这一点了
[00:03:53 - 00:03:56] 想象一下PE 私募股权 行业会发生什么
[00:03:56 - 00:03:59] 去年一个PE投资者的桌上可能只有10个项目
[00:03:59 - 00:04:02] 今年它一个季度能收到50个项目
[00:04:02 - 00:04:05] 而且每一个都被AI包装的完美无缺
[00:04:05 - 00:04:08] 但它找出一个真正好项目的时间并没有变多
[00:04:08 - 00:04:10] 反而它需要花更多的时间
[00:04:10 - 00:04:12] 去过滤那些AI生成的垃圾
[00:04:12 - 00:04:14] 生成内容已经不是问题了
[00:04:14 - 00:04:18] 现在真正的问题是如何在成山的AI垃圾中
[00:04:18 - 00:04:19] 找到那个真正的信号
[00:04:19 - 00:04:23] 未来的核心竞争力不是你能生成多少东西
[00:04:23 - 00:04:25] 而是你能多快地过滤掉噪音
[00:04:25 - 00:04:26] 第三偏见
[00:04:26 - 00:04:28] 从银河到客观
[00:04:28 - 00:04:30] 个人AI在强化偏见
[00:04:30 - 00:04:32] 而组织AI需要创造客观性
[00:04:32 - 00:04:35] 现在的AI模型都被训练得太乖了
[00:04:35 - 00:04:36] 你跟Cloud说什么
[00:04:36 - 00:04:38] 他都会回忆你说的绝对正确
[00:04:38 - 00:04:39] 这听起来很爽
[00:04:39 - 00:04:40] 但其实非常危险
[00:04:40 - 00:04:41] 想象一下
[00:04:41 - 00:04:43] 公司里那些平时表现最差
[00:04:43 - 00:04:45] 得不到正反馈的员工
[00:04:45 - 00:04:47] 他们现在有了一个永远同意他们
[00:04:47 - 00:04:49] 永远夸他们的AI助手
[00:04:49 - 00:04:52] 这会极大地放大他们的偏见和错误决策
[00:04:52 - 00:04:54] 个人AI在迎合你
[00:04:54 - 00:04:56] 但组织AI需要的是客观的真相
[00:04:56 - 00:04:58] 组织AI需要能够挑战决策者的判断
[00:04:58 - 00:05:00] 能够指出潜在的风险
[00:05:00 - 00:05:01] 第四上下文
[00:05:01 - 00:05:04] 从陌生人到老员工
[00:05:04 - 00:05:06] 个人AI缺乏背景而组织
[00:05:06 - 00:05:07] AI需要深度理解背景
[00:05:07 - 00:05:08] 你有没有试过
[00:05:08 - 00:05:11] 让ChartGPT帮你写一份公司内部的汇报
[00:05:11 - 00:05:14] 你得把公司的历史项目的背景
[00:05:14 - 00:05:15] 老板的喜好
[00:05:15 - 00:05:18] 全都给它解释一遍这太累了
[00:05:18 - 00:05:21] 个人AI工具就像是一个永远的世纪生
[00:05:21 - 00:05:22] 他很聪明
[00:05:22 - 00:05:23] 但他什么都不知道
[00:05:23 - 00:05:27] 而组织AI需要的是一个全知全能的系统
[00:05:27 - 00:05:29] 他需要接入公司的所有数据
[00:05:29 - 00:05:31] 理解每一次决策的来龙去脉
[00:05:31 - 00:05:34] 只有这样他才能给出真正有价值的建议
[00:05:34 - 00:05:35] 第五反馈
[00:05:35 - 00:05:37] 从生成到进化
[00:05:37 - 00:05:39] 个人AI没有反馈循环
[00:05:39 - 00:05:41] 而组织AI需要持续改进
[00:05:41 - 00:05:43] 你用AI写了一段代码
[00:05:43 - 00:05:44] 跑通了你很高兴
[00:05:44 - 00:05:47] 但这段代码在生产环境里表现怎么样
[00:05:47 - 00:05:48] 有没有引发其他bug
[00:05:48 - 00:05:49] 你的AI工具不知道
[00:05:49 - 00:05:52] 它只负责生成不负责结果
[00:05:52 - 00:05:55] 而组织AI必须建立起一个完整的反馈避还
[00:05:55 - 00:05:58] 它生成的每一个决策每一段代码
[00:05:58 - 00:06:00] 都需要被追踪被评估
[00:06:00 - 00:06:03] 然后这些反馈数据会重新为给AI
[00:06:03 - 00:06:04] 让它在下一次做得更好
[00:06:04 - 00:06:05] 第6几例
[00:06:05 - 00:06:07] 从局部到全局
[00:06:07 - 00:06:09] 个人AI激励不一致
[00:06:09 - 00:06:11] 而组织AI需要激励对齐
[00:06:11 - 00:06:13] 员工用AI是为了早点下班
[00:06:13 - 00:06:15] 为了让自己的KPI看起来更漂亮
[00:06:15 - 00:06:17] 但这和公司的目标一致吗
[00:06:17 - 00:06:18] 不一定
[00:06:18 - 00:06:20] 如果一个销售用AI自动发了
[00:06:20 - 00:06:22] 成千上万封垃圾邮件
[00:06:22 - 00:06:23] 它的触达率
[00:06:23 - 00:06:24] KPI可能报表了
[00:06:24 - 00:06:26] 但公司的品牌形象
[00:06:26 - 00:06:27] 可能被彻底毁了
[00:06:27 - 00:06:29] 个人AI在优化个人的局部利益
[00:06:29 - 00:06:32] 而组织AI需要优化公司的全局利益
[00:06:32 - 00:06:34] 第七 任性
[00:06:34 - 00:06:36] 从脆弱到稳健
[00:06:36 - 00:06:37] 个人AI非常脆弱
[00:06:37 - 00:06:40] 而组织AI需要极强的稳健性
[00:06:40 - 00:06:41] 你今天用的AI工具
[00:06:41 - 00:06:42] 明天可能就改版了
[00:06:42 - 00:06:44] 你的提示词可能在
[00:06:44 - 00:06:45] 在下一次模型更新后
[00:06:45 - 00:06:47] 就完全失效了
[00:06:47 - 00:06:48] 对于个人来说
[00:06:48 - 00:06:49] 这顶多是换个工具的事
[00:06:49 - 00:06:51] 但对于一个企业来说
[00:06:51 - 00:06:52] 这是不可承受的风险
[00:06:52 - 00:06:55] 组织AI需要的是企业级的稳定性
[00:06:55 - 00:06:57] 安全性和可审记性
[00:06:57 - 00:06:58] 主流的认知是
[00:06:58 - 00:07:00] 只要给员工买最贵的AI工具
[00:07:00 - 00:07:02] 公司就能起飞
[00:07:02 - 00:07:03] 但看完这篇文章
[00:07:03 - 00:07:05] 你会发现生产力强的个人
[00:07:05 - 00:07:07] 绝对不等于生产力强的企业
[00:07:07 - 00:07:08] 那些在Slack里
[00:07:08 - 00:07:10] 疯狂炫耀自己用AI多高效的人
[00:07:10 - 00:07:12] 对公司的实际价值
[00:07:12 - 00:07:13] 可能无限趋近于零
[00:07:13 - 00:07:15] 我们需要一种全新的认知框架
[00:07:15 - 00:07:19] 未来的B2BAI不是卖工具也不是卖服务
[00:07:19 - 00:07:21] 而是卖明天的装配线
[00:07:21 - 00:07:23] 我们需要的是组织智能
[00:07:23 - 00:07:25] 未来的公司可能不再是由人组成的
[00:07:25 - 00:07:28] 而是由人家Agent组成的混合组织
[00:07:28 - 00:07:30] 在这个组织里
[00:07:30 - 00:07:31] 人负责定义目标
[00:07:31 - 00:07:33] 提供创意承担责任
[00:07:33 - 00:07:36] 而Agent负责执行协调处理海量信息
[00:07:36 - 00:07:38] 这就像是1920年代的工厂
[00:07:38 - 00:07:41] 工人和机器有了全新的分工
[00:07:41 - 00:07:42] 但这里有个很离谱的地方
[00:07:42 - 00:07:46] 现在很多公司还在用管理人的方式去管理AI
[00:07:46 - 00:07:48] 或者用管理软件的方式去管理AI
[00:07:48 - 00:07:49] 这都是错的
[00:07:49 - 00:07:50] AI不是人
[00:07:50 - 00:07:51] 也不是传统的软件
[00:07:51 - 00:07:53] 它是一种全新的生产力形态
[00:07:53 - 00:07:55] 我们需要全新的管理学
[00:07:55 - 00:07:57] 全新的组织行为学
[00:07:57 - 00:07:58] 来适应这个时代
[00:07:58 - 00:08:01] 未来的企业竞争就是组织AI的竞争
[00:08:01 - 00:08:04] 谁能率先把AI和组织架构深度融合
[00:08:04 - 00:08:06] 谁就能拿到下一个时代的传票
[00:08:06 - 00:08:08] 而那些只停留在给员工发
[00:08:08 - 00:08:10] chatgbt账号的公司
[00:08:10 - 00:08:11] 注定会被淘汰
[00:08:11 - 00:08:13] 所以回到我们开头的问题
[00:08:13 - 00:08:14] 为什么AI让你变强了
[00:08:14 - 00:08:16] 你的公司却没变强
[00:08:16 - 00:08:17] 因为你只是在给一辆马车
[00:08:17 - 00:08:19] 装上了一个火箭发动机
[00:08:19 - 00:08:21] 它跑不快它只会散家
[00:08:21 - 00:08:23] 你需要做的是造一艘真正的火箭
[00:08:23 - 00:08:25] 希望这些视频能给你带来一些
[00:08:25 - 00:08:26] 不一样的思考
[00:08:26 - 00:08:27] 如果你是管理者
[00:08:27 - 00:08:30] 请重新审视你们公司的AI战略
[00:08:30 - 00:08:31] 如果你是共诚师
[00:08:31 - 00:08:35] 请开始思考如何设计人家AI的混合系统
[00:08:35 - 00:08:37] AI时代换马达是不够的
[00:08:37 - 00:08:38] 你得重造工厂
[00:08:38 - 00:08:40] 你觉得你们公司现在的AI使用方式
[00:08:40 - 00:08:43] 是在画马达还是在重造工厂
[00:08:43 - 00:08:44] 把你的看法打在公屏上
[00:08:44 - 00:08:46] 我很好奇大家的情况
[00:08:46 - 00:08:48] 如果你觉得这期视频对你有启发
[00:08:48 - 00:08:50] 别忘了点赞投币收藏
[00:08:50 - 00:08:52] 一键三连对我真的很重要
[00:08:52 - 00:08:53] 能让更多人看到这个内容
[00:08:53 - 00:08:55] 我是为什么叫QQ
[00:08:55 - 00:08:58] 一个喜欢用工程视角看世界的程序员
[00:08:58 - 00:08:59] 我们下期不见不散
