BV号：BV1dtNQeVEyP
标题：BV1dtNQeVEyP
链接：https://www.bilibili.com/video/BV1dtNQeVEyP
识别语言：zh
语言置信度：1
分段数：401
生成时间：2026-08-30 16:45:30

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 前一段时间做了一期节目 名为智能的诅咒
[00:00:05 - 00:00:07] 里面提到了一篇题为
[00:02:46 - 00:02:49] 如果AI的發展沒有這麼神速
[00:02:49 - 00:02:51] 或者說在AI的發展過程中
[00:02:51 - 00:02:53] 世界上大多數普通民眾的話語權
[00:02:53 - 00:02:54] 反而變小了
[00:02:54 - 00:02:57] 那麼有可能獲得良好的物質生活水平
[00:02:57 - 00:02:58] 都會成為問題
[00:02:58 - 00:02:59] 想像一下
[00:02:59 - 00:03:01] 在一個階層固定不變的靜態社會
[00:03:01 - 00:03:03] 既沒有活力也沒有生機
[00:03:03 - 00:03:05] 這確實會讓人覺得挺悲哀的
[00:03:05 - 00:03:06] 如果有可能的話
[00:03:06 - 00:03:09] 我們不應該扼殺人們追求進步的心
[00:03:09 - 00:03:10] 還有一個問題是
[00:03:10 - 00:03:11] 在這種社會裡
[00:03:11 - 00:03:13] 掌權者有可能越來越難以關心
[00:03:13 - 00:03:15] 普通民眾的生計情況
[00:03:15 - 00:03:16] 這樣一來
[00:03:16 - 00:03:17] 人工智能所帶來的災難
[00:03:17 - 00:03:19] 就可能慢慢的積累
[00:03:19 - 00:03:20] 最後爆發
[00:03:20 - 00:03:21] 面對這些情況
[00:03:21 - 00:03:23] 默認的解決方案是什麼呢
[00:03:23 - 00:03:27] 作者指出 假设将来大多数需要付工资给人来做的工作
[00:03:27 - 00:03:29] 都能够用AI做得更好更快
[00:03:29 - 00:03:32] 那么这些工作的市场价值就会降低
[00:03:32 - 00:03:34] 我们把这种能够取代人力的AI
[00:03:34 - 00:03:36] 叫做劳动力替代型的AI
[00:03:36 - 00:03:39] 对于这种情况可能会带来的失业问题
[00:03:39 - 00:03:41] 人们通常会想到两个解决办法
[00:03:41 - 00:03:45] 一个是各国政府会给每个人发基本生活费
[00:03:45 - 00:03:46] 也就是UBI
[00:03:46 - 00:03:49] 二是我们很快会进入到一个超级AI时代
[00:03:49 - 00:03:52] 如果这个超级AI与人类的价值观
[00:03:52 - 00:03:53] 利益高度的一致
[00:03:53 - 00:03:56] 那我们将生活在一个什么都不缺的世界里
[00:03:56 - 00:03:57] 在这个世界里
[00:03:57 - 00:03:58] 一切皆有可能
[00:03:58 - 00:03:59] 但是作者也指出
[00:03:59 - 00:04:01] 有两点需要注意
[00:04:01 - 00:04:01] 首先
[00:04:01 - 00:04:03] 如果不是由一个单一的AI
[00:04:03 - 00:04:05] 来负责所有的经济规划
[00:04:05 - 00:04:07] 那么货币将继续存在
[00:04:07 - 00:04:08] 因为价格最重要的作用
[00:04:08 - 00:04:10] 是告诉大家东西值多少钱
[00:04:10 - 00:04:12] 只要还有不同的个体在做生意
[00:04:12 - 00:04:15] 那么很可能还是会有价格的存在
[00:04:15 - 00:04:15] 其次
[00:04:15 - 00:04:17] 就算AI发展的再快
[00:04:17 - 00:04:18] 资源总是有限的
[00:04:18 - 00:04:20] 只要资源是有限的
[00:04:20 - 00:04:23] 那么这些资源就必须按照一定的规则进行分配
[00:04:23 - 00:04:26] 虽然现在钱能够买到很多的东西
[00:04:26 - 00:04:29] 比如说有钱通常能够买到工厂设施这样的资本
[00:04:29 - 00:04:31] 没有大把的钱就买不到资本
[00:04:31 - 00:04:35] 不过通过原始资金培养顶尖人才的难度
[00:04:35 - 00:04:36] 相比过去会变得更大
[00:04:36 - 00:04:39] 作者以蓝色起源和SpaceX举例来说
[00:04:39 - 00:04:42] 蓝色起源比SpaceX早成立两年
[00:04:42 - 00:04:45] 大部分的时候资金都比SpaceX更加充足
[00:04:45 - 00:04:48] 从雇佣的人数上两者也差不多
[00:04:48 - 00:04:51] 但是SpaceX在与蓝色起源的竞争中
[00:04:51 - 00:04:52] 呈现出了压倒性的优势
[00:04:53 - 00:04:54] 尽管在2000年的时候
[00:04:54 - 00:04:56] 卫索斯就已经有了47亿美元
[00:04:56 - 00:04:59] 但是SpaceX靠着独特的公司文化
[00:04:59 - 00:05:01] 和一群顶尖人才
[00:05:01 - 00:05:03] 仍然在竞争中占据了绝对的优势
[00:05:03 - 00:05:05] 包括一个世纪之前
[00:05:05 - 00:05:07] 莱特兄弟就是靠着一个自行车电的资源
[00:05:07 - 00:05:10] 打败了财力雄厚的塞米尔兰利集团
[00:05:10 - 00:05:13] 在过去 风头和创业者之间
[00:05:13 - 00:05:15] 或者收购方与创业公司之间的互动
[00:05:15 - 00:05:17] 都是拥有大量资本的人
[00:05:17 - 00:05:19] 通过支付高价来压住劳动力
[00:05:19 - 00:05:21] 而压住的前提是
[00:05:21 - 00:05:24] 出资方相信出状企业的高人才密度
[00:05:24 - 00:05:25] 将胜过那些大型公司
[00:05:25 - 00:05:27] 从而获得最终商业上的成功
[00:05:27 - 00:05:30] 因此如果你想要将金钱
[00:05:30 - 00:05:31] 转化为最终的资本
[00:05:31 - 00:05:33] 招募到合适的人才是第一步
[00:05:33 - 00:05:34] 也是最难的一步
[00:05:34 - 00:05:36] 原因由以下三点
[00:05:36 - 00:05:39] 首先除非你自己在这个领域非常的惊统
[00:05:39 - 00:05:42] 否则很难真的判别谁是真正的人才
[00:05:42 - 00:05:44] 其次真正的人才是期缺的
[00:05:44 - 00:05:47] 第三就算你找到了合适的人才
[00:05:47 - 00:05:48] 想让他们加入团队
[00:05:48 - 00:05:50] 仅仅靠金钱也很难做到
[00:05:50 - 00:05:53] 不过随着劳动力替代型AI的出现
[00:05:53 - 00:05:55] 这些问题将不复存在
[00:05:55 - 00:05:58] 首先你可能不用再被评估AI人才发酬了
[00:05:58 - 00:06:01] 最关键的原因在于AI是可以复制的
[00:06:01 - 00:06:03] 如果顶尖研究员是个AI
[00:06:03 - 00:06:04] 那么他就是可以被复制的
[00:06:04 - 00:06:07] 每个人或者说每个能买得起GPU的人
[00:06:07 - 00:06:10] 都能通过AI成为顶尖的研究员
[00:06:10 - 00:06:12] 因此有了劳动替代型AI之后
[00:06:12 - 00:06:15] 有钱就更加容易找到顶尖的人才
[00:06:15 - 00:06:18] 而且因为AI比人工劳动成本更便宜
[00:06:18 - 00:06:20] 人才的价格就会大幅的降低
[00:06:20 - 00:06:22] 再加上AI可以被复制
[00:06:22 - 00:06:24] 劳动力市场的竞争会更加激烈
[00:06:24 - 00:06:27] 最后把金钱转化为人才的难点在于
[00:06:27 - 00:06:30] 很多顶尖人才都有自己复杂的想法
[00:06:30 - 00:06:31] 很难用钱打动他们
[00:06:31 - 00:06:33] 而相比之下AI的存在
[00:06:33 - 00:06:35] 就是为了能够更轻易的被收买
[00:06:35 - 00:06:36] 最后很明显
[00:06:36 - 00:06:38] AI最终在完成任务方面
[00:06:38 - 00:06:40] 会比任何的人类员工都要强
[00:06:40 - 00:06:41] 这就意味着
[00:06:41 - 00:06:43] 一旦有了劳动替代性AI
[00:06:43 - 00:06:46] 金钱将会更容易的被转化为资本
[00:06:46 - 00:06:47] 随即作者指出
[00:06:47 - 00:06:49] 有了劳动替代性AI
[00:06:49 - 00:06:52] 几乎所有的人都会失去他们最主要的力量和影响力
[00:06:52 - 00:06:53] 最明显的是
[00:06:53 - 00:06:55] 如果你是一个普通人
[00:06:55 - 00:06:57] 你的钱都是通过给别人干活挣来的
[00:06:57 - 00:07:00] 但是如果政府给每个人都发了基本的生活费
[00:07:00 - 00:07:02] 这个问题不就解决了吗
[00:07:02 - 00:07:04] 而发基本生活费的前提是
[00:07:04 - 00:07:06] 国家关心普通民众的生活
[00:07:06 - 00:07:09] 那为什么国家会关心普通民众的生活
[00:07:09 - 00:07:11] 将来又凭什么继续关心呢
[00:07:11 - 00:07:12] 过去几百年
[00:07:12 - 00:07:14] 国家对于普通民众的关心程度
[00:07:14 - 00:07:15] 其实有了很大的变化
[00:07:15 - 00:07:17] 主要有三点原因
[00:07:17 - 00:07:20] 一 启蒙运动带来的道德关键变化
[00:07:20 - 00:07:21] 特别是自由主义和个人主义
[00:07:21 - 00:07:23] 越来越受到重视
[00:07:23 - 00:07:25] 第二点 富裕和技术进步
[00:07:25 - 00:07:27] 第三点 国家有了关心自由
[00:07:27 - 00:07:29] 繁荣和教育的动机
[00:07:29 - 00:07:30] 从公园革命开始
[00:07:30 - 00:07:32] 国家和人民的利益就变得空前一致
[00:07:32 - 00:07:34] 一个强大的国家
[00:07:34 - 00:07:35] 要想在经济上有竞争力
[00:07:35 - 00:07:37] 就需要效率高的市场
[00:07:37 - 00:07:39] 良好有序的教育系统来培养技术工人
[00:07:39 - 00:07:42] 还需要富裕的中产阶级来创造需求
[00:07:42 - 00:07:44] 不管人才从哪个阶层出来
[00:07:44 - 00:07:45] 国家都能够受益
[00:07:45 - 00:07:48] 国家也能够从给人民更多的自由中受益
[00:07:48 - 00:07:52] 因为这能够促进科学技术和文化艺术的发展
[00:07:52 - 00:07:54] 提高国家的国际影响力
[00:07:54 - 00:07:56] 但是有了劳动替代型AI以后
[00:07:56 - 00:07:58] 国家为了跟其他的国家竞争
[00:07:58 - 00:08:00] 或者为了增强自己的力量而做的事
[00:08:00 - 00:08:03] 就不会再跟普通民众的利益一致了
[00:08:03 - 00:08:06] 甚至对待普通民众可能还不如封建时代
[00:08:06 - 00:08:07] 在封建时代
[00:08:07 - 00:08:09] 国家至少还要让农民活着
[00:08:09 - 00:08:11] 这样才能从他们身上榨取财富
[00:08:11 - 00:08:13] 但是有了劳动替代型AI以后
[00:08:13 - 00:08:15] 普通民众变得不再重要
[00:08:15 - 00:08:17] 因为他们连可利用的资源都算不上
[00:08:17 - 00:08:20] 所以国家会减少对于普通民众的投入
[00:08:20 - 00:08:24] 把资源更多的投入到能够提高国家竞争力的AI上
[00:08:24 - 00:08:27] 而普通民众对于国家的影响力也会大大的减弱
[00:08:27 - 00:08:31] 现在因为国家的权力至少要依靠一部分普通民众的支持
[00:08:31 - 00:08:36] 如果重要行业的工人罢工或者是军队里有人威胁要搞政变
[00:08:36 - 00:08:37] 国家就不得不重视
[00:08:37 - 00:08:41] 但是一旦AI能够完成所有维持经济和军事力量的工作
[00:08:41 - 00:08:45] 国家就没有实际的理由要关心普通民众的需求了
[00:08:45 - 00:08:46] 亚当斯密曾经说过
[00:08:46 - 00:08:50] 他的晚饭不是靠屠夫、酿酒师或者面包师的好心
[00:08:50 - 00:08:53] 现在的古典自由主义者可以有利地说
[00:08:53 - 00:08:55] 历史却是在朝着自由和副族发展
[00:08:55 - 00:08:57] 这不是靠国家的恩赐
[00:08:57 - 00:09:00] 而是因为资本主义和国际政治的推动
[00:09:00 - 00:09:03] 但是在劳动替代性AI出现以后
[00:09:03 - 00:09:04] 这种情况就不成立了
[00:09:04 - 00:09:07] 如果历史还要继续朝着自由和富足发展
[00:09:07 - 00:09:10] 就只能靠国家或者AI巨头的好心了
[00:09:10 - 00:09:12] 那么对于普通老百姓来说
[00:09:12 - 00:09:13] 还有逆袭的可能吗?
[00:09:13 - 00:09:16] 作者认为在劳动替代性AI出来以后
[00:09:16 - 00:09:19] 可能会对几乎所有普通民众能够逆袭的道路
[00:09:19 - 00:09:21] 产生负面的影响
[00:09:21 - 00:09:22] 比如说创业
[00:09:22 - 00:09:25] 虽然现在年轻人靠着AI能够更容易的创业
[00:09:25 - 00:09:26] 但是随着AI越来越厉害
[00:09:26 - 00:09:28] 最终会直接取代人类企业家
[00:09:28 - 00:09:32] 比如说风头机构可能直接用钱来支持几百个
[00:09:32 - 00:09:33] 由AI来运营的创业项目
[00:09:33 - 00:09:36] 根本不需要人类企业家来管理这些AI
[00:09:36 - 00:09:37] 在自然科学领域
[00:09:37 - 00:09:41] 因为AI在所有有明确奖励机制的领域都进步得很快
[00:09:41 - 00:09:43] 所以可能几年之内
[00:09:43 - 00:09:46] 人类在自然科学领域就再也出不了成果了
[00:09:46 - 00:09:47] 对于知识分子来说
[00:09:47 - 00:09:50] 一旦AI能够大量的制造思想体系
[00:09:50 - 00:09:52] 人类个人的思想就很难再成为明星了
[00:09:52 - 00:09:55] 世界级的知识分子可能会消失
[00:09:55 - 00:09:57] 政治可能是受影响最小的领域之一
[00:09:57 - 00:09:59] 而且政治家有权制定规则
[00:09:59 - 00:10:02] 不过 AI可以生成更具有魅力的虚拟形象
[00:10:02 - 00:10:05] 或者降低競选成本和门卡
[00:10:05 - 00:10:07] 同时 当特别厉害的AI出现之后
[00:10:07 - 00:10:10] 可能会让人类的情商变得不那么重要
[00:10:10 - 00:10:13] 也让组织内部的政治博弈会获得更高的回报
[00:10:13 - 00:10:16] 这些都说明 有了劳动替代性AI以后
[00:10:16 - 00:10:20] 个人想要在现实世界中不靠钱来获取和使用权力
[00:10:20 - 00:10:21] 会变得非常困难
[00:10:21 - 00:10:24] 那么能不能要求强制性的平等呢?
[00:10:24 - 00:10:26] 文章作者提到了不平等社会一书
[00:10:26 - 00:10:28] 如要研究历史上的不平等现象
[00:10:28 - 00:10:32] 书中指出 历史上能够大幅减少不平等现象的
[00:10:32 - 00:10:33] 只有4种情况
[00:10:33 - 00:10:35] 分别是大规模的战争
[00:10:35 - 00:10:36] 暴力革命
[00:10:36 - 00:10:37] 国家崩溃和严重的疫情
[00:10:37 - 00:10:39] 通过正常的政治手段
[00:10:39 - 00:10:40] 来缩小贫富差距的
[00:10:40 - 00:10:42] 几乎从来没有成功过
[00:10:42 - 00:10:43] 假设未来劳动
[00:10:43 - 00:10:44] 涉害性AI上昂之后
[00:10:44 - 00:10:46] 政府也开始给每个人
[00:10:46 - 00:10:47] 发放基本的生活费
[00:10:47 - 00:10:48] 没人会饿肚子
[00:10:48 - 00:10:50] 但是问题在于
[00:10:50 - 00:10:52] 发展AI还需要大量的钱
[00:10:52 - 00:10:54] 所以人们都得依赖于有钱人
[00:10:54 - 00:10:55] 在这种情况下
[00:10:55 - 00:10:56] 财富的再分配
[00:10:56 - 00:10:57] 不会成为政府
[00:10:57 - 00:10:58] 优先考虑的事情
[00:10:58 - 00:10:59] 这就意味着
[00:10:59 - 00:11:01] 就算未来生活很美好
[00:11:01 - 00:11:03] 一开始人与人之间的差距也不会小
[00:11:03 - 00:11:05] 根据历史经验来看
[00:11:05 - 00:11:07] 这种差距以后也很难改变
[00:11:07 - 00:11:10] 这种差距还不只是一个国家内部
[00:11:10 - 00:11:11] 人与人之间的不平等
[00:11:11 - 00:11:13] 国家之间的差距可能会更大
[00:11:13 - 00:11:17] 有些国家会比其他国家更容易的从AI中获益
[00:11:17 - 00:11:20] 同时也因为劳动替代性AI的存在
[00:11:20 - 00:11:22] 国家不再需要外来移民承担工作
[00:11:22 - 00:11:24] 结果就是你出生在哪个国家
[00:11:24 - 00:11:27] 可能就会比现在更加决定你的命运
[00:11:27 - 00:11:29] 正如最近网上的一个热耕
[00:11:29 - 00:11:31] 人生的分水里就是洋水
[00:11:31 - 00:11:33] 如果前面这些分析都是对的
[00:11:33 - 00:11:34] 那么未来拥有劳动替代型
[00:11:34 - 00:11:37] EGI的社会将发生以下几个变化
[00:11:37 - 00:11:40] 1 金钱更容易获得资本
[00:11:40 - 00:11:42] 2 普通民众比以往任何时候
[00:11:42 - 00:11:44] 都更加难以通过原始资本积累
[00:11:44 - 00:11:46] 获得杠杆效应
[00:11:46 - 00:11:48] 3 只通过自己的劳动努力
[00:11:48 - 00:11:49] 很难再逆袭成功
[00:11:49 - 00:11:52] 4 贫富差距不会缩效
[00:11:52 - 00:11:54] 这些变化意味着什么呢
[00:11:54 - 00:11:55] 首先 资本的拥有者
[00:11:55 - 00:11:57] 将获得比现在更大的社会优势
[00:11:57 - 00:12:00] 他们比现在的富人拥有更大的权力
[00:12:00 - 00:12:02] 而且可以轻松的利用手中的金钱
[00:12:02 - 00:12:04] 更容易的获得各种资本
[00:12:04 - 00:12:07] 其次 真正的权力都来自于AI
[00:12:07 - 00:12:09] 国家不会再关注普通民众生活的必要性
[00:12:09 - 00:12:11] 在最好的情况下
[00:12:11 - 00:12:13] 世界可能像一个更加不平等
[00:12:13 - 00:12:14] 但是更加富裕的挪威
[00:12:14 - 00:12:16] 每个人都有较高的生活水平
[00:12:16 - 00:12:18] 尽管部分的人会更加富裕
[00:12:18 - 00:12:21] 普通民众对于世界的影响力不断的缩小
[00:12:21 - 00:12:23] 人类唯一的乐趣是
[00:12:23 - 00:12:25] 在你的社交网络和阶层中
[00:12:25 - 00:12:27] 参与本地的社会和政治游戏
[00:12:27 - 00:12:29] 同时 因为AI可以化身为一个
[00:12:29 - 00:12:32] 很好的私人 艺术家 哲学家等等
[00:12:32 - 00:12:34] 所以每个人都只会在乎自己认识的人
[00:12:34 - 00:12:35] 在想什么说什么
[00:12:36 - 00:12:38] 所有普通人的生活都围绕着熟人来展开
[00:12:39 - 00:12:41] 未来的重要人物都会跟他们在AI时代
[00:12:41 - 00:12:42] 所做的事情有关
[00:12:42 - 00:12:45] 同时社会阶层将不断的固化
[00:12:45 - 00:12:46] 孩子们很难超越父母
[00:12:47 - 00:12:49] 而相比之下更糟糕的情况是
[00:12:49 - 00:12:51] AI富豪几乎拥有无限的权利
[00:12:51 - 00:12:54] 基于劳动替代性的AI将建立永久的权利阶层
[00:12:55 - 00:12:56] 同时由于社会阶层的固化
[00:12:57 - 00:12:58] 不同阶层之间的权利差距
[00:12:58 - 00:12:59] 将令人震惊
[00:13:00 - 00:13:03] 但是由于普通人无法说服劳动替代型AI的拥有者
[00:13:03 - 00:13:06] 因此这种巨大的阶层差异最终会被接受
[00:13:06 - 00:13:08] 形成新的固化的社会秩序
[00:13:09 - 00:13:10] 而最坏的情况是
[00:13:10 - 00:13:12] AI富豪只追求自己的利益
[00:13:12 - 00:13:14] 不再关心人类的发展和繁荣
[00:13:14 - 00:13:16] 从而导致人类面网
[00:13:16 - 00:13:18] 那么作为普通人我们究竟能够做什么呢
[00:13:19 - 00:13:19] 作者指出
[00:13:19 - 00:13:22] 我们现在不应该去找一个稳定的工作
[00:13:22 - 00:13:24] 也不应该去追逐热点行业
[00:13:24 - 00:13:24] 比如说AI
[00:13:25 - 00:13:27] 而是应该去做一些具有野心的事情
[00:13:27 - 00:13:31] 作者把現在比做是羅賓漢森所說的夢幻時代
[00:13:31 - 00:13:31] Dream Time
[00:13:31 - 00:13:34] 這是一個類似於澳洲土著神話中
[00:13:34 - 00:13:36] 秩序價值都還沒有被定型的時代
[00:13:36 - 00:13:40] AI時代的到來可能是展示人類野心的絕佳機會
[00:13:40 - 00:13:41] 我們應該抓住這個機會
[00:13:41 - 00:13:43] 盡力保持在社會中的活力
[00:13:43 - 00:13:47] 只有增強自身的能力才能夠跟上AI的步伐
[00:13:47 - 00:13:48] 當然了具體該怎麼做
[00:13:48 - 00:13:50] 作者也表示不知道
[00:13:50 - 00:13:51] 只不過他認為
[00:13:51 - 00:13:54] 強大的AI不是一面無法愉悅的強
[00:13:54 - 00:13:56] 會把人類的所有影響力徹底的消滅
[00:13:56 - 00:13:59] 至少在一段時間內 牆上還是會有裂縫
[00:13:59 - 00:14:01] 如果你願意足夠近的去觀察
[00:14:01 - 00:14:03] 或者在遠處努力的尋找
[00:14:03 - 00:14:05] 這些裂縫會比你想像中更大
[00:14:05 - 00:14:07] 好了 以上就是這篇文章的主要內容了
[00:14:07 - 00:14:09] 希望能夠對大家有所啟發
[00:14:09 - 00:14:11] 感謝大家的觀看 我們下期再見
