BV号：BV1phQaYYErw
标题：BV1phQaYYErw
链接：https://www.bilibili.com/video/BV1phQaYYErw
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-08-30 10:59:03

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近有个事情不知道大家有没有关注
[00:03:14 - 00:03:16] 也就是為開票的應收賬款
[00:03:16 - 00:03:18] 對Coward玩而言
[00:03:18 - 00:03:19] 這150億美元的RPO
[00:03:19 - 00:03:22] 主要是來自於它與AI企業客戶
[00:03:22 - 00:03:24] 簽訂的長期算利服務合同
[00:03:24 - 00:03:26] 这些合同平均的期限长达4年
[00:03:26 - 00:03:29] 这意味着客户承诺在相当长的一段时间内
[00:03:29 - 00:03:32] 会持续使用QoWave提供的GPU算力服务
[00:03:32 - 00:03:34] 从合同的结构来看
[00:03:34 - 00:03:38] 客户往往需要预付总额15%-25%的款项
[00:03:38 - 00:03:41] 这就被QoWave带来了稳定的前期现金流
[00:03:41 - 00:03:44] 而且QoWave会按照了合同的期限
[00:03:44 - 00:03:47] 逐步将这些RPU确认为实际的收入
[00:03:47 - 00:03:50] 所以这150亿美元会在未来的几年内
[00:03:50 - 00:03:53] 持续稳定地转化为公司的实际营收
[00:03:53 - 00:03:54] 乍一看
[00:03:54 - 00:03:55] CoreWave的RPU
[00:03:55 - 00:03:56] 预示公司未来几年
[00:03:56 - 00:03:58] 将会有稳定的收入来源
[00:03:58 - 00:04:01] 并且RPU的增长速度也十分惊人
[00:04:01 - 00:04:04] 从2023年底的99亿美元
[00:04:04 - 00:04:06] 增长到了2024年底的150亿美元
[00:04:06 - 00:04:08] 同比增长达到了53%
[00:04:08 - 00:04:12] 但是我们也不能被这些数据冲锋的头脑
[00:04:12 - 00:04:14] 因为RPU虽然看起来很优人
[00:04:14 - 00:04:15] 但却不是万能药
[00:04:15 - 00:04:17] 首先要明确的是
[00:04:17 - 00:04:19] RPU并不等同于营收
[00:04:19 - 00:04:21] 它只是一个对于未来收入的预期
[00:04:21 - 00:04:23] 虽然有合同作为保证
[00:04:23 - 00:04:25] 但是在实际的操作中
[00:04:25 - 00:04:27] 能否真正的变成真金白银
[00:04:27 - 00:04:28] 还有很多不确定的因素
[00:04:28 - 00:04:31] 其次 RPO也不是绝对的保证
[00:04:31 - 00:04:33] 客户有可能中途改变计划
[00:04:33 - 00:04:36] 合同也可能因为各种原因被修改
[00:04:36 - 00:04:38] 市场环境更是顺序乱变
[00:04:38 - 00:04:41] 这些因素都可能导致RPO大大折扣
[00:04:41 - 00:04:44] 另外 PoE我还面临着客户高度集中的问题
[00:04:44 - 00:04:46] 像微软等少数几家大客户
[00:04:46 - 00:04:48] 就贡献了大部分的RPO
[00:04:48 - 00:04:50] 这就好比是把所有的鸡蛋
[00:04:50 - 00:04:51] 都放在了一个栏子里
[00:04:51 - 00:04:53] 一旦这些大客户流失
[00:04:53 - 00:04:55] CallWave的RPU可能就会大幅的缩水
[00:04:55 - 00:04:59] 而且 AI算力市场目前正处于快速发展的阶段
[00:04:59 - 00:05:00] 虽然前景广阔
[00:05:00 - 00:05:02] 但是也充满了不确定性
[00:05:02 - 00:05:05] CallWave的RPU能否保持如此高的增速
[00:05:05 - 00:05:07] 面对竞争对手的激烈竞争
[00:05:07 - 00:05:09] 它能否守住现有的市场份额
[00:05:09 - 00:05:10] 这些都是未知数
[00:05:10 - 00:05:14] 所以对于CallWave的150亿美元RPU
[00:05:14 - 00:05:16] 我们既要看到它所运涵的增长的潜力
[00:05:16 - 00:05:18] 但是同时也要保持谨慎
[00:05:18 - 00:05:21] 毕竟这只是一张远期的支票
[00:05:21 - 00:05:23] 能否顺利的兑现还是一个位置数
[00:05:24 - 00:05:24] 抛开订单
[00:05:24 - 00:05:26] 我们再来看看COW的技术实力
[00:05:27 - 00:05:29] 先来说说COW的硬件实力
[00:05:29 - 00:05:30] 它拥有一个遍布全美
[00:05:30 - 00:05:33] 并且逐步向欧洲扩展的数据中心网络
[00:05:33 - 00:05:35] 这些数据中心是专门为AI计算
[00:05:35 - 00:05:37] 所精心定制的超级工厂
[00:05:37 - 00:05:39] 在这些数据中心里
[00:05:39 - 00:05:41] 能够支持高密度的GPU集群
[00:05:41 - 00:05:43] 这就意味着在相同的空间内
[00:05:43 - 00:05:45] 可以部署更多的GPU
[00:05:45 - 00:05:47] 从而为客户提供更强大的算力
[00:05:47 - 00:05:48] 为了解决GPU集群
[00:05:48 - 00:05:50] 运行时产生的大量热量问题
[00:05:50 - 00:05:52] 口外伍采用了夜冷技術
[00:05:52 - 00:05:55] 不僅能夠有效的解決散熱難題
[00:05:55 - 00:05:57] 還能夠提高能源的利用效率
[00:05:57 - 00:05:59] 此外數據中心還配備了
[00:05:59 - 00:06:01] 英偉達的Infinite Band的低延遲網路
[00:06:01 - 00:06:04] 大大減少了數據傳輸過程中的擁堵信像
[00:06:04 - 00:06:06] 顯著提升了AI訓練和推理的速度
[00:06:06 - 00:06:07] 在GPU方面
[00:06:07 - 00:06:10] 口外伍與英偉達達成了深度的合作關係
[00:06:10 - 00:06:12] 這使得它能夠第一時間
[00:06:12 - 00:06:14] 拿到英偉達的最新GPU芯片
[00:06:14 - 00:06:18] 像H100、H200、GH200、Gb200等等
[00:06:18 - 00:06:19] 就在近期
[00:06:19 - 00:06:21] 库威武还宣布收购了AI开发者平台
[00:06:21 - 00:06:23] WiS and the BearSys
[00:06:23 - 00:06:25] 这个平台有超过100万工程师在使用
[00:06:25 - 00:06:29] 无疑将进一步增强库威武在AI领域的影响力
[00:06:29 - 00:06:31] 除了硬件上的优势以外
[00:06:31 - 00:06:34] 库威武在软件方面也有自己独特的方案
[00:06:34 - 00:06:35] 比如说SUNK
[00:06:35 - 00:06:37] 也就是Slam on Kubernetes
[00:06:37 - 00:06:40] 我们知道在一个GPU基础中
[00:06:40 - 00:06:42] 往往会同时存在多种不同的AI任务
[00:06:42 - 00:06:45] 比如说训练、推理、测试等等
[00:06:45 - 00:06:48] 而SUNK能够智能地调配GPU的资源
[00:06:48 - 00:06:51] 让这些不同的任务在同一个基础上和谐的共处
[00:06:51 - 00:06:54] 就像是交通警察在指挥交通一样
[00:06:54 - 00:06:57] 最大化的提高GPU的利用率降低成本
[00:06:57 - 00:06:58] 另一个就是Tanzerizer系统
[00:06:58 - 00:07:00] 它就像是一个高效的搬运工
[00:07:00 - 00:07:03] 能够快速地将模型从存储设备
[00:07:03 - 00:07:05] 搬运到GPU内存中
[00:07:05 - 00:07:06] 大大缩短模型的加载时间
[00:07:06 - 00:07:09] 让AIT里能够实现秒回信息
[00:07:09 - 00:07:11] 提高整个系统的运行效率
[00:07:11 - 00:07:12] 还有CPS
[00:07:12 - 00:07:14] 也就是Covail Kubernetes Service
[00:07:14 - 00:07:17] 这是一套全托馆的CovidNets服务
[00:07:17 - 00:07:18] 对于客户来说
[00:07:18 - 00:07:20] 它就像是一个AI算力控制中心
[00:07:20 - 00:07:22] 客户使用CTS的时候
[00:07:22 - 00:07:24] 不需要操心复达的运为工作
[00:07:24 - 00:07:26] 只需要专注于AI应用的开发和部署
[00:07:26 - 00:07:29] 大大减化了AI工作负载的部署和管理流程
[00:07:30 - 00:07:32] 最后是任务的管理和监控系统
[00:07:32 - 00:07:36] 它能够时时监测数据中心和GPU集群的运行状态
[00:07:36 - 00:07:39] 就像是一个禁止进责的健康管家一样
[00:07:39 - 00:07:41] 及时的发现并且预测潜在的问题
[00:07:41 - 00:07:44] 确保整个系统的高可用性和稳定性
[00:07:44 - 00:07:46] 可以说通过与英伟达的深度合作
[00:07:46 - 00:07:50] 以及在AI算力领域积累起来的专业知识和技术经验
[00:07:50 - 00:07:53] CoA5构成了如今难以被复制的互成合
[00:07:53 - 00:07:56] 不过AI技术的发展日期应愿意
[00:07:56 - 00:07:59] 今天的优势并不代表明天依然能够保持领先
[00:07:59 - 00:08:02] CoA5能否持续的在技术上保持领先地位
[00:08:02 - 00:08:04] 将使它未来发展的一个关键所在
[00:08:04 - 00:08:07] 如果我们去看CoA5的财务成绩单
[00:08:07 - 00:08:09] 就会发现一个似乎非常矛盾的现象
[00:08:09 - 00:08:12] 一方面它的营收呈现出了景喷式的增长
[00:08:12 - 00:08:15] 2024年的营收达到了19亿美元
[00:08:15 - 00:08:18] 同比增长幅度惊人高达737%
[00:08:18 - 00:08:19] 但是另一方面
[00:08:19 - 00:08:22] COWA5却处于盈利的1157的状态
[00:08:22 - 00:08:25] 2024年的净亏损高达8.63亿美元
[00:08:25 - 00:08:27] 而且亏损的规模还在持续的扩大
[00:08:28 - 00:08:30] 这一增一亏就形成了鲜明的对比
[00:08:30 - 00:08:33] 反映出了COWA5当前负重前行的现状
[00:08:33 - 00:08:34] 一方面
[00:08:34 - 00:08:37] 它站在了AI算力这个高速发展的风口上
[00:08:37 - 00:08:40] 受益于市场对于AI算力的强劲需求
[00:08:40 - 00:08:41] 营收实现了快速的增长
[00:08:42 - 00:08:43] 但是另一方面
[00:08:43 - 00:08:44] 它也面临着巨大的压力
[00:08:44 - 00:08:46] 巨額的債務和高昂的運營成本
[00:08:46 - 00:08:48] 讓公司陷入了虧損的困境
[00:08:48 - 00:08:49] 不過
[00:08:49 - 00:08:51] Cowave之所以虧損
[00:08:51 - 00:08:53] 並不是因為它的業務能力不行
[00:08:53 - 00:08:55] 而是由自己的發展模式所決定的
[00:08:55 - 00:08:57] 由於採用的是重資產的模式
[00:08:57 - 00:08:58] 在發展初期
[00:08:58 - 00:09:01] 需要大規模的投入基礎設施的建設
[00:09:01 - 00:09:04] 包括建設數據中心購買大量的GPU
[00:09:04 - 00:09:06] 這些都是非常燒錢的
[00:09:06 - 00:09:07] 所以截止到2024年底
[00:09:07 - 00:09:11] Cowave的債務總額高達129億美元
[00:09:11 - 00:09:12] 但是換個角度來看
[00:09:12 - 00:09:15] 这笔债务也是公司发展的弹药
[00:09:15 - 00:09:19] 而且KOWA5在2024年实现了高达74%的毛利率
[00:09:19 - 00:09:20] 这说明它的核心业务
[00:09:20 - 00:09:23] 也就是提供GPU算利服务
[00:09:23 - 00:09:24] 本身是盈利的
[00:09:24 - 00:09:27] 只是利润被高昂的运营费用给吃掉了
[00:09:27 - 00:09:31] 另外它的债务主要是通过抵押RPU和资产获得的
[00:09:31 - 00:09:34] 这也侧面表明市场对于KOWA5未来的营收
[00:09:34 - 00:09:35] 还是有一定信心的
[00:09:35 - 00:09:39] 那么KOWA5什么时候才能减负实现盈利呢
[00:09:39 - 00:09:41] 这个就要取决于多个关键的因素了
[00:09:41 - 00:09:43] 首先是规模效应
[00:09:43 - 00:09:45] 随着业务的不断扩大
[00:09:45 - 00:09:46] 能否降低单位的成本
[00:09:46 - 00:09:49] 其次高负价值的软件服务
[00:09:49 - 00:09:51] 能否进一步的提升盈利空间
[00:09:51 - 00:09:53] 再者在客户的拓展方面
[00:09:53 - 00:09:55] 现有客户能否持续加大合作力度
[00:09:55 - 00:09:57] 新客户能否顺利的加入
[00:09:57 - 00:09:59] 最后也是最重要的
[00:09:59 - 00:10:02] 那150亿美元的RPU能否如期的变现
[00:10:02 - 00:10:04] 可以说
[00:10:04 - 00:10:05] 夸位物的盈利之路
[00:10:05 - 00:10:06] 注定会充满挑战
[00:10:06 - 00:10:07] 对于投资者们来说
[00:10:07 - 00:10:09] 在关注夸位物的时候
[00:10:09 - 00:10:11] 需要保持耐心和理性
[00:10:11 - 00:10:13] 全面了解公司的情况
[00:10:13 - 00:10:15] 评估投资的风险和收益
[00:10:15 - 00:10:17] 再做出是否要压住的决策
[00:10:17 - 00:10:18] 在AS算理市场
[00:10:18 - 00:10:21] Covid-V可以说还是一个新兵蛋子
[00:10:21 - 00:10:23] 他要面临的对手是AWS
[00:10:23 - 00:10:26] Azure,GCP等等行业的传统巨头
[00:10:26 - 00:10:28] 这些巨头拥有许多优势
[00:10:28 - 00:10:30] 首先是庞大的数据中心网络
[00:10:30 - 00:10:32] 他们遍布全球各地
[00:10:32 - 00:10:35] 这种广泛的布局带来了显著的规模效应
[00:10:35 - 00:10:36] 能够降低运营成本
[00:10:36 - 00:10:37] 在资金方面
[00:10:37 - 00:10:39] 这些巨头也是财大其粗
[00:10:39 - 00:10:41] 用着充足的资金
[00:10:41 - 00:10:42] 可以不断的投入大量的资源
[00:10:42 - 00:10:44] 进行技术创新和业务扩展
[00:10:45 - 00:10:47] 而且他们在市场上拥有极高的
[00:10:47 - 00:10:48] 支援度和美誉度
[00:10:48 - 00:10:51] 这使得他们更加容易获得客户的信任和青睐
[00:10:51 - 00:10:55] 此外 巨头们还构建了完善的云计算生态
[00:10:55 - 00:10:56] 能够提供全方位的服务
[00:10:56 - 00:10:58] 满足客户多样化的需求
[00:10:58 - 00:11:01] 最后他们拥有庞大的客户群体
[00:11:01 - 00:11:03] 在打包销售ai算力方面
[00:11:03 - 00:11:04] 具有明显的优势
[00:11:04 - 00:11:06] 客户可以在一个平台上
[00:11:06 - 00:11:07] 一战士的解决多种需求
[00:11:08 - 00:11:10] 在这样强大的竞争对手面前
[00:11:10 - 00:11:12] 扣位物想要突围难度可想而知
[00:11:12 - 00:11:16] 不过扣位物并没有选择与巨头们正面的硬钢
[00:11:16 - 00:11:19] 而是另辟西境采用了差异化的竞争策略
[00:11:19 - 00:11:22] 明确了自己AI Hyper Scaler的定位
[00:11:22 - 00:11:25] 将全部的资源和经历都集中在了AI算力领域
[00:11:25 - 00:11:28] 不涉足其他的通用银计算业务
[00:11:28 - 00:11:31] 从底层的硬件设施搭建到上层的软件系统优化
[00:11:31 - 00:11:34] 都围绕着AI应用场景进行专门的设计
[00:11:34 - 00:11:38] 从而为客户提供更加专业高效的AI算力服务
[00:11:38 - 00:11:42] 除了构建高密度的GPU集群和软硬一起的解决方案之外
[00:11:42 - 00:11:46] CoA5还与AI领域的各类企业建立了广泛的合作关系
[00:11:46 - 00:11:48] 试图构建自己的AI生态系统
[00:11:48 - 00:11:50] 另外在能耗方面
[00:11:50 - 00:11:53] CoA5还积极建立了绿色算力的理念
[00:11:53 - 00:11:56] 通过夜冷散热和可再生能源的利用
[00:11:56 - 00:11:58] 再为AI发展提供强大算力的同时
[00:11:58 - 00:12:00] 努力降低对环境的影响
[00:12:00 - 00:12:02] 朝着可持续发展的目标卖机
[00:12:02 - 00:12:06] 展望未来 AI算力市场的发展潜力无疑是巨大的
[00:12:06 - 00:12:09] 尽管COWA5目前还没有实现盈利
[00:12:09 - 00:12:11] 但是也展示出了自己在技术创新
[00:12:11 - 00:12:14] 市场定位以及可持续发展方面的潜力
[00:12:14 - 00:12:17] 而至于那150亿美元的远期支票能否兑现
[00:12:17 - 00:12:19] 只能交给时间来检验了
[00:12:19 - 00:12:22] 我们频道也会对COWA5保持关注
[00:12:22 - 00:12:25] 看看它是否能够在巨头的包围中杀出一条血路
[00:12:25 - 00:12:28] 再次提示 投资有风险 大家需谨慎
[00:12:28 - 00:12:30] 感谢收看本期视频 我们下期再见
