BV号：BV1gvAxedEE5
标题：BV1gvAxedEE5
链接：https://www.bilibili.com/video/BV1gvAxedEE5
识别语言：zh
语言置信度：1
分段数：368
生成时间：2026-08-30 12:50:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技飞速发展的今天
[00:04:31 - 00:04:34] 另一方面是他希望能够住在海滩附近去冲烙
[00:04:34 - 00:04:37] 然而入职之后他发现工作与预期有一些不同
[00:04:37 - 00:04:39] 他被分配到了一个小组
[00:04:39 - 00:04:41] 主要的工作是修理测试设备
[00:04:41 - 00:04:43] 虽然也参与了一些逻辑设计工作
[00:04:43 - 00:04:46] 但是大部分的时间都花在了修理东西上
[00:04:46 - 00:04:49] 不過這段經歷也為他積累了寶貴的實踐經驗
[00:04:49 - 00:04:53] 讓他對於各種設備的原理和問題解決有了更深入的理解
[00:04:53 - 00:04:57] 之後吉姆凱勒看到了數字設備公司的招聘廣告
[00:04:57 - 00:04:59] 他希望回到北方離家人更近一些
[00:04:59 - 00:05:02] 於是去應聘了實中設計師的職位
[00:05:02 - 00:05:05] 在面試之前他還去雷神公司面試進行練習
[00:05:05 - 00:05:08] 雖然雷神公司當場給他提供了工作機會
[00:05:08 - 00:05:09] 但是他拒絕了
[00:05:09 - 00:05:11] 最終他重工加入了數字設備公司
[00:05:11 - 00:05:13] 剛進入公司的時候
[00:05:13 - 00:05:16] 对于计算机架构和缓存之类的知识了解甚少
[00:05:16 - 00:05:19] 但是他凭借着自己的学习能力和自信
[00:05:19 - 00:05:20] 迅速投入到了工作中
[00:05:20 - 00:05:22] 他在飞机上阅读相关的手册
[00:05:22 - 00:05:23] 进入公司后
[00:05:23 - 00:05:25] 积极地向同事们请教问题
[00:05:25 - 00:05:28] 随后他被分配到了VX8800小组工作
[00:05:28 - 00:05:29] 在这个小组中
[00:05:29 - 00:05:32] 他参与了缓存子系统的逻辑设计工作
[00:05:32 - 00:05:33] 随着工作的深入
[00:05:33 - 00:05:36] 他逐渐掌握了计算机架构的知识
[00:05:36 - 00:05:39] 学会了如何进行性能建模和调试计算机
[00:05:39 - 00:05:40] 在这个过程中
[00:05:40 - 00:05:42] 他也遇到了许多优秀的同事
[00:05:43 - 00:05:44] 他受益匪淺
[00:05:44 - 00:05:46] 他還參與了多個項目
[00:05:46 - 00:05:49] 包括VX8800後續型號的開發
[00:05:49 - 00:05:50] 雖然這些型號
[00:05:50 - 00:05:51] 因為政治原因和技術問題
[00:05:51 - 00:05:53] 最終都被取消了
[00:05:53 - 00:05:55] 但是他在項目中積累了豐富的經驗
[00:05:55 - 00:05:57] 為日後的發展打下了堅實的基礎
[00:05:57 - 00:06:00] 在數字設備公司工作一段時間之後
[00:06:00 - 00:06:02] 吉姆凱勒加入了AMD公司
[00:06:02 - 00:06:03] 他加入AMD的契機
[00:06:03 - 00:06:05] 是之前在數字設備公司的同事
[00:06:05 - 00:06:07] 德克曼爾去了AMD
[00:06:07 - 00:06:08] 並且領導K7項目
[00:06:08 - 00:06:10] 邀請他加入
[00:06:10 - 00:06:11] 當時AMD在處理器市場
[00:06:11 - 00:06:13] 面臨著激烈的競爭
[00:06:13 - 00:06:16] 之前的產品大多是對英特爾處理器的演魔復刻
[00:06:16 - 00:06:19] K5是AMD自主設計的第一款處理器
[00:06:19 - 00:06:21] 但是也面臨著許多的困難
[00:06:21 - 00:06:23] 之後AMD收購了Next Gen
[00:06:23 - 00:06:25] 推出了K6處理器
[00:06:25 - 00:06:27] 吉姆凱勒參與了K7和K8項
[00:06:27 - 00:06:31] K7在架構上與它之前設計的EV6有些相似
[00:06:31 - 00:06:34] 但是在X86指令處理上採用了紅指令架構
[00:06:34 - 00:06:36] 到了K8項
[00:06:36 - 00:06:39] 它們的目標是讓架構更加偏向於V操作架構
[00:06:39 - 00:06:40] 並且支持64位
[00:06:40 - 00:06:43] 吉姆凱勒作為X8664規範
[00:06:43 - 00:06:45] HyperTransplot規範的主要作者之一
[00:06:45 - 00:06:47] 對芯片架構進行了重大的更新
[00:06:47 - 00:06:50] 最終K8成為了Operture處理器
[00:06:50 - 00:06:52] 在市場上取得了一定的成績
[00:06:52 - 00:06:53] 離開AMD之後
[00:06:53 - 00:06:55] 吉姆凱勒加入了出狀公司SciBit
[00:06:55 - 00:06:58] 他在SciBit的經歷也十分豐富
[00:06:58 - 00:07:00] 當時公司由丹多伯普爾擔任CEO
[00:07:00 - 00:07:02] 他們開發的是Mips處理器
[00:07:02 - 00:07:05] 並且在此技術上打造了網絡SOC
[00:07:05 - 00:07:08] 這個SOC集成了千兆以太網控制器
[00:07:08 - 00:07:10] 内存控制器 处理器和一些加速功能
[00:07:10 - 00:07:13] 他们与成百上千的网络公司进行交流
[00:07:13 - 00:07:15] 根据客户的需求来设计产品
[00:07:15 - 00:07:16] 在这个过程中
[00:07:16 - 00:07:19] 吉姆凯勒结实了许多行业内的重要人物
[00:07:19 - 00:07:21] 比如说安迪 贝克托尔斯海姆
[00:07:21 - 00:07:22] 和Sysco的相关人士
[00:07:22 - 00:07:25] 最终SciBite被博通收购
[00:07:25 - 00:07:27] 吉姆凯勒也随之加入了博通
[00:07:27 - 00:07:30] 在博通他接触到了全新的处理器用空间
[00:07:30 - 00:07:32] 学习到了如何构建网络计算机平台
[00:07:32 - 00:07:36] 包括数据平面 控制平面和NSE等不同部分的组成
[00:07:36 - 00:07:40] 他還與博通的聯合創神亨利.薩妙利一起工作
[00:07:40 - 00:07:44] 從他身上學到了很多關於技術發展趨勢的分析和預測方法
[00:07:44 - 00:07:45] 離開了博通之後
[00:07:45 - 00:07:47] 吉姆凱勒參與創辦了PA3M公司
[00:07:47 - 00:07:50] 這家公司最初是作為SciBat的重啟
[00:07:50 - 00:07:52] 獲得了PowerPC的架構許可
[00:07:52 - 00:07:55] 他們的目標是設計一款性能更為強大的處理器
[00:07:55 - 00:07:58] 將1GHz的處理器升級到10GHz
[00:07:58 - 00:08:01] 並且在架構設計上更為激進的實現數據流操作
[00:08:01 - 00:08:04] 同時他們還注重降低功耗
[00:08:04 - 00:08:05] 因為在網路處理器領域
[00:08:05 - 00:08:07] 公号是一个关键的因素
[00:08:07 - 00:08:10] 团队在时钟门控和低功耗电路设计方面
[00:08:10 - 00:08:11] 做的非常出色
[00:08:11 - 00:08:14] 使得这款处理器在当时具有一定的优势
[00:08:14 - 00:08:16] 然而在流骗出能够工作的部件之后
[00:08:16 - 00:08:18] 公司被苹果收购
[00:08:18 - 00:08:20] 吉姆凯勒也随后加入了苹果公司
[00:08:20 - 00:08:23] 实际上苹果收购PA3的契机
[00:08:23 - 00:08:25] 是因为当时苹果正在与三星合作打到
[00:08:25 - 00:08:27] 一击赫兹的ARM处理器
[00:08:27 - 00:08:28] 遇到了一些问题
[00:08:28 - 00:08:30] 曾经与他在数字设备公司
[00:08:30 - 00:08:32] 共识过的同事向他求助
[00:08:32 - 00:08:35] 后来单多伯普尔建议苹果收购PA3
[00:08:35 - 00:08:37] 最终采纳了这个建议
[00:08:37 - 00:08:38] 吉姆凯勒加入苹果之后
[00:08:38 - 00:08:40] 参与了多个iPhone芯片的设计工作
[00:08:41 - 00:08:43] 当时苹果的处理器设计还处于发展阶段
[00:08:43 - 00:08:45] 第一款iPhone芯片是基于ARM加购
[00:08:45 - 00:08:46] 由三星组装
[00:08:46 - 00:08:48] 存在着内存延迟高
[00:08:48 - 00:08:49] 性能弱等等问题
[00:08:50 - 00:08:52] 吉姆凯勒和团队对后续的芯片
[00:08:52 - 00:08:53] 进行了大量的优化
[00:08:53 - 00:08:55] 比如说H3芯片的优化
[00:08:55 - 00:08:57] H4芯片中加入了强大的图形单元
[00:08:58 - 00:08:59] H5芯片的交付
[00:08:59 - 00:09:00] 以及H6芯片的大规模
[00:09:00 - 00:09:02] 乱续计算机设计等等
[00:09:02 - 00:09:05] 在苹果他不仅在记录上取得了重要突破
[00:09:05 - 00:09:07] 还学习到了苹果独特的设计方法论
[00:09:07 - 00:09:09] 可以愿景驱动的企业文化
[00:09:09 - 00:09:12] 但在史蒂夫-乔布斯和他的老板
[00:09:12 - 00:09:13] 麦克·卡尔伯特去世之后
[00:09:13 - 00:09:15] 吉姆凯勒选择离开了苹果
[00:09:15 - 00:09:16] 重回AMD
[00:09:16 - 00:09:18] 当时的AMD正处于困境之中
[00:09:18 - 00:09:21] 服务器芯片市场份额大幅的下降
[00:09:21 - 00:09:22] 产品竞争力不足
[00:09:22 - 00:09:24] 时任AMD CEO罗德·利德
[00:09:24 - 00:09:26] 邀请吉姆凯勒加入
[00:09:26 - 00:09:27] 希望他能够负责技术
[00:09:27 - 00:09:29] 设计出具有竞争力的芯片
[00:09:32 - 00:09:34] 他面临着许多的挑战
[00:09:34 - 00:09:35] 比如说方法论不完善
[00:09:35 - 00:09:37] 团队组织不合理
[00:09:37 - 00:09:38] 架构存在问题
[00:09:38 - 00:09:40] 以及与代工厂的合作困境等等
[00:09:40 - 00:09:42] 但是他很快明确了改进的方向
[00:09:42 - 00:09:44] 通过与团队的努力
[00:09:44 - 00:09:45] 对架构进行了一系列的调整
[00:09:45 - 00:09:47] 设定了严格的性能目标
[00:09:47 - 00:09:49] 比如说芯片的面积
[00:09:49 - 00:09:50] 公公号和频率等等
[00:09:50 - 00:09:52] 最终经过4年的努力
[00:09:52 - 00:09:54] 他们成功交付了产品
[00:09:54 - 00:09:56] 提升了AMD在市场上的竞争力
[00:09:56 - 00:09:57] 离开AMD之后
[00:09:57 - 00:09:59] 吉姆凯勒加入了特斯拉
[00:09:59 - 00:10:00] 他加入特斯拉的契机
[00:10:00 - 00:10:02] 是因为道格菲尔德的邀请
[00:10:02 - 00:10:05] 当时特斯拉计划升级自动驾驶硬件
[00:10:05 - 00:10:07] 需要一款性能更为强大的芯片
[00:10:07 - 00:10:08] 吉姆凯勒在面试的时候
[00:10:08 - 00:10:10] 向Elon Musk承诺
[00:10:10 - 00:10:13] 18个月内做出能够驱动汽车的计算机芯片
[00:10:13 - 00:10:16] 最终他带领团队只用了14个月就完成了流片
[00:10:16 - 00:10:18] 4个月在工厂生产
[00:10:18 - 00:10:21] 两个月启动软件创造了世界纪录
[00:10:21 - 00:10:22] 他们使用了三星的技术
[00:10:22 - 00:10:24] 设计了一款独特的芯片
[00:10:24 - 00:10:27] 同时采用了皮特班农关于AI引擎的创新想法
[00:10:27 - 00:10:28] 简化了编译器
[00:10:30 - 00:10:33] 特斯拉他與艾洛馬斯克保持著密切的互動
[00:10:33 - 00:10:35] 向他解釋芯片相關的技術問題
[00:10:35 - 00:10:38] 同時也從艾洛馬斯克的思維方式中學到了很多
[00:10:38 - 00:10:40] 之後吉姆凱勒加入了英特爾
[00:10:40 - 00:10:42] 當時的英特爾擁有強大的技術實力
[00:10:42 - 00:10:44] 比如說最好的工廠
[00:10:44 - 00:10:46] CPU技術和CrossPoint的內存等等
[00:10:46 - 00:10:48] 但是他也發現
[00:10:48 - 00:10:49] 英特爾存在著一些問題
[00:10:49 - 00:10:50] 設計工具老舊
[00:10:50 - 00:10:52] 設計流程不合理
[00:10:52 - 00:10:55] 他試圖對英特爾的芯片工程團隊進行改革
[00:10:55 - 00:10:57] 引入新的設計理念和流程
[00:10:57 - 00:10:59] 但是在這個過程中遇到了一些困難
[00:10:59 - 00:11:00] 由于公司的规模庞大
[00:11:00 - 00:11:01] 组织架构复杂
[00:11:01 - 00:11:03] 改革并非一番丰顺
[00:11:03 - 00:11:05] 最终吉姆凯乐选择离开了英特尔
[00:11:05 - 00:11:07] 自己创判了Tenns Tower的公司
[00:11:07 - 00:11:10] 我们之前也做过一期介绍的视频
[00:11:10 - 00:11:11] 他创判这家公司的原因
[00:11:11 - 00:11:13] 是希望在AI领域有所建设
[00:11:13 - 00:11:15] 同时他看到了Risk 5处理器
[00:11:15 - 00:11:17] 在AI领域的潜力
[00:11:17 - 00:11:18] Tenns Tower的公司
[00:11:18 - 00:11:19] 致力于设计AI处理器
[00:11:19 - 00:11:21] AI软件和CPU
[00:11:21 - 00:11:23] 构建基于Risk 5处理器的AI技术
[00:11:23 - 00:11:25] 他们的产品主要用于通用AI计算
[00:11:25 - 00:11:29] 核心是由Risk 5处理器提供支持的张量处理器
[00:11:29 - 00:11:31] 公司经历了不同的发展阶段
[00:11:31 - 00:11:33] 从研发到工程再到产品交付
[00:11:33 - 00:11:35] 逐渐成长为了一家产品公司
[00:11:35 - 00:11:37] 他们的客户群体非常广泛
[00:11:37 - 00:11:39] 包括AI的初创公司
[00:11:39 - 00:11:41] 数据中心 研究实验室等等
[00:11:41 - 00:11:42] 公司不仅销售芯片
[00:11:42 - 00:11:44] 还提供IP的授权服务
[00:11:44 - 00:11:46] 来满足不同客户的需求
[00:11:46 - 00:11:47] 在个人生活方面
[00:11:47 - 00:11:49] 金凯乐结婚20多年了
[00:11:49 - 00:11:50] 有两个孩子
[00:11:50 - 00:11:52] 他在工作之余非常喜欢体育锻炼
[00:11:52 - 00:11:54] 玩翻版 滑雪和举重
[00:11:54 - 00:11:56] 都是他热爱的运动
[00:11:56 - 00:11:57] 不过由于膝盖的问题
[00:11:57 - 00:11:59] 他现在不得不停止跑步
[00:11:59 - 00:12:01] 同时他也保持着阅读的习惯
[00:12:01 - 00:12:04] 尽管现在获取信息的渠道更加多样了
[00:12:04 - 00:12:05] 但是他依然认为
[00:12:05 - 00:12:07] 读书是获取知识的重要方式
[00:12:07 - 00:12:08] 作为CEO
[00:12:08 - 00:12:10] 他在管理公司的过程中
[00:12:10 - 00:12:12] 不断学习和借鉴不同人的管理经验
[00:12:12 - 00:12:14] 逐渐形成了自己独特的管理风格
[00:12:14 - 00:12:16] 从这次采访中我们可以看到
[00:12:16 - 00:12:19] 吉姆凯勒的职业生涯充满了挑战与机遇
[00:12:19 - 00:12:21] 他凭借着自己的创新精神、学习能力
[00:12:21 - 00:12:23] 和对于技术的执着追求
[00:12:23 - 00:12:25] 在半导体行业留下了深刻的印记
[00:12:25 - 00:12:27] 他参与设计的处理器
[00:12:27 - 00:12:28] 推动了计算机硬件的发展
[00:12:29 - 00:12:31] 他的经历也为我们展现了科技行业
[00:12:31 - 00:12:32] 不断创新和进步的历程
[00:12:32 - 00:12:34] 希望通过今天的分享
[00:12:34 - 00:12:35] 能让大家对于吉姆凯乐
[00:12:35 - 00:12:37] 这位传奇的CPU架构师
[00:12:37 - 00:12:38] 有更为深入的了解
[00:12:38 - 00:12:40] 也能够对半导体行业的发展
[00:12:40 - 00:12:41] 有更多的认识
[00:12:41 - 00:12:43] 建议大家有时间去看一下原视频
[00:12:43 - 00:12:45] 感谢大家观看本期视频
[00:12:45 - 00:12:46] 我们下期再见
