BV号：BV1JRL96FEBw
标题：BV1JRL96FEBw
链接：https://www.bilibili.com/video/BV1JRL96FEBw
识别语言：zh
语言置信度：1
分段数：238
生成时间：2026-08-29 18:06:17

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你最近有没有这种感觉
[00:03:59 - 00:04:04] 这就逼着审查者必须把整个系统架构装在脑子里去教验他
[00:04:04 - 00:04:07] 第三点看似合理的废话太多
[00:04:07 - 00:04:09] 这在业内叫plausible but hollow
[00:04:09 - 00:04:12] AI特别擅长写那种乍一看非常专业
[00:04:12 - 00:04:14] 结构极其严谨
[00:04:14 - 00:04:15] 但仔细一推敲
[00:04:15 - 00:04:18] 发现全是废话的防御性代码
[00:04:18 - 00:04:20] 你要在这一大堆华丽的包装里
[00:04:20 - 00:04:24] 找出那个真正起作用的核心逻辑简直是大海捞针
[00:04:24 - 00:04:27] 好,既然传统的主行审查已经行不通了
[00:04:27 - 00:04:28] 那我们该怎么办?
[00:04:28 - 00:04:30] 网上有很多极端言论
[00:04:30 - 00:04:33] 有人说全靠自动化测试不用看代码了
[00:04:33 - 00:04:36] 也有人说必须找两个高工死死盯着AI的代码
[00:04:36 - 00:04:39] 其实这两种说法都对但也都不对
[00:04:39 - 00:04:40] 为什么?
[00:04:40 - 00:04:43] 因为他们忽略了一个最关键的变量
[00:04:43 - 00:04:45] 你到底在什么样的团队里
[00:04:45 - 00:04:48] 如果你拿大厂那套严防死守的流程
[00:04:48 - 00:04:50] 去套一个只有两个人的出创项目
[00:04:50 - 00:04:51] 那叫没事找事
[00:04:51 - 00:04:54] 反过来如果你拿搞外包的野路子
[00:04:54 - 00:04:55] 去搞金融支付系统
[00:04:55 - 00:04:57] 那叫谋财害命
[00:04:57 - 00:04:58] 所以Adios Money提出了
[00:04:58 - 00:05:00] 一个极其关键的认知升级
[00:05:00 - 00:05:04] 审查策略必须跟着爆炸半径走
[00:05:04 - 00:05:05] 搞砸了会死人吗
[00:05:05 - 00:05:08] 代码要维护10年还是下周就扔
[00:05:08 - 00:05:11] 这才是决定你怎么审查的核心干货来了
[00:05:11 - 00:05:13] 我们把团队分成三种情况
[00:05:13 - 00:05:13] 直接给方案
[00:05:13 - 00:05:15] 第一种 单人游击队
[00:05:15 - 00:05:17] 你自己搞个独立开发
[00:05:17 - 00:05:18] 或者做个验证员形的demo
[00:05:18 - 00:05:20] 这时候审查的知识共享
[00:05:20 - 00:05:22] 属性对你来说就是个伪命题
[00:05:22 - 00:05:23] 你该怎么做
[00:05:23 - 00:05:26] 把审查工作全部外包给自动化测试
[00:05:26 - 00:05:29] 别在代码风格上浪费一秒钟
[00:05:29 - 00:05:32] 但前提是你的测试覆盖率必须够硬
[00:05:32 - 00:05:33] 如果不写测试也不审查
[00:05:33 - 00:05:35] 那你就是在给自己埋雷
[00:05:35 - 00:05:37] 第二种成长型团队
[00:05:37 - 00:05:40] 也就是绝大多数人所在的场景
[00:05:40 - 00:05:41] 有真实用户了
[00:05:41 - 00:05:43] 代码需要几个人一起维护了
[00:05:43 - 00:05:45] 这时候你必须引入分层审查
[00:05:45 - 00:05:46] 什么意思
[00:05:46 - 00:05:49] 脏活累活让机器干
[00:05:49 - 00:05:52] 静态分析安全扫描全塞进CI CD
[00:05:52 - 00:05:54] 然后人类指定三件事
[00:05:54 - 00:05:56] 核心业务逻辑对不对
[00:05:56 - 00:05:57] 架构有没有被带偏
[00:05:57 - 00:06:00] 代码背后的知识有没有同步给其他人
[00:06:00 - 00:06:02] 千万别让你们的高级工程师
[00:06:02 - 00:06:05] 去抠AI写的循环校不高校
[00:06:05 - 00:06:07] 让他们去想这个循环到底该不该存在
[00:06:07 - 00:06:08] 第三种
[00:06:08 - 00:06:10] 企业级重型系统
[00:06:10 - 00:06:12] 比如你们公司的核心交易链路
[00:06:12 - 00:06:15] 这种史山代码爆炸半径极大
[00:06:15 - 00:06:16] 这时候你必须玩硬的稿
[00:06:16 - 00:06:17] 证据驱动审查
[00:06:17 - 00:06:20] 坚决拒收只有代码的 AIPR
[00:06:20 - 00:06:22] 你用 AI 生成的代码是吧
[00:06:22 - 00:06:24] 行在 Prompt 里加上一句
[00:06:24 - 00:06:26] 必须输出 Decision Log
[00:06:26 - 00:06:26] MD
[00:06:26 - 00:06:30] 逼着 AI 或者提交代码的人把推离轨迹
[00:06:30 - 00:06:33] 必调的被选方案全部写清楚
[00:06:33 - 00:06:35] 你不给我看你的内心戏
[00:06:35 - 00:06:36] 我就不给你 Merge
[00:06:36 - 00:06:37] 看到这里你可能会问
[00:06:37 - 00:06:40] 就算我分层了要了决策日治
[00:06:40 - 00:06:42] 可代码量还是太大
[00:06:42 - 00:06:44] 我还是看不过来
[00:06:44 - 00:06:46] 这就引出了今天最硬核的实操部分
[00:06:46 - 00:06:50] 用AI审查AI也就是所谓的loop engineering
[00:06:50 - 00:06:52] 既然机器产出太快,那我们就放狗咬狗
[00:06:52 - 00:06:55] 在你的CI流程里挂一个专门做review的agent
[00:06:55 - 00:06:58] 比如你用cloud code,你可以给它定一个死规矩
[00:06:58 - 00:07:01] go检查这个PR里的所有改动
[00:07:01 - 00:07:02] 确认有没有违反我们在
[00:07:02 - 00:07:03] architecture
[00:07:03 - 00:07:06] MD里规定的加购原则
[00:07:06 - 00:07:07] 有没有引入循环依赖
[00:07:07 - 00:07:10] 让这个agent在活人看到PR之前先跑一圈
[00:07:10 - 00:07:14] 这就相当于你顾了一个不知疲倦的出击审核员
[00:07:14 - 00:07:16] 他能帮你挡掉一大半那种看着
[00:07:16 - 00:07:19] 像模像样其实全是废话的垃圾代码
[00:07:19 - 00:07:22] 只有过了机器这一关的高质量代码
[00:07:22 - 00:07:25] 才配送到人类工程师的面前
[00:07:25 - 00:07:27] 最后我想说点掏心窝子的话
[00:07:27 - 00:07:30] 很多人觉得AI把写代码的门槛降到了地板上
[00:07:30 - 00:07:32] 程序员是不是要失业了
[00:07:32 - 00:07:33] 恰恰相反
[00:07:33 - 00:07:36] 把代码敲进电脑里这本来就是个机械劳动
[00:07:36 - 00:07:37] AI颠覆了这部分
[00:07:37 - 00:07:40] 但他把软件工程的真正灵魂放大了
[00:07:40 - 00:07:42] 这个灵魂就是理解复杂系统
[00:07:42 - 00:07:45] 吃透业务意图对最终结果负责
[00:07:45 - 00:07:47] 未来的顶级工程师
[00:07:47 - 00:07:51] 绝对不是那个一天能用AI生成一万行代码的人
[00:07:51 - 00:07:52] 而是那个摸透了整个系统
[00:07:52 - 00:07:55] 有底气指着这对机器生成的代码说
[00:07:55 - 00:07:58] 我担保这玩意能跑的人
[00:07:58 - 00:08:00] 你不再是一个无情的代码输出机器
[00:08:00 - 00:08:03] 你正在进化成AI代理的包工头
[00:08:03 - 00:08:05] 以及最重要的信任的守护者
[00:08:05 - 00:08:07] 这就是代码审查的终局
[00:08:07 - 00:08:09] 也是我们每一个程序员的新起点
[00:08:09 - 00:08:12] 好,这就是本期视频的全部内容
[00:08:12 - 00:08:14] 我想问问屏幕前的你
[00:08:14 - 00:08:17] 你们团队现在是怎么审查AI生成的代码了
[00:08:17 - 00:08:20] 有没有遇到过那种极其离谱的AI幻觉代码
[00:08:20 - 00:08:23] 欢迎在评论区把你的痛苦打在公屏上
[00:08:23 - 00:08:24] 我们一起吐槽
[00:08:24 - 00:08:27] 如果你觉得这期视频把问题说透了
[00:08:27 - 00:08:28] 别忘了给个一键三连
[00:08:28 - 00:08:30] 顺便点个关注
[00:08:30 - 00:08:31] 我是为什么叫QQ
[00:08:31 - 00:08:33] 我们下期视频再见
