BV号：BV1UCX8Y6E9H
标题：BV1UCX8Y6E9H
链接：https://www.bilibili.com/video/BV1UCX8Y6E9H
识别语言：zh
语言置信度：1
分段数：350
生成时间：2026-08-30 10:26:33

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 我们都知道如今AI发展的一个基石
[00:03:10 - 00:03:11] 当使用两个模型副本
[00:03:11 - 00:03:13] 也就是M等于2的时候
[00:03:13 - 00:03:16] Dlocke在模型参数达到几十亿以上的时候
[00:03:16 - 00:03:18] 损失会比数据病情更低
[00:03:18 - 00:03:21] 研究人员通过训练了一系列不同规模的模型
[00:03:21 - 00:03:24] 从3500万参数到100亿参数不等
[00:03:24 - 00:03:25] 验证了这个预测
[00:03:26 - 00:03:27] 在实验中他们发现
[00:03:27 - 00:03:31] 随着模型规模从2-25四方增长到2-31四方
[00:03:31 - 00:03:34] 使用1-2-4-8个模型副本的低落口
[00:03:34 - 00:03:37] 和数据并行的评估损失的都在下降
[00:03:37 - 00:03:39] 但是低落口的损失下降的更为明显
[00:03:39 - 00:03:41] 尤其是在M值较大的时候
[00:03:42 - 00:03:44] 这表明低落口在处理大规模模型的时候
[00:03:44 - 00:03:46] 能够更好的优化模型的性能
[00:03:47 - 00:03:47] 第三
[00:03:47 - 00:03:50] 低落口在带宽需求方面也具有巨大的优势
[00:03:50 - 00:03:54] 他所需要的带宽比数据病情训练少了几个数量级
[00:03:54 - 00:03:58] 这对于在多个数据中心进行大规模模型训练来说
[00:03:58 - 00:03:59] 是一个至关重要的优势
[00:03:59 - 00:04:01] 在实际的分布式训练场景中
[00:04:01 - 00:04:04] 数据中心之间的网络带宽往往都是有限的
[00:04:04 - 00:04:07] Delocal能够大大降低对于带宽的依赖
[00:04:07 - 00:04:10] 使得在多个数据中心训练超大规模模型成为可能
[00:04:10 - 00:04:14] 此外Delocal能够容忍比数据病情训练大得多的p大小
[00:04:14 - 00:04:19] 在训练过程中p大小的选择对于模型的性能有着重要的影响
[00:04:19 - 00:04:21] 较大的p大小可以提高训练的效率
[00:04:21 - 00:04:23] 但是传统的数据病情训练
[00:04:23 - 00:04:25] 在p大小增大的时候
[00:04:25 - 00:04:26] 容易出现性能下降的问题
[00:04:26 - 00:04:28] 而Deloco则不同
[00:04:28 - 00:04:30] 它不仅能够支持更大的p大小
[00:04:30 - 00:04:32] 而且在p大小变化的时候
[00:04:32 - 00:04:33] 表现得更加稳定
[00:04:33 - 00:04:35] 实验结果显示
[00:04:35 - 00:04:36] Deloco提高了最佳p大小
[00:04:36 - 00:04:38] 并且最佳全局p大小
[00:04:38 - 00:04:41] 可以随着副本数M的增大而变大
[00:04:41 - 00:04:44] 例如在5500万参数的模型训练中
[00:04:44 - 00:04:47] 数据病情训练在p大小较小的时候
[00:04:47 - 00:04:48] 评估损失最低
[00:04:48 - 00:04:51] 而低落口在p大小更大的时候表现更优
[00:04:51 - 00:04:54] 在Helioswag数据级上的灵氧本准确率测试中
[00:04:54 - 00:04:56] 即使在较小的模型规模下
[00:04:56 - 00:04:58] 低落口在m等于2的时候
[00:04:58 - 00:05:02] 也能够在更大的全局p大小下实现更高的准确率
[00:05:02 - 00:05:05] 这说明低落口在横向扩展能力上
[00:05:05 - 00:05:07] 比数据并行训练更加就有优势
[00:05:07 - 00:05:09] 为了验证这些发现
[00:05:09 - 00:05:11] 研究人员还进行了一系列严谨的实验
[00:05:11 - 00:05:13] 在实验中他们采用了类似于
[00:05:13 - 00:05:16] Tricerat的纯解码器Transformer架构
[00:05:16 - 00:05:18] 并且加入了QK Layer Known技术
[00:05:18 - 00:05:20] QK LayerNorm是一种改进的
[00:05:20 - 00:05:21] 层规化技术
[00:05:21 - 00:05:23] 主要用于Transformer架构中的
[00:05:23 - 00:05:24] 自助于力机制
[00:05:24 - 00:05:25] 它可以降低模型
[00:05:25 - 00:05:26] 对于学习率的敏感性
[00:05:26 - 00:05:28] 使得训练更加的稳定
[00:05:28 - 00:05:30] 同时 研究人员还使用了
[00:05:30 - 00:05:32] ZLOSS政策化来进一步提高
[00:05:32 - 00:05:33] 训练的稳定性
[00:05:33 - 00:05:35] 实验使用的词汇量
[00:05:35 - 00:05:37] 为32768个
[00:05:37 - 00:05:39] 其中包括32000个
[00:05:39 - 00:05:40] 词汇表内的单词
[00:05:40 - 00:05:41] 以及一些额外的标记
[00:05:41 - 00:05:43] 用来表示句子开头
[00:05:43 - 00:05:44] 和词汇表外的内容
[00:05:44 - 00:05:46] 研究人员将多个许列
[00:05:46 - 00:05:47] 打爆到每个P字中
[00:05:47 - 00:05:50] 最大的序列長度全程固定為2048
[00:05:50 - 00:05:53] 接著他們訓練了一系列不同規模的模型
[00:05:53 - 00:05:55] 這些模型的Transformer層數
[00:05:55 - 00:05:56] 注意力頭的數量
[00:05:56 - 00:05:59] QKV維度和前繪層的隱藏維度各不相同
[00:05:59 - 00:06:02] 比方說3500萬參數的模型
[00:06:02 - 00:06:03] 有6層Transformer層
[00:06:03 - 00:06:04] 8個注意力頭
[00:06:04 - 00:06:06] QKV維度為512
[00:06:06 - 00:06:09] 前繪層隱藏維度為2048
[00:06:09 - 00:06:12] 而1000億參數的模型則有48層Transformer層
[00:06:12 - 00:06:14] 64個注意力頭
[00:06:14 - 00:06:16] QKV維度為4096
[00:06:16 - 00:06:19] 前柜层隐藏维度为16384
[00:06:19 - 00:06:20] 在训练过程中
[00:06:20 - 00:06:24] 研究人员使用了C4数据级的训练级来训练模型
[00:06:24 - 00:06:27] 并且使用C4的验证级作为评估指标
[00:06:27 - 00:06:29] 此外他们还在三个下游任务
[00:06:29 - 00:06:32] HelosVag、Pika和ArkEasy上进行了0样本评估
[00:06:32 - 00:06:35] 从而来更为全面的评估模型的性能
[00:06:35 - 00:06:36] 在优化器的选择上
[00:06:36 - 00:06:39] 数据病情训练和低落口的内层优化
[00:06:39 - 00:06:41] 都使用了AdmW优化器
[00:06:41 - 00:06:42] Beta1设置为0.9
[00:06:42 - 00:06:44] Beta2设置为0.99
[00:06:44 - 00:06:47] 训练开始的时候会有1000步的预热
[00:06:47 - 00:06:49] 然后采用逾旋学术率衰减
[00:06:49 - 00:06:51] 全中衰减参数Lambda设为T的负一四方
[00:06:51 - 00:06:53] 其中T是总训练的部数
[00:06:53 - 00:06:55] 到训练结束的时候
[00:06:55 - 00:06:57] 学术率衰减到峰值的5%
[00:06:57 - 00:06:58] 为了保证训练的稳定性
[00:06:58 - 00:07:00] 他们将内层T度的全局泛数
[00:07:00 - 00:07:03] 采建到1 外层T度不采减
[00:07:03 - 00:07:04] 对于低路口的外层优化
[00:07:04 - 00:07:05] 研究人员使用了
[00:07:05 - 00:07:08] 代Nestral动量的SDD
[00:07:08 - 00:07:11] 动量设为0.9 外层学术率保持不变
[00:07:11 - 00:07:12] 在实验环境方面
[00:07:12 - 00:07:15] 研究人员在谷歌张量处理单元TPU V5e
[00:07:15 - 00:07:17] 和TPU V6e上进行了大部分的实验
[00:07:17 - 00:07:21] 并且在TPU V5上进行了最大规模的实验
[00:07:21 - 00:07:24] 他们假设模型在跨多个数据中心进行训练
[00:07:24 - 00:07:27] 在数据中心的内部使用高带宽的网络
[00:07:27 - 00:07:30] 而跨数据中心则分别设置了高带宽、中带宽
[00:07:30 - 00:07:32] 和低带宽三个网络环境
[00:07:32 - 00:07:34] 以此来模拟不同的实际场景
[00:07:34 - 00:07:35] 通过这些实验
[00:07:35 - 00:07:37] 研究人员得到了许多关键的发现
[00:07:37 - 00:07:39] 在评估损失方面
[00:07:39 - 00:07:41] 当副本数M等于1的时候
[00:07:41 - 00:07:43] 低落口在不同模型规模下
[00:07:43 - 00:07:44] 获得的评估损失
[00:07:44 - 00:07:46] 都比数据病情训练要低
[00:07:46 - 00:07:48] 比方说在3500万参数
[00:07:48 - 00:07:49] 5500万参数
[00:07:49 - 00:07:52] 13亿参数和24亿参数的模型实验中
[00:07:52 - 00:07:54] 低落口的评估损失
[00:07:54 - 00:07:56] 始终低于数据病情训练
[00:07:56 - 00:07:58] 并且随着批大小的增加
[00:07:58 - 00:08:00] 两者之间的差距进一步的扩大
[00:08:00 - 00:08:02] 在Helotswag零样本准确率的测试中
[00:08:02 - 00:08:04] 低落口同样优于数据病情训练
[00:08:04 - 00:08:06] 而且低落口M等于1的表现
[00:08:06 - 00:08:08] 对于批大小的稳定性更强
[00:08:08 - 00:08:10] 即使批大小翻倍甚至翻4倍
[00:08:10 - 00:08:12] 对数据并行的性能影响很大
[00:08:12 - 00:08:15] 但是对低落口几乎没有影响
[00:08:15 - 00:08:17] 在批大小对性能的影响方面
[00:08:17 - 00:08:19] 低落口显著提高了最佳的批大小
[00:08:19 - 00:08:21] 并且最佳全局批大小
[00:08:21 - 00:08:23] 能够随着副本数M的增加而增大
[00:08:23 - 00:08:26] 这意味着低落口在横向扩展能力上
[00:08:26 - 00:08:27] 有了很大的提升
[00:08:27 - 00:08:29] 研究人员通过对不同规模模型
[00:08:29 - 00:08:31] 在不同批大小下的评估损失
[00:08:31 - 00:08:33] 和零样本准确率进行测试
[00:08:33 - 00:08:34] 验证了这个结论
[00:08:34 - 00:08:36] 在几乎所有的情况下
[00:08:36 - 00:08:38] 低落口在較大批大小下的表現
[00:08:38 - 00:08:40] 都由於數據並行訓練
[00:08:40 - 00:08:42] 尤其是在模型規模較大的時候
[00:08:42 - 00:08:44] 這種優勢更加的明顯
[00:08:44 - 00:08:45] 而關於外部學習率
[00:08:45 - 00:08:47] 研究發現最佳的外部學習率
[00:08:47 - 00:08:49] 基本上與模型的規模n無關
[00:08:49 - 00:08:52] 但是會隨著副本數m的變化而變化
[00:08:52 - 00:08:53] 對於足夠大的模型
[00:08:53 - 00:08:56] 也就是n大於等於3.35億參數
[00:08:56 - 00:08:59] 每個m的最佳外部學習率是固定的
[00:08:59 - 00:09:00] 而且m越大
[00:09:00 - 00:09:02] 最佳外部學習率似乎也越大
[00:09:02 - 00:09:05] 這個結果以之前聯邦學習的研究
[00:09:05 - 00:09:06] 是一致的
[00:09:06 - 00:09:07] 表明外层学习率
[00:09:07 - 00:09:09] 应该随着客户端的数量
[00:09:09 - 00:09:10] 相当于低落口中
[00:09:10 - 00:09:12] 模型的副本数量的增加而增加
[00:09:13 - 00:09:14] 这就使得低落口在水平
[00:09:14 - 00:09:16] 扩展上更加的自然
[00:09:16 - 00:09:17] 能够更好的利用计算资源
[00:09:17 - 00:09:19] 缩短总的训练时间
[00:09:19 - 00:09:20] 此外
[00:09:20 - 00:09:22] 低落口不仅仅在正常训练中
[00:09:22 - 00:09:23] 表现出色
[00:09:23 - 00:09:24] 在处理过渡训练的问题上
[00:09:24 - 00:09:26] 也有着独特的优势
[00:09:26 - 00:09:28] 过渡训练可能会导致模型过拟合
[00:09:28 - 00:09:30] 并且消耗大量的计算资源
[00:09:30 - 00:09:31] 然而
[00:09:31 - 00:09:32] 低落口通过增加p大小
[00:09:32 - 00:09:34] 并且减少通信量
[00:09:34 - 00:09:35] 使得在相同的时间内
[00:09:35 - 00:09:37] 可以进行更多的过渡训练
[00:09:37 - 00:09:39] 研究表明使用Dlocal
[00:09:39 - 00:09:40] 通常可以在相同时间内
[00:09:40 - 00:09:43] 进行4倍于数据并行训练的过渡训练
[00:09:43 - 00:09:45] 这位研究模型的性能边界
[00:09:45 - 00:09:47] 提供了更加有力的工具
[00:09:47 - 00:09:47] 好了
[00:09:47 - 00:09:50] 以上就是对Dlocal所展现出来的
[00:09:50 - 00:09:51] Skinloss的介绍了
[00:09:51 - 00:09:52] 从训练方式来看
[00:09:52 - 00:09:54] Dlocal为大规模模型的训练
[00:09:54 - 00:09:56] 提供了一种更为高效
[00:09:56 - 00:09:57] 更具有扩展性的方法
[00:09:57 - 00:09:59] 它解决了数据并行训练
[00:09:59 - 00:10:01] 在通信和内存方面的平静问题
[00:10:01 - 00:10:05] 使得在多个数据中心训练超大规模模型成为可能
[00:10:05 - 00:10:09] 不过这点研究也应该引起我们对于AI未来发展的更多思考
[00:10:09 - 00:10:13] 目前AI模型的发展在很大程度上依赖于齿齿烂模式
[00:10:13 - 00:10:17] 也就是通过投入大量的计算资源和数据来提升模型的性能
[00:10:18 - 00:10:21] 但是这种模式如今也面临着许多的挑战
[00:10:21 - 00:10:23] 一方面前期投入巨大
[00:10:23 - 00:10:25] 科技大厂需要疯狂的建造数据中心
[00:10:25 - 00:10:27] 购买大量的英伟达GPU
[00:10:27 - 00:10:28] 耗费巨额资金
[00:10:28 - 00:10:30] 另一方面随着投入成本的机增
[00:10:30 - 00:10:32] 性能增益却可能越来越小
[00:10:32 - 00:10:34] 性价比正在下降
[00:10:34 - 00:10:36] 而且训练数据也可能正在枯竭
[00:10:36 - 00:10:38] 高质量数据的供应有限
[00:10:38 - 00:10:41] 而AI对于数据的需求却越来越大
[00:10:41 - 00:10:42] 与此同时
[00:10:42 - 00:10:44] 新型的推理模型正在兴起
[00:10:44 - 00:10:47] 像OpenIDO1 O3 DeepStreet R1
[00:10:47 - 00:10:50] 谷歌的GIM9 2.0 Flash Sinking等等新的模型
[00:10:50 - 00:10:52] 都采用了Test of Time Compute
[00:10:52 - 00:10:54] 不再依赖于长时间的预训链
[00:10:54 - 00:10:55] 另外
[00:10:55 - 00:10:56] 混合装夹模型MOE
[00:10:56 - 00:10:59] 也逐渐成为了一种被广泛采用的技术
[00:10:59 - 00:11:01] 他通过训练多个小型的专家模型
[00:11:01 - 00:11:03] 让他们与大模型协同工作
[00:11:03 - 00:11:05] 只在需要的时候调用部分的算力
[00:11:05 - 00:11:07] 从而降低了基础设施的需求
[00:11:07 - 00:11:08] 在这样的背景下
[00:11:08 - 00:11:11] Tichela模式的未来充满了不确定性
[00:11:11 - 00:11:12] 巴克莱资本的顶级分析师
[00:11:12 - 00:11:14] 罗斯·桑德勒就指出
[00:11:14 - 00:11:16] 未来AI行业可能会面临
[00:11:16 - 00:11:17] 两种截然不同的情景
[00:11:17 - 00:11:19] 一种是Tichela继续主导
[00:11:19 - 00:11:22] 巨额算力和数据投入持续的攀升
[00:11:22 - 00:11:23] 第二种是增长停滞
[00:11:23 - 00:11:25] 新型的技术和模型
[00:11:25 - 00:11:26] 可以用更少的资源
[00:11:26 - 00:11:27] 来实现更强的性能
[00:11:27 - 00:11:29] 这两种路径的资本支出差距
[00:11:29 - 00:11:31] 高达3万亿美元以上
[00:11:31 - 00:11:33] 足以影响整个行业的走向
[00:11:33 - 00:11:34] 如果推理模型
[00:11:34 - 00:11:36] Moe等技术不断的成熟
[00:11:36 - 00:11:37] AI可能会走向轻量化
[00:11:37 - 00:11:38] 高效率的未来
[00:11:38 - 00:11:40] 数万亿美元的基础设施投资
[00:11:40 - 00:11:41] 或许不再必要
[00:11:41 - 00:11:44] 但是如果合成数据技术取得了突破
[00:11:44 - 00:11:46] 让齿齿热模式重换升级
[00:11:46 - 00:11:47] 那么算力竞争
[00:11:47 - 00:11:49] 可能会再次卷土重来
[00:11:49 - 00:11:50] 大飞我觉得
[00:11:50 - 00:11:51] 以目前的形式来看
[00:11:51 - 00:11:53] 这两种趋势可能会同时的并存
[00:11:53 - 00:11:54] 一方面资本巨额
[00:11:54 - 00:11:57] 会继续推动算力和基础设设的投入
[00:11:57 - 00:11:59] 另一方面也会有很多小公司
[00:11:59 - 00:12:01] 借助于算法和工程创新来降低成本
[00:12:01 - 00:12:03] 那大家是如何看待这个趋势的呢
[00:12:03 - 00:12:05] 欢迎在评论区留下自己的看法
[00:12:05 - 00:12:07] 感谢大家观看本期视频
[00:12:07 - 00:12:08] 我们下期再见
