BV号：BV1Kz3P6pETa
标题：BV1Kz3P6pETa
链接：https://www.bilibili.com/video/BV1Kz3P6pETa
识别语言：zh
语言置信度：1
分段数：320
生成时间：2026-08-29 19:17:33

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 最近在X上刷到一篇长文
[00:02:51 - 00:02:53] 和极其不可靠的API封装
[00:02:53 - 00:02:55] 只能说智能水平差不多
[00:02:55 - 00:02:57] 但打工条件完全不同
[00:02:57 - 00:03:01] 你硬换更强的大模型也救不了烂透了的工程环境
[00:03:01 - 00:03:03] 好 进入最硬核的重点
[00:03:03 - 00:03:06] 这篇文对我们一线工程师最实在的用法
[00:03:06 - 00:03:08] 就是这张故障定位决策表
[00:03:08 - 00:03:11] 很多人觉得这三层划分太水院派
[00:03:11 - 00:03:15] 但换个角度它其实是正撞到层的精准硬射
[00:03:15 - 00:03:17] 我直接念重点 大家可以准备截图
[00:03:17 - 00:03:18] 正撞1
[00:03:18 - 00:03:21] Agent没法安全访问数据或工具
[00:03:21 - 00:03:24] 这归Harness管 你需要去查工具契约
[00:03:24 - 00:03:27] 全线控制杀箱隔离和上下文注入
[00:03:27 - 00:03:30] 证装2 跨绘画就忘进度
[00:03:30 - 00:03:32] 还是归Harness去排查持久化状态
[00:03:32 - 00:03:35] 检查点进度产物和压缩策略
[00:03:35 - 00:03:38] 证装3 第一次跑得差不多
[00:03:38 - 00:03:39] 但结果极其不稳定
[00:03:39 - 00:03:40] 这归Loop管
[00:03:40 - 00:03:44] 立刻加上外部评分器确定性测试和有接重视
[00:03:44 - 00:03:46] 证装4 成功了也不停手
[00:03:46 - 00:03:48] 或者毫无证据就宣布收工
[00:03:48 - 00:03:50] 依然是Loop的问题
[00:03:50 - 00:03:53] 你需要做基于证据的终止状态设计
[00:03:53 - 00:03:55] 以及对Token预算有感知的停止规则
[00:03:55 - 00:03:59] 症状5多个专家Agent需要按严格顺序协同
[00:03:59 - 00:04:01] 这终于轮到Graph了
[00:04:01 - 00:04:04] 去显示定义节点编路由和会和逻辑
[00:04:04 - 00:04:07] 症状6多部流程出错
[00:04:07 - 00:04:09] 死活定位不到坏在哪一步
[00:04:09 - 00:04:11] 这时候Graph和Harness的一起上
[00:04:11 - 00:04:14] 你需要上跟图节点对齐的带状态的Trace
[00:04:14 - 00:04:15] 追踪
[00:04:15 - 00:04:18] 症状7业务流还在快速迭代
[00:04:18 - 00:04:19] 需求三天两头变
[00:04:19 - 00:04:22] 这个时候千万别急着画图往回退
[00:04:22 - 00:04:25] 用最简单的Harness保持纯模型驱动
[00:04:25 - 00:04:26] 推迟图的形式化
[00:04:26 - 00:04:28] 这第7条特别反直觉
[00:04:28 - 00:04:29] 我待会展开细说
[00:04:29 - 00:04:31] 我自己用这张表的真实感受是
[00:04:31 - 00:04:33] 他把老板和业务方那句
[00:04:33 - 00:04:36] 你们的agent怎么又抽风了的模糊抱怨
[00:04:36 - 00:04:39] 直接翻译成了工程师可执行的排查公单
[00:04:39 - 00:04:42] 光冲这一条这篇文章就完全指挥票价
[00:04:42 - 00:04:43] 第二个关键点
[00:04:43 - 00:04:45] 可以直接抄的作业
[00:04:45 - 00:04:49] 我挑了7条按我认为的落地优先及排了个序
[00:04:49 - 00:04:51] 第一条也是全篇的金句
[00:04:51 - 00:04:53] 证据驱动的停止规则
[00:04:53 - 00:04:55] Agent的派着胸脯说
[00:04:55 - 00:04:56] 他做完了这话一文不值
[00:04:56 - 00:04:59] 只有测试通过URL链接可解析
[00:04:59 - 00:05:02] Skima教验通过或者有人工评审批准
[00:05:02 - 00:05:06] 这些应行指标才叫真正的停止条件
[00:05:06 - 00:05:08] 假装完成的事故肉眼可见的便少了
[00:05:08 - 00:05:10] 第二条 有界重视
[00:05:10 - 00:05:12] 光写一句 失败了继续试
[00:05:12 - 00:05:14] 绝对不能当成循环的规格
[00:05:14 - 00:05:17] 每一个循环必须写清楚四件事
[00:05:17 - 00:05:20] 可测量的目标每轮必须拿到的新证据
[00:05:20 - 00:05:23] 最大重视次数以及具名的兜底路径
[00:05:23 - 00:05:25] 无界重视最大的恶果就一个
[00:05:25 - 00:05:26] 成本黑洞
[00:05:26 - 00:05:28] Token帐单才是最诚实的报警器
[00:05:28 - 00:05:30] 第三条最小权限
[00:05:30 - 00:05:31] 在Harness层面
[00:05:31 - 00:05:35] 权限网络隔离白名单API密号处理和人工授权
[00:05:35 - 00:05:36] 一样都别省
[00:05:36 - 00:05:38] 权限给的太宽
[00:05:38 - 00:05:41] 被注入攻击或者搞崩系统只是时间问题
[00:05:41 - 00:05:45] 第四条用进度文件加上Gate历史来做持久化
[00:05:45 - 00:05:47] 这条经验主要来自Anthropic
[00:05:47 - 00:05:49] 在多绘化代码生成上的采坑纪录
[00:05:49 - 00:05:51] 光靠上下文压缩根本不够
[00:05:51 - 00:05:55] 你还需要出使画器结构画的进度文件
[00:05:55 - 00:05:58] Git提交历史以及严格的增量工作纪律
[00:05:58 - 00:06:01] 要让每一个新启动的上下文
[00:06:01 - 00:06:03] 都能一眼睹睹之前到底发生了什么
[00:06:03 - 00:06:06] 说到这儿刚好弹幕区大家可以交流一下
[00:06:06 - 00:06:07] 你们的AZEN的项目里
[00:06:07 - 00:06:09] 进度持久化都是怎么做的
[00:06:09 - 00:06:10] 把你的方案打在公屏上
[00:06:10 - 00:06:12] 第五条 确定性检查
[00:06:12 - 00:06:14] 永远优先于模型自平
[00:06:14 - 00:06:17] 让同一个模型既当选手又当裁判
[00:06:17 - 00:06:18] 没有任何外部防护
[00:06:18 - 00:06:21] 这是原文列出的五个最昂贵错误之一
[00:06:21 - 00:06:24] 自审存在严重的共同盲区
[00:06:24 - 00:06:25] 它写代码时在哪儿瞎了
[00:06:25 - 00:06:28] 评审时往往还在同一个地方瞎
[00:06:28 - 00:06:31] 能用自动化测试Skima教研代码Dev解决的
[00:06:31 - 00:06:33] 就千万别用另一个LLM去评审
[00:06:33 - 00:06:36] 这就好比我们严格遵循的TDD
[00:06:36 - 00:06:38] 必须按照红灯爆错绿灯
[00:06:38 - 00:06:41] 通过最后再重构的单向必还来推进
[00:06:41 - 00:06:42] 不能本末道志
[00:06:42 - 00:06:45] 实在必须用大模型做评审的
[00:06:45 - 00:06:46] 一定要做上下文分离
[00:06:46 - 00:06:49] 如果是高威动作必须上人工审批
[00:06:49 - 00:06:51] 第6条先跑trace再去画graph
[00:06:51 - 00:06:54] 业务都没跑通就急着去搞复杂的图编牌
[00:06:54 - 00:06:57] 高居原文昂贵错误清单的绑手
[00:06:57 - 00:07:00] 正确的姿势是先用最简单的Harness跑跑看
[00:07:00 - 00:07:02] 收集真实运行的trace
[00:07:02 - 00:07:05] 看看系统真正稳定的执行路径到底长什么样
[00:07:05 - 00:07:08] 然后再去用图把这套流程固化下来
[00:07:08 - 00:07:11] 第7条工具给的宁窄物宽
[00:07:11 - 00:07:12] 原文有句话说的很狠
[00:07:12 - 00:07:14] 别把Harness当垃圾场
[00:07:14 - 00:07:17] 塞进去的工具一多选择的错误率直线上升
[00:07:17 - 00:07:19] 上下文变的极其操杂
[00:07:19 - 00:07:21] 模型反而更困惑
[00:07:21 - 00:07:22] 更多的工具和记忆
[00:07:22 - 00:07:24] 绝不会自动等价于更好的结果
[00:07:24 - 00:07:27] 这七条时间没有任何一条需要你去买新框架
[00:07:27 - 00:07:30] 全是扎扎实实的工程纪律
[00:07:30 - 00:07:31] 第三个关键点
[00:07:31 - 00:07:33] 到了泼冷水的时间了
[00:07:33 - 00:07:34] 我们要警惕几个大坑
[00:07:34 - 00:07:35] 第一个坑
[00:07:35 - 00:07:36] Graft
[00:07:36 - 00:07:37] 过早一事化
[00:07:37 - 00:07:39] 原文作者自己都提醒了
[00:07:39 - 00:07:43] 如果你的任务仅仅是给一个Agent三个工具让它干活
[00:07:43 - 00:07:45] 那强行上图只会过早的冻结假设
[00:07:45 - 00:07:47] 让整个系统变得无比脆弱
[00:07:47 - 00:07:51] 图价构真正发挥价值的场景非常明确
[00:07:51 - 00:07:52] 实质性的条件分支
[00:07:52 - 00:07:55] 并发支行多级审批错误恢复路径
[00:07:55 - 00:07:57] 以及多专家Agent的协同
[00:07:57 - 00:08:00] AutoGen的文档其实也说得很直白
[00:08:00 - 00:08:02] 只有在需要精确控制执行顺序
[00:08:02 - 00:08:04] 不同结果需要走向不同分支
[00:08:04 - 00:08:07] 或者带复杂循环的时候才需要用图
[00:08:07 - 00:08:10] 在需求还处在三天一改的早期阶段
[00:08:10 - 00:08:12] 过早画图无以于做减自负
[00:08:12 - 00:08:15] 这也就印证了刚才决策表里那句
[00:08:15 - 00:08:17] 往回退 逻辑完全避还了
[00:08:17 - 00:08:20] 第二个坑 数语包装的严重通胀
[00:08:20 - 00:08:23] 关于这块近两年prompt context harness
[00:08:23 - 00:08:26] loop graph这些词接连走红被炒得火热
[00:08:26 - 00:08:29] 他们确实指向了不同的工程抽象层次
[00:08:29 - 00:08:31] 谈不上谁在抢谁的风头
[00:08:31 - 00:08:32] 但不可否认
[00:08:32 - 00:08:34] 这个圈子造星词的速度越来越快了
[00:08:34 - 00:08:36] 但作为工程师我们要清醒
[00:08:36 - 00:08:39] 盲目追逐新名词并不能让你的系统变得更稳
[00:08:39 - 00:08:42] 第三个坑要当心厂商蓄事
[00:08:42 - 00:08:44] 这篇文里大量引用了LandChain
[00:08:44 - 00:08:47] OpenAI Agents SDK LandGraph
[00:08:47 - 00:08:49] AutoGen这些框架的说法
[00:08:49 - 00:08:51] 不可否认这些来源里有干货
[00:08:51 - 00:08:54] 前面提到的判断法和清单也确实好用
[00:08:54 - 00:08:57] 但这些资料毕竟多出自框架或平台的维护坊
[00:08:57 - 00:09:00] 难免加带推广自己生态的私货
[00:09:00 - 00:09:02] 所以当你看到他们得出
[00:09:02 - 00:09:05] 你需要上更复杂的显示图编排这种结论时
[00:09:05 - 00:09:06] 一定要打个折扣听
[00:09:06 - 00:09:08] 我的底线原则是
[00:09:08 - 00:09:11] 他们总结的具体工程必坑指南可以超
[00:09:11 - 00:09:14] 但他们推销的复杂架构结论必须经过自己的验证
[00:09:14 - 00:09:17] 拿你生产环境真实的trace去验证
[00:09:17 - 00:09:19] 别拿他们发布会上的ppt去验证
[00:09:19 - 00:09:22] 总结一下这篇文章真正的行业贡献
[00:09:22 - 00:09:23] 我认为就一句话
[00:09:23 - 00:09:25] 他把Agent不可靠这团说不清
[00:09:25 - 00:09:27] 道不明的技术焦虑
[00:09:27 - 00:09:31] 俐落地切成了三块能各自定则的工程切灭
[00:09:31 - 00:09:32] 环境出毛病去修harness
[00:09:32 - 00:09:34] 反馈不必还去修loop
[00:09:34 - 00:09:37] 流程卡壳来去修graph
[00:09:37 - 00:09:40] 每一层都有清晰的验收标准和第一责任人
[00:09:40 - 00:09:42] 当然 软件工程总有交叉覆盖
[00:09:42 - 00:09:44] 这三层也会互相影响
[00:09:44 - 00:09:47] 但至少排张的抓手彻底分开了
[00:09:47 - 00:09:51] 以后谁要是再拿模型不够聪明来螃蟹生产事故
[00:09:51 - 00:09:53] 那就是最偷懒的借口
[00:09:53 - 00:09:55] 除了这些还有一个更隐蔽的收获
[00:09:55 - 00:09:56] 仔细回味一下
[00:09:56 - 00:10:00] 证据驱动停职有借重视最小权限原则
[00:10:00 - 00:10:02] 确定性检查优先?这些词
[00:10:02 - 00:10:04] 你是不是都觉得特别眼熟?
[00:10:04 - 00:10:04] 没错
[00:10:04 - 00:10:06] 在传统分布式系统里
[00:10:06 - 00:10:08] 在SRE的运为手册里
[00:10:08 - 00:10:09] 在网络安全规范里
[00:10:09 - 00:10:11] 他们无处不在
[00:10:11 - 00:10:12] Azure的工程发展到
[00:10:12 - 00:10:15] 2026年真正沉淀下来的好东西
[00:10:15 - 00:10:16] 一大半其实都是过去的
[00:10:16 - 00:10:19] 老工程纪律换了身时髦的衣服
[00:10:19 - 00:10:21] 这对我们在座的开发者来说
[00:10:21 - 00:10:22] 是个天大的好消息
[00:10:22 - 00:10:24] 说白了你过去10年敲代码
[00:10:24 - 00:10:25] 排雷斩霞的工程
[00:10:25 - 00:10:27] 直觉一点都没坐飞
[00:10:27 - 00:10:28] 这玩意正在转化为
[00:10:28 - 00:10:31] 你在AI时代最坚固的互成河
[00:10:31 - 00:10:31] 往后看
[00:10:31 - 00:10:34] 基于目前的趋势 我有三个基本判断
[00:10:34 - 00:10:37] Harness层的标准化会继续加速
[00:10:37 - 00:10:41] 像工具协议 全线模型 吹死格式这些东西
[00:10:41 - 00:10:43] 正在迅速变成公共基础设施
[00:10:43 - 00:10:46] 自己造轮子的差异化空间会越来越小
[00:10:46 - 00:10:49] Loop层的核心竞争点将集中在证据系统上
[00:10:49 - 00:10:52] 谁的自动化平分器做得更便宜 更准 更快
[00:10:52 - 00:10:54] 谁的循环就敢多跑几轮
[00:10:54 - 00:10:56] 测试工程的含金量会重新飙升
[00:10:56 - 00:10:58] 这话我今天就放在这
[00:10:58 - 00:11:01] 大家两年后可以回来挖分验证
[00:11:01 - 00:11:03] Graph曾必将经历一轮去泡沫化
[00:11:03 - 00:11:06] 现在那些跟风一股脑全上图架构的项目
[00:11:06 - 00:11:09] 有一部分注定会退回到简单的Hannes
[00:11:09 - 00:11:12] 最初能留下来的只有那些真正存在复杂分支
[00:11:12 - 00:11:15] 并行审批和恢复刚需的重型系统
[00:11:15 - 00:11:18] 至于那些新名词大概率还会继续换
[00:11:18 - 00:11:21] 包装通胀的节奏一时半会停不下来
[00:11:21 - 00:11:23] 但症状到分层的排帐逻辑
[00:11:23 - 00:11:26] 绝对比那些转瞬及适的数据更长寿
[00:11:26 - 00:11:28] 大家把这个思维模型学走就行了
[00:11:28 - 00:11:29] 最后留一句实在的提醒
[00:11:29 - 00:11:35] 循环 loop 只应该加在失败成本远高于验证成本的地方
[00:11:35 - 00:11:36] 而在其余的任何位置
[00:11:36 - 00:11:38] 最简单的架构就是最正确的架构
[00:11:38 - 00:11:41] 好了 现在我想听听你们的实战教训
[00:11:41 - 00:11:43] 你目前维护的Agent系统里
[00:11:43 - 00:11:46] 最昂贵最惨痛的一次生产事故
[00:11:46 - 00:11:48] 事后复盘看到底该归咎于哪一层
[00:11:48 - 00:11:53] 是环境 Harness反馈 Loop还是流程 Graph
[00:11:53 - 00:11:54] 具体的症状又是怎样的
[00:11:54 - 00:11:56] 欢迎把经历打在评论区
[00:11:56 - 00:11:59] 我想拿着那张决策表和大家对一对
[00:11:59 - 00:12:04] 如果这期视频对你有启发,记得点赞投币收藏,一键三连走一波。
[00:12:04 - 00:12:08] 我是,为什么叫QQ。关注我们下期见。
