BV号：BV1DyX9BiE74
标题：BV1DyX9BiE74
链接：https://www.bilibili.com/video/BV1DyX9BiE74
识别语言：zh
语言置信度：1
分段数：402
生成时间：2026-08-29 07:20:47

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 今天我们来聊一个每个前端
[00:09:54 - 00:09:55] A11Y
[00:09:55 - 00:09:59] 盲人使用的屏幕阅读器会立刻变成虾子
[00:09:59 - 00:10:01] 因为原本具有高语异的段落结构
[00:10:01 - 00:10:03] P标签、HE标签
[00:10:03 - 00:10:06] 被你打碎成了纯粹的离散字符
[00:10:06 - 00:10:07] 第二是原生交互
[00:10:07 - 00:10:09] 用户的长按鼠标框
[00:10:09 - 00:10:11] 选顺滑的文本复制
[00:10:11 - 00:10:14] 现在全都需要你用js去监听鼠标事件
[00:10:14 - 00:10:17] 自己重新写一套逻辑来模拟第三式SAO
[00:10:17 - 00:10:21] 爬虫能不能顺利抓取你这些高度动态渲染的
[00:10:21 - 00:10:23] 没有连续html结构的文本内容
[00:10:23 - 00:10:25] 要打一个大大的问号
[00:10:25 - 00:10:28] 所以这里的核心误解必须澄清
[00:10:28 - 00:10:31] pretext的从来不是为了取代CSS的
[00:10:31 - 00:10:36] CSS的声明式布局依然是99%日常开发的唯一证捷
[00:10:36 - 00:10:39] 你不需要也不应该为了写个普通
[00:10:39 - 00:10:42] 的博客文章去搞什么用户态布局
[00:10:42 - 00:10:45] Pretax真正要解决的是那1%的地域关卡
[00:10:45 - 00:10:48] 你在js里极其可求预测布局的重度场景
[00:10:48 - 00:10:52] 那些被DOM册册卡程换灯片的高性能虚拟滚动
[00:10:52 - 00:10:55] 需要让文字精美的绕过异形图片的
[00:10:55 - 00:10:58] 复杂在线编辑引擎比如类似Figma Canva的应用
[00:10:58 - 00:11:00] 在这片属于极客的领地
[00:11:00 - 00:11:02] 它是一次制的飞跃
[00:11:02 - 00:11:03] 如果聊到这里就结束
[00:11:03 - 00:11:06] 这只是一期普通的硬核技术分享
[00:11:06 - 00:11:08] 但当我们把视线拉高
[00:11:08 - 00:11:11] 把Pretax的放到2026年今天的大背景下
[00:11:11 - 00:11:13] 你会发现一个极其震撼的事实
[00:11:13 - 00:11:16] 这类用户太排版引擎的出现
[00:11:16 - 00:11:20] 其实是与AI时代的一场极其绝妙的双向奔赴
[00:11:20 - 00:11:23] 在这里AI和Pretax的护围表里护围救赎
[00:11:23 - 00:11:24] 第一层奔赴
[00:11:24 - 00:11:27] AI是如何参与锻造这套底层排版引擎的
[00:11:27 - 00:11:33] 刚才我们说了,人类语言的排版规则是一个无底洞,传统的软件工程
[00:11:33 - 00:11:36] 人类工程师是根本写不完所有测试用力的
[00:11:36 - 00:11:38] 这时候,AI发挥了意想不到的作用
[00:11:38 - 00:11:41] 作者在项目里提到了一句非常关键的话
[00:11:41 - 00:11:44] 把浏览器的字体引擎当做 ground truth
[00:11:44 - 00:11:45] 绝对真理
[00:11:45 - 00:11:48] 这是一种极度AI友好的迭代方式
[00:11:48 - 00:11:49] 在这个项目里
[00:11:49 - 00:11:52] AI不是用来替你写核心业务逻辑代码的
[00:11:52 - 00:11:54] 那往往会埋下隐患
[00:11:54 - 00:11:59] AI化身成了一个不知疲倦的无情发球机和极限培练
[00:11:59 - 00:12:01] 工程师制定排版规则的股价
[00:12:01 - 00:12:06] 然后让大模型疯狂生成数以万计的极端边界预料
[00:12:06 - 00:12:10] 比如把阿拉伯文、泰文生辟、中文、言文字、甚至
[00:12:10 - 00:12:13] 错乱的Unicode字符随机混牌
[00:12:13 - 00:12:15] 然后写自动画跑批脚本
[00:12:15 - 00:12:17] 一边跑pretext.js算数结果
[00:12:17 - 00:12:20] 一边去撞浏览器底层的C++渲染结果
[00:12:20 - 00:12:22] 对比哪怕0.1像素的误差
[00:12:22 - 00:12:25] AI负责做庞大的回归门径
[00:12:25 - 00:12:28] 把JS引擎逼近浏览器的原生表现
[00:12:28 - 00:12:31] 这就是AI时代造底层轮子的新范世
[00:12:31 - 00:12:32] AI不负责灵感
[00:12:32 - 00:12:34] AI负责兜底 极其庞大
[00:12:34 - 00:12:37] 甚至是非人类能穷进的工程对气成本
[00:12:37 - 00:12:40] 第二层奔赴也是更炸裂的一层
[00:12:40 - 00:12:41] Pretax这种引擎
[00:12:41 - 00:12:45] 对AI生成EY究竟意味着什么降维打击
[00:12:45 - 00:12:48] 现在大家都用过类似V0 Cloud Artifacts
[00:12:48 - 00:12:50] 或者各种国内的AI写代码工具
[00:12:50 - 00:12:53] 你会发现 AI帮我们写react组件
[00:12:53 - 00:12:55] 写Tailwind的样式飞快
[00:12:55 - 00:12:59] 但是 AI生成的界面往往有一种强烈的廉价感
[00:12:59 - 00:13:01] 他们总是标准的网格简单的列表
[00:13:01 - 00:13:04] 一旦涉及到复杂的杂志级排版
[00:13:04 - 00:13:06] 或者信息密度极高的仪表盘
[00:13:06 - 00:13:09] AI生成的页面就经常致力破碎
[00:13:09 - 00:13:10] 为什么
[00:13:10 - 00:13:14] 因为大语言模型 LLM是没有空间视觉的
[00:13:14 - 00:13:17] 在传统的前端体系里 AI只能按token输出代码
[00:13:17 - 00:13:19] 它只能把一段生成的文案
[00:13:19 - 00:13:21] 套进一个地步标签里
[00:13:21 - 00:13:23] 至于这段80个字的废话
[00:13:23 - 00:13:25] 在用户的320像素宽的手机屏幕上
[00:13:25 - 00:13:27] 到底会折成两行还是三行
[00:13:27 - 00:13:30] 最后一行会留下多少像素的空白
[00:13:30 - 00:13:33] AI在纯代码层面是完全算不出来
[00:13:33 - 00:13:34] 也无法感知的
[00:13:34 - 00:13:36] 它必须把代码丢给浏览器等
[00:13:36 - 00:13:37] 浏览器渲染完那一刻
[00:13:37 - 00:13:40] 排版的结果才像开盲盒一样掉出来
[00:13:40 - 00:13:42] 这就导致AI生成UI
[00:13:42 - 00:13:45] 永远只能停留在盲目百方盒子的低微阶段
[00:13:45 - 00:13:48] 而Pretax相当于给闭门造车的AI
[00:13:48 - 00:13:51] 装上了一双可以提前看清物理空间的眼睛
[00:13:51 - 00:13:54] 试想一下未来的AI生成管线
[00:13:54 - 00:13:57] 当AI在后台no的Jace环境
[00:13:57 - 00:13:59] 李思考下一步怎么排版时
[00:13:59 - 00:14:01] 他可以先偷偷调用无头
[00:14:01 - 00:14:02] Headless
[00:14:02 - 00:14:04] 的Pretax的引擎测算一下
[00:14:04 - 00:14:06] 哦 经过计算这句50个字的文案
[00:14:06 - 00:14:09] 在400相速宽的容器里刚好会变成三行
[00:14:09 - 00:14:12] 而且最后一行还剩150像素的空白空间
[00:14:12 - 00:14:15] 有了这个极其精确的数学认知
[00:14:15 - 00:14:19] AI就可以无比自信地在这个150像素的空白处
[00:14:19 - 00:14:20] 精准插入一个icon
[00:14:20 - 00:14:23] 或者让旁边的配图完美地贴着文字的句齿
[00:14:23 - 00:14:26] 边缘进行多边形流动排版
[00:14:26 - 00:14:27] floating layout
[00:14:27 - 00:14:30] 可以说AI帮我们造了无数冰冷的盒子
[00:14:30 - 00:14:33] 但只有配合像pretext这种脱离DOM
[00:14:33 - 00:14:36] 纯算数的排版预测引擎AI才能真正掌控
[00:14:36 - 00:14:39] 盒子里的文字该如何优雅的占据空间
[00:14:39 - 00:14:42] 从声明式布局走向可计算布局
[00:14:42 - 00:14:47] 这才是补弃AI自动化UI生产线的最后一块拼图
[00:14:47 - 00:14:49] 回望过去几十年的web发展
[00:14:49 - 00:14:51] 我们绝大多数人都只能走浏览器录
[00:14:51 - 00:14:54] 你把内容扔进黑箱浏览器去layout
[00:14:54 - 00:14:57] 你想要高度只能反过来去读结果
[00:14:57 - 00:14:58] 忍受性能的折磨
[00:14:58 - 00:15:00] 而今天趋势正在改变
[00:15:00 - 00:15:03] 未来的网页排版不一定只靠CSS声明
[00:15:03 - 00:15:06] 它可以像图形学像3D引擎一样
[00:15:06 - 00:15:08] 变成一种可编程的计算系统
[00:15:08 - 00:15:11] 用一句话总结我们今天的深度分享
[00:15:11 - 00:15:15] 未来的复杂UI及其自动化生成一定是先算再化
[00:15:15 - 00:15:17] AI负责推演空间的极限纯算数
[00:15:17 - 00:15:19] 负责将它精准落地
[00:15:19 - 00:15:21] 你觉得像pre-text这样的预测式拍板
[00:15:21 - 00:15:24] 会成为未来AI-UI生成的标配吗?
[00:15:24 - 00:15:27] 还是说这只是一种过渡期的奇迹隐瞧
[00:15:27 - 00:15:28] 你能接受为了算得准
[00:15:28 - 00:15:32] 必须规避系统怪痞自体这种极端的工程约束吗?
[00:15:32 - 00:15:35] 欢迎在评论区留下你的真实看法
[00:15:35 - 00:15:39] 如果这期硬核拆解对你有哪怕一点点认知上的启发
[00:15:39 - 00:15:42] 我是为什么叫QQ,千万别忘了长爱一见三连
[00:15:42 - 00:15:44] 下期不见不散
