BV号：BV1TmfAYyErU
标题：BV1TmfAYyErU
链接：https://www.bilibili.com/video/BV1TmfAYyErU
识别语言：zh
语言置信度：1
分段数：443
生成时间：2026-08-30 09:26:01

[00:00:00 - 00:00:01] 大家下午好
[00:03:07 - 00:03:10] 今年3月份我们看到很多软件的企业
[00:03:10 - 00:03:13] 同比收入增长比去年发展三倍以上
[00:03:13 - 00:03:18] 今年GT用报AI的GT用报DFC的这些软件
[00:03:18 - 00:03:20] 我觉得中国的这个幻影程度迅速的爆发
[00:03:20 - 00:03:23] 所以我们感觉如果到今年年底
[00:03:23 - 00:03:25] 能保持这样的增长速度
[00:03:25 - 00:03:27] 中国的软件企业春天可能就到来了
[00:03:28 - 00:03:29] 但是当年在高点上
[00:03:29 - 00:03:30] 招了很多钱
[00:03:30 - 00:03:32] 招了很多钱的软件企业
[00:03:32 - 00:03:34] 可能就看不到春天了
[00:03:34 - 00:03:37] 但所有严守商业纪律的软件企业
[00:03:37 - 00:03:39] 终于我觉得可能看到了
[00:03:40 - 00:03:41] 镜头的曙光
[00:03:41 - 00:03:42] 隧道镜头的曙光
[00:03:43 - 00:03:44] 大模型也是一样的
[00:03:44 - 00:03:46] 大模型我觉得过去两年非常火
[00:03:46 - 00:03:48] 但今年Debussy给出来以后
[00:03:48 - 00:03:49] 明显的大家开始
[00:03:50 - 00:03:52] 市场开始看淡
[00:03:52 - 00:03:55] 但是我們可以看到很多做AR應用的企業
[00:03:55 - 00:03:57] 也是今天我講的主題
[00:03:57 - 00:03:59] 開始爆發是生物增長
[00:03:59 - 00:04:02] 生物增長速度幾乎和當年盤購企業一樣
[00:04:02 - 00:04:03] 這是非常驚人的
[00:04:03 - 00:04:07] 但是應用企業基本上都想低調發財
[00:04:07 - 00:04:11] 不像這些大模型企業天天打寶給政府看
[00:04:11 - 00:04:13] 但是應用企業幾乎沒人想告訴別人
[00:04:13 - 00:04:14] 我很賺錢
[00:04:14 - 00:04:19] 今天我就主要分享一些大家營公開的案例
[00:04:19 - 00:04:21] 因為太多的企業我們都不願意說
[00:04:21 - 00:04:23] 企业也不愿意我们去报道他们
[00:04:23 - 00:04:23] 对吧
[00:04:24 - 00:04:25] 我觉得DeepSick出来以后
[00:04:25 - 00:04:27] 确实是这个
[00:04:27 - 00:04:30] 这个对整个大模型的AR生态有巨大的变化
[00:04:30 - 00:04:32] 在DeepSick出来之前
[00:04:32 - 00:04:33] 我们感觉也是可能在
[00:04:33 - 00:04:36] 必然模型在往前面走不动的时候
[00:04:36 - 00:04:37] 开应模型会逐步追上来
[00:04:37 - 00:04:40] 最终是RLS和安卓两种生态
[00:04:40 - 00:04:42] 但是DeepSick是完全不一样的
[00:04:42 - 00:04:44] 它甚至比安卓更开放
[00:04:44 - 00:04:45] 是不仅不要商业化
[00:04:45 - 00:04:47] 甚至都不要用户
[00:04:47 - 00:04:49] 这也是为什么腾讯在新年以后
[00:04:49 - 00:04:50] 会全力拥抱DeepSick
[00:04:50 - 00:04:54] 腾讯是这个Deep Seek开源的最大受益者
[00:04:54 - 00:04:57] 这次我觉得是一个非常好的一个案例
[00:04:57 - 00:05:01] 就中国这个科技投资非常注意的一点就是
[00:05:01 - 00:05:04] 科技成熟之前很难商业化
[00:05:04 - 00:05:06] 但是科技成熟以后迅速平权
[00:05:06 - 00:05:08] 所以这个
[00:05:08 - 00:05:11] 你在这个所以这个最大受益人到底是谁
[00:05:11 - 00:05:14] 所以要仔细思考的问题就是
[00:05:14 - 00:05:16] 这个技术平权以后谁会在他受益
[00:05:16 - 00:05:17] 这终究会怎么样
[00:05:17 - 00:05:20] 对啊大家可能都没想到在Deep Seek出来之后
[00:05:20 - 00:05:21] 最大受惡的是騰訊
[00:05:21 - 00:05:23] 騰訊元寶迅速的超越
[00:05:23 - 00:05:24] 以前的所有的大模型
[00:05:24 - 00:05:26] 排到第一去了
[00:05:26 - 00:05:27] 因為騰訊確實有流量優勢
[00:05:27 - 00:05:30] 它推廣以後特別容易
[00:05:30 - 00:05:31] 所以我們一直在建議創業公司
[00:05:31 - 00:05:34] 不要浪費一分錢去訓練底層模型
[00:05:34 - 00:05:36] 權力拥抱開源模型
[00:05:36 - 00:05:39] 權力拥抱API
[00:05:39 - 00:05:43] 今年確實底層模型成熟以後
[00:05:43 - 00:05:46] 我們發現很多應用公司的收入
[00:05:46 - 00:05:47] 開始爆發性增長
[00:05:47 - 00:05:49] 這些舉的例子都是美國的公司的例子
[00:05:49 - 00:05:51] 但是在过去六个月
[00:05:51 - 00:05:53] 我们在中美都看到非常多的创业公司
[00:05:53 - 00:05:56] 在这个开始收入爆发增长
[00:05:56 - 00:05:59] 就是每周比上周还比增长百分之十以上
[00:05:59 - 00:06:01] 月还比增长百分之二十以上
[00:06:01 - 00:06:04] 虽然这个今天数字还非常小
[00:06:04 - 00:06:06] 但是这个增长数度是真的是很类似于
[00:06:06 - 00:06:08] 当年团购早期增长数字
[00:06:08 - 00:06:10] 所以是非常让我们兴奋的
[00:06:10 - 00:06:12] 是我们今天要具体关注的项目
[00:06:12 - 00:06:16] 所以我们现在这个非常这个这个忙
[00:06:16 - 00:06:17] 就在看这些应用项目
[00:06:17 - 00:06:18] 对吧
[00:06:18 - 00:06:22] 而且这样的公司不需要很多人
[00:06:22 - 00:06:26] 基本上十几个人就能很快地在6到12个月做到千万美金的收入
[00:06:26 - 00:06:30] 中部的公司能做到6到12个月做到千万美金的收入
[00:06:30 - 00:06:31] 就月收入过100万美金
[00:06:31 - 00:06:33] 这个是非常惊人的
[00:06:33 - 00:06:35] 但是在今天我们看到十几个公司有这样的案例
[00:06:35 - 00:06:37] 这个是非常让人兴奋的
[00:06:40 - 00:06:41] 为什么能让这么快
[00:06:41 - 00:06:42] 主要是今天的模型
[00:06:42 - 00:06:45] 在很多场景下已经达到PNF
[00:06:45 - 00:06:49] 已经达到用户付费的地步了
[00:06:49 - 00:06:52] 虽然很多人说skimlock可能还能往前走
[00:06:52 - 00:06:55] 那个XAI Groxen确实证明了
[00:06:55 - 00:06:57] 只要砸钱砸到二十万张卡
[00:06:57 - 00:06:58] 可能还能比前面
[00:06:58 - 00:07:01] 这个比最新的模型再进步个百分之十
[00:07:01 - 00:07:02] 对吧
[00:07:02 - 00:07:03] 但是不重要
[00:07:03 - 00:07:04] 这个后面的百分之十百分之二十不重要
[00:07:04 - 00:07:06] 今天的模型 基础模型
[00:07:06 - 00:07:10] 不管是Deep Seek还是通易千万或者豆包
[00:07:10 - 00:07:12] 都已经达到在很多场景下
[00:07:12 - 00:07:13] 可以做到商业化的程度了
[00:07:13 - 00:07:17] 但我们看到在客服端 在销售端 在会议基要端
[00:07:17 - 00:07:20] 在营销文案端 在语言教学端
[00:07:20 - 00:07:22] 都可以做到很多很多的商业化
[00:07:22 - 00:07:24] 而且都能做到收入制装速度
[00:07:24 - 00:07:26] 是做到月环节制装百分之二十七上速度
[00:07:26 - 00:07:28] 对于最重要的是
[00:07:28 - 00:07:31] 对很多创业者来说是
[00:07:31 - 00:07:32] 技术路线不重要
[00:07:32 - 00:07:34] 重要的是商业场景 重要是产品
[00:07:34 - 00:07:35] 你懂不懂你的客户
[00:07:35 - 00:07:37] 你懂不懂客户的需求在哪里
[00:07:37 - 00:07:38] 能不能开发出他们需要的产品
[00:07:38 - 00:07:41] 能不能适用一下就付费
[00:07:41 - 00:07:43] 这种事就适用一下就付费
[00:07:43 - 00:07:45] 这种速度才会造成这样
[00:07:45 - 00:07:46] 今天这么快的制装速度
[00:07:46 - 00:07:50] 而且很多时候我觉得在中国我们感觉
[00:07:50 - 00:07:52] 竞争还是非常白色化的
[00:07:52 - 00:07:53] 在美国今天也是一样的
[00:07:53 - 00:07:55] 美国我们发现
[00:07:55 - 00:07:58] 因为今天美国的VC也不投大模型了
[00:07:58 - 00:07:59] 美国的VC很多很多钱
[00:07:59 - 00:08:01] 全部砸在AR用用上
[00:08:01 - 00:08:02] 在任何的垂直赛道上
[00:08:02 - 00:08:05] 可能都有十几家公司拿到这个费用投资
[00:08:05 - 00:08:06] 所以今天可能是美国第一次
[00:08:06 - 00:08:08] 创业公司之间会打价格战
[00:08:08 - 00:08:10] 中国打价格战时价格变犯了
[00:08:10 - 00:08:11] 对吧
[00:08:11 - 00:08:13] 我们给中国创业的建议是
[00:08:13 - 00:08:16] 在国内打磨产品打磨团队
[00:08:16 - 00:08:18] 马上出海 马上出海
[00:08:18 - 00:08:19] 在靠国内基本上都是白菜架
[00:08:19 - 00:08:21] 然后在海外转其利润
[00:08:21 - 00:08:23] 我们发现中国团队在出海
[00:08:23 - 00:08:27] 在日本 在东南亚 在中东
[00:08:27 - 00:08:28] 都是没有金融对手的
[00:08:28 - 00:08:31] 基本上出海现在全世界只有中国和美国
[00:08:31 - 00:08:33] 有AR的落地能力
[00:08:33 - 00:08:35] 甚至在美国也一半的团队是中国人
[00:08:35 - 00:08:38] 所以中国的确实在AR应用落地上
[00:08:38 - 00:08:40] 非常能力还是非常强的
[00:08:40 - 00:08:44] 很多投资人都要说
[00:08:44 - 00:08:45] 所以历史真的是重复的
[00:08:45 - 00:08:48] 很多投资今天为什么不敢投AR应用
[00:08:48 - 00:08:49] 都觉得AR应用没有壁垒
[00:08:49 - 00:08:51] 这让我想起来十几年前
[00:08:51 - 00:08:53] 移动互联网的时代也是一样的
[00:08:53 - 00:08:55] 当年为什么大家看不起滴滴
[00:08:55 - 00:08:56] 看不起恶人
[00:08:56 - 00:08:58] 看不起小红书在A轮的时候
[00:08:58 - 00:08:59] 我们分给别人都没人要
[00:08:59 - 00:09:02] 大家都觉得APP有啥壁垒
[00:09:02 - 00:09:03] 没有任何壁垒
[00:09:03 - 00:09:04] 所以今天的AR应用创意的时候
[00:09:04 - 00:09:06] 我觉得也是一样的
[00:09:06 - 00:09:07] 要勇于承认自己没有壁垒
[00:09:07 - 00:09:09] 有任何技术壁垒都是骗人的
[00:09:09 - 00:09:10] 都是互用人的
[00:09:10 - 00:09:11] 就是没有壁垒
[00:09:11 - 00:09:14] 我就是靠这个底层模型提供能力
[00:09:14 - 00:09:15] 但是我更懂用户
[00:09:15 - 00:09:18] 更懂產品 所有的應用都是套客應用
[00:09:18 - 00:09:22] 但是我可以在很多非AI的能力上建立壁壘
[00:09:22 - 00:09:25] 所有的能力都在AI之外 都來自於苦活內活
[00:09:25 - 00:09:27] 比如說我們後面會分享的一些案例
[00:09:27 - 00:09:30] 在整合工作流上 在邊境能力上
[00:09:30 - 00:09:33] 在專有硬件上 在人工交付的苦活內活上
[00:09:33 - 00:09:37] 這些是創意的 可以建立的壁壘
[00:09:37 - 00:09:42] 利布利也是北京的企業 他就在海淀 在中國灣村
[00:09:42 - 00:09:44] 這個也是從一片紅瓦都殺出來的
[00:09:44 - 00:09:48] 我們天使投資的時候中國有十幾家做文生圖的這個公司
[00:09:48 - 00:09:50] 大家一去就覺得文生圖有啥必累
[00:09:50 - 00:09:53] 文生圖用Mate Gene 用這個SD
[00:09:53 - 00:09:59] 今天這個CPT-10O出來這個文生圖文的模型以後
[00:09:59 - 00:10:01] 對這個簡直沒有任何必累
[00:10:01 - 00:10:03] 誰都可以做就搶入口的
[00:10:03 - 00:10:04] 但他們面向不一樣
[00:10:04 - 00:10:05] 他們不是面向C
[00:10:05 - 00:10:06] 面向C當然我同意的
[00:10:06 - 00:10:08] 面向C當然沒有任何入口
[00:10:08 - 00:10:09] 所以沒有任何必累
[00:10:09 - 00:10:11] 誰掌握入口誰都會掌握用戶
[00:10:11 - 00:10:13] 但是他們像中國專業的設計師
[00:10:13 - 00:10:16] 中國一共差不多兩千萬專業師、四級師
[00:10:16 - 00:10:17] 他們已經基本上全部佔領了
[00:10:17 - 00:10:19] 而且越活五百多萬
[00:10:19 - 00:10:21] 今天他們這個
[00:10:21 - 00:10:24] 收費還非常克制的情況下
[00:10:24 - 00:10:26] 這個越收入增長都非常快
[00:10:26 - 00:10:27] 所以基本上在國內已經
[00:10:27 - 00:10:29] 這個做成完全的市場第一名
[00:10:29 - 00:10:31] 然後這個很快也會再考慮出海
[00:10:32 - 00:10:34] 他們的核心能力不是生土
[00:10:34 - 00:10:37] 他們整個都是開源的生土模型
[00:10:37 - 00:10:38] 核心能力是編輯
[00:10:38 - 00:10:40] 他們就是AR版的Fortes-Ciao
[00:10:40 - 00:10:41] 提供了非常複雜的編輯功能
[00:10:41 - 00:10:43] 簡單的編輯可能需要培訓半天
[00:10:43 - 00:10:46] 複雜編輯可能需要培訓兩到三中才能使用
[00:10:46 - 00:10:48] 就完全和復活效果是一樣的
[00:10:48 - 00:10:53] 這種就是編輯能力反而是今天的壁壘
[00:10:53 - 00:10:55] Abrage是美國的一個企業
[00:10:55 - 00:10:56] 我就講了就會議計要
[00:10:56 - 00:10:58] 會議計要這麼一個細分場景
[00:10:58 - 00:10:59] 大家看上去非常簡單
[00:10:59 - 00:11:01] 今天你用手機用切奇皮
[00:11:01 - 00:11:02] 就可以直接做會議計要
[00:11:02 - 00:11:04] 但這麼一個細分場景裡面
[00:11:04 - 00:11:06] 全世界幾十家公司在各種場景裡面
[00:11:06 - 00:11:08] 都做得非常好
[00:11:08 - 00:11:11] Abrage就是給這個醫生和病人之間問針
[00:11:11 - 00:11:12] 他把語音記錄下來
[00:11:12 - 00:11:13] 自動轉成文字
[00:11:13 - 00:11:16] 自動轉成根據各個州的要求
[00:11:16 - 00:11:19] 轉成各州病例卡
[00:11:19 - 00:11:22] 這個就是面向醫院大幣收費的
[00:11:22 - 00:11:25] 這個公司拿了Besma的這個農資
[00:11:25 - 00:11:26] 發展得非常好
[00:11:26 - 00:11:30] 但是這個行業美國現在也有十幾家公司做
[00:11:30 - 00:11:32] Besma投了Bridge
[00:11:32 - 00:11:35] 然後紅山美國馬上投了一個
[00:11:35 - 00:11:39] 專門賣相一生個人的這種歷史卵件
[00:11:39 - 00:11:41] 然後還有一個做受益的也發展得非常好
[00:11:41 - 00:11:43] 就这么一个西方的场景里面
[00:11:43 - 00:11:46] 关键是你能不能达成90%以上准确率
[00:11:46 - 00:11:48] 准确率特别特别重要
[00:11:48 - 00:11:50] 这边场景里面还有很多公司可以做的
[00:11:50 - 00:11:51] 这个
[00:11:51 - 00:11:52] 商业化做的很好
[00:11:53 - 00:11:53] ploud
[00:11:53 - 00:11:55] 这是一个中国的年龄人在美国创业做的
[00:11:55 - 00:11:58] 一个非常简单的一个硬件
[00:11:58 - 00:12:00] 像电子名片一样贴在手机后面
[00:12:00 - 00:12:03] 可以把根据对你的任何电话或者电话会议
[00:12:03 - 00:12:05] 转成会议机
[00:12:05 - 00:12:07] 它的软件就是直接接切CPC
[00:12:07 - 00:12:08] 这么简单的功能
[00:12:08 - 00:12:09] 对吧
[00:12:09 - 00:12:12] 完全是从深圳定制的这个这个名片硬件
[00:12:12 - 00:12:15] 去年收入千多万美金现在越收入超过一千多万美金
[00:12:15 - 00:12:17] 所以这个两年的公司
[00:12:17 - 00:12:20] 据说现在已经在准备在美国IPO了
[00:12:20 - 00:12:23] 循环阵能
[00:12:23 - 00:12:27] 大家知道循环阵能可能是更多的是因为它和越战员时间纠纷
[00:12:27 - 00:12:29] 但是今天这个循环阵能做得非常好
[00:12:29 - 00:12:31] 它在垂直的ARAR一进场景里面
[00:12:31 - 00:12:36] 基本占领了中国这个汽车CXS销售的80%量市场份额
[00:12:36 - 00:12:39] 它同样的为具有自己的专用硬件
[00:12:39 - 00:12:40] 一个AR的名片
[00:12:40 - 00:12:42] 给销售人员带着胸前
[00:12:42 - 00:12:45] 销售汽车电车电车销售人员
[00:12:45 - 00:12:48] 这个这个给客户卖车的时候
[00:12:48 - 00:12:49] 他可以自动救下来
[00:12:49 - 00:12:52] 自动分析你有沒有根据SOP啊自动这个化数
[00:12:53 - 00:12:56] 规范然后这个当中有什么有什么问题
[00:12:56 - 00:12:59] 如果落了什么卖点他可以甚至可以自动的这个提示
[00:12:59 - 00:13:00] 销售人员
[00:13:00 - 00:13:03] 最重要是每天的这个立会不用开了
[00:13:03 - 00:13:05] 以前这个
[00:13:05 - 00:13:08] 给些销售人员卖这些硬件软件
[00:13:08 - 00:13:10] 都很难他觉得是管理他们的
[00:13:10 - 00:13:13] 他们都不愿意去接受这些管理软件
[00:13:13 - 00:13:15] 但是今天解放他们
[00:13:15 - 00:13:17] 以前的每天结束以后
[00:13:17 - 00:13:19] 销售经理着急销售员开立会不用开了
[00:13:19 - 00:13:20] 现在全部自动的
[00:13:20 - 00:13:22] 像销售经理汇报
[00:13:22 - 00:13:24] 每个销售员今天谈了几个客户
[00:13:24 - 00:13:25] 谈了效果怎么样
[00:13:25 - 00:13:27] 话数怎么样 有没有按照规范来
[00:13:27 - 00:13:29] 有哪些客户是有可能性的
[00:13:29 - 00:13:31] 现在就不用开立会了
[00:13:31 - 00:13:33] 销售员完成任务就可以自己下班了
[00:13:33 - 00:13:36] 这些销售员就非常愿意接受这样的
[00:13:36 - 00:13:37] 新的AI产品
[00:13:37 - 00:13:39] 现在国内的SES
[00:13:39 - 00:13:41] SES店基本都已经占领了
[00:13:41 - 00:13:43] 然后现在也在进入金融领域
[00:13:43 - 00:13:46] 今天如果再做了金融行业的领导
[00:13:46 - 00:13:47] 也可以考虑考虑这样的产品
[00:13:47 - 00:13:49] 这个是非常好的
[00:13:49 - 00:13:52] 一个新的AI-Fu能的乱一件结合的产品
[00:13:53 - 00:13:57] 这个是我一直在讲的Fancy就是酷活内活
[00:13:57 - 00:14:00] 文生图最重要是编辑功能
[00:14:00 - 00:14:01] 文生视频更难
[00:14:01 - 00:14:03] 光靠编辑还可能解决不了
[00:14:03 - 00:14:05] 那么我把编辑功能全部接过来
[00:14:05 - 00:14:07] 我们在美国也投了一个公司一样的
[00:14:07 - 00:14:09] 把編輯功能外包到印度去
[00:14:09 - 00:14:12] 中國就是外包到二三線程式的工作
[00:14:12 - 00:14:13] 來做編輯功能
[00:14:15 - 00:14:17] 這個設定可能有95%的AI
[00:14:17 - 00:14:18] 5%的人工
[00:14:21 - 00:14:23] 這個可能要50% 60%的AI
[00:14:23 - 00:14:24] 45%的人工
[00:14:24 - 00:14:25] 就不同質量
[00:14:25 - 00:14:26] 不同課程要求
[00:14:26 - 00:14:28] 它卻到AI的編輯功能
[00:14:28 - 00:14:30] 和人的編輯功能
[00:14:30 - 00:14:30] 可能是不一樣的
[00:14:35 - 00:14:36] 這個也差不多50%的AI
[00:14:36 - 00:14:37] 50%的編輯
[00:14:38 - 00:14:39] 所以這些功能
[00:14:39 - 00:14:43] 有些人類的參與的苦活力活
[00:14:43 - 00:14:44] 這都是大廠不願意幹的
[00:14:44 - 00:14:45] 老百度為什麼說
[00:14:45 - 00:14:50] 百度不願意研發這個紋身視頻的模型
[00:14:50 - 00:14:52] 它就感覺這個五年之內
[00:14:52 - 00:14:55] 紋身視頻是不可能100%交付商用的
[00:14:55 - 00:14:56] 必須人工編輯的
[00:14:56 - 00:14:59] 這就是創業公司的機會
[00:14:59 - 00:15:02] 同樣的我們也不是研發任何底層模型
[00:15:02 - 00:15:06] 我們整合幾百個各種各樣的紋身視頻的模型
[00:15:06 - 00:15:07] 根據用戶的風格
[00:15:07 - 00:15:09] 像中东的客户他们在中东做得非常好
[00:15:09 - 00:15:11] 中东客户可能需要中东风格
[00:15:11 - 00:15:12] 符合中国东要求的
[00:15:12 - 00:15:15] 比如他对面筋都有各种要求
[00:15:15 - 00:15:16] 你不能入出来
[00:15:16 - 00:15:17] 把这种要符合他的规范
[00:15:17 - 00:15:20] 各种垂直场景的视频模型
[00:15:20 - 00:15:21] 但是我生成以后
[00:15:21 - 00:15:24] 靠中国阿山西厕市工作室
[00:15:24 - 00:15:25] 南京人工编辑
[00:15:25 - 00:15:27] 去直接交付给这个企业
[00:15:27 - 00:15:30] 而他们需求的这样最终产品
[00:15:30 - 00:15:31] 所以这也是中国为什么
[00:15:31 - 00:15:33] 卵件 AI 负能卵件
[00:15:33 - 00:15:34] 可能有机会
[00:15:34 - 00:15:36] 像这个超过美国的卵件公司
[00:15:36 - 00:15:38] 就是我們用直接用AR交付結果
[00:15:38 - 00:15:39] 我們不賣軟件
[00:15:39 - 00:15:40] 直接用AR交付結果
[00:15:40 - 00:15:42] 這是今天中國的軟件公司
[00:15:42 - 00:15:44] 這個迅速爆發的一個很大的機會點
[00:15:47 - 00:15:50] 消費電子 消費電子這個其實可能是元宇宙
[00:15:50 - 00:15:52] 再次回來的一個非常好的契機
[00:15:52 - 00:15:54] 而且中國的公司特別有優勢
[00:15:54 - 00:15:55] 全部在大網區
[00:15:55 - 00:15:57] 任何硬件基本都是在大網區開發的
[00:15:57 - 00:16:00] 但是同樣的要做檢訪 不要做加法
[00:16:00 - 00:16:02] 做檢訪加法是太複雜了
[00:16:02 - 00:16:06] 因為這個電子 消費電子供應鏈太複雜了
[00:16:06 - 00:16:08] 今年春节前就有个创业公司
[00:16:08 - 00:16:09] 华尔勒隆制了一半的钱
[00:16:09 - 00:16:11] 开了一个巨大的发布会
[00:16:11 - 00:16:13] 但是春节以后交付不了
[00:16:13 - 00:16:14] 这就是很大的陷阱
[00:16:14 - 00:16:17] 千万不要陷入加法的陷阱里面去
[00:16:22 - 00:16:24] 所以我觉得最后讲一下就是
[00:16:24 - 00:16:27] AI我觉得这一波在英文端
[00:16:27 - 00:16:28] 中国有巨大的机会
[00:16:28 - 00:16:31] 但是我觉得还是要注重商业化
[00:16:31 - 00:16:36] 所有AI用的壁垒都在技术之外
[00:16:36 - 00:16:37] 要更懂商业
[00:16:37 - 00:16:39] 要全力出海
[00:16:39 - 00:16:40] 謝謝大家
