BV号：BV1vDqaYUEND
标题：BV1vDqaYUEND
链接：https://www.bilibili.com/video/BV1vDqaYUEND
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-31 03:27:02

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 在这个人工智能浪潮洶湧的时代
[00:03:33 - 00:03:34] 预计到2024年底
[00:03:34 - 00:03:38] 微软将拥有75万到90万块等效的H100算力
[00:03:38 - 00:03:39] 而到了2025年
[00:03:39 - 00:03:43] 这个数字有望扩展到250万到310万块
[00:03:43 - 00:03:46] 可以说算力的增长势头是相当强劲的
[00:03:46 - 00:03:48] 说完微软我们再来看看谷歌
[00:03:48 - 00:03:51] 谷歌在人物智能领域一直处于领先的地位
[00:03:51 - 00:03:53] 算力布局也毫不逊色
[00:03:53 - 00:03:56] 谷歌已经拥有了大量自言的定制TPU
[00:03:56 - 00:03:59] 这也是公司内部工作负载的主要计算芯片
[00:03:59 - 00:04:00] 去年12月份
[00:04:00 - 00:04:04] 谷歌推出了下一代迄今为止最强大的TPU V5P
[00:04:04 - 00:04:07] 进一步巩固了在自言芯片领域的优势
[00:04:07 - 00:04:10] 3B Analysis曾经在2023年底的一篇报道中指出
[00:04:10 - 00:04:14] 谷歌是唯一家拥有出色的自言芯片的公司
[00:04:14 - 00:04:18] 在低成本、高性能、而且可靠的大规模AI部署方面的能力
[00:04:18 - 00:04:19] 几乎无人能及
[00:04:19 - 00:04:22] 堪称全球算力最丰富的企业之一
[00:04:22 - 00:04:23] 从谷歌的头来看
[00:04:23 - 00:04:26] 他对基础设施的重视程度也在不断的提高
[00:04:26 - 00:04:29] 2024年第三季度财报估计
[00:04:29 - 00:04:31] 谷歌的AI支出为130亿美元
[00:04:31 - 00:04:34] 其中大部分用来搭建技术的基础设施
[00:04:34 - 00:04:37] 而在这其中大约60%是服务器
[00:04:37 - 00:04:38] 包括GPU和TPU
[00:04:38 - 00:04:42] 假设按照TPU对GPU支出2比1来估算
[00:04:42 - 00:04:43] 并且保守假设
[00:04:43 - 00:04:47] TPU的每美元性能与微软的GPU支出相当
[00:04:47 - 00:04:48] 那么预计到2024年底
[00:04:48 - 00:04:51] 谷歌将拥有相当于100万到150万块
[00:04:51 - 00:04:53] 等效的H100算力
[00:04:53 - 00:04:54] 到了2025年
[00:04:54 - 00:04:55] 谷歌的算力
[00:04:55 - 00:04:57] 预计将进一步扩展到350万
[00:04:57 - 00:04:59] 到420万块等效的H100
[00:04:59 - 00:05:02] 继续保持它在算力领域的领先地位
[00:05:02 - 00:05:03] 而作为社交媒体领域的巨头
[00:05:03 - 00:05:06] Metal在人工智能领域也在不断的发力
[00:05:06 - 00:05:08] Metal曾经发文宣称
[00:05:08 - 00:05:09] 到2024年底
[00:05:09 - 00:05:12] 将拥有相当于60万块H100的算力
[00:05:12 - 00:05:14] 其中包括35万块H100
[00:05:14 - 00:05:16] 剩一部分很可能是H200
[00:05:16 - 00:05:18] 以及少量将在最后一个季度交付的
[00:05:18 - 00:05:19] Blackwell晶片
[00:05:20 - 00:05:21] 如果按照这个数字
[00:05:21 - 00:05:23] 并且结合它在英伟达收入中的
[00:05:23 - 00:05:24] 占比进行推算
[00:05:24 - 00:05:26] Mite的算力规模要比微软略低
[00:05:27 - 00:05:28] 预计2024年
[00:05:28 - 00:05:30] Mite将拥有55万到65万块
[00:05:30 - 00:05:31] 等效的H100算力
[00:05:31 - 00:05:33] 到了2025年
[00:05:33 - 00:05:34] 这个数字将有望增长到
[00:05:34 - 00:05:36] 190万到250万块
[00:05:37 - 00:05:39] 从Mite在人工智能基础设施方面的
[00:05:39 - 00:05:39] 持续投入
[00:05:39 - 00:05:40] 也可以看出
[00:05:40 - 00:05:42] 它在AI领域不断发展的决心
[00:05:42 - 00:05:44] 那相比起其他家来说
[00:05:44 - 00:05:47] Yamashun在这场算力竞争中的策略则略不同
[00:05:48 - 00:05:48] 一方面
[00:05:48 - 00:05:51] Yamashun持有相当数量的应为达芯片
[00:05:51 - 00:05:55] 主要是为了满足通过AWS云平台提供的外部GPU需求
[00:05:55 - 00:05:58] 尤其是为Azropic等公司提供算力支持
[00:05:58 - 00:05:59] 另一方面
[00:05:59 - 00:06:01] Yamashun也在积极地发展自己的自言芯片
[00:06:01 - 00:06:03] 比如Trainerm和Inferential芯片
[00:06:04 - 00:06:06] 不过相比谷歌的TPU
[00:06:06 - 00:06:08] Yamashun在自言芯片方面的起步较晚
[00:06:08 - 00:06:12] 这些芯片在市场的接受度方面起出并不理想
[00:06:12 - 00:06:15] 甚至严马逊还提供高达1.1亿美元的免费额度
[00:06:15 - 00:06:16] 来吸引用户的尝试
[00:06:17 - 00:06:20] 但是在2024年情况似乎出现了转机
[00:06:20 - 00:06:22] 在第三季度财报电话会议上
[00:06:22 - 00:06:24] 严马逊的CEO安迪-甲锡表示
[00:06:24 - 00:06:27] Trinium II芯片获得了巨大的市场兴趣
[00:06:27 - 00:06:29] 公司已经多次与制造合作伙伴协商
[00:06:29 - 00:06:31] 大幅提高原定的生产计划
[00:06:31 - 00:06:35] 虽然目前关于严马逊的Trinium和Trinium II芯片
[00:06:35 - 00:06:38] 换算成等效的H100的具体数量还难以获得
[00:06:38 - 00:06:39] 但是可以确定的是
[00:06:39 - 00:06:41] 严马逊在人工智能算力方面的布局
[00:06:41 - 00:06:43] 正在逐步加强
[00:06:43 - 00:06:44] 预计到2024年底
[00:06:44 - 00:06:46] 严马逊将拥有25万到40万块
[00:06:46 - 00:06:48] 等效的H100算力
[00:06:48 - 00:06:49] 2025年这个数字
[00:06:49 - 00:06:52] 有望达到130万到160万块
[00:06:52 - 00:06:54] 而作为新的入局者
[00:06:54 - 00:06:57] XAI在2024年可谓是一名惊人
[00:06:57 - 00:06:58] XAI标志性的事件
[00:06:58 - 00:07:00] 就是在122天里
[00:07:00 - 00:07:02] 建成了由10万块H100组成的
[00:07:02 - 00:07:04] 世界最大超算Closus
[00:07:04 - 00:07:05] 马斯克还预告了
[00:07:05 - 00:07:07] 未来将扩展到20万块
[00:07:07 - 00:07:10] 由H100和H200组成的超算
[00:07:10 - 00:07:13] 展示了XAI在算力建设方面的雄心壮志
[00:07:13 - 00:07:17] 不过XAI在发展过程中也面临了一些挑战
[00:07:17 - 00:07:18] 尤其是在供电方面
[00:07:18 - 00:07:21] 尽管如此XAI的发展速度依然令人矚目
[00:07:21 - 00:07:25] 根据报道XAI使用了2万块H100训练了GROG2
[00:07:25 - 00:07:28] 然后计划用10万块H100来训练GROG3
[00:07:28 - 00:07:31] 此外XAI并非完全依赖于自由的芯片资源
[00:07:32 - 00:07:34] 部分资源还来源于租力
[00:07:34 - 00:07:36] 根据估计他们从二口云平台租用了
[00:07:36 - 00:07:38] 1.6万块H100
[00:07:38 - 00:07:39] 预计到2024年底
[00:07:39 - 00:07:42] XAI将拥有大约10万块等效H100算力
[00:07:42 - 00:07:44] 而到了2025年
[00:07:44 - 00:07:47] 这个数字可能会增长到55万到100万块
[00:07:47 - 00:07:49] 了解了各大巨头的算力储备之后
[00:07:49 - 00:07:50] 我们再来看一下
[00:07:50 - 00:07:53] OpenI、谷歌、Answerpig、Metal和XAI等公司
[00:07:53 - 00:07:56] 在模型训练算力使用情况的分析
[00:07:56 - 00:07:56] 首先
[00:07:56 - 00:07:58] OpenI在2024年的训练成本
[00:07:58 - 00:08:00] 预计高达30亿美元
[00:08:00 - 00:08:02] 推理成本为40亿美元
[00:08:02 - 00:08:04] 对算力的需求巨大
[00:08:04 - 00:08:08] 据称微软向OpenI提供了40万块GB 200GPU
[00:08:08 - 00:08:10] 用来支持GPT模型的训练
[00:08:10 - 00:08:12] 这使得OpenI的训练能力远超Ansoapig
[00:08:12 - 00:08:15] OpenI也在凭借着强大的算力支持
[00:08:15 - 00:08:17] 不断推进模型的发展
[00:08:17 - 00:08:19] 在人工智能领域保持领先的地位
[00:08:19 - 00:08:22] Ansoapig在2024年预计亏损大约为20亿美元
[00:08:22 - 00:08:24] 而收入仅为几亿美元
[00:08:24 - 00:08:27] 考虑到他们的收入主要来自于API服务
[00:08:27 - 00:08:28] 而且推理成本相对较低
[00:08:28 - 00:08:32] 这意味着20亿美元中大部分都用在了模型的训练上
[00:08:32 - 00:08:35] 保守估计他的训练成本为15亿美元
[00:08:35 - 00:08:36] 大约为OpenI的一半
[00:08:36 - 00:08:39] 不过Asalpic凭借着自身独特的技术和策略
[00:08:39 - 00:08:42] 在前沿模型领域保持了竞争力
[00:08:42 - 00:08:43] 这种差异也反映出了
[00:08:43 - 00:08:46] 两家公司在算力获取和利用上的不同策略
[00:08:46 - 00:08:49] Asalpic的主要云提供商AWS的资源相对有限
[00:08:49 - 00:08:51] 可能也限制了他们的算力规模
[00:08:51 - 00:08:54] 竟然影响了模型训练的规模和能力
[00:08:54 - 00:08:56] 谷歌的Gemini Ultra 1.0模型
[00:08:56 - 00:08:59] 使用了大约为GPD4的2.5倍的计算资源
[00:08:59 - 00:09:01] 发布时间却晚了9个月
[00:09:01 - 00:09:03] 而且所用的计算资源
[00:09:03 - 00:09:06] 比Mata的最新蜡码模型要高25%
[00:09:06 - 00:09:08] 金王谷格拥有强大的计算能力
[00:09:08 - 00:09:10] 但是作为云服务巨头
[00:09:10 - 00:09:12] 它还需要支持大量其他的内部工作负载
[00:09:12 - 00:09:14] 这在一定程度上也分散了
[00:09:14 - 00:09:16] 用来训练前沿模型的算力资源
[00:09:16 - 00:09:19] 而Mata的蜡码3模型所用的计算资源
[00:09:19 - 00:09:20] 比詹姆娜少
[00:09:20 - 00:09:22] 而且发布时间晚8个月
[00:09:22 - 00:09:25] 这表明了Mata分配给前沿模型的资源
[00:09:25 - 00:09:27] 相较于OpenI和谷格更少
[00:09:27 - 00:09:30] Mata同样需要在支持其庞大的社交媒体业务
[00:09:30 - 00:09:31] 和发展人工智能模型之间
[00:09:31 - 00:09:33] 去平衡算力资源
[00:09:33 - 00:09:34] 这也使得他在模型训练的
[00:09:34 - 00:09:36] 算力投入上相对较为谨慎
[00:09:37 - 00:09:39] XAI虽然是新入局者
[00:09:39 - 00:09:40] 但是在算力的利用上
[00:09:40 - 00:09:41] 却展现出了高效的特点
[00:09:42 - 00:09:44] Grogg2的训练计算量大约为
[00:09:44 - 00:09:45] GBT4的两倍
[00:09:45 - 00:09:47] 而Grogg3则预计达到5倍
[00:09:47 - 00:09:49] 单就计算资源利用水平来说
[00:09:49 - 00:09:50] 处于前沿
[00:09:50 - 00:09:52] 尽管XAI的部分算力资源
[00:09:52 - 00:09:53] 来源于租力
[00:09:53 - 00:09:54] 但是这并不影响
[00:09:54 - 00:09:56] 他们在模型训练上的高效表现
[00:09:56 - 00:09:57] 这种发展模式
[00:09:57 - 00:09:59] 也为其他的新兴人工智能公司
[00:09:59 - 00:10:00] 提供了新的思路和借鉴
[00:10:01 - 00:10:03] 随着人工智能技术的不断发展
[00:10:03 - 00:10:05] 以及模型规模和复杂性的持续增长
[00:10:05 - 00:10:08] 对算力的需求也将水涨传高
[00:10:08 - 00:10:11] 这场算力经备竞赛不仅是一场资源的争夺
[00:10:11 - 00:10:13] 更是一场技术和创新的较量
[00:10:13 - 00:10:15] 各大巨头在不断扩充算力的同时
[00:10:15 - 00:10:18] 也在探索如何更加高效的利用这些算力
[00:10:18 - 00:10:19] 来推动人工智能技术的发展
[00:10:19 - 00:10:23] 未来我们可能会看到更加强大的模型诞生
[00:10:23 - 00:10:27] 为医疗 交通 金融等众多的领域带来全所未有的变革
[00:10:27 - 00:10:29] 同时 随着技术的发展
[00:10:29 - 00:10:31] GPU TPU的性能也将不断提升
[00:10:31 - 00:10:33] 成本也可能会进一步降低
[00:10:33 - 00:10:35] 这将使得人工智能技术更加普及
[00:10:35 - 00:10:37] 会及更多的人群和行业
[00:10:37 - 00:10:39] 在这场激烈的竞争中
[00:10:39 - 00:10:41] 谁将成为最后的赢家 目前尚未可知
[00:10:41 - 00:10:43] 但是可以确定的是
[00:10:43 - 00:10:46] 这场算力军备竞赛将推动整个人工智能行业
[00:10:46 - 00:10:47] 以更快的速度向前发展
[00:10:47 - 00:10:50] 为我们带来更多的突破和可能
[00:10:50 - 00:10:51] 好了 今天的分享就到这里
[00:10:51 - 00:10:56] 希望能夠對大家了解全球AI算力領域的競爭態勢有所幫助
[00:10:56 - 00:10:58] 感謝大家的觀看 我們下期再見
