BV号：BV1j59KB1E4s
标题：BV1j59KB1E4s
链接：https://www.bilibili.com/video/BV1j59KB1E4s
识别语言：zh
语言置信度：1
分段数：557
生成时间：2026-08-29 07:29:08

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 原码里藏着一套完整的操作系统设计
[00:03:29 - 00:03:31] 好 接下来这个功能
[00:03:31 - 00:03:33] 可能是8个里面最反常识的一个
[00:03:33 - 00:03:34] Buddy
[00:03:34 - 00:03:35] Buddy是什么
[00:03:35 - 00:03:36] 每个用户都有一只
[00:03:36 - 00:03:38] 独属于自己的虚拟宠物
[00:03:38 - 00:03:39] 你可能会想
[00:03:39 - 00:03:40] 这不就是个穴头吗
[00:03:40 - 00:03:42] Anthropic搞这个干嘛
[00:03:42 - 00:03:43] 但这里有个很离谱的地方
[00:03:43 - 00:03:46] 原麻里宠物种有整整18种
[00:03:46 - 00:03:49] 而且所有动物名全部用16进质编码存储
[00:03:49 - 00:03:50] 为什么
[00:03:50 - 00:03:53] 因为其中一个动物名和内部模型代号壮了
[00:03:53 - 00:03:56] CI购建系统会Grap购建产物出发爆错
[00:03:56 - 00:03:59] 工程师的解法不是加一个例外规则
[00:03:59 - 00:04:02] 而是把所有动物名全部编码了一遍
[00:04:02 - 00:04:05] 这个细节说明Buddy不是一个临时起义的玩具功能
[00:04:05 - 00:04:07] 而是被认真对待的核心模块
[00:04:07 - 00:04:12] 实际上在4月1号的2.1.90版本发布了这个功能
[00:04:12 - 00:04:13] 技术层面
[00:04:13 - 00:04:15] body是一个绑定到用户外地的清亮机agent
[00:04:15 - 00:04:17] 他有自己的状态机
[00:04:17 - 00:04:20] 维护一套情绪值和亲密度参数
[00:04:20 - 00:04:22] 这些参数会根据用户的交互频率
[00:04:22 - 00:04:25] 对话内容甚至时间节奏动态更新
[00:04:25 - 00:04:26] 更有意思的是
[00:04:26 - 00:04:28] body的行为模型基于强化学习
[00:04:28 - 00:04:30] 它会观察你的反应
[00:04:30 - 00:04:32] 学习什么样的互动方式让你更愉快
[00:04:32 - 00:04:34] 然后逐渐调整自己的性格
[00:04:34 - 00:04:36] 每个用户的body
[00:04:36 - 00:04:38] 最终会演化成完全不同的个体
[00:04:38 - 00:04:41] 产品逻辑上这背后是一个非常深刻的动差
[00:04:41 - 00:04:43] 人类对关系的需求
[00:04:43 - 00:04:45] 远比对工具效率的需求更底层
[00:04:45 - 00:04:47] 我们为什么养宠物啊?
[00:04:47 - 00:04:49] 不是因为宠物有用
[00:04:49 - 00:04:51] 而是因为他们给我们情感连接
[00:04:51 - 00:04:53] Buddy把这个逻辑移植到了AI上
[00:04:53 - 00:04:55] 他不是要替代真实宠物
[00:04:55 - 00:04:57] 而是填补一种特定的情感空白
[00:04:57 - 00:04:58] 随时在线
[00:04:58 - 00:04:59] 永不离开
[00:04:59 - 00:05:01] 完全理解你的陪伴
[00:05:01 - 00:05:03] 对于独居的上班族
[00:05:03 - 00:05:04] 异地的学生
[00:05:04 - 00:05:06] 甚至有社交障碍的人群
[00:05:06 - 00:05:08] Buddy提供的不只是功能
[00:05:08 - 00:05:10] 而是一种低门侃的情感出口
[00:05:10 - 00:05:11] 从商业角度看
[00:05:11 - 00:05:14] body也是一个极强的用户留存工具
[00:05:14 - 00:05:16] 你的宠物只在这里
[00:05:16 - 00:05:16] 他认识你
[00:05:16 - 00:05:17] 他记得你
[00:05:17 - 00:05:21] 这种绑定关系比任何功能都更难迁移
[00:05:21 - 00:05:22] 第三个功能
[00:05:22 - 00:05:23] Ultraplan
[00:05:23 - 00:05:25] 光听名字就知道这是个大计划
[00:05:25 - 00:05:27] Ultraplan的核心能力是
[00:05:27 - 00:05:30] 在云端执行长达30分钟的远程任务规划
[00:05:30 - 00:05:33] 这和普通AI的及时回答有什么本质区别
[00:05:33 - 00:05:35] 普通AI是反应式的
[00:05:35 - 00:05:38] 你问他答整个过程在几秒钟内完成
[00:05:38 - 00:05:40] 但Ultraplan是规划式的
[00:05:40 - 00:05:43] 它会用30分钟的时间在云端持续运算
[00:05:43 - 00:05:46] 对一个复杂任务进行深度分解和路径优化
[00:05:46 - 00:05:49] 技术实现上Altrplan基于分布式计算架构
[00:05:49 - 00:05:52] 它把一个复杂目标拆解成多个子任务
[00:05:52 - 00:05:55] 分配给不同的计算节点并行处理
[00:05:55 - 00:05:57] 同时维护一个全局的任务依赖图
[00:05:57 - 00:06:00] 确保子任务之间的顺序和依赖关系正确
[00:06:00 - 00:06:02] 整个规划过程是动态的
[00:06:02 - 00:06:05] 如果某个子任务的结果影响了后续路径
[00:06:05 - 00:06:07] 系统会实施调整体方案
[00:06:07 - 00:06:09] 但马里还有一个细节
[00:06:09 - 00:06:11] AltrePlan支持规划中断和恢复
[00:06:11 - 00:06:14] 也就是说如果你在规划过程中提供了新信息
[00:06:14 - 00:06:16] 它不会从头重来
[00:06:16 - 00:06:19] 而是在当前进度的基础上动态更新方案
[00:06:19 - 00:06:21] 这个设计极大降低了计算资源的浪费
[00:06:21 - 00:06:25] 产品逻辑上AltrePlan解决的是一个长期被忽视的问题
[00:06:25 - 00:06:27] AI的规划深度
[00:06:27 - 00:06:30] 现有的AI工具擅长处理局部问题
[00:06:30 - 00:06:32] 但面对需要跨越多个步骤
[00:06:32 - 00:06:35] 涉及多个资源的复杂任务时往往力不从心
[00:06:35 - 00:06:40] UltraPlan把AI的规划式也从当前对话扩展到了30分钟的云端思考
[00:06:40 - 00:06:42] 这是一个量级以上的乐声
[00:06:42 - 00:06:43] 举个具体例子
[00:06:43 - 00:06:47] 你告诉UltraPlan我需要在两周内完成一个数据分析项目
[00:06:47 - 00:06:49] 它会自动规划数据收集
[00:06:49 - 00:06:52] 清洗分析可视化报告转写的完整路径
[00:06:52 - 00:06:55] 估算每个步骤的时间是别潜在的瓶颈
[00:06:55 - 00:06:57] 甚至预先准备卑选方案
[00:06:57 - 00:07:00] 这不是AI助手,这是AI项目经理
[00:07:00 - 00:07:02] 你觉得AI帮你做30分钟的任务规划
[00:07:02 - 00:07:04] 会比人类项目经理更靠谱吗?
[00:07:04 - 00:07:06] 把你的看法打在公屏上
[00:07:06 - 00:07:09] 第四个功能也是我认为技术含量最高的一个
[00:07:09 - 00:07:10] Coordinator Mode
[00:07:10 - 00:07:12] 这个功能把Cloud变成了一个经理
[00:07:12 - 00:07:15] 它不再亲自执行每一个任务
[00:07:15 - 00:07:16] 而是把任务分解
[00:07:16 - 00:07:18] 分配给多个专门的自Agent
[00:07:18 - 00:07:20] 然后协调他们的执行汇总结果
[00:07:20 - 00:07:23] 这听起来和普通的多Agent系统没什么区别
[00:07:23 - 00:07:25] 但关键在于协调这两个字
[00:07:25 - 00:07:27] 技术细节来了
[00:07:27 - 00:07:28] Coordinator Mode
[00:07:28 - 00:07:30] 维护一个动态的Agent的池和任务对列
[00:07:30 - 00:07:33] 每个自Agent有自己的能力标签
[00:07:33 - 00:07:34] 比如代码生成
[00:07:34 - 00:07:36] 数据分析 文档转写
[00:07:36 - 00:07:38] Corner会根据任务的性质
[00:07:38 - 00:07:41] 自动匹配最合适的Agent组合
[00:07:41 - 00:07:42] 更重要的是
[00:07:42 - 00:07:45] CornerMode实现了任务依赖图的实施管理
[00:07:45 - 00:07:47] 它知道哪些任务必须串形执行
[00:07:47 - 00:07:49] 哪些可以并行
[00:07:49 - 00:07:51] 哪些任务的输出是其他任务的输入
[00:07:51 - 00:07:53] 这套依赖关系的管理
[00:07:53 - 00:07:56] 是多Agent的系统能否真正协同的核心
[00:07:56 - 00:07:58] 代码里还有一个设计亮点
[00:07:58 - 00:07:59] 失败处理机制
[00:07:59 - 00:08:01] 当某个子Agent执行失败时
[00:08:01 - 00:08:03] Corner不会直接抱错
[00:08:03 - 00:08:05] 而是先嘗試重視
[00:08:05 - 00:08:06] 如果重視失敗
[00:08:06 - 00:08:09] 再嘗試把任務轉交給另一個有相同能力的agent
[00:08:09 - 00:08:11] 最後才會向用戶報告失敗
[00:08:11 - 00:08:15] 這套溶挫機制讓整個系統的魯棒性大幅提升
[00:08:15 - 00:08:16] 產品邏輯上
[00:08:16 - 00:08:19] Coronator Mode解決的是AI的規模化問題
[00:08:19 - 00:08:22] 單個模型的能力是有上限的
[00:08:22 - 00:08:24] 但多個專門化的agent的協同工作
[00:08:24 - 00:08:25] 可以突破這個上限
[00:08:25 - 00:08:28] Coronator Mode是實現這種協同的基礎設施
[00:08:28 - 00:08:32] 從工程師創業的角度看意味著未來的AI應用
[00:08:32 - 00:08:34] 不再是一个模型解决所有问题
[00:08:34 - 00:08:38] 而是一个协调层加多个专门化模型的架构
[00:08:38 - 00:08:41] 这个架构和人类组织的运作方式惊人的相似
[00:08:41 - 00:08:42] 第五个功能
[00:08:42 - 00:08:44] UDS Inbox
[00:08:44 - 00:08:47] 这个功能的名字有点技术感
[00:08:47 - 00:08:48] 我来翻译一下
[00:08:48 - 00:08:50] UDS是Unix Domain Socket
[00:08:50 - 00:08:52] IPC是进程间通信
[00:08:52 - 00:08:53] 合在一起
[00:08:53 - 00:08:54] UDS Inbox
[00:08:54 - 00:08:58] 就是让多个Cloud绘画通过Unix与套接字
[00:08:58 - 00:09:00] 互相发消息为什么这很重要
[00:09:00 - 00:09:03] 传统的AI绘画是完全隔离的
[00:09:03 - 00:09:05] 你开了一个窗口和Cloud聊带码
[00:09:05 - 00:09:08] 再开一个窗口让它帮你写文档这两个绘画之间
[00:09:08 - 00:09:09] 没有任何信息流通
[00:09:09 - 00:09:11] 他们是两个独立的孤岛
[00:09:11 - 00:09:14] UDS Inbox打破了这个隔离
[00:09:14 - 00:09:16] 它让不同的Cloud绘画可以互相通信
[00:09:16 - 00:09:19] 共享状态协同工作
[00:09:19 - 00:09:20] 技术实现上
[00:09:20 - 00:09:23] UnixDomainSocket是一种本地进程间通信机制
[00:09:23 - 00:09:25] 比TCPIP快的多
[00:09:25 - 00:09:26] 延迟极低
[00:09:26 - 00:09:28] 而且不经过网络层
[00:09:28 - 00:09:29] 安全性更高
[00:09:29 - 00:09:33] UDS inbox在这个基础上实现了一套消息对列系统
[00:09:33 - 00:09:35] 支持发布订阅模式
[00:09:35 - 00:09:38] 一个绘画可以订阅另一个绘画的特定事件
[00:09:38 - 00:09:40] 当事件发生时自动接收通知
[00:09:40 - 00:09:42] 代码里还有一个细节
[00:09:42 - 00:09:45] UDS inbox实现了消息的优先级管理
[00:09:45 - 00:09:49] 请及消息比如错误通知会插队到对列前端
[00:09:49 - 00:09:50] 普通消息安顺序处理
[00:09:50 - 00:09:54] 这保证了跨绘画通信的实施性和可靠性
[00:09:54 - 00:09:55] 产品逻辑上
[00:09:55 - 00:09:59] UDS inbox是实现多A阵的生态的基础设施
[00:09:59 - 00:10:00] 想像这样一个场景
[00:10:00 - 00:10:03] 你有三个Cloud会话同时在运行
[00:10:03 - 00:10:04] 一个在写代码
[00:10:04 - 00:10:05] 一个在做代码审查
[00:10:05 - 00:10:06] 一个在写文档
[00:10:06 - 00:10:08] 有了UDS Inbox
[00:10:08 - 00:10:11] 这三个会话可以实时同步进度
[00:10:11 - 00:10:12] 代码写完了
[00:10:12 - 00:10:14] 自动通知审查会话开始工作
[00:10:14 - 00:10:16] 审查发现了问题
[00:10:16 - 00:10:17] 自动通知代码会话修改
[00:10:17 - 00:10:18] 修改完成后
[00:10:18 - 00:10:21] 自动通知文档会话更新相关说明
[00:10:21 - 00:10:23] 这不是三个独立的工具
[00:10:23 - 00:10:25] 这是一个协同工作的团队
[00:10:25 - 00:10:26] 从更宏观的角度看
[00:10:26 - 00:10:28] UDS Inbox的出现
[00:10:28 - 00:10:32] 意味着AI系统正在从单体架构走向微服务架构
[00:10:32 - 00:10:34] 每个绘画是一个独立的服务
[00:10:34 - 00:10:36] 通过消息总线协通工作
[00:10:36 - 00:10:39] 这和现代软件工程的发展路径完全一致
[00:10:39 - 00:10:40] 第6个功能
[00:10:40 - 00:10:41] Demon Mode
[00:10:41 - 00:10:45] 守护进程是操作系统里一个非常经典的概念
[00:10:45 - 00:10:48] Linux系统里各种后台服务 网络服务
[00:10:48 - 00:10:50] 日治服务定时任务
[00:10:50 - 00:10:51] 都是以Demon的形式运行的
[00:10:51 - 00:10:54] 通过Demon Mode把这个概念引入了AI绘画
[00:10:54 - 00:10:57] 它让Cloud绘画可以在后台持续运行
[00:10:57 - 00:10:59] 不需要用户一直盯着屏幕
[00:10:59 - 00:11:01] 不需要保持前台窗口打开
[00:11:01 - 00:11:04] 技术实现上DemoMode通过进程分离
[00:11:04 - 00:11:06] Process Detachment实现后台运行
[00:11:06 - 00:11:09] 绘画进程和用户界面进程节有
[00:11:09 - 00:11:12] 绘画可以独立存活即使用户关闭了界面
[00:11:12 - 00:11:14] 绘画依然在后台继续工作
[00:11:14 - 00:11:17] 更重要的是DemoMode实现了状态持久化
[00:11:17 - 00:11:20] 后台运行的绘画会定期把自己的状态
[00:11:20 - 00:11:23] 包括上下文 任务进度中间 结果
[00:11:23 - 00:11:25] 序列化保存到磁盘
[00:11:25 - 00:11:29] 即使系统重启绘画也可以从上次的断点恢复
[00:11:29 - 00:11:30] 继续工作
[00:11:30 - 00:11:31] 代码里还有一个设计
[00:11:31 - 00:11:32] 事件监听机制
[00:11:32 - 00:11:35] Dimremote的绘画可以注册各种出发条件
[00:11:35 - 00:11:36] 比如
[00:11:36 - 00:11:38] 当某个文件被修改时
[00:11:38 - 00:11:40] 当某个API返回特定结果时
[00:11:40 - 00:11:42] 当时间到达某个节点时
[00:11:42 - 00:11:43] 一旦条件满足
[00:11:43 - 00:11:46] 绘画自动激活执行预设的任务
[00:11:46 - 00:11:47] 产品逻辑上
[00:11:47 - 00:11:50] Dimremote解决的是AI的主动性问题
[00:11:50 - 00:11:52] 现有的AI工具都是被动的
[00:11:52 - 00:11:53] 你不问它不答
[00:11:53 - 00:11:55] Dimomode让AI可以主动工作
[00:11:55 - 00:11:57] 主动监控主动响应
[00:11:57 - 00:11:59] 应用场景非常广泛
[00:11:59 - 00:12:01] 自动化的代码质量监控
[00:12:01 - 00:12:02] 实时的数据异常检测
[00:12:02 - 00:12:04] 定时的报告生成
[00:12:04 - 00:12:06] 持续的项目进度追踪
[00:12:06 - 00:12:08] 这些场景都需要AI在后台
[00:12:08 - 00:12:08] 默默工作
[00:12:08 - 00:12:10] 而不是等待用户的每一次指令
[00:12:10 - 00:12:12] 从产品设计的角度看
[00:12:12 - 00:12:14] Dimomode是AI从工具
[00:12:14 - 00:12:16] 走向服务的关键一步
[00:12:16 - 00:12:18] 工具需要你主动使用
[00:12:18 - 00:12:19] 服务则在你需要的时候
[00:12:19 - 00:12:20] 自动出现
[00:12:20 - 00:12:22] 你觉得AI在后台
[00:12:22 - 00:12:23] 悄悄运行主动工作
[00:12:23 - 00:12:25] 是提升效率的革命
[00:12:25 - 00:12:27] 还是隐私安全的隐患
[00:12:27 - 00:12:28] 把你的看法打在公屏上
[00:12:28 - 00:12:29] 第七个功能
[00:12:29 - 00:12:31] AutoDream
[00:12:31 - 00:12:32] 这个名字很有诗意
[00:12:32 - 00:12:33] DreamMung
[00:12:33 - 00:12:36] AutoDream自动作梦它的功能是
[00:12:36 - 00:12:39] 自动把你分散的零碎的笔记和输入
[00:12:39 - 00:12:40] 整理成结构化的知识库
[00:12:40 - 00:12:41] 你可能会想
[00:12:41 - 00:12:43] 这不就是个笔记整理工具吗
[00:12:43 - 00:12:44] 有什么特别的
[00:12:44 - 00:12:46] 特别的地方在于
[00:12:46 - 00:12:48] 自动和结构化这两个词
[00:12:48 - 00:12:50] 技术层面AutoDream不是简单的
[00:12:50 - 00:12:52] 关键词提取或者标签分类
[00:12:52 - 00:12:54] 它基于深度语意理解
[00:12:54 - 00:12:56] 能识别不同笔记之间的隐性关联
[00:12:56 - 00:12:59] 即使你从来没有明确说过这两件事有关系
[00:12:59 - 00:13:02] AutoDream也能通过与一相似度分析
[00:13:02 - 00:13:04] 发现它们之间的连接
[00:13:04 - 00:13:07] 更进一步AutoDream会构建一个动态的知识图谱
[00:13:07 - 00:13:09] 每一条信息是图谱中的一个节点
[00:13:09 - 00:13:11] 节点之间的关联是编
[00:13:11 - 00:13:13] 随着你输入的信息越来越多
[00:13:13 - 00:13:15] 图谱会自动扩展
[00:13:15 - 00:13:18] 新信息会自动和已有节点建立连接
[00:13:18 - 00:13:21] 代码层面AutoDream实现了一套增量式的知识图谱
[00:13:21 - 00:13:24] 每次新信息进来系统不会重新构建整个图谱
[00:13:24 - 00:13:26] 而是只更新受影响的局部区域
[00:13:26 - 00:13:30] 这大幅降低了计算开销让时时更新成为可能
[00:13:30 - 00:13:34] 产品逻辑上AutoDream解决的是一个普遍存在的痛点
[00:13:34 - 00:13:36] 知识管理的碎片化问题
[00:13:36 - 00:13:38] 我们每天产生大量的信息
[00:13:38 - 00:13:41] 会议记录灵感闪现阅读笔记代码注释
[00:13:41 - 00:13:44] 这些信息分散在各个地方很难被有效利用
[00:13:44 - 00:13:46] AutoDream把这碎片自动
[00:13:46 - 00:13:48] 整合成一个有机的知识体系
[00:13:48 - 00:13:50] 让你随时可以减锁和调用
[00:13:50 - 00:13:52] 对于研究人员开发者内容创作者来说
[00:13:52 - 00:13:54] 这个功能的价值难以估量
[00:13:54 - 00:13:57] 它相当于给你配了一个全职的知识管理助理
[00:13:57 - 00:14:00] 七成二十四小时不间断地整理你的信息资产
[00:14:00 - 00:14:02] 从更宏观的角度看
[00:14:02 - 00:14:05] AutoDream是Carol's梦想机制的延伸
[00:14:05 - 00:14:07] Carol's整理的是AI自己的记忆
[00:14:07 - 00:14:09] AutoDream整理的是用户的知识
[00:14:09 - 00:14:11] 两者合在一起
[00:14:11 - 00:14:14] 构成了一个完整的人机共同记忆系统
[00:14:14 - 00:14:15] 第八个功能
[00:14:15 - 00:14:16] BridgeMode BridgeKiawLearn
[00:14:16 - 00:14:18] BridgeMode是一个KiawLearn
[00:14:18 - 00:14:20] Bridge Mode是一个桥梁
[00:14:20 - 00:14:22] 连接用户和远程的Cloud实力
[00:14:22 - 00:14:25] 它允许用户通过网络远程控制和操作Cloud
[00:14:25 - 00:14:27] 甚至跨设备无缝切换
[00:14:27 - 00:14:29] 但这里有个很离谱的地方
[00:14:29 - 00:14:30] Bridge Mode
[00:14:30 - 00:14:32] 不是简单的远程桌面或者API调用
[00:14:32 - 00:14:35] 它实现的是一种智能远程控制
[00:14:35 - 00:14:37] 用户下达的是高层次的意图指令
[00:14:37 - 00:14:41] Bridge Mode负责把这些指令解析成具体的操作序列
[00:14:41 - 00:14:43] 然后在远程实力上执行
[00:14:43 - 00:14:44] 技术细节来了
[00:14:44 - 00:14:47] Bridge Mode实现了一套完整的安全认证体系
[00:14:47 - 00:14:50] 每次远程连接都需要经过多因素验证
[00:14:50 - 00:14:53] 连接建立后所有通信都经过端对端加密
[00:14:53 - 00:14:57] 更重要的是Bridge Mode实现了稀里度的权限
[00:14:57 - 00:14:58] 控制
[00:14:58 - 00:15:00] 你可以精确指定远程实力可以做什么
[00:15:00 - 00:15:02] 不可以做什么
[00:15:02 - 00:15:05] 甚至可以设置操作的时间窗口和资源上限
[00:15:05 - 00:15:06] 代码里还有一个设计
[00:15:06 - 00:15:08] 操作审计日制
[00:15:08 - 00:15:10] 所有通过Bridge Mode的执行的操作
[00:15:10 - 00:15:12] 都会被完整记录
[00:15:12 - 00:15:16] 包括操作者操作时间操作内容执行结果
[00:15:16 - 00:15:19] 这个审计机制是企业及安全合规的基础
[00:15:19 - 00:15:20] 产品逻辑上
[00:15:20 - 00:15:23] bridge mode解决的是AI的空间限制问题
[00:15:23 - 00:15:27] 现有的AI工具通常绑定在单一设备或单一绘画上
[00:15:27 - 00:15:29] bridge mode让AI突破了这个限制
[00:15:29 - 00:15:31] 你可以在手机上发起个任务
[00:15:31 - 00:15:34] 让远程服务器上的Cloud实力执行
[00:15:34 - 00:15:36] 你可以在家里开始的工作
[00:15:36 - 00:15:38] 无缝切换到公司的设备上继续
[00:15:38 - 00:15:40] 你可以把Cloud部署在高性能服务器上
[00:15:40 - 00:15:42] 然后从任何设备远程调用
[00:15:42 - 00:15:44] 从工程师的视角看
[00:15:44 - 00:15:48] Bridge Mode是构建分布式AI系统的基础设施
[00:15:48 - 00:15:51] 它让AI实力可以像云服务一样被调用和管理
[00:15:51 - 00:15:54] 极大拓展了AI的部署和应用场景
[00:15:54 - 00:15:57] 还有两个额外的隐藏特性值得单独提一下
[00:15:57 - 00:15:58] Yolo分类器
[00:15:58 - 00:16:00] 这是一个自动权限管理系统
[00:16:00 - 00:16:02] 它能实时分析每一个操作请求
[00:16:02 - 00:16:05] 自动判断这个操作需要什么级别的权限
[00:16:05 - 00:16:08] 是否需要用户确认是否存在安全风险
[00:16:08 - 00:16:09] 名字叫Yolo
[00:16:09 - 00:16:11] You only look once
[00:16:11 - 00:16:14] 借用了计算机视觉领域的经典算法名称
[00:16:14 - 00:16:16] 意思是一次扫描及时判断
[00:16:16 - 00:16:18] Undercover Mode 引申模式
[00:16:18 - 00:16:21] 这个功能用于A场内部员工使用
[00:16:21 - 00:16:24] 用于信息安全会自动剥离AI参与的痕迹
[00:16:24 - 00:16:27] 让AI生成的内容看起来像是人类写的
[00:16:27 - 00:16:31] 这个功能的存在引发了很多关于AI透明度和轮理的讨论
[00:16:31 - 00:16:34] 但从技术角度看,它的实现非常静妙
[00:16:34 - 00:16:37] 涉及文本风格迁移和原模式混淆
[00:16:37 - 00:16:39] 好,讲完这八个功能
[00:16:39 - 00:16:42] 我想说一个很多人可能没意识到的核心问题
[00:16:42 - 00:16:44] 大家在讨论这次原码泄漏的时候
[00:16:44 - 00:16:46] 焦点都在泄漏了什么
[00:16:46 - 00:16:48] 安全风险有多大
[00:16:48 - 00:16:49] 但真正值得关注的
[00:16:49 - 00:16:52] 是这些功能背后透露出来的产品设计哲学
[00:16:52 - 00:16:53] 你可能会问
[00:16:53 - 00:16:58] 这些功能和现在市面上的AI产品有什么本质区别
