BV号：BV1PjovBUEyb
标题：BV1PjovBUEyb
链接：https://www.bilibili.com/video/BV1PjovBUEyb
识别语言：zh
语言置信度：1
分段数：182
生成时间：2026-08-29 08:10:39

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:06] 上期视频里我们一起拆解了DeepSeqV4的58页论文
[00:03:25 - 00:03:27] 压缩128倍Woverlap
[00:03:27 - 00:03:30] 那些还不满足压缩长度的碎片token怎么办
[00:03:30 - 00:03:32] 生腾设计了专门的StateCache
[00:03:32 - 00:03:35] 和ScoreCache把它们暂存起来
[00:03:35 - 00:03:38] 更变态的是在MTP多token预测
[00:03:38 - 00:03:40] 也就是投机推理的时候
[00:03:40 - 00:03:42] 预测失败是会回滚的
[00:03:42 - 00:03:44] 一回滚显存就全是碎片
[00:03:44 - 00:03:47] 生腾在底层直接设计了一个ring buffer
[00:03:47 - 00:03:50] 环形缓冲区来附用Window和State的cache内存
[00:03:50 - 00:03:52] 实现最小化的空间占用
[00:03:52 - 00:03:54] 而且给底层 Lightning Indexer
[00:03:54 - 00:03:58] 和SAS算子内置了T型研码
[00:03:58 - 00:04:01] 确保那些还在验证期没被接收的脏token
[00:04:01 - 00:04:03] 绝对不会参与主模型的计算
[00:04:03 - 00:04:04] 再看并行策略
[00:04:04 - 00:04:06] 在常序列的PreFuel阶段
[00:04:06 - 00:04:10] 他们用了CP 上下文 并行 加一P 专加并行
[00:04:10 - 00:04:12] 但普通CP切分
[00:04:12 - 00:04:14] 越往后的显卡吃的历史数据越多
[00:04:14 - 00:04:16] 卡件复杂严重失衡
[00:04:16 - 00:04:18] 生腾搞了个ZigZag巨石装部署
[00:04:18 - 00:04:20] 把不同长度的context chunk
[00:04:20 - 00:04:23] 以前以后交错放在不同卡上
[00:04:23 - 00:04:26] 强行抹平了卡间计算量在decode的阶段
[00:04:26 - 00:04:30] 为了缓解O-project和LM-head的仿存瓶颈
[00:04:30 - 00:04:33] 甚至动用了局部的TP张量并行切分
[00:04:33 - 00:04:34] 但这还没完
[00:04:34 - 00:04:36] 在生腾的kn软件站里
[00:04:36 - 00:04:38] 有一项我个人认为最性感的底层操作
[00:04:38 - 00:04:41] 多流并行与CV控和
[00:04:41 - 00:04:44] 芯片底层分为处理矩真运算的Cube盒
[00:04:44 - 00:04:46] 和处理向量运算的Vecta盒
[00:04:46 - 00:04:50] 在跑MOE网络时路由专家计算量巨大
[00:04:50 - 00:04:51] 占用Q不和
[00:04:51 - 00:04:54] 而那个新增的共享专家耗时短算子少
[00:04:54 - 00:04:57] CNN直接在底层控制
[00:04:57 - 00:04:59] 把共享专家扔给闲置的Vector和去跑
[00:04:59 - 00:05:01] 两条流完全并行
[00:05:01 - 00:05:03] 相当于让共享专家的计算耗时
[00:05:03 - 00:05:06] 直接在物理层面上隐身了
[00:05:06 - 00:05:08] 而主力的路由专家性能毫无裂画
[00:05:08 - 00:05:12] 不仅如此针对decode阶段的纯净态shape场景
[00:05:12 - 00:05:14] 升腾直接寄出了MapographX图件
[00:05:14 - 00:05:20] 把Dynamo编译和FX图处理的静态颗露编译结果进行落盘缓存
[00:05:20 - 00:05:24] 下次执行直接调缓存,连启动这几毫秒都要扣出来
[00:05:24 - 00:05:28] 说完了高光时刻,我们该聊聊最难啃的骨头了,训练
[00:05:28 - 00:05:31] 在训练端5家大厂集体师生
[00:05:31 - 00:05:33] 目前只有华为生腾明确拿出了成果
[00:05:33 - 00:05:38] 为什么?因为训练面对的是频繁的MOE专家通信
[00:05:38 - 00:05:40] 极易踢度爆炸的精度对齐
[00:05:40 - 00:05:42] 以及各种防不胜防的硬件故障
[00:05:42 - 00:05:46] 这就是为什么说训练才是芯片的生死事今时
[00:05:46 - 00:05:50] 目前生腾已经跑通了基于Torch Titan的NPU插件
[00:05:50 - 00:05:52] 结合算子的自动融合
[00:05:52 - 00:05:54] 大幅提升了图模式训练的异用性
[00:05:54 - 00:05:56] 而且官方明确承诺
[00:05:56 - 00:05:57] 在Linwake就会开源
[00:05:57 - 00:06:00] 基于Torch Titan的训练支持代码
[00:06:00 - 00:06:02] 这说明他们在集群通信网络的稳定性上
[00:06:02 - 00:06:04] 已经越过了最难熬的阶段
[00:06:04 - 00:06:06] 最后我们来聊聊生态
[00:06:06 - 00:06:09] 前面说到V4的核心库绑定枯的
[00:06:09 - 00:06:12] 要想破局就必须重构这套抽象层规则
[00:06:12 - 00:06:14] 在升腾的这份报告里
[00:06:14 - 00:06:21] 他们不仅开源了基于AscendC和Pittorch底层手撮的MHC残差融合算子
[00:06:21 - 00:06:23] 更关键的是他们全面支持了
[00:06:23 - 00:06:25] Tel-Line原生开源的Colonel
[00:06:25 - 00:06:28] Tel-Line允许你用Pythonic的语法写算子
[00:06:28 - 00:06:30] 底层交给编译期硬设
[00:06:30 - 00:06:35] 升腾现在同时提供了Tel-Line Ascend的Expert和Developer两种开发模式
[00:06:35 - 00:06:37] 打通了底层的指令级
[00:06:37 - 00:06:38] 这才是最可怕的
[00:06:38 - 00:06:41] 一旦这套编译期后端的生态彻底结有
[00:06:41 - 00:06:44] 未来的开发者就不需要再去死磕哭大指令了
[00:06:44 - 00:06:49] 写一套代码直接无缝跑在国产GPU和NPU上
[00:06:49 - 00:06:52] 好了 这场全景大考到这里就拆解完毕了
[00:06:52 - 00:06:55] 回顾这份技术报告我们可以清晰地看到
[00:06:55 - 00:06:58] 在推理端 国产算力已经实现了百花齐放
[00:06:58 - 00:07:00] 进度条推到了70%
[00:07:00 - 00:07:02] 在训练端依然是地狱难度
[00:07:02 - 00:07:07] 目前仅有华为生腾极少数玩家能在这个排桌上稳住阵脚
[00:07:07 - 00:07:08] 进度条可能只有20%
[00:07:08 - 00:07:16] 在生态端,我们才刚刚开始尝试通过Tel Line和CNN这样的中间键打破枯大的路径依赖
[00:07:16 - 00:07:18] 这是一场漫长的持久战
[00:07:18 - 00:07:20] 没有所谓的Dalyn轻松一秒替代
[00:07:20 - 00:07:23] 科技的进步是靠一行行底层指令堆出来的
[00:07:23 - 00:07:27] 我们有生疼这样在底层修桥铺路四颗算子的老大哥
[00:07:27 - 00:07:31] 也有其他国产厂商在推理端疯狂输出的生力军
[00:07:31 - 00:07:35] 认清真实的差距不去神话对手也不看清自己
[00:07:35 - 00:07:37] 这才是我们这代技术人该有的态度
[00:07:37 - 00:07:41] 如果你喜欢这种不吹不黑硬核拆解的工程师视角
[00:07:41 - 00:07:44] 请勿必用你们的一键三连支持一下这期视频
[00:07:44 - 00:07:47] 你们觉得在训练大模型这块
[00:07:47 - 00:07:50] 国产芯片最大的瓶颈究竟是通信还是软件站
[00:07:50 - 00:07:52] 欢迎在评论区和我一起探讨
[00:07:52 - 00:07:54] 我是为什么叫QQ
[00:07:54 - 00:07:55] 我们下期再见
