BV号：BV1ut5R6CEmn
标题：BV1ut5R6CEmn
链接：https://www.bilibili.com/video/BV1ut5R6CEmn
识别语言：zh
语言置信度：1
分段数：236
生成时间：2026-08-29 08:40:40

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你有没有发现自从用了AI写代码
[00:03:02 - 00:03:04] 而是会问你用户忘记密码怎么办
[00:03:04 - 00:03:06] 需要支持第三方登录吗
[00:03:06 - 00:03:09] 登录失败的错误提示应该怎么设计
[00:03:09 - 00:03:11] 这种反向考问的机制
[00:03:11 - 00:03:13] 极大地降低了需求理解的偏差
[00:03:13 - 00:03:18] MAT成GrillMe和GrillWithDogs是它最受欢迎的skills
[00:03:18 - 00:03:21] 因为他们强迫开发者在写下第一行代码之前
[00:03:21 - 00:03:23] 先进行深度的思考
[00:03:23 - 00:03:26] 接下来是第二个通点 AI的戎长和废话
[00:03:26 - 00:03:29] MAT指出 当AI被空降到一个新项目中时
[00:03:29 - 00:03:32] 它不了解你们团队的黑化和业务背景
[00:03:32 - 00:03:34] 所以只能用大量的通用词汇来猜测
[00:03:34 - 00:03:38] 这在领域驱动设计中被称为缺乏通用语言
[00:03:38 - 00:03:40] MAT的解决方案是Grid with Dox技能
[00:03:40 - 00:03:42] 在考问你的同时
[00:03:42 - 00:03:46] AI会检查项目已有的领域语言和ContextMD
[00:03:46 - 00:03:48] 当你使用了模糊或冲突的数语时
[00:03:48 - 00:03:50] 它会当场追问澄清
[00:03:50 - 00:03:53] 并把已经确认的数语和关键决策
[00:03:53 - 00:03:55] 沉淀到context.md或adr中
[00:03:55 - 00:03:57] 这不是简单自动提取关键词
[00:03:57 - 00:04:01] 而是把需求讨论变成可附用的项目上下文
[00:04:01 - 00:04:02] 有了这本指南
[00:04:02 - 00:04:04] AI不仅废话少了
[00:04:04 - 00:04:06] 而且在命名辨量和含数时
[00:04:06 - 00:04:07] 也能保持高度的一致性
[00:04:07 - 00:04:10] 甚至还能节省大量的思考token
[00:04:10 - 00:04:10] 举个例子
[00:04:10 - 00:04:13] 如果你的团队把用户称为客户
[00:04:13 - 00:04:17] 把订单称为交易AI在阅读了Context MD之后
[00:04:17 - 00:04:19] 就会自动使用这些数语
[00:04:19 - 00:04:21] 而不会再用它自己编造的词汇
[00:04:21 - 00:04:23] 这不仅提高了沟通效率
[00:04:23 - 00:04:25] 也让生成的代码更符合团队的规范
[00:04:25 - 00:04:29] 最后我们来聊聊最致命的价购退化问题
[00:04:29 - 00:04:30] AI写代码太快了
[00:04:30 - 00:04:33] 快到我们根本来不及思考价购设计
[00:04:33 - 00:04:34] 为了对抗这种商增
[00:04:34 - 00:04:38] MAT把经典的软件工程实践融入到了AI工作流中
[00:04:38 - 00:04:40] 比如它设计了TDD技能
[00:04:40 - 00:04:45] 引导AI在这个工作流内遵循红绿重构的测试驱动开发循环
[00:04:45 - 00:04:48] 不是一次性写完所有测试在实现所有代码
[00:04:48 - 00:04:52] 而是一个行为一个测试按垂直切片推进
[00:04:52 - 00:04:53] AI先写一个失败的测试
[00:04:53 - 00:04:55] 然后实现功能再重构
[00:04:55 - 00:04:56] 然后循环
[00:04:56 - 00:04:59] 这种做法不仅保证了代码的质量
[00:04:59 - 00:05:00] 也让AI的输出更加可控
[00:05:00 - 00:05:03] 更觉得是improve codebase architecture技能
[00:05:03 - 00:05:06] MAT建议开发者定期运行这个技能
[00:05:06 - 00:05:09] 让AI从全局视角审视代码库
[00:05:09 - 00:05:11] 它会审视代马库的模块设计
[00:05:11 - 00:05:12] 找出那些解口复杂
[00:05:12 - 00:05:14] 难以测试容易出bug的地方
[00:05:14 - 00:05:16] 并提出改进方向
[00:05:16 - 00:05:18] 这就像是给代马库定期做一次
[00:05:18 - 00:05:20] 深度的体检和理聊
[00:05:20 - 00:05:22] 除了这些核心技能
[00:05:22 - 00:05:24] Met还提供了一系列使用的工具
[00:05:24 - 00:05:26] 比如diagnose技能
[00:05:26 - 00:05:28] 它提供了一个结构化的整段循环
[00:05:28 - 00:05:30] 重新bug最小化
[00:05:30 - 00:05:31] 假设验证修复回归测试
[00:05:31 - 00:05:34] 它的核心不是直接猜答案
[00:05:34 - 00:05:36] 而是先建立可重复的反馈循环
[00:05:36 - 00:05:38] 还有two prd技能
[00:05:38 - 00:05:42] 可以把当前对话和代码库理解整理成PRD
[00:05:42 - 00:05:44] 并发布到项目配置的E-shoot tracker
[00:05:44 - 00:05:46] 比如Gatehub issues linear或本地文件
[00:05:46 - 00:05:48] 这些技能的设计初衷
[00:05:48 - 00:05:51] 都是为了让AI更好地融入现有的工程实践
[00:05:51 - 00:05:53] 而不是去颠覆它们
[00:05:53 - 00:05:55] 其实这个理念和我的一期视频
[00:05:55 - 00:05:58] 限制AI自由AI编程的正确姿势
[00:05:58 - 00:06:01] 理讲的三个开源项目的核心思想完全一致
[00:06:01 - 00:06:04] 我在那期视频里发现了一个很离谱的事
[00:06:04 - 00:06:08] 最聪明的AI编程方式反而是限制AI的自由度
[00:06:08 - 00:06:11] 通过流程化、规范化、可验症化
[00:06:11 - 00:06:13] 我们可以让AI成为真正的生产力工具
[00:06:13 - 00:06:15] Math Pocock的Skills Tung-Coo
[00:06:15 - 00:06:17] 其实就是这个理念的极大成者
[00:06:17 - 00:06:19] 如果你还没看过那期视频
[00:06:19 - 00:06:23] 我强烈建议你去看一下两期视频结合起来
[00:06:23 - 00:06:26] 能帮你彻底理解AI时代的工程范式转变
[00:06:26 - 00:06:28] 看到这里你可能会想
[00:06:28 - 00:06:30] 这些不都是传统的软件工程方法吗?
[00:06:30 - 00:06:32] 测试驱动开发
[00:06:32 - 00:06:33] 领域驱动设计
[00:06:33 - 00:06:35] 架构重构
[00:06:35 - 00:06:37] 这些老掉牙的概念在AI时代还有用吗?
[00:06:37 - 00:06:41] 这正是MATPOLCAC带给我们的最大认知反转
[00:06:41 - 00:06:44] 很多人以为有了AI我们就不需要懂架构
[00:06:44 - 00:06:46] 不需要写测试甚至不需要懂编程了
[00:06:46 - 00:06:48] 但事实恰恰相反
[00:06:48 - 00:06:50] AI是一个极其强大的执行者
[00:06:50 - 00:06:53] 但它缺乏对复杂系统的全局把控能力
[00:06:53 - 00:06:55] 如果你不懂软件工程
[00:06:55 - 00:06:58] AI只会帮你以10倍的速度制造垃圾代码
[00:06:58 - 00:07:01] 在过去写出一段烂带码可能需要几天时间
[00:07:01 - 00:07:03] 而现在AI只需要几秒钟
[00:07:03 - 00:07:05] 就能生成成百上千行的烂带码
[00:07:05 - 00:07:07] 如果不加以控制
[00:07:07 - 00:07:10] 这些烂代码很快就会把整个项目拖垮
[00:07:10 - 00:07:12] 这一套方法论背后的核心观点是
[00:07:12 - 00:07:15] 在AI时代坏代码的代价更大
[00:07:15 - 00:07:17] 因此掌握扎实的软件工程基础
[00:07:17 - 00:07:18] 不仅没有过时
[00:07:18 - 00:07:21] 反而成为了开发者最核心的竞争力
[00:07:21 - 00:07:23] 所以 Matt Polcock 的 Skills 仓库
[00:07:23 - 00:07:25] 表面上是一个 AI 工具级
[00:07:25 - 00:07:28] 本质上是一套 AI 时代的软件工程方法论
[00:07:28 - 00:07:32] 他告诉我们不要试图让 AI 接管整个开发流程
[00:07:32 - 00:07:35] 而是要把 AI 签入到成熟的工程实践中
[00:07:35 - 00:07:37] 我们要用Grealme来强化需求分析
[00:07:37 - 00:07:40] 用ContextMD来固化领域知识
[00:07:40 - 00:07:43] 用TDD来保证代码质量
[00:07:43 - 00:07:45] 用架构审查来对抗系统商增
[00:07:45 - 00:07:47] 这套方法论的核心
[00:07:47 - 00:07:49] 就是把人类的系统思考能力和
[00:07:49 - 00:07:52] AI的高效执行能力完美结合起来
[00:07:52 - 00:07:55] 人类负责定义问题 设计架构 制定规范
[00:07:55 - 00:07:59] 而AI负责编写代码生成测试执行重构
[00:07:59 - 00:08:02] 这才是真正的AI工程师应该具备的工作模式
[00:08:02 - 00:08:04] MAT通过它的实践证明了
[00:08:04 - 00:08:06] AI并不是来替代我们的
[00:08:06 - 00:08:08] 而是来放大我们的能力的
[00:08:08 - 00:08:10] 只要我们掌握了正确的方法
[00:08:10 - 00:08:12] AI就能成为我们最得力的助手
[00:08:12 - 00:08:13] 展望未来
[00:08:13 - 00:08:15] 随着大模型能力的不断提升
[00:08:15 - 00:08:17] 国产开源大模型的发展也在加速
[00:08:17 - 00:08:20] AI写代码的门槛会越来越低
[00:08:20 - 00:08:21] 但真正拉开开发者差距的
[00:08:21 - 00:08:23] 不再是写代码的速度
[00:08:23 - 00:08:26] 而是你驾驭AI管理复杂系统的能力
[00:08:26 - 00:08:27] 未来的顶尖工程师
[00:08:27 - 00:08:29] 一定像Matt Polcock这样
[00:08:29 - 00:08:30] 既懂底层技术
[00:08:30 - 00:08:33] 又懂如何与AI进行高效的人机协同
[00:08:33 - 00:08:38] 他们不是被AI替代的马农,而是指挥AI大军的架构师
[00:08:38 - 00:08:43] 他们知道什么时候该让AI自由发挥,什么时候该对AI进行严格的约束
[00:08:43 - 00:08:48] 他们懂得如何利用AI来提升效率,同时也懂得如何防止AI带来的负面影响
[00:08:48 - 00:08:53] 在这个充满变革的时代,我们需要更多像MacPokéak这样的先行者
[00:08:53 - 00:08:56] 为我们探索出一条切实可行的AI工程之路
[00:08:56 - 00:09:00] 总结一下,AI时代软件工程的基础不仅没有失效
[00:09:00 - 00:09:03] 反而成为了你最核心的互成核
[00:09:03 - 00:09:05] 拒绝不经思考的代码生成
[00:09:05 - 00:09:08] 用工程化的思维去驾驭AI
[00:09:08 - 00:09:09] 那么问题来了
[00:09:09 - 00:09:11] 你在日常使用AI写代码时
[00:09:11 - 00:09:13] 遇到过最崩溃的翻车经历是什么
[00:09:13 - 00:09:15] 欢迎把你的故事打在评论区
[00:09:15 - 00:09:16] 我们一起探讨
[00:09:16 - 00:09:17] 感谢观看
[00:09:17 - 00:09:19] 别忘了长按点赞
[00:09:19 - 00:09:20] 一键三连
[00:09:20 - 00:09:21] 我是为什么叫QQ
[00:09:21 - 00:09:22] 我们下期再见
