BV号：BV1J9XUY1Eya
标题：BV1J9XUY1Eya
链接：https://www.bilibili.com/video/BV1J9XUY1Eya
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 12:16:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 在AI飞速发展的今天
[00:02:26 - 00:02:28] 當用戶有操作需求的時候
[00:02:28 - 00:02:30] AIPIN會通過激光投影
[00:02:30 - 00:02:33] 將信息顯示在用戶的手掌上
[00:02:33 - 00:02:35] 顯示分辨率為720P
[00:02:35 - 00:02:38] 所有的交互內容都是由chatgbt提供支持的
[00:02:38 - 00:02:41] 用戶可以通過語音指令完成博打電話
[00:02:41 - 00:02:43] 發送消息 詢問問題等等多種的操作
[00:02:43 - 00:02:46] 就像擁有了一個私人的智能助手一樣
[00:02:46 - 00:02:48] 此外 AIPIN還搭載了
[00:02:48 - 00:02:51] Humane公司自主研發的Cosmos操作系統
[00:02:51 - 00:02:53] 有媒公司希望通過這個操作系統
[00:02:53 - 00:02:55] 打造一個全新的智能生態
[00:02:55 - 00:02:57] 讓用戶在不同設備間
[00:02:57 - 00:02:58] 實現無縫的連結和交互
[00:02:58 - 00:03:00] 在產品發布之前
[00:03:00 - 00:03:02] AIP就已經吸引了大量的關注
[00:03:02 - 00:03:03] 它被時代雜誌
[00:03:03 - 00:03:05] 評選為2023年度發明
[00:03:05 - 00:03:06] 還被許多媒體
[00:03:06 - 00:03:08] 成為顛覆智能手機的革命性產品
[00:03:08 - 00:03:10] AI時代的iPhone等等
[00:03:10 - 00:03:11] 在人們的期待中
[00:03:11 - 00:03:12] AIP似乎真的有可能
[00:03:12 - 00:03:14] 開啟一個全新的智能生活時代
[00:03:14 - 00:03:17] 從2023年11月16日起
[00:03:17 - 00:03:19] AIP以699美元
[00:03:19 - 00:03:22] 折合大約為5000人民幣的價格開始預定
[00:03:22 - 00:03:22] 不到一個月
[00:03:22 - 00:03:25] 預定量便突破了450萬台
[00:03:25 - 00:03:28] 這樣的成績危險是出了市場對它的高度認可
[00:03:28 - 00:03:31] 然而現實卻給了馬懷期待的人們沉重一擊
[00:03:31 - 00:03:34] 先是原計劃2024年3月發布的AIP
[00:03:34 - 00:03:36] 跳票了一個月的時間
[00:03:36 - 00:03:39] 隨後4月AIP正式發獲之後
[00:03:39 - 00:03:41] 大量的問題開始暴露出來
[00:03:41 - 00:03:43] 各大媒體紛紛掉轉槍頭
[00:03:43 - 00:03:45] 有早前的讚美之詞滿意而出
[00:03:45 - 00:03:47] 到高度一致的嚴厲批評
[00:03:47 - 00:03:50] The Verge 直言它唯一可靠的功能是暴食
[00:03:50 - 00:03:52] 連線雜誌說它是一個美麗的廢物
[00:03:52 - 00:03:56] 而YouTube上的知名評測博主 MKBHD
[00:03:56 - 00:03:59] 更是稱AirPin是我評測過的最差的產品
[00:03:59 - 00:04:00] 為什麼這麼說呢?
[00:04:00 - 00:04:02] 首先是交互體驗方面
[00:04:02 - 00:04:05] 激光投影在戶外強光下的效果極差
[00:04:05 - 00:04:07] 文字等信息在凹凸不平的首長中心
[00:04:07 - 00:04:09] 容易出現變形拉扯的問題
[00:04:09 - 00:04:11] 增加了閱讀的難度
[00:04:11 - 00:04:14] 而且僅僅支持首長交互的方式
[00:04:14 - 00:04:15] 明顯對於手勢的優化不足
[00:04:15 - 00:04:17] 學習成本過高
[00:04:17 - 00:04:18] 还容易出现误触的情况
[00:04:19 - 00:04:21] 这对于经常在户外使用的用户来说
[00:04:21 - 00:04:22] 无疑是一场灾难
[00:04:22 - 00:04:24] 在AI的性能方面
[00:04:24 - 00:04:25] 虽然AI PIN宣称
[00:04:25 - 00:04:27] 可以直接调用拆的GPT
[00:04:27 - 00:04:28] 来回答用户的问题
[00:04:28 - 00:04:30] 帮用户省掉拿出手机
[00:04:30 - 00:04:31] 解锁
[00:04:31 - 00:04:32] 进入AVP或者是网页
[00:04:32 - 00:04:34] 才能进行提问的反锁过程
[00:04:35 - 00:04:36] 但是实际的使用体验
[00:04:36 - 00:04:38] 却非常的不进入人意
[00:04:38 - 00:04:39] 由于完全依赖于云端
[00:04:39 - 00:04:41] 每次需求的回应
[00:04:41 - 00:04:42] 都需要等待5到10秒
[00:04:42 - 00:04:43] 这个等待时间
[00:04:43 - 00:04:45] 让用户赶到十分尴尬
[00:04:45 - 00:04:46] 大家不妨想象一下
[00:04:46 - 00:04:47] 一个人站在路上
[00:04:47 - 00:04:49] 看着手掌静静发呆的场景
[00:04:49 - 00:04:50] 而相比之下
[00:04:50 - 00:04:52] 拿着手机进行操作
[00:04:52 - 00:04:53] 可能还会更加便捷一点
[00:04:53 - 00:04:55] 而且内置的大模型
[00:04:55 - 00:04:57] 回答的准确性参差不齐
[00:04:57 - 00:04:59] 经常给出一些不太准确
[00:04:59 - 00:05:01] 或者是不太方便的回复
[00:05:01 - 00:05:02] 无法满足用户的需求
[00:05:02 - 00:05:05] 如果说交互还可以通过练习
[00:05:05 - 00:05:07] AI回答还可以耐心等待
[00:05:07 - 00:05:08] 那么续航问题
[00:05:08 - 00:05:08] 就是击败了
[00:05:08 - 00:05:10] AIP用户的最后防线
[00:05:10 - 00:05:12] 根据拆解的信息显示
[00:05:12 - 00:05:14] AIP的内部电池容量
[00:05:14 - 00:05:15] 大约为300毫安
[00:05:15 - 00:05:17] 即使算上外部的磁吸电池
[00:05:17 - 00:05:20] 总共也只有大约800毫安的电池容量
[00:05:20 - 00:05:23] 这样的电量只能维持2-4个小时的续航时间
[00:05:23 - 00:05:24] 在频繁使用的时候
[00:05:24 - 00:05:27] 设备还容易出现过热自动关机的问题
[00:05:27 - 00:05:30] 这使得用户在使用的过程中常常受到困扰
[00:05:30 - 00:05:31] 不得不频繁的充电
[00:05:31 - 00:05:33] 严重影响了使用体验
[00:05:33 - 00:05:34] 除了以上问题
[00:05:34 - 00:05:37] AIP还存在一些硬件上的缺陷
[00:05:37 - 00:05:39] 比如说摄像头很少能够正常的工作
[00:05:39 - 00:05:42] 拍摄的照片通过投影仪显示出来之后
[00:05:42 - 00:05:44] 设备会变得非常烫
[00:05:44 - 00:05:46] 有的时候还会完全死机
[00:05:46 - 00:05:49] 同一屏幕在阴天的户外都几乎无法看清
[00:05:49 - 00:05:52] 这在很大程度上限制了它的使用场景
[00:05:52 - 00:05:55] 此外 美国消费品安全委员会的一份报告指出
[00:05:55 - 00:05:58] AIPIN的充电盒有一定的火灾风险
[00:05:58 - 00:06:00] 虽然目前暂时没有收到
[00:06:00 - 00:06:03] 因为指控按键过热而造成人员伤亡的报告
[00:06:03 - 00:06:06] 但是已经出现了一个充电盒在插上电源之后
[00:06:06 - 00:06:08] 过热并且出现融化的现象
[00:06:08 - 00:06:10] 这个AIPIN补上了最后一刀
[00:06:10 - 00:06:14] 使得Humai公司不得不出于谨慎招回了充电盒
[00:06:14 - 00:06:18] 最后 价格因素也对AIP的市场表现产生了重要的影响
[00:06:19 - 00:06:21] AIP的售价为699美元
[00:06:21 - 00:06:23] 这还只是购买设备的费用
[00:06:23 - 00:06:26] 每个月还需要额外支付24美元的订阅费用
[00:06:26 - 00:06:27] 用于云数据的存储
[00:06:27 - 00:06:31] 人工智能的访问权限和风魔网络的套餐费用
[00:06:31 - 00:06:32] 对于消费者来说
[00:06:32 - 00:06:33] 这样的价格并不便宜
[00:06:33 - 00:06:36] 而且在产品体验不佳的情况下
[00:06:36 - 00:06:38] 高昂的价格更是让许多人望而却步
[00:06:38 - 00:06:40] 即使到2024年8月的銷售數據
[00:06:40 - 00:06:43] 699美元的AIP只賣了1萬多台
[00:06:43 - 00:06:46] 用戶實際持有的量也就是7000台
[00:06:46 - 00:06:50] 上市以來的累積銷售額勉強超過了900萬美元
[00:06:50 - 00:06:52] 2024年10月
[00:06:52 - 00:06:54] 永本公司對於AIP的價格進行了下調
[00:06:54 - 00:06:58] 由之前的699美元降低到了499美元
[00:06:58 - 00:07:00] 但是不再附贈充電盒
[00:07:00 - 00:07:01] 相當於短短半年的時間
[00:07:01 - 00:07:03] 老用戶多花了200美元
[00:07:03 - 00:07:05] 卻買到了一個有風險的充電盒
[00:07:05 - 00:07:06] 可惜的是
[00:07:06 - 00:07:09] 即便Helman这时候大幅的降价
[00:07:09 - 00:07:11] 也已经无法挽回消费者的兴趣了
[00:07:11 - 00:07:13] 在种种问题的影响下
[00:07:13 - 00:07:15] APP的市场表现急转直下
[00:07:15 - 00:07:17] 从2024年5月到8月期间
[00:07:17 - 00:07:20] 它的销售数量还赶不上退货的数量
[00:07:20 - 00:07:23] 公司的估值也收缩到了7.5亿美元
[00:07:23 - 00:07:24] 到10亿美元之间
[00:07:24 - 00:07:25] 面对这样的困境
[00:07:25 - 00:07:28] Helman公司一直在努力的寻求解决办法
[00:07:28 - 00:07:31] 不断通过更新来改善产面的性能
[00:07:31 - 00:07:33] 但是都没有能够取得明显的效果
[00:07:33 - 00:07:34] 在市场的压力下
[00:07:34 - 00:07:38] 河美公司最終還是走上了尋求收購的道路
[00:07:38 - 00:07:40] 如今 匯普經過了一年多時間的談判
[00:07:40 - 00:07:44] 終於以1.16億美元收購了河美公司的核心技術
[00:07:44 - 00:07:47] 包括軟件 技術人員以及三百多項專利
[00:07:47 - 00:07:50] 但是顯然對於硬件不感興趣
[00:07:50 - 00:07:52] 收購價格也壓低了90%
[00:07:52 - 00:07:53] 按照匯普的說法
[00:07:53 - 00:07:57] 收購河美公司是匯普AI戰略部局的重要一步
[00:07:57 - 00:08:01] 匯普會將匯美公司的工程師 架構師和產品創新人員
[00:08:01 - 00:08:02] 納入到一個新的團隊中
[00:08:02 - 00:08:04] 命名為HPiQ
[00:08:04 - 00:08:07] 这个团队将成为惠普新的人工智能创新实验室
[00:08:07 - 00:08:09] 专注为未来的工作
[00:08:09 - 00:08:13] 构建一个涵盖惠普所有产品和服务的智能生态系统
[00:08:13 - 00:08:14] 同时惠普还获得了
[00:08:14 - 00:08:17] 河面公司开发的AI操作系统Cosmos
[00:08:17 - 00:08:20] 惠普希望通过将Cosmos融入到自己的产品中
[00:08:20 - 00:08:23] 来提升未来汽车和智能家居设备的智能化水平
[00:08:23 - 00:08:25] 为客户解锁新的功能
[00:08:25 - 00:08:27] 而对于河面公司来说
[00:08:27 - 00:08:30] 被收购意味着独立发展的道路暂时告一段落了
[00:08:30 - 00:08:33] 随即AIPIN这款产品也迎来了它的终结
[00:08:33 - 00:08:35] 衡美公司通知用戶
[00:08:35 - 00:08:39] AIPIN將於2025年2月28日中午12點前停止工作
[00:08:39 - 00:08:40] 在這個日期之後
[00:08:40 - 00:08:43] 設備將無法連接到衡美的服務器
[00:08:43 - 00:08:47] 所有的AF物、消息推送等等聯網的功能都將失效
[00:08:47 - 00:08:51] 只剩下顯示電池電量等基本的離線信息的功能
[00:08:51 - 00:08:54] 衡美公司還鼓勵用戶在2月28日之前
[00:08:54 - 00:08:56] 下載所有存儲的數據
[00:08:56 - 00:08:58] 因為它計畫在關閉服務器的同時
[00:08:58 - 00:09:00] 永久刪除所有客戶的數據
[00:09:00 - 00:09:03] 這就意味著曾經被寄予後望的AIPIN
[00:09:03 - 00:09:05] 在短短不到一年的时间里
[00:09:05 - 00:09:07] 就从备受矚目的创新产品
[00:09:07 - 00:09:09] 变成了一堆昂贵的电子垃圾
[00:09:09 - 00:09:10] 对此
[00:09:10 - 00:09:11] 狠妹给出的建议就是
[00:09:11 - 00:09:13] 将他送到电子垃圾回咒站
[00:09:13 - 00:09:15] 另外按照狠妹的通告
[00:09:15 - 00:09:17] 大部分用户还无法获得退款
[00:09:17 - 00:09:19] 因为只有仍然在90天退货期内
[00:09:19 - 00:09:22] 或者在2024年11月15日之后
[00:09:22 - 00:09:24] 购买的用户才有资格获得退款
[00:09:24 - 00:09:28] 但是必须在2025年2月27日前提交申请
[00:09:28 - 00:09:31] IP的失败让众多的用户感到失望和愤怒
[00:09:31 - 00:09:34] 毕竟手机坏了还能当个专头用
[00:09:34 - 00:09:35] IP这么个小玩意儿
[00:09:35 - 00:09:37] 总不能拿来当核桃盘吧
[00:09:37 - 00:09:39] 许多用户花费了大量的金钱
[00:09:39 - 00:09:41] 来购买设备和订阅服务
[00:09:41 - 00:09:44] 但是没有能够获得良好的实用体验
[00:09:44 - 00:09:45] 如今设备即将报费
[00:09:45 - 00:09:47] 他们的投入也付诸东流
[00:09:47 - 00:09:48] 一些用户认为
[00:09:48 - 00:09:50] 硬件产品如果依赖于
[00:09:50 - 00:09:52] 无法自助服务的软件进行运营
[00:09:52 - 00:09:54] 消费者应该有权在这种情况下
[00:09:54 - 00:09:56] 要求全额退款
[00:09:56 - 00:09:57] 还有人提出
[00:09:57 - 00:10:00] 如果硬件只是作为软件服务的付出品
[00:10:00 - 00:10:02] 那么消费者为硬件支付的费用
[00:10:02 - 00:10:04] 就应该被视为一种可退还的压金
[00:10:04 - 00:10:05] 在这个事件中
[00:10:05 - 00:10:08] 用户的权益显然没有得到充分的保障
[00:10:08 - 00:10:10] 对于创始人伊姆兰·乔杜里的评价
[00:10:10 - 00:10:12] 也非常的两极化
[00:10:12 - 00:10:14] 有人称赞他是新时代的乔布斯
[00:10:14 - 00:10:16] 也有曾经与他共识的人
[00:10:16 - 00:10:17] 骂他是彻头彻尾的骗子
[00:10:17 - 00:10:20] 如果我们打开乔杜里的个人主业
[00:10:20 - 00:10:23] 会发现秘密麻麻的罗列者整整1000个专利
[00:10:23 - 00:10:26] 我想这也许多少也能说明一些事情
[00:10:26 - 00:10:29] 而对于C.O.乔杜里之前大肆宣传的Cosmos系统
[00:10:29 - 00:10:32] 有人曾经揭露实际上是基于Android系统
[00:10:32 - 00:10:35] 因此也有一些用户希望通过破解操作系统的方式
[00:10:35 - 00:10:37] 让AIPIN能够继续得益使用
[00:10:37 - 00:10:39] 从行业角度来看
[00:10:39 - 00:10:42] AIPIN的失败也为我们敲响了警钟
[00:10:42 - 00:10:44] 虽然大飞我相信人工智能的硬件
[00:10:44 - 00:10:46] 在未来仍然有着巨大的发展潜力
[00:10:46 - 00:10:49] 但是目前想要把AI成功应用到硬件产品中
[00:10:49 - 00:10:52] 还需要克服许多技术和用户体验方面的问题
[00:10:52 - 00:10:54] 企业在追求创新的同时
[00:10:54 - 00:10:57] 不能够忽视最根本的用户需求和产品质量
[00:10:57 - 00:10:59] 像谷歌和苹果
[00:10:59 - 00:11:01] 他们在推广人工智能技术的时候
[00:11:01 - 00:11:03] 都是基于自身强大的现有平台
[00:11:03 - 00:11:06] 将人工智能作为附加的功能进行开发
[00:11:06 - 00:11:09] 这样可以更好地保证产品的稳定性和用户的体验
[00:11:09 - 00:11:13] 而Human公司在没有坚实技术的情况下
[00:11:13 - 00:11:16] 试图凭借着一款创新性的产品打开市场
[00:11:16 - 00:11:18] 最终却因为产品的各种缺陷而失败
[00:11:18 - 00:11:19] 此外
[00:11:19 - 00:11:21] LIP的这个案例也反映出
[00:11:21 - 00:11:23] 创新与现实应用场景结合的重要性
[00:11:23 - 00:11:25] 在产品研发的过程中
[00:11:25 - 00:11:28] 企业不能够只是追求概念上的创新
[00:11:28 - 00:11:31] 更要关注于产品在实际使用中的可行性和实用性
[00:11:31 - 00:11:33] 只有真正满足了用户的需求
[00:11:33 - 00:11:35] 提供良好的使用体验
[00:11:35 - 00:11:37] 产品才能够在市场上立足
[00:11:37 - 00:11:38] 好了
[00:11:38 - 00:11:39] 感谢大家收看本期视频
[00:11:39 - 00:11:40] 我们下期再见
